sequence,v115@PhB8BeB8DeE8DeC8Jem/IvhFChBxiBTkBcsBXrBlrB,v115@PhB8BeB8DeE8DeC8Jex/IvhFmhBCjBTkBcrBXsBlqB,v115@PhB8BeB8DeE8DeC8Jem/IvhFfmBCjBTkBUnBlmBRwB,v115@PhB8BeB8DeE8DeC8JeWGJvhFxiBlkBTnBikBXrB0rB,v115@PhB8BeB8DeE8DeC8JeWGJvhFxiBlkBTnBikB0rBXrB,v115@PhB8BeB8DeE8DeC8Jei/IvhFcmBxiB3kBTnB1wBuqB,v115@PhB8BeB8DeE8DeC8JeKEJvhFzfBFhBxiB3mBcsBWwB,v115@PhB8BeB8DeE8DeC8JeOEJvhF8kBzgBxiBSsBVwBfsB,v115@PhB8BeB8DeE8DeC8Jei/IvhF1mBxiB3kBcsBTrBuqB,v115@PhB8BeB8DeE8DeC8JeWHJvhFxiBlkBUmBikBXsBzqB,v115@PhB8BeB8DeE8DeC8JelBJvhFxkB/rBOsBTkBCoB0qB,v115@PhB8BeB8DeE8DeC8JemAJvhFUiBxkBfsBTkBCoBVwB
TIOZLSJ,X,X,X,X,X,O,X,X,X,X,X,X
TIOZJLS,O,X,X,O,O,X,X,O,X,X,X,X
TIOZJSL,O,X,X,O,O,O,X,X,X,X,X,X
TIOZSLJ,O,X,X,X,X,O,X,X,X,X,X,X
TIOZSJL,O,X,X,O,O,O,X,X,X,X,X,X
TLIJSZO,O,X,X,X,X,X,X,X,X,X,X,O
TLIJSOZ,O,X,X,X,X,X,X,X,X,X,X,X
TLIJZSO,O,X,X,X,X,X,X,X,X,X,X,X
TLIJZOS,O,X,X,X,X,X,X,X,X,X,X,X
TLIJOSZ,O,X,X,X,X,X,X,X,X,X,X,X
TLIJOZS,O,X,X,X,X,X,X,X,X,X,X,X
TLISJZO,X,X,X,X,X,X,X,X,X,X,X,O
TLISJOZ,X,X,X,X,X,X,X,X,X,X,X,X
TLISZJO,X,X,X,X,X,X,X,X,X,O,X,O
TLISZOJ,X,X,O,X,X,X,X,X,X,X,X,X
TLISOJZ,X,X,O,X,X,X,X,X,X,X,X,X
TLISOZJ,X,X,O,X,X,X,X,X,X,X,X,X
TLIZJSO,X,X,X,X,X,X,X,O,X,X,X,X
TLIZJOS,X,X,X,X,X,X,X,O,X,X,X,X
TLIZSJO,X,X,X,X,X,X,O,X,X,X,X,X
TLIZSOJ,X,X,O,X,X,X,O,X,X,X,X,X
TLIZOJS,X,X,O,X,X,X,X,O,X,X,X,X
