sequence,v115@ChA8GeC8IeB8CeA8CeE8KeT/IvhFigBmiB5oB0nBlp?B3qB,v115@ChA8GeC8IeB8CeA8CeE8Ke2EJvhFRgBTiB6tBXoB0p?BlqB,v115@ChA8GeC8IeB8CeA8CeE8Ke2EJvhFRgBTiBXoB6tB0p?BlqB,v115@ChA8GeC8IeB8CeA8CeE8Ke0/IvhFTiBeoB5oB/pBiq?BlqB,v115@ChA8GeC8IeB8CeA8CeE8KeOEJvhFTiBVtBRqB8pB6t?B3qB,v115@ChA8GeC8IeB8CeA8CeE8KexCJvhFTkB2qB0nB6tBlp?B3qB
TOILSZJ,O,X,X,X,X,X
TOILZJS,O,O,X,X,X,X
TOILZSJ,O,O,X,X,X,X
TOIJLSZ,X,O,O,X,O,X
TOIJLZS,O,O,X,X,O,X
TOIJSLZ,X,O,O,X,O,X
TOIJSZL,X,X,O,X,O,X
TOIJZLS,O,O,X,X,O,X
TOIJZSL,O,X,O,X,O,X
TOISLJZ,X,O,O,X,X,X
TOISLZJ,O,X,X,X,X,X
TOISJLZ,X,O,O,X,O,X
TOISJZL,X,X,O,X,O,X
TOISZLJ,O,X,O,X,X,X
TOISZJL,O,X,O,X,X,X
TOIZLJS,O,O,O,X,X,X
TOIZLSJ,O,O,O,X,X,X
TOIZJLS,O,O,O,X,O,X
TOIZJSL,O,O,O,X,O,X
TOIZSLJ,O,O,O,X,X,X
TOIZSJL,O,O,O,X,X,X
TOLIJSZ,X,O,O,X,O,X
TOLIJZS,O,O,X,X,O,X
TOLISJZ,X,O,O,X,X,X
TOLISZJ,O,X,X,X,X,X
TOLIZJS,O,O,X,X,X,X
TOLIZSJ,O,O,X,X,X,X
TOLJISZ,X,O,O,O,O,X
TOLJIZS,O,O,X,X,O,X
TOLJSIZ,X,O,O,O,X,X
TOLJSZI,X,O,O,O,X,X
TOLJZIS,O,O,X,X,X,O
