sequence,v115@ChA8GeC8IeB8CeA8CeE8KeT/IvhFigBmiB5oB0nBlp?B3qB,v115@ChA8GeC8IeB8CeA8CeE8Ke2EJvhFRgBTiB6tBXoB0p?BlqB,v115@ChA8GeC8IeB8CeA8CeE8Ke2EJvhFRgBTiBXoB6tB0p?BlqB,v115@ChA8GeC8IeB8CeA8CeE8Ke0/IvhFTiBeoB5oB/pBiq?BlqB,v115@ChA8GeC8IeB8CeA8CeE8KeOEJvhFTiBVtBRqB8pB6t?B3qB,v115@ChA8GeC8IeB8CeA8CeE8KexCJvhFTkB2qB0nB6tBlp?B3qB
LZJOSIT,O,O,O,O,X,O
LZSTIJO,O,X,X,O,X,X
LZSTIOJ,O,X,X,X,X,X
LZSTJIO,O,X,X,O,X,X
LZSTJOI,O,X,X,O,X,X
LZSTOIJ,O,X,X,X,X,X
LZSTOJI,O,X,X,O,X,X
LZSITJO,O,X,X,O,X,X
LZSITOJ,O,X,X,X,X,X
LZSIJTO,O,X,X,O,X,X
LZSIJOT,O,O,O,O,X,O
LZSIOTJ,O,X,X,X,X,X
LZSIOJT,O,O,O,O,X,O
LZSJTIO,O,X,X,O,X,X
LZSJTOI,O,X,X,O,X,X
LZSJITO,O,X,X,O,X,X
LZSJIOT,O,O,O,O,X,O
LZSJOTI,O,O,O,O,X,O
LZSJOIT,O,O,O,O,X,O
LZSOTIJ,O,X,X,X,X,X
LZSOTJI,O,X,X,O,X,X
LZSOITJ,O,X,X,X,X,X
LZSOIJT,O,O,O,O,X,O
LZSOJTI,O,O,O,O,X,O
LZSOJIT,O,O,O,O,X,O
LZOTIJS,O,O,X,X,X,O
LZOTISJ,O,O,X,X,X,X
LZOTJIS,O,O,X,X,X,O
LZOTJSI,O,O,X,X,X,O
LZOTSIJ,O,O,X,X,X,X
LZOTSJI,O,O,X,X,X,X
LZOITJS,O,O,X,X,X,O
LZOITSJ,O,X,X,X,X,X
LZOIJTS,O,O,X,X,X,O
LZOIJST,O,O,O,X,X,O
LZOISTJ,O,X,X,X,X,X
LZOISJT,O,O,O,X,X,O
LZOJTIS,O,O,X,X,X,O
LZOJTSI,O,O,X,X,X,O
LZOJITS,O,O,X,X,X,O
LZOJIST,O,O,O,O,X,O
LZOJSTI,O,O,O,O,X,O
LZOJSIT,O,O,O,O,X,O
LZOSTIJ,O,X,X,X,X,X
LZOSTJI,O,X,X,O,X,X
LZOSITJ,O,X,X,X,X,X
LZOSIJT,O,O,O,O,X,O
LZOSJTI,O,O,O,O,X,O
LZOSJIT,O,O,O,O,X,O
LOTIJSZ,X,O,O,X,O,X
LOTIJZS,O,O,X,X,O,X
LOTISJZ,X,O,O,X,X,X
LOTISZJ,O,X,X,X,X,X
LOTIZJS,O,O,X,X,X,X
LOTIZSJ,O,O,X,X,X,X
LOTJISZ,X,O,O,O,O,X
LOTJIZS,O,O,X,X,O,X
LOTJSIZ,X,O,O,O,X,X
LOTJSZI,X,O,O,O,X,X
LOTJZIS,O,O,X,X,X,O
LOTJZSI,O,O,X,X,X,O
LOTSIJZ,X,O,O,X,X,X
LOTSIZJ,O,X,X,X,X,X
LOTSJIZ,X,O,O,O,X,X
LOTSJZI,X,O,O,O,X,X
LOTSZIJ,O,O,O,X,X,X
LOTSZJI,O,O,O,O,X,X
LOTZIJS,O,O,O,X,X,O
LOTZISJ,O,O,O,X,X,X
LOTZJIS,O,O,O,X,X,O
LOTZJSI,O,O,O,X,X,O
LOTZSIJ,O,O,O,X,X,X
LOTZSJI,O,O,O,X,X,X
LOITJSZ,X,O,X,X,O,X
LOITJZS,O,O,X,X,O,X
LOITSJZ,X,O,X,X,X,X
LOITSZJ,O,X,X,X,X,X
LOITZJS,O,O,X,X,X,X
LOITZSJ,O,O,X,X,X,X
LOIJTSZ,X,X,X,O,O,X
LOIJTZS,X,X,X,X,O,X
LOIJSTZ,X,X,X,O,X,X
LOIJSZT,X,X,X,O,X,X
LOIJZTS,X,X,X,X,X,O
LOIJZST,X,X,X,O,X,O
LOISTJZ,O,X,X,X,X,X
LOISTZJ,O,X,X,X,X,X
LOISJTZ,X,X,X,O,X,X
LOISJZT,X,X,X,O,X,X
LOISZTJ,O,X,X,X,X,X
LOISZJT,O,X,X,O,X,X
LOIZTJS,O,O,X,X,X,O
LOIZTSJ,O,X,X,X,X,X
LOIZJTS,O,O,X,X,X,O
LOIZJST,O,O,X,X,X,O
LOIZSTJ,O,X,X,X,X,X
LOIZSJT,O,O,X,X,X,O
LOJTISZ,X,O,X,O,O,X
LOJTIZS,X,O,X,X,O,X
LOJTSIZ,X,O,X,O,X,X
LOJTSZI,X,O,X,O,X,X
LOJTZIS,X,O,X,X,X,O
LOJTZSI,X,O,X,X,X,O
LOJITSZ,X,X,X,O,O,X
LOJITZS,X,X,X,X,O,X
LOJISTZ,X,X,X,O,X,X
LOJISZT,X,X,X,O,X,X
LOJIZTS,X,X,X,X,X,O
LOJIZST,X,X,X,O,X,O
LOJSTIZ,X,X,X,O,X,X
LOJSTZI,X,X,X,O,X,X
LOJSITZ,X,X,X,O,X,X
LOJSIZT,X,X,X,O,X,X
LOJSZTI,X,X,X,O,X,O
LOJSZIT,X,X,X,O,X,O
LOJZTIS,X,O,X,X,X,O
LOJZTSI,X,O,X,X,X,O
LOJZITS,X,O,X,X,X,O
LOJZIST,X,O,X,O,X,O
LOJZSTI,X,O,X,O,X,O
LOJZSIT,X,O,X,O,X,O
LOSTIJZ,O,O,O,X,X,X
LOSTIZJ,O,X,X,X,X,X
LOSTJIZ,O,O,O,O,X,X
LOSTJZI,O,O,O,O,X,X
LOSTZIJ,O,O,O,X,X,X
LOSTZJI,O,O,O,O,X,X
LOSITJZ,O,X,X,X,X,X
LOSITZJ,O,X,X,X,X,X
LOSIJTZ,X,X,X,O,X,X
LOSIJZT,X,X,X,O,X,X
LOSIZTJ,O,X,X,X,X,X
LOSIZJT,O,X,X,O,X,X
LOSJTIZ,X,X,X,O,X,X
LOSJTZI,X,X,X,O,X,X
LOSJITZ,X,X,X,O,X,X
LOSJIZT,X,X,X,O,X,X
LOSJZTI,X,X,X,O,X,O
LOSJZIT,X,X,X,O,X,O
LOSZTIJ,O,X,X,X,X,X
LOSZTJI,O,X,X,O,X,X
LOSZITJ,O,X,X,X,X,X
LOSZIJT,O,O,O,O,X,O
LOSZJTI,O,O,O,O,X,O
LOSZJIT,O,O,O,O,X,O
LOZTIJS,O,O,X,X,X,O
LOZTISJ,O,O,X,X,X,X
LOZTJIS,O,O,X,X,X,O
LOZTJSI,O,O,X,X,X,O
LOZTSIJ,O,O,X,X,X,X
LOZTSJI,O,O,X,X,X,X
LOZITJS,O,O,X,X,X,O
LOZITSJ,O,X,X,X,X,X
LOZIJTS,O,O,X,X,X,O
LOZIJST,O,O,O,X,X,O
LOZISTJ,O,X,X,X,X,X
LOZISJT,O,O,O,X,X,O
LOZJTIS,O,O,X,X,X,O
LOZJTSI,O,O,X,X,X,O
LOZJITS,O,O,X,X,X,O
LOZJIST,O,O,O,O,X,O
LOZJSTI,O,O,O,O,X,O
LOZJSIT,O,O,O,O,X,O
LOZSTIJ,O,X,X,X,X,X
LOZSTJI,O,X,X,O,X,X
LOZSITJ,O,X,X,X,X,X
LOZSIJT,O,O,O,O,X,O
LOZSJTI,O,O,O,O,X,O
LOZSJIT,O,O,O,O,X,O
JTILSZO,X,X,X,O,O,X
JTILSOZ,X,O,O,O,O,X
JTILZSO,O,X,X,X,O,X
JTILZOS,O,O,X,X,O,X
JTILOSZ,X,O,O,O,O,X
JTILOZS,O,O,X,X,O,X
JTISLZO,X,X,X,O,O,X
JTISLOZ,X,O,O,O,O,X
JTISZLO,X,X,X,X,O,X
JTISZOL,X,X,O,O,O,X
JTISOLZ,X,O,O,O,O,X
JTISOZL,X,X,O,O,O,X
JTIZLSO,O,X,X,X,O,X
JTIZLOS,O,O,X,X,O,X
JTIZSLO,O,X,X,X,O,X
JTIZSOL,O,X,O,X,O,X
JTIZOLS,O,O,X,X,O,X
JTIZOSL,O,X,O,X,O,X
JTIOLSZ,X,O,O,O,O,X
JTIOLZS,O,O,X,X,O,X
JTIOSLZ,X,O,O,O,O,X
JTIOSZL,X,X,O,O,O,X
JTIOZLS,O,O,X,X,O,X
JTIOZSL,O,X,O,X,O,X
JTLISZO,X,X,X,O,O,X
JTLISOZ,X,O,O,O,O,X
JTLIZSO,O,X,X,X,O,X
JTLIZOS,O,O,X,X,O,X
JTLIOSZ,X,O,O,O,O,X
JTLIOZS,O,O,X,X,O,X
JTLSIZO,X,X,X,O,X,X
JTLSIOZ,X,O,O,O,X,X
JTLSZIO,X,X,X,O,X,X
JTLSZOI,X,X,X,O,X,X
JTLSOIZ,X,O,O,O,X,X
JTLSOZI,X,O,O,O,X,X
JTLZISO,O,O,X,X,X,X
JTLZIOS,O,O,X,X,X,O
JTLZSIO,O,O,X,X,X,X
JTLZSOI,O,O,X,X,X,X
JTLZOIS,O,O,X,X,X,O
JTLZOSI,O,O,X,X,X,O
JTLOISZ,X,O,O,O,O,X
JTLOIZS,O,O,X,X,O,X
JTLOSIZ,X,O,O,O,X,X
JTLOSZI,X,O,O,O,X,X
JTLOZIS,O,O,X,X,X,O
JTLOZSI,O,O,X,X,X,O
JTSILZO,X,X,X,O,O,X
JTSILOZ,X,O,O,O,O,X
JTSIZLO,X,X,X,X,O,X
JTSIZOL,X,X,O,O,O,X
JTSIOLZ,X,O,O,O,O,X
JTSIOZL,X,X,O,O,O,X
JTSLIZO,X,X,X,O,X,X
JTSLIOZ,X,O,O,O,X,X
JTSLZIO,X,X,X,O,X,X
JTSLZOI,X,X,X,O,X,X
JTSLOIZ,X,O,O,O,X,X
JTSLOZI,X,O,O,O,X,X
JTSZILO,X,X,O,X,X,X
JTSZIOL,X,X,O,O,X,X
JTSZLIO,X,X,O,X,X,X
JTSZLOI,X,X,O,X,X,X
JTSZOIL,X,X,O,O,X,X
JTSZOLI,X,X,O,X,X,X
JTSOILZ,X,O,O,O,O,X
JTSOIZL,X,X,O,O,O,X
JTSOLIZ,X,O,O,O,X,X
JTSOLZI,X,O,O,O,X,X
JTSOZIL,X,X,O,O,X,X
JTSOZLI,X,X,O,X,X,X
JTZILSO,O,O,O,X,O,X
JTZILOS,O,O,O,X,O,X
JTZISLO,O,O,O,X,O,X
JTZISOL,O,O,O,X,O,X
JTZIOLS,O,O,O,X,O,X
JTZIOSL,O,O,O,X,O,X
JTZLISO,O,O,O,X,X,X
JTZLIOS,O,O,O,X,X,O
JTZLSIO,O,O,O,X,X,X
JTZLSOI,O,O,O,X,X,X
JTZLOIS,O,O,O,X,X,O
JTZLOSI,O,O,O,X,X,O
JTZSILO,O,O,O,X,X,X
JTZSIOL,O,O,O,X,X,X
JTZSLIO,O,O,O,X,X,X
JTZSLOI,O,O,O,X,X,X
JTZSOIL,O,O,O,X,X,X
JTZSOLI,O,O,O,X,X,X
JTZOILS,O,O,O,X,O,X
JTZOISL,O,O,O,X,O,X
JTZOLIS,O,O,O,X,X,O
JTZOLSI,O,O,O,X,X,O
JTZOSIL,O,O,O,X,X,X
JTZOSLI,O,O,O,X,X,X
JTOILSZ,X,O,O,O,O,X
JTOILZS,O,O,X,X,O,X
JTOISLZ,X,O,O,O,O,X
JTOISZL,X,X,O,O,O,X
JTOIZLS,O,O,X,X,O,X
JTOIZSL,O,X,O,X,O,X
JTOLISZ,X,O,O,O,O,X
JTOLIZS,O,O,X,X,O,X
JTOLSIZ,X,O,O,O,X,X
JTOLSZI,X,O,O,O,X,X
JTOLZIS,O,O,X,X,X,O
JTOLZSI,O,O,X,X,X,O
JTOSILZ,X,O,O,O,O,X
JTOSIZL,X,X,O,O,O,X
JTOSLIZ,X,O,O,O,X,X
JTOSLZI,X,O,O,O,X,X
JTOSZIL,X,X,O,O,X,X
JTOSZLI,X,X,O,X,X,X
JTOZILS,O,O,O,X,O,X
JTOZISL,O,O,O,X,O,X
JTOZLIS,O,O,O,X,X,O
JTOZLSI,O,O,O,X,X,O
JTOZSIL,O,O,O,X,X,X
JTOZSLI,O,O,O,X,X,X
JITLSZO,X,X,X,O,O,X
JITLSOZ,X,X,X,O,O,X
JITLZSO,O,X,X,X,O,X
JITLZOS,O,X,X,X,O,X
JITLOSZ,X,X,X,O,O,X
JITLOZS,O,X,X,X,O,X
JITSLZO,X,X,X,O,O,X
JITSLOZ,X,X,X,O,O,X
JITSZLO,X,X,X,X,O,X
JITSZOL,X,X,X,O,O,X
JITSOLZ,X,X,X,O,O,X
JITSOZL,X,X,X,O,O,X
JITZLSO,O,X,X,X,O,X
JITZLOS,O,X,X,X,O,X
JITZSLO,O,X,X,X,O,X
JITZSOL,O,X,X,X,O,X
JITZOLS,O,X,X,X,O,X
JITZOSL,O,X,X,X,O,X
JITOLSZ,X,X,X,O,O,X
JITOLZS,O,X,X,X,O,X
JITOSLZ,X,X,X,O,O,X
JITOSZL,X,X,X,O,O,X
JITOZLS,O,X,X,X,O,X
JITOZSL,O,X,X,X,O,X
JILTSZO,X,X,X,O,O,X
JILTSOZ,X,X,X,O,O,X
JILTZSO,O,X,X,X,O,X
JILTZOS,O,X,X,X,O,X
JILTOSZ,X,X,X,O,O,X
JILTOZS,O,X,X,X,O,X
JILSTZO,O,X,X,O,X,X
JILSTOZ,O,X,X,O,X,X
JILSZTO,O,X,X,O,X,X
JILSZOT,O,X,X,O,X,X
JILSOTZ,X,X,X,O,X,X
JILSOZT,X,X,X,O,X,X
JILZTSO,O,X,X,X,X,X
JILZTOS,O,X,X,X,X,O
JILZSTO,O,X,X,O,X,X
JILZSOT,O,X,X,O,X,O
JILZOTS,O,X,X,X,X,O
JILZOST,O,X,X,O,X,O
JILOTSZ,X,X,X,O,O,X
JILOTZS,X,X,X,X,O,X
JILOSTZ,X,X,X,O,X,X
JILOSZT,X,X,X,O,X,X
JILOZTS,X,X,X,X,X,O
JILOZST,X,X,X,O,X,O
JISTLZO,O,X,X,O,O,X
JISTLOZ,O,X,X,O,O,X
JISTZLO,O,X,X,X,O,X
JISTZOL,O,X,X,O,O,X
JISTOLZ,O,X,X,O,O,X
JISTOZL,O,X,X,O,O,X
JISLTZO,O,X,X,O,X,X
JISLTOZ,O,X,X,O,X,X
JISLZTO,O,X,X,O,X,X
JISLZOT,O,X,X,O,X,X
JISLOTZ,X,X,X,O,X,X
JISLOZT,X,X,X,O,X,X
JISZTLO,O,X,X,X,X,X
JISZTOL,O,X,X,O,X,X
JISZLTO,O,X,X,O,X,X
JISZLOT,O,X,X,O,X,X
JISZOTL,O,X,X,O,X,X
JISZOLT,O,X,X,O,X,X
JISOTLZ,X,X,X,O,O,X
JISOTZL,X,X,X,O,O,X
JISOLTZ,X,X,X,O,X,X
JISOLZT,X,X,X,O,X,X
JISOZTL,X,X,X,O,X,X
JISOZLT,X,X,X,O,X,X
JIZTLSO,O,X,X,X,O,X
JIZTLOS,O,X,X,X,O,X
JIZTSLO,O,X,X,X,O,X
JIZTSOL,O,X,X,X,O,X
JIZTOLS,O,X,X,X,O,X
JIZTOSL,O,X,X,X,O,X
JIZLTSO,O,X,X,X,X,X
JIZLTOS,O,X,X,X,X,O
JIZLSTO,O,X,X,O,X,X
JIZLSOT,O,X,X,O,X,O
JIZLOTS,O,X,X,X,X,O
JIZLOST,O,X,X,O,X,O
JIZSTLO,O,X,X,X,X,X
JIZSTOL,O,X,X,O,X,X
JIZSLTO,O,X,X,O,X,X
JIZSLOT,O,X,X,O,X,X
JIZSOTL,O,X,X,O,X,X
JIZSOLT,O,X,X,O,X,X
JIZOTLS,O,X,X,X,O,X
JIZOTSL,O,X,X,X,O,X
JIZOLTS,O,X,X,X,X,O
JIZOLST,O,X,X,O,X,O
JIZOSTL,O,X,X,O,X,X
JIZOSLT,O,X,X,O,X,X
JIOTLSZ,X,X,X,O,O,X
JIOTLZS,X,X,X,X,O,X
JIOTSLZ,X,X,X,O,O,X
JIOTSZL,X,X,X,O,O,X
JIOTZLS,X,X,X,X,O,X
JIOTZSL,X,X,X,X,O,X
JIOLTSZ,X,X,X,O,O,X
JIOLTZS,X,X,X,X,O,X
JIOLSTZ,X,X,X,O,X,X
JIOLSZT,X,X,X,O,X,X
JIOLZTS,X,X,X,X,X,O
JIOLZST,X,X,X,O,X,O
JIOSTLZ,X,X,X,O,O,X
JIOSTZL,X,X,X,O,O,X
JIOSLTZ,X,X,X,O,X,X
JIOSLZT,X,X,X,O,X,X
JIOSZTL,X,X,X,O,X,X
JIOSZLT,X,X,X,O,X,X
JIOZTLS,X,X,X,X,O,X
JIOZTSL,X,X,X,X,O,X
JIOZLTS,X,X,X,X,X,O
JIOZLST,X,X,X,O,X,O
JIOZSTL,X,X,X,O,X,X
JIOZSLT,X,X,X,O,X,X
JLTISZO,X,X,X,O,O,X
JLTISOZ,X,O,X,O,O,X
JLTIZSO,O,X,X,X,O,X
JLTIZOS,O,O,X,X,O,X
JLTIOSZ,X,O,X,O,O,X
JLTIOZS,O,O,X,X,O,X
JLTSIZO,X,X,X,O,X,X
JLTSIOZ,X,O,X,O,X,X
JLTSZIO,X,X,X,O,X,X
JLTSZOI,X,X,X,O,X,X
JLTSOIZ,X,O,X,O,X,X
JLTSOZI,X,O,X,O,X,X
JLTZISO,O,O,X,X,X,X
JLTZIOS,O,O,X,X,X,O
JLTZSIO,O,O,X,X,X,X
JLTZSOI,O,O,X,X,X,X
JLTZOIS,O,O,X,X,X,O
JLTZOSI,O,O,X,X,X,O
JLTOISZ,X,O,X,O,O,X
JLTOIZS,O,O,X,X,O,X
JLTOSIZ,X,O,X,O,X,X
JLTOSZI,X,O,X,O,X,X
JLTOZIS,O,O,X,X,X,O
JLTOZSI,O,O,X,X,X,O
JLITSZO,X,X,X,O,O,X
JLITSOZ,X,X,X,O,O,X
JLITZSO,O,X,X,X,O,X
JLITZOS,O,X,X,X,O,X
JLITOSZ,X,X,X,O,O,X
JLITOZS,O,X,X,X,O,X
JLISTZO,O,X,X,O,X,X
JLISTOZ,O,X,X,O,X,X
JLISZTO,O,X,X,O,X,X
JLISZOT,O,X,X,O,X,X
JLISOTZ,X,X,X,O,X,X
JLISOZT,X,X,X,O,X,X
JLIZTSO,O,X,X,X,X,X
JLIZTOS,O,X,X,X,X,O
JLIZSTO,O,X,X,O,X,X
JLIZSOT,O,X,X,O,X,O
JLIZOTS,O,X,X,X,X,O
JLIZOST,O,X,X,O,X,O
JLIOTSZ,X,X,X,O,O,X
JLIOTZS,X,X,X,X,O,X
JLIOSTZ,X,X,X,O,X,X
JLIOSZT,X,X,X,O,X,X
JLIOZTS,X,X,X,X,X,O
JLIOZST,X,X,X,O,X,O
JLSTIZO,O,X,X,O,X,X
JLSTIOZ,O,X,X,O,X,X
JLSTZIO,O,X,X,O,X,X
JLSTZOI,O,X,X,O,X,X
JLSTOIZ,O,X,X,O,X,X
JLSTOZI,O,X,X,O,X,X
JLSITZO,O,X,X,O,X,X
JLSITOZ,O,X,X,O,X,X
JLSIZTO,O,X,X,O,X,X
JLSIZOT,O,X,X,O,X,X
JLSIOTZ,X,X,X,O,X,X
JLSIOZT,X,X,X,O,X,X
JLSZTIO,O,X,X,O,X,X
JLSZTOI,O,X,X,O,X,X
JLSZITO,O,X,X,O,X,X
JLSZIOT,O,X,X,O,X,O
JLSZOTI,O,X,X,O,X,O
JLSZOIT,O,X,X,O,X,O
JLSOTIZ,X,X,X,O,X,X
JLSOTZI,X,X,X,O,X,X
JLSOITZ,X,X,X,O,X,X
JLSOIZT,X,X,X,O,X,X
JLSOZTI,X,X,X,O,X,O
JLSOZIT,X,X,X,O,X,O
JLZTISO,O,X,X,X,X,X
JLZTIOS,O,O,X,X,X,O
JLZTSIO,O,X,X,X,X,X
JLZTSOI,O,X,X,X,X,X
JLZTOIS,O,O,X,X,X,O
JLZTOSI,O,O,X,X,X,O
JLZITSO,O,X,X,X,X,X
JLZITOS,O,O,X,X,X,O
JLZISTO,O,X,X,O,X,X
JLZISOT,O,O,X,O,X,O
JLZIOTS,O,O,X,X,X,O
JLZIOST,O,O,X,O,X,O
JLZSTIO,O,X,X,O,X,X
JLZSTOI,O,X,X,O,X,X
JLZSITO,O,X,X,O,X,X
JLZSIOT,O,O,X,O,X,O
JLZSOTI,O,O,X,O,X,O
JLZSOIT,O,O,X,O,X,O
JLZOTIS,O,O,X,X,X,O
JLZOTSI,O,O,X,X,X,O
JLZOITS,O,O,X,X,X,O
JLZOIST,O,O,X,O,X,O
JLZOSTI,O,O,X,O,X,O
JLZOSIT,O,O,X,O,X,O
JLOTISZ,X,O,X,O,O,X
JLOTIZS,X,O,X,X,O,X
JLOTSIZ,X,O,X,O,X,X
JLOTSZI,X,O,X,O,X,X
JLOTZIS,X,O,X,X,X,O
JLOTZSI,X,O,X,X,X,O
JLOITSZ,X,X,X,O,O,X
JLOITZS,X,X,X,X,O,X
JLOISTZ,X,X,X,O,X,X
JLOISZT,X,X,X,O,X,X
JLOIZTS,X,X,X,X,X,O
JLOIZST,X,X,X,O,X,O
JLOSTIZ,X,X,X,O,X,X
JLOSTZI,X,X,X,O,X,X
JLOSITZ,X,X,X,O,X,X
JLOSIZT,X,X,X,O,X,X
JLOSZTI,X,X,X,O,X,O
JLOSZIT,X,X,X,O,X,O
JLOZTIS,X,O,X,X,X,O
JLOZTSI,X,O,X,X,X,O
JLOZITS,X,O,X,X,X,O
JLOZIST,X,O,X,O,X,O
JLOZSTI,X,O,X,O,X,O
JLOZSIT,X,O,X,O,X,O
JSTILZO,O,X,X,O,O,X
JSTILOZ,O,X,O,O,O,X
JSTIZLO,O,X,X,X,O,X
JSTIZOL,O,X,O,O,O,X
JSTIOLZ,O,X,O,O,O,X
JSTIOZL,O,X,O,O,O,X
JSTLIZO,O,X,X,O,X,X
JSTLIOZ,O,X,O,O,X,X
JSTLZIO,O,X,X,O,X,X
JSTLZOI,O,X,X,O,X,X
JSTLOIZ,O,X,O,O,X,X
JSTLOZI,O,X,O,O,X,X
JSTZILO,O,X,O,X,X,X
JSTZIOL,O,X,O,O,X,X
JSTZLIO,O,X,O,X,X,X
JSTZLOI,O,X,O,X,X,X
JSTZOIL,O,X,O,O,X,X
JSTZOLI,O,X,O,X,X,X
JSTOILZ,O,X,O,O,O,X
JSTOIZL,O,X,O,O,O,X
JSTOLIZ,O,X,O,O,X,X
JSTOLZI,O,X,O,O,X,X
JSTOZIL,O,X,O,O,X,X
JSTOZLI,O,X,O,X,X,X
JSITLZO,O,X,X,O,O,X
JSITLOZ,O,X,X,O,O,X
JSITZLO,O,X,X,X,O,X
JSITZOL,O,X,X,O,O,X
JSITOLZ,O,X,X,O,O,X
JSITOZL,O,X,X,O,O,X
JSILTZO,O,X,X,O,X,X
JSILTOZ,O,X,X,O,X,X
JSILZTO,O,X,X,O,X,X
JSILZOT,O,X,X,O,X,X
JSILOTZ,X,X,X,O,X,X
JSILOZT,X,X,X,O,X,X
JSIZTLO,O,X,X,X,X,X
JSIZTOL,O,X,X,O,X,X
JSIZLTO,O,X,X,O,X,X
JSIZLOT,O,X,X,O,X,X
JSIZOTL,O,X,X,O,X,X
JSIZOLT,O,X,X,O,X,X
JSIOTLZ,X,X,X,O,O,X
JSIOTZL,X,X,X,O,O,X
JSIOLTZ,X,X,X,O,X,X
JSIOLZT,X,X,X,O,X,X
JSIOZTL,X,X,X,O,X,X
JSIOZLT,X,X,X,O,X,X
JSLTIZO,O,X,X,O,X,X
JSLTIOZ,O,X,X,O,X,X
JSLTZIO,O,X,X,O,X,X
JSLTZOI,O,X,X,O,X,X
JSLTOIZ,O,X,X,O,X,X
JSLTOZI,O,X,X,O,X,X
JSLITZO,O,X,X,O,X,X
JSLITOZ,O,X,X,O,X,X
JSLIZTO,O,X,X,O,X,X
JSLIZOT,O,X,X,O,X,X
JSLIOTZ,X,X,X,O,X,X
JSLIOZT,X,X,X,O,X,X
JSLZTIO,O,X,X,O,X,X
JSLZTOI,O,X,X,O,X,X
JSLZITO,O,X,X,O,X,X
JSLZIOT,O,X,X,O,X,O
JSLZOTI,O,X,X,O,X,O
JSLZOIT,O,X,X,O,X,O
JSLOTIZ,X,X,X,O,X,X
JSLOTZI,X,X,X,O,X,X
JSLOITZ,X,X,X,O,X,X
JSLOIZT,X,X,X,O,X,X
JSLOZTI,X,X,X,O,X,O
JSLOZIT,X,X,X,O,X,O
JSZTILO,O,X,X,X,X,X
JSZTIOL,O,X,O,O,X,X
JSZTLIO,O,X,X,X,X,X
JSZTLOI,O,X,X,X,X,X
JSZTOIL,O,X,O,O,X,X
JSZTOLI,O,X,O,X,X,X
JSZITLO,O,X,X,X,X,X
JSZITOL,O,X,O,O,X,X
JSZILTO,O,X,X,O,X,X
JSZILOT,O,X,O,O,X,X
JSZIOTL,O,X,O,O,X,X
JSZIOLT,O,X,O,O,X,X
JSZLTIO,O,X,X,O,X,X
JSZLTOI,O,X,X,O,X,X
JSZLITO,O,X,X,O,X,X
JSZLIOT,O,X,O,O,X,O
JSZLOTI,O,X,O,O,X,O
JSZLOIT,O,X,O,O,X,O
JSZOTIL,O,X,O,O,X,X
JSZOTLI,O,X,O,X,X,X
JSZOITL,O,X,O,O,X,X
JSZOILT,O,X,O,O,X,X
JSZOLTI,O,X,O,O,X,O
JSZOLIT,O,X,O,O,X,O
JSOTILZ,X,X,O,O,O,X
JSOTIZL,X,X,O,O,O,X
JSOTLIZ,X,X,O,O,X,X
JSOTLZI,X,X,O,O,X,X
JSOTZIL,X,X,O,O,X,X
JSOTZLI,X,X,O,X,X,X
JSOITLZ,X,X,X,O,O,X
JSOITZL,X,X,X,O,O,X
JSOILTZ,X,X,X,O,X,X
JSOILZT,X,X,X,O,X,X
JSOIZTL,X,X,X,O,X,X
JSOIZLT,X,X,X,O,X,X
JSOLTIZ,X,X,X,O,X,X
JSOLTZI,X,X,X,O,X,X
JSOLITZ,X,X,X,O,X,X
JSOLIZT,X,X,X,O,X,X
JSOLZTI,X,X,X,O,X,O
JSOLZIT,X,X,X,O,X,O
JSOZTIL,X,X,O,O,X,X
JSOZTLI,X,X,O,X,X,X
JSOZITL,X,X,O,O,X,X
JSOZILT,X,X,O,O,X,X
JSOZLTI,X,X,O,O,X,O
JSOZLIT,X,X,O,O,X,O
JZTILSO,O,X,X,X,O,X
JZTILOS,O,O,X,X,O,X
JZTISLO,O,X,X,X,O,X
JZTISOL,O,X,O,X,O,X
JZTIOLS,O,O,X,X,O,X
JZTIOSL,O,X,O,X,O,X
JZTLISO,O,X,X,X,X,X
JZTLIOS,O,O,X,X,X,O
JZTLSIO,O,X,X,X,X,X
JZTLSOI,O,X,X,X,X,X
JZTLOIS,O,O,X,X,X,O
JZTLOSI,O,O,X,X,X,O
JZTSILO,O,X,X,X,X,X
JZTSIOL,O,X,O,X,X,X
JZTSLIO,O,X,X,X,X,X
JZTSLOI,O,X,X,X,X,X
JZTSOIL,O,X,O,X,X,X
JZTSOLI,O,X,O,X,X,X
JZTOILS,O,O,X,X,O,X
JZTOISL,O,X,O,X,O,X
JZTOLIS,O,O,X,X,X,O
JZTOLSI,O,O,X,X,X,O
JZTOSIL,O,X,O,X,X,X
JZTOSLI,O,X,O,X,X,X
JZITLSO,O,X,X,X,O,X
JZITLOS,O,O,X,X,O,X
JZITSLO,O,X,X,X,O,X
JZITSOL,O,X,O,X,O,X
JZITOLS,O,O,X,X,O,X
JZITOSL,O,X,O,X,O,X
JZILTSO,O,X,X,X,X,X
JZILTOS,O,O,X,X,X,O
JZILSTO,O,X,X,O,X,X
JZILSOT,O,O,O,O,X,O
JZILOTS,O,O,X,X,X,O
JZILOST,O,O,O,O,X,O
JZISTLO,O,X,X,X,X,X
JZISTOL,O,X,O,O,X,X
JZISLTO,O,X,X,O,X,X
JZISLOT,O,O,O,O,X,X
JZISOTL,O,X,O,O,X,X
