sequence,v115@9gA8IeB8HeB8GeE8DeB8JeaFJvhFRhBGjBzlB8sB3r?BFsB,v115@9gA8IeB8HeB8GeE8DeB8JeFAJvhFxhBTjB3lB0nBir?BWxB,v115@9gA8IeB8HeB8GeE8DeB8JeFAJvhFxhBTjB3lBcrB2s?BSxB,v115@9gA8IeB8HeB8GeE8DeB8JeRAJvhFzhBcoBilBFrBXs?BusB,v115@9gA8IeB8HeB8GeE8DeB8JeUAJvhFWnBTjBxqBlsBar?BXsB,v115@9gA8IeB8HeB8GeE8DeB8JeUAJvhFFhBXiBTjBmqBRs?BSxB,v115@9gA8IeB8HeB8GeE8DeB8JeUAJvhFTjBxmB3lBCnB2w?BlsB,v115@9gA8IeB8HeB8GeE8DeB8Je3AJvhFTjBxmBUlBCnB2w?BlsB,v115@9gA8IeB8HeB8GeE8DeB8JeRAJvhFcmBSoBTlB/sBmn?B1wB,v115@9gA8IeB8HeB8GeE8DeB8JeRAJvhFUiB2qBXoBzrBFr?BCtB
TSOLIJZ,O,O,X,O,X,X,X,X,X,X
TSOLIZJ,O,O,O,O,X,X,X,X,O,X
TSOLJIZ,O,O,X,O,X,X,X,X,X,X
TSOLJZI,X,X,O,O,X,X,X,X,O,X
TSOLZIJ,O,O,O,O,X,X,X,X,O,X
TSOLZJI,O,O,O,O,X,X,X,X,O,X
TSOJILZ,O,O,X,X,O,X,X,X,X,O
TSOJIZL,X,O,O,X,O,X,X,X,X,O
TSOJLIZ,O,O,X,O,X,X,X,X,X,O
TSOJLZI,X,X,O,O,X,X,X,X,O,O
TSOJZIL,X,O,O,X,O,X,X,X,O,O
TSOJZLI,X,O,O,O,X,X,X,X,O,O
TSOZILJ,O,O,O,O,O,X,O,X,O,X
TSOZIJL,O,O,O,X,O,X,O,X,O,X
TSOZLIJ,O,O,O,O,X,X,X,X,O,X
TSOZLJI,O,O,O,O,X,X,X,X,O,X
TSOZJIL,O,O,O,X,O,X,O,X,O,O
TSOZJLI,O,O,O,O,X,X,X,X,O,O
TZILJSO,X,X,X,O,O,X,X,X,X,X
TZILJOS,X,O,O,X,O,X,X,X,X,X
TZILSJO,X,O,X,O,O,X,X,X,X,X
TZILSOJ,X,O,X,O,O,X,X,X,X,X
TZILOJS,X,O,O,X,O,X,O,X,X,X
TZILOSJ,X,O,O,O,O,X,O,X,X,X
TZIJLSO,X,X,X,O,O,O,X,X,X,X
TZIJLOS,X,X,O,X,O,O,O,X,X,X
TZIJSLO,X,X,O,O,O,O,X,X,X,X
TZIJSOL,X,X,O,X,O,O,O,X,X,X
TZIJOLS,X,O,O,X,O,O,O,X,X,X
TZIJOSL,X,O,O,X,O,O,O,X,X,X
TZISLJO,X,O,O,O,O,X,X,X,X,X
TZISLOJ,X,O,O,O,O,X,X,X,O,X
TZISJLO,X,X,O,O,O,O,X,X,X,X
TZISJOL,X,O,O,X,O,O,X,X,X,X
TZISOLJ,X,O,O,O,O,X,O,O,O,X
TZISOJL,X,O,O,X,O,O,O,O,O,X
TZIOLJS,X,O,O,X,O,X,O,X,X,X
TZIOLSJ,X,O,O,O,O,X,O,X,O,X
TZIOJLS,X,O,O,X,O,O,O,X,X,X
TZIOJSL,X,O,O,X,O,O,O,X,O,X
TZIOSLJ,X,O,O,O,O,X,O,O,O,X
TZIOSJL,X,O,O,X,O,O,O,O,O,X
TZLIJSO,X,X,X,O,O,X,X,X,X,X
TZLIJOS,X,O,O,X,O,X,X,X,X,X
TZLISJO,X,O,X,O,O,X,X,X,X,X
TZLISOJ,X,O,X,O,O,X,X,X,X,X
TZLIOJS,X,O,O,X,O,X,O,X,X,X
TZLIOSJ,X,O,O,O,O,X,O,X,X,X
TZLJISO,X,X,X,O,O,O,X,X,X,X
TZLJIOS,X,O,O,X,O,O,O,X,X,X
TZLJSIO,X,X,X,O,X,X,X,X,X,X
TZLJSOI,O,X,X,O,X,X,X,X,X,X
TZLJOIS,O,O,O,X,O,O,O,X,X,X
TZLJOSI,O,X,X,X,X,X,X,X,X,X
TZLSIJO,X,O,X,O,X,X,X,X,X,X
TZLSIOJ,X,O,X,O,X,X,X,X,O,X
TZLSJIO,X,O,X,O,X,X,X,X,X,X
TZLSJOI,O,O,X,O,X,X,X,X,O,X
TZLSOIJ,O,O,X,O,X,X,X,X,O,X
TZLSOJI,O,O,X,O,X,X,X,X,O,X
TZLOIJS,O,O,O,X,O,X,O,X,X,X
TZLOISJ,X,O,O,O,O,X,O,X,O,X
TZLOJIS,O,O,O,X,O,O,O,X,X,X
TZLOJSI,O,X,X,X,X,X,X,X,X,X
TZLOSIJ,O,O,X,O,X,X,X,X,O,X
TZLOSJI,O,O,X,O,X,X,X,X,O,X
TZJILSO,X,X,X,O,O,O,X,X,X,X
TZJILOS,X,X,O,X,O,O,O,X,X,X
TZJISLO,X,X,O,O,O,O,X,X,X,X
TZJISOL,X,X,O,X,O,O,O,X,X,X
TZJIOLS,X,O,O,X,O,O,O,X,X,X
TZJIOSL,X,O,O,X,O,O,O,X,X,X
TZJLISO,X,X,X,O,O,O,X,X,X,X
TZJLIOS,X,O,O,X,O,O,O,X,X,X
TZJLSIO,X,X,X,O,X,X,X,X,X,X
TZJLSOI,O,X,X,O,X,X,X,X,X,X
TZJLOIS,O,O,O,X,O,O,O,X,X,X
TZJLOSI,O,X,X,X,X,X,X,X,X,X
TZJSILO,X,X,O,O,O,O,X,X,X,X
TZJSIOL,X,O,O,X,O,O,O,X,X,X
TZJSLIO,X,O,O,O,X,X,X,X,X,X
TZJSLOI,O,O,O,O,X,X,X,X,O,X
TZJSOIL,O,O,O,X,O,O,O,X,O,X
TZJSOLI,O,O,O,O,X,X,X,X,O,X
TZJOILS,O,O,O,X,O,O,O,X,X,X
TZJOISL,X,O,O,X,O,O,O,X,O,X
TZJOLIS,O,O,O,X,O,O,O,X,X,X
TZJOLSI,O,X,X,X,X,X,X,X,X,X
TZJOSIL,O,O,O,X,O,O,O,X,O,X
TZJOSLI,O,O,O,X,X,X,X,X,O,X
TZSILJO,X,O,O,O,O,X,X,X,X,X
TZSILOJ,X,O,O,O,O,X,X,X,O,X
TZSIJLO,X,X,O,O,O,X,X,X,X,X
TZSIJOL,X,O,O,X,O,X,X,X,X,X
TZSIOLJ,X,O,O,O,O,X,O,X,O,X
TZSIOJL,X,O,O,X,O,X,O,X,O,X
TZSLIJO,X,O,O,O,X,X,X,X,X,X
TZSLIOJ,X,O,O,O,X,X,X,X,O,X
TZSLJIO,X,O,O,O,X,X,X,X,X,X
TZSLJOI,O,O,O,O,X,X,X,X,O,X
TZSLOIJ,O,O,O,O,X,X,X,X,O,X
TZSLOJI,O,O,O,O,X,X,X,X,O,X
TZSJILO,X,X,O,O,O,O,X,X,X,X
TZSJIOL,X,O,O,X,O,O,O,X,X,X
TZSJLIO,X,O,O,O,X,X,X,X,X,X
TZSJLOI,O,O,O,O,X,X,X,X,O,X
TZSJOIL,O,O,O,X,O,O,O,X,O,X
TZSJOLI,O,O,O,O,X,X,X,X,O,X
TZSOILJ,O,O,O,O,O,X,O,X,O,X
TZSOIJL,O,O,O,X,O,X,O,X,O,X
TZSOLIJ,O,O,O,O,X,X,X,X,O,X
TZSOLJI,O,O,O,O,X,X,X,X,O,X
TZSOJIL,O,O,O,X,O,O,O,X,O,X
TZSOJLI,O,O,O,O,X,X,X,X,O,X
TZOILJS,O,O,O,X,O,X,O,X,X,X
TZOILSJ,X,O,O,O,O,X,O,X,O,X
TZOIJLS,O,O,O,X,O,O,O,X,X,X
TZOIJSL,X,O,O,X,O,O,O,X,O,X
TZOISLJ,X,O,O,O,O,X,O,O,O,X
TZOISJL,X,O,O,X,O,O,O,O,O,X
TZOLIJS,O,O,O,X,O,X,O,X,X,X
TZOLISJ,X,O,O,O,O,X,O,X,O,X
TZOLJIS,O,O,O,X,O,O,O,X,X,X
TZOLJSI,O,X,X,X,X,X,X,X,X,X
TZOLSIJ,O,O,X,O,X,X,X,X,O,X
TZOLSJI,O,O,X,O,X,X,X,X,O,X
TZOJILS,O,O,O,X,O,O,O,X,X,X
TZOJISL,X,O,O,X,O,O,O,X,O,X
TZOJLIS,O,O,O,X,O,O,O,X,X,X
TZOJLSI,O,X,X,X,X,X,X,X,X,X
TZOJSIL,O,O,O,X,O,O,O,X,O,X
TZOJSLI,O,O,O,X,X,X,X,X,O,X
TZOSILJ,O,O,O,O,O,X,O,X,O,X
TZOSIJL,O,O,O,X,O,X,O,X,O,X
TZOSLIJ,O,O,O,O,X,X,X,X,O,X
TZOSLJI,O,O,O,O,X,X,X,X,O,X
TZOSJIL,O,O,O,X,O,O,O,X,O,X
TZOSJLI,O,O,O,O,X,X,X,X,O,X
TOILJSZ,O,X,X,O,O,X,X,X,X,X
TOILJZS,O,X,X,X,O,X,X,X,X,X
TOILSJZ,O,X,X,O,O,X,X,O,X,X
TOILSZJ,O,X,X,O,O,X,X,O,X,X
TOILZJS,O,X,X,X,O,X,O,X,X,X
TOILZSJ,X,X,X,O,O,X,O,X,X,X
TOIJLSZ,O,X,X,X,O,O,X,X,X,X
TOIJLZS,O,X,O,X,O,O,X,X,X,X
TOIJSLZ,X,X,X,X,O,O,X,O,X,X
TOIJSZL,X,X,O,X,O,O,X,O,X,X
TOIJZLS,X,X,O,X,O,O,O,X,X,X
TOIJZSL,X,X,O,X,O,O,O,X,X,X
TOISLJZ,O,O,X,O,O,X,X,O,X,X
TOISLZJ,O,O,O,O,O,X,X,O,O,X
TOISJLZ,O,O,X,X,O,O,X,O,X,X
TOISJZL,X,O,O,X,O,O,X,O,X,X
TOISZLJ,O,O,O,O,O,X,O,O,O,X
TOISZJL,O,O,O,X,O,O,O,O,O,X
TOIZLJS,O,O,O,X,O,X,O,X,X,X
TOIZLSJ,X,O,O,O,O,X,O,X,O,X
TOIZJLS,O,O,O,X,O,O,O,X,X,X
TOIZJSL,X,O,O,X,O,O,O,X,O,X
TOIZSLJ,X,O,O,O,O,X,O,O,O,X
TOIZSJL,X,O,O,X,O,O,O,O,O,X
TOLIJSZ,O,X,X,O,O,X,X,X,X,X
TOLIJZS,O,X,X,X,O,X,X,X,X,X
TOLISJZ,O,X,X,O,O,X,X,O,X,X
TOLISZJ,O,X,X,O,O,X,X,O,X,X
TOLIZJS,O,X,X,X,O,X,O,X,X,X
TOLIZSJ,X,X,X,O,O,X,O,X,X,X
TOLJISZ,O,X,X,O,O,X,X,X,X,X
TOLJIZS,O,X,O,X,O,X,X,X,X,X
TOLJSIZ,O,X,X,O,X,X,X,X,X,X
TOLJSZI,X,X,O,O,X,X,X,X,X,X
TOLJZIS,O,X,O,X,O,X,X,X,X,X
TOLJZSI,O,X,X,X,X,X,X,X,X,X
TOLSIJZ,O,O,X,O,X,X,X,X,X,X
TOLSIZJ,O,O,O,O,X,X,X,X,O,X
TOLSJIZ,O,O,X,O,X,X,X,X,X,X
TOLSJZI,X,X,O,O,X,X,X,X,O,X
TOLSZIJ,O,O,O,O,X,X,X,X,O,X
TOLSZJI,O,O,O,O,X,X,X,X,O,X
TOLZIJS,O,O,O,X,O,X,O,X,X,X
TOLZISJ,X,O,O,O,O,X,O,X,O,X
TOLZJIS,O,O,O,X,O,X,O,X,X,X
TOLZJSI,O,X,X,X,X,X,X,X,X,X
TOLZSIJ,O,O,X,O,X,X,X,X,O,X
TOLZSJI,O,O,X,O,X,X,X,X,O,X
TOJILSZ,O,X,X,X,O,O,X,O,X,X
TOJILZS,O,X,O,X,O,O,O,X,X,X
TOJISLZ,X,X,X,X,O,O,X,O,X,X
TOJISZL,X,X,O,X,O,O,O,O,X,X
TOJIZLS,X,X,O,X,O,O,O,X,X,X
TOJIZSL,X,X,O,X,O,O,O,O,X,X
TOJLISZ,O,X,X,O,O,O,X,O,X,X
TOJLIZS,O,X,O,X,O,O,O,X,X,X
TOJLSIZ,O,X,X,O,X,X,X,X,X,X
TOJLSZI,X,X,O,O,X,X,X,X,X,X
TOJLZIS,O,X,O,X,O,O,O,X,X,X
TOJLZSI,O,X,X,X,X,X,X,X,X,X
TOJSILZ,O,O,X,X,O,O,X,O,X,O
TOJSIZL,X,O,O,X,O,O,O,O,X,O
TOJSLIZ,O,O,X,O,X,X,X,X,X,O
TOJSLZI,X,X,O,O,X,X,X,X,O,O
TOJSZIL,X,O,O,X,O,O,O,X,O,O
TOJSZLI,X,O,O,O,X,X,X,X,O,O
TOJZILS,O,O,O,X,O,O,O,X,X,X
TOJZISL,X,O,O,X,O,O,O,O,O,X
TOJZLIS,O,O,O,X,O,O,O,X,X,X
TOJZLSI,O,X,X,X,X,X,X,X,X,X
TOJZSIL,O,O,O,X,O,O,O,X,O,O
TOJZSLI,O,O,O,X,X,X,X,X,O,O
TOSILJZ,O,O,X,O,O,X,X,O,X,X
TOSILZJ,O,O,O,O,O,X,X,O,O,X
TOSIJLZ,O,O,X,X,O,X,X,O,X,X
TOSIJZL,X,O,O,X,O,X,X,O,X,X
TOSIZLJ,O,O,O,O,O,X,O,O,O,X
TOSIZJL,O,O,O,X,O,X,O,O,O,X
TOSLIJZ,O,O,X,O,X,X,X,X,X,X
TOSLIZJ,O,O,O,O,X,X,X,X,O,X
TOSLJIZ,O,O,X,O,X,X,X,X,X,X
TOSLJZI,X,X,O,O,X,X,X,X,O,X
TOSLZIJ,O,O,O,O,X,X,X,X,O,X
TOSLZJI,O,O,O,O,X,X,X,X,O,X
TOSJILZ,O,O,X,X,O,X,X,X,X,O
TOSJIZL,X,O,O,X,O,X,X,X,X,O
TOSJLIZ,O,O,X,O,X,X,X,X,X,O
TOSJLZI,X,X,O,O,X,X,X,X,O,O
TOSJZIL,X,O,O,X,O,X,X,X,O,O
TOSJZLI,X,O,O,O,X,X,X,X,O,O
TOSZILJ,O,O,O,O,O,X,O,X,O,X
TOSZIJL,O,O,O,X,O,X,O,X,O,X
TOSZLIJ,O,O,O,O,X,X,X,X,O,X
TOSZLJI,O,O,O,O,X,X,X,X,O,X
TOSZJIL,O,O,O,X,O,X,O,X,O,O
TOSZJLI,O,O,O,O,X,X,X,X,O,O
TOZILJS,O,O,O,X,O,X,O,X,X,X
TOZILSJ,X,O,O,O,O,X,O,X,O,X
TOZIJLS,O,O,O,X,O,O,O,X,X,X
TOZIJSL,X,O,O,X,O,O,O,X,O,X
TOZISLJ,X,O,O,O,O,X,O,O,O,X
TOZISJL,X,O,O,X,O,O,O,O,O,X
TOZLIJS,O,O,O,X,O,X,O,X,X,X
TOZLISJ,X,O,O,O,O,X,O,X,O,X
TOZLJIS,O,O,O,X,O,O,O,X,X,X
TOZLJSI,O,X,X,X,X,X,X,X,X,X
TOZLSIJ,O,O,X,O,X,X,X,X,O,X
TOZLSJI,O,O,X,O,X,X,X,X,O,X
TOZJILS,O,O,O,X,O,O,O,X,X,X
TOZJISL,X,O,O,X,O,O,O,X,O,X
TOZJLIS,O,O,O,X,O,O,O,X,X,X
TOZJLSI,O,X,X,X,X,X,X,X,X,X
TOZJSIL,O,O,O,X,O,O,O,X,O,O
TOZJSLI,O,O,O,X,X,X,X,X,O,O
TOZSILJ,O,O,O,O,O,X,O,X,O,X
TOZSIJL,O,O,O,X,O,X,O,X,O,X
TOZSLIJ,O,O,O,O,X,X,X,X,O,X
TOZSLJI,O,O,O,O,X,X,X,X,O,X
TOZSJIL,O,O,O,X,O,O,O,X,O,O
TOZSJLI,O,O,O,O,X,X,X,X,O,O
ITLJSZO,X,X,X,O,O,X,X,X,X,X
ITLJSOZ,X,X,X,O,O,X,X,X,X,X
ITLJZSO,X,X,X,O,O,X,X,X,X,X
ITLJZOS,X,X,X,X,O,X,X,X,X,X
ITLJOSZ,X,X,X,O,O,X,X,X,X,X
ITLJOZS,X,X,X,X,O,X,X,X,X,X
ITLSJZO,X,X,X,O,O,X,X,X,X,X
ITLSJOZ,X,X,X,O,O,X,X,X,X,X
ITLSZJO,X,X,X,O,O,X,X,X,X,X
ITLSZOJ,X,X,X,O,O,X,X,X,X,X
ITLSOJZ,X,X,X,O,O,X,X,O,X,X
ITLSOZJ,X,X,X,O,O,X,X,O,X,X
ITLZJSO,X,X,X,O,O,X,X,X,X,X
ITLZJOS,X,O,X,X,O,X,X,X,X,X
ITLZSJO,X,X,X,O,O,X,X,X,X,X
ITLZSOJ,X,O,X,O,O,X,X,X,X,X
ITLZOJS,X,O,X,X,O,X,O,X,X,X
ITLZOSJ,X,O,X,O,O,X,O,X,X,X
ITLOJSZ,X,X,X,O,O,X,X,X,X,X
ITLOJZS,X,X,X,X,O,X,X,X,X,X
ITLOSJZ,X,X,X,O,O,X,X,O,X,X
ITLOSZJ,X,X,X,O,O,X,X,O,X,X
ITLOZJS,X,X,X,X,O,X,O,X,X,X
ITLOZSJ,X,X,X,O,O,X,O,X,X,X
ITJLSZO,X,X,X,O,O,O,X,X,X,X
ITJLSOZ,X,X,X,O,O,O,X,X,X,X
ITJLZSO,X,X,X,O,O,O,X,X,X,X
ITJLZOS,X,X,X,X,O,O,X,X,X,X
ITJLOSZ,X,X,X,O,O,O,X,X,X,X
ITJLOZS,X,X,O,X,O,O,X,X,X,X
ITJSLZO,X,X,X,O,O,O,X,X,X,X
ITJSLOZ,X,X,X,O,O,O,X,X,X,X
ITJSZLO,X,X,O,O,O,O,X,X,X,X
ITJSZOL,X,X,O,X,O,O,X,X,X,X
ITJSOLZ,X,X,X,X,O,O,X,O,X,X
ITJSOZL,X,X,O,X,O,O,X,O,X,X
ITJZLSO,X,X,X,O,O,O,X,X,X,X
ITJZLOS,X,X,O,X,O,O,X,X,X,X
ITJZSLO,X,X,X,O,O,O,X,X,X,X
ITJZSOL,X,X,O,X,O,O,X,X,X,X
ITJZOLS,X,X,O,X,O,O,O,X,X,X
ITJZOSL,X,X,O,X,O,O,O,X,X,X
ITJOLSZ,X,X,X,X,O,O,X,X,X,X
ITJOLZS,X,X,O,X,O,O,X,X,X,X
ITJOSLZ,X,X,X,X,O,O,X,O,X,X
ITJOSZL,X,X,O,X,O,O,X,O,X,X
ITJOZLS,X,X,O,X,O,O,O,X,X,X
ITJOZSL,X,X,O,X,O,O,O,X,X,X
ITSLJZO,X,O,X,O,O,X,X,X,X,X
ITSLJOZ,X,O,X,O,O,X,X,X,X,X
ITSLZJO,X,O,O,O,O,X,X,X,X,X
ITSLZOJ,X,O,O,O,O,X,X,X,O,X
ITSLOJZ,X,O,X,O,O,X,X,O,X,X
ITSLOZJ,X,O,O,O,O,X,X,O,O,X
ITSJLZO,X,O,X,O,O,O,X,X,X,X
ITSJLOZ,X,O,X,O,O,O,X,X,X,X
ITSJZLO,X,X,O,O,O,O,X,X,X,X
ITSJZOL,X,O,O,X,O,O,X,X,X,X
ITSJOLZ,X,O,X,X,O,O,X,O,X,X
ITSJOZL,X,O,O,X,O,O,X,O,X,X
ITSZLJO,X,O,O,O,O,X,X,X,X,X
ITSZLOJ,X,O,O,O,O,X,X,X,O,X
ITSZJLO,X,X,O,O,O,O,X,X,X,X
ITSZJOL,X,O,O,X,O,O,X,X,X,X
ITSZOLJ,X,O,O,O,O,X,O,O,O,X
ITSZOJL,X,O,O,X,O,O,O,O,O,X
ITSOLJZ,X,O,X,O,O,X,X,O,X,X
ITSOLZJ,X,O,O,O,O,X,X,O,O,X
ITSOJLZ,X,O,X,X,O,O,X,O,X,X
ITSOJZL,X,O,O,X,O,O,X,O,X,X
ITSOZLJ,X,O,O,O,O,X,O,O,O,X
ITSOZJL,X,O,O,X,O,O,O,O,O,X
ITZLJSO,X,X,X,O,O,X,X,X,X,X
ITZLJOS,X,O,O,X,O,X,X,X,X,X
ITZLSJO,X,X,X,O,O,X,X,X,X,X
ITZLSOJ,X,O,X,O,O,X,X,X,X,X
ITZLOJS,X,O,O,X,O,X,O,X,X,X
ITZLOSJ,X,O,O,O,O,X,O,X,X,X
ITZJLSO,X,X,X,O,O,O,X,X,X,X
ITZJLOS,X,X,O,X,O,O,O,X,X,X
ITZJSLO,X,X,X,O,O,O,X,X,X,X
ITZJSOL,X,X,O,X,O,O,O,X,X,X
ITZJOLS,X,O,O,X,O,O,O,X,X,X
ITZJOSL,X,O,O,X,O,O,O,X,X,X
ITZSLJO,X,O,X,O,O,X,X,X,X,X
ITZSLOJ,X,O,X,O,O,X,X,X,O,X
ITZSJLO,X,X,X,O,O,O,X,X,X,X
ITZSJOL,X,O,O,X,O,O,X,X,X,X
ITZSOLJ,X,O,O,O,O,X,O,O,O,X
ITZSOJL,X,O,O,X,O,O,O,O,O,X
ITZOLJS,X,O,O,X,O,X,O,X,X,X
ITZOLSJ,X,O,O,O,O,X,O,X,O,X
ITZOJLS,X,O,O,X,O,O,O,X,X,X
ITZOJSL,X,O,O,X,O,O,O,X,O,X
ITZOSLJ,X,O,O,O,O,X,O,O,O,X
ITZOSJL,X,O,O,X,O,O,O,O,O,X
ITOLJSZ,X,X,X,O,O,X,X,X,X,X
ITOLJZS,X,X,X,X,O,X,X,X,X,X
ITOLSJZ,X,X,X,O,O,X,X,O,X,X
ITOLSZJ,X,X,X,O,O,X,X,O,X,X
ITOLZJS,X,X,X,X,O,X,O,X,X,X
ITOLZSJ,X,X,X,O,O,X,O,X,X,X
ITOJLSZ,X,X,X,X,O,O,X,X,X,X
ITOJLZS,X,X,O,X,O,O,X,X,X,X
ITOJSLZ,X,X,X,X,O,O,X,O,X,X
ITOJSZL,X,X,O,X,O,O,X,O,X,X
ITOJZLS,X,X,O,X,O,O,O,X,X,X
ITOJZSL,X,X,O,X,O,O,O,X,X,X
ITOSLJZ,X,O,X,O,O,X,X,O,X,X
ITOSLZJ,X,O,O,O,O,X,X,O,O,X
ITOSJLZ,X,O,X,X,O,O,X,O,X,X
ITOSJZL,X,O,O,X,O,O,X,O,X,X
ITOSZLJ,X,O,O,O,O,X,O,O,O,X
ITOSZJL,X,O,O,X,O,O,O,O,O,X
ITOZLJS,X,O,O,X,O,X,O,X,X,X
ITOZLSJ,X,O,O,O,O,X,O,X,O,X
ITOZJLS,X,O,O,X,O,O,O,X,X,X
ITOZJSL,X,O,O,X,O,O,O,X,O,X
ITOZSLJ,X,O,O,O,O,X,O,O,O,X
ITOZSJL,X,O,O,X,O,O,O,O,O,X
ILTJSZO,X,X,X,O,O,X,X,X,X,X
ILTJSOZ,X,X,X,O,O,X,X,X,X,X
ILTJZSO,X,X,X,O,O,X,X,X,X,X
ILTJZOS,X,X,X,X,O,X,X,X,X,X
ILTJOSZ,X,X,X,O,O,X,X,X,X,X
ILTJOZS,X,X,X,X,O,X,X,X,X,X
ILTSJZO,X,X,X,O,O,X,X,X,X,X
ILTSJOZ,X,X,X,O,O,X,X,X,X,X
ILTSZJO,X,X,X,O,O,X,X,X,X,X
ILTSZOJ,X,X,X,O,O,X,X,X,X,X
ILTSOJZ,X,X,X,O,O,X,X,X,X,X
ILTSOZJ,X,X,X,O,O,X,X,X,X,X
ILTZJSO,X,X,X,O,O,X,X,X,X,X
ILTZJOS,X,O,X,X,O,X,X,X,X,X
ILTZSJO,X,X,X,O,O,X,X,X,X,X
ILTZSOJ,X,O,X,O,O,X,X,X,X,X
ILTZOJS,X,O,X,X,O,X,X,X,X,X
ILTZOSJ,X,O,X,O,O,X,X,X,X,X
ILTOJSZ,X,X,X,O,O,X,X,X,X,X
ILTOJZS,X,X,X,X,O,X,X,X,X,X
ILTOSJZ,X,X,X,O,O,X,X,X,X,X
ILTOSZJ,X,X,X,O,O,X,X,X,X,X
ILTOZJS,X,X,X,X,O,X,X,X,X,X
ILTOZSJ,X,X,X,O,O,X,X,X,X,X
ILJTSZO,X,X,X,O,X,O,X,X,X,X
ILJTSOZ,X,X,X,O,X,O,X,X,X,X
ILJTZSO,X,X,X,O,X,O,X,X,X,X
ILJTZOS,X,X,X,X,X,O,X,X,X,X
ILJTOSZ,X,X,X,O,X,O,X,X,X,X
ILJTOZS,X,X,X,X,X,O,X,X,X,X
ILJSTZO,X,X,X,X,X,O,X,X,X,X
ILJSTOZ,X,X,X,X,X,O,X,X,X,X
ILJSZTO,X,X,X,X,X,O,X,X,X,X
ILJSZOT,X,X,X,X,X,O,X,X,X,X
ILJSOTZ,O,X,X,X,X,O,X,X,X,X
ILJSOZT,O,X,X,X,X,O,X,X,X,X
ILJZTSO,X,X,X,O,X,O,X,X,X,X
ILJZTOS,X,X,X,X,X,O,X,X,X,X
ILJZSTO,X,X,X,X,X,O,X,X,X,X
ILJZSOT,O,X,X,X,X,O,X,X,X,X
ILJZOTS,O,X,X,X,X,O,X,X,X,X
ILJZOST,O,X,X,X,X,O,X,X,X,X
ILJOTSZ,O,X,X,X,X,O,X,X,X,X
ILJOTZS,O,X,X,X,X,O,X,X,X,X
ILJOSTZ,O,X,X,X,X,O,X,X,X,X
ILJOSZT,O,X,X,X,X,O,X,X,X,X
ILJOZTS,O,X,X,X,X,O,X,X,X,X
ILJOZST,O,X,X,X,X,O,X,X,X,X
ILSTJZO,X,O,X,O,X,X,X,X,X,X
ILSTJOZ,X,O,X,O,X,X,X,X,X,X
ILSTZJO,X,O,X,O,X,X,X,X,X,X
ILSTZOJ,X,O,X,O,X,X,X,X,X,X
ILSTOJZ,X,O,X,O,X,X,X,X,X,X
ILSTOZJ,X,O,X,O,X,X,X,X,X,X
ILSJTZO,X,O,X,X,X,O,X,X,X,X
ILSJTOZ,X,O,X,X,X,O,X,X,X,X
ILSJZTO,X,O,X,X,X,O,X,X,X,X
ILSJZOT,X,O,X,X,X,O,X,X,X,X
ILSJOTZ,O,O,X,X,X,O,X,X,X,X
ILSJOZT,O,X,X,X,X,O,X,X,X,X
ILSZTJO,X,O,X,O,X,X,X,X,X,X
ILSZTOJ,X,O,X,O,X,X,X,X,X,X
ILSZJTO,X,O,X,X,X,O,X,X,X,X
ILSZJOT,O,O,X,X,X,O,X,X,X,X
ILSZOTJ,O,O,X,X,X,X,X,X,X,X
ILSZOJT,O,O,X,X,X,O,X,X,X,X
ILSOTJZ,O,O,X,X,X,X,X,X,X,X
ILSOTZJ,O,O,X,X,X,X,X,X,O,X
ILSOJTZ,O,O,X,X,X,O,X,X,X,X
ILSOJZT,O,X,X,X,X,O,X,X,X,X
ILSOZTJ,O,O,X,X,X,X,X,X,X,X
ILSOZJT,O,O,X,X,X,O,X,X,X,X
ILZTJSO,X,X,X,O,O,X,X,X,X,X
ILZTJOS,X,O,X,X,O,X,X,X,X,X
ILZTSJO,X,O,X,O,O,X,X,X,X,X
ILZTSOJ,X,O,X,O,O,X,X,X,X,X
ILZTOJS,X,O,X,X,O,X,X,X,X,X
ILZTOSJ,X,O,X,O,O,X,X,X,X,X
ILZJTSO,X,X,X,O,X,O,X,X,X,X
ILZJTOS,X,O,X,X,X,O,X,X,X,X
ILZJSTO,X,O,X,X,X,O,X,X,X,X
ILZJSOT,O,O,X,X,X,O,X,X,X,X
ILZJOTS,O,O,X,X,X,O,X,X,X,X
ILZJOST,O,O,X,X,X,O,X,X,X,X
ILZSTJO,X,O,X,O,X,X,X,X,X,X
ILZSTOJ,X,O,X,O,X,X,X,X,X,X
ILZSJTO,X,O,X,X,X,O,X,X,X,X
ILZSJOT,O,O,X,X,X,O,X,X,X,X
ILZSOTJ,O,O,X,X,X,X,X,X,X,X
ILZSOJT,O,O,X,X,X,O,X,X,X,X
ILZOTJS,O,O,X,X,O,X,X,X,X,X
ILZOTSJ,X,O,X,O,O,X,X,X,X,X
ILZOJTS,O,O,X,X,X,O,X,X,X,X
ILZOJST,O,O,X,X,X,O,X,X,X,X
ILZOSTJ,O,O,X,X,X,X,X,X,X,X
ILZOSJT,O,O,X,X,X,O,X,X,X,X
ILOTJSZ,O,X,X,O,O,X,X,X,X,X
ILOTJZS,O,X,X,X,O,X,X,X,X,X
ILOTSJZ,O,X,X,O,O,X,X,X,X,X
ILOTSZJ,O,X,X,O,O,X,X,X,X,X
