sequence,v115@BhB8IeB8GeC8DeA8BeC8BeA8Jex/IvhF6nBTjBOpBl?lBUqBXtB,v115@BhB8IeB8GeC8DeA8BeC8BeA8JeZEJvhF0iB6oBfqBl?lBzsBGqB,v115@BhB8IeB8GeC8DeA8BeC8BeA8Jex/IvhF6nBOpBllBT?oBUqBXtB,v115@BhB8IeB8GeC8DeA8BeC8BeA8JeZEJvhFFgB0iB6oBf?qBuqBzsB,v115@BhB8IeB8GeC8DeA8BeC8BeA8JexCJvhF0kBllBCoBO?pBXtBTqB,v115@BhB8IeB8GeC8DeA8BeC8BeA8JeZEJvhFqkBllBGoBX?oBTqB0sB,v115@BhB8IeB8GeC8DeA8BeC8BeA8JeZEJvhFqkBllBGoB0?nBTqBXtB,v115@BhB8IeB8GeC8DeA8BeC8BeA8JeZEJvhF1lB6nBWqBT?oBUqBXtB,v115@BhB8IeB8GeC8DeA8BeC8BeA8JeZEJvhFukB1lBXjBc?tB6sBTqB,v115@BhB8IeB8GeC8DeA8BeC8BeA8JeZEJvhFukB1lB0iBS?tBTqBXtB,v115@BhB8IeB8GeC8DeA8BeC8BeA8Je0AJvhFxiB3kBTqBC?tBOpBFtB
TSJZOLI,O,X,X,X,X,X,X,X,X,X,X
TSJOILZ,O,O,X,O,X,X,X,O,X,X,X
TSJOIZL,O,O,X,O,X,X,X,X,X,X,X
TSJOLIZ,O,O,X,O,X,X,X,O,X,X,X
TSJOLZI,O,O,O,O,X,X,X,X,X,X,X
TSJOZIL,O,O,X,O,X,X,X,X,X,X,X
TSJOZLI,O,O,X,O,X,X,X,X,X,X,X
TSZILJO,O,X,X,O,O,X,X,X,O,X,X
TSZILOJ,O,X,X,O,O,X,X,X,X,X,X
TSZIJLO,O,X,X,O,X,X,X,X,O,X,X
TSZIJOL,O,X,X,X,X,X,X,X,O,X,X
TSZIOLJ,O,O,X,O,X,X,X,X,X,X,X
TSZIOJL,O,O,X,O,X,X,X,X,O,X,X
TSZLIJO,O,X,X,O,O,X,X,X,O,X,X
TSZLIOJ,O,X,X,O,O,X,X,X,X,X,X
TSZLJIO,O,X,X,O,O,X,X,X,O,X,X
TSZLJOI,O,X,X,X,O,X,X,X,X,X,X
TSZLOIJ,O,X,X,O,O,X,X,X,X,X,X
TSZLOJI,O,X,X,X,O,X,X,X,X,X,X
TSZJILO,O,X,X,O,X,X,X,X,O,X,X
TSZJIOL,O,X,X,X,X,X,X,X,O,X,X
TSZJLIO,O,X,X,O,O,X,X,X,O,X,X
TSZJLOI,O,X,X,X,O,X,X,X,X,X,X
TSZJOIL,O,X,X,X,X,X,X,X,O,X,X
TSZJOLI,O,X,X,X,X,X,X,X,X,X,X
TSZOILJ,O,O,X,O,X,X,X,X,X,X,X
TSZOIJL,O,O,X,O,X,X,X,X,O,X,X
TSZOLIJ,O,O,X,O,O,X,X,X,X,X,X
TSZOLJI,O,O,X,O,O,X,X,X,X,X,X
TSZOJIL,O,O,X,O,X,X,X,X,O,X,X
TSZOJLI,O,O,X,O,X,X,X,X,X,X,X
TSOILJZ,O,O,X,O,X,X,X,O,X,X,X
TSOILZJ,O,O,X,O,X,X,X,X,X,X,X
TSOIJLZ,O,O,X,O,X,X,X,O,X,X,X
TSOIJZL,O,O,X,O,X,X,X,X,X,X,X
TSOIZLJ,O,O,X,O,X,X,X,X,X,X,X
TSOIZJL,X,O,X,O,X,X,X,X,X,X,X
TSOLIJZ,O,O,X,O,X,X,X,O,X,X,X
TSOLIZJ,O,O,X,O,O,X,X,X,X,X,X
TSOLJIZ,O,O,X,O,X,X,X,O,X,X,X
TSOLJZI,O,O,O,O,X,X,X,X,X,X,X
TSOLZIJ,O,O,X,O,O,X,X,X,X,X,X
TSOLZJI,O,O,X,O,O,X,X,X,X,X,X
TSOJILZ,O,O,X,O,X,X,X,O,X,X,X
TSOJIZL,O,O,X,O,X,X,X,X,X,X,X
TSOJLIZ,O,O,X,O,X,X,X,O,X,X,X
TSOJLZI,O,O,O,O,X,X,X,X,X,X,X
TSOJZIL,O,O,X,O,X,X,X,X,X,X,X
TSOJZLI,O,O,X,O,X,X,X,X,X,X,X
TSOZILJ,O,O,X,O,X,X,X,X,X,X,X
TSOZIJL,O,O,X,O,X,X,X,X,X,X,X
TSOZLIJ,O,O,X,O,O,X,X,X,X,X,X
TSOZLJI,O,O,X,O,O,X,X,X,X,X,X
TSOZJIL,O,O,X,O,X,X,X,X,X,X,X
TSOZJLI,O,O,X,O,X,X,X,X,X,X,X
TZILJSO,O,X,O,O,X,X,X,X,O,X,X
TZILJOS,O,X,O,X,X,X,X,O,X,X,X
TZILSJO,O,X,X,O,X,X,X,X,O,X,X
TZILSOJ,O,X,X,O,X,X,X,X,X,X,X
TZILOJS,X,X,O,X,X,X,X,O,X,O,X
TZILOSJ,O,X,X,X,X,X,X,X,X,O,X
TZIJLSO,O,X,O,O,X,X,X,X,O,X,X
TZIJLOS,O,X,O,X,X,X,X,O,X,X,X
TZIJSLO,O,X,O,O,X,X,X,X,O,X,X
TZIJSOL,O,X,O,O,X,X,X,X,O,X,X
TZIJOLS,O,X,O,X,X,X,X,O,X,X,X
TZIJOSL,O,X,O,X,X,X,X,X,O,X,X
TZISLJO,O,X,X,O,O,X,X,X,O,X,X
TZISLOJ,O,X,X,O,O,X,X,X,X,X,X
TZISJLO,O,X,X,O,X,X,X,X,O,X,X
TZISJOL,O,X,X,X,X,X,X,X,O,X,X
TZISOLJ,O,X,X,O,X,X,X,X,O,X,X
TZISOJL,O,X,X,X,X,X,X,X,O,X,X
TZIOLJS,X,X,O,X,X,X,X,O,O,O,X
TZIOLSJ,O,X,X,X,X,X,X,X,O,O,X
TZIOJLS,X,X,O,X,X,X,X,O,O,O,X
TZIOJSL,X,X,O,X,X,X,X,X,O,O,X
TZIOSLJ,O,X,X,X,X,X,X,X,O,O,X
TZIOSJL,O,X,X,X,X,X,X,X,O,O,X
TZLIJSO,O,X,O,O,X,O,O,X,O,X,X
TZLIJOS,O,X,O,X,X,X,O,O,X,X,X
TZLISJO,O,X,X,O,X,X,X,X,O,X,X
TZLISOJ,O,X,X,O,X,X,X,X,X,X,X
TZLIOJS,X,X,O,X,X,X,X,O,X,O,X
TZLIOSJ,O,X,X,X,X,X,X,X,X,O,X
TZLJISO,O,X,O,O,X,O,O,X,O,X,X
TZLJIOS,O,X,O,X,X,X,O,O,X,X,X
TZLJSIO,O,X,O,O,X,X,X,X,O,X,X
TZLJSOI,O,X,O,O,X,X,X,X,X,X,X
TZLJOIS,O,X,O,X,X,X,X,O,X,X,X
TZLJOSI,O,X,O,X,X,X,X,X,X,X,X
TZLSIJO,O,X,X,O,O,X,X,X,O,X,X
TZLSIOJ,O,X,X,O,O,X,X,X,X,X,X
TZLSJIO,O,X,O,O,O,X,X,X,O,X,X
TZLSJOI,O,X,O,X,O,X,X,X,X,X,X
TZLSOIJ,O,X,X,O,O,X,X,X,X,X,X
TZLSOJI,O,X,O,X,O,X,X,X,X,X,X
TZLOIJS,X,X,O,X,X,X,X,O,X,O,X
TZLOISJ,O,X,X,X,X,X,X,X,X,O,X
TZLOJIS,O,X,O,X,X,X,X,O,X,O,X
TZLOJSI,O,X,O,X,X,X,X,X,X,O,X
TZLOSIJ,O,X,X,X,X,X,X,X,X,O,X
TZLOSJI,O,X,O,X,X,X,X,X,X,O,X
TZJILSO,O,X,O,O,X,X,X,X,O,X,X
TZJILOS,O,X,O,X,X,X,X,O,X,X,X
TZJISLO,O,X,O,O,X,X,X,X,O,X,X
TZJISOL,O,X,O,O,X,X,X,X,O,X,X
TZJIOLS,O,X,O,X,X,X,X,O,X,X,X
TZJIOSL,O,X,O,X,X,X,X,X,O,X,X
TZJLISO,O,X,O,O,X,O,O,X,O,X,X
TZJLIOS,O,X,O,X,X,X,O,O,X,X,X
TZJLSIO,O,X,O,O,X,X,X,X,O,X,X
TZJLSOI,O,X,O,O,X,X,X,X,X,X,X
TZJLOIS,O,X,O,X,X,X,X,O,X,X,X
TZJLOSI,O,X,O,X,X,X,X,X,X,X,X
TZJSILO,O,X,O,O,X,X,X,X,O,X,X
TZJSIOL,O,X,O,O,X,X,X,X,O,X,X
TZJSLIO,O,X,O,O,O,X,X,X,O,X,X
TZJSLOI,O,X,O,O,O,X,X,X,X,X,X
TZJSOIL,O,X,O,O,X,X,X,X,O,X,X
TZJSOLI,O,X,O,O,X,X,X,X,X,X,X
TZJOILS,O,X,O,X,X,X,X,O,X,X,X
TZJOISL,O,X,O,X,X,X,X,X,O,X,X
TZJOLIS,O,X,O,X,X,X,X,O,X,X,X
TZJOLSI,O,X,O,X,X,X,X,X,X,X,X
TZJOSIL,O,X,O,X,X,X,X,X,O,X,X
TZJOSLI,O,X,O,X,X,X,X,X,X,X,X
TZSILJO,O,X,X,O,O,X,X,X,O,X,X
TZSILOJ,O,X,X,O,O,X,X,X,X,X,X
TZSIJLO,O,X,X,O,X,X,X,X,O,X,X
TZSIJOL,O,X,X,X,X,X,X,X,O,X,X
TZSIOLJ,O,X,X,O,X,X,X,X,O,X,X
TZSIOJL,O,X,X,X,X,X,X,X,O,X,X
TZSLIJO,O,X,X,O,O,X,X,X,O,X,X
TZSLIOJ,O,X,X,O,O,X,X,X,X,X,X
TZSLJIO,O,X,O,O,O,X,X,X,O,X,X
TZSLJOI,O,X,O,X,O,X,X,X,X,X,X
TZSLOIJ,O,X,X,O,O,X,X,X,X,X,X
TZSLOJI,O,X,O,X,O,X,X,X,X,X,X
TZSJILO,O,X,O,O,X,X,X,X,O,X,X
TZSJIOL,O,X,O,X,X,X,X,X,O,X,X
TZSJLIO,O,X,O,O,O,X,X,X,O,X,X
TZSJLOI,O,X,O,X,O,X,X,X,X,X,X
TZSJOIL,O,X,O,X,X,X,X,X,O,X,X
TZSJOLI,O,X,O,X,X,X,X,X,X,X,X
TZSOILJ,O,X,X,O,X,X,X,X,O,X,X
TZSOIJL,O,X,X,X,X,X,X,X,O,X,X
TZSOLIJ,O,X,X,O,O,X,X,X,O,X,X
TZSOLJI,O,X,O,X,O,X,X,X,O,X,X
TZSOJIL,O,X,O,X,X,X,X,X,O,X,X
TZSOJLI,O,X,O,X,X,X,X,X,O,X,X
TZOILJS,X,X,O,X,X,X,X,O,O,O,X
TZOILSJ,O,X,X,X,X,X,X,X,O,O,X
TZOIJLS,X,X,O,X,X,X,X,O,O,O,X
TZOIJSL,X,X,O,X,X,X,X,X,O,O,X
TZOISLJ,O,X,X,X,X,X,X,X,O,O,X
TZOISJL,O,X,X,X,X,X,X,X,O,O,X
TZOLIJS,X,X,O,X,X,X,X,O,O,O,X
TZOLISJ,O,X,X,X,X,X,X,X,O,O,X
TZOLJIS,O,X,O,X,X,X,X,O,O,O,X
TZOLJSI,O,X,O,X,X,X,X,X,O,O,X
TZOLSIJ,O,X,X,X,X,X,X,X,O,O,X
TZOLSJI,O,X,O,X,X,X,X,X,O,O,X
TZOJILS,O,X,O,X,X,X,X,O,O,O,X
TZOJISL,O,X,O,X,X,X,X,X,O,O,X
TZOJLIS,O,X,O,X,X,X,X,O,O,O,X
TZOJLSI,O,X,O,X,X,X,X,X,O,O,X
TZOJSIL,O,X,O,X,X,X,X,X,O,O,X
TZOJSLI,O,X,O,X,X,X,X,X,O,O,X
TZOSILJ,O,X,X,X,X,X,X,X,O,O,X
TZOSIJL,O,X,X,X,X,X,X,X,O,O,X
TZOSLIJ,O,X,X,X,O,X,X,X,O,O,X
TZOSLJI,O,X,O,X,O,X,X,X,O,O,X
TZOSJIL,O,X,O,X,X,X,X,X,O,O,X
TZOSJLI,O,X,O,X,X,X,X,X,O,O,X
TOILJSZ,X,X,X,O,X,X,X,O,X,O,X
TOILJZS,X,X,O,O,X,X,X,O,O,O,X
TOILSJZ,O,O,X,O,X,X,X,O,X,O,X
TOILSZJ,O,O,X,O,X,X,X,X,X,O,X
TOILZJS,X,X,X,O,X,X,X,O,O,O,X
TOILZSJ,X,O,X,O,X,X,X,X,O,O,X
TOIJLSZ,X,X,X,O,X,X,X,O,X,O,X
TOIJLZS,X,X,O,O,X,X,X,O,O,O,X
TOIJSLZ,X,X,X,O,X,X,X,O,X,O,X
TOIJSZL,X,X,X,O,X,X,X,X,O,O,X
TOIJZLS,X,X,X,O,X,X,X,O,O,O,X
TOIJZSL,X,X,X,O,X,X,X,X,O,O,X
TOISLJZ,O,O,X,O,X,X,X,O,X,O,X
TOISLZJ,O,O,X,O,X,X,X,X,X,O,X
TOISJLZ,O,O,X,O,X,X,X,O,X,O,X
TOISJZL,X,O,X,O,X,X,X,X,O,O,X
TOISZLJ,O,O,X,O,X,X,X,X,O,O,X
TOISZJL,X,O,X,O,X,X,X,X,O,O,X
TOIZLJS,X,X,X,O,X,X,X,O,O,O,X
TOIZLSJ,X,O,X,O,X,X,X,X,O,O,X
TOIZJLS,X,X,X,O,X,X,X,O,O,O,X
TOIZJSL,X,X,X,O,X,X,X,X,O,O,X
TOIZSLJ,X,O,X,O,X,X,X,X,O,O,X
TOIZSJL,X,O,X,O,X,X,X,X,O,O,X
TOLIJSZ,X,X,X,O,X,O,X,O,X,O,X
TOLIJZS,X,X,O,O,X,X,O,O,O,O,X
TOLISJZ,O,O,X,O,X,X,X,O,X,O,O
TOLISZJ,O,O,X,O,X,X,X,X,X,O,O
TOLIZJS,X,X,X,O,X,X,X,O,O,O,X
TOLIZSJ,X,O,X,O,X,X,X,X,O,O,O
TOLJISZ,O,X,X,O,X,O,X,O,X,O,X
TOLJIZS,X,X,O,O,X,X,O,O,O,O,X
TOLJSIZ,O,X,X,O,X,X,X,O,X,O,X
TOLJSZI,O,X,O,O,X,X,X,X,X,O,X
TOLJZIS,X,X,O,O,X,X,X,O,O,O,X
TOLJZSI,X,X,O,O,X,X,X,X,O,O,X
TOLSIJZ,O,O,X,O,X,X,X,O,X,O,O
TOLSIZJ,O,O,X,O,X,X,X,X,X,O,O
TOLSJIZ,O,O,X,O,X,X,X,O,X,O,O
TOLSJZI,O,O,O,O,X,X,X,X,X,O,O
TOLSZIJ,O,O,X,O,X,X,X,X,X,O,O
TOLSZJI,O,O,X,O,X,X,X,X,X,O,O
TOLZIJS,X,X,O,O,X,X,X,O,O,O,X
TOLZISJ,X,O,X,O,X,X,X,X,O,O,O
TOLZJIS,X,X,O,O,X,X,X,O,O,O,X
TOLZJSI,X,X,O,O,X,X,X,X,O,O,X
TOLZSIJ,X,O,X,O,X,X,X,X,O,O,O
TOLZSJI,X,O,O,O,X,X,X,X,O,O,O
TOJILSZ,O,X,X,O,X,X,X,O,X,O,X
TOJILZS,X,X,O,O,X,X,X,O,O,O,X
TOJISLZ,O,X,X,O,X,X,X,O,X,O,X
TOJISZL,O,X,X,O,X,X,X,X,O,O,X
TOJIZLS,X,X,X,O,X,X,X,O,O,O,X
TOJIZSL,X,X,X,O,X,X,X,X,O,O,X
TOJLISZ,O,X,X,O,X,O,X,O,X,O,X
TOJLIZS,X,X,O,O,X,X,O,O,O,O,X
TOJLSIZ,O,X,X,O,X,X,X,O,X,O,X
TOJLSZI,O,X,O,O,X,X,X,X,X,O,X
TOJLZIS,X,X,O,O,X,X,X,O,O,O,X
TOJLZSI,X,X,O,O,X,X,X,X,O,O,X
TOJSILZ,O,X,X,O,X,X,X,O,X,O,X
TOJSIZL,O,X,X,O,X,X,X,X,O,O,X
TOJSLIZ,O,X,X,O,X,X,X,O,X,O,X
TOJSLZI,O,X,O,O,X,X,X,X,X,O,X
TOJSZIL,O,X,X,O,X,X,X,X,O,O,X
TOJSZLI,O,X,X,O,X,X,X,X,O,O,X
TOJZILS,X,X,O,O,X,X,X,O,O,O,X
TOJZISL,X,X,O,O,X,X,X,X,O,O,X
TOJZLIS,X,X,O,O,X,X,X,O,O,O,X
TOJZLSI,X,X,O,O,X,X,X,X,O,O,X
TOJZSIL,X,X,O,O,X,X,X,X,O,O,X
TOJZSLI,X,X,O,O,X,X,X,X,O,O,X
TOSILJZ,O,O,X,O,X,X,X,O,X,O,X
TOSILZJ,O,O,X,O,X,X,X,X,X,O,X
TOSIJLZ,O,O,X,O,X,X,X,O,X,O,X
TOSIJZL,O,O,X,O,X,X,X,X,O,O,X
TOSIZLJ,O,O,X,O,X,X,X,X,O,O,X
TOSIZJL,X,O,X,O,X,X,X,X,O,O,X
TOSLIJZ,O,O,X,O,X,X,X,O,X,O,O
TOSLIZJ,O,O,X,O,O,X,X,X,X,O,O
TOSLJIZ,O,O,X,O,X,X,X,O,X,O,O
TOSLJZI,O,O,O,O,X,X,X,X,X,O,O
TOSLZIJ,O,O,X,O,O,X,X,X,X,O,O
TOSLZJI,O,O,X,O,O,X,X,X,X,O,O
TOSJILZ,O,O,X,O,X,X,X,O,X,O,X
TOSJIZL,O,O,X,O,X,X,X,X,O,O,X
TOSJLIZ,O,O,X,O,X,X,X,O,X,O,X
TOSJLZI,O,O,O,O,X,X,X,X,X,O,X
TOSJZIL,O,O,X,O,X,X,X,X,O,O,X
TOSJZLI,O,O,X,O,X,X,X,X,O,O,X
TOSZILJ,O,O,X,O,X,X,X,X,O,O,X
TOSZIJL,X,O,X,O,X,X,X,X,O,O,X
TOSZLIJ,O,O,X,O,O,X,X,X,O,O,O
TOSZLJI,O,O,X,O,O,X,X,X,O,O,O
TOSZJIL,O,O,X,O,X,X,X,X,O,O,X
TOSZJLI,O,O,X,O,X,X,X,X,O,O,X
TOZILJS,X,X,O,O,X,X,X,O,O,O,X
TOZILSJ,X,O,X,O,X,X,X,X,O,O,X
TOZIJLS,X,X,O,O,X,X,X,O,O,O,X
TOZIJSL,X,X,O,O,X,X,X,X,O,O,X
TOZISLJ,X,O,X,O,X,X,X,X,O,O,X
TOZISJL,X,O,X,O,X,X,X,X,O,O,X
TOZLIJS,X,X,O,O,X,X,X,O,O,O,X
TOZLISJ,X,O,X,O,X,X,X,X,O,O,O
TOZLJIS,X,X,O,O,X,X,X,O,O,O,X
TOZLJSI,X,X,O,O,X,X,X,X,O,O,X
TOZLSIJ,X,O,X,O,X,X,X,X,O,O,O
TOZLSJI,X,O,O,O,X,X,X,X,O,O,O
TOZJILS,X,X,O,O,X,X,X,O,O,O,X
TOZJISL,X,X,O,O,X,X,X,X,O,O,X
TOZJLIS,X,X,O,O,X,X,X,O,O,O,X
TOZJLSI,X,X,O,O,X,X,X,X,O,O,X
TOZJSIL,X,X,O,O,X,X,X,X,O,O,X
TOZJSLI,X,X,O,O,X,X,X,X,O,O,X
TOZSILJ,X,O,X,O,X,X,X,X,O,O,X
TOZSIJL,X,O,X,O,X,X,X,X,O,O,X
TOZSLIJ,X,O,X,O,O,X,X,X,O,O,O
TOZSLJI,X,O,O,O,O,X,X,X,O,O,O
TOZSJIL,X,O,O,O,X,X,X,X,O,O,X
TOZSJLI,X,O,O,O,X,X,X,X,O,O,X
ITLJSZO,O,X,X,O,X,O,O,X,X,X,X
ITLJSOZ,O,X,X,O,X,O,X,O,X,X,X
ITLJZSO,O,X,X,O,X,O,O,X,O,X,X
ITLJZOS,X,X,X,X,X,X,O,O,X,X,X
ITLJOSZ,O,X,X,X,X,O,X,O,X,X,X
ITLJOZS,X,X,O,X,X,X,O,O,X,X,X
ITLSJZO,O,X,X,O,X,O,O,X,X,X,X
ITLSJOZ,O,X,X,X,X,O,X,O,X,X,X
ITLSZJO,X,X,X,O,X,X,X,X,X,X,X
ITLSZOJ,O,X,X,O,X,X,X,X,X,X,X
ITLSOJZ,O,X,X,X,X,X,X,O,X,X,X
ITLSOZJ,O,X,X,O,X,X,X,X,X,X,X
ITLZJSO,X,X,X,O,X,O,O,X,O,X,X
ITLZJOS,X,X,X,X,X,X,O,O,X,X,X
ITLZSJO,X,X,X,O,X,X,X,X,O,X,X
ITLZSOJ,O,X,X,O,X,X,X,X,X,X,X
ITLZOJS,X,X,X,X,X,X,X,O,X,O,X
ITLZOSJ,X,X,X,X,X,X,X,X,X,O,X
ITLOJSZ,X,X,X,X,X,O,X,O,X,O,X
ITLOJZS,X,X,O,X,X,X,O,O,X,O,X
ITLOSJZ,O,X,X,X,X,X,X,O,X,O,X
ITLOSZJ,O,X,X,X,X,X,X,X,X,O,X
ITLOZJS,X,X,X,X,X,X,X,O,X,O,X
ITLOZSJ,X,X,X,X,X,X,X,X,X,O,X
ITJLSZO,O,X,X,O,X,O,O,X,X,X,X
ITJLSOZ,O,X,X,O,X,O,X,O,X,X,X
ITJLZSO,O,X,X,O,X,O,O,X,O,X,X
ITJLZOS,X,X,X,X,X,X,O,O,X,X,X
ITJLOSZ,O,X,X,X,X,O,X,O,X,X,X
ITJLOZS,X,X,O,X,X,X,O,O,X,X,X
ITJSLZO,O,X,X,O,X,X,X,X,X,X,X
ITJSLOZ,O,X,X,O,X,X,X,O,X,X,X
ITJSZLO,O,X,X,O,X,X,X,X,O,X,X
ITJSZOL,O,X,X,O,X,X,X,X,O,X,X
ITJSOLZ,O,X,X,O,X,X,X,O,X,X,X
ITJSOZL,O,X,X,O,X,X,X,X,X,X,X
ITJZLSO,O,X,X,O,X,X,X,X,O,X,X
ITJZLOS,X,X,X,X,X,X,X,O,X,X,X
ITJZSLO,O,X,X,O,X,X,X,X,O,X,X
ITJZSOL,O,X,X,O,X,X,X,X,O,X,X
ITJZOLS,X,X,X,X,X,X,X,O,X,X,X
ITJZOSL,X,X,X,X,X,X,X,X,O,X,X
ITJOLSZ,O,X,X,O,X,X,X,O,X,X,X
ITJOLZS,X,X,O,O,X,X,X,O,X,X,X
ITJOSLZ,O,X,X,O,X,X,X,O,X,X,X
ITJOSZL,O,X,X,O,X,X,X,X,X,X,X
ITJOZLS,X,X,X,O,X,X,X,O,X,X,X
ITJOZSL,X,X,X,O,X,X,X,X,O,X,X
ITSLJZO,O,X,X,O,O,X,X,X,X,X,X
ITSLJOZ,O,X,X,X,X,X,X,O,X,X,X
ITSLZJO,X,X,X,O,O,X,X,X,X,X,X
ITSLZOJ,O,X,X,O,O,X,X,X,X,X,X
ITSLOJZ,O,O,X,O,X,X,X,O,X,X,X
ITSLOZJ,O,O,X,O,O,X,X,X,X,X,X
ITSJLZO,O,X,X,O,X,X,X,X,X,X,X
ITSJLOZ,O,X,X,X,X,X,X,O,X,X,X
ITSJZLO,O,X,X,O,X,X,X,X,O,X,X
ITSJZOL,O,X,X,X,X,X,X,X,O,X,X
ITSJOLZ,O,O,X,O,X,X,X,O,X,X,X
ITSJOZL,O,O,X,O,X,X,X,X,X,X,X
ITSZLJO,X,X,X,O,O,X,X,X,O,X,X
ITSZLOJ,O,X,X,O,O,X,X,X,X,X,X
ITSZJLO,X,X,X,O,X,X,X,X,O,X,X
ITSZJOL,X,X,X,X,X,X,X,X,O,X,X
ITSZOLJ,O,O,X,O,X,X,X,X,X,X,X
ITSZOJL,X,O,X,O,X,X,X,X,O,X,X
ITSOLJZ,O,O,X,O,X,X,X,O,X,X,X
ITSOLZJ,O,O,X,O,X,X,X,X,X,X,X
ITSOJLZ,O,O,X,O,X,X,X,O,X,X,X
ITSOJZL,O,O,X,O,X,X,X,X,X,X,X
ITSOZLJ,O,O,X,O,X,X,X,X,X,X,X
ITSOZJL,X,O,X,O,X,X,X,X,X,X,X
ITZLJSO,X,X,X,O,X,X,X,X,O,X,X
ITZLJOS,X,X,X,X,X,X,X,O,X,X,X
ITZLSJO,X,X,X,O,X,X,X,X,O,X,X
ITZLSOJ,O,X,X,O,X,X,X,X,X,X,X
ITZLOJS,X,X,X,X,X,X,X,O,X,O,X
ITZLOSJ,X,X,X,X,X,X,X,X,X,O,X
ITZJLSO,X,X,X,O,X,X,X,X,O,X,X
ITZJLOS,X,X,X,X,X,X,X,O,X,X,X
ITZJSLO,X,X,X,O,X,X,X,X,O,X,X
ITZJSOL,X,X,X,O,X,X,X,X,O,X,X
ITZJOLS,X,X,X,X,X,X,X,O,X,X,X
ITZJOSL,X,X,X,X,X,X,X,X,O,X,X
ITZSLJO,X,X,X,O,O,X,X,X,O,X,X
ITZSLOJ,O,X,X,O,O,X,X,X,X,X,X
ITZSJLO,X,X,X,O,X,X,X,X,O,X,X
ITZSJOL,X,X,X,X,X,X,X,X,O,X,X
ITZSOLJ,O,X,X,O,X,X,X,X,O,X,X
ITZSOJL,X,X,X,X,X,X,X,X,O,X,X
ITZOLJS,X,X,X,X,X,X,X,O,O,O,X
ITZOLSJ,X,X,X,X,X,X,X,X,O,O,X
ITZOJLS,X,X,X,X,X,X,X,O,O,O,X
ITZOJSL,X,X,X,X,X,X,X,X,O,O,X
ITZOSLJ,X,X,X,X,X,X,X,X,O,O,X
ITZOSJL,X,X,X,X,X,X,X,X,O,O,X
ITOLJSZ,X,X,X,O,X,X,X,O,X,O,X
ITOLJZS,X,X,O,O,X,X,X,O,O,O,X
ITOLSJZ,O,O,X,O,X,X,X,O,X,O,X
ITOLSZJ,O,O,X,O,X,X,X,X,X,O,X
ITOLZJS,X,X,X,O,X,X,X,O,O,O,X
ITOLZSJ,X,O,X,O,X,X,X,X,O,O,X
ITOJLSZ,X,X,X,O,X,X,X,O,X,O,X
ITOJLZS,X,X,O,O,X,X,X,O,O,O,X
ITOJSLZ,X,X,X,O,X,X,X,O,X,O,X
ITOJSZL,X,X,X,O,X,X,X,X,O,O,X
ITOJZLS,X,X,X,O,X,X,X,O,O,O,X
ITOJZSL,X,X,X,O,X,X,X,X,O,O,X
ITOSLJZ,O,O,X,O,X,X,X,O,X,O,X
ITOSLZJ,O,O,X,O,X,X,X,X,X,O,X
ITOSJLZ,O,O,X,O,X,X,X,O,X,O,X
ITOSJZL,X,O,X,O,X,X,X,X,O,O,X
ITOSZLJ,O,O,X,O,X,X,X,X,O,O,X
ITOSZJL,X,O,X,O,X,X,X,X,O,O,X
ITOZLJS,X,X,X,O,X,X,X,O,O,O,X
ITOZLSJ,X,O,X,O,X,X,X,X,O,O,X
ITOZJLS,X,X,X,O,X,X,X,O,O,O,X
ITOZJSL,X,X,X,O,X,X,X,X,O,O,X
ITOZSLJ,X,O,X,O,X,X,X,X,O,O,X
ITOZSJL,X,O,X,O,X,X,X,X,O,O,X
ILTJSZO,O,X,X,O,X,O,O,X,X,X,X
ILTJSOZ,O,X,X,O,X,O,X,O,X,X,X
ILTJZSO,O,X,X,O,X,O,O,X,O,X,X
ILTJZOS,X,X,X,X,X,X,O,O,X,X,X
ILTJOSZ,O,X,X,X,X,O,X,O,X,X,X
ILTJOZS,X,X,O,X,X,X,O,O,X,X,X
ILTSJZO,O,X,X,O,X,O,O,X,X,X,X
ILTSJOZ,O,X,X,X,X,O,X,O,X,X,X
ILTSZJO,X,X,X,O,X,X,X,X,X,X,X
ILTSZOJ,O,X,X,O,X,X,X,X,X,X,X
ILTSOJZ,O,X,X,X,X,X,X,O,X,X,X
ILTSOZJ,O,X,X,O,X,X,X,X,X,X,X
ILTZJSO,X,X,X,O,X,O,O,X,O,X,X
ILTZJOS,X,X,X,X,X,X,O,O,X,X,X
ILTZSJO,X,X,X,O,X,X,X,X,O,X,X
ILTZSOJ,O,X,X,O,X,X,X,X,X,X,X
ILTZOJS,X,X,X,X,X,X,X,O,X,O,X
ILTZOSJ,X,X,X,X,X,X,X,X,X,O,X
ILTOJSZ,X,X,X,X,X,O,X,O,X,O,X
ILTOJZS,X,X,O,X,X,X,O,O,X,O,X
ILTOSJZ,O,X,X,X,X,X,X,O,X,O,O
ILTOSZJ,O,X,X,X,X,X,X,X,X,O,O
ILTOZJS,X,X,X,X,X,X,X,O,X,O,X
ILTOZSJ,X,X,X,X,X,X,X,X,X,O,O
ILJTSZO,O,X,X,O,X,O,O,X,X,X,X
ILJTSOZ,O,X,X,O,X,O,X,O,X,X,X
ILJTZSO,O,X,X,O,X,O,O,X,X,X,X
ILJTZOS,X,X,X,X,X,X,O,O,X,X,X
ILJTOSZ,O,X,X,X,X,O,X,O,X,X,X
