sequence,v115@MhB8CeA8DeC8BeB8DeD8Jei/IvhFRhBziB+oBfqBUr?BlqB,v115@MhB8CeA8DeC8BeB8DeD8Je/EJvhFihBziB+oB0lBFl?BxvB,v115@MhB8CeA8DeC8BeB8DeD8Je/EJvhFUgBRhBKrBFoBGo?BTqB,v115@MhB8CeA8DeC8BeB8DeD8JeT/IvhFihBXlBFoB0lBGo?BxvB,v115@MhB8CeA8DeC8BeB8DeD8JeT/IvhFRhBGjBKrBUoBFq?B/qB,v115@MhB8CeA8DeC8BeB8DeD8Je/EJvhFRhBziB+oBlqBaq?BUrB,v115@MhB8CeA8DeC8BeB8DeD8JeT/IvhFihB0lBGoBXlBFo?BxvB,v115@MhB8CeA8DeC8BeB8DeD8Jex/IvhFCjB0kBToB3qBmq?BlrB,v115@MhB8CeA8DeC8BeB8DeD8JeT/IvhFGjBllBUoBXlBim?BxvB
TJSZOIL,O,X,X,X,X,O,X,X,X
TJSZOLI,O,X,X,X,X,O,X,X,X
TJSOILZ,O,O,X,X,X,O,X,X,X
TJSOIZL,X,O,X,X,X,O,X,X,X
TJSOLIZ,O,O,O,O,X,O,X,X,X
TJSOLZI,O,X,O,O,X,O,X,X,X
TJSOZIL,O,X,X,X,X,O,X,X,X
TJSOZLI,O,X,X,X,X,O,X,X,X
TJZILSO,X,X,X,X,O,X,X,X,X
TJZILOS,O,X,X,X,O,X,X,X,X
TJZISLO,O,X,X,X,X,O,X,X,X
TJZISOL,O,X,X,X,X,O,X,X,X
TJZIOLS,O,X,X,X,O,X,X,X,X
TJZIOSL,O,X,X,X,X,O,X,X,X
TJZLISO,X,X,X,X,O,X,X,X,X
TJZLIOS,O,X,X,X,O,X,X,X,X
TJZLSIO,X,X,X,X,O,X,X,X,X
TJZLSOI,X,X,X,X,O,X,X,X,X
TJZLOIS,O,X,X,X,O,X,X,X,X
TJZLOSI,X,X,X,X,O,X,X,X,X
TJZSILO,O,X,X,X,X,O,X,X,X
TJZSIOL,O,X,X,X,X,O,X,X,X
TJZSLIO,O,X,X,X,O,O,X,X,X
TJZSLOI,O,X,X,X,O,O,X,X,X
TJZSOIL,O,X,X,X,X,O,X,X,X
TJZSOLI,O,X,X,X,O,O,X,X,X
TJZOILS,O,X,X,X,O,X,X,X,X
TJZOISL,O,X,X,X,X,O,X,X,X
TJZOLIS,O,X,X,X,O,X,X,X,X
TJZOLSI,X,X,X,X,O,X,X,X,X
TJZOSIL,O,X,X,X,X,O,X,X,X
TJZOSLI,O,X,X,X,O,O,X,X,X
TJOILSZ,O,O,X,O,X,O,X,X,X
TJOILZS,O,O,X,X,X,X,O,X,X
TJOISLZ,O,O,X,O,X,O,X,X,X
TJOISZL,X,O,X,X,X,O,X,X,X
TJOIZLS,O,O,X,X,X,X,O,X,X
TJOIZSL,O,O,X,X,X,O,X,X,X
TJOLISZ,O,O,O,O,X,O,X,X,X
TJOLIZS,O,O,X,X,X,X,O,X,X
TJOLSIZ,O,O,O,O,X,O,X,X,X
TJOLSZI,O,X,O,O,X,O,X,X,X
TJOLZIS,O,X,X,X,O,X,X,X,X
TJOLZSI,X,X,X,X,O,X,X,X,X
TJOSILZ,O,O,X,X,X,O,X,X,X
TJOSIZL,X,O,X,X,X,O,X,X,X
TJOSLIZ,O,O,O,O,X,O,X,X,X
TJOSLZI,O,X,O,O,X,O,X,X,X
TJOSZIL,O,X,X,X,X,O,X,X,X
TJOSZLI,O,X,X,X,X,O,X,X,X
TJOZILS,O,X,X,X,O,X,X,X,X
TJOZISL,O,X,X,X,X,O,X,X,X
TJOZLIS,O,X,X,X,O,X,X,X,X
TJOZLSI,X,X,X,X,O,X,X,X,X
TJOZSIL,O,X,X,X,X,O,X,X,X
TJOZSLI,O,X,X,X,O,O,X,X,X
TSILJZO,X,O,O,X,X,O,X,X,X
TSILJOZ,O,O,X,O,X,O,X,X,X
TSILZJO,X,O,O,X,X,X,X,X,X
TSILZOJ,X,X,O,O,X,X,X,X,X
TSILOJZ,X,X,O,O,X,X,X,X,X
TSILOZJ,X,X,O,O,X,X,X,X,X
TSIJLZO,X,O,O,X,X,O,X,X,X
TSIJLOZ,O,O,X,O,X,O,X,X,X
TSIJZLO,X,O,X,X,X,O,X,X,X
TSIJZOL,X,O,X,X,X,O,X,X,X
TSIJOLZ,O,O,X,O,X,O,X,X,X
TSIJOZL,X,O,X,X,X,O,X,X,X
TSIZLJO,X,O,O,X,X,X,X,X,X
TSIZLOJ,X,X,O,O,X,X,X,X,X
TSIZJLO,X,O,X,X,X,O,X,X,X
TSIZJOL,X,O,X,X,X,O,X,X,X
TSIZOLJ,X,X,X,O,X,X,X,X,X
TSIZOJL,X,X,X,X,X,X,X,X,X
TSIOLJZ,X,X,O,O,X,X,X,X,X
TSIOLZJ,X,X,O,O,X,X,X,X,X
TSIOJLZ,X,X,X,O,X,O,X,X,X
TSIOJZL,X,X,X,X,X,O,X,X,X
TSIOZLJ,X,X,X,O,X,X,X,X,X
TSIOZJL,X,X,X,X,X,X,X,X,X
TSLIJZO,X,O,O,X,X,O,X,X,X
TSLIJOZ,O,O,X,O,X,O,X,X,X
TSLIZJO,X,O,O,X,X,X,X,X,X
TSLIZOJ,X,X,O,O,X,X,X,X,X
TSLIOJZ,X,X,O,O,X,X,X,X,X
TSLIOZJ,X,X,O,O,X,X,X,X,X
TSLJIZO,X,O,O,X,X,O,X,X,X
TSLJIOZ,O,O,X,X,X,O,X,X,X
TSLJZIO,O,X,O,X,X,O,X,X,X
TSLJZOI,O,X,O,X,X,O,X,X,X
TSLJOIZ,O,O,O,O,X,O,X,X,X
TSLJOZI,O,X,O,O,X,O,X,X,X
TSLZIJO,O,X,O,X,O,X,X,X,X
TSLZIOJ,X,X,O,X,O,X,X,X,X
TSLZJIO,O,X,O,X,O,X,X,X,X
TSLZJOI,O,X,O,X,O,X,X,X,X
TSLZOIJ,X,X,O,O,O,X,X,X,X
TSLZOJI,X,X,O,O,O,X,X,X,X
TSLOIJZ,X,X,O,O,X,X,X,X,X
TSLOIZJ,X,X,O,O,X,X,X,X,X
TSLOJIZ,X,X,O,O,X,X,X,X,X
TSLOJZI,X,X,O,O,X,X,X,X,X
TSLOZIJ,X,X,O,O,O,X,X,X,X
TSLOZJI,X,X,O,O,O,X,X,X,X
TSJILZO,X,O,O,X,X,O,X,X,X
TSJILOZ,O,O,X,X,X,O,X,X,X
TSJIZLO,X,O,X,X,X,O,X,X,X
TSJIZOL,X,O,X,X,X,O,X,X,X
TSJIOLZ,O,O,X,X,X,O,X,X,X
TSJIOZL,X,O,X,X,X,O,X,X,X
TSJLIZO,X,O,O,X,X,O,X,X,X
TSJLIOZ,O,O,X,X,X,O,X,X,X
TSJLZIO,O,X,O,X,X,O,X,X,X
TSJLZOI,O,X,O,X,X,O,X,X,X
TSJLOIZ,O,O,O,O,X,O,X,X,X
TSJLOZI,O,X,O,O,X,O,X,X,X
TSJZILO,O,X,X,X,X,O,X,X,X
TSJZIOL,O,X,X,X,X,O,X,X,X
TSJZLIO,O,X,X,X,X,O,X,X,X
TSJZLOI,O,X,X,X,X,O,X,X,X
TSJZOIL,O,X,X,X,X,O,X,X,X
TSJZOLI,O,X,X,X,X,O,X,X,X
TSJOILZ,O,O,X,X,X,O,X,X,X
TSJOIZL,X,O,X,X,X,O,X,X,X
TSJOLIZ,O,O,O,O,X,O,X,X,X
TSJOLZI,O,X,O,O,X,O,X,X,X
TSJOZIL,O,X,X,X,X,O,X,X,X
TSJOZLI,O,X,X,X,X,O,X,X,X
TSZILJO,O,X,O,X,X,X,X,X,X
TSZILOJ,X,X,O,X,X,X,X,X,X
TSZIJLO,O,X,X,X,X,O,X,X,X
TSZIJOL,O,X,X,X,X,O,X,X,X
TSZIOLJ,X,X,X,X,X,X,X,O,X
TSZIOJL,X,X,X,X,X,X,X,O,X
TSZLIJO,O,X,O,X,O,X,X,X,X
TSZLIOJ,X,X,O,X,O,X,X,X,X
TSZLJIO,O,X,O,X,O,X,X,X,X
TSZLJOI,O,X,O,X,O,X,X,X,X
TSZLOIJ,X,X,O,O,O,X,X,X,X
TSZLOJI,X,X,O,O,O,X,X,X,X
TSZJILO,O,X,X,X,X,O,X,X,X
TSZJIOL,O,X,X,X,X,O,X,X,X
TSZJLIO,O,X,X,X,O,O,X,X,X
TSZJLOI,O,X,X,X,O,O,X,X,X
TSZJOIL,O,X,X,X,X,O,X,X,X
TSZJOLI,O,X,X,X,O,O,X,X,X
TSZOILJ,X,X,X,X,X,X,X,O,X
TSZOIJL,X,X,X,X,X,X,X,O,X
TSZOLIJ,X,X,O,O,O,X,X,O,X
TSZOLJI,X,X,O,O,O,X,X,O,X
TSZOJIL,X,X,X,X,X,X,X,O,X
TSZOJLI,X,X,X,X,O,X,X,O,X
TSOILJZ,X,X,O,O,X,X,X,X,X
TSOILZJ,X,X,O,O,X,X,X,X,X
TSOIJLZ,X,X,X,O,X,O,X,X,X
TSOIJZL,X,X,X,X,X,O,X,X,X
TSOIZLJ,X,X,X,O,X,X,X,X,X
TSOIZJL,X,X,X,X,X,X,X,X,X
TSOLIJZ,X,X,O,O,X,X,X,X,X
TSOLIZJ,X,X,O,O,X,X,X,X,X
TSOLJIZ,X,X,O,O,X,X,X,X,X
TSOLJZI,X,X,O,O,X,X,X,X,X
