sequence,v115@GhA8IeA8CeA8DeC8BeC8AeC8JeFBJvhFXiB8nBxkBi?kBzpBmrB,v115@GhA8IeA8CeA8DeC8BeC8AeC8Jel/IvhFUhBziB/pBO?qBxrBasB,v115@GhA8IeA8CeA8DeC8BeC8AeC8JeXAJvhFVmBziB2pBx?rBasB0pB,v115@GhA8IeA8CeA8DeC8BeC8AeC8JeT/IvhFxgBXiB8nBl?pBmrBiqB,v115@GhA8IeA8CeA8DeC8BeC8AeC8JeXAJvhFziB2pBRmBi?mBFsB0pB,v115@GhA8IeA8CeA8DeC8BeC8AeC8JeUBJvhFziB/pBFlBx?rBasBmpB,v115@GhA8IeA8CeA8DeC8BeC8AeC8JeUAJvhFRhBziBimBm?pBFsB/pB,v115@GhA8IeA8CeA8DeC8BeC8AeC8JeT/IvhFRiBilBfsBl?nBmlB0pB,v115@GhA8IeA8CeA8DeC8BeC8AeC8Jex/IvhFXhB8nBikB1?rBzpBOsB,v115@GhA8IeA8CeA8DeC8BeC8AeC8Je0/IvhFziB2pBRmBi?mBFsBXqB,v115@GhA8IeA8CeA8DeC8BeC8AeC8Je0/IvhFVmBziB2pBx?rBasBXqB,v115@GhA8IeA8CeA8DeC8BeC8AeC8Jel/IvhFUhBziB2pBx?rBasBXqB,v115@GhA8IeA8CeA8DeC8BeC8AeC8Je0/IvhFziB/pBRmBO?qBimBFsB,v115@GhA8IeA8CeA8DeC8BeC8AeC8Jel/IvhFRhBynB/pBO?qBTmBcsB,v115@GhA8IeA8CeA8DeC8BeC8AeC8JeaGJvhFFiB8nBxkBf?sBTkBeqB,v115@GhA8IeA8CeA8DeC8BeC8AeC8JeT/IvhFilBRnBmlBf?sBlnB0pB,v115@GhA8IeA8CeA8DeC8BeC8AeC8Je2EJvhFRmB3nBFlBT?mB0pBisB,v115@GhA8IeA8CeA8DeC8BeC8AeC8JeTEJvhFilBRnBmlBf?sBlnB0pB,v115@GhA8IeA8CeA8DeC8BeC8AeC8JeT/IvhF8nBypBRmB2?rBXqBFsB
ISZOLTJ,X,X,X,X,X,O,X,O,X,X,X,X,O,X,O,O,X,X,X
ISZOLJT,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
ISZOJTL,O,O,X,X,O,O,X,X,X,X,X,O,O,X,X,X,O,X,X
ISZOJLT,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X
ISOTLJZ,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ISOTLZJ,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X
ISOTJLZ,X,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
ISOTJZL,X,O,O,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X
ISOTZLJ,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X
ISOTZJL,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
ISOLTJZ,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X
ISOLTZJ,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X
ISOLJTZ,X,O,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,O,X
ISOLJZT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ISOLZTJ,X,X,X,X,X,O,X,X,O,X,X,X,O,X,O,X,X,O,X
ISOLZJT,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
ISOJTLZ,X,O,O,X,O,O,X,X,X,X,O,O,X,O,X,X,X,X,X
ISOJTZL,X,O,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X
ISOJLTZ,X,O,O,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X
ISOJLZT,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISOJZTL,X,O,X,X,O,O,X,X,X,O,O,O,O,X,X,X,X,X,X
ISOJZLT,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
ISOZTLJ,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X
ISOZTJL,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
ISOZLTJ,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X
ISOZLJT,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ISOZJTL,X,O,X,X,O,O,X,X,X,X,X,O,O,X,X,X,O,X,X
ISOZJLT,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X
IZTLJSO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTLJOS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTLSJO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZTLSOJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZTLOJS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O
IZTLOSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IZTJLSO,O,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IZTJLOS,X,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IZTJSLO,O,O,O,O,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X
IZTJSOL,O,O,O,O,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X
IZTJOLS,X,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IZTJOSL,O,O,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IZTSLJO,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IZTSLOJ,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IZTSJLO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X
IZTSJOL,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IZTSOLJ,O,X,X,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X
IZTSOJL,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTOLJS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
IZTOLSJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
IZTOJLS,X,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IZTOJSL,O,O,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IZTOSLJ,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IZTOSJL,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLTJSO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLTJOS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLTSJO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZLTSOJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZLTOJS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O
IZLTOSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IZLJTSO,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZLJTOS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZLJSTO,O,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X
IZLJSOT,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
IZLJOTS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O
IZLJOST,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O
IZLSTJO,O,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X
IZLSTOJ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X
IZLSJTO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
IZLSJOT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZLSOTJ,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,O,X,X,X
IZLSOJT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O
IZLOTJS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O
IZLOTSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IZLOJTS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O
IZLOJST,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,O
IZLOSTJ,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,O,X,O,X
IZLOSJT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O
IZJTLSO,O,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IZJTLOS,X,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IZJTSLO,O,O,O,O,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X
IZJTSOL,O,O,O,O,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X
IZJTOLS,O,X,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
IZJTOSL,O,O,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
IZJLTSO,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IZJLTOS,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IZJLSTO,O,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X
IZJLSOT,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
IZJLOTS,X,X,O,X,X,X,X,X,X,O,O,O,X,X,X,O,X,X,O
IZJLOST,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O
IZJSTLO,O,O,X,O,X,O,X,X,X,X,O,O,X,X,O,X,O,X,X
IZJSTOL,O,O,X,O,X,O,X,X,X,X,O,O,X,X,X,X,O,X,X
IZJSLTO,O,O,X,O,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X
IZJSLOT,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
IZJSOTL,O,O,X,O,O,O,X,X,X,O,O,O,X,X,X,X,O,X,X
IZJSOLT,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
IZJOTLS,O,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
IZJOTSL,O,O,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
IZJOLTS,O,X,O,X,X,X,X,X,X,O,O,O,X,X,X,O,X,X,X
IZJOLST,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
IZJOSTL,O,O,X,X,O,O,X,X,X,O,O,O,X,X,X,X,O,X,X
IZJOSLT,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
IZSTLJO,O,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X
IZSTLOJ,O,X,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X
IZSTJLO,O,X,X,O,X,O,X,O,X,X,X,X,X,X,O,X,O,X,X
IZSTJOL,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X
IZSTOLJ,O,X,X,O,X,O,X,O,X,X,X,X,O,X,O,X,X,X,X
IZSTOJL,O,X,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
IZSLTJO,O,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X
IZSLTOJ,O,X,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X
IZSLJTO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
IZSLJOT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZSLOTJ,X,X,X,X,X,O,X,O,X,X,X,X,O,X,O,O,X,X,X
IZSLOJT,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O
IZSJTLO,O,O,X,O,X,O,X,X,X,X,X,O,X,X,O,X,O,X,X
IZSJTOL,O,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X
IZSJLTO,O,O,X,O,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X
IZSJLOT,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
IZSJOTL,O,O,X,O,O,O,X,X,X,X,X,O,O,X,X,X,O,X,X
IZSJOLT,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X
IZSOTLJ,O,X,X,O,X,O,X,O,X,X,X,X,O,X,O,X,X,X,X
IZSOTJL,O,X,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
IZSOLTJ,O,X,X,X,X,O,X,O,X,X,X,X,O,X,O,O,X,X,X
IZSOLJT,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
IZSOJTL,O,O,X,X,O,O,X,X,X,X,X,O,O,X,X,X,O,X,X
IZSOJLT,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X
IZOTLJS,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
IZOTLSJ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
IZOTJLS,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IZOTJSL,O,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IZOTSLJ,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IZOTSJL,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOLTJS,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O
IZOLTSJ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
IZOLJTS,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,O
IZOLJST,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,O
IZOLSTJ,O,X,X,X,X,O,X,O,O,X,X,X,X,X,O,O,X,O,X
IZOLSJT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O
IZOJTLS,O,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
IZOJTSL,O,O,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
IZOJLTS,O,X,O,X,X,X,X,X,X,O,O,O,X,X,X,O,X,X,X
IZOJLST,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
IZOJSTL,O,O,X,X,O,O,X,X,X,O,O,O,X,X,X,X,O,X,X
IZOJSLT,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
IZOSTLJ,O,X,X,X,X,O,X,O,X,X,X,X,O,X,O,X,X,X,X
IZOSTJL,O,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
IZOSLTJ,O,X,X,X,X,O,X,O,X,X,X,X,O,X,O,O,X,X,X
IZOSLJT,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
IZOSJTL,O,O,X,X,O,O,X,X,X,X,X,O,O,X,X,X,O,X,X
IZOSJLT,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X
IOTLJSZ,X,X,O,X,O,X,O,X,O,X,O,X,X,X,X,X,X,O,X
IOTLJZS,X,X,O,X,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X
IOTLSJZ,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X
IOTLSZJ,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X
IOTLZJS,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOTLZSJ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOTJLSZ,X,X,O,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X
IOTJLZS,O,X,O,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X,X
IOTJSLZ,X,O,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IOTJSZL,O,O,O,X,O,X,X,X,X,O,O,O,O,X,X,X,X,X,X
IOTJZLS,O,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
IOTJZSL,O,O,O,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X
IOTSLJZ,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IOTSLZJ,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X
IOTSJLZ,X,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IOTSJZL,X,O,O,X,O,O,X,X,X,O,O,X,O,X,X,X,X,X,X
IOTSZLJ,O,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X
IOTSZJL,O,X,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
IOTZLJS,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOTZLSJ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOTZJLS,O,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
IOTZJSL,O,O,O,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X
IOTZSLJ,O,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X
IOTZSJL,O,X,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
IOLTJSZ,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X
IOLTJZS,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
IOLTSJZ,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X
IOLTSZJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X
IOLTZJS,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
IOLTZSJ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOLJTSZ,X,X,O,X,X,X,X,X,O,X,O,O,X,X,X,X,X,O,X
IOLJTZS,O,X,O,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
IOLJSTZ,X,O,O,X,O,X,X,X,O,X,O,O,X,O,X,X,X,O,X
IOLJSZT,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
IOLJZTS,O,X,O,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X,O
IOLJZST,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O
IOLSTJZ,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X
IOLSTZJ,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X
IOLSJTZ,X,O,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,O,X
IOLSJZT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOLSZTJ,X,X,X,X,X,O,X,X,O,X,X,X,O,X,O,X,X,O,X
IOLSZJT,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O
IOLZTJS,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O
IOLZTSJ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
IOLZJTS,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,O
IOLZJST,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,O
IOLZSTJ,O,X,X,X,X,O,X,X,O,X,X,X,X,X,O,O,X,O,X
IOLZSJT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O
IOJTLSZ,X,X,O,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X
IOJTLZS,O,X,O,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X,X
IOJTSLZ,X,O,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IOJTSZL,O,O,O,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X
IOJTZLS,O,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
IOJTZSL,O,O,O,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X
IOJLTSZ,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X
IOJLTZS,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IOJLSTZ,X,O,O,X,O,X,X,X,X,X,O,O,X,O,X,X,X,O,X
IOJLSZT,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
IOJLZTS,O,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
IOJLZST,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
IOJSTLZ,X,O,O,X,O,O,X,X,X,X,O,O,X,O,X,X,X,X,X
IOJSTZL,O,O,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X
IOJSLTZ,X,O,O,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X
IOJSLZT,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOJSZTL,O,O,O,X,O,O,X,X,X,O,O,O,O,X,X,X,X,X,X
IOJSZLT,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
IOJZTLS,O,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
IOJZTSL,O,O,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
IOJZLTS,O,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
IOJZLST,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOJZSTL,O,O,X,X,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X
IOJZSLT,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOSTLJZ,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IOSTLZJ,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X
IOSTJLZ,X,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IOSTJZL,X,O,O,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X
IOSTZLJ,O,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X
IOSTZJL,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
IOSLTJZ,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X
IOSLTZJ,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X
IOSLJTZ,X,O,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,O,X
IOSLJZT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOSLZTJ,X,X,X,X,X,O,X,X,O,X,X,X,O,X,O,X,X,O,X
IOSLZJT,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
IOSJTLZ,X,O,O,X,O,O,X,X,X,X,O,O,X,O,X,X,X,X,X
IOSJTZL,O,O,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X
IOSJLTZ,X,O,O,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X
IOSJLZT,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOSJZTL,O,O,X,X,O,O,X,X,X,O,O,O,O,X,X,X,X,X,X
IOSJZLT,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
IOSZTLJ,O,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X
IOSZTJL,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
IOSZLTJ,O,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X
IOSZLJT,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOSZJTL,O,O,X,X,O,O,X,X,X,X,X,O,O,X,X,X,O,X,X
IOSZJLT,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X
IOZTLJS,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
IOZTLSJ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
IOZTJLS,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IOZTJSL,O,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IOZTSLJ,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IOZTSJL,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZLTJS,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O
IOZLTSJ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
IOZLJTS,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,O
IOZLJST,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,O
IOZLSTJ,O,X,X,X,X,O,X,X,O,X,X,X,X,X,O,O,X,O,X
IOZLSJT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O
IOZJTLS,O,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
IOZJTSL,O,O,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
IOZJLTS,O,X,O,X,X,X,X,X,X,O,O,O,X,X,X,O,X,X,X
IOZJLST,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
IOZJSTL,O,O,X,X,O,O,X,X,X,O,O,O,X,X,X,X,O,X,X
IOZJSLT,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
IOZSTLJ,O,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X
IOZSTJL,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
IOZSLTJ,O,X,X,X,X,O,X,X,X,X,X,X,O,X,O,O,X,X,X
IOZSLJT,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
IOZSJTL,O,O,X,X,O,O,X,X,X,X,X,O,O,X,X,X,O,X,X
IOZSJLT,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X
LTIJSZO,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
LTIJSOZ,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
LTIJZSO,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
LTIJZOS,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
LTIJOSZ,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
LTIJOZS,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
LTISJZO,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTISJOZ,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTISZJO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LTISZOJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
LTISOJZ,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTISOZJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
