sequence,v115@RhA8BeB8EeF8AeC8Je/EJvhFRgBzhBGjBilBUoBFsB,v115@RhA8BeB8EeF8AeC8JeT/IvhFxgBymBGjBXlBUoBFsB,v115@RhA8BeB8EeF8AeC8JemAJvhFzhBfoB6oBxkB0kBFsB,v115@RhA8BeB8EeF8AeC8JemAJvhFFiB6oBxkBfsBzsB0pB,v115@RhA8BeB8EeF8AeC8Jex/IvhFylBFiBTjB0kBfsBWyB,v115@RhA8BeB8EeF8AeC8JeT/IvhFmhBSoBxlBXlBUoBFsB,v115@RhA8BeB8EeF8AeC8JeT/IvhF6oBxlBmnBXlBlmBcsB,v115@RhA8BeB8EeF8AeC8JeT/IvhFUjBxlBOsBXqBlrBSyB,v115@RhA8BeB8EeF8AeC8JeT/IvhFxgB+oBXlB0mBlnBisB,v115@RhA8BeB8EeF8AeC8JeT/IvhFSoBxlBVsBXlBUoBmrB
TSOLJZI,O,O,O,O,O,X,X,X,X,X
TSOLZIJ,O,O,O,O,O,X,X,X,X,X
TSOLZJI,O,O,O,O,O,X,X,X,X,X
TSOJILZ,X,O,O,O,O,O,X,X,X,X
TSOJIZL,O,O,O,O,O,X,X,X,O,X
TSOJLIZ,O,O,O,O,O,O,X,X,X,X
TSOJLZI,O,O,O,O,O,X,X,X,O,X
TSOJZIL,O,O,O,O,O,X,X,X,O,X
TSOJZLI,O,O,O,O,O,X,X,X,O,X
TSOZILJ,O,O,O,O,O,X,X,X,X,X
TSOZIJL,O,O,O,O,O,X,X,X,O,X
TSOZLIJ,O,O,O,O,O,X,X,X,X,X
TSOZLJI,O,O,O,O,O,X,X,X,X,X
TSOZJIL,O,O,O,O,O,X,X,X,O,X
TSOZJLI,O,O,O,O,O,X,X,X,O,X
TZILJSO,O,O,X,X,O,X,X,X,X,X
TZILJOS,O,O,X,X,O,O,X,X,X,X
TZILSJO,O,O,X,X,O,X,X,X,X,X
TZILSOJ,O,O,X,X,O,X,X,X,X,X
TZILOJS,O,O,X,X,X,O,X,X,X,O
TZILOSJ,O,O,X,X,X,X,X,X,X,O
TZIJLSO,O,O,X,X,O,X,X,X,O,X
TZIJLOS,O,O,X,X,O,O,X,X,X,X
TZIJSLO,O,O,O,X,O,X,X,X,O,X
TZIJSOL,O,O,O,X,O,X,X,X,O,X
TZIJOLS,O,O,X,X,O,O,X,X,X,X
TZIJOSL,O,X,O,X,O,X,X,X,O,X
TZISLJO,O,O,O,X,O,X,X,X,X,X
TZISLOJ,O,O,O,X,O,X,X,X,X,X
TZISJLO,O,O,O,X,O,X,X,X,O,X
TZISJOL,O,O,O,X,O,X,X,X,O,X
TZISOLJ,O,O,O,X,O,X,X,X,X,X
TZISOJL,O,O,O,X,O,X,X,X,O,X
TZIOLJS,O,O,X,X,X,O,X,X,X,O
TZIOLSJ,O,O,X,X,X,X,X,X,X,O
TZIOJLS,O,O,X,X,X,O,X,X,X,X
TZIOJSL,O,X,O,X,X,X,X,X,X,X
TZIOSLJ,O,X,O,X,X,X,X,X,X,X
TZIOSJL,O,X,O,X,X,X,X,X,X,X
TZLIJSO,O,O,X,X,O,X,X,X,X,X
TZLIJOS,O,O,X,X,O,O,X,X,X,X
TZLISJO,O,O,X,X,O,X,X,X,X,X
TZLISOJ,O,O,X,X,O,X,X,X,X,X
TZLIOJS,O,O,X,X,X,O,X,X,X,O
TZLIOSJ,O,O,X,X,X,X,X,X,X,O
TZLJISO,O,O,X,X,O,X,X,X,X,X
TZLJIOS,O,O,X,X,O,O,X,X,X,X
TZLJSIO,O,O,X,X,O,X,X,X,X,X
TZLJSOI,O,O,X,X,O,X,X,X,X,X
TZLJOIS,O,O,X,X,O,O,X,X,X,X
TZLJOSI,O,O,X,X,O,X,X,X,X,X
TZLSIJO,O,O,X,X,O,X,X,X,X,X
TZLSIOJ,O,O,X,X,O,X,X,X,X,X
TZLSJIO,O,O,X,X,O,X,X,X,X,X
TZLSJOI,O,O,X,X,O,X,X,X,X,X
TZLSOIJ,O,O,X,X,O,X,X,X,X,X
TZLSOJI,O,O,X,X,O,X,X,X,X,X
TZLOIJS,O,O,X,X,X,O,X,X,X,O
TZLOISJ,O,O,X,X,X,X,X,X,X,O
TZLOJIS,O,O,X,X,X,O,X,X,X,X
TZLOJSI,O,O,X,X,X,X,X,X,X,X
TZLOSIJ,O,O,X,X,X,X,X,X,X,X
TZLOSJI,O,O,X,X,X,X,X,X,X,X
TZJILSO,O,O,X,X,O,X,X,X,O,X
TZJILOS,O,O,X,X,O,O,X,X,X,X
TZJISLO,O,O,O,X,O,X,X,X,O,X
TZJISOL,O,O,O,X,O,X,X,X,O,X
TZJIOLS,O,O,X,X,O,O,X,X,X,X
TZJIOSL,O,X,O,X,O,X,X,X,O,X
TZJLISO,O,O,X,X,O,X,X,X,O,X
TZJLIOS,O,O,X,X,O,O,X,X,X,X
TZJLSIO,O,O,X,X,O,X,X,X,O,X
TZJLSOI,O,O,X,X,O,X,X,X,O,X
TZJLOIS,O,O,X,X,O,O,X,X,X,X
TZJLOSI,O,O,X,X,O,X,X,X,X,X
TZJSILO,O,O,O,X,O,X,X,X,O,X
TZJSIOL,O,O,O,X,O,X,X,X,O,X
TZJSLIO,O,O,O,X,O,X,X,X,O,X
TZJSLOI,O,O,O,X,O,X,X,X,O,X
TZJSOIL,O,O,O,X,O,X,X,X,O,X
TZJSOLI,O,O,O,X,O,X,X,X,O,X
TZJOILS,O,O,X,X,O,O,X,X,X,X
TZJOISL,O,X,O,X,O,X,X,X,O,X
TZJOLIS,O,O,X,X,O,O,X,X,X,X
TZJOLSI,O,O,X,X,O,X,X,X,X,X
TZJOSIL,O,O,O,X,O,X,X,X,O,X
TZJOSLI,O,O,O,X,O,X,X,X,O,X
TZSILJO,O,O,O,X,O,X,X,X,X,X
TZSILOJ,O,O,O,X,O,X,X,X,X,X
TZSIJLO,O,O,O,X,O,X,X,X,O,X
TZSIJOL,O,O,O,X,O,X,X,X,O,X
TZSIOLJ,O,O,O,X,O,X,X,X,X,X
TZSIOJL,O,O,O,X,O,X,X,X,O,X
TZSLIJO,O,O,O,X,O,X,X,X,X,X
TZSLIOJ,O,O,O,X,O,X,X,X,X,X
TZSLJIO,O,O,O,X,O,X,X,X,X,X
TZSLJOI,O,O,O,X,O,X,X,X,X,X
TZSLOIJ,O,O,O,X,O,X,X,X,X,X
TZSLOJI,O,O,O,X,O,X,X,X,X,X
TZSJILO,O,O,O,X,O,X,X,X,O,X
TZSJIOL,O,O,O,X,O,X,X,X,O,X
TZSJLIO,O,O,O,X,O,X,X,X,O,X
TZSJLOI,O,O,O,X,O,X,X,X,O,X
TZSJOIL,O,O,O,X,O,X,X,X,O,X
TZSJOLI,O,O,O,X,O,X,X,X,O,X
TZSOILJ,O,O,O,X,O,X,X,X,X,X
TZSOIJL,O,O,O,X,O,X,X,X,O,X
TZSOLIJ,O,O,O,X,O,X,X,X,X,X
TZSOLJI,O,O,O,X,O,X,X,X,X,X
TZSOJIL,O,O,O,X,O,X,X,X,O,X
TZSOJLI,O,O,O,X,O,X,X,X,O,X
TZOILJS,O,O,X,X,X,O,X,X,X,O
TZOILSJ,O,O,X,X,X,X,X,X,X,O
TZOIJLS,O,O,X,X,X,O,X,X,X,X
TZOIJSL,O,X,O,X,X,X,X,X,X,X
TZOISLJ,O,X,O,X,X,X,X,X,X,X
TZOISJL,O,X,O,X,X,X,X,X,X,X
TZOLIJS,O,O,X,X,X,O,X,X,X,O
TZOLISJ,O,O,X,X,X,X,X,X,X,O
TZOLJIS,O,O,X,X,X,O,X,X,X,X
TZOLJSI,O,O,X,X,X,X,X,X,X,X
TZOLSIJ,O,O,X,X,X,X,X,X,X,X
TZOLSJI,O,O,X,X,X,X,X,X,X,X
TZOJILS,O,O,X,X,X,O,X,X,X,X
TZOJISL,O,X,O,X,X,X,X,X,X,X
TZOJLIS,O,O,X,X,X,O,X,X,X,X
TZOJLSI,O,O,X,X,X,X,X,X,X,X
TZOJSIL,O,O,O,X,X,X,X,X,X,X
TZOJSLI,O,O,O,X,X,X,X,X,X,X
TZOSILJ,O,O,O,X,X,X,X,X,X,X
TZOSIJL,O,O,O,X,X,X,X,X,X,X
TZOSLIJ,O,O,O,X,X,X,X,X,X,X
TZOSLJI,O,O,O,X,X,X,X,X,X,X
TZOSJIL,O,O,O,X,X,X,X,X,X,X
TZOSJLI,O,O,O,X,X,X,X,X,X,X
TOILJSZ,X,X,O,O,X,O,O,X,X,O
TOILJZS,X,O,X,X,X,O,O,X,X,O
TOILSJZ,O,X,O,O,X,O,X,X,X,O
TOILSZJ,O,O,O,O,X,X,X,X,X,O
TOILZJS,O,O,X,X,X,O,X,X,X,O
TOILZSJ,O,O,X,X,X,X,X,X,X,O
TOIJLSZ,X,X,O,O,X,O,O,X,X,O
TOIJLZS,X,X,X,X,X,O,O,X,X,O
TOIJSLZ,X,X,O,O,X,O,X,X,X,X
TOIJSZL,X,X,O,O,X,X,X,X,X,X
TOIJZLS,X,X,X,X,X,O,X,O,X,X
TOIJZSL,X,X,O,X,X,X,X,O,X,X
TOISLJZ,O,X,O,O,X,O,X,X,X,O
TOISLZJ,O,X,O,O,X,X,X,X,X,O
TOISJLZ,X,X,O,O,X,O,X,X,X,X
TOISJZL,O,X,O,O,X,X,X,X,X,X
TOISZLJ,O,X,O,O,X,X,X,X,X,X
TOISZJL,O,X,O,O,X,X,X,X,X,X
TOIZLJS,O,O,X,X,X,O,X,X,X,O
TOIZLSJ,O,O,X,X,X,X,X,X,X,O
TOIZJLS,O,O,X,X,X,O,X,X,X,X
TOIZJSL,O,X,O,X,X,X,X,X,X,X
TOIZSLJ,O,X,O,X,X,X,X,X,X,X
TOIZSJL,O,X,O,X,X,X,X,X,X,X
TOLIJSZ,X,X,O,O,X,O,O,X,X,O
TOLIJZS,X,O,X,X,X,O,O,X,X,O
TOLISJZ,O,O,O,O,X,O,X,X,X,O
TOLISZJ,O,O,O,O,X,X,X,X,X,O
TOLIZJS,O,O,X,X,X,O,X,X,X,O
TOLIZSJ,O,O,X,X,X,X,X,X,X,O
TOLJISZ,X,X,O,O,X,O,O,X,X,O
TOLJIZS,X,O,X,X,X,O,O,X,X,O
TOLJSIZ,O,X,O,O,X,O,X,X,X,X
TOLJSZI,O,X,O,O,X,X,X,X,X,X
TOLJZIS,O,O,X,X,X,O,X,X,X,X
TOLJZSI,O,O,X,X,X,X,X,X,X,X
TOLSIJZ,O,O,O,O,X,O,X,X,X,O
TOLSIZJ,O,O,O,O,X,X,X,X,X,O
TOLSJIZ,O,O,O,O,X,O,X,X,X,X
TOLSJZI,O,O,O,O,X,X,X,X,X,X
TOLSZIJ,O,O,O,O,X,X,X,X,X,X
TOLSZJI,O,O,O,O,X,X,X,X,X,X
TOLZIJS,O,O,X,X,X,O,X,X,X,O
TOLZISJ,O,O,X,X,X,X,X,X,X,O
TOLZJIS,O,O,X,X,X,O,X,X,X,X
TOLZJSI,O,O,X,X,X,X,X,X,X,X
TOLZSIJ,O,O,X,X,X,X,X,X,X,X
TOLZSJI,O,O,X,X,X,X,X,X,X,X
TOJILSZ,X,X,O,O,X,O,O,X,X,O
TOJILZS,X,X,X,X,X,O,O,X,X,O
TOJISLZ,X,X,O,O,X,O,X,X,X,X
TOJISZL,X,X,O,O,X,X,X,X,X,X
TOJIZLS,X,X,X,X,X,O,X,O,X,X
TOJIZSL,X,X,O,X,X,X,X,O,X,X
TOJLISZ,X,X,O,O,X,O,O,X,X,O
TOJLIZS,X,O,X,X,X,O,O,X,X,O
TOJLSIZ,O,X,O,O,X,O,X,X,X,X
TOJLSZI,O,X,O,O,X,X,X,X,X,X
TOJLZIS,O,O,X,X,X,O,X,X,X,X
TOJLZSI,O,O,X,X,X,X,X,X,X,X
TOJSILZ,X,X,O,O,X,O,X,X,X,X
TOJSIZL,O,X,O,O,X,X,X,X,X,X
TOJSLIZ,O,X,O,O,X,O,X,X,X,X
TOJSLZI,O,X,O,O,X,X,X,X,X,X
TOJSZIL,O,X,O,O,X,X,X,X,X,X
TOJSZLI,O,X,O,O,X,X,X,X,X,X
TOJZILS,O,O,X,X,X,O,X,O,X,X
TOJZISL,O,X,O,X,X,X,X,O,X,X
TOJZLIS,O,O,X,X,X,O,X,X,X,X
TOJZLSI,O,O,X,X,X,X,X,X,X,X
TOJZSIL,O,X,O,X,X,X,X,X,X,X
TOJZSLI,O,O,O,X,X,X,X,X,X,X
TOSILJZ,O,O,O,O,X,O,X,X,X,O
TOSILZJ,O,O,O,O,X,X,X,X,X,O
TOSIJLZ,X,O,O,O,X,O,X,X,X,X
TOSIJZL,O,O,O,O,X,X,X,X,X,X
TOSIZLJ,O,O,O,O,X,X,X,X,X,X
TOSIZJL,O,O,O,O,X,X,X,X,X,X
TOSLIJZ,O,O,O,O,X,O,X,X,X,O
TOSLIZJ,O,O,O,O,X,X,X,X,X,O
TOSLJIZ,O,O,O,O,X,O,X,X,X,X
TOSLJZI,O,O,O,O,X,X,X,X,X,X
TOSLZIJ,O,O,O,O,X,X,X,X,X,X
TOSLZJI,O,O,O,O,X,X,X,X,X,X
TOSJILZ,X,O,O,O,X,O,X,X,X,X
TOSJIZL,O,O,O,O,X,X,X,X,X,X
TOSJLIZ,O,O,O,O,X,O,X,X,X,X
TOSJLZI,O,O,O,O,X,X,X,X,X,X
TOSJZIL,O,O,O,O,X,X,X,X,X,X
TOSJZLI,O,O,O,O,X,X,X,X,X,X
TOSZILJ,O,O,O,O,X,X,X,X,X,X
TOSZIJL,O,O,O,O,X,X,X,X,X,X
TOSZLIJ,O,O,O,O,X,X,X,X,X,X
TOSZLJI,O,O,O,O,X,X,X,X,X,X
TOSZJIL,O,O,O,O,X,X,X,X,X,X
TOSZJLI,O,O,O,O,X,X,X,X,X,X
TOZILJS,O,O,X,X,X,O,X,X,X,O
TOZILSJ,O,O,X,X,X,X,X,X,X,O
TOZIJLS,O,O,X,X,X,O,X,X,X,X
TOZIJSL,O,X,O,X,X,X,X,X,X,X
TOZISLJ,O,X,O,X,X,X,X,X,X,X
TOZISJL,O,X,O,X,X,X,X,X,X,X
TOZLIJS,O,O,X,X,X,O,X,X,X,O
TOZLISJ,O,O,X,X,X,X,X,X,X,O
TOZLJIS,O,O,X,X,X,O,X,X,X,X
TOZLJSI,O,O,X,X,X,X,X,X,X,X
TOZLSIJ,O,O,X,X,X,X,X,X,X,X
TOZLSJI,O,O,X,X,X,X,X,X,X,X
TOZJILS,O,O,X,X,X,O,X,X,X,X
TOZJISL,O,X,O,X,X,X,X,X,X,X
TOZJLIS,O,O,X,X,X,O,X,X,X,X
TOZJLSI,O,O,X,X,X,X,X,X,X,X
TOZJSIL,O,O,O,X,X,X,X,X,X,X
TOZJSLI,O,O,O,X,X,X,X,X,X,X
TOZSILJ,O,O,O,X,X,X,X,X,X,X
TOZSIJL,O,O,O,X,X,X,X,X,X,X
TOZSLIJ,O,O,O,X,X,X,X,X,X,X
TOZSLJI,O,O,O,X,X,X,X,X,X,X
TOZSJIL,O,O,O,X,X,X,X,X,X,X
TOZSJLI,O,O,O,X,X,X,X,X,X,X
ITLJSZO,X,O,O,X,X,X,X,X,X,X
ITLJSOZ,X,O,O,X,X,O,X,X,X,X
ITLJZSO,X,O,X,X,X,X,X,X,X,X
ITLJZOS,X,O,X,X,X,O,X,X,X,X
ITLJOSZ,X,X,O,O,X,O,O,X,X,O
ITLJOZS,X,O,X,X,X,O,O,X,X,O
ITLSJZO,O,O,O,X,X,X,X,X,X,X
ITLSJOZ,O,O,O,X,X,O,X,X,X,X
ITLSZJO,O,O,O,X,X,X,X,X,X,X
ITLSZOJ,O,O,O,X,X,X,X,X,X,X
ITLSOJZ,O,O,O,X,X,O,X,X,X,O
ITLSOZJ,O,O,O,X,X,X,X,X,X,O
ITLZJSO,O,O,X,X,X,X,X,X,X,X
ITLZJOS,O,O,X,X,X,O,X,X,X,X
ITLZSJO,O,O,X,X,X,X,X,X,X,X
ITLZSOJ,O,O,X,X,X,X,X,X,X,X
ITLZOJS,O,O,X,X,X,O,X,X,X,O
ITLZOSJ,O,O,X,X,X,X,X,X,X,O
ITLOJSZ,X,X,O,O,X,O,O,X,X,O
ITLOJZS,X,O,X,X,X,O,O,X,X,O
ITLOSJZ,O,O,O,O,X,O,X,X,X,O
ITLOSZJ,O,O,O,O,X,X,X,X,X,O
ITLOZJS,O,O,X,X,X,O,X,X,X,O
ITLOZSJ,O,O,X,X,X,X,X,X,X,O
ITJLSZO,X,X,O,X,X,X,X,X,X,X
ITJLSOZ,X,X,O,X,X,O,X,X,X,X
ITJLZSO,X,X,X,X,X,X,X,X,X,X
ITJLZOS,X,X,X,X,X,O,X,X,X,X
ITJLOSZ,X,X,O,O,X,O,O,X,X,O
ITJLOZS,X,X,X,X,X,O,O,X,X,O
ITJSLZO,X,X,O,X,X,X,X,X,X,X
ITJSLOZ,X,X,O,O,X,O,X,X,X,X
ITJSZLO,X,X,O,X,X,X,X,X,X,X
ITJSZOL,X,X,O,O,X,X,X,X,X,X
ITJSOLZ,X,X,O,O,X,O,X,X,X,X
ITJSOZL,X,X,O,O,X,X,X,X,X,X
ITJZLSO,X,X,X,X,X,X,X,X,X,X
ITJZLOS,X,X,X,X,X,O,X,X,X,X
ITJZSLO,X,X,O,X,X,X,X,X,X,X
ITJZSOL,X,X,O,X,X,X,X,X,X,X
ITJZOLS,X,X,X,X,X,O,X,O,X,X
ITJZOSL,X,X,O,X,X,X,X,O,X,X
ITJOLSZ,X,X,O,O,X,O,O,X,X,O
ITJOLZS,X,X,X,X,X,O,O,X,X,O
ITJOSLZ,X,X,O,O,X,O,X,X,X,X
ITJOSZL,X,X,O,O,X,X,X,X,X,X
ITJOZLS,X,X,X,X,X,O,X,O,X,X
ITJOZSL,X,X,O,X,X,X,X,O,X,X
ITSLJZO,O,O,O,X,X,X,X,X,X,X
ITSLJOZ,O,O,O,O,X,O,X,X,X,X
ITSLZJO,O,O,O,X,X,X,X,X,X,X
ITSLZOJ,O,O,O,X,X,X,X,X,X,X
ITSLOJZ,O,O,O,O,X,O,X,X,X,O
ITSLOZJ,O,O,O,O,X,X,X,X,X,O
ITSJLZO,O,O,O,X,X,X,X,X,X,X
ITSJLOZ,O,O,O,O,X,O,X,X,X,X
ITSJZLO,O,O,O,X,X,X,X,X,X,X
ITSJZOL,O,O,O,O,X,X,X,X,X,X
ITSJOLZ,X,O,O,O,X,O,X,X,X,X
ITSJOZL,O,O,O,O,X,X,X,X,X,X
ITSZLJO,O,O,O,X,X,X,X,X,X,X
ITSZLOJ,O,O,O,X,X,X,X,X,X,X
ITSZJLO,O,O,O,X,X,X,X,X,X,X
ITSZJOL,O,O,O,O,X,X,X,X,X,X
ITSZOLJ,O,O,O,O,X,X,X,X,X,X
ITSZOJL,O,O,O,O,X,X,X,X,X,X
ITSOLJZ,O,O,O,O,X,O,X,X,X,O
ITSOLZJ,O,O,O,O,X,X,X,X,X,O
ITSOJLZ,X,O,O,O,X,O,X,X,X,X
ITSOJZL,O,O,O,O,X,X,X,X,X,X
ITSOZLJ,O,O,O,O,X,X,X,X,X,X
ITSOZJL,O,O,O,O,X,X,X,X,X,X
ITZLJSO,O,O,X,X,X,X,X,X,X,X
ITZLJOS,O,O,X,X,X,O,X,X,X,X
ITZLSJO,O,O,X,X,X,X,X,X,X,X
ITZLSOJ,O,O,X,X,X,X,X,X,X,X
ITZLOJS,O,O,X,X,X,O,X,X,X,O
ITZLOSJ,O,O,X,X,X,X,X,X,X,O
ITZJLSO,O,O,X,X,X,X,X,X,X,X
ITZJLOS,O,O,X,X,X,O,X,X,X,X
ITZJSLO,O,O,O,X,X,X,X,X,X,X
ITZJSOL,O,O,O,X,X,X,X,X,X,X
ITZJOLS,O,O,X,X,X,O,X,X,X,X
ITZJOSL,O,X,O,X,X,X,X,X,X,X
ITZSLJO,O,O,O,X,X,X,X,X,X,X
ITZSLOJ,O,O,O,X,X,X,X,X,X,X
ITZSJLO,O,O,O,X,X,X,X,X,X,X
ITZSJOL,O,O,O,X,X,X,X,X,X,X
ITZSOLJ,O,O,O,X,X,X,X,X,X,X
ITZSOJL,O,O,O,X,X,X,X,X,X,X
ITZOLJS,O,O,X,X,X,O,X,X,X,O
ITZOLSJ,O,O,X,X,X,X,X,X,X,O
ITZOJLS,O,O,X,X,X,O,X,X,X,X
ITZOJSL,O,X,O,X,X,X,X,X,X,X
ITZOSLJ,O,X,O,X,X,X,X,X,X,X
ITZOSJL,O,X,O,X,X,X,X,X,X,X
ITOLJSZ,X,X,O,O,X,O,O,X,X,O
ITOLJZS,X,O,X,X,X,O,O,X,X,O
ITOLSJZ,O,X,O,O,X,O,X,X,X,O
ITOLSZJ,O,O,O,O,X,X,X,X,X,O
ITOLZJS,O,O,X,X,X,O,X,X,X,O
ITOLZSJ,O,O,X,X,X,X,X,X,X,O
ITOJLSZ,X,X,O,O,X,O,O,X,X,O
ITOJLZS,X,X,X,X,X,O,O,X,X,O
ITOJSLZ,X,X,O,O,X,O,X,X,X,X
ITOJSZL,X,X,O,O,X,X,X,X,X,X
ITOJZLS,X,X,X,X,X,O,X,O,X,X
ITOJZSL,X,X,O,X,X,X,X,O,X,X
ITOSLJZ,O,X,O,O,X,O,X,X,X,O
ITOSLZJ,O,X,O,O,X,X,X,X,X,O
ITOSJLZ,X,X,O,O,X,O,X,X,X,X
ITOSJZL,O,X,O,O,X,X,X,X,X,X
ITOSZLJ,O,X,O,O,X,X,X,X,X,X
ITOSZJL,O,X,O,O,X,X,X,X,X,X
ITOZLJS,O,O,X,X,X,O,X,X,X,O
ITOZLSJ,O,O,X,X,X,X,X,X,X,O
ITOZJLS,O,O,X,X,X,O,X,X,X,X
ITOZJSL,O,X,O,X,X,X,X,X,X,X
ITOZSLJ,O,X,O,X,X,X,X,X,X,X
ITOZSJL,O,X,O,X,X,X,X,X,X,X
ILTJSZO,X,X,O,X,O,X,X,X,X,X
ILTJSOZ,X,X,O,X,O,O,X,X,X,X
ILTJZSO,X,X,X,X,X,X,X,X,X,X
ILTJZOS,X,X,X,X,X,O,X,X,X,X
ILTJOSZ,X,X,O,O,O,O,O,X,X,O
ILTJOZS,X,X,X,X,X,O,O,X,X,O
ILTSJZO,O,X,O,X,O,X,X,X,X,X
ILTSJOZ,O,X,O,X,O,O,X,X,X,X
ILTSZJO,O,O,O,X,O,X,X,X,X,X
ILTSZOJ,O,O,O,X,X,X,X,X,X,X
ILTSOJZ,O,X,O,X,O,O,X,X,X,O
ILTSOZJ,O,O,O,X,X,X,X,X,X,O
ILTZJSO,O,O,X,X,X,X,X,X,X,X
ILTZJOS,O,O,X,X,X,O,X,X,X,X
ILTZSJO,O,O,X,X,X,X,X,X,X,X
ILTZSOJ,O,O,X,X,X,X,X,X,X,X
ILTZOJS,O,O,X,X,X,O,X,X,X,O
ILTZOSJ,O,X,X,X,X,X,X,X,X,O
ILTOJSZ,X,X,O,O,X,O,O,X,X,O
ILTOJZS,X,X,X,X,X,O,O,X,X,O
ILTOSJZ,O,X,O,O,X,O,X,X,X,O
ILTOSZJ,O,X,O,O,X,X,X,X,X,O
ILTOZJS,O,O,X,X,X,O,X,X,X,O
ILTOZSJ,O,X,X,X,X,X,X,X,X,O
ILJTSZO,X,X,O,X,O,X,X,X,X,X
ILJTSOZ,X,X,O,X,O,X,X,X,X,X
ILJTZSO,X,X,X,X,X,X,X,X,X,X
ILJTZOS,X,X,X,X,X,X,X,X,X,X
ILJTOSZ,X,X,O,O,O,X,O,X,X,X
ILJTOZS,X,X,X,X,X,X,O,X,X,X
ILJSTZO,X,X,O,X,O,X,X,X,X,X
ILJSTOZ,X,X,O,O,O,X,X,X,X,X
ILJSZTO,X,O,O,X,O,X,X,X,X,X
ILJSZOT,X,O,X,X,O,X,X,X,X,X
ILJSOTZ,X,X,O,O,O,X,O,X,X,X
ILJSOZT,X,O,X,O,O,X,O,X,X,X
ILJZTSO,X,O,X,X,O,X,X,X,X,X
ILJZTOS,X,O,X,X,O,X,X,X,X,X
ILJZSTO,X,O,O,X,O,X,X,X,X,X
ILJZSOT,X,O,X,X,O,X,X,X,X,X
ILJZOTS,X,O,X,X,O,X,O,O,X,X
ILJZOST,X,O,X,O,O,X,O,O,X,X
ILJOTSZ,X,X,X,O,O,X,O,X,X,X
ILJOTZS,X,X,X,X,X,X,O,X,X,X
ILJOSTZ,X,X,O,O,O,X,O,X,X,X
ILJOSZT,X,X,X,O,O,X,O,X,X,X
ILJOZTS,X,O,X,X,O,X,O,O,X,X
ILJOZST,X,O,X,O,O,X,O,O,X,X
ILSTJZO,O,X,O,X,O,X,X,X,X,X
ILSTJOZ,O,X,O,O,O,X,X,X,X,X
ILSTZJO,O,O,O,X,O,X,X,X,X,X
ILSTZOJ,O,O,O,X,O,X,X,X,X,X
ILSTOJZ,O,X,O,O,O,X,X,X,X,X
ILSTOZJ,O,O,O,O,X,X,X,X,X,X
ILSJTZO,O,X,O,X,O,X,X,X,X,X
ILSJTOZ,O,X,O,O,O,X,X,X,X,X
ILSJZTO,O,O,O,X,O,X,X,X,X,X
ILSJZOT,O,O,X,X,O,X,X,X,X,X
ILSJOTZ,X,X,O,O,O,X,O,X,X,X
ILSJOZT,X,O,X,O,O,X,O,X,X,X
ILSZTJO,O,O,O,X,O,X,X,X,X,X
ILSZTOJ,O,O,O,X,O,X,X,X,X,X
ILSZJTO,O,O,O,X,O,X,X,X,X,X
ILSZJOT,O,O,X,X,O,X,X,X,X,X
ILSZOTJ,O,O,X,X,O,X,X,X,X,X
ILSZOJT,O,O,X,X,O,X,X,X,X,X
ILSOTJZ,O,X,O,O,O,X,X,X,X,X
ILSOTZJ,O,O,O,O,X,X,X,X,X,X
ILSOJTZ,X,X,O,O,O,X,O,X,X,X
ILSOJZT,X,O,X,O,O,X,O,X,X,X
ILSOZTJ,O,O,X,O,X,X,X,X,X,X
ILSOZJT,O,O,X,O,X,X,X,X,X,X
ILZTJSO,O,O,X,X,O,X,X,X,X,X
ILZTJOS,O,O,X,X,O,X,X,X,X,X
ILZTSJO,O,O,X,X,O,X,X,X,X,X
ILZTSOJ,O,O,X,X,O,X,X,X,X,X
ILZTOJS,O,O,X,X,X,X,X,X,X,X
ILZTOSJ,O,X,X,X,X,X,X,X,X,X
ILZJTSO,O,O,X,X,O,X,X,X,X,X
ILZJTOS,O,O,X,X,O,X,X,X,X,X
ILZJSTO,O,O,O,X,O,X,X,X,X,X
ILZJSOT,O,O,X,X,O,X,X,X,X,X
ILZJOTS,X,O,X,X,O,X,O,X,X,X
ILZJOST,X,O,X,O,O,X,O,X,X,X
ILZSTJO,O,O,O,X,O,X,X,X,X,X
ILZSTOJ,O,O,O,X,O,X,X,X,X,X
ILZSJTO,O,O,O,X,O,X,X,X,X,X
ILZSJOT,O,O,X,X,O,X,X,X,X,X
ILZSOTJ,O,O,X,X,O,X,X,X,X,X
ILZSOJT,O,O,X,X,O,X,X,X,X,X
ILZOTJS,X,O,X,X,X,X,X,X,X,X
ILZOTSJ,X,X,X,X,X,X,X,X,X,X
ILZOJTS,X,O,X,X,O,X,O,X,X,X
ILZOJST,X,O,X,O,O,X,O,X,X,X
ILZOSTJ,X,O,X,O,O,X,X,X,X,X
ILZOSJT,X,O,X,O,O,X,X,X,X,X
ILOTJSZ,X,X,X,O,X,O,O,X,X,O
ILOTJZS,X,X,X,X,X,O,O,X,X,O
ILOTSJZ,X,X,X,O,X,O,X,X,X,O
ILOTSZJ,X,X,X,O,X,X,X,X,X,O
ILOTZJS,X,O,X,X,X,O,X,X,X,O
ILOTZSJ,X,X,X,X,X,X,X,X,X,O
ILOJTSZ,X,X,X,O,O,X,O,X,X,X
ILOJTZS,X,X,X,X,X,X,O,X,X,X
ILOJSTZ,X,X,O,O,O,X,O,X,X,X
