sequence,v115@RhB8EeA8BeE8AeD8Jex/IvhF8lBzhBfoB6oBmkBlrB,v115@RhB8EeA8BeE8AeD8Je2EJvhFRgBzhBSoB3lBUoBlrB,v115@RhB8EeA8BeE8AeD8Jei/IvhFzhBGjBRlBUoB3lBlrB,v115@RhB8EeA8BeE8AeD8Jei/IvhFRhBziB+oBFlBXmB8rB,v115@RhB8EeA8BeE8AeD8Je2EJvhFRgB3hBCjB1qB8rBTtB,v115@RhB8EeA8BeE8AeD8Jex/IvhFlhBfoB6oBmkBzlB8rB,v115@RhB8EeA8BeE8AeD8Jei/IvhFxiBUlBFmBXnBToBGrB,v115@RhB8EeA8BeE8AeD8Je2EJvhFChBxiB/rBFsBTtBUqB,v115@RhB8EeA8BeE8AeD8Jei/IvhFWmBUlBxnB/rBFsBTtB
TZLIJSO,X,X,O,O,O,X,X,X,O
TZLIJOS,X,X,O,O,O,X,X,X,O
TZLISJO,O,X,O,O,O,X,X,X,X
TZLISOJ,O,X,O,O,O,X,O,X,X
TZLIOJS,X,X,O,O,O,X,X,X,X
TZLIOSJ,O,X,O,X,O,X,O,X,X
TZLJISO,O,X,O,O,O,O,X,X,O
TZLJIOS,O,X,O,O,O,X,X,X,O
TZLJSIO,O,O,O,O,O,O,X,X,X
TZLJSOI,O,O,O,O,O,O,O,X,X
TZLJOIS,O,X,O,O,O,X,X,X,X
TZLJOSI,O,O,O,O,O,X,O,X,X
TZLSIJO,O,O,O,O,O,O,X,X,X
TZLSIOJ,O,O,O,O,O,O,O,X,X
TZLSJIO,O,O,O,O,O,O,X,X,X
TZLSJOI,O,O,O,O,O,O,O,X,X
TZLSOIJ,O,O,O,O,O,O,O,X,X
TZLSOJI,O,O,O,O,O,O,O,X,X
TZLOIJS,X,X,O,O,O,X,X,X,X
TZLOISJ,O,X,O,X,O,O,O,X,X
TZLOJIS,O,X,O,O,O,O,X,X,X
TZLOJSI,O,O,O,O,O,O,O,X,X
TZLOSIJ,O,O,O,O,O,O,O,X,X
TZLOSJI,O,O,O,O,O,O,O,X,X
TZJILSO,O,X,O,O,O,O,X,X,O
TZJILOS,O,X,O,O,O,X,X,X,O
TZJISLO,O,X,O,O,O,O,X,X,X
TZJISOL,O,X,O,O,O,O,X,X,X
TZJIOLS,O,X,O,O,O,X,X,X,X
TZJIOSL,O,X,O,O,O,O,X,X,X
TZJLISO,O,X,O,O,O,O,X,X,O
TZJLIOS,O,X,O,O,O,X,X,X,O
TZJLSIO,O,O,O,O,O,O,X,X,X
TZJLSOI,O,O,O,O,O,O,O,X,X
TZJLOIS,O,X,O,O,O,X,X,X,X
TZJLOSI,O,O,O,O,O,X,O,X,X
TZJSILO,O,O,O,O,O,O,X,X,X
TZJSIOL,O,O,O,O,O,O,X,X,X
TZJSLIO,O,O,O,O,O,O,X,X,X
TZJSLOI,O,O,O,O,O,O,O,X,X
TZJSOIL,O,O,O,O,O,O,O,X,X
TZJSOLI,O,O,O,O,O,O,O,X,X
TZJOILS,O,X,O,O,O,O,X,X,X
TZJOISL,O,X,O,O,O,O,X,O,X
TZJOLIS,O,X,O,O,O,O,X,X,X
TZJOLSI,O,O,O,O,O,O,O,X,X
TZJOSIL,O,O,O,O,O,O,O,X,X
TZJOSLI,O,O,O,O,O,O,O,X,X
TZSILJO,O,O,O,O,O,O,X,X,X
TZSILOJ,O,O,O,O,O,O,O,X,X
TZSIJLO,O,O,O,O,O,O,X,X,X
TZSIJOL,O,O,O,O,O,O,X,X,X
TZSIOLJ,O,O,O,O,O,O,O,X,X
TZSIOJL,O,O,O,O,O,O,O,X,X
TZSLIJO,O,O,O,O,O,O,X,X,X
TZSLIOJ,O,O,O,O,O,O,O,X,X
TZSLJIO,O,O,O,O,O,O,X,X,X
TZSLJOI,O,O,O,O,O,O,O,X,X
TZSLOIJ,O,O,O,O,O,O,O,X,X
TZSLOJI,O,O,O,O,O,O,O,X,X
TZSJILO,O,O,O,O,O,O,X,X,X
TZSJIOL,O,O,O,O,O,O,X,X,X
TZSJLIO,O,O,O,O,O,O,X,X,X
TZSJLOI,O,O,O,O,O,O,O,X,X
TZSJOIL,O,O,O,O,O,O,O,X,X
TZSJOLI,O,O,O,O,O,O,O,X,X
TZSOILJ,O,O,O,O,O,O,O,X,X
TZSOIJL,O,O,O,O,O,O,O,X,X
TZSOLIJ,O,O,O,O,O,O,O,X,X
TZSOLJI,O,O,O,O,O,O,O,X,X
TZSOJIL,O,O,O,O,O,O,O,X,X
TZSOJLI,O,O,O,O,O,O,O,X,X
TZOILJS,X,X,O,O,O,X,X,X,X
TZOILSJ,O,X,O,X,O,O,O,X,X
TZOIJLS,O,X,O,O,O,O,X,X,X
TZOIJSL,O,X,O,O,O,O,X,O,X
TZOISLJ,O,X,O,X,O,O,O,O,X
TZOISJL,O,X,O,X,O,O,O,O,X
TZOLIJS,X,X,O,O,O,X,X,X,X
TZOLISJ,O,X,O,X,O,O,O,X,X
TZOLJIS,O,X,O,O,O,O,X,X,X
TZOLJSI,O,O,O,O,O,O,O,X,X
TZOLSIJ,O,O,O,O,O,O,O,X,X
TZOLSJI,O,O,O,O,O,O,O,X,X
TZOJILS,O,X,O,O,O,O,X,X,X
TZOJISL,O,X,O,O,O,O,X,O,X
TZOJLIS,O,X,O,O,O,O,X,X,X
TZOJLSI,O,O,O,O,O,O,O,X,X
TZOJSIL,O,O,O,O,O,O,O,X,X
TZOJSLI,O,O,O,O,O,O,O,X,X
TZOSILJ,O,O,O,O,O,O,O,X,X
TZOSIJL,O,O,O,O,O,O,O,X,X
TZOSLIJ,O,O,O,O,O,O,O,X,X
TZOSLJI,O,O,O,O,O,O,O,X,X
TZOSJIL,O,O,O,O,O,O,O,X,X
TZOSJLI,O,O,O,O,O,O,O,X,X
TOILJSZ,X,O,X,O,O,X,X,O,X
TOILJZS,X,X,O,O,O,X,X,X,X
TOILSJZ,X,O,X,X,O,X,X,O,X
TOILSZJ,X,O,O,X,O,X,O,O,X
TOILZJS,X,X,O,X,O,X,X,X,X
TOILZSJ,X,X,O,X,O,X,O,X,X
TOIJLSZ,X,O,X,O,O,X,X,O,X
TOIJLZS,X,X,O,O,O,X,X,X,X
TOIJSLZ,O,O,X,O,O,X,X,O,X
TOIJSZL,O,O,X,X,O,X,X,O,X
TOIJZLS,O,X,O,O,O,X,X,X,X
TOIJZSL,O,X,O,X,O,X,X,O,X
TOISLJZ,O,O,X,X,O,X,X,O,X
TOISLZJ,O,O,O,X,O,O,O,O,X
TOISJLZ,O,O,X,X,O,X,X,O,X
TOISJZL,O,O,X,X,O,X,O,O,X
TOISZLJ,O,O,O,X,O,O,O,O,X
TOISZJL,O,O,O,X,O,O,O,O,X
TOIZLJS,X,X,O,X,O,X,X,X,X
TOIZLSJ,O,X,O,X,O,O,O,X,X
TOIZJLS,O,X,O,X,O,X,X,X,X
TOIZJSL,O,X,O,X,O,O,X,O,X
TOIZSLJ,O,X,O,X,O,O,O,O,X
TOIZSJL,O,X,O,X,O,O,O,O,X
TOLIJSZ,X,O,X,O,O,X,X,O,X
TOLIJZS,X,X,O,O,O,X,X,X,X
TOLISJZ,X,O,X,X,O,X,X,O,X
TOLISZJ,X,O,O,X,O,X,O,O,X
TOLIZJS,X,X,O,X,O,X,X,X,X
TOLIZSJ,X,X,O,X,O,X,O,X,X
TOLJISZ,X,O,X,O,O,X,X,O,X
TOLJIZS,X,X,O,O,O,X,X,X,X
TOLJSIZ,O,O,X,O,O,X,X,X,X
TOLJSZI,O,O,X,O,O,X,X,X,X
TOLJZIS,O,X,O,O,O,X,X,X,X
TOLJZSI,O,O,O,O,O,X,X,X,X
TOLSIJZ,O,O,X,X,O,X,X,X,X
TOLSIZJ,O,O,O,X,O,X,O,X,X
TOLSJIZ,O,O,X,X,O,X,X,X,X
TOLSJZI,O,O,X,X,O,X,X,X,X
TOLSZIJ,O,O,O,X,O,X,O,X,X
TOLSZJI,O,O,O,X,O,X,O,X,X
TOLZIJS,X,X,O,O,O,X,X,X,X
TOLZISJ,O,X,O,X,O,X,O,X,X
TOLZJIS,O,X,O,O,O,X,X,X,X
TOLZJSI,O,O,O,O,O,X,O,X,X
TOLZSIJ,O,O,O,O,O,X,O,X,X
TOLZSJI,O,O,O,O,O,X,O,X,X
TOJILSZ,X,O,X,O,O,X,X,O,X
TOJILZS,X,X,O,O,O,X,X,X,X
TOJISLZ,O,O,X,O,O,O,X,O,X
TOJISZL,O,O,X,X,O,O,X,O,X
TOJIZLS,O,X,O,O,O,O,X,X,X
TOJIZSL,O,X,O,O,O,O,X,O,X
TOJLISZ,X,O,X,O,O,X,X,O,X
TOJLIZS,X,X,O,O,O,X,X,X,X
TOJLSIZ,O,O,X,O,O,X,X,X,X
TOJLSZI,O,O,X,O,O,X,X,X,X
TOJLZIS,O,X,O,O,O,X,X,X,X
TOJLZSI,O,O,O,O,O,X,X,X,X
TOJSILZ,O,O,X,O,O,O,X,O,X
TOJSIZL,O,O,X,X,O,O,O,O,X
TOJSLIZ,O,O,X,O,O,O,X,O,X
TOJSLZI,O,O,X,O,O,O,X,O,X
TOJSZIL,O,O,X,O,O,O,O,O,X
TOJSZLI,O,O,X,O,O,O,O,O,X
TOJZILS,O,X,O,O,O,O,X,X,X
TOJZISL,O,X,O,O,O,O,X,O,X
TOJZLIS,O,X,O,O,O,O,X,X,X
TOJZLSI,O,O,O,O,O,O,O,X,X
TOJZSIL,O,O,O,O,O,O,O,X,X
TOJZSLI,O,O,O,O,O,O,O,X,X
TOSILJZ,O,O,X,X,O,X,X,O,X
TOSILZJ,O,O,O,X,O,O,O,O,X
TOSIJLZ,O,O,X,X,O,X,X,O,X
TOSIJZL,O,O,X,X,O,X,O,O,X
TOSIZLJ,O,O,O,X,O,O,O,O,X
TOSIZJL,O,O,O,X,O,O,O,O,X
TOSLIJZ,O,O,X,X,O,X,X,O,X
TOSLIZJ,O,O,O,X,O,O,O,O,X
TOSLJIZ,O,O,X,X,O,O,X,O,X
TOSLJZI,O,O,X,X,O,O,X,O,X
TOSLZIJ,O,O,O,X,O,O,O,O,X
TOSLZJI,O,O,O,X,O,O,O,O,X
TOSJILZ,O,O,X,X,O,O,X,O,X
TOSJIZL,O,O,X,X,O,O,O,O,X
TOSJLIZ,O,O,X,X,O,O,X,O,X
TOSJLZI,O,O,X,X,O,O,X,O,X
TOSJZIL,O,O,X,X,O,O,O,O,X
TOSJZLI,O,O,X,X,O,O,O,O,X
TOSZILJ,O,O,O,X,O,O,O,O,X
TOSZIJL,O,O,O,X,O,O,O,O,X
TOSZLIJ,O,O,O,X,O,O,O,O,X
TOSZLJI,O,O,O,X,O,O,O,O,X
TOSZJIL,O,O,O,X,O,O,O,O,X
TOSZJLI,O,O,O,X,O,O,O,O,X
TOZILJS,X,X,O,O,O,X,X,X,X
TOZILSJ,O,X,O,X,O,O,O,X,X
TOZIJLS,O,X,O,O,O,O,X,X,X
TOZIJSL,O,X,O,O,O,O,X,O,X
TOZISLJ,O,X,O,X,O,O,O,O,X
TOZISJL,O,X,O,X,O,O,O,O,X
TOZLIJS,X,X,O,O,O,X,X,X,X
TOZLISJ,O,X,O,X,O,O,O,X,X
TOZLJIS,O,X,O,O,O,O,X,X,X
TOZLJSI,O,O,O,O,O,O,O,X,X
TOZLSIJ,O,O,O,O,O,O,O,X,X
TOZLSJI,O,O,O,O,O,O,O,X,X
TOZJILS,O,X,O,O,O,O,X,X,X
TOZJISL,O,X,O,O,O,O,X,O,X
TOZJLIS,O,X,O,O,O,O,X,X,X
TOZJLSI,O,O,O,O,O,O,O,X,X
TOZJSIL,O,O,O,O,O,O,O,X,X
TOZJSLI,O,O,O,O,O,O,O,X,X
TOZSILJ,O,O,O,O,O,O,O,X,X
TOZSIJL,O,O,O,O,O,O,O,X,X
TOZSLIJ,O,O,O,O,O,O,O,X,X
TOZSLJI,O,O,O,O,O,O,O,X,X
TOZSJIL,O,O,O,O,O,O,O,X,X
TOZSJLI,O,O,O,O,O,O,O,X,X
ITLJSZO,X,O,X,X,O,X,X,X,X
ITLJSOZ,X,O,X,O,X,X,X,X,X
ITLJZSO,X,X,O,O,O,X,X,X,X
ITLJZOS,X,X,O,O,O,X,X,X,X
ITLJOSZ,X,O,X,O,O,X,X,X,X
ITLJOZS,X,X,O,O,O,X,X,X,X
ITLSJZO,X,O,X,X,O,X,X,X,X
ITLSJOZ,X,O,X,O,X,X,X,X,X
ITLSZJO,X,O,O,X,O,X,X,X,X
ITLSZOJ,X,O,O,X,O,X,X,X,X
ITLSOJZ,X,O,X,X,X,X,X,X,X
ITLSOZJ,X,O,O,X,X,X,X,X,X
ITLZJSO,X,X,O,O,O,X,X,X,O
ITLZJOS,X,X,O,O,O,X,X,X,O
ITLZSJO,X,X,O,O,O,X,X,X,X
ITLZSOJ,X,X,O,O,O,X,X,X,X
ITLZOJS,X,X,O,O,O,X,X,X,X
ITLZOSJ,X,X,O,X,O,X,X,X,X
ITLOJSZ,X,O,X,O,O,X,X,X,X
ITLOJZS,X,X,O,O,O,X,X,X,X
ITLOSJZ,X,O,X,X,O,X,X,X,X
ITLOSZJ,X,O,O,X,O,X,X,X,X
ITLOZJS,X,X,O,X,O,X,X,X,X
ITLOZSJ,X,X,O,X,O,X,X,X,X
ITJLSZO,X,O,X,X,O,X,X,X,X
ITJLSOZ,X,O,X,O,X,X,X,X,X
ITJLZSO,X,X,O,O,O,X,X,X,X
ITJLZOS,X,X,O,O,O,X,X,X,X
ITJLOSZ,X,O,X,O,O,X,X,X,X
ITJLOZS,X,X,O,O,O,X,X,X,X
ITJSLZO,O,O,X,X,O,X,X,X,X
ITJSLOZ,O,O,X,O,X,X,X,X,X
ITJSZLO,O,O,X,X,O,X,X,X,X
ITJSZOL,O,O,X,X,O,X,X,X,X
ITJSOLZ,O,O,X,O,O,X,X,X,X
ITJSOZL,O,O,X,X,O,X,X,X,X
ITJZLSO,O,X,O,O,O,X,X,X,X
ITJZLOS,O,X,O,O,O,X,X,X,X
ITJZSLO,O,X,O,O,O,X,X,X,X
ITJZSOL,O,X,O,O,O,X,X,X,X
ITJZOLS,O,X,O,O,O,X,X,X,X
ITJZOSL,O,X,O,O,O,X,X,X,X
ITJOLSZ,X,O,X,O,O,X,X,O,X
ITJOLZS,X,X,O,O,O,X,X,X,X
ITJOSLZ,O,O,X,O,O,X,X,O,X
ITJOSZL,O,O,X,X,O,X,X,O,X
ITJOZLS,O,X,O,O,O,X,X,X,X
ITJOZSL,O,X,O,O,O,X,X,O,X
ITSLJZO,O,O,X,X,O,X,X,X,X
ITSLJOZ,O,O,X,O,X,X,X,X,X
ITSLZJO,O,O,O,X,O,X,X,X,X
ITSLZOJ,O,O,O,X,O,X,X,X,X
ITSLOJZ,O,O,X,X,X,X,X,X,X
ITSLOZJ,O,O,O,X,X,X,X,X,X
ITSJLZO,O,O,X,X,O,X,X,X,X
ITSJLOZ,O,O,X,O,X,X,X,X,X
ITSJZLO,O,O,X,X,O,X,X,X,X
ITSJZOL,O,O,X,X,O,X,X,X,X
ITSJOLZ,O,O,X,O,O,X,X,X,X
ITSJOZL,O,O,X,X,O,X,X,X,X
ITSZLJO,O,O,O,X,O,X,X,X,X
ITSZLOJ,O,O,O,X,O,X,O,X,X
ITSZJLO,O,O,O,X,O,X,X,X,X
ITSZJOL,O,O,O,X,O,X,X,X,X
ITSZOLJ,O,O,O,X,O,X,O,X,X
ITSZOJL,O,O,O,X,O,X,O,X,X
ITSOLJZ,O,O,X,X,O,X,X,X,X
ITSOLZJ,O,O,O,X,O,X,O,X,X
ITSOJLZ,O,O,X,X,O,X,X,X,X
ITSOJZL,O,O,X,X,O,X,O,X,X
ITSOZLJ,O,O,O,X,O,X,O,X,X
ITSOZJL,O,O,O,X,O,X,O,X,X
ITZLJSO,X,X,O,O,O,X,X,X,O
ITZLJOS,X,X,O,O,O,X,X,X,O
ITZLSJO,O,X,O,O,O,X,X,X,X
ITZLSOJ,O,X,O,O,O,X,O,X,X
ITZLOJS,X,X,O,O,O,X,X,X,X
ITZLOSJ,O,X,O,X,O,X,O,X,X
ITZJLSO,O,X,O,O,O,X,X,X,O
ITZJLOS,O,X,O,O,O,X,X,X,O
ITZJSLO,O,X,O,O,O,X,X,X,X
ITZJSOL,O,X,O,O,O,X,X,X,X
ITZJOLS,O,X,O,O,O,X,X,X,X
ITZJOSL,O,X,O,O,O,X,X,X,X
ITZSLJO,O,X,O,O,O,X,X,X,X
ITZSLOJ,O,X,O,O,O,X,O,X,X
ITZSJLO,O,X,O,O,O,X,X,X,X
ITZSJOL,O,X,O,O,O,X,X,X,X
ITZSOLJ,O,X,O,O,O,X,O,X,X
ITZSOJL,O,X,O,O,O,X,O,X,X
ITZOLJS,X,X,O,O,O,X,X,X,X
ITZOLSJ,O,X,O,X,O,X,O,X,X
ITZOJLS,O,X,O,O,O,X,X,X,X
ITZOJSL,O,X,O,O,O,X,X,X,X
ITZOSLJ,O,X,O,X,O,X,O,X,X
ITZOSJL,O,X,O,X,O,X,O,X,X
ITOLJSZ,X,O,X,O,O,X,X,O,X
ITOLJZS,X,X,O,O,O,X,X,X,X
ITOLSJZ,X,O,X,X,O,X,X,O,X
ITOLSZJ,X,O,O,X,O,X,X,O,X
ITOLZJS,X,X,O,X,O,X,X,X,X
ITOLZSJ,X,X,O,X,O,X,X,X,X
ITOJLSZ,X,O,X,O,O,X,X,O,X
ITOJLZS,X,X,O,O,O,X,X,X,X
ITOJSLZ,O,O,X,O,O,X,X,O,X
ITOJSZL,O,O,X,X,O,X,X,O,X
ITOJZLS,O,X,O,O,O,X,X,X,X
ITOJZSL,O,X,O,X,O,X,X,O,X
ITOSLJZ,O,O,X,X,O,X,X,O,X
ITOSLZJ,O,O,O,X,O,X,O,O,X
ITOSJLZ,O,O,X,X,O,X,X,O,X
ITOSJZL,O,O,X,X,O,X,O,O,X
ITOSZLJ,O,O,O,X,O,X,O,O,X
ITOSZJL,O,O,O,X,O,X,O,O,X
ITOZLJS,X,X,O,X,O,X,X,X,X
ITOZLSJ,O,X,O,X,O,X,O,X,X
ITOZJLS,O,X,O,X,O,X,X,X,X
ITOZJSL,O,X,O,X,O,X,X,O,X
ITOZSLJ,O,X,O,X,O,X,O,O,X
ITOZSJL,O,X,O,X,O,X,O,O,X
ILTJSZO,X,O,X,X,O,X,X,X,X
ILTJSOZ,X,O,X,O,X,X,X,X,X
ILTJZSO,X,X,O,O,O,X,X,X,X
ILTJZOS,X,X,O,O,O,X,X,X,X
ILTJOSZ,X,O,X,O,X,X,X,X,X
ILTJOZS,X,X,O,O,O,X,X,X,X
ILTSJZO,X,O,X,X,O,X,X,X,X
ILTSJOZ,X,O,X,O,X,X,X,X,X
ILTSZJO,X,O,O,X,O,X,X,X,X
ILTSZOJ,X,O,O,X,O,X,X,X,X
ILTSOJZ,X,O,X,X,X,X,X,X,X
ILTSOZJ,X,O,O,X,X,X,X,X,X
ILTZJSO,X,X,O,O,O,X,X,X,O
ILTZJOS,X,X,O,O,O,X,X,X,O
ILTZSJO,X,X,O,O,O,X,X,X,X
ILTZSOJ,X,X,O,O,O,X,X,X,X
ILTZOJS,X,X,O,O,O,X,X,X,X
ILTZOSJ,X,X,O,X,O,X,X,X,X
ILTOJSZ,X,O,X,O,X,X,X,X,X
ILTOJZS,X,X,O,O,O,X,X,X,X
ILTOSJZ,X,O,X,X,X,X,X,X,X
ILTOSZJ,X,O,O,X,X,X,X,X,X
ILTOZJS,X,X,O,X,O,X,X,X,X
ILTOZSJ,X,X,O,X,O,X,X,X,X
ILJTSZO,X,O,X,X,O,X,X,X,X
ILJTSOZ,X,O,X,O,X,X,X,X,X
ILJTZSO,X,X,O,O,O,X,X,X,X
ILJTZOS,X,X,O,O,O,X,X,X,X
ILJTOSZ,X,O,X,O,X,X,X,X,X
ILJTOZS,X,X,O,O,O,X,X,X,X
ILJSTZO,X,O,X,X,O,X,X,X,X
ILJSTOZ,X,O,X,X,X,X,X,X,X
ILJSZTO,X,O,X,X,X,X,X,X,X
ILJSZOT,X,X,X,X,X,X,X,X,X
ILJSOTZ,X,O,X,X,X,X,X,X,X
ILJSOZT,X,X,X,X,X,X,X,X,X
ILJZTSO,X,X,O,O,O,X,X,X,O
ILJZTOS,X,X,O,O,O,X,X,X,O
ILJZSTO,X,O,O,O,X,X,X,X,O
ILJZSOT,X,X,X,O,X,X,X,X,O
ILJZOTS,X,X,O,O,X,X,X,X,O
ILJZOST,X,X,X,O,X,X,X,X,O
ILJOTSZ,X,X,X,O,X,X,X,X,X
ILJOTZS,X,X,X,O,O,X,X,X,X
ILJOSTZ,X,O,X,X,X,X,X,X,X
ILJOSZT,X,X,X,X,X,X,X,X,X
ILJOZTS,X,X,X,O,X,X,X,X,X
ILJOZST,X,X,X,O,X,X,X,X,X
ILSTJZO,X,O,X,X,X,X,X,X,X
ILSTJOZ,X,O,X,X,X,X,X,X,X
ILSTZJO,X,O,O,X,X,X,X,X,X
ILSTZOJ,X,O,O,X,X,X,X,X,X
ILSTOJZ,X,O,X,X,X,X,X,X,X
ILSTOZJ,X,O,O,X,X,X,X,X,X
ILSJTZO,X,O,X,X,X,X,X,X,X
ILSJTOZ,X,O,X,X,X,X,X,X,X
ILSJZTO,X,O,X,X,X,X,X,X,X
ILSJZOT,X,X,X,X,X,X,X,X,X
ILSJOTZ,X,O,X,X,X,X,X,X,X
ILSJOZT,X,X,X,X,X,X,X,X,X
ILSZTJO,X,O,O,X,X,X,X,X,X
ILSZTOJ,X,O,O,X,X,X,O,X,X
ILSZJTO,X,O,O,X,X,X,X,X,O
ILSZJOT,X,X,X,X,X,X,X,X,O
ILSZOTJ,X,X,X,X,X,X,O,X,X
ILSZOJT,X,X,X,X,X,X,O,X,X
ILSOTJZ,X,O,X,X,X,X,X,X,X
ILSOTZJ,X,O,X,X,X,X,O,X,X
ILSOJTZ,X,O,X,X,X,X,X,X,X
ILSOJZT,X,X,X,X,X,X,O,X,X
ILSOZTJ,X,X,X,X,X,X,O,X,X
ILSOZJT,X,X,X,X,X,X,O,X,X
ILZTJSO,X,X,O,O,O,X,X,X,O
ILZTJOS,X,X,O,O,O,X,X,X,O
ILZTSJO,X,X,O,O,O,X,X,X,X
ILZTSOJ,X,X,O,O,O,X,O,X,X
ILZTOJS,X,X,O,O,O,X,X,X,X
ILZTOSJ,X,X,O,X,O,X,O,X,X
ILZJTSO,X,X,O,O,X,X,X,X,O
ILZJTOS,X,X,O,O,X,X,X,X,O
ILZJSTO,X,X,O,O,X,X,X,X,O
ILZJSOT,X,X,X,O,X,X,X,X,O
ILZJOTS,X,X,O,O,X,X,X,X,O
ILZJOST,X,X,X,O,X,X,X,X,O
ILZSTJO,X,X,O,O,X,X,X,X,X
ILZSTOJ,X,X,O,X,X,X,O,X,X
ILZSJTO,X,X,O,O,X,X,X,X,O
ILZSJOT,X,X,X,O,X,X,X,X,O
ILZSOTJ,X,X,X,X,X,X,O,X,X
ILZSOJT,X,X,X,O,X,X,O,X,X
ILZOTJS,X,X,O,X,X,X,X,X,X
ILZOTSJ,X,X,O,X,X,X,O,X,X
ILZOJTS,X,X,O,O,X,X,X,X,O
ILZOJST,X,X,X,O,X,X,O,X,O
ILZOSTJ,X,X,X,X,X,X,O,X,X
ILZOSJT,X,X,X,X,X,X,O,X,X
ILOTJSZ,X,X,X,X,X,X,X,X,X
ILOTJZS,X,X,O,X,X,X,X,X,X
ILOTSJZ,X,X,X,X,X,X,X,X,X
ILOTSZJ,X,X,O,X,X,X,O,X,X
ILOTZJS,X,X,O,X,X,X,X,X,X
ILOTZSJ,X,X,O,X,X,X,O,X,X
ILOJTSZ,X,X,X,X,X,X,X,X,X
ILOJTZS,X,X,X,X,X,X,X,X,X
ILOJSTZ,X,X,X,X,X,X,X,X,X
ILOJSZT,X,X,X,X,X,X,O,X,X
ILOJZTS,X,X,X,X,X,X,X,X,X
ILOJZST,X,X,X,X,X,X,O,X,X
ILOSTJZ,X,X,X,X,X,X,X,X,X
ILOSTZJ,X,X,X,X,X,X,O,X,X
ILOSJTZ,X,X,X,X,X,X,X,X,X
ILOSJZT,X,X,X,X,X,X,O,X,X
ILOSZTJ,X,X,X,X,X,X,O,X,X
ILOSZJT,X,X,X,X,X,X,O,X,X
ILOZTJS,X,X,O,X,X,X,X,X,X
ILOZTSJ,X,X,O,X,X,X,O,X,X
ILOZJTS,X,X,O,X,X,X,X,X,O
ILOZJST,X,X,X,X,X,X,O,X,O
ILOZSTJ,X,X,X,X,X,X,O,X,X
ILOZSJT,X,X,X,X,X,X,O,X,X
IJTLSZO,X,O,X,X,O,X,X,X,X
IJTLSOZ,X,O,X,O,X,X,X,X,X
IJTLZSO,X,X,O,O,O,X,X,X,X
IJTLZOS,X,X,O,O,O,X,X,X,X
IJTLOSZ,X,O,X,O,O,X,X,X,X
IJTLOZS,X,X,O,O,O,X,X,X,X
IJTSLZO,O,O,X,X,O,O,X,X,X
IJTSLOZ,O,O,X,O,X,O,X,X,X
IJTSZLO,O,O,X,X,O,O,X,X,X
IJTSZOL,O,O,X,X,O,O,X,X,X
IJTSOLZ,O,O,X,O,O,O,X,X,X
IJTSOZL,O,O,X,X,O,O,X,X,X
IJTZLSO,O,X,O,O,O,O,X,X,X
IJTZLOS,O,X,O,O,O,X,X,X,X
IJTZSLO,O,X,O,O,O,O,X,X,X
IJTZSOL,O,X,O,O,O,O,X,X,X
IJTZOLS,O,X,O,O,O,X,X,X,X
IJTZOSL,O,X,O,O,O,O,X,X,X
IJTOLSZ,X,O,X,O,O,X,X,O,X
IJTOLZS,X,X,O,O,O,X,X,X,X
IJTOSLZ,O,O,X,O,O,O,X,O,X
IJTOSZL,O,O,X,X,O,O,X,O,X
IJTOZLS,O,X,O,O,O,O,X,X,X
IJTOZSL,O,X,O,O,O,O,X,O,X
IJLTSZO,X,O,X,X,O,X,X,X,X
IJLTSOZ,X,O,X,O,X,X,X,X,X
IJLTZSO,X,X,O,O,O,X,X,X,X
IJLTZOS,X,X,O,O,O,X,X,X,X
IJLTOSZ,X,O,X,O,O,X,X,X,X
IJLTOZS,X,X,O,O,O,X,X,X,X
IJLSTZO,O,O,X,X,O,O,X,X,X
IJLSTOZ,X,O,X,X,X,O,X,X,X
IJLSZTO,O,O,X,X,X,O,X,X,X
IJLSZOT,O,X,X,X,X,O,X,X,X
IJLSOTZ,X,O,X,X,X,O,X,X,X
IJLSOZT,O,X,X,X,X,O,X,X,X
IJLZTSO,O,X,O,O,O,O,X,X,O
IJLZTOS,O,X,O,O,O,X,X,X,O
IJLZSTO,O,O,O,O,X,O,X,X,O
IJLZSOT,O,X,X,O,X,O,X,X,O
IJLZOTS,X,X,O,O,X,X,X,X,O
IJLZOST,X,X,X,O,X,X,X,X,O
IJLOTSZ,X,X,X,O,O,X,X,X,X
IJLOTZS,X,X,X,O,O,X,X,X,X
IJLOSTZ,X,O,X,X,O,O,X,X,X
IJLOSZT,X,X,X,X,X,O,X,X,X
IJLOZTS,X,X,X,O,O,O,X,X,X
IJLOZST,X,X,X,O,X,O,X,X,X
IJSTLZO,O,O,X,X,O,O,X,X,X
IJSTLOZ,O,O,X,X,X,O,X,O,X
IJSTZLO,O,O,X,X,O,O,X,X,X
IJSTZOL,O,O,X,X,O,O,X,X,X
IJSTOLZ,O,O,X,X,O,O,X,O,X
IJSTOZL,O,O,X,X,O,O,X,O,X
IJSLTZO,O,O,X,X,O,O,X,X,X
IJSLTOZ,O,O,X,X,X,O,X,O,X
IJSLZTO,O,O,X,X,X,O,X,X,X
IJSLZOT,O,X,X,X,X,O,X,X,X
IJSLOTZ,X,O,X,X,X,O,X,O,X
IJSLOZT,O,X,X,X,X,O,X,X,X
IJSZTLO,O,O,X,X,X,O,X,X,X
IJSZTOL,O,O,X,X,X,O,X,X,X
