sequence,v115@9gA8IeA8IeB8DeA8CeC8BeD8Kez/IvhFfmBaoB5oBG?nBlmB0qB,v115@9gA8IeA8IeB8DeA8CeC8BeD8KefFJvhF0gBaoB5oBG?nBlmBzqB,v115@9gA8IeA8IeB8DeA8CeC8BeD8KeWFJvhFxgB/nBTmB6?tBFoB0qB,v115@9gA8IeA8IeB8DeA8CeC8BeD8KefFJvhFThBmiB5oB0?nBFrB6qB
TJOSZIL,X,O,X,O
TJOSZLI,X,O,X,O
TJOZILS,O,X,X,O
TJOZISL,O,X,X,O
TJOZLIS,O,X,X,O
TJOZLSI,O,X,X,O
TJOZSIL,O,X,X,O
TJOZSLI,O,X,X,O
TSILJZO,X,O,X,X
TSILJOZ,X,O,X,X
TSILZJO,X,O,X,O
TSILZOJ,X,X,X,O
TSILOJZ,X,O,X,X
TSILOZJ,X,O,X,O
TSIJLZO,X,O,X,X
TSIJLOZ,X,O,X,X
TSIJZLO,X,O,X,O
TSIJZOL,X,X,X,O
TSIJOLZ,X,O,X,X
TSIJOZL,X,O,X,O
TSIZLJO,X,O,X,O
TSIZLOJ,X,X,X,O
TSIZJLO,X,O,X,O
TSIZJOL,X,X,X,O
TSIZOLJ,X,X,X,O
TSIZOJL,X,X,X,O
TSIOLJZ,X,O,X,X
TSIOLZJ,X,O,X,O
TSIOJLZ,X,O,X,X
TSIOJZL,X,O,X,O
TSIOZLJ,X,O,X,O
TSIOZJL,X,O,X,O
TSLIJZO,X,O,X,X
TSLIJOZ,X,O,X,X
TSLIZJO,X,O,X,O
TSLIZOJ,X,X,X,O
TSLIOJZ,X,O,X,X
TSLIOZJ,X,O,X,O
TSLJIZO,X,O,X,X
TSLJIOZ,X,O,X,X
TSLJZIO,X,O,X,X
TSLJZOI,X,X,O,X
TSLJOIZ,X,O,O,X
TSLJOZI,X,O,O,X
TSLZIJO,X,O,X,O
TSLZIOJ,X,X,X,O
TSLZJIO,X,O,X,O
TSLZJOI,X,X,O,O
TSLZOIJ,X,X,O,O
TSLZOJI,X,X,O,O
TSLOIJZ,X,O,O,X
TSLOIZJ,X,O,X,O
TSLOJIZ,X,O,O,X
TSLOJZI,X,O,O,X
TSLOZIJ,X,O,X,O
TSLOZJI,X,O,X,O
TSJILZO,X,O,X,X
TSJILOZ,X,O,X,X
TSJIZLO,X,O,X,O
TSJIZOL,X,X,X,O
TSJIOLZ,X,O,X,X
TSJIOZL,X,O,X,O
TSJLIZO,X,O,X,X
TSJLIOZ,X,O,X,X
TSJLZIO,X,O,X,X
TSJLZOI,X,X,O,X
TSJLOIZ,X,O,O,X
TSJLOZI,X,O,O,X
TSJZILO,X,O,X,O
TSJZIOL,X,X,X,O
TSJZLIO,X,O,X,O
TSJZLOI,X,X,O,O
TSJZOIL,X,X,O,O
TSJZOLI,X,X,O,O
TSJOILZ,X,O,O,X
TSJOIZL,X,O,X,O
TSJOLIZ,X,O,O,X
TSJOLZI,X,O,O,X
TSJOZIL,X,O,X,O
TSJOZLI,X,O,X,O
TSZILJO,X,O,X,O
TSZILOJ,X,X,X,O
TSZIJLO,X,O,X,O
TSZIJOL,X,X,X,O
TSZIOLJ,X,X,X,O
TSZIOJL,X,X,X,O
TSZLIJO,X,O,X,O
TSZLIOJ,X,X,X,O
TSZLJIO,X,O,X,O
TSZLJOI,X,X,O,O
TSZLOIJ,X,X,O,O
TSZLOJI,X,X,O,O
TSZJILO,X,O,X,O
TSZJIOL,X,X,X,O
TSZJLIO,X,O,X,O
TSZJLOI,X,X,O,O
TSZJOIL,X,X,O,O
TSZJOLI,X,X,O,O
TSZOILJ,X,X,O,O
TSZOIJL,X,X,O,O
TSZOLIJ,X,X,O,O
TSZOLJI,X,X,O,O
TSZOJIL,X,X,O,O
TSZOJLI,X,X,O,O
TSOILJZ,X,O,O,X
TSOILZJ,X,O,X,O
TSOIJLZ,X,O,O,X
TSOIJZL,X,O,X,O
TSOIZLJ,X,O,X,O
TSOIZJL,X,O,X,O
TSOLIJZ,X,O,O,X
TSOLIZJ,X,O,X,O
TSOLJIZ,X,O,O,X
TSOLJZI,X,O,O,X
TSOLZIJ,X,O,X,O
TSOLZJI,X,O,X,O
TSOJILZ,X,O,O,X
TSOJIZL,X,O,X,O
TSOJLIZ,X,O,O,X
TSOJLZI,X,O,O,X
TSOJZIL,X,O,X,O
TSOJZLI,X,O,X,O
TSOZILJ,X,O,X,O
TSOZIJL,X,O,X,O
TSOZLIJ,X,O,X,O
TSOZLJI,X,O,X,O
TSOZJIL,X,O,X,O
TSOZJLI,X,O,X,O
TZILJSO,O,X,X,O
TZILJOS,O,X,X,O
TZILSJO,O,X,X,O
TZILSOJ,O,X,X,O
TZILOJS,O,X,X,O
TZILOSJ,O,X,X,O
TZIJLSO,O,X,X,O
TZIJLOS,O,X,X,O
TZIJSLO,O,X,X,O
TZIJSOL,O,X,X,O
TZIJOLS,O,X,X,O
TZIJOSL,O,X,X,O
TZISLJO,O,X,X,O
TZISLOJ,O,X,X,O
TZISJLO,O,X,X,O
TZISJOL,O,X,X,O
TZISOLJ,O,X,X,O
