sequence,v115@HhA8IeD8AeA8DeD8AeA8BeA8Kel/IvhF3gBUiBaoB5?oBOrBTsB,v115@HhA8IeD8AeA8DeD8AeA8BeA8Ke0/IvhFlgBanBziB5?oBOrB3sB,v115@HhA8IeD8AeA8DeD8AeA8BeA8Ke0/IvhFanBziB5oBF?mB3sBmqB,v115@HhA8IeD8AeA8DeD8AeA8BeA8Ke0/IvhFxgBVnBGjBa?rB/tBTsB,v115@HhA8IeD8AeA8DeD8AeA8BeA8Ke0/IvhFlgBanB5oBO?rBznB3sB,v115@HhA8IeD8AeA8DeD8AeA8BeA8Ke0/IvhFanB5oBFmBz?nBmqB3sB
TZLOJIS,X,X,X,X,X,X
TZLOJSI,X,X,X,X,X,X
TZLOSIJ,X,X,X,X,X,X
TZLOSJI,X,X,X,X,X,X
TZJILSO,X,X,X,X,X,X
TZJILOS,X,X,X,X,X,X
TZJISLO,X,X,X,X,X,X
TZJISOL,X,X,X,X,X,X
TZJIOLS,X,X,X,X,X,X
TZJIOSL,X,X,X,X,X,X
TZJLISO,X,X,X,X,X,X
TZJLIOS,X,X,X,X,X,X
TZJLSIO,X,X,X,X,X,X
TZJLSOI,X,X,X,X,X,X
TZJLOIS,X,X,X,X,X,X
TZJLOSI,X,X,X,X,X,X
TZJSILO,X,X,X,X,X,X
TZJSIOL,X,X,X,X,X,X
TZJSLIO,X,X,X,X,X,X
TZJSLOI,X,X,X,X,X,X
TZJSOIL,X,X,X,X,X,X
TZJSOLI,X,X,X,X,X,X
TZJOILS,X,X,X,X,X,X
TZJOISL,X,X,X,X,X,X
TZJOLIS,X,X,X,X,X,X
TZJOLSI,X,X,X,X,X,X
TZJOSIL,X,X,X,X,X,X
TZJOSLI,X,X,X,X,X,X
TZSILJO,X,X,X,X,X,X
TZSILOJ,X,O,O,X,X,X
TZSIJLO,X,X,X,O,X,X
TZSIJOL,X,X,X,X,X,X
TZSIOLJ,X,O,O,X,X,X
TZSIOJL,X,X,X,X,X,X
TZSLIJO,X,X,X,O,X,X
