sequence,v115@UhB8CeI8BeA8Je3AJvhFRiBSoBTkBlmBmkB0sB,v115@UhB8CeI8BeA8JeOEJvhF0gB6mBxiBzkB/sBFtB,v115@UhB8CeI8BeA8Jel/IvhF3gBTjB2pBxmBCnB0sB,v115@UhB8CeI8BeA8Jex/IvhFWoBTkBilBUnBlmBXtB,v115@UhB8CeI8BeA8JeT/IvhFxgBliBypBGmB/sBctB,v115@UhB8CeI8BeA8JeT/IvhFlgBypB0mBxnBGnBXtB,v115@UhB8CeI8BeA8JeOEJvhFSoBRlBUnBXlBlmBzsB,v115@UhB8CeI8BeA8JeWIJvhFxkBlmBTkBilBUnBXtB
ISLZTOJ,X,O,X,X,X,O,X,X
ISLZJTO,X,O,X,X,X,X,O,X
ISLZJOT,X,O,X,X,X,X,O,X
ISLZOTJ,X,O,X,X,X,O,X,X
ISLZOJT,X,O,X,X,X,X,X,X
ISLOTJZ,O,O,X,X,X,X,X,X
ISLOTZJ,O,O,X,X,X,O,X,X
ISLOJTZ,X,O,O,X,O,X,X,X
ISLOJZT,X,O,X,X,O,X,X,X
ISLOZTJ,X,O,X,X,X,O,X,X
ISLOZJT,X,O,X,X,X,X,X,X
ISJTLZO,X,O,X,X,O,X,X,O
ISJTLOZ,X,X,O,X,O,X,X,O
ISJTZLO,X,O,O,X,X,X,X,O
ISJTZOL,X,X,O,X,X,X,X,O
ISJTOLZ,X,X,O,X,X,X,X,O
ISJTOZL,X,X,O,X,X,X,X,O
ISJLTZO,X,O,X,X,O,X,X,X
ISJLTOZ,X,X,O,X,O,X,X,X
ISJLZTO,X,O,X,X,O,X,O,X
ISJLZOT,X,O,X,X,O,X,O,X
ISJLOTZ,X,O,O,X,O,X,X,X
ISJLOZT,X,O,X,X,O,X,X,X
ISJZTLO,X,O,O,X,X,X,X,X
ISJZTOL,X,X,O,X,X,X,X,X
ISJZLTO,X,O,O,X,O,X,O,X
ISJZLOT,X,O,O,X,O,X,O,X
ISJZOTL,X,O,O,X,X,X,X,X
ISJZOLT,X,O,O,X,X,X,X,X
ISJOTLZ,X,O,O,X,X,X,X,X
ISJOTZL,X,O,O,X,X,X,X,X
ISJOLTZ,X,O,O,X,O,X,X,X
ISJOLZT,X,O,X,X,O,X,X,X
ISJOZTL,X,O,O,X,X,X,X,X
ISJOZLT,X,O,X,X,X,X,X,X
ISZTLJO,O,O,X,X,X,X,X,X
ISZTLOJ,O,O,X,X,X,O,X,X
ISZTJLO,O,O,O,X,X,X,X,X
ISZTJOL,O,X,O,X,X,X,X,X
ISZTOLJ,O,O,X,X,X,X,X,X
ISZTOJL,O,O,O,X,X,X,X,X
ISZLTJO,O,O,X,X,X,X,X,X
ISZLTOJ,O,O,X,X,X,O,X,X
ISZLJTO,X,O,O,X,X,X,O,X
ISZLJOT,X,O,O,X,X,X,O,X
ISZLOTJ,O,O,X,X,X,O,X,X
ISZLOJT,X,O,O,X,X,X,X,X
ISZJTLO,X,O,O,X,X,X,X,X
ISZJTOL,X,X,O,X,X,X,X,X
ISZJLTO,X,O,O,X,X,X,O,X
ISZJLOT,X,O,O,X,X,X,O,X
ISZJOTL,X,O,O,X,X,X,X,X
ISZJOLT,X,O,O,X,X,X,X,X
ISZOTLJ,O,O,X,X,X,X,X,X
ISZOTJL,O,O,O,X,X,X,X,X
ISZOLTJ,O,O,X,X,X,X,X,X
ISZOLJT,X,O,O,X,X,X,X,X
ISZOJTL,X,O,O,X,X,X,X,X
ISZOJLT,X,O,O,X,X,X,X,X
ISOTLJZ,O,O,X,X,X,X,X,X
ISOTLZJ,O,O,X,X,X,X,X,X
ISOTJLZ,O,O,O,X,X,X,X,X
ISOTJZL,X,O,O,X,X,X,X,X
ISOTZLJ,O,O,X,X,X,X,X,X
ISOTZJL,O,O,X,X,X,X,X,X
ISOLTJZ,O,O,X,X,X,X,X,X
ISOLTZJ,O,O,X,X,X,X,X,X
ISOLJTZ,X,O,O,X,X,X,X,X
ISOLJZT,X,O,X,X,X,X,X,X
ISOLZTJ,X,O,X,X,X,X,X,X
ISOLZJT,X,O,X,X,X,X,X,X
ISOJTLZ,X,O,O,X,X,X,X,X
ISOJTZL,X,O,O,X,X,X,X,X
ISOJLTZ,X,O,O,X,X,X,X,X
ISOJLZT,X,O,X,X,X,X,X,X
ISOJZTL,X,O,O,X,X,X,X,X
ISOJZLT,X,O,X,X,X,X,X,X
ISOZTLJ,O,O,X,X,X,X,X,X
ISOZTJL,O,O,X,X,X,X,X,X
ISOZLTJ,O,O,X,X,X,X,X,X
ISOZLJT,X,O,X,X,X,X,X,X
ISOZJTL,X,O,O,X,X,X,X,X
ISOZJLT,X,O,X,X,X,X,X,X
IZTLJSO,O,X,X,X,X,X,O,X
IZTLJOS,O,X,X,X,X,O,O,X
IZTLSJO,O,X,X,X,X,X,X,X
IZTLSOJ,O,X,X,X,X,O,X,X
IZTLOJS,O,X,X,X,X,O,X,X
IZTLOSJ,O,X,X,X,X,O,X,X
IZTJLSO,O,X,O,X,X,X,O,O
IZTJLOS,O,X,O,X,X,O,O,O
IZTJSLO,O,X,O,X,X,X,X,O
IZTJSOL,O,X,O,X,X,X,X,O
IZTJOLS,O,X,O,X,X,X,X,O
IZTJOSL,O,X,O,X,X,X,X,O
IZTSLJO,O,X,X,X,X,X,X,X
IZTSLOJ,O,X,X,X,X,O,X,X
IZTSJLO,O,X,O,X,X,X,X,X
IZTSJOL,O,X,O,X,X,X,X,X
IZTSOLJ,O,X,X,X,X,X,X,X
IZTSOJL,O,X,O,X,X,X,X,X
IZTOLJS,O,X,X,X,X,O,X,X
IZTOLSJ,O,X,X,X,X,O,X,X
IZTOJLS,O,X,O,X,X,X,X,X
IZTOJSL,O,X,O,X,X,X,X,X
IZTOSLJ,O,X,X,X,X,X,X,X
IZTOSJL,O,X,O,X,X,X,X,X
IZLTJSO,O,X,X,X,X,X,O,X
IZLTJOS,O,X,X,X,X,O,O,X
IZLTSJO,O,X,X,X,X,X,X,X
IZLTSOJ,O,X,X,X,X,O,X,X
IZLTOJS,O,X,X,X,X,O,X,X
IZLTOSJ,O,X,X,X,X,O,X,X
IZLJTSO,X,X,O,X,X,X,O,X
IZLJTOS,X,X,O,X,X,O,O,X
IZLJSTO,X,O,O,X,X,X,O,X
IZLJSOT,X,O,O,X,X,X,O,X
IZLJOTS,X,X,O,O,X,O,O,X
IZLJOST,X,X,O,O,X,X,O,X
IZLSTJO,O,O,X,X,X,X,X,X
IZLSTOJ,O,O,X,X,X,O,X,X
IZLSJTO,X,O,O,X,X,X,O,X
IZLSJOT,X,O,O,X,X,X,O,X
IZLSOTJ,O,O,X,X,X,O,X,X
IZLSOJT,X,O,O,X,X,X,X,X
IZLOTJS,O,X,X,O,X,O,X,X
IZLOTSJ,O,X,X,X,X,O,X,X
IZLOJTS,X,X,O,O,X,O,O,X
IZLOJST,X,O,O,O,X,X,O,X
IZLOSTJ,O,O,X,X,X,O,X,X
IZLOSJT,X,O,O,O,X,X,X,X
IZJTLSO,X,X,O,X,X,X,O,O
IZJTLOS,X,X,O,X,X,O,O,O
IZJTSLO,X,X,O,X,X,X,X,O
IZJTSOL,X,X,O,X,X,X,X,O
IZJTOLS,X,X,O,X,X,X,X,O
IZJTOSL,X,X,O,X,X,X,X,O
IZJLTSO,X,X,O,X,X,X,O,X
IZJLTOS,X,X,O,X,X,O,O,X
IZJLSTO,X,O,O,X,X,X,O,X
IZJLSOT,X,O,O,X,X,X,O,X
IZJLOTS,X,X,O,O,X,O,O,X
IZJLOST,X,X,O,O,X,X,O,X
IZJSTLO,X,O,O,X,X,X,X,X
IZJSTOL,X,X,O,X,X,X,X,X
IZJSLTO,X,O,O,X,X,X,O,X
IZJSLOT,X,O,O,X,X,X,O,X
IZJSOTL,X,X,O,X,X,X,X,X
IZJSOLT,X,O,O,X,X,X,X,X
IZJOTLS,X,X,O,O,X,X,X,X
IZJOTSL,X,X,O,X,X,X,X,X
IZJOLTS,X,X,O,O,X,X,O,X
IZJOLST,X,X,O,O,X,X,O,X
IZJOSTL,X,X,O,X,X,X,X,X
IZJOSLT,X,X,O,O,X,X,X,X
IZSTLJO,O,O,X,X,X,X,X,X
IZSTLOJ,O,O,X,X,X,O,X,X
IZSTJLO,O,O,O,X,X,X,X,X
IZSTJOL,O,X,O,X,X,X,X,X
IZSTOLJ,O,O,X,X,X,X,X,X
IZSTOJL,O,O,O,X,X,X,X,X
IZSLTJO,O,O,X,X,X,X,X,X
IZSLTOJ,O,O,X,X,X,O,X,X
IZSLJTO,X,O,O,X,X,X,O,X
IZSLJOT,X,O,O,X,X,X,O,X
IZSLOTJ,O,O,X,X,X,O,X,X
IZSLOJT,X,O,O,X,X,X,X,X
IZSJTLO,X,O,O,X,X,X,X,X
IZSJTOL,X,X,O,X,X,X,X,X
IZSJLTO,X,O,O,X,X,X,O,X
IZSJLOT,X,O,O,X,X,X,O,X
IZSJOTL,X,O,O,X,X,X,X,X
IZSJOLT,X,O,O,X,X,X,X,X
IZSOTLJ,O,O,X,X,X,X,X,X
IZSOTJL,O,O,O,X,X,X,X,X
IZSOLTJ,O,O,X,X,X,X,X,X
IZSOLJT,X,O,O,X,X,X,X,X
IZSOJTL,X,O,O,X,X,X,X,X
IZSOJLT,X,O,O,X,X,X,X,X
IZOTLJS,O,X,X,O,X,O,X,X
IZOTLSJ,O,X,X,X,X,O,X,X
IZOTJLS,O,X,O,O,X,X,X,X
IZOTJSL,O,X,O,X,X,X,X,X
IZOTSLJ,O,X,X,X,X,X,X,X
IZOTSJL,O,X,O,X,X,X,X,X
IZOLTJS,O,X,X,O,X,O,X,X
IZOLTSJ,O,X,X,X,X,O,X,X
IZOLJTS,X,X,O,O,X,O,O,X
IZOLJST,X,O,O,O,X,X,O,X
IZOLSTJ,O,O,X,X,X,O,X,X
IZOLSJT,X,O,O,O,X,X,X,X
IZOJTLS,X,X,O,O,X,X,X,X
IZOJTSL,X,X,O,X,X,X,X,X
IZOJLTS,X,X,O,O,X,X,O,X
IZOJLST,X,O,O,O,X,X,O,X
IZOJSTL,X,O,O,X,X,X,X,X
IZOJSLT,X,O,O,O,X,X,X,X
IZOSTLJ,O,O,X,X,X,X,X,X
IZOSTJL,O,O,O,X,X,X,X,X
IZOSLTJ,O,O,X,X,X,X,X,X
IZOSLJT,X,O,O,O,X,X,X,X
IZOSJTL,X,O,O,X,X,X,X,X
IZOSJLT,X,O,O,O,X,X,X,X
IOTLJSZ,O,X,X,X,X,X,X,X
IOTLJZS,X,X,X,O,X,O,X,X
IOTLSJZ,O,X,X,X,X,X,X,X
IOTLSZJ,O,X,X,X,X,O,X,X
IOTLZJS,X,X,X,O,X,O,X,X
IOTLZSJ,O,X,X,X,X,O,X,X
IOTJLSZ,O,X,O,X,X,X,X,O
IOTJLZS,X,X,X,O,X,X,X,O
IOTJSLZ,O,X,O,X,X,X,X,O
IOTJSZL,X,X,O,X,X,X,X,O
IOTJZLS,X,X,X,O,X,X,X,O
IOTJZSL,X,X,O,X,X,X,X,O
IOTSLJZ,O,X,X,X,X,X,X,X
IOTSLZJ,O,X,X,X,X,X,X,X
IOTSJLZ,O,X,O,X,X,X,X,X
IOTSJZL,X,X,O,X,X,X,X,X
IOTSZLJ,O,X,X,X,X,X,X,X
IOTSZJL,O,X,X,X,X,X,X,X
IOTZLJS,O,X,X,O,X,O,X,X
IOTZLSJ,O,X,X,X,X,O,X,X
IOTZJLS,O,X,X,O,X,X,X,X
IOTZJSL,O,X,X,X,X,X,X,X
IOTZSLJ,O,X,X,X,X,X,X,X
IOTZSJL,O,X,X,X,X,X,X,X
IOLTJSZ,O,X,X,X,X,X,X,X
IOLTJZS,X,X,X,O,X,O,X,X
IOLTSJZ,O,X,X,X,X,X,X,X
IOLTSZJ,O,X,X,X,X,O,X,X
IOLTZJS,X,X,X,O,X,O,X,X
IOLTZSJ,O,X,X,X,X,O,X,X
IOLJTSZ,X,X,O,X,X,X,X,X
IOLJTZS,X,X,X,O,X,O,X,X
IOLJSTZ,X,O,O,X,X,X,X,X
IOLJSZT,X,O,X,O,X,X,X,X
IOLJZTS,X,X,X,O,X,O,O,X
IOLJZST,X,O,X,O,X,X,O,X
IOLSTJZ,O,O,X,X,X,X,X,X
IOLSTZJ,O,O,X,X,X,O,X,X
IOLSJTZ,X,O,O,X,X,X,X,X
IOLSJZT,X,O,X,O,X,X,X,X
IOLSZTJ,X,O,X,X,X,O,X,X
IOLSZJT,X,O,X,O,X,X,X,X
IOLZTJS,X,X,X,O,X,O,X,X
IOLZTSJ,X,X,X,X,X,O,X,X
IOLZJTS,X,X,X,O,X,O,O,X
IOLZJST,X,O,X,O,X,X,O,X
IOLZSTJ,X,O,X,X,X,O,X,X
IOLZSJT,X,O,X,O,X,X,X,X
IOJTLSZ,X,X,O,X,X,X,X,O
IOJTLZS,X,X,X,O,X,X,X,O
IOJTSLZ,X,X,O,X,X,X,X,O
IOJTSZL,X,X,O,X,X,X,X,O
IOJTZLS,X,X,X,O,X,X,X,O
IOJTZSL,X,X,O,X,X,X,X,O
IOJLTSZ,X,X,O,X,X,X,X,X
IOJLTZS,X,X,X,O,X,X,X,X
IOJLSTZ,X,O,O,X,X,X,X,X
IOJLSZT,X,O,X,O,X,X,X,X
IOJLZTS,X,X,X,O,X,X,O,X
IOJLZST,X,O,X,O,X,X,O,X
IOJSTLZ,X,O,O,X,X,X,X,X
IOJSTZL,X,O,O,X,X,X,X,X
IOJSLTZ,X,O,O,X,X,X,X,X
IOJSLZT,X,O,X,O,X,X,X,X
IOJSZTL,X,O,O,X,X,X,X,X
IOJSZLT,X,O,X,O,X,X,X,X
IOJZTLS,X,X,X,O,X,X,X,X
IOJZTSL,X,X,O,X,X,X,X,X
IOJZLTS,X,X,X,O,X,X,O,X
IOJZLST,X,O,X,O,X,X,O,X
IOJZSTL,X,O,O,X,X,X,X,X
IOJZSLT,X,O,X,O,X,X,X,X
IOSTLJZ,O,O,X,X,X,X,X,X
IOSTLZJ,O,O,X,X,X,X,X,X
IOSTJLZ,O,O,O,X,X,X,X,X
IOSTJZL,X,O,O,X,X,X,X,X
IOSTZLJ,O,O,X,X,X,X,X,X
IOSTZJL,O,O,X,X,X,X,X,X
IOSLTJZ,O,O,X,X,X,X,X,X
IOSLTZJ,O,O,X,X,X,X,X,X
IOSLJTZ,X,O,O,X,X,X,X,X
IOSLJZT,X,O,X,O,X,X,X,X
IOSLZTJ,X,O,X,X,X,X,X,X
IOSLZJT,X,O,X,O,X,X,X,X
IOSJTLZ,X,O,O,X,X,X,X,X
IOSJTZL,X,O,O,X,X,X,X,X
IOSJLTZ,X,O,O,X,X,X,X,X
IOSJLZT,X,O,X,O,X,X,X,X
IOSJZTL,X,O,O,X,X,X,X,X
IOSJZLT,X,O,X,O,X,X,X,X
IOSZTLJ,O,O,X,X,X,X,X,X
IOSZTJL,O,O,X,X,X,X,X,X
IOSZLTJ,O,O,X,X,X,X,X,X
IOSZLJT,X,O,X,O,X,X,X,X
IOSZJTL,X,O,O,X,X,X,X,X
IOSZJLT,X,O,X,O,X,X,X,X
IOZTLJS,O,X,X,O,X,O,X,X
IOZTLSJ,O,X,X,X,X,O,X,X
IOZTJLS,O,X,X,O,X,X,X,X
IOZTJSL,O,X,X,X,X,X,X,X
IOZTSLJ,O,X,X,X,X,X,X,X
IOZTSJL,O,X,X,X,X,X,X,X
IOZLTJS,O,X,X,O,X,O,X,X
IOZLTSJ,O,X,X,X,X,O,X,X
IOZLJTS,X,X,X,O,X,O,O,X
IOZLJST,X,O,X,O,X,X,O,X
IOZLSTJ,O,O,X,X,X,O,X,X
IOZLSJT,X,O,X,O,X,X,X,X
IOZJTLS,X,X,X,O,X,X,X,X
IOZJTSL,X,X,O,X,X,X,X,X
IOZJLTS,X,X,X,O,X,X,O,X
IOZJLST,X,O,X,O,X,X,O,X
IOZJSTL,X,O,O,X,X,X,X,X
IOZJSLT,X,O,X,O,X,X,X,X
IOZSTLJ,O,O,X,X,X,X,X,X
IOZSTJL,O,O,X,X,X,X,X,X
IOZSLTJ,O,O,X,X,X,X,X,X
IOZSLJT,X,O,X,O,X,X,X,X
IOZSJTL,X,O,O,X,X,X,X,X
IOZSJLT,X,O,X,O,X,X,X,X
LTIJSZO,X,X,X,X,O,X,X,O
LTIJSOZ,O,X,X,X,O,X,X,O
LTIJZSO,X,X,X,X,X,X,O,O
LTIJZOS,X,X,X,X,X,O,O,O
LTIJOSZ,O,X,X,X,O,X,X,O
LTIJOZS,X,X,X,X,X,O,X,O
LTISJZO,X,X,X,X,X,X,X,X
LTISJOZ,O,X,X,X,X,X,X,X
LTISZJO,X,X,X,X,X,X,X,X
LTISZOJ,O,X,X,X,X,O,X,X
LTISOJZ,O,X,X,X,X,X,X,X
LTISOZJ,O,X,X,X,X,O,X,X
LTIZJSO,X,X,X,X,X,X,O,X
LTIZJOS,X,X,X,X,X,O,O,X
LTIZSJO,X,X,X,X,X,X,X,X
LTIZSOJ,O,X,X,X,X,O,X,X
LTIZOJS,X,X,X,X,X,O,X,X
LTIZOSJ,O,X,X,X,X,O,X,X
LTIOJSZ,O,X,X,X,O,X,X,X
LTIOJZS,X,X,X,X,X,O,X,X
LTIOSJZ,O,X,X,X,X,X,X,X
LTIOSZJ,O,X,X,X,X,O,X,X
LTIOZJS,X,X,X,X,X,O,X,X
LTIOZSJ,O,X,X,X,X,O,X,X
LTJISZO,X,X,X,X,O,X,X,O
LTJISOZ,O,X,X,X,O,X,X,O
LTJIZSO,X,X,X,X,X,X,O,O
LTJIZOS,X,X,X,X,X,O,O,O
LTJIOSZ,O,X,X,X,O,X,X,O
LTJIOZS,X,X,X,X,X,O,X,O
LTJSIZO,X,O,X,X,O,X,X,X
LTJSIOZ,O,X,X,X,O,X,X,X
LTJSZIO,X,O,X,X,O,X,X,X
LTJSZOI,X,X,X,X,O,X,X,X
LTJSOIZ,O,X,X,X,O,X,X,X
LTJSOZI,O,X,X,X,O,X,X,X
LTJZISO,X,X,X,X,X,X,O,X
LTJZIOS,X,X,X,X,X,O,O,X
LTJZSIO,X,O,X,X,X,X,X,X
LTJZSOI,X,X,X,X,X,X,X,X
LTJZOIS,X,X,X,O,X,O,X,X
LTJZOSI,X,X,X,O,X,X,X,X
LTJOISZ,O,X,X,X,O,X,X,X
LTJOIZS,X,X,X,O,X,O,X,X
LTJOSIZ,O,X,X,X,O,X,X,X
LTJOSZI,O,X,X,X,O,X,X,X
LTJOZIS,X,X,X,O,X,O,X,X
LTJOZSI,X,X,X,O,X,X,X,X
LTSIJZO,X,O,X,X,X,X,X,X
LTSIJOZ,O,X,X,X,X,X,X,X
LTSIZJO,X,O,X,X,X,X,X,X
LTSIZOJ,O,O,X,X,X,O,X,X
LTSIOJZ,O,O,X,X,X,X,X,X
LTSIOZJ,O,O,X,X,X,O,X,X
LTSJIZO,X,O,X,X,O,X,X,X
LTSJIOZ,O,X,X,X,O,X,X,X
LTSJZIO,X,O,X,X,O,X,X,X
LTSJZOI,X,X,X,X,O,X,X,X
LTSJOIZ,O,X,X,X,O,X,X,X
LTSJOZI,O,X,X,X,O,X,X,X
LTSZIJO,O,O,X,X,X,X,X,X
LTSZIOJ,O,O,X,X,X,O,X,X
LTSZJIO,O,O,X,X,X,X,X,X
LTSZJOI,O,X,X,X,X,X,X,X
LTSZOIJ,O,O,X,X,X,O,X,X
LTSZOJI,O,O,X,X,X,X,X,X
LTSOIJZ,O,O,X,X,X,X,X,X
LTSOIZJ,O,O,X,X,X,O,X,X
LTSOJIZ,O,O,X,X,O,X,X,X
LTSOJZI,O,O,X,X,O,X,X,X
LTSOZIJ,O,O,X,X,X,O,X,X
LTSOZJI,O,O,X,X,X,X,X,X
LTZIJSO,O,X,X,X,X,X,O,X
LTZIJOS,O,X,X,X,X,O,O,X
LTZISJO,O,X,X,X,X,X,X,X
LTZISOJ,O,X,X,X,X,O,X,X
LTZIOJS,O,X,X,X,X,O,X,X
LTZIOSJ,O,X,X,X,X,O,X,X
LTZJISO,O,X,X,X,X,X,O,X
LTZJIOS,O,X,X,X,X,O,O,X
LTZJSIO,O,O,X,X,X,X,X,X
LTZJSOI,O,X,X,X,X,X,X,X
LTZJOIS,O,X,X,O,X,O,X,X
LTZJOSI,O,X,X,O,X,X,X,X
LTZSIJO,O,O,X,X,X,X,X,X
LTZSIOJ,O,O,X,X,X,O,X,X
LTZSJIO,O,O,X,X,X,X,X,X
LTZSJOI,O,X,X,X,X,X,X,X
LTZSOIJ,O,O,X,X,X,O,X,X
LTZSOJI,O,O,X,X,X,X,X,X
LTZOIJS,O,X,X,O,X,O,X,X
LTZOISJ,O,X,X,X,X,O,X,X
LTZOJIS,O,X,X,O,X,O,X,X
LTZOJSI,O,O,X,O,X,X,X,X
LTZOSIJ,O,O,X,X,X,O,X,X
LTZOSJI,O,O,X,X,X,X,X,X
LTOIJSZ,O,X,X,X,O,X,X,X
LTOIJZS,X,X,X,O,X,O,X,X
LTOISJZ,O,X,X,X,X,X,X,X
LTOISZJ,O,X,X,X,X,O,X,X
LTOIZJS,X,X,X,O,X,O,X,X
LTOIZSJ,O,X,X,X,X,O,X,X
LTOJISZ,O,X,X,X,O,X,X,X
LTOJIZS,X,X,X,O,X,O,X,X
LTOJSIZ,O,O,X,X,O,X,X,X
LTOJSZI,O,O,X,X,O,X,X,X
LTOJZIS,X,X,X,O,X,O,X,X
LTOJZSI,X,O,X,O,X,X,X,X
LTOSIJZ,O,O,X,X,X,X,X,X
LTOSIZJ,O,O,X,X,X,O,X,X
LTOSJIZ,O,O,X,X,O,X,X,X
LTOSJZI,O,O,X,X,O,X,X,X
LTOSZIJ,O,O,X,X,X,O,X,X
LTOSZJI,O,O,X,X,X,X,X,X
LTOZIJS,O,X,X,O,X,O,X,X
LTOZISJ,O,X,X,X,X,O,X,X
LTOZJIS,O,X,X,O,X,O,X,X
LTOZJSI,O,O,X,O,X,X,X,X
LTOZSIJ,O,O,X,X,X,O,X,X
LTOZSJI,O,O,X,X,X,X,X,X
LITJSZO,X,X,X,X,O,X,X,O
LITJSOZ,O,X,X,X,O,X,X,O
LITJZSO,X,X,X,X,X,X,O,O
LITJZOS,X,X,X,X,X,O,O,O
LITJOSZ,O,X,X,X,O,X,X,O
LITJOZS,X,X,X,X,X,O,X,O
LITSJZO,X,X,X,X,X,X,X,X
LITSJOZ,O,X,X,X,X,X,X,X
LITSZJO,X,X,X,X,X,X,X,X
LITSZOJ,O,X,X,X,X,O,X,X
LITSOJZ,O,X,X,X,X,X,X,X
LITSOZJ,O,X,X,X,X,O,X,X
LITZJSO,X,X,X,X,X,X,O,X
LITZJOS,X,X,X,X,X,O,O,X
LITZSJO,X,X,X,X,X,X,X,X
LITZSOJ,O,X,X,X,X,O,X,X
LITZOJS,X,X,X,X,X,O,X,X
LITZOSJ,O,X,X,X,X,O,X,X
LITOJSZ,O,X,X,X,O,X,X,X
LITOJZS,X,X,X,X,X,O,X,X
LITOSJZ,O,X,X,X,X,X,X,X
LITOSZJ,O,X,X,X,X,O,X,X
LITOZJS,X,X,X,X,X,O,X,X
LITOZSJ,O,X,X,X,X,O,X,X
LIJTSZO,X,X,X,X,O,X,X,O
LIJTSOZ,X,X,O,X,O,X,X,O
LIJTZSO,X,X,X,X,X,X,O,O
LIJTZOS,X,X,X,X,X,O,O,O
LIJTOSZ,X,X,O,X,O,X,X,O
LIJTOZS,X,X,X,X,X,O,X,O
LIJSTZO,X,O,X,X,O,X,X,X
LIJSTOZ,X,X,O,X,O,X,X,X
LIJSZTO,X,O,X,X,O,X,O,X
LIJSZOT,X,O,X,X,O,X,O,X
LIJSOTZ,X,X,O,X,O,X,X,X
LIJSOZT,X,O,X,X,O,X,X,X
LIJZTSO,X,X,X,X,X,X,O,X
LIJZTOS,X,X,X,X,X,O,O,X
LIJZSTO,X,O,X,X,O,X,O,X
LIJZSOT,X,O,X,X,O,X,O,X
LIJZOTS,X,X,X,O,X,O,O,X
LIJZOST,X,X,X,O,O,X,O,X
LIJOTSZ,X,X,O,X,O,X,X,X
LIJOTZS,X,X,X,O,X,O,X,X
LIJOSTZ,X,X,O,X,O,X,X,X
LIJOSZT,X,X,X,O,O,X,X,X
LIJOZTS,X,X,X,O,X,O,O,X
LIJOZST,X,X,X,O,O,X,O,X
LISTJZO,X,O,X,X,X,X,X,X
LISTJOZ,O,X,X,X,X,X,X,X
LISTZJO,X,O,X,X,X,X,X,X
LISTZOJ,O,O,X,X,X,O,X,X
LISTOJZ,O,O,X,X,X,X,X,X
LISTOZJ,O,O,X,X,X,O,X,X
LISJTZO,X,O,X,X,O,X,X,X
LISJTOZ,X,X,O,X,O,X,X,X
LISJZTO,X,O,X,X,O,X,O,X
LISJZOT,X,O,X,X,O,X,O,X
LISJOTZ,X,O,O,X,O,X,X,X
LISJOZT,X,O,X,X,O,X,X,X
LISZTJO,X,O,X,X,X,X,X,X
LISZTOJ,X,O,X,X,X,O,X,X
LISZJTO,X,O,X,X,X,X,O,X
LISZJOT,X,O,X,X,X,X,O,X
LISZOTJ,X,O,X,X,X,O,X,X
LISZOJT,X,O,X,X,X,X,X,X
LISOTJZ,O,O,X,X,X,X,X,X
LISOTZJ,O,O,X,X,X,O,X,X
LISOJTZ,X,O,O,X,O,X,X,X
LISOJZT,X,O,X,X,O,X,X,X
LISOZTJ,X,O,X,X,X,O,X,X
LISOZJT,X,O,X,X,X,X,X,X
LIZTJSO,X,X,X,X,X,X,O,X
LIZTJOS,X,X,X,X,X,O,O,X
LIZTSJO,X,X,X,X,X,X,X,X
LIZTSOJ,X,X,X,X,X,O,X,X
LIZTOJS,X,X,X,X,X,O,X,X
LIZTOSJ,X,X,X,X,X,O,X,X
LIZJTSO,X,X,X,X,X,X,O,X
LIZJTOS,X,X,X,X,X,O,O,X
LIZJSTO,X,O,X,X,O,X,O,X
LIZJSOT,X,O,X,X,O,X,O,X
LIZJOTS,X,X,X,O,X,O,O,X
LIZJOST,X,X,X,O,O,X,O,X
LIZSTJO,X,O,X,X,X,X,X,X
LIZSTOJ,X,O,X,X,X,O,X,X
LIZSJTO,X,O,X,X,X,X,O,X
LIZSJOT,X,O,X,X,X,X,O,X
LIZSOTJ,X,O,X,X,X,O,X,X
LIZSOJT,X,O,X,X,X,X,X,X
LIZOTJS,X,X,X,O,X,O,X,X
LIZOTSJ,X,X,X,X,X,O,X,X
LIZOJTS,X,X,X,O,X,O,O,X
LIZOJST,X,O,X,O,O,X,O,X
LIZOSTJ,X,O,X,X,X,O,X,X
LIZOSJT,X,O,X,O,X,X,X,X
LIOTJSZ,O,X,X,X,O,X,X,X
LIOTJZS,X,X,X,O,X,O,X,X
LIOTSJZ,O,X,X,X,X,X,X,X
LIOTSZJ,O,X,X,X,X,O,X,X
LIOTZJS,X,X,X,O,X,O,X,X
LIOTZSJ,O,X,X,X,X,O,X,X
LIOJTSZ,X,X,O,X,O,X,X,X
LIOJTZS,X,X,X,O,X,O,X,X
LIOJSTZ,X,O,O,X,O,X,X,X
LIOJSZT,X,O,X,O,O,X,X,X
LIOJZTS,X,X,X,O,X,O,O,X
LIOJZST,X,O,X,O,O,X,O,X
LIOSTJZ,O,O,X,X,X,X,X,X
LIOSTZJ,O,O,X,X,X,O,X,X
LIOSJTZ,X,O,O,X,O,X,X,X
LIOSJZT,X,O,X,O,O,X,X,X
LIOSZTJ,X,O,X,X,X,O,X,X
LIOSZJT,X,O,X,O,X,X,X,X
LIOZTJS,X,X,X,O,X,O,X,X
LIOZTSJ,X,X,X,X,X,O,X,X
LIOZJTS,X,X,X,O,X,O,O,X
LIOZJST,X,O,X,O,O,X,O,X
LIOZSTJ,X,O,X,X,X,O,X,X
LIOZSJT,X,O,X,O,X,X,X,X
LJTISZO,X,X,X,X,O,X,X,O
