sequence,v115@GhA8IeA8CeB8CeB8AeC8CeC8JeZEJvhFCgBmiBXlBl?mBcsBTrB,v115@GhA8IeA8CeB8CeB8AeC8CeC8JeZEJvhFukBclBihBz?iBFsB3rB,v115@GhA8IeA8CeB8CeB8AeC8CeC8JeZEJvhFukB8mBziBi?lBXsBFrB,v115@GhA8IeA8CeB8CeB8AeC8CeC8JeZEJvhFGgB/mBFiB8?nBzkBywB,v115@GhA8IeA8CeB8CeB8AeC8CeC8JeZEJvhFukBXiB8nBi?lBzrBFrB,v115@GhA8IeA8CeB8CeB8AeC8CeC8JeZEJvhFCgBThBOnB8?nBXlB1wB,v115@GhA8IeA8CeB8CeB8AeC8CeC8Jex/IvhFziBOpBXlBV?sB0rBirB
TOILJSZ,X,X,O,X,X,X,X
TOILJZS,X,O,X,X,O,X,X
TOILSJZ,X,X,O,X,X,X,X
TOILSZJ,X,O,O,X,X,X,X
TOILZJS,X,O,X,X,O,X,X
TOILZSJ,X,O,X,X,O,X,X
TOIJLSZ,X,X,O,X,X,X,X
TOIJLZS,X,O,X,X,O,X,X
TOIJSLZ,X,X,O,X,X,X,O
TOIJSZL,X,X,X,O,X,X,O
TOIJZLS,X,O,X,O,O,X,X
TOIJZSL,X,O,X,O,X,X,X
TOISLJZ,X,X,O,X,X,X,X
TOISLZJ,X,O,O,X,X,X,X
TOISJLZ,X,X,O,X,X,X,O
TOISJZL,X,X,X,O,X,X,O
TOISZLJ,X,O,O,O,X,X,X
TOISZJL,X,O,X,O,X,X,X
TOIZLJS,X,O,X,O,O,X,X
TOIZLSJ,X,O,X,O,O,X,X
TOIZJLS,X,O,X,O,O,X,X
TOIZJSL,X,O,X,O,X,X,X
TOIZSLJ,X,O,X,O,O,X,X
TOIZSJL,X,O,X,O,X,X,X
TOLIJSZ,X,X,O,X,X,X,X
TOLIJZS,X,O,X,X,O,X,X
TOLISJZ,X,X,O,X,X,X,X
TOLISZJ,X,O,O,X,X,X,X
TOLIZJS,X,O,X,X,O,X,X
TOLIZSJ,X,O,X,X,O,X,X
TOLJISZ,X,X,O,X,X,X,X
TOLJIZS,X,O,X,X,O,X,X
TOLJSIZ,X,X,O,X,X,X,O
TOLJSZI,X,X,O,X,X,X,O
TOLJZIS,X,O,X,X,O,X,X
TOLJZSI,X,O,X,X,O,X,X
TOLSIJZ,X,X,O,X,X,X,X
TOLSIZJ,X,O,O,X,X,X,X
TOLSJIZ,X,X,O,X,X,X,O
TOLSJZI,X,X,O,X,X,X,O
TOLSZIJ,X,O,O,X,X,X,X
TOLSZJI,X,O,O,X,X,X,X
TOLZIJS,X,O,X,X,O,X,X
TOLZISJ,X,O,X,X,O,X,X
TOLZJIS,X,O,X,X,O,X,X
TOLZJSI,X,O,X,X,O,X,X
TOLZSIJ,X,O,X,X,O,X,X
TOLZSJI,X,O,X,X,O,X,X
TOJILSZ,X,X,O,X,X,X,X
TOJILZS,X,O,X,X,O,X,X
TOJISLZ,X,X,O,X,X,X,O
TOJISZL,X,X,X,O,X,X,O
TOJIZLS,X,O,X,O,O,X,X
TOJIZSL,X,O,X,O,X,X,X
TOJLISZ,X,X,O,X,X,X,X
TOJLIZS,X,O,X,X,O,X,X
TOJLSIZ,X,X,O,X,X,X,O
TOJLSZI,X,X,O,X,X,X,O
TOJLZIS,X,O,X,X,O,X,X
TOJLZSI,X,O,X,X,O,X,X
TOJSILZ,X,X,O,X,X,X,O
TOJSIZL,X,X,X,O,X,X,O
TOJSLIZ,X,X,O,X,X,X,O
TOJSLZI,X,X,O,X,X,X,O
TOJSZIL,X,X,X,O,X,X,O
TOJSZLI,X,X,X,O,X,X,O
TOJZILS,X,O,X,O,O,X,X
TOJZISL,X,O,X,O,X,X,X
TOJZLIS,X,O,X,O,O,X,X
TOJZLSI,X,O,X,O,O,X,X
TOJZSIL,X,O,X,O,X,X,O
TOJZSLI,X,O,X,O,X,X,O
TOSILJZ,X,X,O,X,X,X,X
TOSILZJ,X,O,O,X,X,X,X
TOSIJLZ,X,X,O,X,X,X,O
TOSIJZL,X,X,X,O,X,X,O
TOSIZLJ,X,O,O,O,X,X,X
TOSIZJL,X,O,X,O,X,X,X
TOSLIJZ,X,X,O,X,X,X,X
TOSLIZJ,X,O,O,X,X,X,X
TOSLJIZ,X,X,O,X,X,X,O
TOSLJZI,X,X,O,X,X,X,O
TOSLZIJ,X,O,O,X,X,X,X
TOSLZJI,X,O,O,X,X,X,X
TOSJILZ,X,X,O,X,X,X,O
TOSJIZL,X,X,X,O,X,X,O
TOSJLIZ,X,X,O,X,X,X,O
TOSJLZI,X,X,O,X,X,X,O
TOSJZIL,X,X,X,O,X,X,O
TOSJZLI,X,X,X,O,X,X,O
TOSZILJ,X,O,O,O,X,X,X
TOSZIJL,X,O,X,O,X,X,X
TOSZLIJ,X,O,O,O,X,X,X
TOSZLJI,X,O,O,O,X,X,X
TOSZJIL,X,O,X,O,X,X,O
TOSZJLI,X,O,X,O,X,X,O
TOZILJS,X,O,X,O,O,X,X
TOZILSJ,X,O,X,O,O,X,X
TOZIJLS,X,O,X,O,O,X,X
TOZIJSL,X,O,X,O,X,X,X
TOZISLJ,X,O,X,O,O,X,X
TOZISJL,X,O,X,O,X,X,X
TOZLIJS,X,O,X,O,O,X,X
TOZLISJ,X,O,X,O,O,X,X
TOZLJIS,X,O,X,O,O,X,X
TOZLJSI,X,O,X,O,O,X,X
TOZLSIJ,X,O,X,O,O,X,X
TOZLSJI,X,O,X,O,O,X,X
TOZJILS,X,O,X,O,O,X,X
TOZJISL,X,O,X,O,X,X,X
TOZJLIS,X,O,X,O,O,X,X
TOZJLSI,X,O,X,O,O,X,X
TOZJSIL,X,O,X,O,X,X,O
TOZJSLI,X,O,X,O,X,X,O
TOZSILJ,X,O,X,O,O,X,X
TOZSIJL,X,O,X,O,X,X,X
TOZSLIJ,X,O,X,O,O,X,X
TOZSLJI,X,O,X,O,O,X,X
TOZSJIL,X,O,X,O,X,X,O
TOZSJLI,X,O,X,O,X,X,O
ITLJSZO,X,X,O,X,X,X,X
ITLJSOZ,X,X,O,X,X,X,X
ITLJZSO,X,O,X,X,X,X,X
ITLJZOS,X,O,X,X,O,X,X
ITLJOSZ,X,X,O,X,X,X,X
ITLJOZS,X,O,X,X,O,X,X
ITLSJZO,X,X,O,X,X,X,X
ITLSJOZ,X,X,O,X,X,X,X
ITLSZJO,X,O,O,X,X,X,X
ITLSZOJ,X,O,O,X,X,X,X
ITLSOJZ,X,X,O,X,X,X,X
ITLSOZJ,X,O,O,X,X,X,X
ITLZJSO,X,O,X,X,X,X,X
ITLZJOS,X,O,X,X,O,X,X
ITLZSJO,X,O,X,X,X,X,X
ITLZSOJ,X,O,X,X,X,X,X
ITLZOJS,X,O,X,X,O,X,X
ITLZOSJ,X,O,X,X,O,X,X
ITLOJSZ,X,X,O,X,X,X,X
ITLOJZS,X,O,X,X,O,X,X
ITLOSJZ,X,X,O,X,X,X,X
ITLOSZJ,X,O,O,X,X,X,X
ITLOZJS,X,O,X,X,O,X,X
ITLOZSJ,X,O,X,X,O,X,X
ITJLSZO,X,X,O,X,X,X,X
ITJLSOZ,X,X,O,X,X,X,X
ITJLZSO,X,O,X,X,X,X,X
ITJLZOS,X,O,X,X,O,X,X
ITJLOSZ,X,X,O,X,X,X,X
ITJLOZS,X,O,X,X,O,X,X
ITJSLZO,O,X,O,X,X,X,O
ITJSLOZ,X,X,O,X,X,X,O
ITJSZLO,O,X,X,O,X,X,O
ITJSZOL,O,X,X,O,X,X,O
ITJSOLZ,X,X,O,X,X,X,O
ITJSOZL,X,X,X,X,X,X,O
ITJZLSO,O,O,X,O,X,X,X
ITJZLOS,X,O,X,X,O,X,X
ITJZSLO,O,O,X,O,X,X,X
ITJZSOL,O,O,X,O,X,X,X
ITJZOLS,X,O,X,X,O,X,X
ITJZOSL,O,O,X,X,X,X,X
ITJOLSZ,X,X,O,X,X,X,X
ITJOLZS,X,O,X,X,O,X,X
ITJOSLZ,X,X,O,X,X,X,O
ITJOSZL,X,X,X,X,X,X,O
ITJOZLS,X,O,X,X,O,X,X
ITJOZSL,X,O,X,X,X,X,X
ITSLJZO,O,X,O,X,X,X,X
ITSLJOZ,X,X,O,X,X,X,X
ITSLZJO,O,O,O,X,X,O,X
ITSLZOJ,O,O,O,X,X,O,X
ITSLOJZ,X,X,O,X,X,X,X
ITSLOZJ,X,O,O,X,X,X,X
ITSJLZO,O,X,O,X,X,X,O
ITSJLOZ,X,X,O,X,X,X,O
ITSJZLO,O,X,X,O,X,X,O
ITSJZOL,O,X,X,O,X,X,O
ITSJOLZ,X,X,O,X,X,X,O
ITSJOZL,X,X,X,X,X,X,O
ITSZLJO,O,O,O,O,X,O,X
ITSZLOJ,O,O,O,O,X,O,X
ITSZJLO,O,O,X,O,X,O,X
ITSZJOL,O,O,X,O,X,O,X
ITSZOLJ,O,O,O,O,X,O,X
ITSZOJL,O,O,X,O,X,O,X
ITSOLJZ,X,X,O,X,X,X,X
ITSOLZJ,X,O,O,X,X,X,X
ITSOJLZ,X,X,O,X,X,X,O
ITSOJZL,X,X,X,O,X,X,O
ITSOZLJ,X,O,O,O,X,X,X
ITSOZJL,X,O,X,O,X,X,X
ITZLJSO,O,O,X,O,X,O,X
ITZLJOS,X,O,X,X,O,O,X
ITZLSJO,O,O,X,O,X,O,X
ITZLSOJ,O,O,X,O,X,O,X
ITZLOJS,X,O,X,O,O,O,X
ITZLOSJ,X,O,X,O,O,O,X
ITZJLSO,O,O,X,O,X,O,X
ITZJLOS,X,O,X,X,O,O,X
ITZJSLO,O,O,X,O,X,O,X
ITZJSOL,O,O,X,O,X,O,X
ITZJOLS,X,O,X,X,O,O,X
ITZJOSL,O,O,X,X,X,O,X
ITZSLJO,O,O,X,O,X,O,X
ITZSLOJ,O,O,X,O,X,O,X
ITZSJLO,O,O,X,O,X,O,X
ITZSJOL,O,O,X,O,X,O,X
ITZSOLJ,O,O,X,O,X,O,X
ITZSOJL,O,O,X,O,X,O,X
ITZOLJS,X,O,X,O,O,O,X
ITZOLSJ,X,O,X,O,O,O,X
ITZOJLS,X,O,X,O,O,O,X
ITZOJSL,O,O,X,O,X,O,X
ITZOSLJ,O,O,X,O,O,O,X
ITZOSJL,O,O,X,O,X,O,X
ITOLJSZ,X,X,O,X,X,X,X
ITOLJZS,X,O,X,X,O,X,X
ITOLSJZ,X,X,O,X,X,X,X
ITOLSZJ,X,O,O,X,X,X,X
ITOLZJS,X,O,X,X,O,X,X
ITOLZSJ,X,O,X,X,O,X,X
ITOJLSZ,X,X,O,X,X,X,X
ITOJLZS,X,O,X,X,O,X,X
ITOJSLZ,X,X,O,X,X,X,O
ITOJSZL,X,X,X,O,X,X,O
ITOJZLS,X,O,X,O,O,X,X
ITOJZSL,X,O,X,O,X,X,X
ITOSLJZ,X,X,O,X,X,X,X
ITOSLZJ,X,O,O,X,X,X,X
ITOSJLZ,X,X,O,X,X,X,O
ITOSJZL,X,X,X,O,X,X,O
ITOSZLJ,X,O,O,O,X,X,X
ITOSZJL,X,O,X,O,X,X,X
ITOZLJS,X,O,X,O,O,X,X
ITOZLSJ,X,O,X,O,O,X,X
ITOZJLS,X,O,X,O,O,X,X
ITOZJSL,X,O,X,O,X,X,X
ITOZSLJ,X,O,X,O,O,X,X
ITOZSJL,X,O,X,O,X,X,X
ILTJSZO,X,X,O,X,X,X,X
ILTJSOZ,X,X,O,X,X,X,X
ILTJZSO,X,O,X,X,X,X,X
ILTJZOS,X,O,X,X,O,X,X
ILTJOSZ,X,X,O,X,X,X,X
ILTJOZS,X,O,X,X,O,X,X
ILTSJZO,X,X,O,X,X,X,X
ILTSJOZ,X,X,O,X,X,X,X
ILTSZJO,X,O,O,X,X,X,X
ILTSZOJ,X,O,O,X,X,X,X
ILTSOJZ,X,X,O,X,X,X,X
ILTSOZJ,X,O,O,X,X,X,X
ILTZJSO,X,O,X,X,X,X,X
ILTZJOS,X,O,X,X,O,X,X
ILTZSJO,X,O,X,X,X,X,X
ILTZSOJ,X,O,X,X,X,X,X
ILTZOJS,X,O,X,X,O,X,X
ILTZOSJ,X,O,X,X,O,X,X
ILTOJSZ,X,X,O,X,X,X,X
ILTOJZS,X,O,X,X,O,X,X
ILTOSJZ,X,X,O,X,X,X,X
ILTOSZJ,X,O,O,X,X,X,X
ILTOZJS,X,O,X,X,O,X,X
ILTOZSJ,X,O,X,X,O,X,X
ILJTSZO,X,X,O,X,X,X,X
ILJTSOZ,X,X,O,X,X,X,X
ILJTZSO,X,O,X,X,X,X,X
ILJTZOS,X,O,X,X,O,X,X
ILJTOSZ,X,X,O,X,X,X,X
ILJTOZS,X,O,X,X,O,X,X
ILJSTZO,O,X,O,X,X,X,X
ILJSTOZ,X,X,O,X,X,X,X
ILJSZTO,O,X,O,O,X,X,X
ILJSZOT,O,X,O,X,O,X,X
ILJSOTZ,X,X,O,X,X,X,X
ILJSOZT,O,X,O,X,O,X,X
ILJZTSO,O,O,X,O,X,X,X
ILJZTOS,X,O,X,X,O,X,X
ILJZSTO,O,O,O,O,X,X,X
ILJZSOT,O,O,O,O,O,X,X
ILJZOTS,X,O,X,X,O,X,X
ILJZOST,X,O,O,O,O,X,X
ILJOTSZ,X,X,O,X,X,X,X
ILJOTZS,X,X,X,X,O,X,X
ILJOSTZ,X,X,O,X,X,X,X
ILJOSZT,X,X,O,X,O,X,X
ILJOZTS,X,O,X,X,O,X,X
ILJOZST,X,O,O,X,O,X,X
ILSTJZO,O,X,O,X,X,X,X
ILSTJOZ,X,X,O,X,X,X,X
ILSTZJO,O,O,O,X,X,O,X
ILSTZOJ,O,O,O,X,X,O,X
ILSTOJZ,X,X,O,X,X,X,X
ILSTOZJ,X,O,O,X,X,X,X
ILSJTZO,O,X,O,X,X,X,X
ILSJTOZ,X,X,O,X,X,X,X
ILSJZTO,O,X,O,O,X,O,X
ILSJZOT,O,X,O,X,O,X,X
ILSJOTZ,X,X,O,X,X,X,X
ILSJOZT,O,X,O,X,O,X,X
ILSZTJO,O,O,O,O,X,O,X
ILSZTOJ,O,O,O,O,X,O,X
ILSZJTO,O,O,O,O,X,O,X
ILSZJOT,O,O,O,X,O,X,X
ILSZOTJ,O,X,O,O,O,O,X
ILSZOJT,O,O,O,O,O,X,X
ILSOTJZ,X,X,O,X,X,X,X
ILSOTZJ,X,X,O,X,X,X,X
ILSOJTZ,X,X,O,X,X,X,X
ILSOJZT,O,X,O,O,O,X,X
ILSOZTJ,O,X,O,O,O,O,X
ILSOZJT,O,O,O,O,O,X,X
ILZTJSO,O,O,X,O,X,O,X
ILZTJOS,X,O,X,X,O,O,X
ILZTSJO,O,O,X,O,X,O,X
ILZTSOJ,O,O,X,O,X,O,X
ILZTOJS,X,O,X,O,O,O,X
ILZTOSJ,X,O,X,O,O,O,X
ILZJTSO,O,O,X,O,X,X,X
ILZJTOS,X,O,X,X,O,X,X
ILZJSTO,O,O,O,O,X,X,X
ILZJSOT,O,O,O,O,O,X,X
ILZJOTS,X,O,X,O,O,X,X
ILZJOST,X,O,O,O,O,X,X
ILZSTJO,O,O,O,O,X,O,X
ILZSTOJ,O,O,O,O,X,O,X
ILZSJTO,O,O,O,O,X,O,X
ILZSJOT,O,O,O,O,O,X,X
ILZSOTJ,O,X,O,O,O,O,X
ILZSOJT,O,O,O,O,O,X,X
ILZOTJS,X,O,X,O,O,X,X
ILZOTSJ,X,O,X,O,O,X,X
ILZOJTS,X,O,X,O,O,X,X
ILZOJST,X,O,O,O,O,X,X
ILZOSTJ,X,X,O,O,O,X,X
ILZOSJT,X,O,O,O,O,X,X
ILOTJSZ,X,X,O,X,X,X,X
ILOTJZS,X,O,X,X,O,X,X
ILOTSJZ,X,X,O,X,X,X,X
ILOTSZJ,X,O,O,X,X,X,X
ILOTZJS,X,O,X,X,O,X,X
ILOTZSJ,X,O,X,X,O,X,X
ILOJTSZ,X,X,O,X,X,X,X
ILOJTZS,X,X,X,X,O,X,X
ILOJSTZ,X,X,O,X,X,X,X
ILOJSZT,X,X,O,O,O,X,X
ILOJZTS,X,O,X,O,O,X,X
ILOJZST,X,O,O,O,O,X,X
ILOSTJZ,X,X,O,X,X,X,X
ILOSTZJ,X,X,O,X,X,X,X
ILOSJTZ,X,X,O,X,X,X,X
ILOSJZT,X,X,O,O,O,X,X
ILOSZTJ,X,X,O,O,O,X,X
ILOSZJT,X,O,O,O,O,X,X
ILOZTJS,X,O,X,O,O,X,X
ILOZTSJ,X,O,X,O,O,X,X
ILOZJTS,X,O,X,O,O,X,X
ILOZJST,X,O,O,O,O,X,X
ILOZSTJ,X,X,O,O,O,X,X
ILOZSJT,X,O,O,O,O,X,X
IJTLSZO,X,X,O,X,X,X,X
IJTLSOZ,X,X,O,X,X,X,X
IJTLZSO,X,O,X,X,X,X,X
IJTLZOS,X,O,X,X,O,X,X
IJTLOSZ,X,X,O,X,X,X,X
IJTLOZS,X,O,X,X,O,X,X
IJTSLZO,O,X,O,X,X,X,O
IJTSLOZ,X,X,O,X,X,X,O
IJTSZLO,O,X,X,O,X,X,O
IJTSZOL,O,X,X,O,X,X,O
IJTSOLZ,X,X,O,X,X,X,O
IJTSOZL,X,X,X,X,X,X,O
IJTZLSO,O,O,X,O,X,X,X
IJTZLOS,X,O,X,X,O,X,X
IJTZSLO,O,O,X,O,X,X,X
IJTZSOL,O,O,X,O,X,X,X
IJTZOLS,X,O,X,X,O,X,X
IJTZOSL,O,O,X,X,X,X,X
IJTOLSZ,X,X,O,X,X,X,X
IJTOLZS,X,O,X,X,O,X,X
IJTOSLZ,X,X,O,X,X,X,O
IJTOSZL,X,X,X,X,X,X,O
IJTOZLS,X,O,X,X,O,X,X
IJTOZSL,X,O,X,X,X,X,X
IJLTSZO,X,X,O,X,X,X,X
IJLTSOZ,X,X,O,X,X,X,X
IJLTZSO,X,O,X,X,X,X,X
IJLTZOS,X,O,X,X,O,X,X
IJLTOSZ,X,X,O,X,X,X,X
IJLTOZS,X,O,X,X,O,X,X
IJLSTZO,O,X,O,X,X,X,X
IJLSTOZ,X,X,O,X,X,X,X
IJLSZTO,O,X,O,O,X,X,X
IJLSZOT,O,X,O,X,O,X,X
IJLSOTZ,X,X,O,X,X,X,X
IJLSOZT,O,X,O,X,O,X,X
IJLZTSO,O,O,X,O,X,X,X
IJLZTOS,X,O,X,X,O,X,X
IJLZSTO,O,O,O,O,X,X,X
IJLZSOT,O,O,O,O,O,X,X
IJLZOTS,X,O,X,X,O,X,X
IJLZOST,X,O,O,O,O,X,X
IJLOTSZ,X,X,O,X,X,X,X
IJLOTZS,X,X,X,X,O,X,X
IJLOSTZ,X,X,O,X,X,X,X
IJLOSZT,X,X,O,X,O,X,X
IJLOZTS,X,O,X,X,O,X,X
IJLOZST,X,O,O,X,O,X,X
IJSTLZO,O,X,O,X,X,X,O
IJSTLOZ,X,X,O,X,X,X,O
IJSTZLO,O,X,X,O,X,X,O
IJSTZOL,O,X,X,O,X,X,O
IJSTOLZ,X,X,O,X,X,X,O
IJSTOZL,X,X,X,X,X,X,O
IJSLTZO,O,X,O,X,X,X,O
IJSLTOZ,X,X,O,X,X,X,O
IJSLZTO,O,X,O,O,X,O,X
IJSLZOT,O,X,O,X,O,X,X
IJSLOTZ,X,X,O,X,X,X,O
IJSLOZT,O,X,O,X,O,X,X
IJSZTLO,O,X,X,O,X,O,O
IJSZTOL,O,X,X,O,X,O,O
IJSZLTO,O,X,O,O,X,O,X
IJSZLOT,O,X,O,O,O,X,X
IJSZOTL,O,X,X,O,X,X,O
IJSZOLT,O,X,O,O,O,X,X
IJSOTLZ,X,X,O,X,X,X,O
IJSOTZL,X,X,X,O,X,X,O
IJSOLTZ,X,X,O,X,X,X,O
IJSOLZT,O,X,O,O,O,X,X
IJSOZTL,O,X,X,O,X,X,O
IJSOZLT,O,X,O,O,O,X,X
IJZTLSO,O,O,X,O,X,O,X
IJZTLOS,X,O,X,X,O,O,X
IJZTSLO,O,O,X,O,X,O,X
IJZTSOL,O,O,X,O,X,O,X
IJZTOLS,X,O,X,X,O,O,X
IJZTOSL,O,O,X,X,X,O,X
IJZLTSO,O,O,X,O,X,X,X
IJZLTOS,X,O,X,X,O,X,X
IJZLSTO,O,O,O,O,X,X,X
IJZLSOT,O,O,O,O,O,X,X
IJZLOTS,X,O,X,O,O,X,X
IJZLOST,X,O,O,O,O,X,X
IJZSTLO,O,O,X,O,X,O,X
IJZSTOL,O,O,X,O,X,O,X
IJZSLTO,O,O,O,O,X,O,X
IJZSLOT,O,O,O,O,O,X,X
IJZSOTL,O,O,X,O,X,X,X
IJZSOLT,O,O,O,O,O,X,X
IJZOTLS,X,O,X,O,O,X,X
IJZOTSL,O,O,X,O,X,X,X
IJZOLTS,X,O,X,O,O,X,X
IJZOLST,X,O,O,O,O,X,X
IJZOSTL,O,O,X,O,X,X,X
IJZOSLT,O,O,O,O,O,X,X
IJOTLSZ,X,X,O,X,X,X,X
IJOTLZS,X,O,X,X,O,X,X
IJOTSLZ,X,X,O,X,X,X,O
IJOTSZL,X,X,X,O,X,X,O
IJOTZLS,X,O,X,O,O,X,X
IJOTZSL,X,O,X,O,X,X,X
IJOLTSZ,X,X,O,X,X,X,X
IJOLTZS,X,X,X,X,O,X,X
IJOLSTZ,X,X,O,X,X,X,X
IJOLSZT,X,X,O,O,O,X,X
IJOLZTS,X,O,X,O,O,X,X
IJOLZST,X,O,O,O,O,X,X
IJOSTLZ,X,X,O,X,X,X,O
IJOSTZL,X,X,X,O,X,X,O
IJOSLTZ,X,X,O,X,X,X,O
IJOSLZT,O,X,O,O,O,X,X
IJOSZTL,O,X,X,O,X,X,O
IJOSZLT,O,X,O,O,O,X,X
IJOZTLS,X,O,X,O,O,X,X
IJOZTSL,O,O,X,O,X,X,X
IJOZLTS,X,O,X,O,O,X,X
IJOZLST,X,O,O,O,O,X,X
IJOZSTL,O,O,X,O,X,X,X
IJOZSLT,O,O,O,O,O,X,X
ISTLJZO,O,X,O,X,X,X,X
ISTLJOZ,X,X,O,X,X,X,X
ISTLZJO,O,O,O,X,X,O,X
ISTLZOJ,O,O,O,X,X,O,X
ISTLOJZ,X,X,O,X,X,X,X
ISTLOZJ,X,O,O,X,X,X,X
ISTJLZO,O,X,O,X,X,X,O
ISTJLOZ,X,X,O,X,X,X,O
ISTJZLO,O,X,X,O,X,X,O
ISTJZOL,O,X,X,O,X,X,O
ISTJOLZ,X,X,O,X,X,X,O
ISTJOZL,X,X,X,X,X,X,O
ISTZLJO,O,O,O,O,X,O,X
ISTZLOJ,O,O,O,O,X,O,X
ISTZJLO,O,O,X,O,X,O,X
ISTZJOL,O,O,X,O,X,O,X
ISTZOLJ,O,O,O,O,X,O,X
ISTZOJL,O,O,X,O,X,O,X
ISTOLJZ,X,X,O,X,X,X,X
ISTOLZJ,X,O,O,X,X,X,X
ISTOJLZ,X,X,O,X,X,X,O
ISTOJZL,X,X,X,O,X,X,O
ISTOZLJ,X,O,O,O,X,X,X
ISTOZJL,X,O,X,O,X,X,X
ISLTJZO,O,X,O,X,X,X,X
ISLTJOZ,X,X,O,X,X,X,X
ISLTZJO,O,O,O,X,X,O,X
ISLTZOJ,O,O,O,X,X,O,X
ISLTOJZ,X,X,O,X,X,X,X
ISLTOZJ,X,O,O,X,X,X,X
ISLJTZO,O,X,O,X,X,X,X
ISLJTOZ,X,X,O,X,X,X,X
ISLJZTO,O,X,O,O,X,O,X
ISLJZOT,O,X,O,X,O,X,X
ISLJOTZ,X,X,O,X,X,X,X
ISLJOZT,O,X,O,X,O,X,X
ISLZTJO,O,O,O,O,X,O,X
ISLZTOJ,O,O,O,O,X,O,X
ISLZJTO,O,O,O,O,X,O,X
ISLZJOT,O,O,O,X,O,X,X
ISLZOTJ,O,X,O,O,O,O,X
ISLZOJT,O,O,O,O,O,X,X
ISLOTJZ,X,X,O,X,X,X,X
ISLOTZJ,X,X,O,X,X,X,X
ISLOJTZ,X,X,O,X,X,X,X
ISLOJZT,O,X,O,O,O,X,X
ISLOZTJ,O,X,O,O,O,O,X
ISLOZJT,O,O,O,O,O,X,X
ISJTLZO,O,X,O,X,X,X,O
ISJTLOZ,X,X,O,X,X,X,O
ISJTZLO,O,X,X,O,X,X,O
ISJTZOL,O,X,X,O,X,X,O
ISJTOLZ,X,X,O,X,X,X,O
ISJTOZL,X,X,X,X,X,X,O
ISJLTZO,O,X,O,X,X,X,O
ISJLTOZ,X,X,O,X,X,X,O
ISJLZTO,O,X,O,O,X,O,X
ISJLZOT,O,X,O,X,O,X,X
ISJLOTZ,X,X,O,X,X,X,O
ISJLOZT,O,X,O,X,O,X,X
ISJZTLO,O,X,X,O,X,O,O
ISJZTOL,O,X,X,O,X,O,O
ISJZLTO,O,X,O,O,X,O,X
ISJZLOT,O,X,O,O,O,X,X
ISJZOTL,O,X,X,O,X,X,O
ISJZOLT,O,X,O,O,O,X,X
ISJOTLZ,X,X,O,X,X,X,O
ISJOTZL,X,X,X,O,X,X,O
ISJOLTZ,X,X,O,X,X,X,O
ISJOLZT,O,X,O,O,O,X,X
ISJOZTL,O,X,X,O,X,X,O
ISJOZLT,O,X,O,O,O,X,X
ISZTLJO,O,O,O,O,X,O,X
ISZTLOJ,O,O,O,O,X,O,X
ISZTJLO,O,O,X,O,X,O,X
ISZTJOL,O,O,X,O,X,O,X
ISZTOLJ,O,O,O,O,X,O,X
ISZTOJL,O,O,X,O,X,O,X
ISZLTJO,O,O,O,O,X,O,X
ISZLTOJ,O,O,O,O,X,O,X
ISZLJTO,O,O,O,O,X,O,X
ISZLJOT,O,O,O,O,O,X,X
ISZLOTJ,O,X,O,O,O,O,X
ISZLOJT,O,O,O,O,O,X,X
ISZJTLO,O,O,X,O,X,O,X
ISZJTOL,O,O,X,O,X,O,X
ISZJLTO,O,O,O,O,X,O,X
ISZJLOT,O,O,O,O,O,X,X
ISZJOTL,O,O,X,O,X,X,X
ISZJOLT,O,O,O,O,O,X,X
ISZOTLJ,O,O,O,O,O,O,X
ISZOTJL,O,O,X,O,X,O,X
ISZOLTJ,O,X,O,O,O,O,X
ISZOLJT,O,O,O,O,O,X,X
ISZOJTL,O,O,X,O,X,X,X
ISZOJLT,O,O,O,O,O,X,X
ISOTLJZ,X,X,O,X,X,X,X
ISOTLZJ,X,O,O,X,X,X,X
ISOTJLZ,X,X,O,X,X,X,O
ISOTJZL,X,X,X,O,X,X,O
ISOTZLJ,X,O,O,O,X,X,X
ISOTZJL,X,O,X,O,X,X,X
ISOLTJZ,X,X,O,X,X,X,X
ISOLTZJ,X,X,O,X,X,X,X
ISOLJTZ,X,X,O,X,X,X,X
ISOLJZT,O,X,O,O,O,X,X
ISOLZTJ,O,X,O,O,O,O,X
ISOLZJT,O,O,O,O,O,X,X
ISOJTLZ,X,X,O,X,X,X,O
ISOJTZL,X,X,X,O,X,X,O
ISOJLTZ,X,X,O,X,X,X,O
ISOJLZT,O,X,O,O,O,X,X
ISOJZTL,O,X,X,O,X,X,O
ISOJZLT,O,X,O,O,O,X,X
ISOZTLJ,O,O,O,O,O,O,X
ISOZTJL,O,O,X,O,X,O,X
ISOZLTJ,O,X,O,O,O,O,X
ISOZLJT,O,O,O,O,O,X,X
ISOZJTL,O,O,X,O,X,X,X
ISOZJLT,O,O,O,O,O,X,X
IZTLJSO,O,O,X,O,X,O,X
IZTLJOS,X,O,X,X,O,O,X
IZTLSJO,O,O,X,O,X,O,X
IZTLSOJ,O,O,X,O,X,O,X
IZTLOJS,X,O,X,O,O,O,X
IZTLOSJ,X,O,X,O,O,O,X
IZTJLSO,O,O,X,O,X,O,X
IZTJLOS,X,O,X,X,O,O,X
IZTJSLO,O,O,X,O,X,O,X
IZTJSOL,O,O,X,O,X,O,X
IZTJOLS,X,O,X,X,O,O,X
