sequence,v115@GhA8IeA8EeB8BeA8AeA8AeD8AeB8JeZEJvhFzfBfmB?0hBeoBFqB6sB,v115@GhA8IeA8EeB8BeA8AeA8AeD8AeB8JeZEJvhFzfBWmB?3iB8sBimBFqB,v115@GhA8IeA8EeB8BeA8AeA8AeD8AeB8JeZEJvhFqkBlhB?3iBzlB8sBOqB,v115@GhA8IeA8EeB8BeA8AeA8AeD8AeB8JeZEJvhFFgB0hB?eoBfqBzlB6sB,v115@GhA8IeA8EeB8BeA8AeA8AeD8AeB8Jex/IvhFlhB3iB?zlB8sBmpBipB,v115@GhA8IeA8EeB8BeA8AeA8AeD8AeB8JeZEJvhFfmB0hB?WqBznBaqBlsB
TJOILSZ,O,X,X,X,X,X
TJOILZS,X,O,O,X,O,X
TJOISLZ,O,X,X,O,X,O
TJOISZL,O,O,X,O,O,O
TJOIZLS,X,O,O,X,O,X
TJOIZSL,O,O,O,O,O,X
TJOLISZ,O,X,X,X,X,X
TJOLIZS,X,O,O,X,O,X
TJOLSIZ,O,X,X,X,X,X
TJOLSZI,O,X,X,X,X,X
TJOLZIS,X,O,O,X,O,X
TJOLZSI,X,O,O,X,O,X
TJOSILZ,O,X,X,O,X,O
TJOSIZL,O,O,X,O,O,O
TJOSLIZ,O,X,X,O,X,X
TJOSLZI,O,X,X,O,X,X
TJOSZIL,O,O,X,O,O,O
TJOSZLI,O,O,X,O,O,X
TJOZILS,X,O,O,X,O,X
TJOZISL,O,O,O,O,O,X
TJOZLIS,X,O,O,X,O,X
TJOZLSI,X,O,O,X,O,X
TJOZSIL,O,O,O,O,O,X
TJOZSLI,O,O,O,O,O,X
TSILJZO,O,X,X,X,X,X
TSILJOZ,O,X,X,X,X,X
TSILZJO,O,X,X,X,X,X
TSILZOJ,O,X,X,X,X,X
TSILOJZ,O,X,X,X,X,X
TSILOZJ,O,X,X,X,X,X
TSIJLZO,O,X,X,X,X,X
TSIJLOZ,O,X,X,X,X,X
TSIJZLO,O,O,X,X,X,X
TSIJZOL,O,O,X,X,X,O
TSIJOLZ,O,X,X,O,X,O
TSIJOZL,O,O,X,O,X,O
TSIZLJO,O,O,X,X,X,X
TSIZLOJ,O,O,O,X,X,X
TSIZJLO,O,O,X,X,X,X
TSIZJOL,O,O,O,X,X,O
TSIZOLJ,O,O,O,X,X,X
TSIZOJL,O,O,O,X,X,O
TSIOLJZ,O,X,X,O,X,X
TSIOLZJ,O,X,O,O,X,X
TSIOJLZ,O,X,X,O,X,O
TSIOJZL,O,O,X,O,X,O
TSIOZLJ,O,O,O,O,X,X
TSIOZJL,O,O,O,O,X,O
TSLIJZO,O,X,X,X,X,X
TSLIJOZ,O,X,X,X,X,X
TSLIZJO,O,X,X,X,X,X
TSLIZOJ,O,X,X,X,X,X
TSLIOJZ,O,X,X,X,X,X
TSLIOZJ,O,X,X,X,X,X
TSLJIZO,O,X,X,X,X,X
TSLJIOZ,O,X,X,X,X,X
TSLJZIO,O,X,X,X,X,X
TSLJZOI,O,X,X,X,X,X
TSLJOIZ,O,X,X,X,X,X
TSLJOZI,O,X,X,X,X,X
TSLZIJO,O,X,X,X,X,X
TSLZIOJ,O,X,X,X,X,X
TSLZJIO,O,X,X,X,X,X
TSLZJOI,O,X,X,X,X,X
TSLZOIJ,O,X,X,X,X,X
TSLZOJI,O,X,X,X,X,X
TSLOIJZ,O,X,X,X,X,X
TSLOIZJ,O,X,X,X,X,X
TSLOJIZ,O,X,X,X,X,X
TSLOJZI,O,X,X,X,X,X
TSLOZIJ,O,X,X,X,X,X
TSLOZJI,O,X,X,X,X,X
TSJILZO,O,X,X,X,X,X
TSJILOZ,O,X,X,X,X,X
TSJIZLO,O,O,X,X,X,X
TSJIZOL,O,O,X,X,X,O
TSJIOLZ,O,X,X,O,X,O
TSJIOZL,O,O,X,O,X,O
TSJLIZO,O,X,X,X,X,X
TSJLIOZ,O,X,X,X,X,X
TSJLZIO,O,X,X,X,X,X
TSJLZOI,O,X,X,X,X,X
TSJLOIZ,O,X,X,X,X,X
TSJLOZI,O,X,X,X,X,X
TSJZILO,O,O,X,X,X,X
TSJZIOL,O,O,X,X,X,O
TSJZLIO,O,O,X,X,X,X
TSJZLOI,O,O,X,X,X,X
TSJZOIL,O,O,X,X,X,O
TSJZOLI,O,O,X,X,X,X
TSJOILZ,O,X,X,O,X,O
TSJOIZL,O,O,X,O,X,O
TSJOLIZ,O,X,X,O,X,X
TSJOLZI,O,X,X,O,X,X
TSJOZIL,O,O,X,O,X,O
TSJOZLI,O,O,X,O,X,X
TSZILJO,O,O,X,X,X,X
TSZILOJ,O,O,O,X,X,X
TSZIJLO,O,O,X,X,X,X
TSZIJOL,O,O,O,X,X,O
TSZIOLJ,O,O,O,X,O,X
TSZIOJL,O,O,O,X,O,O
TSZLIJO,O,O,X,X,X,X
TSZLIOJ,O,O,O,X,X,X
TSZLJIO,O,O,X,X,X,X
TSZLJOI,O,O,X,X,X,X
TSZLOIJ,O,O,O,X,O,X
TSZLOJI,O,O,O,X,O,X
TSZJILO,O,O,X,X,X,X
TSZJIOL,O,O,O,X,X,O
TSZJLIO,O,O,X,X,X,X
TSZJLOI,O,O,X,X,X,X
TSZJOIL,O,O,O,X,O,O
TSZJOLI,O,O,O,X,O,X
TSZOILJ,O,O,O,X,O,X
TSZOIJL,O,O,O,X,O,O
TSZOLIJ,O,O,O,X,O,X
TSZOLJI,O,O,O,X,O,X
TSZOJIL,O,O,O,X,O,O
TSZOJLI,O,O,O,X,O,X
TSOILJZ,O,X,X,O,X,X
TSOILZJ,O,X,O,O,X,X
TSOIJLZ,O,X,X,O,X,O
TSOIJZL,O,O,X,O,X,O
TSOIZLJ,O,O,O,O,O,X
TSOIZJL,O,O,O,O,O,O
TSOLIJZ,O,X,X,O,X,X
TSOLIZJ,O,X,O,O,X,X
TSOLJIZ,O,X,X,O,X,X
TSOLJZI,O,X,X,O,X,X
TSOLZIJ,O,X,O,O,X,X
TSOLZJI,O,X,O,O,X,X
TSOJILZ,O,X,X,O,X,O
TSOJIZL,O,O,X,O,O,O
TSOJLIZ,O,X,X,O,X,X
TSOJLZI,O,X,X,O,X,X
TSOJZIL,O,O,X,O,O,O
TSOJZLI,O,O,X,O,O,X
TSOZILJ,O,O,O,O,O,X
TSOZIJL,O,O,O,O,O,O
TSOZLIJ,O,O,O,O,O,X
TSOZLJI,O,O,O,O,O,X
TSOZJIL,O,O,O,O,O,O
TSOZJLI,O,O,O,O,O,X
TZILJSO,X,O,X,X,X,X
TZILJOS,X,O,X,X,X,X
TZILSJO,X,O,X,X,X,X
TZILSOJ,X,O,O,X,X,X
TZILOJS,X,O,O,X,X,X
TZILOSJ,X,O,O,X,X,X
TZIJLSO,X,O,X,X,X,X
TZIJLOS,X,O,X,X,X,X
TZIJSLO,O,O,X,X,X,X
TZIJSOL,O,O,O,X,X,X
TZIJOLS,X,O,O,X,X,X
TZIJOSL,O,O,O,O,X,X
TZISLJO,O,O,X,X,X,X
TZISLOJ,O,O,O,X,X,X
TZISJLO,O,O,X,X,X,X
TZISJOL,O,O,O,X,X,O
TZISOLJ,O,O,O,X,O,X
TZISOJL,O,O,O,X,O,O
TZIOLJS,X,O,O,X,X,X
TZIOLSJ,X,O,O,X,O,X
TZIOJLS,X,O,O,X,O,X
TZIOJSL,O,O,O,O,O,X
TZIOSLJ,O,O,O,O,O,X
TZIOSJL,O,O,O,O,O,O
TZLIJSO,X,O,X,X,X,X
TZLIJOS,X,O,X,X,X,X
TZLISJO,X,O,X,X,X,X
TZLISOJ,X,O,O,X,X,X
TZLIOJS,X,O,O,X,X,X
TZLIOSJ,X,O,O,X,X,X
TZLJISO,X,O,X,X,X,X
TZLJIOS,X,O,X,X,X,X
TZLJSIO,X,O,X,X,X,X
TZLJSOI,X,O,X,X,X,X
TZLJOIS,X,O,X,X,X,X
TZLJOSI,X,O,X,X,X,X
TZLSIJO,X,O,X,X,X,X
TZLSIOJ,X,O,O,X,X,X
TZLSJIO,X,O,X,X,X,X
TZLSJOI,X,O,X,X,X,X
TZLSOIJ,X,O,O,X,O,X
TZLSOJI,X,O,O,X,O,X
TZLOIJS,X,O,O,X,X,X
TZLOISJ,X,O,O,X,O,X
TZLOJIS,X,O,O,X,O,X
TZLOJSI,X,O,O,X,O,X
TZLOSIJ,X,O,O,X,O,X
TZLOSJI,X,O,O,X,O,X
TZJILSO,X,O,X,X,X,X
TZJILOS,X,O,X,X,X,X
TZJISLO,O,O,X,X,X,X
TZJISOL,O,O,O,X,X,X
TZJIOLS,X,O,O,X,X,X
TZJIOSL,O,O,O,O,X,X
TZJLISO,X,O,X,X,X,X
TZJLIOS,X,O,X,X,X,X
TZJLSIO,X,O,X,X,X,X
TZJLSOI,X,O,X,X,X,X
TZJLOIS,X,O,X,X,X,X
TZJLOSI,X,O,X,X,X,X
TZJSILO,O,O,X,X,X,X
TZJSIOL,O,O,O,X,X,X
