sequence,v115@9gB8HeB8HeA8IeB8AeC8BeB8JexAJvhF0iB6oBmlBz?mBFqB3sB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JexAJvhFXiB6oBmlBz?nBFqBUsB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JexAJvhFTiB6oBmlBf?sB8sBFqB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JeiAJvhFfnBxiBUmB+?sBToBFqB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JeTAJvhFxhBimBGoBX?oBFqBUsB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JexAJvhF8mBfoB6oBm?lBFqBTsB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JeTAJvhFxiBimBGoB0?mBFqB3sB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JeTAJvhFxhBXjB2rBS?tBFqBUsB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JeTAJvhF0hBxiB2rBS?tBFqB3sB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JeiAJvhFGjBRmBUoB3?mBFqBTsB,v115@9gB8HeB8HeA8IeB8AeC8BeB8Je2FJvhFRhBSoB3mBU?oBFqBTsB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JeTAJvhFOmB8mBSoBF?qBxsB3sB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JeTAJvhF2mBfoB6oBF?qBxrBUsB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JeiAJvhFzhBGjBUmBF?qBxsB3sB
IZLSJTO,X,O,O,O,O,O,X,X,X,X,X,O,X,X
IZLSJOT,X,O,O,O,X,O,X,X,X,X,X,X,X,X
IZLSOTJ,X,O,O,X,X,O,X,X,X,X,X,X,X,X
IZLSOJT,X,O,O,O,X,O,X,X,X,X,X,X,X,X
IZLOTJS,X,X,X,X,O,X,X,X,X,X,X,O,X,X
IZLOTSJ,X,X,X,X,O,X,X,X,X,X,X,O,X,X
IZLOJTS,X,X,X,X,O,X,X,X,X,X,X,O,X,X
IZLOJST,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZLOSTJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLOSJT,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJTLSO,X,O,O,X,O,X,X,X,X,O,X,O,X,O
IZJTLOS,X,X,X,X,O,X,X,X,X,O,X,O,X,O
IZJTSLO,X,O,O,X,X,O,X,X,X,O,X,O,O,O
IZJTSOL,X,O,O,X,X,X,X,X,X,X,X,O,O,O
IZJTOLS,X,O,X,X,O,X,X,X,X,O,X,O,X,O
IZJTOSL,X,O,X,X,X,X,X,X,X,X,X,O,O,O
IZJLTSO,X,O,O,X,O,X,X,X,X,X,X,O,X,X
IZJLTOS,X,X,X,X,O,X,X,X,X,X,X,O,X,X
IZJLSTO,X,O,O,O,O,O,X,X,X,X,X,O,X,X
IZJLSOT,X,O,O,O,X,O,X,X,X,X,X,X,X,X
IZJLOTS,X,O,X,X,O,X,X,X,X,X,X,O,X,X
IZJLOST,X,O,O,O,X,X,X,X,X,X,X,X,X,X
IZJSTLO,X,O,O,O,X,O,X,X,X,X,X,O,O,X
IZJSTOL,X,O,O,X,X,X,X,X,X,X,X,O,O,X
IZJSLTO,X,O,O,O,O,O,X,X,X,X,X,O,O,X
IZJSLOT,X,O,O,O,X,O,X,X,X,X,X,X,X,X
IZJSOTL,X,O,O,O,X,X,X,X,X,X,X,X,X,X
IZJSOLT,X,O,O,O,X,O,X,X,X,X,X,X,X,X
IZJOTLS,X,O,X,X,X,X,X,X,X,X,X,O,X,O
IZJOTSL,X,O,X,X,X,X,X,X,X,X,X,O,X,X
IZJOLTS,X,O,X,X,O,X,X,X,X,X,X,O,X,X
IZJOLST,X,O,O,O,X,X,X,X,X,X,X,X,X,X
IZJOSTL,X,O,O,O,X,X,X,X,X,X,X,X,X,X
IZJOSLT,X,O,O,O,X,O,X,X,X,X,X,X,X,X
IZSTLJO,X,O,O,O,X,O,X,X,X,X,X,O,O,X
IZSTLOJ,X,O,O,X,X,O,X,X,X,X,X,O,O,X
IZSTJLO,X,O,O,X,X,O,X,X,X,X,X,O,O,X
IZSTJOL,X,O,O,X,X,O,X,X,X,X,X,O,O,X
IZSTOLJ,X,O,O,X,X,O,X,X,X,X,X,O,O,X
IZSTOJL,X,O,O,X,X,X,X,X,X,X,X,O,O,X
IZSLTJO,X,O,O,O,X,O,X,X,X,X,X,O,O,X
IZSLTOJ,X,O,O,X,X,O,X,X,X,X,X,O,O,X
IZSLJTO,X,O,O,O,X,O,X,X,X,X,X,O,O,X
IZSLJOT,X,O,O,O,X,O,X,X,X,X,X,X,X,X
IZSLOTJ,X,O,O,X,X,O,X,X,X,X,X,X,X,X
IZSLOJT,X,O,O,O,X,O,X,X,X,X,X,X,X,X
IZSJTLO,X,O,O,O,X,O,X,X,X,X,X,O,O,X
IZSJTOL,X,O,O,X,X,X,X,X,X,X,X,O,O,X
IZSJLTO,X,O,O,O,X,O,X,X,X,X,X,O,O,X
IZSJLOT,X,O,O,O,X,O,X,X,X,X,X,X,X,X
IZSJOTL,X,O,O,O,X,X,X,X,X,X,X,X,X,X
IZSJOLT,X,O,O,O,X,O,X,X,X,X,X,X,X,X
IZSOTLJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IZSOTJL,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IZSOLTJ,X,O,O,X,X,O,X,X,X,X,X,X,X,X
IZSOLJT,X,O,O,O,X,O,X,X,X,X,X,X,X,X
IZSOJTL,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IZSOJLT,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IZOTLJS,X,O,X,X,X,X,X,X,X,X,X,O,X,O
IZOTLSJ,X,O,X,X,X,X,X,X,X,X,X,O,X,X
IZOTJLS,X,O,X,X,X,X,X,X,X,X,X,O,X,O
IZOTJSL,X,O,X,X,X,X,X,X,X,X,X,O,X,X
IZOTSLJ,X,O,X,X,X,X,X,X,X,X,X,O,X,X
IZOTSJL,X,O,X,X,X,X,X,X,X,X,X,O,X,X
IZOLTJS,X,O,X,X,X,X,X,X,X,X,X,O,X,X
IZOLTSJ,X,O,X,X,X,X,X,X,X,X,X,O,X,X
IZOLJTS,X,O,X,X,X,X,X,X,X,X,X,O,X,X
IZOLJST,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IZOLSTJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZOLSJT,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZOJTLS,X,O,X,X,X,X,X,X,X,X,X,O,X,O
IZOJTSL,X,O,X,X,X,X,X,X,X,X,X,O,X,X
IZOJLTS,X,O,X,X,X,X,X,X,X,X,X,O,X,X
IZOJLST,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IZOJSTL,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IZOJSLT,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IZOSTLJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZOSTJL,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZOSLTJ,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IZOSLJT,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IZOSJTL,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZOSJLT,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOTLJSZ,O,O,X,O,X,X,X,X,X,X,O,X,O,O
IOTLJZS,O,O,X,O,X,X,X,X,X,O,X,O,X,O
IOTLSJZ,X,O,X,X,X,X,X,X,X,X,O,X,O,O
IOTLSZJ,O,O,X,X,X,X,X,X,X,O,O,O,O,X
IOTLZJS,O,X,X,O,X,X,X,X,X,O,X,O,X,O
IOTLZSJ,O,X,X,X,X,X,X,X,X,O,X,O,X,O
IOTJLSZ,O,O,X,O,X,X,X,X,X,X,O,X,O,O
IOTJLZS,O,O,X,O,X,X,X,X,X,O,X,O,X,O
IOTJSLZ,O,O,X,O,X,O,X,X,X,X,O,X,O,O
IOTJSZL,O,O,X,O,X,O,X,X,X,X,O,X,O,X
IOTJZLS,O,O,X,O,X,O,X,X,X,O,X,O,X,O
IOTJZSL,O,O,X,O,X,O,X,X,X,O,X,O,O,O
IOTSLJZ,X,O,X,X,X,O,X,X,X,X,O,X,O,O
IOTSLZJ,O,O,X,X,X,O,X,X,X,O,O,O,O,X
IOTSJLZ,X,O,X,O,X,O,X,X,X,X,O,X,O,O
IOTSJZL,X,O,X,O,X,O,X,X,X,X,O,X,O,X
IOTSZLJ,O,O,X,X,X,O,X,X,X,O,O,O,O,X
IOTSZJL,X,X,X,X,X,O,X,X,X,O,O,O,O,X
IOTZLJS,O,X,X,O,X,X,X,X,X,O,X,O,X,O
IOTZLSJ,O,X,X,X,X,O,X,X,X,O,X,O,X,O
IOTZJLS,O,X,X,O,X,O,X,X,X,O,X,O,X,O
IOTZJSL,O,X,X,O,X,O,X,X,X,O,X,O,O,O
IOTZSLJ,O,X,X,X,X,O,X,X,X,O,X,O,O,O
IOTZSJL,X,X,X,X,X,O,X,X,X,O,X,O,O,O
IOLTJSZ,O,O,X,O,X,X,X,X,X,X,O,X,X,O
IOLTJZS,O,O,X,X,X,X,X,X,X,X,X,O,X,O
IOLTSJZ,X,O,X,X,X,X,X,X,X,X,O,X,X,O
IOLTSZJ,O,O,X,X,X,X,X,X,X,X,O,O,X,X
IOLTZJS,O,X,X,X,X,X,X,X,X,O,X,O,X,O
IOLTZSJ,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IOLJTSZ,X,O,X,O,X,X,X,X,X,X,X,X,X,O
IOLJTZS,O,X,X,X,X,X,X,X,X,X,X,X,X,O
IOLJSTZ,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOLJSZT,O,O,X,O,X,X,X,X,X,X,X,X,X,X
IOLJZTS,O,O,X,X,X,X,X,X,X,O,X,X,X,X
IOLJZST,O,O,X,X,X,X,X,X,X,O,X,X,X,X
IOLSTJZ,X,O,X,X,X,X,X,X,X,X,O,X,X,X
IOLSTZJ,X,O,X,X,X,X,X,X,X,X,O,X,X,X
IOLSJTZ,X,O,X,X,X,X,X,X,X,X,O,X,X,X
IOLSJZT,X,O,X,X,X,X,X,X,X,X,O,X,X,X
IOLSZTJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLSZJT,O,O,X,X,X,X,X,X,X,O,O,X,X,X
IOLZTJS,O,X,X,X,X,X,X,X,X,O,X,O,X,X
IOLZTSJ,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IOLZJTS,O,X,X,X,X,X,X,X,X,O,X,O,X,X
IOLZJST,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IOLZSTJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLZSJT,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IOJTLSZ,X,O,X,O,X,X,X,X,X,X,X,X,O,O
IOJTLZS,O,X,X,O,X,X,X,X,X,X,X,X,X,O
IOJTSLZ,X,O,X,O,X,X,X,X,X,X,X,X,O,O
IOJTSZL,X,X,X,O,X,X,X,X,X,X,X,X,O,X
IOJTZLS,O,X,X,O,X,X,X,X,X,X,X,X,X,O
IOJTZSL,X,X,X,O,X,X,X,X,X,X,X,X,O,O
IOJLTSZ,X,O,X,O,X,X,X,X,X,X,X,X,X,O
IOJLTZS,O,X,X,X,X,X,X,X,X,X,X,X,X,O
IOJLSTZ,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOJLSZT,O,O,X,O,X,X,X,X,X,X,X,X,X,X
IOJLZTS,O,O,X,X,X,X,X,X,X,O,X,X,X,X
IOJLZST,O,O,X,X,X,X,X,X,X,O,X,X,X,X
IOJSTLZ,X,O,X,O,X,X,X,X,X,X,X,X,O,O
IOJSTZL,X,X,X,O,X,X,X,X,X,X,X,X,O,X
IOJSLTZ,X,O,X,O,X,X,X,X,X,X,X,X,O,X
IOJSLZT,O,O,X,O,X,O,X,X,X,X,X,X,X,X
IOJSZTL,X,X,X,O,X,O,X,X,X,X,X,X,X,X
IOJSZLT,O,O,X,O,X,O,X,X,X,X,X,X,X,X
IOJZTLS,O,O,X,X,X,X,X,X,X,O,X,X,X,O
IOJZTSL,X,O,X,O,X,O,X,X,X,X,X,X,X,X
IOJZLTS,O,O,X,X,X,X,X,X,X,O,X,X,X,X
IOJZLST,O,O,X,O,X,O,X,X,X,O,X,X,X,X
IOJZSTL,X,O,X,O,X,O,X,X,X,X,X,X,X,X
IOJZSLT,O,O,X,O,X,O,X,X,X,O,X,X,X,X
IOSTLJZ,X,O,X,X,X,O,X,X,X,X,O,X,O,O
IOSTLZJ,X,O,X,X,X,O,X,X,X,X,O,X,O,X
IOSTJLZ,X,O,X,O,X,O,X,X,X,X,O,X,O,O
IOSTJZL,X,O,X,O,X,O,X,X,X,X,O,X,O,X
IOSTZLJ,X,O,X,X,X,O,X,X,X,X,O,X,O,X
IOSTZJL,X,X,X,X,X,O,X,X,X,X,O,X,O,X
IOSLTJZ,X,O,X,X,X,O,X,X,X,X,O,X,O,X
IOSLTZJ,X,O,X,X,X,O,X,X,X,X,O,X,O,X
IOSLJTZ,X,O,X,X,X,X,X,X,X,X,O,X,O,X
IOSLJZT,X,O,X,X,X,O,X,X,X,X,O,X,X,X
IOSLZTJ,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IOSLZJT,O,O,X,X,X,O,X,X,X,O,O,X,X,X
IOSJTLZ,X,O,X,O,X,X,X,X,X,X,O,X,O,O
IOSJTZL,X,X,X,O,X,X,X,X,X,X,X,X,O,X
IOSJLTZ,X,O,X,O,X,X,X,X,X,X,O,X,O,X
IOSJLZT,X,O,X,O,X,O,X,X,X,X,O,X,X,X
IOSJZTL,X,X,X,O,X,O,X,X,X,X,X,X,X,X
IOSJZLT,X,O,X,O,X,O,X,X,X,X,O,X,X,X
IOSZTLJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOSZTJL,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOSZLTJ,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IOSZLJT,O,O,X,X,X,O,X,X,X,O,O,X,X,X
IOSZJTL,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOSZJLT,X,X,X,X,X,O,X,X,X,O,O,X,X,X
IOZTLJS,O,X,X,X,X,X,X,X,X,O,X,O,X,O
IOZTLSJ,O,X,X,X,X,O,X,X,X,O,X,O,X,X
IOZTJLS,O,X,X,X,X,O,X,X,X,O,X,O,X,O
IOZTJSL,O,X,X,O,X,O,X,X,X,O,X,O,X,X
IOZTSLJ,O,X,X,X,X,O,X,X,X,O,X,O,X,X
IOZTSJL,X,X,X,X,X,O,X,X,X,O,X,O,X,X
IOZLTJS,O,X,X,X,X,X,X,X,X,O,X,O,X,X
IOZLTSJ,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IOZLJTS,O,X,X,X,X,X,X,X,X,O,X,O,X,X
IOZLJST,O,X,X,O,X,X,X,X,X,O,X,X,X,X
IOZLSTJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IOZLSJT,O,X,X,X,X,O,X,X,X,O,X,X,X,X
IOZJTLS,O,X,X,X,X,X,X,X,X,O,X,O,X,O
IOZJTSL,X,X,X,O,X,O,X,X,X,O,X,O,X,X
IOZJLTS,O,X,X,X,X,X,X,X,X,O,X,O,X,X
IOZJLST,O,X,X,O,X,O,X,X,X,O,X,X,X,X
IOZJSTL,X,X,X,O,X,O,X,X,X,X,X,X,X,X
IOZJSLT,O,X,X,O,X,O,X,X,X,O,X,X,X,X
IOZSTLJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOZSTJL,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOZSLTJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IOZSLJT,O,X,X,X,X,O,X,X,X,O,X,X,X,X
IOZSJTL,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOZSJLT,X,X,X,X,X,O,X,X,X,O,X,X,X,X
LTIJSZO,O,O,O,O,X,O,X,O,O,X,X,X,O,O
LTIJSOZ,O,O,O,O,O,X,O,O,O,X,X,X,O,O
LTIJZSO,O,O,O,O,O,X,X,O,O,O,X,O,X,O
LTIJZOS,O,O,O,O,O,X,O,O,O,O,X,O,X,O
LTIJOSZ,O,O,O,O,O,X,O,O,O,X,X,X,O,O
LTIJOZS,O,O,O,O,O,X,O,O,O,X,X,O,X,O
LTISJZO,O,X,O,X,X,O,O,O,O,X,X,X,O,O
LTISJOZ,O,X,O,X,O,X,O,O,O,X,X,X,O,O
LTISZJO,O,X,O,X,O,O,X,O,X,O,X,O,O,O
LTISZOJ,O,X,O,X,O,O,X,O,X,X,X,O,O,O
LTISOJZ,O,X,X,X,O,X,O,O,O,X,X,X,O,O
LTISOZJ,O,X,O,X,O,X,X,O,X,X,X,O,O,X
LTIZJSO,X,O,O,O,O,X,X,X,O,O,X,O,X,O
LTIZJOS,X,O,O,O,O,X,X,X,O,O,X,O,X,O
LTIZSJO,X,O,O,O,O,X,X,X,X,O,X,O,X,O
LTIZSOJ,X,O,O,O,O,X,X,X,X,X,X,O,X,O
LTIZOJS,X,X,X,O,O,X,X,X,O,O,X,O,X,O
LTIZOSJ,X,X,X,X,O,X,X,X,X,X,X,O,X,O
LTIOJSZ,O,O,X,O,O,X,O,O,O,X,X,X,O,O
LTIOJZS,O,O,X,O,O,X,O,O,O,O,X,O,X,O
LTIOSJZ,X,O,X,X,O,X,O,O,O,X,X,X,O,O
LTIOSZJ,O,O,X,X,O,X,X,O,X,O,X,O,O,X
LTIOZJS,O,X,X,O,O,X,X,X,O,O,X,O,X,O
LTIOZSJ,O,X,X,X,O,X,X,X,X,O,X,O,X,O
LTJISZO,O,O,O,O,X,O,O,O,O,X,X,X,X,O
LTJISOZ,O,O,O,O,O,X,O,O,O,X,X,X,X,O
LTJIZSO,O,O,O,O,O,O,X,O,O,O,X,X,X,O
LTJIZOS,O,O,O,O,O,X,O,O,O,O,X,X,X,O
LTJIOSZ,O,O,O,O,O,X,O,O,O,X,X,X,X,O
LTJIOZS,O,O,O,O,O,X,O,O,O,X,X,X,X,O
LTJSIZO,O,O,O,O,X,O,O,O,O,X,X,X,O,X
LTJSIOZ,O,O,O,O,O,X,O,O,O,X,X,X,O,X
LTJSZIO,O,O,O,O,X,O,O,O,O,X,X,X,X,X
LTJSZOI,O,O,O,O,X,O,O,O,O,X,X,X,X,X
LTJSOIZ,O,O,O,O,O,X,O,O,O,X,X,X,O,X
LTJSOZI,O,O,O,O,O,O,O,O,O,X,X,X,X,X
LTJZISO,O,O,O,O,O,O,X,O,O,O,X,O,X,O
LTJZIOS,O,O,O,O,O,X,O,O,O,O,X,O,X,O
LTJZSIO,O,O,O,O,O,O,X,O,O,O,X,X,X,X
LTJZSOI,O,O,O,O,O,O,X,O,O,X,X,X,X,X
LTJZOIS,O,O,O,O,O,X,O,O,O,O,X,O,X,O
LTJZOSI,O,O,O,O,O,X,O,O,O,X,X,X,X,X
LTJOISZ,O,O,O,O,O,X,O,O,O,X,O,X,X,X
LTJOIZS,O,O,O,O,O,X,O,O,O,O,X,X,X,X
LTJOSIZ,O,O,O,O,O,O,O,O,O,X,O,X,O,X
LTJOSZI,O,O,O,O,O,O,O,O,O,X,O,X,X,X
LTJOZIS,O,O,O,O,O,O,O,O,O,O,X,O,X,X
LTJOZSI,O,O,O,O,O,O,O,O,O,O,O,X,X,X
LTSIJZO,O,X,O,X,X,O,O,O,O,X,X,X,O,O
LTSIJOZ,O,X,O,X,O,X,O,O,O,X,X,X,O,O
LTSIZJO,O,X,O,X,O,O,X,O,X,O,X,X,O,O
LTSIZOJ,O,X,O,X,O,O,X,O,X,X,X,X,O,O
LTSIOJZ,O,X,X,X,O,X,O,O,O,X,X,X,O,O
LTSIOZJ,O,X,O,X,O,X,X,O,X,X,X,X,O,X
LTSJIZO,O,O,O,O,X,O,O,O,O,X,X,X,O,X
LTSJIOZ,O,O,O,O,O,X,O,O,O,X,X,X,O,X
LTSJZIO,O,O,O,O,X,O,O,O,O,X,X,X,X,X
LTSJZOI,O,O,O,O,X,O,O,O,O,X,X,X,X,X
LTSJOIZ,O,O,O,O,O,X,O,O,O,X,X,X,O,X
LTSJOZI,O,O,O,O,O,O,O,O,O,X,X,X,X,X
LTSZIJO,O,O,O,O,O,O,X,O,X,O,X,X,O,O
LTSZIOJ,O,O,O,O,O,O,X,O,X,X,X,X,O,O
LTSZJIO,O,O,O,O,O,O,O,O,X,O,X,X,X,X
LTSZJOI,O,O,O,O,O,O,O,O,X,X,X,X,X,X
LTSZOIJ,O,O,O,O,O,O,X,O,X,X,X,X,O,O
LTSZOJI,O,O,O,O,O,O,O,O,X,X,X,X,X,X
LTSOIJZ,O,O,X,X,O,X,O,O,O,X,X,X,O,X
LTSOIZJ,O,O,O,X,O,X,X,O,X,O,X,X,O,X
LTSOJIZ,O,O,O,O,O,X,O,O,O,X,X,X,O,X
LTSOJZI,O,O,O,O,O,O,O,O,O,X,X,X,X,X
LTSOZIJ,O,O,O,X,O,O,X,O,X,O,X,X,O,X
LTSOZJI,O,O,O,O,O,O,O,O,X,O,X,X,X,X
LTZIJSO,X,O,O,O,O,X,X,X,O,O,X,O,X,O
LTZIJOS,X,O,O,O,O,X,X,X,O,O,X,O,X,O
LTZISJO,X,O,O,O,O,O,X,X,X,O,X,O,X,O
LTZISOJ,X,O,O,O,O,O,X,X,X,X,X,O,X,O
LTZIOJS,X,X,X,O,O,X,X,X,O,O,X,O,X,O
LTZIOSJ,X,X,X,X,O,X,X,X,X,X,X,O,X,O
LTZJISO,O,O,O,O,O,O,X,O,O,O,X,O,X,O
LTZJIOS,O,O,O,O,O,X,O,O,O,O,X,O,X,O
LTZJSIO,O,O,O,O,O,O,X,O,O,O,X,X,X,X
LTZJSOI,O,O,O,O,O,O,X,O,O,X,X,X,X,X
LTZJOIS,O,O,O,O,O,X,O,O,O,O,X,O,X,O
LTZJOSI,O,O,O,O,O,X,O,O,O,X,X,X,X,X
LTZSIJO,O,O,O,O,O,O,X,O,X,O,X,X,O,O
LTZSIOJ,O,O,O,O,O,O,X,O,X,X,X,X,O,O
LTZSJIO,O,O,O,O,O,O,O,O,X,O,X,X,X,X
LTZSJOI,O,O,O,O,O,O,O,O,X,X,X,X,X,X
LTZSOIJ,O,O,O,O,O,O,X,O,X,X,X,X,O,O
LTZSOJI,O,O,O,O,O,O,O,O,X,X,X,X,X,X
LTZOIJS,O,O,X,O,O,X,X,X,O,O,X,O,X,O
LTZOISJ,O,O,X,X,O,X,X,X,X,O,X,O,X,O
LTZOJIS,O,O,O,O,O,X,O,O,O,O,X,O,X,O
LTZOJSI,O,O,O,O,O,X,O,O,O,O,X,X,X,X
LTZOSIJ,O,O,O,O,O,X,X,O,X,O,X,X,O,O
LTZOSJI,O,O,O,O,O,X,O,O,X,O,X,X,X,X
LTOIJSZ,O,O,X,O,O,X,O,O,O,X,O,X,O,O
LTOIJZS,O,O,X,O,O,X,O,O,O,O,X,O,X,O
LTOISJZ,X,O,X,X,O,X,O,O,O,X,O,X,O,O
LTOISZJ,O,O,X,X,O,X,X,O,X,O,O,O,O,X
LTOIZJS,O,X,X,O,O,X,X,X,O,O,X,O,X,O
LTOIZSJ,O,X,X,X,O,X,X,X,X,O,X,O,X,O
LTOJISZ,O,O,O,O,O,X,O,O,O,X,O,X,X,X
LTOJIZS,O,O,O,O,O,X,O,O,O,O,X,X,X,X
LTOJSIZ,O,O,O,O,O,O,O,O,O,X,O,X,O,X
LTOJSZI,O,O,O,O,O,O,O,O,O,X,O,X,X,X
LTOJZIS,O,O,O,O,O,O,O,O,O,O,X,O,X,X
LTOJZSI,O,O,O,O,O,O,O,O,O,O,O,X,X,X
LTOSIJZ,O,O,X,X,O,O,O,O,O,X,O,X,O,X
LTOSIZJ,O,O,O,X,O,O,X,O,X,O,O,X,O,X
LTOSJIZ,O,O,O,O,O,O,O,O,O,X,O,X,O,X
LTOSJZI,O,O,O,O,O,O,O,O,O,X,O,X,X,X
LTOSZIJ,O,O,O,X,O,O,X,O,X,O,O,X,O,X
LTOSZJI,O,O,O,O,O,O,O,O,X,O,O,X,X,X
LTOZIJS,O,X,X,O,O,X,X,X,O,O,X,O,X,O
LTOZISJ,O,X,X,X,O,O,X,X,X,O,X,O,X,O
LTOZJIS,O,O,O,O,O,O,O,O,O,O,X,O,X,O
LTOZJSI,O,O,O,O,O,O,O,O,O,O,O,X,X,X
LTOZSIJ,O,O,O,O,O,O,X,O,X,O,O,X,O,O
LTOZSJI,O,O,O,O,O,O,O,O,X,O,O,X,X,X
LITJSZO,O,O,O,X,X,O,X,O,O,X,X,X,O,O
LITJSOZ,O,O,O,X,O,X,O,O,O,X,X,X,O,O
LITJZSO,O,O,O,X,O,X,X,O,O,X,X,O,X,O
LITJZOS,O,O,O,X,O,X,O,O,O,X,X,O,X,O
LITJOSZ,O,O,O,X,O,X,O,O,O,X,X,X,O,O
LITJOZS,O,O,O,X,O,X,O,O,O,X,X,O,X,O
LITSJZO,O,X,O,X,X,O,O,O,O,X,X,X,O,O
LITSJOZ,O,X,O,X,O,X,O,O,O,X,X,X,O,O
LITSZJO,O,X,O,X,O,O,X,O,X,X,X,O,O,O
LITSZOJ,O,X,O,X,O,O,X,O,X,X,X,O,O,O
LITSOJZ,O,X,X,X,O,X,O,O,O,X,X,X,O,O
LITSOZJ,O,X,O,X,O,X,X,O,X,X,X,O,O,X
LITZJSO,X,O,O,X,O,X,X,X,O,X,X,O,X,O
LITZJOS,X,O,O,X,O,X,X,X,O,X,X,O,X,O
LITZSJO,X,O,O,X,O,X,X,X,X,X,X,O,X,O
LITZSOJ,X,O,O,X,O,X,X,X,X,X,X,O,X,O
LITZOJS,X,X,X,X,O,X,X,X,O,X,X,O,X,O
LITZOSJ,X,X,X,X,O,X,X,X,X,X,X,O,X,O
LITOJSZ,O,O,X,X,O,X,O,O,O,X,X,X,O,O
LITOJZS,O,O,X,X,O,X,O,O,O,X,X,O,X,O
LITOSJZ,X,O,X,X,O,X,O,O,O,X,X,X,O,O
LITOSZJ,O,O,X,X,O,X,X,O,X,X,X,O,O,X
LITOZJS,O,X,X,X,O,X,X,X,O,X,X,O,X,O
LITOZSJ,O,X,X,X,O,X,X,X,X,X,X,O,X,O
LIJTSZO,O,X,O,X,X,X,X,O,O,X,X,X,O,O
LIJTSOZ,X,X,X,X,O,X,O,O,O,X,X,X,O,O
LIJTZSO,X,O,O,X,O,X,X,O,O,X,X,O,X,O
LIJTZOS,X,X,X,X,O,X,O,O,O,X,X,O,X,O
LIJTOSZ,X,O,X,X,O,X,O,O,O,X,X,X,O,O
LIJTOZS,O,X,X,X,O,X,O,O,O,X,X,O,X,O
LIJSTZO,O,X,O,X,X,X,X,O,O,X,X,X,O,X
LIJSTOZ,X,X,X,X,O,X,O,O,O,X,X,X,O,X
LIJSZTO,O,O,O,X,X,O,X,O,O,X,X,X,O,X
LIJSZOT,O,O,O,X,X,O,X,X,X,X,X,X,X,X
LIJSOTZ,O,O,X,X,X,X,X,O,X,X,X,X,O,X
LIJSOZT,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LIJZTSO,X,O,O,X,O,X,X,O,O,X,X,O,X,X
LIJZTOS,X,X,X,X,O,X,O,O,O,X,X,O,X,X
LIJZSTO,O,O,O,X,O,X,X,O,O,X,X,O,X,X
LIJZSOT,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LIJZOTS,O,X,X,X,O,X,X,X,O,X,X,O,X,X
LIJZOST,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LIJOTSZ,X,O,X,X,O,X,O,O,O,X,X,X,X,O
