sequence,v115@9gB8HeC8GeB8HeB8EeC8Je3BJvhFCjBcqBVsBToBml?BRwB,v115@9gB8HeC8GeB8HeB8EeC8JemAJvhF6oBcqB3mBznBFn?BRwB,v115@9gB8HeC8GeB8HeB8EeC8JelAJvhFzhBGjBUoBxqBXs?ByvB,v115@9gB8HeC8GeB8HeB8EeC8JexAJvhFOnBXjBStBTqB0r?BFrB,v115@9gB8HeC8GeB8HeB8EeC8Je0AJvhF+oBRnBimB3nBTq?B1wB,v115@9gB8HeC8GeB8HeB8EeC8Je0AJvhFFiBTjBfsBWtByq?BxvB,v115@9gB8HeC8GeB8HeB8EeC8JelAJvhFRiB+oB3nBTqB0r?BirB,v115@9gB8HeC8GeB8HeB8EeC8JexAJvhFVnBUmBXoBGoBTq?BywB,v115@9gB8HeC8GeB8HeB8EeC8JefIJvhF6oBRmBmlBUnBTq?B1wB,v115@9gB8HeC8GeB8HeB8EeC8JexAJvhFziB+oB3lByvBFs?B8rB,v115@9gB8HeC8GeB8HeB8EeC8JexAJvhFUmBFnBXoBGoBTq?BywB,v115@9gB8HeC8GeB8HeB8EeC8JemAJvhFcqB3mBCoBFnBTo?BRwB,v115@9gB8HeC8GeB8HeB8EeC8JezCJvhF+oBRmBilBUnB3q?B1wB,v115@9gB8HeC8GeB8HeB8EeC8JeWIJvhFRmBlmBToBiqBXs?B0qB,v115@9gB8HeC8GeB8HeB8EeC8JeRGJvhFCoB3lBFnBToB0r?B2vB,v115@9gB8HeC8GeB8HeB8EeC8JeTDJvhFGmBiqBxsBcsBlq?B3rB,v115@9gB8HeC8GeB8HeB8EeC8JeVGJvhFUiBXoBGoBxqByw?BTqB
IZLTJSO,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
IZLTJOS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZLTSJO,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
IZLTSOJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZLTOJS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZLTOSJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZLJTSO,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
IZLJTOS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
IZLJSTO,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X
IZLJSOT,X,O,X,X,X,O,X,X,X,X,X,O,X,X,O,O,X
IZLJOTS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
IZLJOST,X,O,X,X,X,O,X,X,X,X,X,O,X,X,O,O,X
IZLSTJO,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X
IZLSTOJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZLSJTO,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X
IZLSJOT,X,O,X,O,X,O,X,X,X,X,X,O,X,X,O,X,X
IZLSOTJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZLSOJT,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
IZLOTJS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZLOTSJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZLOJTS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
IZLOJST,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X
IZLOSTJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZLOSJT,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
IZJTLSO,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
IZJTLOS,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZJTSLO,X,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X
IZJTSOL,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IZJTOLS,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZJTOSL,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IZJLTSO,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X
IZJLTOS,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
IZJLSTO,X,X,X,X,O,O,X,X,X,X,X,O,X,X,O,X,X
IZJLSOT,X,O,X,X,O,O,X,X,X,X,X,O,X,X,O,X,X
IZJLOTS,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
IZJLOST,X,O,X,X,O,O,X,X,X,X,X,O,X,X,O,X,X
IZJSTLO,X,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X
IZJSTOL,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IZJSLTO,X,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X
IZJSLOT,X,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X
IZJSOTL,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IZJSOLT,X,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X
IZJOTLS,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZJOTSL,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IZJOLTS,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZJOLST,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X
IZJOSTL,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IZJOSLT,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X
IZSTLJO,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IZSTLOJ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSTJLO,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IZSTJOL,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZSTOLJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSTOJL,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZSLTJO,X,X,O,X,X,O,X,X,X,X,X,O,X,X,O,X,X
IZSLTOJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZSLJTO,X,X,O,X,X,O,X,X,X,X,X,O,X,X,O,X,X
IZSLJOT,X,O,O,X,X,O,X,X,X,X,X,O,X,X,O,X,X
IZSLOTJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZSLOJT,X,O,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X
IZSJTLO,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IZSJTOL,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZSJLTO,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IZSJLOT,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IZSJOTL,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZSJOLT,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IZSOTLJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSOTJL,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZSOLTJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSOLJT,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZSOJTL,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZSOJLT,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IZOTLJS,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOTLSJ,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
IZOTJLS,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZOTJSL,O,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
IZOTSLJ,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IZOTSJL,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IZOLTJS,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IZOLTSJ,O,O,X,O,X,X,X,O,X,X,O,X,X,X,O,X,X
IZOLJTS,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X
IZOLJST,X,O,X,O,X,X,X,X,X,X,X,O,X,X,O,O,X
IZOLSTJ,O,O,X,O,X,X,X,O,X,X,O,X,X,X,O,X,X
IZOLSJT,X,O,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X
IZOJTLS,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZOJTSL,O,O,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X
IZOJLTS,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZOJLST,X,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X
IZOJSTL,X,O,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X
IZOJSLT,X,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X
IZOSTLJ,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IZOSTJL,O,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X
IZOSLTJ,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
IZOSLJT,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
IZOSJTL,X,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X
IZOSJLT,X,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
IOTLJSZ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOTLJZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOTLSJZ,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IOTLSZJ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOTLZJS,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTLZSJ,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IOTJLSZ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOTJLZS,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOTJSLZ,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
IOTJSZL,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOTJZLS,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOTJZSL,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOTSLJZ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOTSLZJ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOTSJLZ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOTSJZL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTSZLJ,O,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
IOTSZJL,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IOTZLJS,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTZLSJ,O,O,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X
IOTZJLS,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOTZJSL,O,O,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X
IOTZSLJ,O,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
IOTZSJL,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IOLTJSZ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOLTJZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOLTSJZ,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IOLTSZJ,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IOLTZJS,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IOLTZSJ,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
IOLJTSZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLJTZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOLJSTZ,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IOLJSZT,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IOLJZTS,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IOLJZST,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IOLSTJZ,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IOLSTZJ,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IOLSJTZ,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IOLSJZT,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IOLSZTJ,O,O,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X
IOLSZJT,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
IOLZTJS,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IOLZTSJ,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
IOLZJTS,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
IOLZJST,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X
IOLZSTJ,O,O,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X
IOLZSJT,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
IOJTLSZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJTLZS,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJTSLZ,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IOJTSZL,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
IOJTZLS,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJTZSL,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
IOJLTSZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJLTZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOJLSTZ,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X
IOJLSZT,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X
IOJLZTS,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X
IOJLZST,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X
IOJSTLZ,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IOJSTZL,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IOJSLTZ,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
IOJSLZT,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IOJSZTL,X,O,X,X,O,O,O,O,X,X,O,X,X,X,X,X,X
IOJSZLT,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
IOJZTLS,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJZTSL,O,O,X,X,O,O,O,O,X,X,O,X,X,X,X,X,X
IOJZLTS,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJZLST,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
IOJZSTL,X,O,X,X,O,O,O,O,X,X,O,X,X,X,X,X,X
IOJZSLT,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X
IOSTLJZ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOSTLZJ,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IOSTJLZ,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IOSTJZL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOSTZLJ,O,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
IOSTZJL,O,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X
IOSLTJZ,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IOSLTZJ,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IOSLJTZ,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IOSLJZT,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IOSLZTJ,O,O,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X
IOSLZJT,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
IOSJTLZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOSJTZL,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOSJLTZ,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IOSJLZT,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOSJZTL,X,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X
IOSJZLT,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOSZTLJ,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IOSZTJL,O,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X
IOSZLTJ,O,O,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X
IOSZLJT,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
IOSZJTL,X,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X
IOSZJLT,X,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
IOZTLJS,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZTLSJ,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
IOZTJLS,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOZTJSL,O,O,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X
IOZTSLJ,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IOZTSJL,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IOZLTJS,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IOZLTSJ,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
IOZLJTS,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
IOZLJST,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X
IOZLSTJ,O,O,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X
IOZLSJT,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
IOZJTLS,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOZJTSL,O,O,X,X,O,O,O,O,X,X,O,X,X,X,X,X,X
IOZJLTS,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOZJLST,X,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X
IOZJSTL,X,O,X,X,O,O,O,O,X,X,O,X,X,X,X,X,X
IOZJSLT,X,O,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X
IOZSTLJ,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IOZSTJL,O,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X
IOZSLTJ,O,O,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X
IOZSLJT,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
IOZSJTL,X,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X
IOZSJLT,X,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
LTIJSZO,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O
LTIJSOZ,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
LTIJZSO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
LTIJZOS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LTIJOSZ,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
LTIJOZS,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X
LTISJZO,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O
LTISJOZ,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X
LTISZJO,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,O
LTISZOJ,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O
LTISOJZ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTISOZJ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
LTIZJSO,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O
LTIZJOS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIZSJO,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,O
LTIZSOJ,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O
LTIZOJS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIZOSJ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
LTIOJSZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIOJZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LTIOSJZ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTIOSZJ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
LTIOZJS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIOZSJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
LTJISZO,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
LTJISOZ,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
LTJIZSO,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTJIZOS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
LTJIOSZ,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
LTJIOZS,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X
LTJSIZO,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
LTJSIOZ,X,X,X,X,X,X,O,X,O,O,X,X,O,X,X,X,X
LTJSZIO,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
LTJSZOI,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
LTJSOIZ,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
LTJSOZI,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJZISO,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X
LTJZIOS,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTJZSIO,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
LTJZSOI,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
LTJZOIS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJZOSI,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJOISZ,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
LTJOIZS,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LTJOSIZ,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X
LTJOSZI,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
LTJOZIS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJOZSI,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
LTSIJZO,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,O
LTSIJOZ,X,X,X,O,X,X,X,X,O,O,X,X,O,O,X,X,X
LTSIZJO,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O
LTSIZOJ,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O
LTSIOJZ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTSIOZJ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
LTSJIZO,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X
LTSJIOZ,X,X,X,O,X,X,X,X,O,O,X,X,O,O,X,X,X
LTSJZIO,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
LTSJZOI,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
LTSJOIZ,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X
LTSJOZI,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
LTSZIJO,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
LTSZIOJ,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
LTSZJIO,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
LTSZJOI,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
LTSZOIJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTSZOJI,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTSOIJZ,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LTSOIZJ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTSOJIZ,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X
LTSOJZI,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
LTSOZIJ,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
LTSOZJI,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
LTZIJSO,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X
LTZIJOS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
LTZISJO,X,X,X,X,X,X,X,O,O,X,X,O,X,X,O,X,X
LTZISOJ,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X
LTZIOJS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
LTZIOSJ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
LTZJISO,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X
LTZJIOS,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTZJSIO,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
LTZJSOI,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
LTZJOIS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZJOSI,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTZSIJO,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
LTZSIOJ,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
LTZSJIO,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
LTZSJOI,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
LTZSOIJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTZSOJI,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTZOIJS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZOISJ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTZOJIS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZOJSI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZOSIJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
