sequence,v115@MhB8HeB8BeB8CeF8Jel/IvhFRhBunBcoB/pBKqBzqB,v115@MhB8HeB8BeB8CeF8JeRBJvhFqnBTjB/pBFlB8qBmpB,v115@MhB8HeB8BeB8CeF8JeT/IvhF2lBRhBCjBXoB0pBlqB,v115@MhB8HeB8BeB8CeF8Jei/IvhFRhBGjB1pB8qBznBXqB,v115@MhB8HeB8BeB8CeF8Jel/IvhFRhBqnBTjB2pB8qBXqB,v115@MhB8HeB8BeB8CeF8JeRBJvhFCjB2pBzlBXoBUqBlpB,v115@MhB8HeB8BeB8CeF8JeKEJvhFRhBWoBFlB8qBXoBzpB
TOILZSJ,O,X,X,O,X,X,X
TOIJLSZ,X,X,X,O,X,X,X
TOIJLZS,X,X,X,O,X,X,X
TOIJSLZ,X,X,O,O,X,O,X
TOIJSZL,X,X,O,X,X,O,X
TOIJZLS,X,X,O,O,X,X,X
TOIJZSL,X,X,O,O,X,X,X
TOISLJZ,O,X,O,O,X,O,X
TOISLZJ,O,X,O,X,X,X,X
TOISJLZ,X,X,O,O,X,O,X
TOISJZL,X,X,O,X,X,O,X
TOISZLJ,O,X,O,X,X,X,X
TOISZJL,O,X,O,X,X,X,X
TOIZLJS,O,X,O,O,X,X,X
TOIZLSJ,O,X,O,O,X,X,X
TOIZJLS,O,X,O,O,X,X,X
TOIZJSL,O,X,O,O,X,X,X
TOIZSLJ,O,X,O,O,X,X,X
TOIZSJL,O,X,O,O,X,X,X
TOLIJSZ,X,X,X,O,O,X,X
TOLIJZS,X,X,X,O,O,X,X
TOLISJZ,O,X,X,O,X,X,X
TOLISZJ,O,O,X,X,X,X,X
TOLIZJS,O,X,X,O,O,X,X
TOLIZSJ,O,O,X,O,X,X,X
TOLJISZ,X,X,X,O,O,X,X
TOLJIZS,X,X,X,O,O,X,X
TOLJSIZ,X,X,X,O,O,X,X
TOLJSZI,X,X,X,O,O,X,X
TOLJZIS,X,X,X,O,O,X,X
TOLJZSI,X,X,X,O,O,X,X
TOLSIJZ,O,X,X,O,X,X,X
TOLSIZJ,O,O,X,X,X,X,X
TOLSJIZ,O,X,X,O,X,X,X
TOLSJZI,O,X,X,O,X,X,X
TOLSZIJ,O,O,X,O,X,X,X
TOLSZJI,O,O,X,O,X,X,X
TOLZIJS,O,X,X,O,O,X,X
TOLZISJ,O,O,X,O,X,X,X
TOLZJIS,O,X,X,O,O,X,X
TOLZJSI,O,X,X,O,O,X,X
TOLZSIJ,O,O,X,O,X,X,X
TOLZSJI,O,O,X,O,X,X,X
TOJILSZ,X,X,X,O,O,X,X
TOJILZS,X,X,X,O,O,X,X
TOJISLZ,X,X,O,O,X,O,X
TOJISZL,X,X,O,X,X,O,X
TOJIZLS,X,X,O,O,O,X,X
TOJIZSL,X,X,O,O,X,X,X
TOJLISZ,X,X,X,O,O,X,X
TOJLIZS,X,X,X,O,O,X,X
TOJLSIZ,X,X,X,O,O,X,X
TOJLSZI,X,X,X,O,O,X,X
TOJLZIS,X,X,X,O,O,X,X
TOJLZSI,X,X,X,O,O,X,X
TOJSILZ,X,X,O,O,X,O,X
TOJSIZL,X,X,O,X,X,O,X
TOJSLIZ,X,X,O,O,O,O,X
TOJSLZI,X,X,O,O,O,O,X
TOJSZIL,X,X,O,O,X,O,X
TOJSZLI,X,X,O,O,O,O,X
TOJZILS,X,X,O,O,O,X,X
TOJZISL,X,X,O,O,X,X,X
TOJZLIS,X,X,O,O,O,X,X
TOJZLSI,X,X,O,O,O,X,X
TOJZSIL,X,X,O,O,X,X,X
TOJZSLI,X,X,O,O,O,X,X
TOSILJZ,O,X,O,O,X,O,X
TOSILZJ,O,X,O,X,X,X,X
TOSIJLZ,X,X,O,O,X,O,X
TOSIJZL,X,X,O,X,X,O,X
TOSIZLJ,O,X,O,X,X,X,X
TOSIZJL,O,X,O,X,X,X,X
TOSLIJZ,O,X,O,O,X,O,X
TOSLIZJ,O,O,O,X,X,X,X
TOSLJIZ,O,X,O,O,X,O,X
TOSLJZI,O,X,O,O,X,O,X
TOSLZIJ,O,O,O,O,X,X,X
TOSLZJI,O,O,O,O,X,X,X
TOSJILZ,X,X,O,O,X,O,X
TOSJIZL,X,X,O,X,X,O,X
TOSJLIZ,X,X,O,O,X,O,X
TOSJLZI,X,X,O,O,X,O,X
TOSJZIL,X,X,O,O,X,O,X
TOSJZLI,X,X,O,O,X,O,X
TOSZILJ,O,O,O,O,X,X,X
TOSZIJL,O,X,O,O,X,X,X
TOSZLIJ,O,O,O,O,X,X,X
TOSZLJI,O,O,O,O,X,X,X
TOSZJIL,O,X,O,O,X,X,X
TOSZJLI,O,O,O,O,X,X,X
TOZILJS,O,X,O,O,X,X,X
TOZILSJ,O,X,O,O,X,X,X
TOZIJLS,O,X,O,O,X,X,X
TOZIJSL,O,X,O,O,X,X,X
TOZISLJ,O,X,O,O,X,X,X
TOZISJL,O,X,O,O,X,X,X
TOZLIJS,O,X,O,O,O,X,X
TOZLISJ,O,O,O,O,X,X,X
TOZLJIS,O,X,O,O,O,X,X
TOZLJSI,O,X,O,O,O,X,X
TOZLSIJ,O,O,O,O,X,X,X
TOZLSJI,O,O,O,O,X,X,X
TOZJILS,O,X,O,O,O,X,X
TOZJISL,O,X,O,O,X,X,X
TOZJLIS,O,X,O,O,O,X,X
TOZJLSI,O,X,O,O,O,X,X
TOZJSIL,O,X,O,O,X,X,X
TOZJSLI,O,X,O,O,O,X,X
TOZSILJ,O,O,O,O,X,X,X
TOZSIJL,O,X,O,O,X,X,X
TOZSLIJ,O,O,O,O,X,X,X
TOZSLJI,O,O,O,O,X,X,X
TOZSJIL,O,X,O,O,X,X,X
TOZSJLI,O,O,O,O,X,X,X
ITLJSZO,X,X,O,O,X,X,X
ITLJSOZ,X,X,O,O,O,X,X
ITLJZSO,X,X,O,O,X,X,O
ITLJZOS,X,X,O,O,O,X,O
ITLJOSZ,X,X,X,O,O,X,X
ITLJOZS,X,X,X,O,O,X,X
ITLSJZO,O,X,O,O,X,X,X
ITLSJOZ,X,X,O,O,X,X,X
ITLSZJO,O,O,O,X,X,X,X
ITLSZOJ,O,O,O,X,X,X,X
ITLSOJZ,X,X,O,O,X,X,X
ITLSOZJ,O,O,O,X,X,X,X
ITLZJSO,O,X,O,O,O,X,O
ITLZJOS,X,X,O,O,O,X,O
ITLZSJO,O,O,O,O,X,X,O
ITLZSOJ,O,O,O,O,X,X,X
ITLZOJS,X,X,O,O,O,X,O
ITLZOSJ,X,O,O,O,X,X,X
ITLOJSZ,X,X,X,O,O,X,X
ITLOJZS,X,X,X,O,O,X,X
ITLOSJZ,X,X,X,O,X,X,X
ITLOSZJ,X,O,X,X,X,X,X
ITLOZJS,X,X,X,O,O,X,X
ITLOZSJ,X,O,X,O,X,X,X
ITJLSZO,X,X,O,O,X,X,X
ITJLSOZ,X,X,O,O,O,X,X
ITJLZSO,X,X,O,O,X,X,O
ITJLZOS,X,X,O,O,O,X,O
ITJLOSZ,X,X,X,O,O,X,X
ITJLOZS,X,X,X,O,O,X,X
ITJSLZO,X,X,O,O,X,X,X
ITJSLOZ,X,X,O,O,O,X,X
ITJSZLO,X,X,O,X,X,X,X
ITJSZOL,X,X,O,X,X,X,X
ITJSOLZ,X,X,O,X,X,X,X
ITJSOZL,X,X,O,X,X,X,X
ITJZLSO,X,X,O,O,X,X,O
ITJZLOS,X,X,O,O,O,X,O
ITJZSLO,X,X,O,O,X,X,X
ITJZSOL,X,X,O,X,X,X,X
ITJZOLS,X,X,O,O,X,X,X
ITJZOSL,X,X,O,X,X,X,X
ITJOLSZ,X,X,X,O,O,X,X
ITJOLZS,X,X,X,O,O,X,X
ITJOSLZ,X,X,O,O,X,X,X
ITJOSZL,X,X,O,X,X,X,X
ITJOZLS,X,X,O,O,X,X,X
ITJOZSL,X,X,O,X,X,X,X
ITSLJZO,O,X,O,O,X,X,X
ITSLJOZ,X,X,O,O,X,X,X
ITSLZJO,O,O,O,X,X,X,X
ITSLZOJ,O,O,O,X,X,X,X
ITSLOJZ,X,X,O,O,X,O,X
ITSLOZJ,O,O,O,X,X,X,X
ITSJLZO,X,X,O,O,X,X,X
ITSJLOZ,X,X,O,O,X,X,X
ITSJZLO,O,X,O,X,X,X,X
ITSJZOL,O,X,O,X,X,X,X
ITSJOLZ,X,X,O,X,X,X,X
ITSJOZL,X,X,O,X,X,X,X
ITSZLJO,O,O,O,X,X,X,X
ITSZLOJ,O,O,O,X,X,X,X
ITSZJLO,O,O,O,X,X,X,X
ITSZJOL,O,X,O,X,X,X,X
ITSZOLJ,X,O,O,X,X,X,X
ITSZOJL,O,X,O,X,X,X,X
ITSOLJZ,X,X,O,O,X,O,X
ITSOLZJ,X,X,O,X,X,X,X
ITSOJLZ,X,X,O,O,X,O,X
ITSOJZL,X,X,O,X,X,O,X
ITSOZLJ,X,X,O,X,X,X,X
ITSOZJL,O,X,O,X,X,X,X
ITZLJSO,O,X,O,O,O,X,O
ITZLJOS,X,X,O,O,O,X,O
ITZLSJO,O,O,O,O,X,X,O
ITZLSOJ,O,O,O,O,X,X,X
ITZLOJS,X,X,O,O,O,X,O
ITZLOSJ,X,O,O,O,X,X,X
ITZJLSO,O,X,O,O,O,X,O
ITZJLOS,X,X,O,O,O,X,O
ITZJSLO,O,X,O,O,O,X,X
ITZJSOL,O,X,O,X,X,X,X
ITZJOLS,O,X,O,O,O,X,X
ITZJOSL,O,X,O,O,X,X,X
ITZSLJO,O,O,O,O,X,X,X
ITZSLOJ,O,O,O,O,X,X,X
ITZSJLO,O,O,O,O,X,X,X
ITZSJOL,O,X,O,X,X,X,X
ITZSOLJ,X,O,O,O,X,X,X
ITZSOJL,O,X,O,O,X,X,X
ITZOLJS,O,X,O,O,X,X,X
ITZOLSJ,O,X,O,O,X,X,X
ITZOJLS,O,X,O,O,X,X,X
ITZOJSL,O,X,O,O,X,X,X
ITZOSLJ,O,X,O,O,X,X,X
ITZOSJL,O,X,O,O,X,X,X
ITOLJSZ,X,X,X,O,X,X,X
ITOLJZS,X,X,X,O,X,X,X
ITOLSJZ,O,X,X,O,X,X,X
ITOLSZJ,O,X,X,X,X,X,X
ITOLZJS,O,X,X,O,X,X,X
ITOLZSJ,O,X,X,O,X,X,X
ITOJLSZ,X,X,X,O,X,X,X
ITOJLZS,X,X,X,O,X,X,X
ITOJSLZ,X,X,O,O,X,O,X
ITOJSZL,X,X,O,X,X,O,X
ITOJZLS,X,X,O,O,X,X,X
ITOJZSL,X,X,O,O,X,X,X
ITOSLJZ,O,X,O,O,X,O,X
ITOSLZJ,O,X,O,X,X,X,X
ITOSJLZ,X,X,O,O,X,O,X
ITOSJZL,X,X,O,X,X,O,X
ITOSZLJ,O,X,O,X,X,X,X
ITOSZJL,O,X,O,X,X,X,X
ITOZLJS,O,X,O,O,X,X,X
ITOZLSJ,O,X,O,O,X,X,X
ITOZJLS,O,X,O,O,X,X,X
ITOZJSL,O,X,O,O,X,X,X
ITOZSLJ,O,X,O,O,X,X,X
ITOZSJL,O,X,O,O,X,X,X
ILTJSZO,X,X,O,O,X,X,X
ILTJSOZ,X,X,O,O,O,X,X
ILTJZSO,X,X,O,O,X,X,O
ILTJZOS,X,X,O,O,O,X,O
ILTJOSZ,X,X,X,O,O,X,X
ILTJOZS,X,X,X,O,O,X,X
ILTSJZO,O,X,O,O,X,X,X
ILTSJOZ,X,X,O,O,X,X,X
ILTSZJO,O,O,O,X,X,X,X
ILTSZOJ,O,O,O,X,X,X,X
ILTSOJZ,X,X,O,O,X,X,X
ILTSOZJ,O,O,O,X,X,X,X
ILTZJSO,O,X,O,O,O,X,O
ILTZJOS,X,X,O,O,O,X,O
ILTZSJO,O,O,O,X,X,X,O
ILTZSOJ,O,O,O,X,X,X,X
ILTZOJS,X,X,O,O,O,X,O
ILTZOSJ,X,O,O,X,X,X,X
ILTOJSZ,X,X,X,O,O,X,X
ILTOJZS,X,X,X,O,O,X,X
ILTOSJZ,X,X,X,O,X,X,X
ILTOSZJ,X,O,X,X,X,X,X
ILTOZJS,X,X,X,O,O,X,X
ILTOZSJ,X,O,X,X,X,X,X
ILJTSZO,X,X,X,O,X,X,X
ILJTSOZ,X,X,X,O,O,X,X
ILJTZSO,X,X,X,O,O,X,O
ILJTZOS,X,X,X,O,O,X,O
ILJTOSZ,X,X,X,O,O,X,X
ILJTOZS,X,X,X,O,O,X,X
ILJSTZO,O,X,X,X,X,X,X
ILJSTOZ,X,X,X,X,O,X,X
ILJSZTO,O,O,X,X,X,X,O
ILJSZOT,O,O,X,X,X,X,X
ILJSOTZ,X,X,X,X,O,X,X
ILJSOZT,X,O,X,X,X,X,X
ILJZTSO,O,X,X,O,O,X,O
ILJZTOS,X,X,X,O,O,X,O
ILJZSTO,O,O,X,X,O,X,O
ILJZSOT,O,O,X,X,O,X,X
ILJZOTS,X,X,X,X,O,X,O
ILJZOST,O,O,X,X,O,X,X
ILJOTSZ,X,X,X,X,O,X,X
ILJOTZS,X,X,X,X,O,X,X
ILJOSTZ,X,X,X,X,O,X,X
ILJOSZT,X,O,X,X,X,X,X
ILJOZTS,X,X,X,X,O,X,O
ILJOZST,X,O,X,X,O,X,X
ILSTJZO,O,X,O,X,X,X,X
ILSTJOZ,X,X,O,X,X,X,X
ILSTZJO,O,O,O,X,X,X,X
ILSTZOJ,O,O,O,X,X,X,X
ILSTOJZ,O,X,O,X,X,O,X
ILSTOZJ,O,O,O,X,X,X,X
ILSJTZO,O,X,O,X,X,X,X
ILSJTOZ,X,X,O,X,O,X,X
ILSJZTO,O,O,O,X,X,X,O
ILSJZOT,O,O,X,X,X,X,X
ILSJOTZ,X,X,X,X,O,O,X
ILSJOZT,X,O,X,X,X,O,X
ILSZTJO,O,O,O,X,X,X,O
ILSZTOJ,O,O,O,X,X,X,X
ILSZJTO,O,O,O,X,O,X,O
ILSZJOT,O,O,X,X,O,X,X
ILSZOTJ,O,O,O,X,X,X,X
ILSZOJT,O,O,X,X,O,O,X
ILSOTJZ,O,X,O,X,X,O,X
ILSOTZJ,O,O,O,X,X,X,X
ILSOJTZ,O,X,X,X,O,O,X
ILSOJZT,O,O,X,X,X,O,X
ILSOZTJ,O,O,O,X,X,X,X
ILSOZJT,O,O,X,X,O,O,X
ILZTJSO,O,X,O,O,O,X,O
ILZTJOS,X,X,O,O,O,X,O
ILZTSJO,O,O,O,O,X,X,O
ILZTSOJ,O,O,O,O,X,X,X
ILZTOJS,X,X,O,O,O,X,O
ILZTOSJ,X,O,O,O,X,X,X
ILZJTSO,O,X,X,O,O,X,O
ILZJTOS,X,X,X,O,O,X,O
ILZJSTO,O,O,X,X,O,X,O
ILZJSOT,O,O,X,X,O,X,X
ILZJOTS,O,X,X,X,O,X,O
ILZJOST,O,O,X,X,O,X,X
ILZSTJO,O,O,O,X,X,X,O
ILZSTOJ,O,O,O,X,X,X,X
ILZSJTO,O,O,O,X,O,X,O
ILZSJOT,O,O,X,X,O,X,X
ILZSOTJ,O,O,O,X,X,X,X
ILZSOJT,O,O,X,X,O,X,X
ILZOTJS,O,X,X,O,O,X,O
ILZOTSJ,O,O,X,O,X,X,X
ILZOJTS,O,X,X,O,O,X,O
ILZOJST,O,O,X,X,O,X,X
ILZOSTJ,O,O,X,X,X,X,X
ILZOSJT,O,O,X,X,O,X,X
ILOTJSZ,X,X,X,O,O,X,X
ILOTJZS,X,X,X,O,O,X,X
ILOTSJZ,O,X,X,O,X,X,X
ILOTSZJ,O,O,X,X,X,X,X
ILOTZJS,O,X,X,O,O,X,X
ILOTZSJ,O,O,X,X,X,X,X
ILOJTSZ,X,X,X,O,O,X,X
ILOJTZS,X,X,X,O,O,X,X
ILOJSTZ,O,X,X,X,O,O,X
ILOJSZT,O,O,X,X,X,O,X
ILOJZTS,O,X,X,O,O,X,O
ILOJZST,O,O,X,X,O,X,X
ILOSTJZ,O,X,X,X,X,O,X
ILOSTZJ,O,O,X,X,X,X,X
ILOSJTZ,O,X,X,X,O,O,X
ILOSJZT,O,O,X,X,X,O,X
ILOSZTJ,O,O,X,X,X,X,X
ILOSZJT,O,O,X,X,O,O,X
ILOZTJS,O,X,X,O,O,X,O
ILOZTSJ,O,O,X,O,X,X,X
ILOZJTS,O,X,X,O,O,X,O
ILOZJST,O,O,X,X,O,X,X
ILOZSTJ,O,O,X,X,X,X,X
ILOZSJT,O,O,X,X,O,X,X
IJTLSZO,X,X,O,O,X,X,X
IJTLSOZ,X,X,O,O,O,X,X
IJTLZSO,X,X,O,O,O,X,O
IJTLZOS,X,X,O,O,O,X,O
IJTLOSZ,X,X,X,O,O,X,X
IJTLOZS,X,X,X,O,O,X,X
IJTSLZO,X,X,O,O,X,X,X
IJTSLOZ,X,X,O,O,O,X,X
IJTSZLO,X,X,O,X,X,X,X
IJTSZOL,X,X,O,X,X,X,X
IJTSOLZ,X,X,O,X,X,X,X
IJTSOZL,X,X,O,X,X,X,X
IJTZLSO,X,X,O,O,O,X,O
IJTZLOS,X,X,O,O,O,X,O
IJTZSLO,X,X,O,O,O,X,X
IJTZSOL,X,X,O,X,X,X,X
IJTZOLS,X,X,O,O,O,X,X
IJTZOSL,X,X,O,X,X,X,X
IJTOLSZ,X,X,X,O,O,X,X
IJTOLZS,X,X,X,O,O,X,X
IJTOSLZ,X,X,O,O,X,X,X
IJTOSZL,X,X,O,X,X,X,X
IJTOZLS,X,X,O,O,O,X,X
IJTOZSL,X,X,O,X,X,X,X
IJLTSZO,X,X,X,O,X,X,X
IJLTSOZ,X,X,X,O,O,X,X
IJLTZSO,X,X,X,O,O,X,O
IJLTZOS,X,X,X,O,O,X,O
IJLTOSZ,X,X,X,O,O,X,X
IJLTOZS,X,X,X,O,O,X,X
IJLSTZO,O,X,X,X,X,X,X
IJLSTOZ,X,X,X,X,O,X,X
IJLSZTO,O,O,X,X,X,X,O
IJLSZOT,O,O,X,X,X,X,X
IJLSOTZ,X,X,X,X,O,X,X
IJLSOZT,X,O,X,X,X,X,X
IJLZTSO,O,X,X,O,O,X,O
IJLZTOS,X,X,X,O,O,X,O
IJLZSTO,O,O,X,X,O,X,O
IJLZSOT,O,O,X,X,O,X,X
IJLZOTS,X,X,X,X,O,X,O
IJLZOST,O,O,X,X,O,X,X
IJLOTSZ,X,X,X,X,O,X,X
IJLOTZS,X,X,X,X,O,X,X
IJLOSTZ,X,X,X,X,O,X,X
IJLOSZT,X,O,X,X,X,X,X
IJLOZTS,X,X,X,X,O,X,O
IJLOZST,X,O,X,X,O,X,X
IJSTLZO,X,X,O,O,X,X,X
IJSTLOZ,X,X,O,O,O,X,X
IJSTZLO,O,X,O,X,X,X,X
IJSTZOL,O,X,O,X,X,X,X
IJSTOLZ,X,X,O,X,X,X,X
IJSTOZL,X,X,O,X,X,X,X
IJSLTZO,O,X,O,X,X,X,X
IJSLTOZ,X,X,O,X,O,X,X
IJSLZTO,O,O,O,X,X,X,O
IJSLZOT,O,O,X,X,X,X,X
IJSLOTZ,X,X,X,X,O,O,X
IJSLOZT,X,O,X,X,X,O,X
IJSZTLO,O,O,O,O,X,X,X
IJSZTOL,O,X,O,X,X,X,X
IJSZLTO,O,O,O,X,X,X,O
IJSZLOT,O,O,X,X,X,X,X
IJSZOTL,O,X,X,X,X,X,X
IJSZOLT,O,X,X,X,X,X,X
IJSOTLZ,X,X,X,X,X,O,X
IJSOTZL,X,X,X,X,X,O,X
IJSOLTZ,X,X,X,X,X,O,X
IJSOLZT,X,X,X,X,X,O,X
IJSOZTL,X,X,X,X,X,O,X
IJSOZLT,X,X,X,X,X,O,X
IJZTLSO,O,X,O,O,O,X,O
IJZTLOS,X,X,O,O,O,X,O
IJZTSLO,O,X,O,O,O,X,X
IJZTSOL,O,X,O,X,X,X,X
IJZTOLS,O,X,O,O,O,X,X
IJZTOSL,O,X,O,O,X,X,X
IJZLTSO,O,X,X,O,O,X,O
IJZLTOS,X,X,X,O,O,X,O
IJZLSTO,O,O,X,X,O,X,O
IJZLSOT,O,O,X,X,O,X,X
IJZLOTS,O,X,X,X,O,X,O
IJZLOST,O,O,X,X,O,X,X
IJZSTLO,O,O,O,O,O,X,X
IJZSTOL,O,X,O,X,X,X,X
IJZSLTO,O,O,O,X,O,X,O
IJZSLOT,O,O,X,X,O,X,X
IJZSOTL,O,X,X,X,X,X,X
IJZSOLT,O,X,X,X,X,X,X
IJZOTLS,O,X,X,O,O,X,X
IJZOTSL,O,X,X,O,X,X,X
IJZOLTS,O,X,X,O,O,X,O
IJZOLST,O,X,X,X,O,X,X
IJZOSTL,O,X,X,O,X,X,X
IJZOSLT,O,X,X,X,X,X,X
IJOTLSZ,X,X,X,O,O,X,X
IJOTLZS,X,X,X,O,O,X,X
IJOTSLZ,X,X,X,O,X,O,X
IJOTSZL,X,X,X,X,X,O,X
IJOTZLS,X,X,X,O,O,X,X
IJOTZSL,X,X,X,O,X,X,X
IJOLTSZ,X,X,X,O,O,X,X
IJOLTZS,X,X,X,O,O,X,X
IJOLSTZ,O,X,X,X,O,O,X
IJOLSZT,O,X,X,X,X,O,X
IJOLZTS,O,X,X,O,O,X,O
IJOLZST,O,X,X,X,O,X,X
IJOSTLZ,X,X,X,O,X,O,X
IJOSTZL,X,X,X,X,X,O,X
IJOSLTZ,O,X,X,X,X,O,X
IJOSLZT,O,X,X,X,X,O,X
IJOSZTL,O,X,X,O,X,O,X
IJOSZLT,O,X,X,X,X,O,X
IJOZTLS,O,X,X,O,O,X,X
IJOZTSL,O,X,X,O,X,X,X
IJOZLTS,O,X,X,O,O,X,O
IJOZLST,O,X,X,X,O,X,X
IJOZSTL,O,X,X,O,X,O,X
IJOZSLT,O,X,X,X,X,O,X
ISTLJZO,O,X,O,O,X,X,X
ISTLJOZ,X,X,O,O,X,X,X
ISTLZJO,O,O,O,X,X,X,X
ISTLZOJ,O,O,O,X,X,X,X
ISTLOJZ,O,X,O,O,X,O,X
ISTLOZJ,O,O,O,X,X,X,X
ISTJLZO,X,X,O,O,X,X,X
ISTJLOZ,X,X,O,O,X,X,X
ISTJZLO,O,X,O,X,X,X,X
ISTJZOL,O,X,O,X,X,X,X
ISTJOLZ,X,X,O,X,X,X,X
ISTJOZL,X,X,O,X,X,X,X
ISTZLJO,O,O,O,X,X,X,X
ISTZLOJ,O,O,O,X,X,X,X
ISTZJLO,O,O,O,X,X,X,X
ISTZJOL,O,X,O,X,X,X,X
ISTZOLJ,X,O,O,X,X,X,X
ISTZOJL,O,X,O,X,X,X,X
ISTOLJZ,X,X,O,O,X,O,X
ISTOLZJ,X,X,O,X,X,X,X
ISTOJLZ,X,X,O,O,X,O,X
ISTOJZL,X,X,O,X,X,O,X
ISTOZLJ,X,X,O,X,X,X,X
ISTOZJL,O,X,O,X,X,X,X
ISLTJZO,O,X,O,X,X,X,X
ISLTJOZ,X,X,O,X,X,X,X
ISLTZJO,O,O,O,X,X,X,X
ISLTZOJ,O,O,O,X,X,X,X
ISLTOJZ,O,X,O,X,X,O,X
ISLTOZJ,O,O,O,X,X,X,X
ISLJTZO,O,X,O,X,X,X,X
ISLJTOZ,X,X,O,X,O,X,X
ISLJZTO,O,O,O,X,X,X,O
ISLJZOT,O,O,X,X,X,X,X
ISLJOTZ,X,X,X,X,O,O,X
ISLJOZT,X,O,X,X,X,O,X
ISLZTJO,O,O,O,X,X,X,O
ISLZTOJ,O,O,O,X,X,X,X
ISLZJTO,O,O,O,X,O,X,O
ISLZJOT,O,O,X,X,O,X,X
ISLZOTJ,O,O,O,X,X,X,X
ISLZOJT,O,O,X,X,O,O,X
ISLOTJZ,O,X,O,X,X,O,X
ISLOTZJ,O,O,O,X,X,X,X
ISLOJTZ,O,X,X,X,O,O,X
ISLOJZT,O,O,X,X,X,O,X
ISLOZTJ,O,O,O,X,X,X,X
ISLOZJT,O,O,X,X,O,O,X
ISJTLZO,X,X,O,O,X,X,X
ISJTLOZ,X,X,O,O,O,X,X
ISJTZLO,O,X,O,X,X,X,X
ISJTZOL,O,X,O,X,X,X,X
ISJTOLZ,X,X,O,X,X,X,X
ISJTOZL,X,X,O,X,X,X,X
ISJLTZO,O,X,O,X,X,X,X
ISJLTOZ,X,X,O,X,O,X,X
ISJLZTO,O,O,O,X,X,X,O
ISJLZOT,O,O,X,X,X,X,X
ISJLOTZ,X,X,X,X,O,O,X
ISJLOZT,X,O,X,X,X,O,X
ISJZTLO,O,O,O,O,X,X,X
ISJZTOL,O,X,O,X,X,X,X
ISJZLTO,O,O,O,X,X,X,O
ISJZLOT,O,O,X,X,X,X,X
ISJZOTL,O,X,X,X,X,X,X
ISJZOLT,O,X,X,X,X,X,X
ISJOTLZ,X,X,X,X,X,O,X
ISJOTZL,X,X,X,X,X,O,X
ISJOLTZ,X,X,X,X,X,O,X
ISJOLZT,X,X,X,X,X,O,X
ISJOZTL,X,X,X,X,X,O,X
ISJOZLT,X,X,X,X,X,O,X
ISZTLJO,O,O,O,O,X,X,X
ISZTLOJ,O,O,O,O,X,X,X
ISZTJLO,O,O,O,O,X,X,X
ISZTJOL,O,X,O,X,X,X,X
ISZTOLJ,X,O,O,O,X,X,X
ISZTOJL,O,X,O,O,X,X,X
ISZLTJO,O,O,O,X,X,X,O
ISZLTOJ,O,O,O,X,X,X,X
ISZLJTO,O,O,O,X,O,X,O
ISZLJOT,O,O,X,X,O,X,X
ISZLOTJ,O,O,O,X,X,X,X
ISZLOJT,O,O,X,X,O,O,X
ISZJTLO,O,O,O,O,O,X,X
ISZJTOL,O,X,O,X,X,X,X
ISZJLTO,O,O,O,X,O,X,O
ISZJLOT,O,O,X,X,O,X,X
ISZJOTL,O,X,X,X,X,X,X
ISZJOLT,O,X,X,X,X,X,X
ISZOTLJ,O,O,O,O,X,X,X
ISZOTJL,O,X,O,O,X,X,X
ISZOLTJ,O,O,O,X,X,X,X
ISZOLJT,O,O,X,X,X,O,X
ISZOJTL,O,X,X,O,X,O,X
ISZOJLT,O,X,X,X,X,O,X
ISOTLJZ,O,X,O,O,X,O,X
ISOTLZJ,O,X,O,X,X,X,X
ISOTJLZ,X,X,O,O,X,O,X
ISOTJZL,X,X,O,X,X,O,X
ISOTZLJ,O,X,O,X,X,X,X
ISOTZJL,O,X,O,X,X,X,X
ISOLTJZ,O,X,O,X,X,O,X
ISOLTZJ,O,O,O,X,X,X,X
ISOLJTZ,O,X,X,X,X,O,X
ISOLJZT,O,O,X,X,X,O,X
ISOLZTJ,O,O,O,X,X,X,X
ISOLZJT,O,O,X,X,X,O,X
ISOJTLZ,X,X,X,O,X,O,X
ISOJTZL,X,X,X,X,X,O,X
ISOJLTZ,O,X,X,X,X,O,X
ISOJLZT,O,X,X,X,X,O,X
ISOJZTL,O,X,X,O,X,O,X
ISOJZLT,O,X,X,X,X,O,X
ISOZTLJ,O,O,O,O,X,X,X
ISOZTJL,O,X,O,O,X,X,X
ISOZLTJ,O,O,O,X,X,X,X
ISOZLJT,O,O,X,X,X,O,X
ISOZJTL,O,X,X,O,X,O,X
ISOZJLT,O,X,X,X,X,O,X
IZTLJSO,O,X,O,O,O,X,O
IZTLJOS,X,X,O,O,O,X,O
IZTLSJO,O,O,O,O,X,X,O
IZTLSOJ,O,O,O,O,X,X,X
IZTLOJS,X,X,O,O,O,X,O
IZTLOSJ,X,O,O,O,X,X,X
IZTJLSO,O,X,O,O,O,X,O
IZTJLOS,X,X,O,O,O,X,O
IZTJSLO,O,X,O,O,O,X,X
IZTJSOL,O,X,O,X,X,X,X
IZTJOLS,O,X,O,O,O,X,X
IZTJOSL,O,X,O,O,X,X,X
IZTSLJO,O,O,O,O,X,X,X
IZTSLOJ,O,O,O,O,X,X,X
IZTSJLO,O,O,O,O,X,X,X
IZTSJOL,O,X,O,X,X,X,X
IZTSOLJ,X,O,O,O,X,X,X
IZTSOJL,O,X,O,O,X,X,X
