sequence,v115@9gB8HeA8IeC8GeE8AeA8MeXAJvhF0hBliB5oBzlBet?BCsB,v115@9gB8HeA8IeC8GeE8AeA8MeXAJvhF8lBWnBxiB6tBlr?BzsB,v115@9gB8HeA8IeC8GeE8AeA8MeXAJvhF8lBzhB5nBOtB6t?BlrB,v115@9gB8HeA8IeC8GeE8AeA8MeXAJvhF8lBCiBxnBToBlr?BWyB,v115@9gB8HeA8IeC8GeE8AeA8MeXAJvhF8lBzhB5nB6tBOt?BlrB,v115@9gB8HeA8IeC8GeE8AeA8MeXAJvhF0hBxiBzlBGoBCs?BVyB,v115@9gB8HeA8IeC8GeE8AeA8MeXAJvhF8lBWnBxiBlrBCt?BTtB,v115@9gB8HeA8IeC8GeE8AeA8MeXAJvhFlhB5nBzlB8rB6t?BOtB,v115@9gB8HeA8IeC8GeE8AeA8MeGDJvhFRlBzmBqsB/tB0l?BlrB
TJIZOSL,O,O,O,O,O,O,O,X,X
TJIOLSZ,O,O,X,X,X,O,X,X,X
TJIOLZS,O,O,O,O,O,O,X,X,X
TJIOSLZ,O,X,X,X,X,O,X,X,X
TJIOSZL,O,O,O,X,X,O,X,X,X
TJIOZLS,O,O,O,O,O,O,X,X,X
TJIOZSL,O,O,O,O,O,O,O,X,X
TJLISZO,O,O,X,O,X,O,O,X,X
TJLISOZ,O,X,X,X,X,O,X,X,X
TJLIZSO,O,O,O,O,O,O,O,X,X
TJLIZOS,O,O,O,O,O,O,O,X,X
TJLIOSZ,O,X,X,X,X,O,X,X,X
TJLIOZS,O,O,O,O,O,O,O,X,X
TJLSIZO,O,O,X,O,X,O,O,X,X
TJLSIOZ,O,X,X,X,X,O,X,X,X
TJLSZIO,O,O,X,O,X,O,O,X,X
TJLSZOI,O,O,X,O,X,O,O,X,X
TJLSOIZ,O,X,X,X,X,O,X,X,X
TJLSOZI,O,X,X,X,X,O,X,X,X
TJLZISO,O,O,O,O,O,O,O,X,X
TJLZIOS,O,O,O,O,O,O,O,X,X
TJLZSIO,O,O,O,O,O,O,O,X,X
TJLZSOI,O,O,O,O,O,O,O,X,X
TJLZOIS,O,O,O,O,O,O,O,X,X
TJLZOSI,O,O,O,O,O,O,O,X,X
TJLOISZ,O,O,X,X,X,O,X,X,X
TJLOIZS,O,O,O,O,O,O,O,X,X
TJLOSIZ,O,O,X,X,X,O,X,X,X
TJLOSZI,O,O,X,X,X,O,X,X,X
TJLOZIS,O,O,O,O,O,O,O,X,X
TJLOZSI,O,O,O,O,O,O,O,X,X
TJSILZO,O,X,X,O,X,X,X,X,X
TJSILOZ,O,X,X,X,X,O,X,X,X
TJSIZLO,X,O,O,O,X,X,O,X,X
TJSIZOL,O,O,O,O,X,O,O,X,X
TJSIOLZ,O,X,X,X,X,O,X,X,X
TJSIOZL,O,X,O,X,X,O,X,X,X
TJSLIZO,O,O,X,O,X,O,O,X,X
TJSLIOZ,O,X,X,X,X,O,X,X,X
TJSLZIO,O,O,X,O,X,O,O,X,X
TJSLZOI,O,O,X,O,X,O,O,X,X
TJSLOIZ,O,X,X,X,X,O,X,X,X
TJSLOZI,O,X,X,X,X,O,X,X,X
TJSZILO,X,O,O,O,X,X,O,X,X
TJSZIOL,O,O,O,O,X,O,O,X,X
TJSZLIO,X,O,O,O,X,X,O,X,X
TJSZLOI,X,O,O,O,X,X,O,X,X
TJSZOIL,O,O,O,O,X,O,O,X,X
TJSZOLI,O,O,O,O,X,O,O,X,X
TJSOILZ,O,X,X,X,X,O,X,X,X
TJSOIZL,O,O,O,X,X,O,X,X,X
TJSOLIZ,O,O,X,X,X,O,X,X,X
TJSOLZI,O,O,X,X,X,O,X,X,X
TJSOZIL,O,O,O,X,X,O,X,X,X
TJSOZLI,O,O,O,X,X,O,X,X,X
TJZILSO,X,O,O,O,O,X,O,X,X
TJZILOS,X,O,O,O,O,X,O,X,X
TJZISLO,X,O,O,O,O,X,O,X,X
TJZISOL,O,O,O,O,O,O,O,X,X
TJZIOLS,O,O,O,O,O,O,X,X,X
TJZIOSL,O,O,O,O,O,O,O,X,X
TJZLISO,X,O,O,O,O,X,O,X,X
TJZLIOS,X,O,O,O,O,X,O,X,X
TJZLSIO,X,O,O,O,O,X,O,X,X
TJZLSOI,X,O,O,O,O,X,O,X,X
TJZLOIS,X,O,O,O,O,X,O,X,X
TJZLOSI,X,O,O,O,O,X,O,X,X
TJZSILO,X,O,O,O,O,X,O,X,X
TJZSIOL,O,O,O,O,O,O,O,X,X
TJZSLIO,X,O,O,O,O,X,O,X,X
TJZSLOI,X,O,O,O,O,X,O,X,X
TJZSOIL,O,O,O,O,O,O,O,X,X
TJZSOLI,O,O,O,O,O,O,O,X,X
TJZOILS,O,O,O,O,O,O,X,X,X
TJZOISL,O,O,O,O,O,O,O,X,X
TJZOLIS,O,O,O,O,O,O,O,X,X
TJZOLSI,O,O,O,O,O,O,O,X,X
TJZOSIL,O,O,O,O,O,O,O,X,X
TJZOSLI,O,O,O,O,O,O,O,X,X
TJOILSZ,O,O,X,X,X,O,X,X,X
TJOILZS,O,O,O,O,O,O,X,X,X
TJOISLZ,O,X,X,X,X,O,X,X,X
TJOISZL,O,O,O,X,X,O,X,X,X
TJOIZLS,O,O,O,O,O,O,X,X,X
TJOIZSL,O,O,O,O,O,O,O,X,X
TJOLISZ,O,O,X,X,X,O,X,X,X
TJOLIZS,O,O,O,O,O,O,O,X,X
TJOLSIZ,O,O,X,X,X,O,X,X,X
TJOLSZI,O,O,X,X,X,O,X,X,X
TJOLZIS,O,O,O,O,O,O,O,X,X
