sequence,v115@FhB8HeB8BeA8FeE8DeB8Jem/IvhFRhBqnBTkBfrBUs?BlrB,v115@FhB8HeB8BeA8FeE8DeB8Jem/IvhFUhBFiBTkBfrBRs?BSxB,v115@FhB8HeB8BeA8FeE8DeB8Jem/IvhFqlB/mBTkB0nBFn?BxwB,v115@FhB8HeB8BeA8FeE8DeB8Jex/IvhFcnBTkBllB+rBim?B3sB,v115@FhB8HeB8BeA8FeE8DeB8Jei/IvhFulB3kBTmB0nBFn?BxwB,v115@FhB8HeB8BeA8FeE8DeB8JeKEJvhFzfBRhBcnBGrB3s?BFrB,v115@FhB8HeB8BeA8FeE8DeB8JemAJvhFxkBCnBTkBFnBUr?B3sB,v115@FhB8HeB8BeA8FeE8DeB8Jex/IvhF/mBGiBTkB0lBls?BywB,v115@FhB8HeB8BeA8FeE8DeB8JeGBJvhFlkBzlB0nBikBXn?BxwB,v115@FhB8HeB8BeA8FeE8DeB8Je2EJvhFzgBSrB0nB3kBFn?BxwB,v115@FhB8HeB8BeA8FeE8DeB8JeKEJvhFzfBxhB1sBGrBfr?BUsB,v115@FhB8HeB8BeA8FeE8DeB8Jex/IvhFTkB0lBCnBlsBOr?BXsB,v115@FhB8HeB8BeA8FeE8DeB8Jei/IvhF3kBRmB1sBGmBUr?BTsB,v115@FhB8HeB8BeA8FeE8DeB8JeyEJvhFulBxmBTkBcrBls?BXsB,v115@FhB8HeB8BeA8FeE8DeB8JeOEJvhF8kBXiBzlBRsBSx?BFrB,v115@FhB8HeB8BeA8FeE8DeB8JeyEJvhFXhBFnBTkBWrB0n?BxwB,v115@FhB8HeB8BeA8FeE8DeB8JeOEJvhF8kBRmB1sBfrB6r?BTsB
IZOLJST,O,X,O,X,O,X,O,X,X,O,X,X,X,X,O,X,X
IZOLSTJ,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IZOLSJT,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IZOJTLS,X,X,O,X,X,X,X,X,O,X,X,O,X,X,O,X,X
IZOJTSL,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
IZOJLTS,X,X,O,X,X,X,O,X,O,O,X,X,X,X,O,X,X
IZOJLST,O,X,O,X,O,X,O,X,X,O,X,X,X,X,O,X,X
IZOJSTL,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
IZOJSLT,O,O,O,X,O,X,O,X,X,X,X,X,X,X,O,X,X
IZOSTLJ,X,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X
IZOSTJL,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
IZOSLTJ,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IZOSLJT,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IZOSJTL,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
IZOSJLT,O,O,O,X,O,X,O,X,X,X,X,X,X,X,O,X,X
IOTLJSZ,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTLJZS,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOTLSJZ,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IOTLSZJ,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IOTLZJS,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IOTLZSJ,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X
IOTJLSZ,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTJLZS,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOTJSLZ,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOTJSZL,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IOTJZLS,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IOTJZSL,X,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X
IOTSLJZ,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X
IOTSLZJ,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X
IOTSJLZ,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOTSJZL,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IOTSZLJ,X,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
IOTSZJL,X,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X
IOTZLJS,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IOTZLSJ,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X
IOTZJLS,X,X,O,X,X,X,X,X,O,X,X,O,X,X,O,X,X
IOTZJSL,X,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X
IOTZSLJ,X,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
IOTZSJL,X,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X
IOLTJSZ,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLTJZS,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IOLTSJZ,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IOLTSZJ,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IOLTZJS,X,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X
IOLTZSJ,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X
IOLJTSZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLJTZS,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IOLJSTZ,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLJSZT,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IOLJZTS,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IOLJZST,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IOLSTJZ,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLSTZJ,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLSJTZ,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLSJZT,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IOLSZTJ,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLSZJT,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IOLZTJS,X,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X
IOLZTSJ,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X
IOLZJTS,X,X,O,X,X,X,X,X,O,O,X,X,X,X,O,X,X
IOLZJST,O,X,O,X,O,X,X,X,X,O,X,X,X,X,O,X,X
IOLZSTJ,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IOLZSJT,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IOJTLSZ,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJTLZS,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOJTSLZ,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJTSZL,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IOJTZLS,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IOJTZSL,X,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X
IOJLTSZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJLTZS,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IOJLSTZ,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJLSZT,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IOJLZTS,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IOJLZST,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IOJSTLZ,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJSTZL,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IOJSLTZ,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOJSLZT,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOJSZTL,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IOJSZLT,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOJZTLS,X,X,O,X,X,X,X,X,O,X,X,O,X,X,O,X,X
IOJZTSL,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
IOJZLTS,X,X,O,X,X,X,O,X,O,O,X,X,X,X,O,X,X
IOJZLST,O,X,O,X,O,X,O,X,X,O,X,X,X,X,O,X,X
IOJZSTL,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
IOJZSLT,O,O,O,X,O,X,O,X,X,X,X,X,X,X,O,X,X
IOSTLJZ,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOSTLZJ,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOSTJLZ,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOSTJZL,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IOSTZLJ,X,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
IOSTZJL,X,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X
IOSLTJZ,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOSLTZJ,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOSLJTZ,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOSLJZT,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOSLZTJ,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOSLZJT,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOSJTLZ,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOSJTZL,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IOSJLTZ,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOSJLZT,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOSJZTL,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IOSJZLT,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOSZTLJ,X,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
IOSZTJL,X,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X
IOSZLTJ,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOSZLJT,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOSZJTL,X,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X
IOSZJLT,O,O,O,X,O,X,O,X,X,X,X,X,X,X,O,X,X
IOZTLJS,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IOZTLSJ,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X
IOZTJLS,X,X,O,X,X,X,X,X,O,X,X,O,X,X,O,X,X
IOZTJSL,X,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X
IOZTSLJ,X,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
IOZTSJL,X,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X
IOZLTJS,X,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X
IOZLTSJ,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X
IOZLJTS,X,X,O,X,X,X,O,X,O,O,X,X,X,X,O,X,X
IOZLJST,O,X,O,X,O,X,O,X,X,O,X,X,X,X,O,X,X
IOZLSTJ,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IOZLSJT,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IOZJTLS,X,X,O,X,X,X,X,X,O,X,X,O,X,X,O,X,X
IOZJTSL,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
IOZJLTS,X,X,O,X,X,X,O,X,O,O,X,X,X,X,O,X,X
IOZJLST,O,X,O,X,O,X,O,X,X,O,X,X,X,X,O,X,X
IOZJSTL,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
IOZJSLT,O,O,O,X,O,X,O,X,X,X,X,X,X,X,O,X,X
IOZSTLJ,X,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
IOZSTJL,X,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X
IOZSLTJ,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOZSLJT,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOZSJTL,X,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X
IOZSJLT,O,O,O,X,O,X,O,X,X,X,X,X,X,X,O,X,X
LTIJSZO,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X
LTIJSOZ,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X
LTIJZSO,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
LTIJZOS,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X
LTIJOSZ,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
LTIJOZS,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X
LTISJZO,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X
LTISJOZ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
LTISZJO,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X
LTISZOJ,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X
LTISOJZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LTISOZJ,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X
LTIZJSO,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O
LTIZJOS,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
LTIZSJO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LTIZSOJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LTIZOJS,X,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X
LTIZOSJ,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LTIOJSZ,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X
LTIOJZS,X,X,O,X,X,X,X,X,O,O,O,X,X,O,X,X,X
LTIOSJZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LTIOSZJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LTIOZJS,X,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X
LTIOZSJ,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LTJISZO,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
LTJISOZ,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
LTJIZSO,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
LTJIZOS,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X
LTJIOSZ,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
LTJIOZS,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X
LTJSIZO,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
LTJSIOZ,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
LTJSZIO,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
LTJSZOI,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
LTJSOIZ,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
LTJSOZI,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
LTJZISO,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
LTJZIOS,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
LTJZSIO,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTJZSOI,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTJZOIS,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X
LTJZOSI,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X
LTJOISZ,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X
LTJOIZS,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X
LTJOSIZ,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
LTJOSZI,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
LTJOZIS,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X
LTJOZSI,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X
LTSIJZO,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X
LTSIJOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
LTSIZJO,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LTSIZOJ,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LTSIOJZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSIOZJ,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LTSJIZO,O,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X
LTSJIOZ,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
LTSJZIO,O,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X
LTSJZOI,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
LTSJOIZ,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
LTSJOZI,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
LTSZIJO,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
LTSZIOJ,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
LTSZJIO,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
LTSZJOI,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LTSZOIJ,O,X,X,O,X,O,X,X,X,X,X,O,O,X,X,X,X
LTSZOJI,O,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X
LTSOIJZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSOIZJ,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
LTSOJIZ,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
LTSOJZI,O,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X
LTSOZIJ,O,X,X,O,X,O,X,X,X,X,X,O,O,X,X,X,X
LTSOZJI,O,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X
LTZIJSO,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O
LTZIJOS,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
LTZISJO,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
LTZISOJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LTZIOJS,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
LTZIOSJ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LTZJISO,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O
LTZJIOS,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
LTZJSIO,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTZJSOI,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTZJOIS,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X
LTZJOSI,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X
LTZSIJO,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
LTZSIOJ,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LTZSJIO,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
LTZSJOI,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTZSOIJ,O,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X
LTZSOJI,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X
LTZOIJS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LTZOISJ,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
LTZOJIS,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X
LTZOJSI,O,X,O,X,X,X,X,X,O,O,O,O,X,X,X,X,X
LTZOSIJ,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
LTZOSJI,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X
LTOIJSZ,X,X,O,O,X,X,X,X,X,X,O,X,X,O,X,X,X
LTOIJZS,X,X,O,X,X,X,X,X,O,O,O,X,X,O,X,X,X
LTOISJZ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOISZJ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOIZJS,X,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X
LTOIZSJ,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X
LTOJISZ,X,X,O,O,X,X,X,X,X,X,O,X,X,O,X,X,X
LTOJIZS,X,X,O,X,X,X,X,X,O,O,O,X,X,O,X,X,X
LTOJSIZ,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
LTOJSZI,O,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X
LTOJZIS,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X
LTOJZSI,O,X,O,X,X,X,X,X,O,O,O,O,X,X,X,X,X
LTOSIJZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOSIZJ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOSJIZ,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
LTOSJZI,O,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X
LTOSZIJ,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
LTOSZJI,O,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X
LTOZIJS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LTOZISJ,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
LTOZJIS,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X
LTOZJSI,O,X,O,X,X,X,X,X,O,O,O,O,X,X,X,X,X
LTOZSIJ,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
LTOZSJI,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X
LITJSZO,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X
LITJSOZ,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X
LITJZSO,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
LITJZOS,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X
LITJOSZ,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
LITJOZS,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X
LITSJZO,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
LITSJOZ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
LITSZJO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LITSZOJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LITSOJZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LITSOZJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LITZJSO,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
LITZJOS,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
LITZSJO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LITZSOJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LITZOJS,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X
LITZOSJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LITOJSZ,X,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X
LITOJZS,X,X,O,X,X,X,X,X,O,O,O,X,X,O,X,X,X
LITOSJZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LITOSZJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LITOZJS,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X
LITOZSJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LIJTSZO,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X
LIJTSOZ,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X
LIJTZSO,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
LIJTZOS,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X
LIJTOSZ,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
LIJTOZS,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X
LIJSTZO,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LIJSTOZ,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LIJSZTO,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
LIJSZOT,O,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X
LIJSOTZ,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LIJSOZT,O,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X
LIJZTSO,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LIJZTOS,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
LIJZSTO,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LIJZSOT,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
LIJZOTS,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
LIJZOST,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
LIJOTSZ,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LIJOTZS,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X
LIJOSTZ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LIJOSZT,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
LIJOZTS,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LIJOZST,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
LISTJZO,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X
LISTJOZ,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X
LISTZJO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LISTZOJ,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X
LISTOJZ,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X
LISTOZJ,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X
LISJTZO,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LISJTOZ,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
