sequence,v115@YhF8AeF8Jei/IvhFRhBcnBTjB3kBGmBlqB,v115@YhF8AeF8JeOEJvhF8kBChBTjBxmBXnBlqB,v115@YhF8AeF8Jel/IvhF3gBRiBSoB2pB8qBzrB,v115@YhF8AeF8Je0/IvhFxhBTjB2pBFmBXnB6qB,v115@YhF8AeF8Jei/IvhF3gBGjB1pB8qBRsBzrB,v115@YhF8AeF8JeKEJvhFxhBTjBUlBFmBXnBGqB,v115@YhF8AeF8JeOEJvhFTjBClBxmB/qBUrBFsB
TOIJZLS,O,O,O,X,O,X,X
TOIJZSL,O,O,O,O,O,X,X
TOISLJZ,O,X,X,O,X,O,X
TOISLZJ,O,O,X,X,X,O,X
TOISJLZ,O,X,X,O,X,O,X
TOISJZL,O,X,X,O,X,X,X
TOISZLJ,O,O,X,X,X,O,X
TOISZJL,O,O,X,O,X,X,X
TOIZLJS,O,O,O,X,O,X,X
TOIZLSJ,O,O,O,X,O,X,X
TOIZJLS,O,O,O,X,O,X,X
TOIZJSL,O,O,O,X,O,X,X
TOIZSLJ,O,O,O,X,O,X,X
TOIZSJL,O,O,O,X,O,X,X
TOLIJSZ,X,X,O,X,X,X,O
TOLIJZS,X,O,O,X,O,X,O
TOLISJZ,X,X,X,X,X,O,X
TOLISZJ,X,O,X,X,X,O,X
TOLIZJS,X,O,O,X,O,X,X
TOLIZSJ,X,O,O,X,O,O,X
TOLJISZ,X,X,O,X,X,X,O
TOLJIZS,X,O,O,X,O,X,O
TOLJSIZ,O,X,O,O,X,O,X
TOLJSZI,O,X,O,O,X,O,X
TOLJZIS,O,O,O,X,O,X,X
TOLJZSI,O,O,O,O,O,O,X
TOLSIJZ,O,X,X,O,X,O,X
TOLSIZJ,O,O,X,X,X,O,X
TOLSJIZ,O,X,X,O,X,O,X
TOLSJZI,O,X,X,O,X,O,X
TOLSZIJ,O,O,X,X,X,O,X
TOLSZJI,O,O,X,X,X,O,X
TOLZIJS,O,O,O,X,O,X,X
TOLZISJ,O,O,O,X,O,O,X
TOLZJIS,O,O,O,X,O,X,X
TOLZJSI,O,O,O,X,O,O,X
TOLZSIJ,O,O,O,X,O,O,X
TOLZSJI,O,O,O,X,O,O,X
TOJILSZ,X,X,O,X,X,X,O
TOJILZS,X,O,O,X,O,X,O
TOJISLZ,O,X,O,O,X,X,X
TOJISZL,O,X,O,O,X,X,X
TOJIZLS,O,O,O,X,O,X,X
TOJIZSL,O,O,O,O,O,X,X
TOJLISZ,X,X,O,X,X,X,O
TOJLIZS,X,O,O,X,O,X,O
TOJLSIZ,O,X,O,O,X,O,X
TOJLSZI,O,X,O,O,X,O,X
TOJLZIS,O,O,O,X,O,X,X
TOJLZSI,O,O,O,O,O,O,X
TOJSILZ,O,X,O,O,X,O,X
TOJSIZL,O,X,O,O,X,X,X
TOJSLIZ,O,X,O,O,X,O,X
TOJSLZI,O,X,O,O,X,O,X
TOJSZIL,O,X,O,O,X,X,X
TOJSZLI,O,X,O,O,X,X,X
TOJZILS,O,O,O,X,O,X,X
TOJZISL,O,O,O,O,O,X,X
TOJZLIS,O,O,O,X,O,X,X
TOJZLSI,O,O,O,O,O,X,X
TOJZSIL,O,O,O,O,O,X,X
TOJZSLI,O,O,O,O,O,X,X
TOSILJZ,O,X,X,O,X,O,X
TOSILZJ,O,O,X,X,X,O,X
TOSIJLZ,O,X,X,O,X,O,X
TOSIJZL,O,X,X,O,X,X,X
TOSIZLJ,O,O,X,X,X,O,X
TOSIZJL,O,O,X,O,X,X,X
TOSLIJZ,O,X,X,O,X,O,X
TOSLIZJ,O,O,X,X,X,O,X
TOSLJIZ,O,X,X,O,X,O,X
TOSLJZI,O,X,X,O,X,O,X
TOSLZIJ,O,O,X,X,X,O,X
TOSLZJI,O,O,X,X,X,O,X
TOSJILZ,O,X,X,O,X,O,X
TOSJIZL,O,X,X,O,X,X,X
TOSJLIZ,O,X,X,O,X,O,X
TOSJLZI,O,X,X,O,X,O,X
TOSJZIL,O,X,X,O,X,X,X
TOSJZLI,O,X,X,O,X,X,X
TOSZILJ,O,O,X,X,X,O,X
TOSZIJL,O,O,X,O,X,X,X
TOSZLIJ,O,O,X,X,X,O,X
TOSZLJI,O,O,X,X,X,O,X
TOSZJIL,O,O,X,O,X,X,X
TOSZJLI,O,O,X,O,X,X,X
TOZILJS,O,O,O,X,O,X,X
TOZILSJ,O,O,O,X,O,X,X
TOZIJLS,O,O,O,X,O,X,X
TOZIJSL,O,O,O,X,O,X,X
TOZISLJ,O,O,O,X,O,X,X
TOZISJL,O,O,O,X,O,X,X
TOZLIJS,O,O,O,X,O,X,X
TOZLISJ,O,O,O,X,O,O,X
TOZLJIS,O,O,O,X,O,X,X
TOZLJSI,O,O,O,X,O,O,X
TOZLSIJ,O,O,O,X,O,O,X
TOZLSJI,O,O,O,X,O,O,X
TOZJILS,O,O,O,X,O,X,X
TOZJISL,O,O,O,O,O,X,X
TOZJLIS,O,O,O,X,O,X,X
TOZJLSI,O,O,O,O,O,X,X
TOZJSIL,O,O,O,O,O,X,X
TOZJSLI,O,O,O,O,O,X,X
TOZSILJ,O,O,O,X,O,O,X
TOZSIJL,O,O,O,O,O,X,X
TOZSLIJ,O,O,O,X,O,O,X
TOZSLJI,O,O,O,X,O,O,X
TOZSJIL,O,O,O,O,O,X,X
TOZSJLI,O,O,O,O,O,X,X
ITLJSZO,X,X,X,X,O,X,X
ITLJSOZ,X,X,X,X,X,X,X
ITLJZSO,X,O,X,X,O,X,X
ITLJZOS,X,O,X,X,O,X,X
ITLJOSZ,X,X,X,X,X,X,O
ITLJOZS,X,O,X,X,O,X,O
ITLSJZO,X,X,X,X,O,O,X
ITLSJOZ,X,X,X,X,X,O,X
ITLSZJO,X,O,X,X,O,O,X
ITLSZOJ,X,O,X,X,O,O,X
ITLSOJZ,X,X,X,X,X,O,X
ITLSOZJ,X,O,X,X,X,O,X
ITLZJSO,X,O,X,X,O,X,X
ITLZJOS,X,O,X,X,O,X,X
ITLZSJO,X,O,X,X,O,O,X
ITLZSOJ,X,O,X,X,O,O,X
ITLZOJS,X,O,X,X,O,X,X
ITLZOSJ,X,O,X,X,O,O,X
ITLOJSZ,X,X,X,X,X,X,O
ITLOJZS,X,O,X,X,O,X,O
ITLOSJZ,X,X,X,X,X,O,X
ITLOSZJ,X,O,X,X,X,O,X
ITLOZJS,X,O,X,X,O,X,X
ITLOZSJ,X,O,X,X,O,O,X
ITJLSZO,X,X,X,X,O,X,X
ITJLSOZ,X,X,X,X,X,X,X
ITJLZSO,X,O,X,X,O,X,X
ITJLZOS,X,O,X,X,O,X,X
ITJLOSZ,X,X,X,X,X,X,O
ITJLOZS,X,O,X,X,O,X,O
ITJSLZO,O,X,X,O,O,X,X
ITJSLOZ,O,X,X,O,X,X,X
ITJSZLO,O,X,X,O,O,X,X
ITJSZOL,O,X,X,O,O,X,X
ITJSOLZ,O,X,X,O,X,X,X
ITJSOZL,O,X,X,O,X,X,X
ITJZLSO,O,O,X,X,O,X,X
ITJZLOS,O,O,X,X,O,X,X
ITJZSLO,O,O,X,O,O,X,X
ITJZSOL,O,O,X,O,O,X,X
ITJZOLS,O,O,X,X,O,X,X
ITJZOSL,O,O,X,O,O,X,X
ITJOLSZ,X,X,X,X,X,X,O
ITJOLZS,X,O,X,X,O,X,O
ITJOSLZ,O,X,X,O,X,X,X
ITJOSZL,O,X,X,O,X,X,X
ITJOZLS,O,O,X,X,O,X,X
ITJOZSL,O,O,X,O,O,X,X
ITSLJZO,O,X,X,O,O,O,X
ITSLJOZ,O,X,X,O,X,O,X
ITSLZJO,O,O,X,X,O,O,X
ITSLZOJ,O,O,X,X,O,O,X
ITSLOJZ,O,X,X,O,X,O,X
ITSLOZJ,O,O,X,X,X,O,X
ITSJLZO,O,X,X,O,O,O,X
ITSJLOZ,O,X,X,O,X,O,X
ITSJZLO,O,X,X,O,O,X,X
ITSJZOL,O,X,X,O,O,X,X
ITSJOLZ,O,X,X,O,X,O,X
ITSJOZL,O,X,X,O,X,X,X
ITSZLJO,O,O,X,X,O,O,X
ITSZLOJ,O,O,X,X,O,O,X
ITSZJLO,O,O,X,O,O,X,X
ITSZJOL,O,O,X,O,O,X,X
ITSZOLJ,O,O,X,X,O,O,X
ITSZOJL,O,O,X,O,O,X,X
ITSOLJZ,O,X,X,O,X,O,X
ITSOLZJ,O,O,X,X,X,O,X
ITSOJLZ,O,X,X,O,X,O,X
ITSOJZL,O,X,X,O,X,X,X
ITSOZLJ,O,O,X,X,X,O,X
ITSOZJL,O,O,X,O,X,X,X
ITZLJSO,O,O,X,X,O,X,X
ITZLJOS,O,O,X,X,O,X,X
ITZLSJO,O,O,X,X,O,X,X
ITZLSOJ,O,O,X,X,O,X,X
ITZLOJS,O,O,X,X,O,X,X
ITZLOSJ,O,O,X,X,O,X,X
ITZJLSO,O,O,X,X,O,X,X
ITZJLOS,O,O,X,X,O,X,X
ITZJSLO,O,O,X,X,O,X,X
ITZJSOL,O,O,X,X,O,X,X
ITZJOLS,O,O,X,X,O,X,X
ITZJOSL,O,O,X,X,O,X,X
ITZSLJO,O,O,X,X,O,X,X
ITZSLOJ,O,O,X,X,O,X,X
ITZSJLO,O,O,X,X,O,X,X
ITZSJOL,O,O,X,X,O,X,X
ITZSOLJ,O,O,X,X,O,X,X
ITZSOJL,O,O,X,X,O,X,X
ITZOLJS,O,O,X,X,O,X,X
ITZOLSJ,O,O,X,X,O,X,X
ITZOJLS,O,O,X,X,O,X,X
ITZOJSL,O,O,X,X,O,X,X
ITZOSLJ,O,O,X,X,O,X,X
ITZOSJL,O,O,X,X,O,X,X
ITOLJSZ,X,X,X,X,X,X,O
ITOLJZS,X,O,X,X,O,X,O
ITOLSJZ,X,X,X,X,X,O,X
ITOLSZJ,X,O,X,X,X,O,X
ITOLZJS,X,O,X,X,O,X,X
ITOLZSJ,X,O,X,X,O,O,X
ITOJLSZ,X,X,X,X,X,X,O
ITOJLZS,X,O,X,X,O,X,O
ITOJSLZ,O,X,X,O,X,X,X
ITOJSZL,O,X,X,O,X,X,X
ITOJZLS,O,O,X,X,O,X,X
ITOJZSL,O,O,X,O,O,X,X
ITOSLJZ,O,X,X,O,X,O,X
ITOSLZJ,O,O,X,X,X,O,X
ITOSJLZ,O,X,X,O,X,O,X
ITOSJZL,O,X,X,O,X,X,X
ITOSZLJ,O,O,X,X,X,O,X
ITOSZJL,O,O,X,O,X,X,X
ITOZLJS,O,O,X,X,O,X,X
ITOZLSJ,O,O,X,X,O,X,X
ITOZJLS,O,O,X,X,O,X,X
ITOZJSL,O,O,X,X,O,X,X
ITOZSLJ,O,O,X,X,O,X,X
ITOZSJL,O,O,X,X,O,X,X
ILTJSZO,X,X,O,X,O,X,X
ILTJSOZ,X,X,O,X,X,X,X
ILTJZSO,X,O,O,X,O,X,X
ILTJZOS,X,O,O,X,O,X,X
ILTJOSZ,X,X,O,X,X,X,O
ILTJOZS,X,O,O,X,O,X,O
ILTSJZO,X,X,X,X,O,O,X
ILTSJOZ,X,X,X,X,X,O,X
ILTSZJO,X,O,X,X,O,O,X
ILTSZOJ,X,O,X,X,O,O,X
ILTSOJZ,X,X,X,X,X,O,X
ILTSOZJ,X,O,X,X,X,O,X
ILTZJSO,X,O,O,X,O,X,X
ILTZJOS,X,O,O,X,O,X,X
ILTZSJO,X,O,O,X,O,O,X
ILTZSOJ,X,O,O,X,O,O,X
ILTZOJS,X,O,X,X,O,X,X
ILTZOSJ,X,O,X,X,O,O,X
ILTOJSZ,X,X,O,X,X,X,O
ILTOJZS,X,O,O,X,O,X,O
ILTOSJZ,X,X,X,X,X,O,X
ILTOSZJ,X,O,X,X,X,O,X
ILTOZJS,X,O,O,X,O,X,X
ILTOZSJ,X,O,O,X,O,O,X
ILJTSZO,X,X,O,X,O,X,X
ILJTSOZ,X,X,O,X,X,X,X
ILJTZSO,X,X,O,X,O,X,X
ILJTZOS,X,X,O,X,O,X,X
ILJTOSZ,X,X,O,X,X,X,O
ILJTOZS,X,X,O,X,O,X,O
ILJSTZO,X,X,O,X,X,X,X
ILJSTOZ,X,X,O,X,X,X,X
ILJSZTO,X,X,O,X,X,X,X
ILJSZOT,X,X,O,X,X,X,X
ILJSOTZ,X,X,O,X,X,X,O
ILJSOZT,X,X,O,X,X,X,O
ILJZTSO,X,X,O,X,O,X,X
ILJZTOS,X,O,O,X,O,X,X
ILJZSTO,X,X,O,X,O,X,X
ILJZSOT,X,O,O,X,X,X,X
ILJZOTS,X,O,O,X,X,X,O
ILJZOST,X,O,O,X,X,X,O
ILJOTSZ,X,X,O,X,X,X,O
ILJOTZS,X,X,O,X,X,X,O
ILJOSTZ,X,X,O,X,X,X,O
ILJOSZT,X,X,O,X,X,X,O
ILJOZTS,X,O,O,X,X,X,O
ILJOZST,X,O,O,X,X,X,O
ILSTJZO,X,X,X,X,X,O,X
ILSTJOZ,X,X,X,X,X,O,X
ILSTZJO,X,X,X,X,X,O,X
ILSTZOJ,X,X,X,X,X,O,X
ILSTOJZ,X,X,X,X,X,O,X
ILSTOZJ,X,X,X,X,X,O,X
ILSJTZO,X,X,O,X,X,O,X
ILSJTOZ,X,X,O,X,X,O,X
ILSJZTO,X,X,O,X,X,X,X
ILSJZOT,X,X,O,X,X,X,X
ILSJOTZ,X,X,O,X,X,O,O
ILSJOZT,X,X,O,X,X,X,O
ILSZTJO,X,X,O,X,X,O,X
ILSZTOJ,X,X,O,X,X,O,X
ILSZJTO,X,X,O,X,X,X,X
ILSZJOT,X,O,O,X,X,X,X
ILSZOTJ,X,X,O,X,X,O,X
ILSZOJT,X,O,O,X,X,X,X
ILSOTJZ,X,X,X,X,X,O,X
ILSOTZJ,X,X,X,X,X,O,X
ILSOJTZ,X,X,O,X,X,O,O
ILSOJZT,X,X,O,X,X,X,O
ILSOZTJ,X,X,O,X,X,O,X
ILSOZJT,X,O,O,X,X,X,X
ILZTJSO,X,X,O,X,O,X,X
ILZTJOS,X,O,O,X,O,X,X
ILZTSJO,X,X,O,X,O,O,X
ILZTSOJ,X,X,O,X,O,O,X
ILZTOJS,X,O,X,X,O,X,X
ILZTOSJ,X,X,X,X,O,O,X
ILZJTSO,X,X,O,X,O,X,X
ILZJTOS,X,O,O,X,O,X,X
ILZJSTO,X,X,O,X,O,X,X
ILZJSOT,X,O,O,X,X,X,X
ILZJOTS,X,O,O,X,X,X,O
ILZJOST,X,O,O,X,X,X,O
ILZSTJO,X,X,O,X,O,O,X
ILZSTOJ,X,X,O,X,O,O,X
ILZSJTO,X,X,O,X,O,X,X
ILZSJOT,X,O,O,X,X,X,X
ILZSOTJ,X,X,O,X,X,O,X
ILZSOJT,X,O,O,X,X,X,X
ILZOTJS,X,O,O,X,X,X,X
ILZOTSJ,X,X,O,X,X,O,X
ILZOJTS,X,O,O,X,X,X,O
ILZOJST,X,O,O,X,X,X,O
ILZOSTJ,X,X,O,X,X,O,X
ILZOSJT,X,O,O,X,X,X,X
ILOTJSZ,X,X,O,X,X,X,O
ILOTJZS,X,O,O,X,X,X,O
ILOTSJZ,X,X,X,X,X,O,X
ILOTSZJ,X,O,X,X,X,O,X
ILOTZJS,X,O,O,X,X,X,X
ILOTZSJ,X,O,O,X,X,O,X
ILOJTSZ,X,X,O,X,X,X,O
ILOJTZS,X,X,O,X,X,X,O
ILOJSTZ,X,X,O,X,X,X,O
ILOJSZT,X,X,O,X,X,X,O
ILOJZTS,X,O,O,X,X,X,O
ILOJZST,X,O,O,X,X,X,O
ILOSTJZ,X,X,X,X,X,O,X
ILOSTZJ,X,X,X,X,X,O,X
ILOSJTZ,X,X,O,X,X,O,O
ILOSJZT,X,X,O,X,X,X,O
ILOSZTJ,X,X,O,X,X,O,X
ILOSZJT,X,O,O,X,X,X,X
ILOZTJS,X,O,O,X,X,X,X
ILOZTSJ,X,X,O,X,X,O,X
ILOZJTS,X,O,O,X,X,X,O
ILOZJST,X,O,O,X,X,X,O
ILOZSTJ,X,X,O,X,X,O,X
ILOZSJT,X,O,O,X,X,X,X
IJTLSZO,X,X,O,X,O,X,X
IJTLSOZ,X,X,O,X,X,X,X
IJTLZSO,X,O,O,X,O,X,X
IJTLZOS,X,O,O,X,O,X,X
IJTLOSZ,X,X,O,X,X,X,O
IJTLOZS,X,O,O,X,O,X,O
IJTSLZO,X,X,X,O,O,X,X
IJTSLOZ,X,X,X,O,X,X,X
IJTSZLO,X,X,X,O,O,X,X
IJTSZOL,X,X,X,O,O,X,X
IJTSOLZ,X,X,X,O,X,X,X
IJTSOZL,X,X,X,O,X,X,X
IJTZLSO,X,O,O,X,O,X,X
IJTZLOS,X,O,O,X,O,X,X
IJTZSLO,X,O,O,O,O,X,X
IJTZSOL,X,O,O,O,O,X,X
IJTZOLS,X,O,O,X,O,X,X
IJTZOSL,X,O,O,O,O,X,X
IJTOLSZ,X,X,O,X,X,X,O
IJTOLZS,X,O,O,X,O,X,O
IJTOSLZ,X,X,O,O,X,X,X
IJTOSZL,X,X,O,O,X,X,X
IJTOZLS,X,O,O,X,O,X,X
IJTOZSL,X,O,O,O,O,X,X
IJLTSZO,X,X,O,X,O,X,X
IJLTSOZ,X,X,O,X,X,X,X
IJLTZSO,X,X,O,X,O,X,X
IJLTZOS,X,X,O,X,O,X,X
IJLTOSZ,X,X,O,X,X,X,O
IJLTOZS,X,X,O,X,O,X,O
IJLSTZO,X,X,O,X,X,X,X
IJLSTOZ,X,X,O,X,X,X,X
IJLSZTO,X,X,O,X,X,X,X
IJLSZOT,X,X,O,X,X,X,X
IJLSOTZ,X,X,O,X,X,X,O
IJLSOZT,X,X,O,X,X,X,O
IJLZTSO,X,X,O,X,O,X,X
IJLZTOS,X,O,O,X,O,X,X
IJLZSTO,X,X,O,X,O,X,X
IJLZSOT,X,O,O,X,X,X,X
IJLZOTS,X,O,O,X,X,X,O
IJLZOST,X,O,O,X,X,X,O
IJLOTSZ,X,X,O,X,X,X,O
IJLOTZS,X,X,O,X,X,X,O
IJLOSTZ,X,X,O,X,X,X,O
IJLOSZT,X,X,O,X,X,X,O
IJLOZTS,X,O,O,X,X,X,O
IJLOZST,X,O,O,X,X,X,O
IJSTLZO,X,X,X,O,O,X,X
IJSTLOZ,X,X,X,O,X,X,X
IJSTZLO,X,X,X,O,O,X,X
IJSTZOL,X,X,X,O,O,X,X
IJSTOLZ,X,X,X,O,X,X,X
IJSTOZL,X,X,X,O,X,X,X
IJSLTZO,X,X,X,O,X,X,X
IJSLTOZ,X,X,X,O,X,X,X
IJSLZTO,O,X,X,X,X,X,X
IJSLZOT,O,X,X,X,X,X,X
IJSLOTZ,X,X,X,O,X,X,O
IJSLOZT,O,X,X,X,X,X,O
IJSZTLO,O,X,X,O,O,X,X
IJSZTOL,O,X,X,O,O,X,X
IJSZLTO,O,X,X,X,O,X,X
IJSZLOT,O,O,X,X,X,X,X
IJSZOTL,O,X,X,O,O,X,X
IJSZOLT,O,O,X,X,X,X,X
IJSOTLZ,X,X,X,O,X,X,X
IJSOTZL,X,X,X,O,X,X,X
IJSOLTZ,X,X,X,O,X,X,O
IJSOLZT,O,X,X,X,X,X,O
IJSOZTL,O,X,X,O,X,X,X
IJSOZLT,O,O,X,X,X,X,X
IJZTLSO,X,O,O,X,O,X,X
IJZTLOS,X,O,O,X,O,X,X
IJZTSLO,O,O,O,O,O,X,X
IJZTSOL,O,O,O,O,O,X,X
IJZTOLS,X,O,O,X,O,X,X
IJZTOSL,O,O,O,O,O,X,X
IJZLTSO,X,X,O,X,O,X,X
IJZLTOS,X,O,O,X,O,X,X
IJZLSTO,O,X,O,X,O,X,X
IJZLSOT,O,O,O,X,X,X,X
IJZLOTS,X,O,O,X,X,X,O
IJZLOST,O,O,O,X,X,X,O
IJZSTLO,O,X,O,O,O,X,X
IJZSTOL,O,X,O,O,O,X,X
IJZSLTO,O,X,O,X,O,X,X
IJZSLOT,O,O,O,X,X,X,X
IJZSOTL,O,X,O,O,O,X,X
IJZSOLT,O,O,O,X,X,X,X
IJZOTLS,X,O,O,X,O,X,X
IJZOTSL,O,O,O,O,O,X,X
IJZOLTS,X,O,O,X,X,X,O
IJZOLST,O,O,O,X,X,X,O
IJZOSTL,O,X,O,O,O,X,X
IJZOSLT,O,O,O,X,X,X,X
IJOTLSZ,X,X,O,X,X,X,O
IJOTLZS,X,O,O,X,O,X,O
IJOTSLZ,X,X,O,O,X,X,X
IJOTSZL,X,X,O,O,X,X,X
IJOTZLS,X,O,O,X,O,X,X
IJOTZSL,X,O,O,O,O,X,X
IJOLTSZ,X,X,O,X,X,X,O
IJOLTZS,X,X,O,X,X,X,O
IJOLSTZ,X,X,O,X,X,X,O
IJOLSZT,X,X,O,X,X,X,O
IJOLZTS,X,O,O,X,X,X,O
IJOLZST,X,O,O,X,X,X,O
IJOSTLZ,X,X,O,O,X,X,X
IJOSTZL,X,X,O,O,X,X,X
IJOSLTZ,X,X,O,O,X,X,O
IJOSLZT,O,X,O,X,X,X,O
IJOSZTL,O,X,O,O,X,X,X
IJOSZLT,O,O,O,X,X,X,X
IJOZTLS,X,O,O,X,O,X,X
IJOZTSL,O,O,O,O,O,X,X
IJOZLTS,X,O,O,X,X,X,O
IJOZLST,O,O,O,X,X,X,O
IJOZSTL,O,X,O,O,O,X,X
IJOZSLT,O,O,O,X,X,X,X
ISTLJZO,O,X,X,O,O,O,X
ISTLJOZ,O,X,X,O,X,O,X
ISTLZJO,O,O,X,X,O,O,X
ISTLZOJ,O,O,X,X,O,O,X
ISTLOJZ,O,X,X,O,X,O,X
ISTLOZJ,O,O,X,X,X,O,X
ISTJLZO,O,X,X,O,O,O,X
ISTJLOZ,O,X,X,O,X,O,X
ISTJZLO,O,X,X,O,O,X,X
ISTJZOL,O,X,X,O,O,X,X
ISTJOLZ,O,X,X,O,X,O,X
ISTJOZL,O,X,X,O,X,X,X
ISTZLJO,O,O,X,X,O,O,X
ISTZLOJ,O,O,X,X,O,O,X
ISTZJLO,O,O,X,O,O,X,X
ISTZJOL,O,O,X,O,O,X,X
ISTZOLJ,O,O,X,X,O,O,X
ISTZOJL,O,O,X,O,O,X,X
ISTOLJZ,O,X,X,O,X,O,X
ISTOLZJ,O,O,X,X,X,O,X
ISTOJLZ,O,X,X,O,X,O,X
ISTOJZL,O,X,X,O,X,X,X
ISTOZLJ,O,O,X,X,X,O,X
ISTOZJL,O,O,X,O,X,X,X
ISLTJZO,O,X,X,O,X,O,X
ISLTJOZ,O,X,X,O,X,O,X
ISLTZJO,O,X,X,X,X,O,X
ISLTZOJ,O,X,X,X,X,O,X
ISLTOJZ,O,X,X,O,X,O,X
ISLTOZJ,O,X,X,X,X,O,X
ISLJTZO,X,X,X,O,X,O,X
ISLJTOZ,X,X,X,O,X,O,X
ISLJZTO,O,X,X,X,X,X,X
ISLJZOT,O,X,X,X,X,X,X
ISLJOTZ,X,X,X,O,X,O,O
ISLJOZT,O,X,X,X,X,X,O
ISLZTJO,O,X,X,X,X,O,X
ISLZTOJ,O,X,X,X,X,O,X
ISLZJTO,O,X,X,X,X,X,X
ISLZJOT,O,O,X,X,X,X,X
ISLZOTJ,O,X,X,X,X,O,X
ISLZOJT,O,O,X,X,X,X,X
ISLOTJZ,O,X,X,O,X,O,X
ISLOTZJ,O,X,X,X,X,O,X
ISLOJTZ,X,X,X,O,X,O,O
ISLOJZT,O,X,X,X,X,X,O
ISLOZTJ,O,X,X,X,X,O,X
ISLOZJT,O,O,X,X,X,X,X
ISJTLZO,X,X,X,O,O,O,X
ISJTLOZ,X,X,X,O,X,O,X
ISJTZLO,X,X,X,O,O,X,X
ISJTZOL,X,X,X,O,O,X,X
ISJTOLZ,X,X,X,O,X,O,X
ISJTOZL,X,X,X,O,X,X,X
ISJLTZO,X,X,X,O,X,O,X
ISJLTOZ,X,X,X,O,X,O,X
ISJLZTO,O,X,X,X,X,X,X
ISJLZOT,O,X,X,X,X,X,X
ISJLOTZ,X,X,X,O,X,O,O
ISJLOZT,O,X,X,X,X,X,O
ISJZTLO,O,X,X,O,O,X,X
ISJZTOL,O,X,X,O,O,X,X
ISJZLTO,O,X,X,X,O,X,X
ISJZLOT,O,O,X,X,X,X,X
ISJZOTL,O,X,X,O,O,X,X
ISJZOLT,O,O,X,X,X,X,X
ISJOTLZ,X,X,X,O,X,O,X
ISJOTZL,X,X,X,O,X,X,X
ISJOLTZ,X,X,X,O,X,O,O
ISJOLZT,O,X,X,X,X,X,O
ISJOZTL,O,X,X,O,X,X,X
ISJOZLT,O,O,X,X,X,X,X
ISZTLJO,O,X,X,X,O,O,X
ISZTLOJ,O,X,X,X,O,O,X
ISZTJLO,O,X,X,O,O,X,X
ISZTJOL,O,X,X,O,O,X,X
ISZTOLJ,O,X,X,X,O,O,X
ISZTOJL,O,X,X,O,O,X,X
ISZLTJO,O,X,X,X,O,O,X
ISZLTOJ,O,X,X,X,O,O,X
ISZLJTO,O,X,X,X,O,X,X
ISZLJOT,O,O,X,X,X,X,X
ISZLOTJ,O,X,X,X,X,O,X
ISZLOJT,O,O,X,X,X,X,X
ISZJTLO,O,X,X,O,O,X,X
ISZJTOL,O,X,X,O,O,X,X
ISZJLTO,O,X,X,X,O,X,X
ISZJLOT,O,O,X,X,X,X,X
ISZJOTL,O,X,X,O,O,X,X
ISZJOLT,O,O,X,X,X,X,X
ISZOTLJ,O,X,X,X,O,O,X
ISZOTJL,O,X,X,O,O,X,X
ISZOLTJ,O,X,X,X,X,O,X
ISZOLJT,O,O,X,X,X,X,X
ISZOJTL,O,X,X,O,O,X,X
ISZOJLT,O,O,X,X,X,X,X
ISOTLJZ,O,X,X,O,X,O,X
ISOTLZJ,O,O,X,X,X,O,X
ISOTJLZ,O,X,X,O,X,O,X
ISOTJZL,O,X,X,O,X,X,X
ISOTZLJ,O,O,X,X,X,O,X
ISOTZJL,O,O,X,O,X,X,X
ISOLTJZ,O,X,X,O,X,O,X
ISOLTZJ,O,X,X,X,X,O,X
ISOLJTZ,X,X,X,O,X,O,O
ISOLJZT,O,X,X,X,X,X,O
ISOLZTJ,O,X,X,X,X,O,X
ISOLZJT,O,O,X,X,X,X,X
ISOJTLZ,X,X,X,O,X,O,X
ISOJTZL,X,X,X,O,X,X,X
ISOJLTZ,X,X,X,O,X,O,O
ISOJLZT,O,X,X,X,X,X,O
ISOJZTL,O,X,X,O,X,X,X
ISOJZLT,O,O,X,X,X,X,X
ISOZTLJ,O,X,X,X,X,O,X
ISOZTJL,O,X,X,O,X,X,X
ISOZLTJ,O,X,X,X,X,O,X
ISOZLJT,O,O,X,X,X,X,X
ISOZJTL,O,X,X,O,X,X,X
ISOZJLT,O,O,X,X,X,X,X
IZTLJSO,O,O,X,X,O,X,X
IZTLJOS,O,O,X,X,O,X,X
IZTLSJO,O,O,X,X,O,X,X
IZTLSOJ,O,O,X,X,O,X,X
IZTLOJS,O,O,X,X,O,X,X
IZTLOSJ,O,O,X,X,O,X,X
IZTJLSO,O,O,X,X,O,X,X
IZTJLOS,O,O,X,X,O,X,X
IZTJSLO,O,O,X,X,O,X,X
IZTJSOL,O,O,X,X,O,X,X
IZTJOLS,O,O,X,X,O,X,X
IZTJOSL,O,O,X,X,O,X,X
IZTSLJO,O,O,X,X,O,X,X
IZTSLOJ,O,O,X,X,O,X,X
IZTSJLO,O,O,X,X,O,X,X
IZTSJOL,O,O,X,X,O,X,X
IZTSOLJ,O,O,X,X,O,X,X
IZTSOJL,O,O,X,X,O,X,X
IZTOLJS,O,O,X,X,O,X,X
IZTOLSJ,O,O,X,X,O,X,X
IZTOJLS,O,O,X,X,O,X,X
IZTOJSL,O,O,X,X,O,X,X
IZTOSLJ,O,O,X,X,O,X,X
IZTOSJL,O,O,X,X,O,X,X
IZLTJSO,O,X,O,X,O,X,X
IZLTJOS,O,O,O,X,O,X,X
