sequence,v115@RhC8GeF8AeC8JeT/IvhF/lBRhBGjBimBUoBFsB,v115@RhC8GeF8AeC8JeT/IvhFmhBfoB6oBxlB0lBFsB,v115@RhC8GeF8AeC8Je2EJvhFRgBUiBFjBzlBfsBSyB,v115@RhC8GeF8AeC8JeT/IvhFxgBXjB0lBlmBStBOsB,v115@RhC8GeF8AeC8Jei/IvhFUiBGjBRlBfsBVyBzqB,v115@RhC8GeF8AeC8JeT/IvhFxgB+oB0lBlmB3nBisB,v115@RhC8GeF8AeC8JeT/IvhF6oBxlBmnBllB3mBcsB
TOIJSLZ,X,O,O,X,O,X,X
TOIJSZL,X,O,O,X,O,O,X
TOIJZLS,X,X,X,X,X,O,X
TOIJZSL,X,O,X,X,X,O,X
TOISLJZ,O,O,O,X,O,X,X
TOISLZJ,O,O,O,X,O,X,X
TOISJLZ,O,O,O,X,O,X,X
TOISJZL,O,O,O,X,O,X,X
TOISZLJ,O,O,O,X,O,X,X
TOISZJL,O,O,O,X,O,X,X
TOIZLJS,O,X,X,O,X,O,X
TOIZLSJ,O,X,X,O,X,X,X
TOIZJLS,O,X,X,O,X,O,X
TOIZJSL,O,O,X,X,X,O,X
TOIZSLJ,O,O,X,O,X,X,X
TOIZSJL,O,O,X,X,X,O,X
TOLIJSZ,X,O,O,X,O,X,O
TOLIJZS,X,X,O,X,X,X,O
TOLISJZ,O,O,O,X,O,X,X
TOLISZJ,O,O,O,O,O,X,X
TOLIZJS,O,X,O,O,X,X,X
TOLIZSJ,O,X,O,O,X,X,X
TOLJISZ,X,O,O,X,O,X,O
TOLJIZS,X,X,O,X,X,X,O
TOLJSIZ,O,O,O,X,O,X,X
TOLJSZI,O,O,O,O,O,O,X
TOLJZIS,O,X,O,O,X,O,X
TOLJZSI,O,X,O,O,X,O,X
TOLSIJZ,O,O,O,X,O,X,X
TOLSIZJ,O,O,O,O,O,X,X
TOLSJIZ,O,O,O,X,O,X,X
TOLSJZI,O,O,O,O,O,X,X
TOLSZIJ,O,O,O,O,O,X,X
TOLSZJI,O,O,O,O,O,X,X
TOLZIJS,O,X,O,O,X,O,X
TOLZISJ,O,X,O,O,X,X,X
TOLZJIS,O,X,O,O,X,O,X
TOLZJSI,O,X,O,O,X,O,X
TOLZSIJ,O,X,O,O,X,X,X
TOLZSJI,O,X,O,O,X,X,X
TOJILSZ,X,O,O,X,O,X,O
TOJILZS,X,X,O,X,X,X,O
TOJISLZ,X,O,O,X,O,X,X
TOJISZL,X,O,O,X,O,O,X
TOJIZLS,X,X,X,X,X,O,X
TOJIZSL,X,O,X,X,X,O,X
TOJLISZ,X,O,O,X,O,X,O
TOJLIZS,X,X,O,X,X,X,O
TOJLSIZ,O,O,O,X,O,X,X
TOJLSZI,O,O,O,O,O,O,X
TOJLZIS,O,X,O,O,X,O,X
TOJLZSI,O,X,O,O,X,O,X
TOJSILZ,O,O,O,X,O,X,X
TOJSIZL,O,O,O,X,O,O,X
TOJSLIZ,O,O,O,X,O,X,X
TOJSLZI,O,O,O,X,O,O,X
TOJSZIL,O,O,O,X,O,O,X
TOJSZLI,O,O,O,X,O,O,X
TOJZILS,O,X,X,O,X,O,X
TOJZISL,O,O,X,X,X,O,X
TOJZLIS,O,X,X,O,X,O,X
TOJZLSI,O,X,X,O,X,O,X
TOJZSIL,O,O,X,X,X,O,X
TOJZSLI,O,O,X,X,X,O,X
TOSILJZ,O,O,O,X,O,X,X
TOSILZJ,O,O,O,X,O,X,X
TOSIJLZ,O,O,O,X,O,X,X
TOSIJZL,O,O,O,X,O,X,X
TOSIZLJ,O,O,O,X,O,X,X
TOSIZJL,O,O,O,X,O,X,X
TOSLIJZ,O,O,O,X,O,X,X
TOSLIZJ,O,O,O,O,O,X,X
TOSLJIZ,O,O,O,X,O,X,X
TOSLJZI,O,O,O,O,O,X,X
TOSLZIJ,O,O,O,O,O,X,X
TOSLZJI,O,O,O,O,O,X,X
TOSJILZ,O,O,O,X,O,X,X
TOSJIZL,O,O,O,X,O,O,X
TOSJLIZ,O,O,O,X,O,X,X
TOSJLZI,O,O,O,X,O,O,X
TOSJZIL,O,O,O,X,O,O,X
TOSJZLI,O,O,O,X,O,O,X
TOSZILJ,O,O,O,O,O,X,X
TOSZIJL,O,O,O,X,O,O,X
TOSZLIJ,O,O,O,O,O,X,X
TOSZLJI,O,O,O,O,O,X,X
TOSZJIL,O,O,O,X,O,O,X
TOSZJLI,O,O,O,X,O,O,X
TOZILJS,O,X,X,O,X,O,X
TOZILSJ,O,X,X,O,X,X,X
TOZIJLS,O,X,X,O,X,O,X
TOZIJSL,O,O,X,X,X,O,X
TOZISLJ,O,O,X,O,X,X,X
TOZISJL,O,O,X,X,X,O,X
TOZLIJS,O,X,X,O,X,O,X
TOZLISJ,O,X,X,O,X,X,X
TOZLJIS,O,X,X,O,X,O,X
TOZLJSI,O,X,X,O,X,O,X
TOZLSIJ,O,X,X,O,X,X,X
TOZLSJI,O,X,X,O,X,X,X
TOZJILS,O,X,X,O,X,O,X
TOZJISL,O,O,X,X,X,O,X
TOZJLIS,O,X,X,O,X,O,X
TOZJLSI,O,X,X,O,X,O,X
TOZJSIL,O,O,X,X,X,O,X
TOZJSLI,O,O,X,X,X,O,X
TOZSILJ,O,O,X,O,X,X,X
TOZSIJL,O,O,X,X,X,O,X
TOZSLIJ,O,O,X,O,X,X,X
TOZSLJI,O,O,X,O,X,X,X
TOZSJIL,O,O,X,X,X,O,X
TOZSJLI,O,O,X,X,X,O,X
ITLJSZO,X,O,X,X,O,X,X
ITLJSOZ,X,O,X,X,O,X,X
ITLJZSO,X,X,X,X,O,X,X
ITLJZOS,X,X,X,X,X,X,X
ITLJOSZ,X,O,X,X,O,X,O
ITLJOZS,X,X,X,X,X,X,O
ITLSJZO,O,O,X,X,O,X,X
ITLSJOZ,O,O,X,X,O,X,X
ITLSZJO,O,O,X,O,O,X,X
ITLSZOJ,O,O,X,O,O,X,X
ITLSOJZ,O,O,X,X,O,X,X
ITLSOZJ,O,O,X,O,O,X,X
ITLZJSO,O,X,X,O,O,X,X
ITLZJOS,O,X,X,O,X,X,X
ITLZSJO,O,X,X,O,O,X,X
ITLZSOJ,O,X,X,O,O,X,X
ITLZOJS,O,X,X,O,X,X,X
ITLZOSJ,O,X,X,O,X,X,X
ITLOJSZ,X,O,X,X,O,X,O
ITLOJZS,X,X,X,X,X,X,O
ITLOSJZ,O,O,X,X,O,X,X
ITLOSZJ,O,O,X,O,O,X,X
ITLOZJS,O,X,X,O,X,X,X
ITLOZSJ,O,X,X,O,X,X,X
ITJLSZO,X,O,X,X,O,X,X
ITJLSOZ,X,O,X,X,O,X,X
ITJLZSO,X,X,X,X,O,X,X
ITJLZOS,X,X,X,X,X,X,X
ITJLOSZ,X,O,X,X,O,X,O
ITJLOZS,X,X,X,X,X,X,O
ITJSLZO,X,O,X,X,O,X,X
ITJSLOZ,X,O,X,X,O,X,X
ITJSZLO,X,O,X,X,O,O,X
ITJSZOL,X,O,X,X,O,O,X
ITJSOLZ,X,O,X,X,O,X,X
ITJSOZL,X,O,X,X,O,O,X
ITJZLSO,X,X,X,X,O,O,X
ITJZLOS,X,X,X,X,X,O,X
ITJZSLO,X,O,X,X,O,O,X
ITJZSOL,X,O,X,X,O,O,X
ITJZOLS,X,X,X,X,X,O,X
ITJZOSL,X,O,X,X,X,O,X
ITJOLSZ,X,O,X,X,O,X,O
ITJOLZS,X,X,X,X,X,X,O
ITJOSLZ,X,O,X,X,O,X,X
ITJOSZL,X,O,X,X,O,O,X
ITJOZLS,X,X,X,X,X,O,X
ITJOZSL,X,O,X,X,X,O,X
ITSLJZO,O,O,X,X,O,X,X
ITSLJOZ,O,O,X,X,O,X,X
ITSLZJO,O,O,X,X,O,X,X
ITSLZOJ,O,O,X,X,O,X,X
ITSLOJZ,O,O,X,X,O,X,X
ITSLOZJ,O,O,X,X,O,X,X
ITSJLZO,O,O,X,X,O,X,X
ITSJLOZ,O,O,X,X,O,X,X
ITSJZLO,O,O,X,X,O,X,X
ITSJZOL,O,O,X,X,O,X,X
ITSJOLZ,O,O,X,X,O,X,X
ITSJOZL,O,O,X,X,O,X,X
ITSZLJO,O,O,X,X,O,X,X
ITSZLOJ,O,O,X,X,O,X,X
ITSZJLO,O,O,X,X,O,X,X
ITSZJOL,O,O,X,X,O,X,X
ITSZOLJ,O,O,X,X,O,X,X
ITSZOJL,O,O,X,X,O,X,X
ITSOLJZ,O,O,X,X,O,X,X
ITSOLZJ,O,O,X,X,O,X,X
ITSOJLZ,O,O,X,X,O,X,X
ITSOJZL,O,O,X,X,O,X,X
ITSOZLJ,O,O,X,X,O,X,X
ITSOZJL,O,O,X,X,O,X,X
ITZLJSO,O,X,X,O,O,O,X
ITZLJOS,O,X,X,O,X,O,X
ITZLSJO,O,X,X,O,O,X,X
ITZLSOJ,O,X,X,O,O,X,X
ITZLOJS,O,X,X,O,X,O,X
ITZLOSJ,O,X,X,O,X,X,X
ITZJLSO,O,X,X,O,O,O,X
ITZJLOS,O,X,X,O,X,O,X
ITZJSLO,O,O,X,X,O,O,X
ITZJSOL,O,O,X,X,O,O,X
ITZJOLS,O,X,X,O,X,O,X
ITZJOSL,O,O,X,X,X,O,X
ITZSLJO,O,O,X,O,O,X,X
ITZSLOJ,O,O,X,O,O,X,X
ITZSJLO,O,O,X,X,O,O,X
ITZSJOL,O,O,X,X,O,O,X
ITZSOLJ,O,O,X,O,O,X,X
ITZSOJL,O,O,X,X,O,O,X
ITZOLJS,O,X,X,O,X,O,X
ITZOLSJ,O,X,X,O,X,X,X
ITZOJLS,O,X,X,O,X,O,X
ITZOJSL,O,O,X,X,X,O,X
ITZOSLJ,O,O,X,O,X,X,X
ITZOSJL,O,O,X,X,X,O,X
ITOLJSZ,X,O,X,X,O,X,O
ITOLJZS,X,X,X,X,X,X,O
ITOLSJZ,O,O,X,X,O,X,X
ITOLSZJ,O,O,X,O,O,X,X
ITOLZJS,O,X,X,O,X,X,X
ITOLZSJ,O,X,X,O,X,X,X
ITOJLSZ,X,O,X,X,O,X,O
ITOJLZS,X,X,X,X,X,X,O
ITOJSLZ,X,O,X,X,O,X,X
ITOJSZL,X,O,X,X,O,O,X
ITOJZLS,X,X,X,X,X,O,X
ITOJZSL,X,O,X,X,X,O,X
ITOSLJZ,O,O,X,X,O,X,X
ITOSLZJ,O,O,X,X,O,X,X
ITOSJLZ,O,O,X,X,O,X,X
ITOSJZL,O,O,X,X,O,X,X
ITOSZLJ,O,O,X,X,O,X,X
ITOSZJL,O,O,X,X,O,X,X
ITOZLJS,O,X,X,O,X,O,X
ITOZLSJ,O,X,X,O,X,X,X
ITOZJLS,O,X,X,O,X,O,X
ITOZJSL,O,O,X,X,X,O,X
ITOZSLJ,O,O,X,O,X,X,X
ITOZSJL,O,O,X,X,X,O,X
ILTJSZO,X,O,O,X,O,X,X
ILTJSOZ,X,O,O,X,O,X,X
ILTJZSO,X,X,O,X,O,X,X
ILTJZOS,X,X,O,X,X,X,X
ILTJOSZ,X,O,O,X,O,X,O
ILTJOZS,X,X,O,X,X,X,O
ILTSJZO,X,O,O,X,O,X,X
ILTSJOZ,X,O,O,X,O,X,X
ILTSZJO,X,O,O,O,O,X,X
ILTSZOJ,X,O,O,O,O,X,X
ILTSOJZ,X,O,O,X,O,X,X
ILTSOZJ,X,O,O,O,O,X,X
ILTZJSO,X,X,X,O,O,X,X
ILTZJOS,X,X,X,O,X,X,X
ILTZSJO,X,X,X,O,O,X,X
ILTZSOJ,X,X,X,O,O,X,X
ILTZOJS,X,X,X,O,X,X,X
ILTZOSJ,X,X,X,O,X,X,X
ILTOJSZ,X,O,O,X,O,X,O
ILTOJZS,X,X,O,X,X,X,O
ILTOSJZ,X,O,O,X,O,X,X
ILTOSZJ,X,O,O,O,O,X,X
ILTOZJS,X,X,O,O,X,X,X
ILTOZSJ,X,X,O,O,X,X,X
ILJTSZO,X,X,O,X,O,X,X
ILJTSOZ,X,X,O,X,O,X,X
ILJTZSO,X,X,O,X,O,X,X
ILJTZOS,X,X,O,X,X,X,X
ILJTOSZ,X,X,O,X,O,X,O
ILJTOZS,X,X,O,X,X,X,O
ILJSTZO,X,X,O,X,O,X,X
ILJSTOZ,X,O,O,X,O,X,X
ILJSZTO,X,X,O,X,O,X,X
ILJSZOT,X,O,O,X,X,X,X
ILJSOTZ,X,O,O,X,X,X,O
ILJSOZT,X,O,O,X,X,X,O
ILJZTSO,X,X,O,X,X,X,X
ILJZTOS,X,X,O,X,X,X,X
ILJZSTO,X,X,O,X,X,X,X
ILJZSOT,X,X,O,X,X,X,X
ILJZOTS,X,X,O,X,X,X,O
ILJZOST,X,X,O,X,X,X,O
ILJOTSZ,X,X,O,X,X,X,O
ILJOTZS,X,X,O,X,X,X,O
ILJOSTZ,X,O,O,X,X,X,O
ILJOSZT,X,O,O,X,X,X,O
ILJOZTS,X,X,O,X,X,X,O
ILJOZST,X,X,O,X,X,X,O
ILSTJZO,X,O,O,X,O,X,X
ILSTJOZ,X,O,O,X,O,X,X
ILSTZJO,O,O,O,O,O,X,X
ILSTZOJ,O,O,O,O,O,X,X
ILSTOJZ,X,O,O,X,O,X,X
ILSTOZJ,O,O,O,O,O,X,X
ILSJTZO,X,X,O,X,O,X,X
ILSJTOZ,X,O,O,X,O,X,X
ILSJZTO,O,X,O,X,O,X,X
ILSJZOT,O,O,O,X,X,X,X
ILSJOTZ,X,O,O,X,X,X,O
ILSJOZT,O,O,O,X,X,X,O
ILSZTJO,O,X,O,O,O,X,X
ILSZTOJ,O,X,O,O,O,X,X
ILSZJTO,O,X,O,X,O,X,X
ILSZJOT,O,O,O,X,X,X,X
ILSZOTJ,O,X,O,O,O,X,X
ILSZOJT,O,O,O,X,X,X,X
ILSOTJZ,X,O,O,X,O,X,X
ILSOTZJ,O,O,O,O,O,X,X
ILSOJTZ,X,O,O,X,X,X,O
ILSOJZT,O,O,O,X,X,X,O
ILSOZTJ,O,X,O,O,O,X,X
ILSOZJT,O,O,O,X,X,X,X
ILZTJSO,X,X,X,O,O,X,X
ILZTJOS,X,X,X,O,X,X,X
ILZTSJO,X,X,X,O,O,X,X
ILZTSOJ,X,X,X,O,O,X,X
ILZTOJS,X,X,X,O,X,X,X
ILZTOSJ,X,X,X,O,X,X,X
ILZJTSO,X,X,X,O,X,X,X
ILZJTOS,X,X,X,O,X,X,X
ILZJSTO,O,X,X,X,X,X,X
ILZJSOT,O,X,X,X,X,X,X
ILZJOTS,X,X,X,O,X,X,O
ILZJOST,O,X,X,X,X,X,O
ILZSTJO,O,X,X,O,O,X,X
ILZSTOJ,O,X,X,O,O,X,X
ILZSJTO,O,X,X,X,O,X,X
ILZSJOT,O,O,X,X,X,X,X
ILZSOTJ,O,X,X,O,O,X,X
ILZSOJT,O,O,X,X,X,X,X
ILZOTJS,X,X,X,O,X,X,X
ILZOTSJ,X,X,X,O,X,X,X
ILZOJTS,X,X,X,O,X,X,O
ILZOJST,O,X,X,X,X,X,O
ILZOSTJ,O,X,X,O,X,X,X
ILZOSJT,O,O,X,X,X,X,X
ILOTJSZ,X,O,O,X,O,X,O
ILOTJZS,X,X,O,X,X,X,O
ILOTSJZ,X,O,O,X,O,X,X
ILOTSZJ,X,O,O,O,O,X,X
ILOTZJS,X,X,O,O,X,X,X
ILOTZSJ,X,X,O,O,X,X,X
ILOJTSZ,X,X,O,X,X,X,O
ILOJTZS,X,X,O,X,X,X,O
ILOJSTZ,X,O,O,X,X,X,O
ILOJSZT,X,O,O,X,X,X,O
ILOJZTS,X,X,O,X,X,X,O
ILOJZST,X,X,O,X,X,X,O
ILOSTJZ,X,O,O,X,O,X,X
ILOSTZJ,O,O,O,O,O,X,X
ILOSJTZ,X,O,O,X,X,X,O
ILOSJZT,O,O,O,X,X,X,O
ILOSZTJ,O,X,O,O,O,X,X
ILOSZJT,O,O,O,X,X,X,X
ILOZTJS,X,X,O,O,X,X,X
ILOZTSJ,X,X,O,O,X,X,X
ILOZJTS,X,X,O,O,X,X,O
ILOZJST,O,X,O,X,X,X,O
ILOZSTJ,O,X,O,O,X,X,X
ILOZSJT,O,O,O,X,X,X,X
IJTLSZO,X,O,O,X,O,X,X
IJTLSOZ,X,O,O,X,O,X,X
IJTLZSO,X,X,O,X,O,X,X
IJTLZOS,X,X,O,X,X,X,X
IJTLOSZ,X,O,O,X,O,X,O
IJTLOZS,X,X,O,X,X,X,O
IJTSLZO,X,O,O,X,O,X,X
IJTSLOZ,X,O,O,X,O,X,X
IJTSZLO,X,O,O,X,O,O,X
IJTSZOL,X,O,O,X,O,O,X
IJTSOLZ,X,O,X,X,O,X,X
IJTSOZL,X,O,X,X,O,O,X
IJTZLSO,X,X,X,X,O,O,X
IJTZLOS,X,X,X,X,X,O,X
IJTZSLO,X,O,X,X,O,O,X
IJTZSOL,X,O,X,X,O,O,X
IJTZOLS,X,X,X,X,X,O,X
IJTZOSL,X,O,X,X,X,O,X
IJTOLSZ,X,O,O,X,O,X,O
IJTOLZS,X,X,O,X,X,X,O
IJTOSLZ,X,O,O,X,O,X,X
IJTOSZL,X,O,O,X,O,O,X
IJTOZLS,X,X,X,X,X,O,X
IJTOZSL,X,O,X,X,X,O,X
IJLTSZO,X,X,O,X,O,X,X
IJLTSOZ,X,X,O,X,O,X,X
IJLTZSO,X,X,O,X,O,X,X
IJLTZOS,X,X,O,X,X,X,X
IJLTOSZ,X,X,O,X,O,X,O
IJLTOZS,X,X,O,X,X,X,O
IJLSTZO,X,X,O,X,O,X,X
IJLSTOZ,X,O,O,X,O,X,X
IJLSZTO,X,X,O,X,O,X,X
IJLSZOT,X,O,O,X,X,X,X
IJLSOTZ,X,O,O,X,X,X,O
IJLSOZT,X,O,O,X,X,X,O
IJLZTSO,X,X,O,X,X,X,X
IJLZTOS,X,X,O,X,X,X,X
IJLZSTO,X,X,O,X,X,X,X
IJLZSOT,X,X,O,X,X,X,X
IJLZOTS,X,X,O,X,X,X,O
IJLZOST,X,X,O,X,X,X,O
IJLOTSZ,X,X,O,X,X,X,O
IJLOTZS,X,X,O,X,X,X,O
IJLOSTZ,X,O,O,X,X,X,O
IJLOSZT,X,O,O,X,X,X,O
IJLOZTS,X,X,O,X,X,X,O
IJLOZST,X,X,O,X,X,X,O
IJSTLZO,X,X,O,X,O,X,X
IJSTLOZ,X,O,O,X,O,X,X
IJSTZLO,X,X,O,X,O,O,X
IJSTZOL,X,X,O,X,O,O,X
IJSTOLZ,X,O,X,X,O,X,X
IJSTOZL,X,X,X,X,O,O,X
IJSLTZO,X,X,O,X,O,X,X
IJSLTOZ,X,O,O,X,O,X,X
IJSLZTO,X,X,O,X,O,X,X
IJSLZOT,X,O,O,X,X,X,X
IJSLOTZ,X,O,O,X,X,X,O
IJSLOZT,X,O,O,X,X,X,O
IJSZTLO,X,X,O,X,O,O,X
IJSZTOL,X,X,O,X,O,O,X
IJSZLTO,X,X,O,X,O,X,X
IJSZLOT,X,O,O,X,X,X,X
IJSZOTL,X,X,O,X,X,O,X
IJSZOLT,X,O,O,X,X,X,X
IJSOTLZ,X,O,O,X,X,X,X
IJSOTZL,X,X,O,X,X,O,X
IJSOLTZ,X,O,O,X,X,X,O
IJSOLZT,X,O,O,X,X,X,O
IJSOZTL,X,X,O,X,X,O,X
IJSOZLT,X,O,O,X,X,X,X
IJZTLSO,X,X,X,X,X,O,X
IJZTLOS,X,X,X,X,X,O,X
IJZTSLO,X,X,X,X,X,O,X
IJZTSOL,X,X,X,X,X,O,X
IJZTOLS,X,X,X,X,X,O,X
IJZTOSL,X,X,X,X,X,O,X
IJZLTSO,X,X,O,X,X,O,X
IJZLTOS,X,X,O,X,X,O,X
IJZLSTO,X,X,O,X,X,X,X
IJZLSOT,X,X,O,X,X,X,X
IJZLOTS,X,X,O,X,X,O,O
IJZLOST,X,X,O,X,X,X,O
IJZSTLO,X,X,O,X,X,O,X
IJZSTOL,X,X,O,X,X,O,X
IJZSLTO,X,X,O,X,X,X,X
IJZSLOT,X,O,O,X,X,X,X
IJZSOTL,X,X,O,X,X,O,X
IJZSOLT,X,O,O,X,X,X,X
IJZOTLS,X,X,X,X,X,O,X
IJZOTSL,X,X,X,X,X,O,X
IJZOLTS,X,X,O,X,X,O,O
IJZOLST,X,X,O,X,X,X,O
IJZOSTL,X,X,O,X,X,O,X
IJZOSLT,X,O,O,X,X,X,X
IJOTLSZ,X,O,O,X,X,X,O
IJOTLZS,X,X,O,X,X,X,O
IJOTSLZ,X,O,O,X,X,X,X
IJOTSZL,X,O,O,X,X,O,X
IJOTZLS,X,X,X,X,X,O,X
IJOTZSL,X,O,X,X,X,O,X
IJOLTSZ,X,X,O,X,X,X,O
IJOLTZS,X,X,O,X,X,X,O
IJOLSTZ,X,O,O,X,X,X,O
IJOLSZT,X,O,O,X,X,X,O
IJOLZTS,X,X,O,X,X,X,O
IJOLZST,X,X,O,X,X,X,O
IJOSTLZ,X,O,O,X,X,X,X
IJOSTZL,X,X,O,X,X,O,X
IJOSLTZ,X,O,O,X,X,X,O
IJOSLZT,X,O,O,X,X,X,O
IJOSZTL,X,X,O,X,X,O,X
IJOSZLT,X,O,O,X,X,X,X
IJOZTLS,X,X,X,X,X,O,X
IJOZTSL,X,X,X,X,X,O,X
IJOZLTS,X,X,O,X,X,O,O
IJOZLST,X,X,O,X,X,X,O
IJOZSTL,X,X,O,X,X,O,X
IJOZSLT,X,O,O,X,X,X,X
ISTLJZO,O,O,X,X,O,X,X
ISTLJOZ,O,O,X,X,O,X,X
ISTLZJO,O,O,X,X,O,X,X
ISTLZOJ,O,O,X,X,O,X,X
ISTLOJZ,O,O,X,X,O,X,X
ISTLOZJ,O,O,X,X,O,X,X
ISTJLZO,O,O,X,X,O,X,X
ISTJLOZ,O,O,X,X,O,X,X
ISTJZLO,O,O,X,X,O,X,X
ISTJZOL,O,O,X,X,O,X,X
ISTJOLZ,O,O,X,X,O,X,X
ISTJOZL,O,O,X,X,O,X,X
ISTZLJO,O,O,X,X,O,X,X
ISTZLOJ,O,O,X,X,O,X,X
ISTZJLO,O,O,X,X,O,X,X
ISTZJOL,O,O,X,X,O,X,X
ISTZOLJ,O,O,X,X,O,X,X
ISTZOJL,O,O,X,X,O,X,X
ISTOLJZ,O,O,X,X,O,X,X
ISTOLZJ,O,O,X,X,O,X,X
ISTOJLZ,O,O,X,X,O,X,X
ISTOJZL,O,O,X,X,O,X,X
ISTOZLJ,O,O,X,X,O,X,X
ISTOZJL,O,O,X,X,O,X,X
ISLTJZO,O,O,O,X,O,X,X
ISLTJOZ,O,O,O,X,O,X,X
ISLTZJO,O,O,O,X,O,X,X
ISLTZOJ,O,O,O,X,O,X,X
ISLTOJZ,O,O,O,X,O,X,X
ISLTOZJ,O,O,O,X,O,X,X
ISLJTZO,X,X,O,X,O,X,X
ISLJTOZ,X,O,O,X,O,X,X
ISLJZTO,O,X,O,X,O,X,X
ISLJZOT,O,O,O,X,X,X,X
ISLJOTZ,X,O,O,X,X,X,O
ISLJOZT,O,O,O,X,X,X,O
ISLZTJO,O,X,O,X,O,X,X
ISLZTOJ,O,X,O,X,O,X,X
ISLZJTO,O,X,O,X,O,X,X
ISLZJOT,O,O,O,X,X,X,X
ISLZOTJ,O,X,O,X,O,X,X
ISLZOJT,O,O,O,X,X,X,X
ISLOTJZ,O,O,O,X,O,X,X
ISLOTZJ,O,O,O,X,O,X,X
ISLOJTZ,X,O,O,X,X,X,O
ISLOJZT,O,O,O,X,X,X,O
ISLOZTJ,O,X,O,X,O,X,X
ISLOZJT,O,O,O,X,X,X,X
ISJTLZO,O,X,O,X,O,X,X
ISJTLOZ,O,O,O,X,O,X,X
ISJTZLO,O,X,O,X,O,X,X
ISJTZOL,O,X,O,X,O,X,X
ISJTOLZ,O,O,X,X,O,X,X
ISJTOZL,O,X,X,X,O,X,X
ISJLTZO,X,X,O,X,O,X,X
ISJLTOZ,X,O,O,X,O,X,X
ISJLZTO,O,X,O,X,O,X,X
ISJLZOT,O,O,O,X,X,X,X
ISJLOTZ,X,O,O,X,X,X,O
ISJLOZT,O,O,O,X,X,X,O
ISJZTLO,X,X,O,X,O,X,X
ISJZTOL,O,X,O,X,O,X,X
ISJZLTO,X,X,O,X,O,X,X
ISJZLOT,O,O,O,X,X,X,X
ISJZOTL,O,X,O,X,X,X,X
ISJZOLT,O,O,O,X,X,X,X
ISJOTLZ,O,O,O,X,X,X,X
ISJOTZL,O,X,O,X,X,X,X
ISJOLTZ,X,O,O,X,X,X,O
ISJOLZT,O,O,O,X,X,X,O
ISJOZTL,O,X,O,X,X,X,X
ISJOZLT,O,O,O,X,X,X,X
ISZTLJO,O,X,X,X,O,X,X
ISZTLOJ,O,X,X,X,O,X,X
ISZTJLO,O,X,O,X,O,X,X
ISZTJOL,O,X,O,X,O,X,X
ISZTOLJ,O,X,O,X,O,X,X
ISZTOJL,O,X,O,X,O,X,X
ISZLTJO,O,X,O,X,O,X,X
ISZLTOJ,O,X,O,X,O,X,X
ISZLJTO,O,X,O,X,O,X,X
ISZLJOT,O,O,O,X,X,X,X
ISZLOTJ,O,X,O,X,O,X,X
ISZLOJT,O,O,O,X,X,X,X
ISZJTLO,O,X,O,X,O,X,X
ISZJTOL,O,X,O,X,O,X,X
ISZJLTO,O,X,O,X,O,X,X
ISZJLOT,O,O,O,X,X,X,X
ISZJOTL,O,X,O,X,X,X,X
ISZJOLT,O,O,O,X,X,X,X
ISZOTLJ,O,X,O,X,O,X,X
ISZOTJL,O,X,O,X,O,X,X
ISZOLTJ,O,X,O,X,O,X,X
ISZOLJT,O,O,O,X,X,X,X
ISZOJTL,O,X,O,X,X,X,X
ISZOJLT,O,O,O,X,X,X,X
ISOTLJZ,O,O,O,X,O,X,X
ISOTLZJ,O,O,O,X,O,X,X
ISOTJLZ,O,O,O,X,O,X,X
ISOTJZL,O,O,O,X,O,X,X
ISOTZLJ,O,O,O,X,O,X,X
ISOTZJL,O,O,O,X,O,X,X
ISOLTJZ,O,O,O,X,O,X,X
ISOLTZJ,O,O,O,X,O,X,X
ISOLJTZ,X,O,O,X,X,X,O
ISOLJZT,O,O,O,X,X,X,O
ISOLZTJ,O,X,O,X,O,X,X
ISOLZJT,O,O,O,X,X,X,X
ISOJTLZ,O,O,O,X,X,X,X
ISOJTZL,O,X,O,X,X,X,X
ISOJLTZ,X,O,O,X,X,X,O
ISOJLZT,O,O,O,X,X,X,O
ISOJZTL,O,X,O,X,X,X,X
ISOJZLT,O,O,O,X,X,X,X
ISOZTLJ,O,X,O,X,O,X,X
ISOZTJL,O,X,O,X,O,X,X
ISOZLTJ,O,X,O,X,O,X,X
ISOZLJT,O,O,O,X,X,X,X
ISOZJTL,O,X,O,X,X,X,X
ISOZJLT,O,O,O,X,X,X,X
IZTLJSO,O,X,X,O,O,O,X
IZTLJOS,O,X,X,O,X,O,X
IZTLSJO,O,X,X,O,O,X,X
IZTLSOJ,O,X,X,O,O,X,X
IZTLOJS,O,X,X,O,X,O,X
IZTLOSJ,O,X,X,O,X,X,X
IZTJLSO,O,X,X,O,O,O,X
IZTJLOS,O,X,X,O,X,O,X
IZTJSLO,O,O,X,X,O,O,X
IZTJSOL,O,O,X,X,O,O,X
IZTJOLS,O,X,X,O,X,O,X
IZTJOSL,O,O,X,X,X,O,X
IZTSLJO,O,O,X,O,O,X,X
IZTSLOJ,O,O,X,O,O,X,X
IZTSJLO,O,O,X,X,O,O,X
IZTSJOL,O,O,X,X,O,O,X
IZTSOLJ,O,O,X,O,O,X,X
IZTSOJL,O,O,X,X,O,O,X
IZTOLJS,O,X,X,O,X,O,X
IZTOLSJ,O,X,X,O,X,X,X
IZTOJLS,O,X,X,O,X,O,X
IZTOJSL,O,O,X,X,X,O,X
IZTOSLJ,O,O,X,O,X,X,X
