sequence,v115@9gB8HeB8FeA8AeB8AeA8FeD8PeOFJvhFlhB3iB5oBU?mBywBzsB,v115@9gB8HeB8FeA8AeB8AeA8FeD8PeOFJvhFXhBliB5oBU?nBTrByxB,v115@9gB8HeB8FeA8AeB8AeA8FeD8PeOFJvhFiiB5oBFmBf?tBUsBTrB,v115@9gB8HeB8FeA8AeB8AeA8FeD8PexAJvhF/nBGjBilBc?rBVxBTtB,v115@9gB8HeB8FeA8AeB8AeA8FeD8PeOFJvhF/nB5oBFmBa?tBUsBTrB,v115@9gB8HeB8FeA8AeB8AeA8FeD8PeOFJvhF6oBFmBXnB0?nBTrBxxB,v115@9gB8HeB8FeA8AeB8AeA8FeD8PeOFJvhFxhB6oBFmB3?rBUtBTsB,v115@9gB8HeB8FeA8AeB8AeA8FeD8PeOFJvhFxhBTnB0rBX?tB6tBFrB
TJOIZLS,O,O,X,X,X,X,X,X
TJOIZSL,O,O,O,X,O,X,X,X
TJOLISZ,O,O,X,X,X,O,X,X
TJOLIZS,O,O,X,X,X,X,X,X
TJOLSIZ,O,O,X,X,X,X,X,X
TJOLSZI,O,O,X,X,X,X,X,X
TJOLZIS,O,O,X,X,X,X,X,X
TJOLZSI,O,O,X,X,X,X,X,X
TJOSILZ,O,O,X,X,X,X,X,X
TJOSIZL,O,O,X,X,X,X,O,X
TJOSLIZ,O,O,X,X,X,X,X,X
TJOSLZI,O,O,X,X,X,X,X,X
TJOSZIL,O,O,X,X,X,X,X,X
TJOSZLI,O,O,X,X,X,X,X,X
TJOZILS,O,O,X,X,X,X,X,X
TJOZISL,O,O,O,X,O,X,X,X
TJOZLIS,O,O,X,X,X,X,X,X
TJOZLSI,O,O,X,X,X,X,X,X
TJOZSIL,O,O,X,X,O,X,X,X
TJOZSLI,O,O,X,X,X,X,X,X
TSILJZO,O,O,O,X,X,O,O,X
TSILJOZ,O,O,X,X,X,O,X,X
TSILZJO,O,O,O,X,X,O,O,X
TSILZOJ,O,O,O,X,X,X,O,X
TSILOJZ,O,O,X,X,X,O,X,X
TSILOZJ,X,O,X,X,X,X,X,X
TSIJLZO,O,O,O,X,X,O,O,X
TSIJLOZ,O,O,X,X,X,O,X,X
TSIJZLO,O,O,O,O,O,O,O,X
TSIJZOL,O,O,O,O,O,X,O,X
TSIJOLZ,O,O,X,X,X,O,X,X
TSIJOZL,O,O,X,X,X,X,O,X
TSIZLJO,O,X,O,O,O,O,O,X
TSIZLOJ,X,X,O,O,X,X,O,X
TSIZJLO,O,O,O,O,O,O,O,X
TSIZJOL,O,O,O,O,O,X,O,X
TSIZOLJ,X,X,O,X,X,X,O,X
TSIZOJL,O,X,O,O,O,X,O,X
