sequence,v115@ShB8CeA8AeB8AeB8BeE8Jex/IvhF0hB6nBTjBOpBll?BXrB,v115@ShB8CeA8AeB8AeB8BeE8Jex/IvhF6nBTjBOpB0lBlm?BXrB,v115@ShB8CeA8AeB8AeB8BeE8JeZEJvhFzfB3hBGjBqqBls?BUrB
TOZIJLS,O,O,O
TOZIJSL,O,O,X
TOZISLJ,O,X,X
TOZISJL,X,X,X
TOZLIJS,O,O,O
TOZLISJ,O,X,O
TOZLJIS,O,O,O
TOZLJSI,O,O,O
TOZLSIJ,O,X,O
TOZLSJI,O,O,O
TOZJILS,O,O,O
TOZJISL,O,O,X
TOZJLIS,O,O,O
TOZJLSI,O,O,O
TOZJSIL,O,O,X
TOZJSLI,O,O,X
TOZSILJ,O,X,X
TOZSIJL,O,X,X
TOZSLIJ,O,X,X
TOZSLJI,O,O,X
TOZSJIL,O,O,X
TOZSJLI,O,O,X
ITLJSZO,O,X,O
ITLJSOZ,O,X,O
ITLJZSO,O,O,O
ITLJZOS,O,O,O
ITLJOSZ,O,X,O
ITLJOZS,O,O,O
ITLSJZO,X,X,O
ITLSJOZ,X,X,O
ITLSZJO,X,X,O
ITLSZOJ,O,X,O
ITLSOJZ,X,X,O
ITLSOZJ,O,X,O
ITLZJSO,O,O,O
ITLZJOS,O,O,O
ITLZSJO,X,X,O
ITLZSOJ,O,X,O
ITLZOJS,O,O,O
ITLZOSJ,O,X,O
ITLOJSZ,O,X,O
ITLOJZS,O,O,O
ITLOSJZ,X,X,O
ITLOSZJ,O,X,O
ITLOZJS,O,O,O
ITLOZSJ,O,X,O
ITJLSZO,O,X,O
ITJLSOZ,O,X,O
ITJLZSO,O,O,O
ITJLZOS,O,O,O
ITJLOSZ,O,X,O
ITJLOZS,O,O,O
ITJSLZO,O,X,O
ITJSLOZ,O,X,O
ITJSZLO,O,X,O
ITJSZOL,O,X,X
ITJSOLZ,O,X,O
ITJSOZL,O,X,X
ITJZLSO,O,O,O
ITJZLOS,O,O,O
ITJZSLO,O,O,O
ITJZSOL,O,O,X
ITJZOLS,O,O,O
ITJZOSL,O,O,X
ITJOLSZ,O,X,O
ITJOLZS,O,O,O
ITJOSLZ,O,X,O
ITJOSZL,O,X,X
ITJOZLS,O,O,O
ITJOZSL,O,O,X
ITSLJZO,X,X,O
ITSLJOZ,X,X,O
ITSLZJO,X,X,O
ITSLZOJ,O,X,O
