sequence,v115@WhB8BeD8AeF8Jei/IvhFzgBRiBcoB3kBGnBlqB,v115@WhB8BeD8AeF8Jei/IvhFWmBxhBTjB3kB0nBlqB,v115@WhB8BeD8AeF8JeOEJvhF8kBzgBCiBxnBXoBlqB,v115@WhB8BeD8AeF8JeOEJvhFlgBCiBzkB8qBxsBXtB,v115@WhB8BeD8AeF8JeT/IvhFlgBWnBxiBypB8qBXtB,v115@WhB8BeD8AeF8JeWHJvhFxiBikBzlBXoB0kBlqB,v115@WhB8BeD8AeF8Je2EJvhFChBTjBxmB3kB0nBlqB,v115@WhB8BeD8AeF8JeKEJvhFxhBTjBFlBXmB0nBGqB,v115@WhB8BeD8AeF8JeKEJvhFTjBFlBxmBXmB0nBGqB,v115@WhB8BeD8AeF8Je2EJvhFTjB1qBxmB3kB0nBCrB
TSOJILZ,O,O,X,X,X,O,O,X,X,O
TSOJIZL,O,O,X,X,X,X,X,X,X,O
TSOJLIZ,O,O,X,X,X,O,O,X,X,X
TSOJLZI,O,O,X,X,X,O,X,X,X,X
TSOJZIL,O,O,X,X,X,X,X,X,X,X
TSOJZLI,O,O,X,X,X,X,X,X,X,X
TSOZILJ,O,O,O,X,X,X,X,X,X,X
TSOZIJL,O,O,O,X,X,X,X,X,X,X
TSOZLIJ,O,O,O,X,X,X,X,X,X,X
TSOZLJI,O,O,O,X,X,X,X,X,X,X
TSOZJIL,O,O,O,X,X,X,X,X,X,X
TSOZJLI,O,O,O,X,X,X,X,X,X,X
TZILJSO,O,O,O,X,O,X,X,X,X,X
TZILJOS,O,O,O,O,O,X,O,X,X,X
TZILSJO,O,O,O,X,O,X,X,O,X,X
TZILSOJ,O,O,O,O,O,X,X,O,X,X
TZILOJS,X,O,O,O,O,X,O,X,X,X
TZILOSJ,O,O,O,O,O,X,X,O,X,X
TZIJLSO,O,O,O,X,O,X,X,X,X,X
TZIJLOS,O,O,O,O,O,X,O,X,X,X
TZIJSLO,O,O,O,X,O,X,X,X,X,X
TZIJSOL,O,O,O,X,O,X,X,X,X,X
TZIJOLS,O,O,O,O,O,X,O,X,X,O
TZIJOSL,O,O,O,O,X,X,X,X,X,O
TZISLJO,O,O,O,X,O,X,X,O,X,X
TZISLOJ,O,O,O,O,O,X,X,O,X,X
TZISJLO,O,O,O,X,O,X,X,X,X,X
TZISJOL,O,O,O,X,O,X,X,X,X,X
TZISOLJ,O,O,O,O,O,X,X,O,X,X
TZISOJL,O,O,O,O,O,X,X,X,X,X
TZIOLJS,X,O,O,O,X,X,O,X,X,X
TZIOLSJ,O,O,O,O,X,X,X,O,X,X
TZIOJLS,O,O,O,O,X,X,O,X,X,O
TZIOJSL,O,O,O,O,X,X,X,X,X,O
TZIOSLJ,O,O,O,O,X,X,X,O,X,X
TZIOSJL,O,O,O,O,X,X,X,X,X,X
TZLIJSO,O,O,O,X,O,X,X,X,X,X
TZLIJOS,O,O,O,O,O,X,O,X,X,X
TZLISJO,O,O,O,X,O,X,X,O,X,X
TZLISOJ,O,O,O,O,O,X,X,O,X,X
TZLIOJS,X,O,O,O,O,X,O,X,X,X
TZLIOSJ,O,O,O,O,O,X,X,O,X,X
TZLJISO,O,O,O,X,O,X,X,X,X,X
TZLJIOS,O,O,O,O,O,X,O,X,X,X
TZLJSIO,O,O,O,X,O,X,X,O,X,X
TZLJSOI,O,O,O,X,O,X,X,O,X,X
TZLJOIS,O,O,O,O,O,X,O,X,X,X
TZLJOSI,O,O,O,O,O,X,X,O,X,X
TZLSIJO,O,O,O,X,O,X,X,O,X,X
TZLSIOJ,O,O,O,O,O,X,X,O,X,X
TZLSJIO,O,O,O,X,O,X,X,O,X,X
TZLSJOI,O,O,O,X,O,X,X,O,X,X
TZLSOIJ,O,O,O,O,O,X,X,O,X,X
TZLSOJI,O,O,O,O,O,X,X,O,X,X
TZLOIJS,X,O,O,O,O,X,O,X,X,X
TZLOISJ,O,O,O,O,O,X,X,O,X,X
TZLOJIS,O,O,O,O,O,X,O,X,X,X
TZLOJSI,O,O,O,O,O,X,X,O,X,X
TZLOSIJ,O,O,O,O,O,X,X,O,X,X
TZLOSJI,O,O,O,O,O,X,X,O,X,X
TZJILSO,O,O,O,X,O,X,X,X,X,X
TZJILOS,O,O,O,O,O,X,O,X,X,X
TZJISLO,O,O,O,X,O,X,X,X,X,X
TZJISOL,O,O,O,X,O,X,X,X,X,X
TZJIOLS,O,O,O,O,O,X,O,X,X,O
TZJIOSL,O,O,O,O,X,X,X,X,X,O
TZJLISO,O,O,O,X,O,X,X,X,X,X
TZJLIOS,O,O,O,O,O,X,O,X,X,X
TZJLSIO,O,O,O,X,O,X,X,X,X,X
TZJLSOI,O,O,O,X,O,X,X,X,X,X
TZJLOIS,O,O,O,O,O,X,O,X,X,X
TZJLOSI,O,O,O,O,O,X,X,X,X,X
TZJSILO,O,O,O,X,O,X,X,X,X,X
TZJSIOL,O,O,O,X,O,X,X,X,X,X
TZJSLIO,O,O,O,X,O,X,X,X,X,X
TZJSLOI,O,O,O,X,O,X,X,X,X,X
TZJSOIL,O,O,O,X,O,X,X,X,X,X
TZJSOLI,O,O,O,X,O,X,X,X,X,X
TZJOILS,O,O,O,O,O,X,O,X,X,O
TZJOISL,O,O,O,O,X,X,X,X,X,O
TZJOLIS,O,O,O,O,O,X,O,X,X,X
TZJOLSI,O,O,O,O,O,X,X,X,X,X
TZJOSIL,O,O,O,O,O,X,X,X,X,X
TZJOSLI,O,O,O,O,O,X,X,X,X,X
TZSILJO,O,O,O,X,O,X,X,O,X,X
TZSILOJ,O,O,O,O,O,X,X,O,X,X
TZSIJLO,O,O,O,X,O,X,X,X,X,X
TZSIJOL,O,O,O,X,O,X,X,X,X,X
TZSIOLJ,O,O,O,O,O,X,X,O,X,X
TZSIOJL,O,O,O,O,O,X,X,X,X,X
TZSLIJO,O,O,O,X,O,X,X,O,X,X
TZSLIOJ,O,O,O,O,O,X,X,O,X,X
TZSLJIO,O,O,O,X,O,X,X,O,X,X
TZSLJOI,O,O,O,X,O,X,X,O,X,X
TZSLOIJ,O,O,O,O,O,X,X,O,X,X
TZSLOJI,O,O,O,O,O,X,X,O,X,X
TZSJILO,O,O,O,X,O,X,X,X,X,X
TZSJIOL,O,O,O,X,O,X,X,X,X,X
TZSJLIO,O,O,O,X,O,X,X,X,X,X
TZSJLOI,O,O,O,X,O,X,X,X,X,X
TZSJOIL,O,O,O,X,O,X,X,X,X,X
TZSJOLI,O,O,O,X,O,X,X,X,X,X
TZSOILJ,O,O,O,O,O,X,X,O,X,X
TZSOIJL,O,O,O,O,O,X,X,X,X,X
TZSOLIJ,O,O,O,O,O,X,X,O,X,X
TZSOLJI,O,O,O,O,O,X,X,O,X,X
TZSOJIL,O,O,O,O,O,X,X,X,X,X
TZSOJLI,O,O,O,O,O,X,X,X,X,X
TZOILJS,X,O,O,O,X,X,O,X,X,X
TZOILSJ,O,O,O,O,X,X,X,O,X,X
TZOIJLS,O,O,O,O,X,X,O,X,X,O
TZOIJSL,O,O,O,O,X,X,X,X,X,O
TZOISLJ,O,O,O,O,X,X,X,O,X,X
TZOISJL,O,O,O,O,X,X,X,X,X,X
TZOLIJS,X,O,O,O,O,X,O,X,X,X
TZOLISJ,O,O,O,O,O,X,X,O,X,X
TZOLJIS,O,O,O,O,O,X,O,X,X,X
TZOLJSI,O,O,O,O,O,X,X,O,X,X
TZOLSIJ,O,O,O,O,O,X,X,O,X,X
TZOLSJI,O,O,O,O,O,X,X,O,X,X
TZOJILS,O,O,O,O,O,X,O,X,X,O
TZOJISL,O,O,O,O,X,X,X,X,X,O
TZOJLIS,O,O,O,O,O,X,O,X,X,X
TZOJLSI,O,O,O,O,O,X,X,X,X,X
TZOJSIL,O,O,O,O,O,X,X,X,X,X
TZOJSLI,O,O,O,O,O,X,X,X,X,X
TZOSILJ,O,O,O,O,O,X,X,O,X,X
TZOSIJL,O,O,O,O,O,X,X,X,X,X
TZOSLIJ,O,O,O,O,O,X,X,O,X,X
TZOSLJI,O,O,O,O,O,X,X,O,X,X
TZOSJIL,O,O,O,O,O,X,X,X,X,X
TZOSJLI,O,O,O,O,O,X,X,X,X,X
TOILJSZ,X,X,X,X,X,X,O,X,O,O
TOILJZS,X,X,O,O,X,X,O,X,O,O
TOILSJZ,X,X,X,X,X,X,O,X,O,X
TOILSZJ,X,X,O,X,X,X,X,X,O,X
TOILZJS,X,X,O,O,X,X,O,X,O,X
TOILZSJ,X,X,O,O,X,X,X,X,O,X
TOIJLSZ,X,O,X,X,X,X,O,X,X,O
TOIJLZS,X,X,O,O,X,X,O,X,X,O
TOIJSLZ,O,O,X,X,X,X,O,X,X,O
TOIJSZL,O,O,X,X,X,X,X,X,X,O
TOIJZLS,O,X,O,O,X,X,O,X,X,O
TOIJZSL,O,O,O,O,X,X,X,X,X,O
TOISLJZ,O,O,X,X,X,X,O,X,X,X
TOISLZJ,O,X,O,X,X,X,X,X,X,X
TOISJLZ,O,O,X,X,X,X,O,X,X,O
TOISJZL,O,O,X,X,X,X,X,X,X,O
TOISZLJ,O,X,O,X,X,X,X,X,X,X
TOISZJL,O,X,O,X,X,X,X,X,X,X
TOIZLJS,X,X,O,O,X,X,O,X,X,X
TOIZLSJ,O,X,O,O,X,X,X,X,X,X
TOIZJLS,O,X,O,O,X,X,O,X,X,O
TOIZJSL,O,X,O,O,X,X,X,X,X,O
TOIZSLJ,O,X,O,O,X,X,X,X,X,X
TOIZSJL,O,X,O,O,X,X,X,X,X,X
TOLIJSZ,X,X,X,X,X,X,O,X,O,O
TOLIJZS,X,X,O,O,X,X,O,X,O,O
TOLISJZ,X,X,X,X,X,X,O,X,O,X
TOLISZJ,X,X,O,X,X,X,X,X,O,X
TOLIZJS,X,X,O,O,X,X,O,X,O,X
TOLIZSJ,X,X,O,O,X,X,X,X,O,X
TOLJISZ,X,O,X,X,X,X,O,X,O,O
TOLJIZS,X,X,O,O,X,X,O,X,O,O
TOLJSIZ,O,O,X,X,X,O,O,X,X,X
TOLJSZI,O,O,X,X,X,O,X,X,X,X
TOLJZIS,O,X,O,O,X,X,O,X,X,X
TOLJZSI,O,X,O,O,X,X,X,X,X,X
TOLSIJZ,O,O,X,X,X,O,O,X,O,X
TOLSIZJ,O,X,O,X,X,X,X,X,O,X
TOLSJIZ,O,O,X,X,X,O,O,X,X,X
TOLSJZI,O,O,X,X,X,O,X,X,X,X
TOLSZIJ,O,X,O,X,X,X,X,X,X,X
TOLSZJI,O,O,O,X,X,X,X,X,X,X
TOLZIJS,X,X,O,O,X,X,O,X,O,X
TOLZISJ,O,X,O,O,X,X,X,X,O,X
TOLZJIS,O,X,O,O,X,X,O,X,X,X
TOLZJSI,O,X,O,O,X,X,X,X,X,X
TOLZSIJ,O,X,O,O,X,X,X,X,X,X
TOLZSJI,O,X,O,O,X,X,X,X,X,X
TOJILSZ,X,O,X,X,X,X,O,X,X,O
TOJILZS,X,X,O,O,X,X,O,X,X,O
TOJISLZ,O,O,X,X,X,X,O,X,X,O
TOJISZL,O,O,X,X,X,X,X,X,X,O
TOJIZLS,O,O,O,O,X,X,O,X,X,O
TOJIZSL,O,O,O,O,X,X,X,X,X,O
TOJLISZ,X,O,X,X,X,X,O,X,X,O
TOJLIZS,X,X,O,O,X,X,O,X,X,O
TOJLSIZ,O,O,X,X,X,O,O,X,X,X
TOJLSZI,O,O,X,X,X,O,X,X,X,X
TOJLZIS,O,X,O,O,X,X,O,X,X,X
TOJLZSI,O,X,O,O,X,X,X,X,X,X
TOJSILZ,O,O,X,X,X,O,O,X,X,O
TOJSIZL,O,O,X,X,X,X,X,X,X,O
TOJSLIZ,O,O,X,X,X,O,O,X,X,X
TOJSLZI,O,O,X,X,X,O,X,X,X,X
TOJSZIL,O,O,X,X,X,X,X,X,X,X
TOJSZLI,O,O,X,X,X,X,X,X,X,X
TOJZILS,O,O,O,O,X,X,O,X,X,O
TOJZISL,O,O,O,O,X,X,X,X,X,O
TOJZLIS,O,O,O,O,X,X,O,X,X,X
TOJZLSI,O,O,O,O,X,X,X,X,X,X
TOJZSIL,O,O,O,O,X,X,X,X,X,X
TOJZSLI,O,O,O,O,X,X,X,X,X,X
TOSILJZ,O,O,X,X,X,O,O,X,X,X
TOSILZJ,O,X,O,X,X,X,X,X,X,X
TOSIJLZ,O,O,X,X,X,O,O,X,X,O
TOSIJZL,O,O,X,X,X,X,X,X,X,O
TOSIZLJ,O,X,O,X,X,X,X,X,X,X
TOSIZJL,O,X,O,X,X,X,X,X,X,X
TOSLIJZ,O,O,X,X,X,O,O,X,X,X
TOSLIZJ,O,X,O,X,X,X,X,X,X,X
TOSLJIZ,O,O,X,X,X,O,O,X,X,X
TOSLJZI,O,O,X,X,X,O,X,X,X,X
TOSLZIJ,O,O,O,X,X,X,X,X,X,X
TOSLZJI,O,O,O,X,X,X,X,X,X,X
TOSJILZ,O,O,X,X,X,O,O,X,X,O
TOSJIZL,O,O,X,X,X,X,X,X,X,O
TOSJLIZ,O,O,X,X,X,O,O,X,X,X
TOSJLZI,O,O,X,X,X,O,X,X,X,X
TOSJZIL,O,O,X,X,X,X,X,X,X,X
TOSJZLI,O,O,X,X,X,X,X,X,X,X
TOSZILJ,O,O,O,X,X,X,X,X,X,X
TOSZIJL,O,O,O,X,X,X,X,X,X,X
TOSZLIJ,O,O,O,X,X,X,X,X,X,X
TOSZLJI,O,O,O,X,X,X,X,X,X,X
TOSZJIL,O,O,O,X,X,X,X,X,X,X
TOSZJLI,O,O,O,X,X,X,X,X,X,X
TOZILJS,X,O,O,O,X,X,O,X,X,X
TOZILSJ,O,O,O,O,X,X,X,X,X,X
TOZIJLS,O,O,O,O,X,X,O,X,X,O
TOZIJSL,O,O,O,O,X,X,X,X,X,O
TOZISLJ,O,O,O,O,X,X,X,X,X,X
TOZISJL,O,O,O,O,X,X,X,X,X,X
TOZLIJS,X,O,O,O,X,X,O,X,X,X
TOZLISJ,O,O,O,O,X,X,X,X,X,X
TOZLJIS,O,O,O,O,X,X,O,X,X,X
TOZLJSI,O,O,O,O,X,X,X,X,X,X
TOZLSIJ,O,O,O,O,X,X,X,X,X,X
TOZLSJI,O,O,O,O,X,X,X,X,X,X
TOZJILS,O,O,O,O,X,X,O,X,X,O
TOZJISL,O,O,O,O,X,X,X,X,X,O
TOZJLIS,O,O,O,O,X,X,O,X,X,X
TOZJLSI,O,O,O,O,X,X,X,X,X,X
TOZJSIL,O,O,O,O,X,X,X,X,X,X
TOZJSLI,O,O,O,O,X,X,X,X,X,X
TOZSILJ,O,O,O,O,X,X,X,X,X,X
TOZSIJL,O,O,O,O,X,X,X,X,X,X
TOZSLIJ,O,O,O,O,X,X,X,X,X,X
TOZSLJI,O,O,O,O,X,X,X,X,X,X
TOZSJIL,O,O,O,O,X,X,X,X,X,X
TOZSJLI,O,O,O,O,X,X,X,X,X,X
ITLJSZO,X,X,X,X,X,X,X,X,X,X
ITLJSOZ,X,X,X,X,X,X,O,X,X,X
ITLJZSO,X,X,O,X,X,X,X,X,X,X
ITLJZOS,X,X,O,X,X,X,O,X,X,X
ITLJOSZ,X,X,X,X,X,X,O,X,O,O
ITLJOZS,X,X,O,O,X,X,O,X,O,O
ITLSJZO,X,X,X,X,X,X,X,X,X,X
ITLSJOZ,X,X,X,X,X,X,O,X,X,X
ITLSZJO,X,X,O,X,X,X,X,X,X,X
ITLSZOJ,X,X,O,X,X,X,X,X,X,X
ITLSOJZ,X,X,X,X,X,X,O,X,O,X
ITLSOZJ,X,X,O,X,X,X,X,X,O,X
ITLZJSO,X,X,O,X,X,X,X,X,X,X
ITLZJOS,X,X,O,O,X,X,O,X,X,X
ITLZSJO,X,X,O,X,X,X,X,X,X,X
ITLZSOJ,X,X,O,O,X,X,X,X,X,X
ITLZOJS,X,X,O,O,X,X,O,X,O,X
ITLZOSJ,X,X,O,O,X,X,X,X,O,X
ITLOJSZ,X,X,X,X,X,X,O,X,O,O
ITLOJZS,X,X,O,O,X,X,O,X,O,O
ITLOSJZ,X,X,X,X,X,X,O,X,O,X
ITLOSZJ,X,X,O,X,X,X,X,X,O,X
ITLOZJS,X,X,O,O,X,X,O,X,O,X
ITLOZSJ,X,X,O,O,X,X,X,X,O,X
ITJLSZO,X,O,X,X,X,X,X,X,X,X
ITJLSOZ,X,O,X,X,X,X,O,X,X,X
ITJLZSO,X,O,O,X,X,X,X,X,X,X
ITJLZOS,X,O,O,X,X,X,O,X,X,X
ITJLOSZ,X,O,X,X,X,X,O,X,X,O
ITJLOZS,X,X,O,O,X,X,O,X,X,O
ITJSLZO,O,O,X,X,X,X,X,X,X,X
ITJSLOZ,O,O,X,X,X,X,O,X,X,X
ITJSZLO,O,O,X,X,X,X,X,X,X,X
ITJSZOL,O,O,X,X,X,X,X,X,X,X
ITJSOLZ,O,O,X,X,X,X,O,X,X,O
ITJSOZL,O,O,X,X,X,X,X,X,X,O
ITJZLSO,O,O,O,X,X,X,X,X,X,X
ITJZLOS,O,O,O,X,X,X,O,X,X,X
ITJZSLO,O,O,O,X,X,X,X,X,X,X
ITJZSOL,O,O,O,X,X,X,X,X,X,X
ITJZOLS,O,O,O,X,X,X,O,X,X,O
ITJZOSL,O,O,O,X,X,X,X,X,X,O
ITJOLSZ,X,O,X,X,X,X,O,X,X,O
ITJOLZS,X,X,O,O,X,X,O,X,X,O
ITJOSLZ,O,O,X,X,X,X,O,X,X,O
ITJOSZL,O,O,X,X,X,X,X,X,X,O
ITJOZLS,O,O,O,O,X,X,O,X,X,O
ITJOZSL,O,O,O,O,X,X,X,X,X,O
ITSLJZO,O,O,X,X,X,X,X,X,X,X
ITSLJOZ,O,O,X,X,X,X,O,X,X,X
ITSLZJO,O,O,O,X,X,X,X,X,X,X
ITSLZOJ,O,O,O,X,X,X,X,X,X,X
ITSLOJZ,O,O,X,X,X,X,O,X,X,X
ITSLOZJ,O,X,O,X,X,X,X,X,X,X
ITSJLZO,O,O,X,X,X,X,X,X,X,X
ITSJLOZ,O,O,X,X,X,X,O,X,X,X
ITSJZLO,O,O,X,X,X,X,X,X,X,X
ITSJZOL,O,O,X,X,X,X,X,X,X,X
ITSJOLZ,O,O,X,X,X,X,O,X,X,O
ITSJOZL,O,O,X,X,X,X,X,X,X,O
ITSZLJO,O,O,O,X,X,X,X,X,X,X
ITSZLOJ,O,O,O,X,X,X,X,X,X,X
ITSZJLO,O,O,O,X,X,X,X,X,X,X
ITSZJOL,O,O,O,X,X,X,X,X,X,X
ITSZOLJ,O,O,O,X,X,X,X,X,X,X
ITSZOJL,O,O,O,X,X,X,X,X,X,X
ITSOLJZ,O,O,X,X,X,X,O,X,X,X
ITSOLZJ,O,X,O,X,X,X,X,X,X,X
ITSOJLZ,O,O,X,X,X,X,O,X,X,O
ITSOJZL,O,O,X,X,X,X,X,X,X,O
ITSOZLJ,O,X,O,X,X,X,X,X,X,X
ITSOZJL,O,X,O,X,X,X,X,X,X,X
ITZLJSO,O,O,O,X,X,X,X,X,X,X
ITZLJOS,O,O,O,O,X,X,O,X,X,X
ITZLSJO,O,O,O,X,X,X,X,X,X,X
ITZLSOJ,O,O,O,O,X,X,X,X,X,X
ITZLOJS,X,O,O,O,X,X,O,X,X,X
ITZLOSJ,O,O,O,O,X,X,X,X,X,X
ITZJLSO,O,O,O,X,X,X,X,X,X,X
ITZJLOS,O,O,O,O,X,X,O,X,X,X
ITZJSLO,O,O,O,X,X,X,X,X,X,X
ITZJSOL,O,O,O,X,X,X,X,X,X,X
ITZJOLS,O,O,O,O,X,X,O,X,X,O
ITZJOSL,O,O,O,O,X,X,X,X,X,O
ITZSLJO,O,O,O,X,X,X,X,X,X,X
ITZSLOJ,O,O,O,O,X,X,X,X,X,X
ITZSJLO,O,O,O,X,X,X,X,X,X,X
ITZSJOL,O,O,O,X,X,X,X,X,X,X
ITZSOLJ,O,O,O,O,X,X,X,X,X,X
ITZSOJL,O,O,O,O,X,X,X,X,X,X
ITZOLJS,X,O,O,O,X,X,O,X,X,X
ITZOLSJ,O,O,O,O,X,X,X,X,X,X
ITZOJLS,O,O,O,O,X,X,O,X,X,O
ITZOJSL,O,O,O,O,X,X,X,X,X,O
ITZOSLJ,O,O,O,O,X,X,X,X,X,X
ITZOSJL,O,O,O,O,X,X,X,X,X,X
ITOLJSZ,X,X,X,X,X,X,O,X,O,O
ITOLJZS,X,X,O,O,X,X,O,X,O,O
ITOLSJZ,X,X,X,X,X,X,O,X,O,X
ITOLSZJ,X,X,O,X,X,X,X,X,O,X
ITOLZJS,X,X,O,O,X,X,O,X,O,X
ITOLZSJ,X,X,O,O,X,X,X,X,O,X
ITOJLSZ,X,O,X,X,X,X,O,X,X,O
ITOJLZS,X,X,O,O,X,X,O,X,X,O
ITOJSLZ,O,O,X,X,X,X,O,X,X,O
ITOJSZL,O,O,X,X,X,X,X,X,X,O
ITOJZLS,O,X,O,O,X,X,O,X,X,O
ITOJZSL,O,O,O,O,X,X,X,X,X,O
ITOSLJZ,O,O,X,X,X,X,O,X,X,X
ITOSLZJ,O,X,O,X,X,X,X,X,X,X
ITOSJLZ,O,O,X,X,X,X,O,X,X,O
ITOSJZL,O,O,X,X,X,X,X,X,X,O
ITOSZLJ,O,X,O,X,X,X,X,X,X,X
ITOSZJL,O,X,O,X,X,X,X,X,X,X
ITOZLJS,X,X,O,O,X,X,O,X,X,X
ITOZLSJ,O,X,O,O,X,X,X,X,X,X
ITOZJLS,O,X,O,O,X,X,O,X,X,O
ITOZJSL,O,X,O,O,X,X,X,X,X,O
ITOZSLJ,O,X,O,O,X,X,X,X,X,X
ITOZSJL,O,X,O,O,X,X,X,X,X,X
ILTJSZO,X,X,X,X,X,X,X,X,X,X
ILTJSOZ,X,X,X,X,X,X,O,X,X,X
ILTJZSO,X,X,O,X,X,X,X,X,X,X
ILTJZOS,X,X,O,X,X,X,O,X,X,X
ILTJOSZ,X,X,X,X,X,X,O,X,O,O
ILTJOZS,X,X,O,O,X,X,O,X,O,O
ILTSJZO,X,X,X,X,X,X,X,O,X,X
ILTSJOZ,X,X,X,X,X,X,O,X,X,X
ILTSZJO,X,X,O,X,X,X,X,O,X,X
ILTSZOJ,X,X,O,X,X,X,X,O,X,X
ILTSOJZ,X,X,X,X,X,X,O,X,O,X
ILTSOZJ,X,X,O,X,X,X,X,O,O,X
ILTZJSO,X,X,O,X,X,X,X,X,X,X
ILTZJOS,X,X,O,O,X,X,O,X,X,X
ILTZSJO,X,X,O,X,X,X,X,O,X,X
ILTZSOJ,X,X,O,O,X,X,X,O,X,X
ILTZOJS,X,X,O,O,X,X,O,X,O,X
ILTZOSJ,X,X,O,O,X,X,X,O,O,X
ILTOJSZ,X,X,X,X,X,X,O,X,O,O
ILTOJZS,X,X,O,O,X,X,O,X,O,O
ILTOSJZ,X,X,X,X,X,X,O,X,O,X
ILTOSZJ,X,X,O,X,X,X,X,X,O,X
ILTOZJS,X,X,O,O,X,X,O,X,O,X
ILTOZSJ,X,X,O,O,X,X,X,X,O,X
ILJTSZO,X,X,X,X,X,X,X,X,X,X
ILJTSOZ,X,X,X,X,X,X,X,X,X,X
ILJTZSO,X,X,O,X,O,X,X,X,X,X
ILJTZOS,X,X,O,X,O,X,X,X,X,X
ILJTOSZ,X,X,X,X,X,X,X,X,O,X
ILJTOZS,X,X,O,O,O,X,X,X,O,X
ILJSTZO,X,X,X,X,O,X,X,X,X,X
ILJSTOZ,X,X,X,X,O,O,X,X,X,X
ILJSZTO,X,X,O,X,O,X,X,X,X,X
ILJSZOT,X,X,X,X,O,O,X,X,X,X
ILJSOTZ,X,X,X,X,O,O,X,X,X,X
ILJSOZT,X,X,X,O,O,O,X,X,X,X
ILJZTSO,X,X,O,X,O,X,X,X,X,X
ILJZTOS,X,X,O,O,O,X,X,X,X,X
ILJZSTO,X,X,O,X,O,X,X,X,X,X
ILJZSOT,X,X,X,X,O,X,X,X,X,X
ILJZOTS,X,X,O,O,O,X,X,X,X,X
ILJZOST,X,X,X,O,O,X,X,X,X,X
ILJOTSZ,X,X,X,X,X,X,X,X,O,X
ILJOTZS,X,X,X,O,O,X,X,X,O,X
ILJOSTZ,X,X,X,X,O,O,X,X,X,X
ILJOSZT,X,X,X,O,O,O,X,X,X,X
ILJOZTS,X,X,O,O,O,X,X,X,X,X
ILJOZST,X,X,X,O,O,X,X,X,X,X
ILSTJZO,X,X,X,X,O,X,X,O,X,X
ILSTJOZ,X,X,X,X,O,O,X,X,X,X
ILSTZJO,X,X,O,X,O,X,X,O,X,X
ILSTZOJ,X,X,O,X,O,X,X,O,X,X
ILSTOJZ,X,X,X,X,O,O,X,X,O,X
ILSTOZJ,X,X,O,X,O,X,X,O,O,X
ILSJTZO,X,X,X,X,O,X,X,O,X,X
ILSJTOZ,X,X,X,X,O,O,X,X,X,X
ILSJZTO,X,X,O,X,O,X,X,O,X,X
ILSJZOT,X,X,X,X,O,O,X,O,X,X
ILSJOTZ,X,X,X,X,O,O,X,X,X,X
ILSJOZT,X,X,X,O,O,O,X,X,X,X
ILSZTJO,X,X,O,X,O,X,X,O,X,X
ILSZTOJ,X,X,O,O,O,X,X,O,X,X
ILSZJTO,X,X,O,X,O,X,X,O,X,X
ILSZJOT,X,X,X,X,O,O,X,O,X,X
ILSZOTJ,X,X,X,O,O,X,X,O,X,X
ILSZOJT,X,X,X,O,O,O,X,O,X,X
ILSOTJZ,X,X,X,X,O,O,X,X,O,X
ILSOTZJ,X,X,X,X,O,X,X,O,O,X
ILSOJTZ,X,X,X,X,O,O,X,X,X,X
ILSOJZT,X,X,X,O,O,O,X,X,X,X
ILSOZTJ,X,X,X,O,O,X,X,O,X,X
ILSOZJT,X,X,X,O,O,O,X,O,X,X
ILZTJSO,X,X,O,X,O,X,X,X,X,X
ILZTJOS,X,X,O,O,O,X,X,X,X,X
ILZTSJO,X,X,O,X,O,X,X,O,X,X
ILZTSOJ,X,X,O,O,O,X,X,O,X,X
ILZTOJS,X,X,O,O,O,X,X,X,O,X
ILZTOSJ,X,X,O,O,O,X,X,O,O,X
ILZJTSO,X,X,O,X,O,X,X,X,X,X
ILZJTOS,X,X,O,O,O,X,X,X,X,X
ILZJSTO,X,X,O,X,O,X,X,O,X,X
ILZJSOT,X,X,X,X,O,X,X,O,X,X
ILZJOTS,X,X,O,O,O,X,X,X,X,X
ILZJOST,X,X,X,O,O,X,X,O,X,X
ILZSTJO,X,X,O,X,O,X,X,O,X,X
ILZSTOJ,X,X,O,O,O,X,X,O,X,X
ILZSJTO,X,X,O,X,O,X,X,O,X,X
ILZSJOT,X,X,X,X,O,X,X,O,X,X
ILZSOTJ,X,X,X,O,O,X,X,O,X,X
ILZSOJT,X,X,X,O,O,X,X,O,X,X
ILZOTJS,X,X,O,O,O,X,X,X,O,X
ILZOTSJ,X,X,O,O,O,X,X,O,O,X
ILZOJTS,X,X,O,O,O,X,X,X,X,X
ILZOJST,X,X,X,O,O,X,X,O,X,X
ILZOSTJ,X,X,X,O,O,X,X,O,X,X
ILZOSJT,X,X,X,O,O,X,X,O,X,X
ILOTJSZ,X,X,X,X,X,X,O,X,O,O
ILOTJZS,X,X,O,O,X,X,O,X,O,O
ILOTSJZ,X,X,X,X,X,X,O,X,O,X
ILOTSZJ,X,X,O,X,X,X,X,X,O,X
ILOTZJS,X,X,O,O,X,X,O,X,O,X
ILOTZSJ,X,X,O,O,X,X,X,X,O,X
ILOJTSZ,X,X,X,X,X,X,X,X,O,X
ILOJTZS,X,X,X,O,O,X,X,X,O,X
ILOJSTZ,X,X,X,X,O,O,X,X,X,X
ILOJSZT,X,X,X,O,O,O,X,X,X,X
ILOJZTS,X,X,O,O,O,X,X,X,X,X
ILOJZST,X,X,X,O,O,X,X,X,X,X
ILOSTJZ,X,X,X,X,O,O,X,X,O,X
