sequence,v115@DhA8EeE8HeB8CeA8CeC8MeT/IvhFxgBunBcoBlpB3q?BSyB,v115@DhA8EeE8HeB8CeA8CeC8MeT/IvhFxgBCjB8sB+tBlp?B3qB,v115@DhA8EeE8HeB8CeA8CeC8MeT/IvhFxgBSoBUoBlpB3q?BWyB,v115@DhA8EeE8HeB8CeA8CeC8MeT/IvhFxgBWoBXoB0pBlq?BSyB,v115@DhA8EeE8HeB8CeA8CeC8MeT/IvhFxgBGjBqsB/tB0p?BlqB,v115@DhA8EeE8HeB8CeA8CeC8MeT/IvhFxgBGjBlpB3qBCt?BUtB,v115@DhA8EeE8HeB8CeA8CeC8MeT/IvhFxgBfoB6oB0pBlq?BWyB,v115@DhA8EeE8HeB8CeA8CeC8MeT/IvhFxgBGoBlpB3qBUt?BCtB,v115@DhA8EeE8HeB8CeA8CeC8MexAJvhFWoBTkBXoBlqBSy?B0pB,v115@DhA8EeE8HeB8CeA8CeC8Me5HJvhFTkB6tB/qBFmBOt?B0pB,v115@DhA8EeE8HeB8CeA8CeC8Me5HJvhFTkBOtB/qBFmB6t?B0pB,v115@DhA8EeE8HeB8CeA8CeC8MexAJvhFfoB6oBTkBlqBWy?B0pB,v115@DhA8EeE8HeB8CeA8CeC8Mex/IvhFTkBGoBXmBVvBUt?BCtB,v115@DhA8EeE8HeB8CeA8CeC8MeT/IvhFxgBCoB0pBlqBXt?BGtB,v115@DhA8EeE8HeB8CeA8CeC8MeT/IvhF5nBOtB/qBFmB6t?B0pB
ISOTZJL,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X
ISOLTJZ,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X
ISOLTZJ,O,X,X,X,X,O,X,X,X,O,X,X,X,O,X
ISOLJTZ,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
ISOLJZT,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ISOLZTJ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ISOLZJT,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ISOJTLZ,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
ISOJTZL,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
ISOJLTZ,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
ISOJLZT,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ISOJZTL,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
ISOJZLT,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
ISOZTLJ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISOZTJL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISOZLTJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOZLJT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOZJTL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISOZJLT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTLJSO,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X
IZTLJOS,O,X,X,O,O,X,O,X,O,X,X,X,X,X,X
IZTLSJO,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X
IZTLSOJ,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X
IZTLOJS,O,X,X,O,O,X,O,X,O,X,X,X,X,X,X
IZTLOSJ,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X
IZTJLSO,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X
IZTJLOS,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X
IZTJSLO,X,O,X,X,X,X,O,O,X,X,X,O,X,O,X
IZTJSOL,X,O,X,X,X,X,O,O,X,X,X,O,X,O,X
IZTJOLS,X,O,O,O,O,X,O,X,X,X,X,X,O,X,O
IZTJOSL,X,O,X,X,X,X,O,O,X,X,X,O,O,O,O
IZTSLJO,X,X,X,O,O,X,X,O,X,X,X,X,X,O,X
IZTSLOJ,X,X,X,O,O,X,X,O,X,X,X,X,X,O,X
IZTSJLO,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X
IZTSJOL,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X
IZTSOLJ,X,X,X,O,O,X,X,O,X,X,X,X,X,O,X
IZTSOJL,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X
IZTOLJS,O,X,X,O,O,X,O,X,O,X,X,X,O,X,X
IZTOLSJ,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X
IZTOJLS,X,O,O,O,O,X,O,X,X,X,X,X,O,X,O
IZTOJSL,X,O,X,X,X,X,O,O,X,X,X,O,O,O,O
IZTOSLJ,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X
IZTOSJL,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X
IZLTJSO,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IZLTJOS,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X
IZLTSJO,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IZLTSOJ,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IZLTOJS,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X
IZLTOSJ,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IZLJTSO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZLJTOS,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IZLJSTO,O,X,X,X,O,O,O,O,X,X,X,X,X,X,X
IZLJSOT,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X
IZLJOTS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
IZLJOST,O,X,X,O,O,X,O,X,X,X,X,X,X,X,O
IZLSTJO,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X
IZLSTOJ,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X
IZLSJTO,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X
IZLSJOT,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IZLSOTJ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZLSOJT,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IZLOTJS,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IZLOTSJ,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X
IZLOJTS,O,X,X,O,X,X,X,X,X,O,X,X,X,X,O
IZLOJST,O,X,X,O,O,X,O,X,X,O,X,X,X,X,O
IZLOSTJ,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X
IZLOSJT,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X
IZJTLSO,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IZJTLOS,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IZJTSLO,X,O,X,X,X,X,O,O,X,X,X,O,X,X,X
IZJTSOL,X,O,X,X,X,X,O,O,X,X,X,O,X,X,X
IZJTOLS,X,O,O,X,X,X,O,X,X,X,X,X,O,X,O
IZJTOSL,X,O,X,X,X,X,O,O,X,X,X,O,O,X,O
IZJLTSO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJLTOS,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
IZJLSTO,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X
IZJLSOT,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X
IZJLOTS,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O
IZJLOST,X,O,X,O,O,X,O,X,X,X,X,X,X,X,O
IZJSTLO,X,O,O,X,X,X,O,O,X,X,X,O,X,X,X
IZJSTOL,X,O,O,X,X,X,O,O,X,X,X,O,X,X,X
IZJSLTO,X,O,O,X,X,X,O,O,X,X,X,O,X,X,X
IZJSLOT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IZJSOTL,X,O,X,X,X,X,O,O,X,X,X,X,X,X,O
IZJSOLT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O
IZJOTLS,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O
IZJOTSL,X,O,X,X,X,X,O,X,X,X,O,X,X,X,O
IZJOLTS,X,O,X,O,X,X,X,X,X,X,O,X,X,X,O
IZJOLST,X,O,X,O,O,X,O,X,X,X,O,X,X,X,O
IZJOSTL,X,O,X,X,X,X,O,O,X,X,O,X,X,X,O
IZJOSLT,X,O,X,X,X,X,O,X,X,X,O,X,X,X,O
IZSTLJO,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X
IZSTLOJ,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X
IZSTJLO,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X
IZSTJOL,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X
IZSTOLJ,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X
IZSTOJL,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X
IZSLTJO,O,X,X,X,O,O,X,O,X,X,X,X,X,O,X
IZSLTOJ,O,X,X,X,O,O,X,O,X,X,X,X,X,O,X
IZSLJTO,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X
IZSLJOT,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IZSLOTJ,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X
IZSLOJT,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IZSJTLO,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X
IZSJTOL,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X
IZSJLTO,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X
IZSJLOT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IZSJOTL,X,O,X,X,X,X,O,O,X,X,X,X,X,X,O
IZSJOLT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O
IZSOTLJ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZSOTJL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZSOLTJ,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X
IZSOLJT,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IZSOJTL,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O
IZSOJLT,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
IZOTLJS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOTLSJ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZOTJLS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IZOTJSL,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
IZOTSLJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOTSJL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOLTJS,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IZOLTSJ,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
IZOLJTS,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O
IZOLJST,X,X,X,O,O,X,O,X,X,O,X,X,X,X,O
IZOLSTJ,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
IZOLSJT,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
IZOJTLS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O
IZOJTSL,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O
IZOJLTS,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O
IZOJLST,X,X,X,O,O,X,O,X,X,X,O,X,X,X,O
IZOJSTL,X,X,X,X,X,X,O,O,X,X,O,X,X,X,O
IZOJSLT,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O
IZOSTLJ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZOSTJL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZOSLTJ,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X
IZOSLJT,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IZOSJTL,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O
IZOSJLT,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
IOTLJSZ,X,X,O,X,X,X,X,X,O,O,X,O,X,X,X
IOTLJZS,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X
IOTLSJZ,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X
IOTLSZJ,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X
IOTLZJS,O,X,X,O,O,X,X,X,O,O,X,X,X,X,X
IOTLZSJ,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X
IOTJLSZ,X,X,O,X,X,X,X,X,O,X,O,O,X,X,X
IOTJLZS,O,O,O,X,X,X,X,X,O,X,O,X,X,X,X
IOTJSLZ,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X
IOTJSZL,X,O,X,X,X,X,O,X,X,X,O,O,X,X,X
IOTJZLS,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X
IOTJZSL,X,O,X,X,X,X,O,X,X,X,O,O,X,X,X
IOTSLJZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOTSLZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOTSJLZ,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
IOTSJZL,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
IOTSZLJ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOTSZJL,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOTZLJS,O,X,X,O,O,X,O,X,O,X,X,X,X,X,X
IOTZLSJ,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X
IOTZJLS,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X
IOTZJSL,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X
IOTZSLJ,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X
IOTZSJL,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
IOLTJSZ,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
IOLTJZS,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X
IOLTSJZ,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X
IOLTSZJ,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X
IOLTZJS,O,X,X,O,O,X,X,X,O,O,X,X,X,X,X
IOLTZSJ,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X
IOLJTSZ,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X
IOLJTZS,X,X,X,O,X,X,X,X,O,O,O,X,X,X,X
IOLJSTZ,X,X,X,X,X,O,X,X,O,O,O,X,X,X,X
IOLJSZT,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
IOLJZTS,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
IOLJZST,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
IOLSTJZ,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X
IOLSTZJ,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X
IOLSJTZ,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X
IOLSJZT,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
IOLSZTJ,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X
IOLSZJT,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X
IOLZTJS,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IOLZTSJ,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X
IOLZJTS,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IOLZJST,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X
IOLZSTJ,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X
IOLZSJT,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X
IOJTLSZ,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X
IOJTLZS,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
IOJTSLZ,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X
IOJTSZL,X,O,X,X,X,X,O,X,X,X,O,O,X,X,X
IOJTZLS,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X
IOJTZSL,X,O,X,X,X,X,O,X,X,X,O,O,X,X,X
IOJLTSZ,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X
IOJLTZS,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X
IOJLSTZ,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X
IOJLSZT,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
IOJLZTS,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
IOJLZST,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
IOJSTLZ,X,O,O,X,X,X,O,X,X,X,O,O,X,X,X
IOJSTZL,X,O,O,X,X,X,O,X,X,X,O,O,X,X,X
IOJSLTZ,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X
IOJSLZT,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
IOJSZTL,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
IOJSZLT,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
IOJZTLS,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O
IOJZTSL,X,O,X,X,X,X,O,X,X,X,O,X,X,X,O
IOJZLTS,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O
IOJZLST,X,O,X,X,X,X,O,X,X,X,O,X,X,X,O
IOJZSTL,X,O,X,X,X,X,O,X,X,X,O,X,X,X,O
IOJZSLT,X,O,X,X,X,X,O,X,X,X,O,X,X,X,O
IOSTLJZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOSTLZJ,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X
IOSTJLZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOSTJZL,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IOSTZLJ,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X
IOSTZJL,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X
IOSLTJZ,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X
IOSLTZJ,O,X,X,X,X,O,X,X,X,O,X,X,X,O,X
IOSLJTZ,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
IOSLJZT,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOSLZTJ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOSLZJT,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOSJTLZ,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
IOSJTZL,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
IOSJLTZ,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
IOSJLZT,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOSJZTL,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IOSJZLT,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IOSZTLJ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOSZTJL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOSZLTJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSZLJT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSZJTL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOSZJLT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZTLJS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOZTLSJ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOZTJLS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IOZTJSL,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
IOZTSLJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZTSJL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZLTJS,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IOZLTSJ,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
IOZLJTS,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O
IOZLJST,X,X,X,O,O,X,O,X,X,O,X,X,X,X,O
IOZLSTJ,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
IOZLSJT,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
IOZJTLS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O
IOZJTSL,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O
IOZJLTS,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O
IOZJLST,X,X,X,O,O,X,O,X,X,X,O,X,X,X,O
IOZJSTL,X,X,X,X,X,X,O,O,X,X,O,X,X,X,O
IOZJSLT,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O
IOZSTLJ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOZSTJL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOZSLTJ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOZSLJT,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IOZSJTL,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O
IOZSJLT,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
LTIJSZO,X,X,X,O,O,O,O,X,X,X,X,O,X,X,X
LTIJSOZ,X,X,O,X,O,O,O,X,O,X,X,O,X,X,X
LTIJZSO,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
LTIJZOS,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X
LTIJOSZ,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X
LTIJOZS,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X
LTISJZO,O,X,X,O,O,O,X,X,X,X,X,X,X,O,X
LTISJOZ,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X
LTISZJO,O,X,X,O,O,O,X,X,X,X,X,X,X,O,X
LTISZOJ,O,X,X,O,O,O,X,X,X,X,X,X,X,O,X
LTISOJZ,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X
LTISOZJ,O,X,X,X,O,O,X,X,X,X,X,X,X,O,X
LTIZJSO,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X
LTIZJOS,O,X,X,O,O,X,O,X,O,X,X,X,X,X,X
LTIZSJO,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X
LTIZSOJ,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X
LTIZOJS,O,X,X,O,O,X,O,X,O,X,X,X,X,X,X
LTIZOSJ,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X
LTIOJSZ,X,X,O,X,X,X,X,X,O,O,X,O,X,X,X
LTIOJZS,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X
LTIOSJZ,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X
LTIOSZJ,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X
LTIOZJS,O,X,X,O,O,X,X,X,O,O,X,X,X,X,X
LTIOZSJ,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X
LTJISZO,X,X,X,O,O,O,O,X,X,X,X,O,X,X,X
LTJISOZ,X,X,O,X,O,O,O,X,O,X,X,O,X,X,X
LTJIZSO,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
LTJIZOS,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X
LTJIOSZ,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X
LTJIOZS,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X
LTJSIZO,X,X,X,O,O,O,O,X,X,X,X,O,X,X,X
LTJSIOZ,X,X,O,X,O,O,O,X,O,X,X,O,X,X,X
LTJSZIO,X,X,X,O,O,O,O,X,X,X,X,O,X,X,X
LTJSZOI,X,X,X,O,O,O,O,X,X,X,X,O,X,X,X
LTJSOIZ,X,X,O,X,O,O,O,X,O,X,X,O,X,X,X
LTJSOZI,X,X,O,X,O,O,O,X,O,X,X,O,X,X,X
LTJZISO,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
LTJZIOS,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X
LTJZSIO,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
LTJZSOI,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
LTJZOIS,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X
LTJZOSI,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X
LTJOISZ,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X
LTJOIZS,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X
LTJOSIZ,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X
LTJOSZI,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X
LTJOZIS,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X
LTJOZSI,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X
LTSIJZO,O,X,X,O,O,O,X,X,X,X,X,X,X,O,X
LTSIJOZ,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X
LTSIZJO,O,X,X,O,O,O,X,X,X,X,X,X,X,O,X
LTSIZOJ,O,X,X,O,O,O,X,X,X,X,X,X,X,O,X
LTSIOJZ,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X
LTSIOZJ,O,X,X,X,O,O,X,X,X,X,X,X,X,O,X
LTSJIZO,O,X,X,O,O,O,X,X,X,X,X,X,X,O,X
LTSJIOZ,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X
LTSJZIO,O,X,X,O,O,O,X,X,X,X,X,X,X,O,X
LTSJZOI,O,X,X,O,O,O,X,X,X,X,X,X,X,O,X
LTSJOIZ,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X
LTSJOZI,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X
LTSZIJO,O,X,X,O,O,O,X,X,X,X,X,X,X,O,X
LTSZIOJ,O,X,X,O,O,O,X,X,X,X,X,X,X,O,X
LTSZJIO,O,X,X,O,O,O,X,X,X,X,X,X,X,O,X
LTSZJOI,O,X,X,O,O,O,X,X,X,X,X,X,X,O,X
LTSZOIJ,O,X,X,O,O,O,X,X,X,X,X,X,X,O,X
LTSZOJI,O,X,X,O,O,O,X,X,X,X,X,X,X,O,X
LTSOIJZ,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X
LTSOIZJ,O,X,X,X,O,O,X,X,X,X,X,X,X,O,X
LTSOJIZ,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X
LTSOJZI,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X
LTSOZIJ,O,X,X,X,O,O,X,X,X,X,X,X,X,O,X
LTSOZJI,O,X,X,X,O,O,X,X,X,X,X,X,X,O,X
LTZIJSO,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X
LTZIJOS,O,X,X,O,O,X,O,X,O,X,X,X,X,X,X
LTZISJO,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X
LTZISOJ,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X
LTZIOJS,O,X,X,O,O,X,O,X,O,X,X,X,X,X,X
LTZIOSJ,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X
LTZJISO,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X
LTZJIOS,O,X,X,O,O,X,O,X,O,X,X,X,X,X,X
LTZJSIO,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X
LTZJSOI,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X
LTZJOIS,O,X,X,O,O,X,O,X,O,X,X,X,O,X,X
LTZJOSI,O,X,X,O,O,X,O,O,O,X,X,X,O,X,X
LTZSIJO,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X
LTZSIOJ,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X
