sequence,v115@FhB8GeC8IeA8CeA8AeE8Jex/IvhFylBfnBOpB0nBzp?BFrB,v115@FhB8GeC8IeA8CeA8AeE8JeT/IvhFxhBllBcrB2sBip?BXqB,v115@FhB8GeC8IeA8CeA8AeE8Jei/IvhFUhBFiBzkBfrB2u?BRxB,v115@FhB8GeC8IeA8CeA8AeE8Jem/IvhFUhBFiBTkBfrByu?BRxB,v115@FhB8GeC8IeA8CeA8AeE8Jei/IvhFXiBcpBeqBzlBRs?BFrB,v115@FhB8GeC8IeA8CeA8AeE8JeyEJvhFUhBFiBfrBOpBzp?BRxB,v115@FhB8GeC8IeA8CeA8AeE8Je2EJvhFUhBFiBfrBaqBTp?BRxB,v115@FhB8GeC8IeA8CeA8AeE8JeZEJvhFFgBXhBqpBzmB0n?BmqB,v115@FhB8GeC8IeA8CeA8AeE8JeZFJvhFzgBfnB6pBOpB0n?BFrB,v115@FhB8GeC8IeA8CeA8AeE8JemAJvhFfnBxkBTkB0nByu?BFrB,v115@FhB8GeC8IeA8CeA8AeE8JeZFJvhFzgBfnBOpB6pB0n?BFrB,v115@FhB8GeC8IeA8CeA8AeE8JeOEJvhF8kBXiBzlByuBRs?BFrB,v115@FhB8GeC8IeA8CeA8AeE8Jex/IvhFXhBikBzmB0nB1u?BmqB
TSIZLJO,X,X,O,O,O,X,X,X,X,X,X,X,X
TSIZLOJ,X,X,X,O,X,O,O,X,O,X,X,X,X
TSIZJLO,X,X,O,O,O,X,X,X,X,O,X,X,X
TSIZJOL,X,X,O,X,O,O,O,X,X,O,O,X,X
TSIZOLJ,X,X,X,O,X,O,O,X,O,X,X,X,X
TSIZOJL,X,X,O,X,X,O,O,X,X,X,O,X,X
TSIOLJZ,O,X,X,O,X,O,O,X,O,X,O,X,X
TSIOLZJ,X,X,X,O,X,O,O,X,O,X,X,O,X
TSIOJLZ,O,X,O,X,X,O,O,X,O,O,O,X,X
TSIOJZL,O,X,O,X,O,O,O,X,X,O,O,X,X
TSIOZLJ,X,X,X,O,X,O,O,X,O,X,X,X,X
TSIOZJL,X,X,O,X,X,O,O,X,X,X,O,X,X
TSLIJZO,O,X,X,O,X,X,X,X,X,O,X,X,X
TSLIJOZ,O,X,X,O,X,X,X,X,O,O,O,X,X
TSLIZJO,X,X,X,O,X,X,X,X,X,O,X,O,X
TSLIZOJ,X,X,X,O,X,X,X,X,O,X,X,O,X
TSLIOJZ,O,X,X,O,X,X,X,X,O,O,O,X,O
TSLIOZJ,X,X,X,O,X,X,X,X,O,X,X,O,O
TSLJIZO,O,X,O,O,X,X,X,X,X,O,X,X,X
TSLJIOZ,O,X,X,O,X,X,X,X,O,O,O,X,X
TSLJZIO,O,X,O,O,X,X,X,X,X,O,X,X,X
TSLJZOI,O,X,O,O,X,X,X,X,X,X,X,X,X
TSLJOIZ,O,X,O,O,X,X,X,X,O,O,O,X,X
TSLJOZI,O,X,O,O,X,X,X,X,X,X,X,X,X
TSLZIJO,X,X,X,O,X,X,X,X,X,O,X,O,X
TSLZIOJ,X,X,X,O,X,X,X,X,O,X,X,O,X
TSLZJIO,O,X,O,O,X,X,X,X,X,O,X,O,X
TSLZJOI,O,X,O,O,X,X,X,X,X,X,X,X,X
TSLZOIJ,X,X,X,O,X,O,X,X,O,X,X,X,X
TSLZOJI,O,X,X,O,X,O,O,X,X,X,X,X,X
TSLOIJZ,O,X,X,O,X,X,X,X,O,O,O,X,O
TSLOIZJ,X,X,X,O,X,O,X,X,O,X,X,X,O
TSLOJIZ,O,X,X,O,X,X,X,X,O,O,O,X,O
TSLOJZI,O,X,X,O,X,O,O,X,X,X,X,X,O
TSLOZIJ,X,X,X,O,X,O,X,X,O,X,X,X,O
TSLOZJI,O,X,X,O,X,O,O,X,X,X,X,X,O
TSJILZO,O,X,O,X,X,X,X,X,X,O,X,X,X
TSJILOZ,O,X,O,X,X,X,X,X,O,O,O,X,X
TSJIZLO,O,X,O,X,O,X,X,X,X,O,X,X,X
TSJIZOL,X,X,O,X,O,X,X,X,X,O,O,X,X
TSJIOLZ,O,X,O,X,X,X,X,X,O,O,O,X,X
TSJIOZL,X,X,O,X,O,X,X,X,X,O,O,X,X
TSJLIZO,O,X,O,O,X,X,X,X,X,O,X,X,X
TSJLIOZ,O,X,O,X,X,X,X,X,O,O,O,X,O
TSJLZIO,O,X,O,O,X,X,X,X,X,O,X,X,X
TSJLZOI,O,X,O,O,X,X,X,X,X,X,X,X,X
TSJLOIZ,O,X,O,O,X,X,X,X,O,O,O,X,O
TSJLOZI,O,X,O,O,X,X,X,X,X,X,X,X,O
TSJZILO,O,X,O,X,O,X,X,X,X,O,X,X,X
TSJZIOL,X,X,O,X,O,X,X,X,X,O,O,X,X
TSJZLIO,O,X,O,O,O,X,X,X,X,O,X,X,X
TSJZLOI,O,X,O,O,X,X,X,X,X,X,X,X,X
TSJZOIL,X,X,O,X,X,X,O,X,X,X,O,X,X
TSJZOLI,X,X,O,X,X,O,O,X,X,X,X,X,X
TSJOILZ,O,X,O,X,X,X,X,X,O,O,O,X,O
TSJOIZL,O,X,O,X,X,X,O,X,X,O,O,X,X
TSJOLIZ,O,X,O,X,X,X,X,X,O,O,O,X,O
TSJOLZI,O,X,O,X,X,O,O,X,X,X,X,X,O
TSJOZIL,O,X,O,X,X,X,O,X,X,X,O,X,X
TSJOZLI,O,X,O,X,X,O,O,X,X,X,X,X,O
TSZILJO,X,X,X,O,O,X,X,X,X,X,X,X,X
TSZILOJ,X,X,X,O,X,X,X,X,O,X,X,X,X
TSZIJLO,X,X,O,X,O,X,X,X,X,O,X,X,X
TSZIJOL,X,X,O,X,O,X,X,X,X,O,O,X,X
TSZIOLJ,X,X,X,X,X,O,X,X,O,X,X,X,X
TSZIOJL,X,X,X,X,X,X,O,X,X,X,O,X,X
TSZLIJO,X,X,X,O,O,X,X,X,X,O,X,X,X
TSZLIOJ,X,X,X,O,X,X,X,X,O,X,X,X,X
TSZLJIO,O,X,O,O,O,X,X,X,X,O,X,X,X
TSZLJOI,O,X,O,O,X,X,X,X,X,X,X,X,X
TSZLOIJ,X,X,X,O,X,O,X,X,O,X,X,X,X
TSZLOJI,O,X,X,O,X,O,O,X,X,X,X,X,X
TSZJILO,O,X,O,X,O,X,X,X,X,O,X,X,X
TSZJIOL,X,X,O,X,O,X,X,X,X,O,O,X,X
TSZJLIO,O,X,O,O,O,X,X,X,X,O,X,X,X
TSZJLOI,O,X,O,O,X,X,X,X,X,X,X,X,X
TSZJOIL,X,X,O,X,X,X,O,X,X,X,O,X,X
TSZJOLI,X,X,O,X,X,O,O,X,X,X,X,X,X
TSZOILJ,X,X,X,X,X,O,X,X,O,X,X,X,X
TSZOIJL,X,X,X,X,X,X,O,X,X,X,O,X,X
TSZOLIJ,X,X,X,O,X,O,X,X,O,X,X,X,X
TSZOLJI,O,X,X,O,X,O,O,X,X,X,X,X,X
TSZOJIL,O,X,O,X,X,X,O,X,X,X,O,X,X
TSZOJLI,O,X,O,X,X,O,O,X,X,X,X,X,X
TSOILJZ,O,X,X,X,X,O,O,X,O,X,O,X,O
TSOILZJ,X,X,X,X,X,O,O,X,O,X,X,X,O
TSOIJLZ,O,X,X,X,X,O,O,X,O,O,O,X,O
TSOIJZL,O,X,X,X,X,O,O,X,X,O,O,X,X
TSOIZLJ,X,X,X,X,X,O,O,X,O,X,X,X,X
TSOIZJL,X,X,X,X,X,O,O,X,X,X,O,X,X
TSOLIJZ,O,X,X,O,X,O,X,X,O,O,O,X,O
TSOLIZJ,X,X,X,O,X,O,X,X,O,X,X,X,O
TSOLJIZ,O,X,X,O,X,X,X,X,O,O,O,X,O
TSOLJZI,O,X,X,O,X,O,O,X,X,X,X,X,O
TSOLZIJ,X,X,X,O,X,O,X,X,O,X,X,X,O
TSOLZJI,O,X,X,O,X,O,O,X,X,X,X,X,O
TSOJILZ,O,X,O,X,X,X,O,X,O,O,O,X,O
TSOJIZL,O,X,O,X,X,X,O,X,X,O,O,X,X
TSOJLIZ,O,X,O,X,X,X,X,X,O,O,O,X,O
TSOJLZI,O,X,O,X,X,O,O,X,X,X,X,X,O
TSOJZIL,O,X,O,X,X,X,O,X,X,X,O,X,X
TSOJZLI,O,X,O,X,X,O,O,X,X,X,X,X,O
TSOZILJ,X,X,X,X,X,O,X,X,O,X,X,X,X
TSOZIJL,X,X,X,X,X,X,O,X,X,X,O,X,X
TSOZLIJ,X,X,X,O,X,O,X,X,O,X,X,X,O
TSOZLJI,O,X,X,O,X,O,O,X,X,X,X,X,O
TSOZJIL,O,X,O,X,X,X,O,X,X,X,O,X,X
TSOZJLI,O,X,O,X,X,O,O,X,X,X,X,X,O
TZILJSO,X,O,X,O,O,X,X,X,X,X,X,X,X
TZILJOS,X,O,X,X,O,X,X,X,X,X,X,X,X
TZILSJO,X,X,X,O,O,X,X,X,X,X,X,X,X
TZILSOJ,X,X,X,O,X,X,X,X,O,X,X,X,X
TZILOJS,X,O,X,O,X,X,X,X,X,X,X,X,X
TZILOSJ,X,X,X,O,X,X,X,X,O,X,X,X,X
TZIJLSO,X,O,O,X,O,X,X,X,X,X,X,X,X
TZIJLOS,X,O,O,X,O,X,X,X,X,X,X,X,X
TZIJSLO,X,O,O,X,O,X,X,X,X,O,X,X,X
TZIJSOL,X,X,O,X,O,X,X,X,X,O,O,X,X
TZIJOLS,X,O,O,X,O,X,X,X,X,X,X,X,X
TZIJOSL,X,X,O,X,O,X,X,X,X,X,O,X,X
TZISLJO,X,X,O,O,O,X,X,X,X,X,X,X,X
TZISLOJ,X,X,X,O,X,O,O,X,O,X,X,X,X
TZISJLO,X,X,O,O,O,X,X,X,X,O,X,X,X
TZISJOL,X,X,O,X,O,O,O,X,X,O,O,X,X
TZISOLJ,X,X,X,O,X,O,O,X,O,X,X,X,X
TZISOJL,X,X,O,X,X,O,O,X,X,X,O,X,X
TZIOLJS,X,X,X,X,X,X,X,X,X,X,X,X,X
TZIOLSJ,X,X,X,X,X,O,X,X,O,X,X,X,X
TZIOJLS,X,X,X,X,X,X,X,X,X,X,X,X,X
TZIOJSL,X,X,X,X,X,X,O,X,X,X,O,X,X
TZIOSLJ,X,X,X,X,X,O,O,X,O,X,X,X,X
TZIOSJL,X,X,X,X,X,O,O,X,X,X,O,X,X
TZLIJSO,X,O,X,O,O,X,X,X,X,O,X,X,X
TZLIJOS,X,O,X,X,O,X,X,X,X,X,X,X,X
TZLISJO,X,X,X,O,O,X,X,X,X,O,X,X,X
TZLISOJ,X,X,X,O,X,X,X,X,O,X,X,X,X
TZLIOJS,X,O,X,O,X,X,X,X,X,X,X,X,O
TZLIOSJ,X,X,X,O,X,X,X,X,O,X,X,X,O
TZLJISO,O,O,X,O,O,X,X,X,X,O,X,X,X
TZLJIOS,X,O,X,X,O,X,X,X,X,X,X,X,X
TZLJSIO,O,O,X,O,O,X,X,X,X,O,X,X,X
TZLJSOI,O,O,X,O,X,X,X,X,X,X,X,X,X
TZLJOIS,X,O,X,X,X,X,X,X,X,X,X,X,X
TZLJOSI,X,O,X,X,X,X,X,X,X,X,X,X,X
TZLSIJO,X,X,X,O,O,X,X,X,X,O,X,X,X
TZLSIOJ,X,X,X,O,X,X,X,X,O,X,X,X,X
TZLSJIO,O,O,X,O,O,X,X,X,X,O,X,X,X
TZLSJOI,O,O,X,O,X,X,X,X,X,X,X,X,X
TZLSOIJ,X,X,X,O,X,X,X,X,O,X,X,X,X
TZLSOJI,O,O,X,O,X,X,X,X,X,X,X,X,X
TZLOIJS,X,O,X,O,X,X,X,X,X,X,X,X,O
TZLOISJ,X,X,X,O,X,X,X,X,O,X,X,X,O
TZLOJIS,O,O,X,O,X,X,X,X,X,X,X,X,O
TZLOJSI,O,O,X,O,X,X,X,X,X,X,X,X,O
TZLOSIJ,X,X,X,O,X,X,X,X,O,X,X,X,O
TZLOSJI,O,O,X,O,X,X,X,X,X,X,X,X,O
TZJILSO,O,O,O,X,O,X,X,X,X,X,X,X,X
TZJILOS,X,O,O,X,O,X,X,X,X,X,X,X,X
TZJISLO,O,O,O,X,O,X,X,X,X,O,X,X,X
TZJISOL,X,X,O,X,O,X,X,X,X,O,O,X,X
TZJIOLS,X,O,O,X,O,X,X,X,X,X,X,X,X
TZJIOSL,X,X,O,X,O,X,X,X,X,X,O,X,X
TZJLISO,O,O,O,X,O,X,X,X,X,O,X,X,X
TZJLIOS,X,O,O,X,O,X,X,X,X,X,X,X,O
TZJLSIO,O,O,O,X,O,X,X,X,X,O,X,X,X
TZJLSOI,O,O,O,X,X,X,X,X,X,X,X,X,X
TZJLOIS,X,O,O,X,X,X,X,X,X,X,X,X,O
TZJLOSI,X,O,O,X,X,X,X,X,X,X,X,X,O
TZJSILO,O,O,O,X,O,X,X,X,X,O,X,X,X
TZJSIOL,X,X,O,X,O,X,X,X,X,O,O,X,X
TZJSLIO,O,O,O,X,O,X,X,X,X,O,X,X,X
TZJSLOI,O,O,O,X,X,X,X,X,X,X,X,X,X
TZJSOIL,X,X,O,X,X,X,X,X,X,X,O,X,X
TZJSOLI,X,X,O,X,X,X,X,X,X,X,X,X,X
TZJOILS,X,O,O,X,X,X,X,X,X,X,X,X,X
TZJOISL,X,X,O,X,X,X,X,X,X,X,O,X,X
TZJOLIS,X,O,O,X,X,X,X,X,X,X,X,X,O
TZJOLSI,X,O,O,X,X,X,X,X,X,X,X,X,O
TZJOSIL,X,X,O,X,X,X,X,X,X,X,O,X,X
TZJOSLI,X,X,O,X,X,X,X,X,X,X,X,X,O
TZSILJO,X,X,X,O,O,X,X,X,X,X,X,X,X
TZSILOJ,X,X,X,O,X,X,X,X,O,X,X,X,X
TZSIJLO,X,X,O,X,O,X,X,X,X,O,X,X,X
TZSIJOL,X,X,O,X,O,X,X,X,X,O,O,X,X
TZSIOLJ,X,X,X,X,X,O,X,X,O,X,X,X,X
TZSIOJL,X,X,X,X,X,X,O,X,X,X,O,X,X
TZSLIJO,X,X,X,O,O,X,X,X,X,O,X,X,X
TZSLIOJ,X,X,X,O,X,X,X,X,O,X,X,X,X
TZSLJIO,O,O,O,O,O,X,X,X,X,O,X,X,X
TZSLJOI,O,O,O,O,X,X,X,X,X,X,X,X,X
TZSLOIJ,X,X,X,O,X,O,X,X,O,X,X,X,X
TZSLOJI,O,O,X,O,X,O,O,X,X,X,X,X,X
TZSJILO,O,O,O,X,O,X,X,X,X,O,X,X,X
TZSJIOL,X,X,O,X,O,X,X,X,X,O,O,X,X
TZSJLIO,O,O,O,O,O,X,X,X,X,O,X,X,X
TZSJLOI,O,O,O,O,X,X,X,X,X,X,X,X,X
TZSJOIL,X,X,O,X,X,X,O,X,X,X,O,X,X
TZSJOLI,X,X,O,X,X,O,O,X,X,X,X,X,X
TZSOILJ,X,X,X,X,X,O,X,X,O,X,X,X,X
TZSOIJL,X,X,X,X,X,X,O,X,X,X,O,X,X
TZSOLIJ,X,X,X,O,X,O,X,X,O,X,X,X,X
TZSOLJI,O,X,X,O,X,O,O,X,X,X,X,X,X
TZSOJIL,O,X,O,X,X,X,O,X,X,X,O,X,X
TZSOJLI,O,X,O,X,X,O,O,X,X,X,X,X,X
TZOILJS,X,X,X,X,X,X,X,X,X,X,X,X,X
TZOILSJ,X,X,X,X,X,O,X,X,O,X,X,X,X
TZOIJLS,X,X,X,X,X,X,X,X,X,X,X,X,X
TZOIJSL,X,X,X,X,X,X,O,X,X,X,O,X,X
TZOISLJ,X,X,X,X,X,O,O,X,O,X,X,X,X
TZOISJL,X,X,X,X,X,O,O,X,X,X,O,X,X
TZOLIJS,X,O,X,X,X,X,X,X,X,X,X,X,O
TZOLISJ,X,X,X,X,X,O,X,X,O,X,X,X,O
TZOLJIS,O,O,X,X,X,X,X,X,X,X,X,X,O
TZOLJSI,O,O,X,X,X,X,X,X,X,X,X,X,O
TZOLSIJ,X,X,X,X,X,O,X,X,O,X,X,X,O
TZOLSJI,O,O,X,X,X,O,X,X,X,X,X,X,O
TZOJILS,O,O,X,X,X,X,X,X,X,X,X,X,X
TZOJISL,O,X,X,X,X,X,O,X,X,X,O,X,X
TZOJLIS,O,O,X,X,X,X,X,X,X,X,X,X,O
TZOJLSI,O,O,X,X,X,X,X,X,X,X,X,X,O
TZOJSIL,O,X,X,X,X,X,O,X,X,X,O,X,X
TZOJSLI,O,X,X,X,X,X,O,X,X,X,X,X,O
TZOSILJ,X,X,X,X,X,O,X,X,O,X,X,X,X
TZOSIJL,X,X,X,X,X,X,O,X,X,X,O,X,X
TZOSLIJ,X,X,X,X,X,O,X,X,O,X,X,X,O
TZOSLJI,O,X,X,X,X,O,O,X,X,X,X,X,O
TZOSJIL,O,X,X,X,X,X,O,X,X,X,O,X,X
TZOSJLI,O,X,X,X,X,O,O,X,X,X,X,X,O
TOILJSZ,O,X,X,O,X,O,O,O,O,X,O,X,O
TOILJZS,O,X,X,O,X,X,X,O,X,X,X,X,O
TOILSJZ,O,X,X,O,X,O,O,O,O,X,O,X,O
TOILSZJ,X,X,X,O,X,O,O,O,O,X,X,X,O
TOILZJS,X,X,X,O,X,X,X,O,X,X,X,X,O
TOILZSJ,X,X,X,O,X,O,X,O,O,X,X,X,O
TOIJLSZ,O,X,O,X,X,O,O,X,O,X,O,X,O
TOIJLZS,O,X,O,X,X,X,X,X,X,X,X,X,O
TOIJSLZ,O,X,O,X,X,O,O,X,O,O,O,X,O
TOIJSZL,O,X,O,X,X,O,O,X,X,O,O,X,X
TOIJZLS,O,X,O,X,X,X,X,X,X,X,X,X,X
TOIJZSL,O,X,O,X,X,X,O,X,X,X,O,X,X
TOISLJZ,O,X,X,O,X,O,O,O,O,X,O,X,O
TOISLZJ,X,X,X,O,X,O,O,O,O,X,X,X,O
TOISJLZ,O,X,O,X,X,O,O,X,O,O,O,X,O
TOISJZL,O,X,O,X,X,O,O,X,X,O,O,X,X
TOISZLJ,X,X,X,O,X,O,O,X,O,X,X,X,X
TOISZJL,X,X,O,X,X,O,O,X,X,X,O,X,X
TOIZLJS,X,X,X,X,X,X,X,X,X,X,X,X,X
TOIZLSJ,X,X,X,X,X,O,X,X,O,X,X,X,X
TOIZJLS,X,X,X,X,X,X,X,X,X,X,X,X,X
TOIZJSL,X,X,X,X,X,X,O,X,X,X,O,X,X
TOIZSLJ,X,X,X,X,X,O,O,X,O,X,X,X,X
TOIZSJL,X,X,X,X,X,O,O,X,X,X,O,X,X
TOLIJSZ,O,X,X,O,X,O,O,O,O,O,O,X,O
TOLIJZS,O,X,X,O,X,X,X,O,X,X,X,X,O
TOLISJZ,O,X,X,O,X,O,O,O,O,O,O,X,O
TOLISZJ,X,X,X,O,X,O,O,O,O,X,X,X,O
TOLIZJS,X,X,X,O,X,X,X,O,X,X,X,X,O
TOLIZSJ,X,X,X,O,X,O,X,O,O,X,X,X,O
TOLJISZ,O,X,X,O,X,O,O,O,O,O,O,X,O
TOLJIZS,O,X,X,O,X,X,X,O,X,X,X,X,O
TOLJSIZ,O,X,X,O,X,X,X,O,O,O,O,X,O
TOLJSZI,O,X,X,O,X,O,O,O,X,X,X,X,O
TOLJZIS,O,X,X,O,X,X,X,O,X,X,X,X,O
TOLJZSI,O,X,X,O,X,X,X,O,X,X,X,X,O
TOLSIJZ,O,X,X,O,X,O,X,O,O,O,O,X,O
TOLSIZJ,X,X,X,O,X,O,X,O,O,X,X,X,O
TOLSJIZ,O,X,X,O,X,X,X,O,O,O,O,X,O
TOLSJZI,O,X,X,O,X,O,O,O,X,X,X,X,O
TOLSZIJ,X,X,X,O,X,O,X,O,O,X,X,X,O
TOLSZJI,O,X,X,O,X,O,O,X,X,X,X,X,O
TOLZIJS,X,X,X,O,X,X,X,O,X,X,X,X,O
TOLZISJ,X,X,X,O,X,O,X,O,O,X,X,X,O
TOLZJIS,O,X,X,O,X,X,X,O,X,X,X,X,O
TOLZJSI,O,X,X,O,X,X,X,O,X,X,X,X,O
TOLZSIJ,X,X,X,O,X,O,X,O,O,X,X,X,O
TOLZSJI,O,X,X,O,X,O,X,X,X,X,X,X,O
TOJILSZ,O,X,O,X,X,O,O,X,O,X,O,X,O
TOJILZS,O,X,O,X,X,X,X,X,X,X,X,X,O
TOJISLZ,O,X,O,X,X,O,O,X,O,O,O,X,O
TOJISZL,O,X,O,X,X,O,O,X,X,O,O,X,X
TOJIZLS,O,X,O,X,X,X,X,X,X,X,X,X,X
TOJIZSL,O,X,O,X,X,X,O,X,X,X,O,X,X
TOJLISZ,O,X,O,X,X,O,O,O,O,O,O,X,O
TOJLIZS,O,X,O,X,X,X,X,O,X,X,X,X,O
TOJLSIZ,O,X,O,X,X,X,X,O,O,O,O,X,O
TOJLSZI,O,X,O,X,X,O,O,O,X,X,X,X,O
TOJLZIS,O,X,O,X,X,X,X,O,X,X,X,X,O
TOJLZSI,O,X,O,X,X,X,X,O,X,X,X,X,O
TOJSILZ,O,X,O,X,X,X,O,X,O,O,O,X,O
TOJSIZL,O,X,O,X,X,X,O,X,X,O,O,X,X
TOJSLIZ,O,X,O,X,X,X,X,O,O,O,O,X,O
TOJSLZI,O,X,O,X,X,O,O,O,X,X,X,X,O
TOJSZIL,O,X,O,X,X,X,O,X,X,X,O,X,X
TOJSZLI,O,X,O,X,X,O,O,X,X,X,X,X,O
TOJZILS,O,X,O,X,X,X,X,X,X,X,X,X,X
TOJZISL,O,X,O,X,X,X,O,X,X,X,O,X,X
TOJZLIS,O,X,O,X,X,X,X,X,X,X,X,X,O
TOJZLSI,O,X,O,X,X,X,X,X,X,X,X,X,O
TOJZSIL,O,X,O,X,X,X,O,X,X,X,O,X,X
TOJZSLI,O,X,O,X,X,X,O,X,X,X,X,X,O
TOSILJZ,O,X,X,X,X,O,O,O,O,X,O,X,O
TOSILZJ,X,X,X,X,X,O,O,O,O,X,X,X,O
TOSIJLZ,O,X,X,X,X,O,O,X,O,O,O,X,O
TOSIJZL,O,X,X,X,X,O,O,X,X,O,O,X,X
TOSIZLJ,X,X,X,X,X,O,O,X,O,X,X,X,X
TOSIZJL,X,X,X,X,X,O,O,X,X,X,O,X,X
TOSLIJZ,O,X,X,O,X,O,X,O,O,O,O,X,O
TOSLIZJ,X,X,X,O,X,O,X,O,O,X,X,X,O
TOSLJIZ,O,X,X,O,X,X,X,O,O,O,O,X,O
TOSLJZI,O,X,X,O,X,O,O,O,X,X,X,X,O
TOSLZIJ,X,X,X,O,X,O,X,O,O,X,X,X,O
TOSLZJI,O,X,X,O,X,O,O,X,X,X,X,X,O
TOSJILZ,O,X,O,X,X,X,O,X,O,O,O,X,O
TOSJIZL,O,X,O,X,X,X,O,X,X,O,O,X,X
TOSJLIZ,O,X,O,X,X,X,X,O,O,O,O,X,O
TOSJLZI,O,X,O,X,X,O,O,O,X,X,X,X,O
TOSJZIL,O,X,O,X,X,X,O,X,X,X,O,X,X
TOSJZLI,O,X,O,X,X,O,O,X,X,X,X,X,O
TOSZILJ,X,X,X,X,X,O,X,X,O,X,X,X,X
TOSZIJL,X,X,X,X,X,X,O,X,X,X,O,X,X
TOSZLIJ,X,X,X,O,X,O,X,X,O,X,X,X,O
TOSZLJI,O,X,X,O,X,O,O,X,X,X,X,X,O
TOSZJIL,O,X,O,X,X,X,O,X,X,X,O,X,X
TOSZJLI,O,X,O,X,X,O,O,X,X,X,X,X,O
TOZILJS,X,X,X,X,X,X,X,X,X,X,X,X,X
TOZILSJ,X,X,X,X,X,O,X,X,O,X,X,X,X
TOZIJLS,X,X,X,X,X,X,X,X,X,X,X,X,X
TOZIJSL,X,X,X,X,X,X,O,X,X,X,O,X,X
TOZISLJ,X,X,X,X,X,O,O,X,O,X,X,X,X
TOZISJL,X,X,X,X,X,O,O,X,X,X,O,X,X
TOZLIJS,X,X,X,X,X,X,X,X,X,X,X,X,O
TOZLISJ,X,X,X,X,X,O,X,X,O,X,X,X,O
TOZLJIS,O,X,X,X,X,X,X,X,X,X,X,X,O
TOZLJSI,O,X,X,X,X,X,X,X,X,X,X,X,O
TOZLSIJ,X,X,X,X,X,O,X,X,O,X,X,X,O
TOZLSJI,O,X,X,X,X,O,X,X,X,X,X,X,O
TOZJILS,O,X,X,X,X,X,X,X,X,X,X,X,X
TOZJISL,O,X,X,X,X,X,O,X,X,X,O,X,X
TOZJLIS,O,X,X,X,X,X,X,X,X,X,X,X,O
TOZJLSI,O,X,X,X,X,X,X,X,X,X,X,X,O
TOZJSIL,O,X,X,X,X,X,O,X,X,X,O,X,X
TOZJSLI,O,X,X,X,X,X,O,X,X,X,X,X,O
TOZSILJ,X,X,X,X,X,O,X,X,O,X,X,X,X
TOZSIJL,X,X,X,X,X,X,O,X,X,X,O,X,X
TOZSLIJ,X,X,X,X,X,O,X,X,O,X,X,X,O
TOZSLJI,O,X,X,X,X,O,O,X,X,X,X,X,O
TOZSJIL,O,X,X,X,X,X,O,X,X,X,O,X,X
TOZSJLI,O,X,X,X,X,O,O,X,X,X,X,X,O
ITLJSZO,O,X,O,O,X,X,X,X,X,O,X,X,X
ITLJSOZ,O,X,O,O,X,X,X,O,O,O,O,X,X
ITLJZSO,O,O,O,O,X,X,X,X,X,O,X,X,X
ITLJZOS,X,O,O,X,X,X,X,O,X,X,X,X,X
ITLJOSZ,O,X,O,O,X,X,X,O,O,O,O,X,O
ITLJOZS,X,O,O,O,X,X,X,O,X,X,X,X,O
ITLSJZO,O,X,O,O,X,X,X,X,X,O,X,X,X
ITLSJOZ,O,X,O,O,X,X,X,X,O,O,O,X,X
ITLSZJO,X,X,O,O,X,X,X,X,X,O,X,O,X
ITLSZOJ,X,X,X,O,X,O,O,X,O,X,X,O,X
ITLSOJZ,O,X,X,O,X,O,O,O,O,O,O,X,O
ITLSOZJ,X,X,X,O,X,O,O,O,O,X,X,O,O
ITLZJSO,X,X,X,O,X,X,X,X,X,O,X,O,X
ITLZJOS,X,X,X,X,X,X,X,X,X,X,X,O,X
ITLZSJO,X,X,X,O,X,X,X,X,X,O,X,O,X
ITLZSOJ,X,X,X,O,X,X,X,X,O,X,X,O,X
ITLZOJS,X,X,X,O,X,X,X,O,X,X,X,O,O
ITLZOSJ,X,X,X,O,X,X,X,O,O,X,X,O,O
ITLOJSZ,O,X,X,O,X,O,O,O,O,O,O,X,O
ITLOJZS,O,O,X,O,X,X,X,O,X,X,X,X,O
ITLOSJZ,O,X,X,O,X,O,O,O,O,O,O,X,O
ITLOSZJ,X,X,X,O,X,O,O,O,O,X,X,O,O
ITLOZJS,X,X,X,O,X,X,X,O,X,X,X,O,O
ITLOZSJ,X,X,X,O,X,O,X,O,O,X,X,O,O
ITJLSZO,O,X,O,O,X,X,X,X,X,O,X,X,X
ITJLSOZ,O,X,O,O,X,X,X,X,O,O,O,X,O
ITJLZSO,O,O,O,O,X,X,X,X,X,O,X,X,X
ITJLZOS,X,O,O,X,X,X,X,X,X,X,X,X,O
ITJLOSZ,O,X,O,O,X,X,X,X,O,O,O,X,O
ITJLOZS,X,O,O,O,X,X,X,X,X,X,X,X,O
ITJSLZO,O,X,O,O,X,X,X,X,X,O,X,X,X
ITJSLOZ,O,X,O,O,X,X,X,X,O,O,O,X,X
ITJSZLO,O,X,O,O,O,X,X,X,X,O,X,X,X
ITJSZOL,X,X,O,X,O,O,O,X,X,O,O,X,X
ITJSOLZ,O,X,O,X,X,O,O,X,O,O,O,X,X
ITJSOZL,X,X,O,X,O,O,O,X,X,O,O,X,X
ITJZLSO,O,O,O,X,O,X,X,X,X,X,X,X,X
ITJZLOS,X,O,O,X,O,X,X,X,X,X,X,X,X
ITJZSLO,O,O,O,X,O,X,X,X,X,O,X,X,X
ITJZSOL,X,X,O,X,O,X,X,X,X,O,O,X,X
ITJZOLS,X,O,O,X,O,X,X,X,X,X,X,X,X
ITJZOSL,X,X,O,X,O,X,X,X,X,X,O,X,X
ITJOLSZ,O,X,O,X,X,O,O,X,O,X,O,X,O
