sequence,v115@9gA8IeB8HeB8DeA8CeC8BeB8BeA8JeGAJvhFZmBtmB?0iB6oB/qBzsB,v115@9gA8IeB8HeB8DeA8CeC8BeB8BeA8JeaFJvhFRhB9nB?TjBuqBcrBXtB,v115@9gA8IeB8HeB8DeA8CeC8BeB8BeA8JeRAJvhFumB9nB?TjByqBXtB0qB,v115@9gA8IeB8HeB8DeA8CeC8BeB8BeA8JeaFJvhFRhB3iB?9oBuqBcrBzsB,v115@9gA8IeB8HeB8DeA8CeC8BeB8BeA8JeUAJvhF3hB9nB?6oBetBxqBzqB,v115@9gA8IeB8HeB8DeA8CeC8BeB8BeA8JeRAJvhFtmB6nB?TjBmlB0qBXtB,v115@9gA8IeB8HeB8DeA8CeC8BeB8BeA8JeGAJvhF0hBxiB?/qBNrBqsBTtB,v115@9gA8IeB8HeB8DeA8CeC8BeB8BeA8JeUAJvhFRiB9oB?erBCnB3lBzsB,v115@9gA8IeB8HeB8DeA8CeC8BeB8BeA8JeRAJvhFtmBXjB?TlBerBctB6sB,v115@9gA8IeB8HeB8DeA8CeC8BeB8BeA8JeRAJvhFtmBXjB?TlBerBStB0sB,v115@9gA8IeB8HeB8DeA8CeC8BeB8BeA8JeRAJvhFumB9oB?/qBarB0nBzsB,v115@9gA8IeB8HeB8DeA8CeC8BeB8BeA8JeRAJvhFtmB0iB?2qBStBzqBXtB
TSLJZIO,O,O,O,O,O,O,O,O,X,X,O,X
TSLJZOI,O,O,O,O,O,O,O,O,X,O,O,O
TSLJOIZ,O,O,O,X,O,O,O,X,X,O,O,O
TSLJOZI,O,O,O,X,O,O,O,X,X,O,O,O
TSLZIJO,O,O,O,O,X,O,O,X,X,X,O,X
TSLZIOJ,O,O,O,O,X,O,O,X,X,X,O,X
TSLZJIO,O,O,O,O,O,O,O,O,X,X,O,X
TSLZJOI,O,O,O,O,O,O,O,O,X,O,O,O
TSLZOIJ,O,O,O,O,X,O,O,X,X,X,O,X
TSLZOJI,O,O,O,O,X,O,O,X,X,X,O,X
TSLOIJZ,O,O,O,X,X,O,O,X,X,X,O,X
TSLOIZJ,O,O,O,O,X,O,O,X,X,X,O,X
TSLOJIZ,O,O,O,X,X,O,O,X,X,O,O,X
TSLOJZI,O,O,O,X,X,O,O,X,X,O,O,X
TSLOZIJ,O,O,O,O,X,O,O,X,X,X,O,X
TSLOZJI,O,O,O,O,X,O,O,X,X,X,O,X
TSJILZO,O,X,O,O,O,X,O,X,X,X,O,X
TSJILOZ,O,O,O,X,O,O,O,X,X,X,O,X
TSJIZLO,O,X,X,X,O,X,O,X,X,X,O,X
TSJIZOL,O,X,O,X,O,X,O,X,X,X,X,X
TSJIOLZ,O,O,O,X,O,O,O,X,X,X,X,X
TSJIOZL,O,X,O,X,O,X,X,X,X,X,X,X
TSJLIZO,O,X,O,O,O,X,O,O,X,X,O,X
TSJLIOZ,O,O,O,X,O,O,O,X,X,O,O,X
TSJLZIO,O,O,O,O,O,O,O,O,X,X,O,X
TSJLZOI,O,O,O,O,O,O,O,O,X,O,O,O
TSJLOIZ,O,O,O,X,O,O,O,X,X,O,O,O
TSJLOZI,O,O,O,X,O,O,O,X,X,O,O,O
TSJZILO,O,O,X,O,O,O,O,X,X,X,O,X
TSJZIOL,O,O,O,O,O,O,O,X,O,X,X,X
TSJZLIO,O,O,O,O,O,O,O,O,X,X,O,X
TSJZLOI,O,O,O,O,O,O,O,O,O,X,O,O
TSJZOIL,O,O,O,O,X,O,O,X,O,X,X,X
TSJZOLI,O,O,O,O,O,O,O,X,O,X,O,X
TSJOILZ,O,O,O,X,O,O,O,X,X,O,X,X
TSJOIZL,O,X,O,X,O,X,X,X,O,X,X,X
TSJOLIZ,O,O,O,X,O,O,O,X,X,O,O,X
TSJOLZI,O,O,O,X,O,O,O,X,X,O,O,X
TSJOZIL,O,O,O,X,X,O,O,X,O,X,X,X
TSJOZLI,O,O,O,X,O,O,O,X,O,X,O,X
TSZILJO,O,O,O,O,O,O,O,X,X,X,O,X
TSZILOJ,O,O,O,O,X,O,O,X,X,X,O,X
TSZIJLO,O,O,X,O,O,O,O,X,X,X,O,X
TSZIJOL,O,O,O,O,O,O,O,X,O,X,X,X
TSZIOLJ,O,O,O,O,X,O,X,X,X,X,X,X
TSZIOJL,O,O,O,X,O,O,O,X,X,X,X,X
TSZLIJO,O,O,O,O,X,O,O,X,X,X,O,X
TSZLIOJ,O,O,O,O,X,O,O,X,X,X,O,X
TSZLJIO,O,O,O,O,O,O,O,O,X,X,O,X
TSZLJOI,O,O,O,O,O,O,O,O,O,X,O,O
TSZLOIJ,O,O,O,O,X,O,O,X,X,X,O,X
TSZLOJI,O,O,O,O,X,O,O,X,X,X,O,X
TSZJILO,O,O,X,O,O,O,O,X,X,X,O,X
TSZJIOL,O,O,O,O,O,O,O,X,O,X,X,X
TSZJLIO,O,O,O,O,O,O,O,O,X,X,O,X
TSZJLOI,O,O,O,O,O,O,O,O,O,X,O,O
TSZJOIL,O,O,O,O,X,O,O,X,O,X,X,X
TSZJOLI,O,O,O,O,O,O,O,X,O,X,O,X
TSZOILJ,O,O,O,O,X,O,X,X,X,X,X,X
TSZOIJL,O,O,O,X,X,O,O,X,X,X,X,X
TSZOLIJ,O,O,O,O,X,O,O,X,X,X,O,X
TSZOLJI,O,O,O,O,X,O,O,X,X,X,O,X
TSZOJIL,O,O,O,O,X,O,O,X,O,X,X,X
TSZOJLI,O,O,O,O,O,O,O,X,O,X,O,X
TSOILJZ,O,O,O,X,X,O,O,X,X,X,X,X
TSOILZJ,O,O,O,O,X,O,O,X,X,X,X,X
TSOIJLZ,O,O,O,X,O,O,O,X,X,X,X,X
TSOIJZL,O,X,O,X,O,X,X,X,X,X,X,X
TSOIZLJ,O,O,O,X,X,O,X,X,X,X,X,X
TSOIZJL,O,O,O,X,O,O,X,X,X,X,X,X
TSOLIJZ,O,O,O,X,X,O,O,X,X,X,O,X
TSOLIZJ,O,O,O,O,X,O,O,X,X,X,O,X
TSOLJIZ,O,O,O,X,X,O,O,X,X,X,O,X
TSOLJZI,O,O,O,X,X,O,O,X,X,X,O,X
TSOLZIJ,O,O,O,O,X,O,O,X,X,X,O,X
TSOLZJI,O,O,O,O,X,O,O,X,X,X,O,X
TSOJILZ,O,O,O,X,O,O,O,X,X,X,X,X
TSOJIZL,O,X,O,X,O,X,X,X,X,X,X,X
TSOJLIZ,O,O,O,X,O,O,O,X,X,X,O,X
TSOJLZI,O,O,O,X,O,O,O,X,X,X,O,X
TSOJZIL,O,O,O,X,X,O,O,X,X,X,X,X
TSOJZLI,O,O,O,X,O,O,O,X,X,X,O,X
TSOZILJ,O,O,O,O,X,O,X,X,X,X,X,X
TSOZIJL,O,O,O,X,X,O,O,X,X,X,X,X
TSOZLIJ,O,O,O,O,X,O,O,X,X,X,O,X
TSOZLJI,O,O,O,O,X,O,O,X,X,X,O,X
TSOZJIL,O,O,O,O,X,O,O,X,X,X,X,X
TSOZJLI,O,O,O,O,O,O,O,X,X,X,O,X
TZILJSO,O,O,O,O,O,O,O,O,X,X,X,X
TZILJOS,X,O,X,O,O,O,X,O,X,X,X,O
TZILSJO,O,O,O,O,O,O,O,X,X,X,X,X
TZILSOJ,O,O,O,O,X,O,O,X,X,X,X,X
TZILOJS,X,X,X,O,X,X,O,X,X,X,X,X
TZILOSJ,O,O,X,O,X,O,O,X,X,X,X,X
TZIJLSO,O,O,X,O,O,O,X,O,X,X,X,X
TZIJLOS,X,O,X,O,O,O,X,O,X,X,X,O
TZIJSLO,O,O,X,O,O,O,O,X,X,X,O,X
TZIJSOL,O,O,O,O,O,O,O,X,O,X,X,X
TZIJOLS,X,O,X,O,O,O,X,X,O,X,X,X
TZIJOSL,X,O,X,O,O,O,X,X,O,X,X,X
TZISLJO,O,O,O,O,O,O,O,X,X,X,O,X
TZISLOJ,O,O,O,O,X,O,O,X,X,X,O,X
TZISJLO,O,O,X,O,O,O,O,X,X,X,O,X
TZISJOL,O,O,O,O,O,O,O,X,O,X,X,X
TZISOLJ,O,O,O,O,X,O,X,X,X,X,X,X
TZISOJL,O,O,O,X,O,O,O,X,X,X,X,X
TZIOLJS,O,X,X,O,X,X,X,X,X,X,X,X
TZIOLSJ,O,O,X,O,X,O,X,X,X,X,X,X
TZIOJLS,O,X,X,O,O,X,X,X,X,X,X,X
TZIOJSL,O,X,X,O,O,X,X,X,X,X,X,X
TZIOSLJ,O,O,X,O,X,O,X,X,X,X,X,X
TZIOSJL,O,O,X,O,O,O,O,X,X,X,X,X
TZLIJSO,O,O,O,O,O,O,O,O,X,X,X,X
TZLIJOS,X,O,X,O,O,O,X,O,X,X,X,O
TZLISJO,O,O,O,O,O,O,O,X,X,X,X,X
TZLISOJ,O,O,O,O,X,O,O,X,X,X,X,X
TZLIOJS,X,X,X,O,X,X,O,X,X,X,X,X
TZLIOSJ,O,O,X,O,X,O,O,X,X,X,X,X
TZLJISO,O,O,O,O,O,O,O,O,X,X,X,X
TZLJIOS,X,O,X,O,O,O,X,O,X,X,X,O
TZLJSIO,O,O,O,O,O,O,O,O,X,X,O,X
TZLJSOI,O,O,O,O,O,O,O,O,O,O,O,O
TZLJOIS,X,O,X,O,O,O,O,O,O,O,X,O
TZLJOSI,X,O,X,O,O,O,O,O,O,O,X,O
TZLSIJO,O,O,O,O,X,O,O,X,X,X,O,X
TZLSIOJ,O,O,O,O,X,O,O,X,X,X,O,X
TZLSJIO,O,O,O,O,O,O,O,O,X,X,O,X
TZLSJOI,O,O,O,O,O,O,O,O,O,O,O,O
TZLSOIJ,O,O,O,O,X,O,O,X,X,X,O,X
TZLSOJI,O,O,O,O,X,O,O,X,X,X,O,X
TZLOIJS,X,X,X,O,X,X,O,X,X,X,X,X
TZLOISJ,O,O,X,O,X,O,O,X,X,X,X,X
TZLOJIS,X,O,X,O,X,O,O,O,X,X,X,O
TZLOJSI,X,O,X,O,X,O,O,O,X,X,X,O
TZLOSIJ,O,O,X,O,X,O,O,X,X,X,X,X
TZLOSJI,O,O,X,O,X,O,O,X,X,X,X,X
TZJILSO,O,O,X,O,O,O,X,O,X,X,X,X
TZJILOS,X,O,X,O,O,O,X,O,X,X,X,O
TZJISLO,O,O,X,O,O,O,O,X,X,X,O,X
TZJISOL,O,O,O,O,O,O,O,X,O,X,X,X
TZJIOLS,X,O,X,O,O,O,X,X,O,X,X,X
TZJIOSL,X,O,X,O,O,O,X,X,O,X,X,X
TZJLISO,O,O,O,O,O,O,O,O,X,X,X,X
TZJLIOS,X,O,X,O,O,O,X,O,X,X,X,O
TZJLSIO,O,O,O,O,O,O,O,O,X,X,O,X
TZJLSOI,O,O,O,O,O,O,O,O,O,O,O,O
TZJLOIS,X,O,X,O,O,O,O,O,O,O,X,O
TZJLOSI,X,O,X,O,O,O,O,O,O,O,X,O
TZJSILO,O,O,X,O,O,O,O,X,X,X,O,X
TZJSIOL,O,O,O,O,O,O,O,X,O,X,X,X
TZJSLIO,O,O,O,O,O,O,O,O,X,X,O,X
TZJSLOI,O,O,O,O,O,O,O,O,O,X,O,O
TZJSOIL,O,O,O,O,X,O,O,X,O,X,X,X
TZJSOLI,O,O,O,O,O,O,O,X,O,X,O,X
TZJOILS,X,O,X,O,O,O,X,O,O,O,X,X
TZJOISL,X,O,X,O,O,O,X,X,O,X,X,X
TZJOLIS,X,O,X,O,O,O,X,O,O,O,X,O
TZJOLSI,X,O,X,O,O,O,X,O,O,O,X,O
TZJOSIL,X,O,X,O,X,O,X,X,O,X,X,X
TZJOSLI,X,O,X,O,O,O,X,O,O,X,O,X
TZSILJO,O,O,O,O,O,O,O,X,X,X,O,X
TZSILOJ,O,O,O,O,X,O,O,X,X,X,O,X
TZSIJLO,O,O,X,O,O,O,O,X,X,X,O,X
TZSIJOL,O,O,O,O,O,O,O,X,O,X,X,X
TZSIOLJ,O,O,O,O,X,O,X,X,X,X,X,X
TZSIOJL,O,O,O,X,O,O,O,X,X,X,X,X
TZSLIJO,O,O,O,O,X,O,O,X,X,X,O,X
TZSLIOJ,O,O,O,O,X,O,O,X,X,X,O,X
TZSLJIO,O,O,O,O,O,O,O,O,X,X,O,X
TZSLJOI,O,O,O,O,O,O,O,O,O,X,O,O
TZSLOIJ,O,O,O,O,X,O,O,X,X,X,O,X
TZSLOJI,O,O,O,O,X,O,O,X,X,X,O,X
TZSJILO,O,O,X,O,O,O,O,X,X,X,O,X
TZSJIOL,O,O,O,O,O,O,O,X,O,X,X,X
TZSJLIO,O,O,O,O,O,O,O,O,X,X,O,X
TZSJLOI,O,O,O,O,O,O,O,O,O,X,O,O
TZSJOIL,O,O,O,O,X,O,O,X,O,X,X,X
TZSJOLI,O,O,O,O,O,O,O,X,O,X,O,X
TZSOILJ,O,O,O,O,X,O,X,X,X,X,X,X
TZSOIJL,O,O,O,X,X,O,O,X,X,X,X,X
TZSOLIJ,O,O,O,O,X,O,O,X,X,X,O,X
TZSOLJI,O,O,O,O,X,O,O,X,X,X,O,X
TZSOJIL,O,O,O,O,X,O,O,X,O,X,X,X
TZSOJLI,O,O,O,O,O,O,O,X,O,X,O,X
TZOILJS,O,X,X,O,X,X,X,O,X,X,X,X
TZOILSJ,O,O,X,O,X,O,X,X,X,X,X,X
TZOIJLS,O,X,X,O,O,X,X,O,X,X,X,X
TZOIJSL,O,X,X,O,O,X,X,X,X,X,X,X
TZOISLJ,O,O,X,O,X,O,X,X,X,X,X,X
TZOISJL,O,O,X,O,O,O,O,X,X,X,X,X
TZOLIJS,O,X,X,O,X,X,O,O,X,X,X,X
TZOLISJ,O,O,X,O,X,O,O,X,X,X,X,X
TZOLJIS,O,O,X,O,X,O,O,O,X,X,X,O
TZOLJSI,O,O,X,O,X,O,O,O,X,X,X,O
TZOLSIJ,O,O,X,O,X,O,O,X,X,X,X,X
TZOLSJI,O,O,X,O,X,O,O,O,X,X,X,X
TZOJILS,O,O,X,O,O,O,X,O,O,X,X,X
TZOJISL,O,O,X,O,O,O,X,X,O,X,X,X
TZOJLIS,O,O,X,O,O,O,X,O,O,X,X,O
TZOJLSI,O,O,X,O,O,O,X,O,O,X,X,O
TZOJSIL,O,O,X,O,X,O,X,X,O,X,X,X
TZOJSLI,O,O,X,O,O,O,X,O,O,X,O,X
TZOSILJ,O,O,X,O,X,O,X,X,X,X,X,X
TZOSIJL,O,O,X,O,X,O,O,X,X,X,X,X
TZOSLIJ,O,O,X,O,X,O,O,X,X,X,O,X
TZOSLJI,O,O,X,O,X,O,O,O,X,X,O,X
TZOSJIL,O,O,X,O,X,O,O,X,O,X,X,X
TZOSJLI,O,O,X,O,O,O,O,O,O,X,O,X
TOILJSZ,O,X,O,X,X,X,O,O,X,X,X,X
TOILJZS,O,X,X,X,X,X,O,O,X,X,X,X
TOILSJZ,O,O,O,O,X,O,O,O,X,X,X,X
TOILSZJ,O,O,O,O,X,O,O,X,X,X,X,X
TOILZJS,O,X,X,O,X,X,O,O,X,X,X,X
TOILZSJ,O,X,X,O,X,X,O,X,X,X,X,X
TOIJLSZ,O,X,X,X,O,X,X,O,X,X,X,X
TOIJLZS,O,X,X,X,O,X,X,O,X,X,X,X
TOIJSLZ,O,X,O,X,O,X,X,X,X,X,X,X
TOIJSZL,O,X,O,X,O,X,X,X,X,X,X,X
TOIJZLS,O,X,X,X,O,X,X,O,X,X,X,X
TOIJZSL,O,X,X,X,O,X,X,X,X,X,X,X
TOISLJZ,O,O,O,O,X,O,O,O,X,X,X,X
TOISLZJ,O,O,O,O,X,O,O,X,X,X,X,X
TOISJLZ,O,O,O,O,O,O,O,X,X,X,X,X
TOISJZL,O,X,O,X,O,X,X,X,X,X,X,X
TOISZLJ,O,O,O,O,X,O,X,X,X,X,X,X
TOISZJL,O,X,O,O,O,X,X,X,X,X,X,X
TOIZLJS,O,X,X,O,X,X,X,O,X,X,X,X
TOIZLSJ,O,X,X,O,X,X,X,X,X,X,X,X
TOIZJLS,O,X,X,O,O,X,X,O,X,X,X,X
TOIZJSL,O,X,X,O,O,X,X,X,X,X,X,X
TOIZSLJ,O,X,X,O,X,X,X,X,X,X,X,X
TOIZSJL,O,X,X,O,O,X,X,X,X,X,X,X
TOLIJSZ,O,X,O,X,X,X,O,O,X,X,X,X
TOLIJZS,O,X,X,X,X,X,O,O,X,X,X,X
TOLISJZ,O,O,O,O,X,O,O,O,X,X,X,X
TOLISZJ,O,O,O,O,X,O,O,X,X,X,X,X
TOLIZJS,O,X,X,O,X,X,O,O,X,X,X,X
TOLIZSJ,O,X,X,O,X,X,O,X,X,X,X,X
TOLJISZ,O,X,O,X,X,X,O,O,X,O,X,O
TOLJIZS,O,X,X,X,X,X,O,O,X,O,X,O
TOLJSIZ,O,X,O,O,X,X,O,O,X,O,X,O
TOLJSZI,O,X,O,O,X,X,O,O,X,O,X,O
TOLJZIS,O,X,X,O,X,X,O,O,X,O,X,O
TOLJZSI,O,X,X,O,X,X,O,O,X,O,X,O
TOLSIJZ,O,O,O,O,X,O,O,O,X,X,X,X
TOLSIZJ,O,O,O,O,X,O,O,X,X,X,X,X
TOLSJIZ,O,O,O,O,X,O,O,O,X,O,X,X
TOLSJZI,O,O,O,O,X,O,O,O,X,O,X,X
TOLSZIJ,O,O,O,O,X,O,O,X,X,X,X,X
TOLSZJI,O,O,O,O,X,O,O,O,X,X,X,X
TOLZIJS,O,X,X,O,X,X,O,O,X,X,X,X
TOLZISJ,O,O,X,O,X,O,O,X,X,X,X,X
TOLZJIS,O,O,X,O,X,O,O,O,X,X,X,O
TOLZJSI,O,O,X,O,X,O,O,O,X,X,X,O
TOLZSIJ,O,O,X,O,X,O,O,X,X,X,X,X
TOLZSJI,O,O,X,O,X,O,O,O,X,X,X,X
TOJILSZ,O,X,X,X,O,X,X,O,X,O,X,X
TOJILZS,O,X,X,X,O,X,X,O,O,O,X,X
TOJISLZ,O,X,O,X,O,X,X,X,X,O,X,X
TOJISZL,O,X,O,X,O,X,X,X,O,X,X,X
TOJIZLS,O,X,X,X,O,X,X,O,O,O,X,X
TOJIZSL,O,X,X,X,O,X,X,X,O,X,X,X
TOJLISZ,O,X,O,X,O,X,O,O,X,O,X,O
TOJLIZS,O,X,X,X,O,X,O,O,O,O,X,O
TOJLSIZ,O,X,O,O,O,X,O,O,X,O,X,O
TOJLSZI,O,X,O,O,O,X,O,O,X,O,X,O
TOJLZIS,O,X,X,O,O,X,O,O,O,O,X,O
TOJLZSI,O,X,X,O,O,X,O,O,O,O,X,O
TOJSILZ,O,X,O,O,O,X,O,X,X,O,X,X
TOJSIZL,O,X,O,X,O,X,X,X,O,X,X,X
TOJSLIZ,O,X,O,O,O,X,O,O,X,O,O,X
TOJSLZI,O,X,O,O,O,X,O,O,X,O,O,X
TOJSZIL,O,X,O,O,X,X,X,X,O,X,X,X
TOJSZLI,O,X,O,O,O,X,O,O,O,X,O,X
TOJZILS,O,X,X,O,O,X,X,O,O,O,X,X
TOJZISL,O,X,X,O,O,X,X,X,O,X,X,X
TOJZLIS,O,X,X,O,O,X,X,O,O,O,X,O
TOJZLSI,O,X,X,O,O,X,X,O,O,O,X,O
TOJZSIL,O,X,X,O,X,X,X,X,O,X,X,X
TOJZSLI,O,X,X,O,O,X,X,O,O,X,O,X
TOSILJZ,O,O,O,O,X,O,O,O,X,X,X,X
TOSILZJ,O,O,O,O,X,O,O,X,X,X,X,X
TOSIJLZ,O,O,O,O,O,O,O,X,X,X,X,X
TOSIJZL,O,X,O,X,O,X,X,X,X,X,X,X
TOSIZLJ,O,O,O,O,X,O,X,X,X,X,X,X
TOSIZJL,O,O,O,O,O,O,X,X,X,X,X,X
TOSLIJZ,O,O,O,O,X,O,O,O,X,X,O,X
TOSLIZJ,O,O,O,O,X,O,O,X,X,X,O,X
TOSLJIZ,O,O,O,O,X,O,O,O,X,X,O,X
TOSLJZI,O,O,O,O,X,O,O,O,X,X,O,X
TOSLZIJ,O,O,O,O,X,O,O,X,X,X,O,X
TOSLZJI,O,O,O,O,X,O,O,O,X,X,O,X
TOSJILZ,O,O,O,O,O,O,O,X,X,X,X,X
TOSJIZL,O,X,O,X,O,X,X,X,X,X,X,X
TOSJLIZ,O,O,O,O,O,O,O,O,X,X,O,X
TOSJLZI,O,O,O,O,O,O,O,O,X,X,O,X
TOSJZIL,O,O,O,O,X,O,O,X,X,X,X,X
TOSJZLI,O,O,O,O,O,O,O,O,X,X,O,X
TOSZILJ,O,O,O,O,X,O,X,X,X,X,X,X
TOSZIJL,O,O,O,O,X,O,O,X,X,X,X,X
TOSZLIJ,O,O,O,O,X,O,O,X,X,X,O,X
TOSZLJI,O,O,O,O,X,O,O,O,X,X,O,X
TOSZJIL,O,O,O,O,X,O,O,X,X,X,X,X
TOSZJLI,O,O,O,O,O,O,O,O,X,X,O,X
TOZILJS,O,X,X,O,X,X,X,O,X,X,X,X
TOZILSJ,O,O,X,O,X,O,X,X,X,X,X,X
TOZIJLS,O,X,X,O,O,X,X,O,X,X,X,X
TOZIJSL,O,X,X,O,O,X,X,X,X,X,X,X
TOZISLJ,O,O,X,O,X,O,X,X,X,X,X,X
TOZISJL,O,O,X,O,O,O,O,X,X,X,X,X
TOZLIJS,O,X,X,O,X,X,O,O,X,X,X,X
TOZLISJ,O,O,X,O,X,O,O,X,X,X,X,X
TOZLJIS,O,O,X,O,X,O,O,O,X,X,X,O
TOZLJSI,O,O,X,O,X,O,O,O,X,X,X,O
TOZLSIJ,O,O,X,O,X,O,O,X,X,X,X,X
TOZLSJI,O,O,X,O,X,O,O,O,X,X,X,X
TOZJILS,O,O,X,O,O,O,X,O,O,X,X,X
TOZJISL,O,O,X,O,O,O,X,X,O,X,X,X
TOZJLIS,O,O,X,O,O,O,X,O,O,X,X,O
TOZJLSI,O,O,X,O,O,O,X,O,O,X,X,O
TOZJSIL,O,O,X,O,X,O,X,X,O,X,X,X
TOZJSLI,O,O,X,O,O,O,X,O,O,X,O,X
TOZSILJ,O,O,X,O,X,O,X,X,X,X,X,X
TOZSIJL,O,O,X,O,X,O,O,X,X,X,X,X
TOZSLIJ,O,O,X,O,X,O,O,X,X,X,O,X
TOZSLJI,O,O,X,O,X,O,O,O,X,X,O,X
TOZSJIL,O,O,X,O,X,O,O,X,O,X,X,X
TOZSJLI,O,O,X,O,O,O,O,O,O,X,O,X
ITLJSZO,O,X,O,X,O,X,O,O,X,X,X,X
ITLJSOZ,O,O,O,X,O,O,O,X,X,O,X,X
ITLJZSO,O,X,O,X,O,X,O,O,X,X,X,X
ITLJZOS,X,X,X,X,O,X,X,O,X,X,X,O
ITLJOSZ,X,X,O,X,O,X,X,X,X,O,X,O
ITLJOZS,X,X,X,X,O,X,X,O,X,O,X,O
ITLSJZO,O,X,O,O,O,X,O,O,X,X,X,X
ITLSJOZ,O,O,O,X,O,O,O,X,X,O,X,X
ITLSZJO,O,O,O,O,O,O,O,X,X,X,X,X
ITLSZOJ,O,O,O,O,X,O,O,X,X,X,X,X
ITLSOJZ,O,O,O,X,X,O,O,X,X,X,X,X
ITLSOZJ,O,O,O,O,X,O,O,X,X,X,X,X
ITLZJSO,O,O,O,O,O,O,O,O,X,X,X,X
ITLZJOS,X,O,X,O,O,O,X,O,X,X,X,O
ITLZSJO,O,O,O,O,O,O,O,X,X,X,X,X
ITLZSOJ,O,O,O,O,X,O,O,X,X,X,X,X
ITLZOJS,X,X,X,X,X,X,O,X,X,X,X,X
ITLZOSJ,O,O,X,O,X,O,O,X,X,X,X,X
ITLOJSZ,O,X,O,X,X,X,O,X,X,X,X,X
ITLOJZS,O,X,X,X,X,X,O,O,X,X,X,X
ITLOSJZ,O,O,O,X,X,O,O,X,X,X,X,X
ITLOSZJ,O,O,O,X,X,O,O,X,X,X,X,X
ITLOZJS,O,X,X,X,X,X,O,X,X,X,X,X
ITLOZSJ,O,X,X,X,X,X,O,X,X,X,X,X
ITJLSZO,O,X,O,X,O,X,X,O,X,X,X,X
ITJLSOZ,O,O,O,X,O,O,X,X,X,O,X,X
ITJLZSO,O,X,O,X,O,X,X,O,X,X,X,X
ITJLZOS,X,X,X,X,O,X,X,O,X,X,X,O
ITJLOSZ,X,X,O,X,O,X,X,X,X,O,X,O
ITJLOZS,X,X,X,X,O,X,X,O,X,O,X,O
ITJSLZO,O,X,O,X,O,X,X,X,X,X,O,X
ITJSLOZ,O,O,O,X,O,O,X,X,X,X,O,X
ITJSZLO,O,X,X,X,O,X,X,X,X,X,O,X
ITJSZOL,O,X,O,X,O,X,X,X,X,X,X,X
ITJSOLZ,O,O,O,X,O,O,X,X,X,X,X,X
ITJSOZL,O,X,O,X,O,X,X,X,X,X,X,X
ITJZLSO,O,X,X,X,O,X,X,O,X,X,X,X
ITJZLOS,X,X,X,X,O,X,X,O,X,X,X,O
ITJZSLO,O,X,X,X,O,X,X,X,X,X,O,X
ITJZSOL,O,X,O,X,O,X,X,X,O,X,X,X
ITJZOLS,X,X,X,X,O,X,X,X,O,X,X,X
ITJZOSL,X,X,X,X,O,X,X,X,O,X,X,X
ITJOLSZ,O,X,X,X,O,X,X,X,X,O,X,X
ITJOLZS,O,X,X,X,O,X,X,X,O,O,X,X
ITJOSLZ,O,X,O,X,O,X,X,X,X,O,X,X
ITJOSZL,O,X,O,X,O,X,X,X,O,X,X,X
ITJOZLS,O,X,X,X,O,X,X,X,O,O,X,X
ITJOZSL,O,X,X,X,O,X,X,X,O,X,X,X
ITSLJZO,O,X,O,O,O,X,O,O,X,X,O,X
ITSLJOZ,O,O,O,X,O,O,O,X,X,X,O,X
ITSLZJO,O,O,O,O,O,O,O,X,X,X,O,X
ITSLZOJ,O,O,O,O,X,O,O,X,X,X,O,X
ITSLOJZ,O,O,O,X,X,O,O,X,X,X,O,X
ITSLOZJ,O,O,O,O,X,O,O,X,X,X,O,X
ITSJLZO,O,X,O,O,O,X,O,X,X,X,O,X
ITSJLOZ,O,O,O,X,O,O,O,X,X,X,O,X
ITSJZLO,O,X,X,X,O,X,O,X,X,X,O,X
ITSJZOL,O,X,O,X,O,X,O,X,X,X,X,X
ITSJOLZ,O,O,O,X,O,O,O,X,X,X,X,X
ITSJOZL,O,X,O,X,O,X,X,X,X,X,X,X
ITSZLJO,O,O,O,O,O,O,O,X,X,X,O,X
ITSZLOJ,O,O,O,O,X,O,O,X,X,X,O,X
ITSZJLO,O,O,X,O,O,O,O,X,X,X,O,X
ITSZJOL,O,O,O,O,O,O,O,X,X,X,X,X
ITSZOLJ,O,O,O,O,X,O,X,X,X,X,X,X
ITSZOJL,O,O,O,X,O,O,O,X,X,X,X,X
ITSOLJZ,O,O,O,X,X,O,O,X,X,X,X,X
ITSOLZJ,O,O,O,O,X,O,O,X,X,X,X,X
ITSOJLZ,O,O,O,X,O,O,O,X,X,X,X,X
ITSOJZL,O,X,O,X,O,X,X,X,X,X,X,X
ITSOZLJ,O,O,O,X,X,O,X,X,X,X,X,X
ITSOZJL,O,O,O,X,O,O,X,X,X,X,X,X
ITZLJSO,O,O,O,O,O,O,O,O,X,X,X,X
ITZLJOS,X,O,X,O,O,O,X,O,X,X,X,O
ITZLSJO,O,O,O,O,O,O,O,X,X,X,X,X
ITZLSOJ,O,O,O,O,X,O,O,X,X,X,X,X
ITZLOJS,X,X,X,X,X,X,O,X,X,X,X,X
ITZLOSJ,O,O,X,O,X,O,O,X,X,X,X,X
ITZJLSO,O,O,X,O,O,O,X,O,X,X,X,X
ITZJLOS,X,O,X,O,O,O,X,O,X,X,X,O
ITZJSLO,O,O,X,O,O,O,O,X,X,X,O,X
ITZJSOL,O,O,O,O,O,O,O,X,O,X,X,X
ITZJOLS,X,O,X,O,O,O,X,X,O,X,X,X
ITZJOSL,X,O,X,O,O,O,X,X,O,X,X,X
ITZSLJO,O,O,O,O,O,O,O,X,X,X,O,X
