sequence,v115@NhD8HeC8BeB8BeC8JeT/IvhFKlBxiBFmBGmB0pBXsB,v115@NhD8HeC8BeB8BeC8JeT/IvhFKlBxiBGmBFmB0pBXsB,v115@NhD8HeC8BeB8BeC8Je2EJvhF6mBxiBzlBFlB0pBXsB,v115@NhD8HeC8BeB8BeC8JeOEJvhFVlBUhBSrBxnBzpBXsB,v115@NhD8HeC8BeB8BeC8JeKFJvhFxiBTkBGmBFmBXsB0pB,v115@NhD8HeC8BeB8BeC8JeKFJvhFxiBTkBFmBGmBXsB0pB,v115@NhD8HeC8BeB8BeC8Je2EJvhFxiBCmBFlBTmB0pBXsB,v115@NhD8HeC8BeB8BeC8Je0/IvhFxiB2pBzlBFsB6rBXqB,v115@NhD8HeC8BeB8BeC8Je2EJvhFRgB3hB1qBCoB0pBzrB,v115@NhD8HeC8BeB8BeC8JeVFJvhFxiB2pBTmBCmBXsB0pB,v115@NhD8HeC8BeB8BeC8JeKEJvhFxiBUlBFmBGmBXsBzpB,v115@NhD8HeC8BeB8BeC8JeVFJvhFRhB2pBXmBCoBzrB0pB,v115@NhD8HeC8BeB8BeC8JeUBJvhF/pBFlBCoBRrBmpBzrB,v115@NhD8HeC8BeB8BeC8Je0/IvhFVmB2pBCoBRrBXqBzrB,v115@NhD8HeC8BeB8BeC8JeXAJvhFVmB2pBCoBRrB0pBzrB
ISOLTJZ,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
ISOLTZJ,O,X,O,O,X,O,X,X,X,X,O,X,X,X,X
ISOLJTZ,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X
ISOLJZT,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
ISOLZTJ,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X
ISOLZJT,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
ISOJTLZ,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X
ISOJTZL,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
ISOJLTZ,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X
ISOJLZT,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
ISOJZTL,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X
ISOJZLT,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
ISOZTLJ,O,O,O,O,X,O,X,X,X,X,X,X,O,X,X
ISOZTJL,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ISOZLTJ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
ISOZLJT,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
ISOZJTL,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X
ISOZJLT,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
IZTLJSO,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
IZTLJOS,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IZTLSJO,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
IZTLSOJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTLOJS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTLOSJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTJLSO,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X
IZTJLOS,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X
IZTJSLO,X,X,X,X,X,X,O,X,O,X,X,X,X,O,O
IZTJSOL,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X
IZTJOLS,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X
IZTJOSL,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
IZTSLJO,O,O,X,X,X,X,O,X,O,X,X,X,O,X,X
IZTSLOJ,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X
IZTSJLO,O,O,X,X,X,X,O,X,O,X,X,X,O,X,O
IZTSJOL,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
IZTSOLJ,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X
IZTSOJL,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
IZTOLJS,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZTOLSJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTOJLS,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IZTOJSL,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
IZTOSLJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTOSJL,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IZLTJSO,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZLTJOS,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IZLTSJO,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IZLTSOJ,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IZLTOJS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLTOSJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLJTSO,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZLJTOS,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IZLJSTO,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X
IZLJSOT,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IZLJOTS,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IZLJOST,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IZLSTJO,O,O,X,X,X,X,O,X,X,X,O,X,O,X,X
IZLSTOJ,O,O,O,X,X,O,X,X,X,X,O,X,O,X,X
IZLSJTO,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X
IZLSJOT,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
IZLSOTJ,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X
IZLSOJT,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
IZLOTJS,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZLOTSJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLOJTS,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IZLOJST,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IZLOSTJ,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
IZLOSJT,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
IZJTLSO,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X
IZJTLOS,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X
IZJTSLO,X,X,X,X,X,X,O,X,O,X,X,X,X,O,O
IZJTSOL,X,X,O,X,X,X,X,O,O,O,X,X,X,X,X
IZJTOLS,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X
IZJTOSL,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
IZJLTSO,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
IZJLTOS,O,O,X,X,X,X,O,O,X,X,X,X,X,O,X
IZJLSTO,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IZJLSOT,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IZJLOTS,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IZJLOST,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IZJSTLO,O,O,X,X,X,X,O,X,X,X,X,X,O,O,X
IZJSTOL,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
IZJSLTO,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IZJSLOT,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IZJSOTL,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X
IZJSOLT,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IZJOTLS,X,X,O,O,X,X,X,O,X,X,X,X,X,O,X
IZJOTSL,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
IZJOLTS,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IZJOLST,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IZJOSTL,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IZJOSLT,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IZSTLJO,O,O,X,X,X,X,O,X,X,X,O,X,O,X,X
IZSTLOJ,O,O,O,X,X,O,X,X,X,X,O,X,O,X,X
IZSTJLO,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X
IZSTJOL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZSTOLJ,O,O,O,X,X,O,X,X,X,X,X,X,O,X,X
IZSTOJL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZSLTJO,O,O,X,X,X,X,O,X,X,X,O,X,O,X,X
IZSLTOJ,O,O,O,X,X,O,X,X,X,X,O,X,O,X,X
IZSLJTO,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X
IZSLJOT,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
IZSLOTJ,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X
IZSLOJT,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
IZSJTLO,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X
IZSJTOL,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
IZSJLTO,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IZSJLOT,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
IZSJOTL,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X
IZSJOLT,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
IZSOTLJ,O,O,O,O,X,O,X,X,X,X,X,X,O,X,X
IZSOTJL,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IZSOLTJ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IZSOLJT,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
IZSOJTL,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X
IZSOJLT,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
IZOTLJS,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
IZOTLSJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOTJLS,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IZOTJSL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOTSLJ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOTSJL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOLTJS,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZOLTSJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOLJTS,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IZOLJST,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IZOLSTJ,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IZOLSJT,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
IZOJTLS,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IZOJTSL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOJLTS,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IZOJLST,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IZOJSTL,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IZOJSLT,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IZOSTLJ,O,O,O,O,X,O,X,X,X,X,X,X,O,X,X
IZOSTJL,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IZOSLTJ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IZOSLJT,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
IZOSJTL,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IZOSJLT,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
IOTLJSZ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
IOTLJZS,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
IOTLSJZ,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
IOTLSZJ,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IOTLZJS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOTLZSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTJLSZ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
IOTJLZS,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
IOTJSLZ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O
IOTJSZL,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
IOTJZLS,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X
IOTJZSL,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
IOTSLJZ,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
IOTSLZJ,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IOTSJLZ,X,X,X,O,O,O,X,O,X,X,X,X,X,X,O
IOTSJZL,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
IOTSZLJ,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IOTSZJL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOTZLJS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOTZLSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTZJLS,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X
IOTZJSL,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
IOTZSLJ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOTZSJL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOLTJSZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOLTJZS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOLTSJZ,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
IOLTSZJ,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IOLTZJS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOLTZSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLJTSZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOLJTZS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOLJSTZ,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
IOLJSZT,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOLJZTS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLJZST,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLSTJZ,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
IOLSTZJ,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X
IOLSJTZ,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
IOLSJZT,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IOLSZTJ,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
IOLSZJT,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
IOLZTJS,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLZTSJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLZJTS,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IOLZJST,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IOLZSTJ,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
IOLZSJT,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
IOJTLSZ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
IOJTLZS,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
IOJTSLZ,X,X,X,O,X,X,X,O,X,O,X,X,X,X,O
IOJTSZL,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X
IOJTZLS,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X
IOJTZSL,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
IOJLTSZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOJLTZS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOJLSTZ,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
IOJLSZT,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOJLZTS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJLZST,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJSTLZ,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X
IOJSTZL,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IOJSLTZ,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X
IOJSLZT,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOJSZTL,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IOJSZLT,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOJZTLS,X,X,O,O,X,X,X,O,X,X,X,X,X,O,X
IOJZTSL,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
IOJZLTS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJZLST,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJZSTL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOJZSLT,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOSTLJZ,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
IOSTLZJ,O,X,O,O,X,O,X,X,X,X,O,X,X,X,X
IOSTJLZ,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X
IOSTJZL,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IOSTZLJ,O,X,O,O,X,O,X,X,X,X,X,X,O,X,X
IOSTZJL,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOSLTJZ,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
IOSLTZJ,O,X,O,O,X,O,X,X,X,X,O,X,X,X,X
IOSLJTZ,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X
IOSLJZT,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
IOSLZTJ,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X
IOSLZJT,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
IOSJTLZ,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X
IOSJTZL,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IOSJLTZ,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X
IOSJLZT,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
IOSJZTL,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X
IOSJZLT,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
IOSZTLJ,O,O,O,O,X,O,X,X,X,X,X,X,O,X,X
IOSZTJL,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOSZLTJ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOSZLJT,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
IOSZJTL,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X
IOSZJLT,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
IOZTLJS,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
IOZTLSJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZTJLS,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOZTJSL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOZTSLJ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOZTSJL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOZLTJS,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOZLTSJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZLJTS,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IOZLJST,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IOZLSTJ,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IOZLSJT,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
IOZJTLS,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOZJTSL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOZJLTS,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IOZJLST,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IOZJSTL,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOZJSLT,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IOZSTLJ,O,O,O,O,X,O,X,X,X,X,X,X,O,X,X
IOZSTJL,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOZSLTJ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOZSLJT,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
IOZSJTL,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOZSJLT,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
LTIJSZO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTIJSOZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTIJZSO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIJZOS,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
LTIJOSZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTIJOZS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTISJZO,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
LTISJOZ,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X
LTISZJO,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
LTISZOJ,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
LTISOJZ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
LTISOZJ,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X
LTIZJSO,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTIZJOS,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LTIZSJO,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
LTIZSOJ,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
LTIZOJS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIZOSJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIOJSZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTIOJZS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTIOSJZ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
LTIOSZJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTIOZJS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIOZSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJISZO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTJISOZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTJIZSO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJIZOS,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJIOSZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJIOZS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJSIZO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTJSIOZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTJSZIO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTJSZOI,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTJSOIZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTJSOZI,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTJZISO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJZIOS,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJZSIO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LTJZSOI,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LTJZOIS,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJZOSI,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJOISZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJOIZS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJOSIZ,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X
LTJOSZI,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X
LTJOZIS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJOZSI,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTSIJZO,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
LTSIJOZ,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X
LTSIZJO,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
LTSIZOJ,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
LTSIOJZ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
LTSIOZJ,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X
LTSJIZO,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
LTSJIOZ,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X
LTSJZIO,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
LTSJZOI,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
LTSJOIZ,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X
LTSJOZI,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X
LTSZIJO,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
LTSZIOJ,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
LTSZJIO,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
LTSZJOI,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
LTSZOIJ,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
LTSZOJI,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
LTSOIJZ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
LTSOIZJ,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X
LTSOJIZ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
LTSOJZI,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
LTSOZIJ,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X
LTSOZJI,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X
LTZIJSO,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
LTZIJOS,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LTZISJO,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
LTZISOJ,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
LTZIOJS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZIOSJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZJISO,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
LTZJIOS,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LTZJSIO,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X
LTZJSOI,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X
LTZJOIS,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LTZJOSI,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LTZSIJO,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
LTZSIOJ,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
LTZSJIO,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
LTZSJOI,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
LTZSOIJ,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
