sequence,v115@FhB8HeB8HeB8CeA8AeE8Jem/IvhFtlBxhBKpBfqBcr?BTsB,v115@FhB8HeB8HeB8CeA8AeE8JeZEJvhFUgBzhB+nBqpBNr?B3qB,v115@FhB8HeB8HeB8CeA8AeE8Je0/IvhFxgBTiBNpBarBWs?BXqB,v115@FhB8HeB8HeB8CeA8AeE8JeZEJvhF3gBzhB+nBqpBNr?BUqB,v115@FhB8HeB8HeB8CeA8AeE8Je2EJvhFRgBfnB6nBcqBNr?BTpB,v115@FhB8HeB8HeB8CeA8AeE8Jei/IvhFtlBxhBcrBTnBmp?B3pB,v115@FhB8HeB8HeB8CeA8AeE8Je/EJvhFalBtlBxhBcrBTn?B2uB,v115@FhB8HeB8HeB8CeA8AeE8Je0/IvhFSmBTiBNpBXqBxr?BmqB,v115@FhB8HeB8HeB8CeA8AeE8Je3AJvhFzhB+nBNrBxpB0p?BipB,v115@FhB8HeB8HeB8CeA8AeE8JeZFJvhFUhB9nBOpBfrB6p?BzrB,v115@FhB8HeB8HeB8CeA8AeE8JetFJvhFxhBikBcrBTnB3p?BmpB,v115@FhB8HeB8HeB8CeA8AeE8JeXAJvhFCiBTnB0pBxqBOp?BdrB,v115@FhB8HeB8HeB8CeA8AeE8Je/EJvhFRgBSnBTlBNrBUn?B2uB,v115@FhB8HeB8HeB8CeA8AeE8Je2EJvhFtlBxhBcrBTnB3k?ByuB,v115@FhB8HeB8HeB8CeA8AeE8JeZEJvhFtkBCiBUmBTnBXq?BmqB,v115@FhB8HeB8HeB8CeA8AeE8JezBJvhF+nBxkBNrB3lB0p?BipB,v115@FhB8HeB8HeB8CeA8AeE8Je0/IvhFxhBKpBGmBTnBdq?BfrB,v115@FhB8HeB8HeB8CeA8AeE8JezBJvhF+nB/pBRlBcqBNr?BipB
IZTOSJL,X,X,X,X,O,O,O,O,X,X,O,O,X,X,O,X,X,X
IZLTJSO,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
IZLTJOS,X,O,X,O,X,O,X,X,X,X,X,X,X,O,X,O,X,X
IZLTSJO,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IZLTSOJ,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IZLTOJS,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZLTOSJ,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
IZLJTSO,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
IZLJTOS,X,O,X,O,X,O,X,X,X,X,X,X,X,O,X,O,X,X
IZLJSTO,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZLJSOT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLJOTS,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZLJOST,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLSTJO,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZLSTOJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
IZLSJTO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLSJOT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLSOTJ,O,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X
IZLSOJT,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
IZLOTJS,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
IZLOTSJ,O,X,X,X,X,X,X,O,X,X,X,O,X,O,O,X,X,X
IZLOJTS,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
IZLOJST,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
IZLOSTJ,O,X,X,X,X,X,X,O,X,X,X,O,X,O,O,X,X,X
IZLOSJT,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
IZJTLSO,O,O,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
IZJTLOS,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X
IZJTSLO,X,X,X,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X
IZJTSOL,X,X,X,X,O,X,O,X,O,O,X,X,X,X,X,O,X,X
IZJTOLS,X,O,X,O,X,O,O,X,O,X,X,X,X,X,X,O,X,X
IZJTOSL,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,O,X,X
IZJLTSO,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
IZJLTOS,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X
IZJLSTO,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZJLSOT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJLOTS,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZJLOST,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJSTLO,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X
IZJSTOL,X,X,X,X,O,X,O,X,X,O,X,X,X,X,O,O,X,X
IZJSLTO,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IZJSLOT,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZJSOTL,X,X,X,X,X,X,O,X,X,O,X,O,X,X,O,X,X,X
IZJSOLT,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X
IZJOTLS,X,O,X,O,X,O,O,X,X,X,X,O,X,X,X,O,X,X
IZJOTSL,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,O,X,X
IZJOLTS,X,O,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X
IZJOLST,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X
IZJOSTL,X,X,X,X,X,O,O,X,X,X,X,O,X,X,O,X,X,X
IZJOSLT,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X
IZSTLJO,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
IZSTLOJ,O,X,X,X,O,X,X,O,X,X,O,X,X,X,O,X,X,X
IZSTJLO,X,X,X,X,O,O,O,O,O,O,X,X,X,X,X,X,X,X
IZSTJOL,X,X,X,X,O,X,O,O,O,O,X,X,X,X,O,O,X,X
IZSTOLJ,X,X,X,X,O,X,X,O,X,X,O,O,X,X,O,X,X,X
IZSTOJL,X,X,X,X,O,X,X,O,X,O,O,O,X,X,O,X,X,X
IZSLTJO,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
IZSLTOJ,O,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X
IZSLJTO,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZSLJOT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSLOTJ,O,X,X,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X
IZSLOJT,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
IZSJTLO,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X
IZSJTOL,X,X,X,X,O,X,O,X,X,O,X,X,X,X,O,O,X,X
IZSJLTO,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IZSJLOT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSJOTL,X,X,X,X,X,X,O,X,X,O,X,O,X,X,O,X,X,X
IZSJOLT,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
IZSOTLJ,X,X,X,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X
IZSOTJL,X,X,X,X,X,X,X,O,X,O,O,O,X,X,O,X,X,X
IZSOLTJ,X,X,X,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X
IZSOLJT,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
IZSOJTL,X,X,X,X,X,X,X,X,X,O,O,O,X,X,O,X,X,X
IZSOJLT,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
IZOTLJS,O,X,X,X,O,O,O,X,X,X,X,O,X,O,X,X,X,X
IZOTLSJ,O,X,X,X,O,X,X,O,X,X,O,O,X,O,O,X,X,X
IZOTJLS,O,X,X,X,O,O,O,X,X,X,X,O,X,O,X,O,X,X
IZOTJSL,X,X,X,X,O,O,O,X,X,X,O,O,X,X,X,O,X,X
IZOTSLJ,O,X,X,X,O,X,X,O,X,X,O,O,X,O,O,X,X,X
IZOTSJL,X,X,X,X,O,O,O,O,X,X,O,O,X,X,O,X,X,X
IZOLTJS,O,X,X,X,O,O,O,X,X,X,X,O,X,O,X,X,X,X
IZOLTSJ,O,X,X,X,O,X,X,O,X,X,O,O,X,O,O,X,X,X
IZOLJTS,O,X,X,X,O,O,O,X,X,X,X,O,X,O,X,X,X,X
IZOLJST,O,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X
IZOLSTJ,O,X,X,X,X,X,X,O,X,X,O,O,X,O,O,X,X,X
IZOLSJT,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
IZOJTLS,O,X,X,X,O,O,O,X,X,X,X,O,X,O,X,O,X,X
IZOJTSL,X,X,X,X,O,O,O,X,X,X,O,O,X,X,X,O,X,X
IZOJLTS,O,X,X,X,O,O,O,X,X,X,X,O,X,O,X,X,X,X
IZOJLST,O,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X
IZOJSTL,X,X,X,X,O,O,O,X,X,X,O,O,X,X,O,X,X,X
IZOJSLT,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X
IZOSTLJ,O,X,X,X,O,X,X,O,X,X,O,O,X,O,O,X,X,X
IZOSTJL,X,X,X,X,O,O,O,O,X,X,O,O,X,X,O,X,X,X
IZOSLTJ,O,X,X,X,X,X,X,O,X,X,O,O,X,O,O,X,X,X
IZOSLJT,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
IZOSJTL,X,X,X,X,O,O,O,X,X,X,O,O,X,X,O,X,X,X
IZOSJLT,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X
IOTLJSZ,X,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X
IOTLJZS,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOTLSJZ,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOTLSZJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOTLZJS,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
IOTLZSJ,O,X,X,X,X,X,X,O,X,X,X,O,X,O,O,X,X,X
IOTJLSZ,X,O,X,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X
IOTJLZS,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IOTJSLZ,X,O,X,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X
IOTJSZL,X,X,X,X,X,X,O,O,O,O,X,X,O,X,X,X,X,X
IOTJZLS,X,O,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
IOTJZSL,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X
IOTSLJZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOTSLZJ,X,X,X,X,O,X,X,O,X,X,O,X,X,X,O,X,X,X
IOTSJLZ,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
IOTSJZL,X,X,X,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X
IOTSZLJ,X,X,X,X,O,X,X,O,X,X,O,X,X,X,O,X,X,X
IOTSZJL,X,X,X,X,O,X,X,O,X,O,O,X,X,X,O,X,X,X
IOTZLJS,O,X,X,X,O,O,O,X,X,X,X,O,X,O,X,X,X,X
IOTZLSJ,O,X,X,X,O,X,X,O,X,X,O,O,X,O,O,X,X,X
IOTZJLS,O,X,X,X,O,O,O,X,X,X,X,O,X,O,X,X,X,X
IOTZJSL,X,X,X,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X
IOTZSLJ,O,X,X,X,O,X,X,O,X,X,O,O,X,O,O,X,X,X
IOTZSJL,X,X,X,X,O,O,O,O,X,X,O,O,X,X,O,X,X,X
IOLTJSZ,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOLTJZS,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOLTSJZ,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOLTSZJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOLTZJS,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
IOLTZSJ,O,X,X,X,X,X,X,O,X,X,X,O,X,O,O,X,X,X
IOLJTSZ,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOLJTZS,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOLJSTZ,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOLJSZT,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOLJZTS,O,O,X,O,X,O,O,X,X,X,X,O,X,O,X,X,O,X
IOLJZST,O,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X
IOLSTJZ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOLSTZJ,O,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X
IOLSJTZ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOLSJZT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLSZTJ,O,X,X,X,X,X,X,O,X,X,O,O,X,O,O,X,X,X
IOLSZJT,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
IOLZTJS,O,O,X,X,X,O,O,X,X,X,X,O,X,O,X,X,X,X
IOLZTSJ,O,X,X,X,X,X,X,O,X,X,O,O,X,O,O,X,X,X
IOLZJTS,O,O,X,X,X,O,O,X,X,X,X,O,X,O,X,X,O,X
IOLZJST,O,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X
IOLZSTJ,O,X,X,X,X,X,X,O,X,X,O,O,X,O,O,X,X,X
IOLZSJT,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
IOJTLSZ,X,O,X,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X
IOJTLZS,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IOJTSLZ,X,O,X,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X
IOJTSZL,X,X,X,X,X,X,O,O,O,O,X,X,O,X,X,X,X,X
IOJTZLS,X,O,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
IOJTZSL,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X
IOJLTSZ,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOJLTZS,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJLSTZ,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOJLSZT,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOJLZTS,O,O,X,O,X,O,O,X,X,X,X,O,X,O,X,X,O,X
IOJLZST,O,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X
IOJSTLZ,X,O,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X
IOJSTZL,X,X,X,X,X,X,O,O,X,O,X,X,O,X,O,X,X,X
IOJSLTZ,X,O,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X
IOJSLZT,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOJSZTL,X,X,X,X,X,O,O,X,X,O,O,X,O,X,O,X,X,X
IOJSZLT,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IOJZTLS,O,O,X,O,X,O,O,X,X,X,X,O,X,O,X,X,X,X
IOJZTSL,X,X,X,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X
IOJZLTS,O,O,X,O,X,O,O,X,X,X,X,O,X,O,X,X,X,X
IOJZLST,O,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X
IOJZSTL,X,X,X,X,X,O,O,X,X,X,O,O,X,X,O,X,X,X
IOJZSLT,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X
IOSTLJZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOSTLZJ,X,X,X,X,O,X,X,O,X,X,O,X,X,X,O,X,X,X
IOSTJLZ,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
IOSTJZL,X,X,X,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X
IOSTZLJ,X,X,X,X,O,X,X,O,X,X,O,X,X,X,O,X,X,X
IOSTZJL,X,X,X,X,O,X,X,O,X,O,O,X,X,X,O,X,X,X
IOSLTJZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOSLTZJ,O,X,X,X,O,X,X,O,X,X,O,X,X,X,O,X,X,X
IOSLJTZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOSLJZT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSLZTJ,O,X,X,X,X,X,X,O,X,X,O,O,X,O,O,X,X,X
IOSLZJT,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
IOSJTLZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOSJTZL,X,X,X,X,X,X,O,O,X,O,X,X,X,X,O,X,X,X
IOSJLTZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOSJLZT,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOSJZTL,X,X,X,X,X,O,O,X,X,O,O,X,X,X,O,X,X,X
IOSJZLT,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IOSZTLJ,O,X,X,X,X,X,X,O,X,X,O,O,X,O,O,X,X,X
IOSZTJL,X,X,X,X,X,O,O,O,X,O,O,O,X,X,O,X,X,X
IOSZLTJ,O,X,X,X,X,X,X,O,X,X,O,O,X,O,O,X,X,X
IOSZLJT,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
IOSZJTL,X,X,X,X,X,O,O,X,X,O,O,O,X,X,O,X,X,X
IOSZJLT,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X
IOZTLJS,O,X,X,X,O,O,O,X,X,X,X,O,X,O,X,X,X,X
IOZTLSJ,O,X,X,X,O,X,X,O,X,X,O,O,X,O,O,X,X,X
IOZTJLS,O,X,X,X,O,O,O,X,X,X,X,O,X,O,X,X,X,X
IOZTJSL,X,X,X,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X
IOZTSLJ,O,X,X,X,O,X,X,O,X,X,O,O,X,O,O,X,X,X
IOZTSJL,X,X,X,X,O,O,O,O,X,X,O,O,X,X,O,X,X,X
IOZLTJS,O,X,X,X,O,O,O,X,X,X,X,O,X,O,X,X,X,X
IOZLTSJ,O,X,X,X,O,X,X,O,X,X,O,O,X,O,O,X,X,X
IOZLJTS,O,X,X,X,O,O,O,X,X,X,X,O,X,O,X,X,X,X
IOZLJST,O,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X
IOZLSTJ,O,X,X,X,X,X,X,O,X,X,O,O,X,O,O,X,X,X
IOZLSJT,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
IOZJTLS,O,X,X,X,O,O,O,X,X,X,X,O,X,O,X,X,X,X
IOZJTSL,X,X,X,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X
IOZJLTS,O,X,X,X,O,O,O,X,X,X,X,O,X,O,X,X,X,X
IOZJLST,O,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X
IOZJSTL,X,X,X,X,O,O,O,X,X,X,O,O,X,X,O,X,X,X
IOZJSLT,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X
IOZSTLJ,O,X,X,X,O,X,X,O,X,X,O,O,X,O,O,X,X,X
IOZSTJL,X,X,X,X,O,O,O,O,X,X,O,O,X,X,O,X,X,X
IOZSLTJ,O,X,X,X,X,X,X,O,X,X,O,O,X,O,O,X,X,X
IOZSLJT,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
IOZSJTL,X,X,X,X,O,O,O,X,X,X,O,O,X,X,O,X,X,X
IOZSJLT,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X
LTIJSZO,X,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X
LTIJSOZ,X,O,O,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X
LTIJZSO,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTIJZOS,X,O,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X
LTIJOSZ,X,O,O,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X
LTIJOZS,X,O,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X
LTISJZO,O,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X
LTISJOZ,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
LTISZJO,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
LTISZOJ,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTISOJZ,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTISOZJ,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTIZJSO,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIZJOS,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LTIZSJO,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTIZSOJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTIZOJS,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LTIZOSJ,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
LTIOJSZ,X,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X
LTIOJZS,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LTIOSJZ,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTIOSZJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTIOZJS,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LTIOZSJ,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
LTJISZO,X,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
LTJISOZ,X,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X
LTJIZSO,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
LTJIZOS,X,O,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X
LTJIOSZ,X,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X
LTJIOZS,X,O,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X
LTJSIZO,O,O,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X
LTJSIOZ,O,O,O,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X
LTJSZIO,O,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
LTJSZOI,O,O,O,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X
LTJSOIZ,O,O,O,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X
LTJSOZI,O,O,O,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X
LTJZISO,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
LTJZIOS,X,O,O,O,X,O,X,X,X,X,X,X,X,O,X,O,X,X
LTJZSIO,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
LTJZSOI,O,O,O,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X
LTJZOIS,O,O,O,O,X,O,O,X,X,X,X,X,X,O,X,O,O,X
LTJZOSI,O,O,O,O,X,O,O,X,X,X,X,X,O,O,X,X,O,X
LTJOISZ,X,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X
LTJOIZS,X,O,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X
LTJOSIZ,O,O,O,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X
LTJOSZI,O,O,O,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X
LTJOZIS,O,O,O,O,X,O,O,X,X,X,X,X,X,O,X,O,O,X
LTJOZSI,O,O,O,O,X,O,O,X,X,X,X,X,O,O,X,X,O,X
LTSIJZO,O,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X
LTSIJOZ,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
LTSIZJO,O,O,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
LTSIZOJ,O,X,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X
LTSIOJZ,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTSIOZJ,O,X,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X
LTSJIZO,O,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X
LTSJIOZ,O,O,O,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X
LTSJZIO,O,O,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
LTSJZOI,O,O,O,O,O,X,X,X,X,X,O,X,O,O,X,X,X,X
LTSJOIZ,O,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X
LTSJOZI,O,O,O,O,O,X,X,X,X,X,O,X,O,O,X,X,X,X
LTSZIJO,O,O,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
LTSZIOJ,O,X,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X
LTSZJIO,O,O,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
LTSZJOI,O,O,O,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X
LTSZOIJ,O,X,O,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X
LTSZOJI,O,X,O,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X
LTSOIJZ,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTSOIZJ,O,X,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X
LTSOJIZ,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LTSOJZI,O,X,O,O,O,X,X,X,X,X,O,X,O,O,X,X,X,X
LTSOZIJ,O,X,O,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X
LTSOZJI,O,X,O,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X
LTZIJSO,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LTZIJOS,X,O,O,O,X,O,X,X,X,X,X,X,X,O,X,O,X,X
LTZISJO,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZISOJ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZIOJS,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LTZIOSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
