sequence,v115@GhA8IeA8DeB8CeA8AeF8BeA8JeZEJvhFXhBmiBUlBF?nBClBzsB,v115@GhA8IeA8DeB8CeA8AeF8BeA8JeZEJvhFXhBVnBaoBz?kBGlB0sB,v115@GhA8IeA8DeB8CeA8AeF8BeA8JeT/IvhF/lBFhBRnBm?nBipB0sB,v115@GhA8IeA8DeB8CeA8AeF8BeA8JeZEJvhFzfBFhBXiBS?qBmsB8sB,v115@GhA8IeA8DeB8CeA8AeF8BeA8JeT/IvhF/lBUhBRiBi?pBmsBlsB,v115@GhA8IeA8DeB8CeA8AeF8BeA8JeZEJvhFXhBzkBUnBa?tBGlBlsB,v115@GhA8IeA8DeB8CeA8AeF8BeA8JeT/IvhFxgBXiBllBi?pBmsB8sB,v115@GhA8IeA8DeB8CeA8AeF8BeA8JeUBJvhFRiBOpBTlB/?sBatBlpB
TZJSOLI,X,O,X,X,X,X,X,X
TZJOILS,X,O,X,X,X,X,X,X
TZJOISL,O,O,X,X,X,X,X,X
TZJOLIS,X,O,X,X,X,X,X,X
TZJOLSI,X,O,X,X,X,X,X,X
TZJOSIL,O,O,X,X,X,X,X,X
TZJOSLI,X,O,X,X,X,X,X,X
TZSILJO,O,O,O,X,X,X,X,X
TZSILOJ,X,O,O,X,O,O,X,X
TZSIJLO,O,O,O,X,X,X,X,X
TZSIJOL,O,O,X,X,X,X,X,X
TZSIOLJ,O,O,O,X,X,O,X,X
TZSIOJL,O,O,X,X,X,X,X,X
TZSLIJO,O,O,O,X,X,X,X,X
TZSLIOJ,X,O,O,X,O,O,X,O
TZSLJIO,O,O,O,X,O,X,X,X
TZSLJOI,X,O,O,X,O,X,X,X
TZSLOIJ,X,O,O,X,O,O,X,O
TZSLOJI,X,O,O,X,O,X,X,O
TZSJILO,O,O,O,X,O,X,X,X
TZSJIOL,O,O,X,X,X,X,X,X
TZSJLIO,O,O,O,X,O,X,X,X
TZSJLOI,X,O,O,X,O,X,X,X
TZSJOIL,O,O,X,X,X,X,X,X
TZSJOLI,X,O,X,X,X,X,X,X
TZSOILJ,O,O,O,X,X,O,X,X
TZSOIJL,O,O,X,X,X,X,X,X
TZSOLIJ,O,O,O,X,X,O,X,O
TZSOLJI,O,O,O,X,X,X,X,O
TZSOJIL,O,O,X,X,X,X,X,X
TZSOJLI,O,O,X,X,X,X,X,O
TZOILJS,O,O,X,X,X,X,X,X
TZOILSJ,O,O,X,X,X,O,X,X
TZOIJLS,O,O,X,X,X,X,X,X
TZOIJSL,O,O,X,X,X,X,X,X
TZOISLJ,O,O,O,X,X,O,X,X
TZOISJL,O,O,X,X,X,X,X,X
TZOLIJS,O,O,X,X,X,X,X,X
TZOLISJ,O,O,X,X,X,O,X,X
TZOLJIS,O,O,X,X,X,X,X,X
TZOLJSI,O,O,X,X,X,X,X,X
TZOLSIJ,O,O,X,X,X,O,X,X
TZOLSJI,O,O,X,X,X,X,X,X
TZOJILS,O,O,X,X,X,X,X,X
TZOJISL,O,O,X,X,X,X,X,X
TZOJLIS,O,O,X,X,X,X,X,X
TZOJLSI,O,O,X,X,X,X,X,X
TZOJSIL,O,O,X,X,X,X,X,X
TZOJSLI,O,O,X,X,X,X,X,O
TZOSILJ,O,O,O,X,X,O,X,X
TZOSIJL,O,O,X,X,X,X,X,X
TZOSLIJ,O,O,O,X,X,O,X,O
TZOSLJI,O,O,O,X,X,X,X,O
TZOSJIL,O,O,X,X,X,X,X,X
TZOSJLI,O,O,X,X,X,X,X,O
TOILJSZ,O,O,X,O,X,X,O,X
TOILJZS,O,X,X,O,X,X,O,X
TOILSJZ,O,O,X,O,X,X,O,X
TOILSZJ,O,O,X,X,X,O,X,X
TOILZJS,O,O,X,O,X,X,O,X
TOILZSJ,O,O,X,X,X,O,X,X
TOIJLSZ,O,O,X,O,X,X,O,X
TOIJLZS,O,X,X,O,X,X,O,X
TOIJSLZ,O,O,X,X,X,X,X,X
TOIJSZL,O,O,X,X,X,X,X,X
TOIJZLS,O,O,X,X,X,X,X,X
TOIJZSL,O,O,X,X,X,X,X,X
TOISLJZ,O,O,O,X,X,X,X,X
TOISLZJ,O,O,O,X,X,O,X,X
TOISJLZ,O,O,X,X,X,X,X,X
TOISJZL,O,O,X,X,X,X,X,X
TOISZLJ,O,O,X,X,X,O,X,X
TOISZJL,O,O,X,X,X,X,X,X
TOIZLJS,O,O,X,X,X,X,X,X
TOIZLSJ,O,O,X,X,X,O,X,X
TOIZJLS,O,O,X,X,X,X,X,X
TOIZJSL,O,O,X,X,X,X,X,X
TOIZSLJ,O,O,X,X,X,O,X,X
TOIZSJL,O,O,X,X,X,X,X,X
TOLIJSZ,O,O,X,O,X,X,O,X
TOLIJZS,O,X,X,O,X,X,O,X
TOLISJZ,O,O,X,O,X,X,O,X
TOLISZJ,O,O,X,X,X,O,X,X
TOLIZJS,O,O,X,O,X,X,O,X
TOLIZSJ,O,O,X,X,X,O,X,X
TOLJISZ,O,O,X,O,X,X,O,X
TOLJIZS,O,X,X,O,X,X,O,X
TOLJSIZ,O,O,X,O,X,X,O,X
TOLJSZI,O,X,X,X,X,X,O,X
TOLJZIS,O,X,X,O,X,X,O,X
TOLJZSI,O,X,X,X,X,X,O,X
TOLSIJZ,O,O,X,O,X,X,O,X
TOLSIZJ,O,O,X,X,X,O,X,X
TOLSJIZ,O,O,X,O,X,X,O,X
TOLSJZI,O,X,X,X,X,X,O,X
TOLSZIJ,O,O,X,X,X,O,X,X
TOLSZJI,O,O,X,X,X,X,X,X
TOLZIJS,O,O,X,O,X,X,O,X
TOLZISJ,O,O,X,X,X,O,X,X
TOLZJIS,O,O,X,O,X,X,O,X
TOLZJSI,O,O,X,X,X,X,O,X
TOLZSIJ,O,O,X,X,X,O,X,X
TOLZSJI,O,O,X,X,X,X,X,X
TOJILSZ,O,O,X,O,X,X,O,X
TOJILZS,O,X,X,O,X,X,O,X
TOJISLZ,O,O,X,X,X,X,X,X
TOJISZL,O,O,X,X,X,X,X,X
TOJIZLS,O,O,X,X,X,X,X,X
TOJIZSL,O,O,X,X,X,X,X,X
TOJLISZ,O,O,X,O,X,X,O,X
TOJLIZS,O,X,X,O,X,X,O,X
TOJLSIZ,O,O,X,O,X,X,O,X
TOJLSZI,O,X,X,X,X,X,O,X
TOJLZIS,O,X,X,O,X,X,O,X
TOJLZSI,O,X,X,X,X,X,O,X
TOJSILZ,O,O,X,X,X,X,X,X
TOJSIZL,O,O,X,X,X,X,X,X
TOJSLIZ,O,O,X,X,X,X,X,O
TOJSLZI,O,X,X,X,X,X,X,O
TOJSZIL,O,O,X,X,X,X,X,X
TOJSZLI,O,O,X,X,X,X,X,O
TOJZILS,O,O,X,X,X,X,X,X
TOJZISL,O,O,X,X,X,X,X,X
TOJZLIS,O,O,X,X,X,X,X,X
TOJZLSI,O,O,X,X,X,X,X,X
TOJZSIL,O,O,X,X,X,X,X,X
TOJZSLI,O,O,X,X,X,X,X,O
TOSILJZ,O,O,O,X,X,X,X,X
TOSILZJ,O,O,O,X,X,O,X,X
TOSIJLZ,O,O,X,X,X,X,X,X
TOSIJZL,O,O,X,X,X,X,X,X
TOSIZLJ,O,O,X,X,X,O,X,X
TOSIZJL,O,O,X,X,X,X,X,X
TOSLIJZ,O,O,O,X,X,X,X,O
TOSLIZJ,O,O,O,X,X,O,X,O
TOSLJIZ,O,O,O,X,X,X,X,O
TOSLJZI,O,X,O,X,X,X,X,O
TOSLZIJ,O,O,O,X,X,O,X,O
TOSLZJI,O,O,O,X,X,X,X,O
TOSJILZ,O,O,X,X,X,X,X,X
TOSJIZL,O,O,X,X,X,X,X,X
TOSJLIZ,O,O,X,X,X,X,X,O
TOSJLZI,O,X,X,X,X,X,X,O
TOSJZIL,O,O,X,X,X,X,X,X
TOSJZLI,O,O,X,X,X,X,X,O
TOSZILJ,O,O,O,X,X,O,X,X
TOSZIJL,O,O,X,X,X,X,X,X
TOSZLIJ,O,O,O,X,X,O,X,O
TOSZLJI,O,O,O,X,X,X,X,O
TOSZJIL,O,O,X,X,X,X,X,X
TOSZJLI,O,O,X,X,X,X,X,O
TOZILJS,O,O,X,X,X,X,X,X
TOZILSJ,O,O,X,X,X,O,X,X
TOZIJLS,O,O,X,X,X,X,X,X
TOZIJSL,O,O,X,X,X,X,X,X
TOZISLJ,O,O,O,X,X,O,X,X
TOZISJL,O,O,X,X,X,X,X,X
TOZLIJS,O,O,X,X,X,X,X,X
TOZLISJ,O,O,X,X,X,O,X,X
TOZLJIS,O,O,X,X,X,X,X,X
TOZLJSI,O,O,X,X,X,X,X,X
TOZLSIJ,O,O,X,X,X,O,X,X
TOZLSJI,O,O,X,X,X,X,X,X
TOZJILS,O,O,X,X,X,X,X,X
TOZJISL,O,O,X,X,X,X,X,X
TOZJLIS,O,O,X,X,X,X,X,X
TOZJLSI,O,O,X,X,X,X,X,X
TOZJSIL,O,O,X,X,X,X,X,X
TOZJSLI,O,O,X,X,X,X,X,O
TOZSILJ,O,O,O,X,X,O,X,X
TOZSIJL,O,O,X,X,X,X,X,X
TOZSLIJ,O,O,O,X,X,O,X,O
TOZSLJI,O,O,O,X,X,X,X,O
TOZSJIL,O,O,X,X,X,X,X,X
TOZSJLI,O,O,X,X,X,X,X,O
ITLJSZO,O,X,X,O,X,X,O,X
ITLJSOZ,X,O,X,O,X,X,O,X
ITLJZSO,O,X,X,O,X,X,O,X
ITLJZOS,X,X,X,O,X,X,O,X
ITLJOSZ,X,O,X,O,X,X,O,X
ITLJOZS,X,X,X,O,X,X,O,X
ITLSJZO,O,X,X,O,X,X,O,X
ITLSJOZ,X,O,O,O,X,X,O,X
ITLSZJO,O,O,X,X,X,X,X,X
ITLSZOJ,X,O,O,X,X,O,X,X
ITLSOJZ,X,O,O,O,X,X,O,X
ITLSOZJ,X,O,O,X,X,O,X,X
ITLZJSO,O,O,X,O,X,X,O,X
ITLZJOS,X,O,X,O,X,X,O,X
ITLZSJO,O,O,X,X,X,X,X,X
ITLZSOJ,X,O,X,X,X,O,X,X
ITLZOJS,X,O,X,O,X,X,O,X
ITLZOSJ,X,O,X,X,X,O,X,X
ITLOJSZ,X,O,X,O,X,X,O,X
ITLOJZS,X,X,X,O,X,X,O,X
ITLOSJZ,X,O,O,O,X,X,O,X
ITLOSZJ,X,O,O,X,X,O,X,X
ITLOZJS,X,O,X,O,X,X,O,X
ITLOZSJ,X,O,X,X,X,O,X,X
ITJLSZO,O,X,X,O,X,X,O,X
ITJLSOZ,X,O,X,O,X,X,O,X
ITJLZSO,O,X,X,O,X,X,O,X
ITJLZOS,X,X,X,O,X,X,O,X
ITJLOSZ,X,O,X,O,X,X,O,X
ITJLOZS,X,X,X,O,X,X,O,X
ITJSLZO,O,X,X,O,X,X,O,X
ITJSLOZ,X,O,O,O,X,X,O,X
ITJSZLO,O,O,X,X,X,X,X,X
ITJSZOL,O,O,X,X,X,X,X,X
ITJSOLZ,X,O,X,X,X,X,X,X
ITJSOZL,O,O,X,X,X,X,X,X
ITJZLSO,O,O,X,O,X,X,O,X
ITJZLOS,X,O,X,O,X,X,O,X
ITJZSLO,O,O,X,X,X,X,X,X
ITJZSOL,O,O,X,X,X,X,X,X
ITJZOLS,X,O,X,X,X,X,X,X
ITJZOSL,O,O,X,X,X,X,X,X
ITJOLSZ,X,O,X,O,X,X,O,X
ITJOLZS,X,X,X,O,X,X,O,X
ITJOSLZ,X,O,X,X,X,X,X,X
ITJOSZL,O,O,X,X,X,X,X,X
ITJOZLS,X,O,X,X,X,X,X,X
ITJOZSL,O,O,X,X,X,X,X,X
ITSLJZO,O,X,X,O,X,X,O,X
ITSLJOZ,X,O,O,O,X,X,O,X
ITSLZJO,O,O,O,X,X,X,X,X
ITSLZOJ,X,O,O,X,X,O,X,X
ITSLOJZ,X,O,O,O,X,X,O,X
ITSLOZJ,X,O,O,X,X,O,X,X
ITSJLZO,O,X,X,O,X,X,O,X
ITSJLOZ,X,O,O,O,X,X,O,X
ITSJZLO,O,O,X,X,X,X,X,X
ITSJZOL,O,O,X,X,X,X,X,X
ITSJOLZ,X,O,X,X,X,X,X,X
ITSJOZL,O,O,X,X,X,X,X,X
ITSZLJO,O,O,O,X,X,X,X,X
ITSZLOJ,X,O,O,X,X,O,X,X
ITSZJLO,O,O,O,X,X,X,X,X
ITSZJOL,O,O,X,X,X,X,X,X
ITSZOLJ,O,O,O,X,X,O,X,X
ITSZOJL,O,O,X,X,X,X,X,X
ITSOLJZ,O,O,O,X,X,X,X,X
ITSOLZJ,O,O,O,X,X,O,X,X
ITSOJLZ,O,O,X,X,X,X,X,X
ITSOJZL,O,O,X,X,X,X,X,X
ITSOZLJ,O,O,X,X,X,O,X,X
ITSOZJL,O,O,X,X,X,X,X,X
ITZLJSO,O,O,X,O,X,X,O,X
ITZLJOS,X,O,X,O,X,X,O,X
ITZLSJO,O,O,O,X,X,X,X,X
ITZLSOJ,X,O,O,X,X,O,X,X
ITZLOJS,X,O,X,O,X,X,O,X
ITZLOSJ,X,O,X,X,X,O,X,X
ITZJLSO,O,O,X,O,X,X,O,X
ITZJLOS,X,O,X,O,X,X,O,X
ITZJSLO,O,O,O,X,X,X,X,X
ITZJSOL,O,O,X,X,X,X,X,X
ITZJOLS,X,O,X,X,X,X,X,X
ITZJOSL,O,O,X,X,X,X,X,X
ITZSLJO,O,O,O,X,X,X,X,X
ITZSLOJ,X,O,O,X,X,O,X,X
ITZSJLO,O,O,O,X,X,X,X,X
ITZSJOL,O,O,X,X,X,X,X,X
ITZSOLJ,O,O,O,X,X,O,X,X
ITZSOJL,O,O,X,X,X,X,X,X
ITZOLJS,O,O,X,X,X,X,X,X
ITZOLSJ,O,O,X,X,X,O,X,X
ITZOJLS,O,O,X,X,X,X,X,X
ITZOJSL,O,O,X,X,X,X,X,X
ITZOSLJ,O,O,O,X,X,O,X,X
ITZOSJL,O,O,X,X,X,X,X,X
ITOLJSZ,O,O,X,O,X,X,O,X
ITOLJZS,O,X,X,O,X,X,O,X
ITOLSJZ,O,O,X,O,X,X,O,X
ITOLSZJ,O,O,X,X,X,O,X,X
ITOLZJS,O,O,X,O,X,X,O,X
ITOLZSJ,O,O,X,X,X,O,X,X
ITOJLSZ,O,O,X,O,X,X,O,X
ITOJLZS,O,X,X,O,X,X,O,X
ITOJSLZ,O,O,X,X,X,X,X,X
ITOJSZL,O,O,X,X,X,X,X,X
ITOJZLS,O,O,X,X,X,X,X,X
ITOJZSL,O,O,X,X,X,X,X,X
ITOSLJZ,O,O,O,X,X,X,X,X
ITOSLZJ,O,O,O,X,X,O,X,X
ITOSJLZ,O,O,X,X,X,X,X,X
ITOSJZL,O,O,X,X,X,X,X,X
ITOSZLJ,O,O,X,X,X,O,X,X
ITOSZJL,O,O,X,X,X,X,X,X
ITOZLJS,O,O,X,X,X,X,X,X
ITOZLSJ,O,O,X,X,X,O,X,X
ITOZJLS,O,O,X,X,X,X,X,X
ITOZJSL,O,O,X,X,X,X,X,X
ITOZSLJ,O,O,X,X,X,O,X,X
ITOZSJL,O,O,X,X,X,X,X,X
ILTJSZO,O,X,X,O,X,X,O,X
ILTJSOZ,X,O,X,O,X,X,O,X
ILTJZSO,O,X,X,O,X,X,O,X
ILTJZOS,X,X,X,O,X,X,O,X
ILTJOSZ,X,O,X,O,X,X,O,X
ILTJOZS,X,X,X,O,X,X,O,X
ILTSJZO,O,X,X,O,X,X,O,X
ILTSJOZ,X,O,O,O,X,X,O,X
ILTSZJO,O,O,X,X,X,X,X,X
ILTSZOJ,X,O,O,X,X,O,X,X
ILTSOJZ,X,O,O,O,X,X,O,X
ILTSOZJ,X,O,O,X,X,O,X,X
ILTZJSO,O,O,X,O,X,X,O,X
ILTZJOS,X,O,X,O,X,X,O,X
ILTZSJO,O,O,X,X,X,X,X,X
ILTZSOJ,X,O,X,X,X,O,X,X
ILTZOJS,X,O,X,O,X,X,O,X
ILTZOSJ,X,O,X,X,X,O,X,X
ILTOJSZ,X,O,X,O,X,X,O,X
ILTOJZS,X,X,X,O,X,X,O,X
ILTOSJZ,X,O,O,O,X,X,O,X
ILTOSZJ,X,O,O,X,X,O,X,X
ILTOZJS,X,O,X,O,X,X,O,X
ILTOZSJ,X,O,X,X,X,O,X,X
ILJTSZO,X,X,X,O,X,X,O,X
ILJTSOZ,X,X,X,O,X,X,O,X
ILJTZSO,X,X,X,O,X,X,O,X
ILJTZOS,X,X,X,O,X,X,O,X
ILJTOSZ,X,X,X,O,X,X,O,X
ILJTOZS,X,X,X,O,X,X,O,X
ILJSTZO,X,X,X,O,O,X,X,X
ILJSTOZ,X,X,O,O,O,X,X,X
ILJSZTO,X,X,X,O,O,X,X,X
ILJSZOT,X,X,X,O,O,O,X,X
ILJSOTZ,X,X,O,O,O,X,X,X
ILJSOZT,X,X,X,O,O,O,X,X
ILJZTSO,X,X,X,O,X,X,X,X
ILJZTOS,X,X,X,O,X,X,X,X
ILJZSTO,X,X,X,O,X,X,X,X
ILJZSOT,X,X,X,O,X,O,X,X
ILJZOTS,X,X,X,O,X,X,X,X
ILJZOST,X,X,X,O,X,O,X,X
ILJOTSZ,X,X,X,O,X,X,O,X
ILJOTZS,X,X,X,O,X,X,O,X
ILJOSTZ,X,X,O,O,O,X,X,X
ILJOSZT,X,X,X,O,O,O,X,X
ILJOZTS,X,X,X,O,X,X,X,X
ILJOZST,X,X,X,O,X,O,X,X
ILSTJZO,O,X,X,O,X,X,X,X
ILSTJOZ,X,O,O,O,X,X,X,X
ILSTZJO,O,O,O,X,X,X,X,X
ILSTZOJ,X,O,O,X,X,O,X,X
ILSTOJZ,X,O,O,O,X,X,X,X
ILSTOZJ,X,O,O,X,X,O,X,X
ILSJTZO,X,X,X,O,O,X,X,X
ILSJTOZ,X,X,O,O,O,X,X,X
ILSJZTO,X,X,X,O,O,X,X,X
ILSJZOT,X,X,X,O,O,O,X,X
ILSJOTZ,X,X,O,O,O,X,X,X
ILSJOZT,X,X,X,O,O,O,X,X
ILSZTJO,O,O,O,X,X,X,X,X
ILSZTOJ,X,O,O,X,O,O,X,X
ILSZJTO,X,X,O,X,O,X,X,X
ILSZJOT,X,X,O,X,O,O,X,X
ILSZOTJ,O,O,O,X,O,O,X,X
ILSZOJT,X,X,O,X,O,O,X,X
ILSOTJZ,O,O,O,O,X,X,X,X
ILSOTZJ,O,O,O,X,X,O,X,X
ILSOJTZ,X,X,O,O,O,X,X,X
ILSOJZT,X,X,X,O,O,O,X,X
ILSOZTJ,O,O,O,X,O,O,X,X
ILSOZJT,X,X,O,X,O,O,X,X
ILZTJSO,O,O,X,O,X,X,X,X
ILZTJOS,X,O,X,O,X,X,X,X
ILZTSJO,O,O,O,X,X,X,X,X
ILZTSOJ,X,O,O,X,X,O,X,X
ILZTOJS,X,O,X,O,X,X,X,X
ILZTOSJ,X,O,O,X,X,O,X,X
ILZJTSO,X,O,X,O,X,X,X,X
ILZJTOS,X,O,X,O,X,X,X,X
ILZJSTO,X,X,O,O,X,X,X,X
ILZJSOT,X,X,O,O,X,O,X,X
ILZJOTS,X,O,X,O,X,X,X,X
ILZJOST,X,X,O,O,X,O,X,X
ILZSTJO,O,O,O,X,X,X,X,X
ILZSTOJ,X,O,O,X,X,O,X,X
ILZSJTO,X,X,O,X,X,X,X,X
ILZSJOT,X,X,O,X,X,O,X,X
ILZSOTJ,O,O,O,X,X,O,X,X
ILZSOJT,X,X,O,X,X,O,X,X
ILZOTJS,O,O,X,O,X,X,X,X
ILZOTSJ,O,O,O,X,X,O,X,X
ILZOJTS,X,O,X,O,X,X,X,X
ILZOJST,X,X,O,O,X,O,X,X
ILZOSTJ,O,O,O,X,X,O,X,X
ILZOSJT,X,X,O,X,X,O,X,X
ILOTJSZ,O,O,X,O,X,X,O,X
ILOTJZS,O,X,X,O,X,X,O,X
ILOTSJZ,O,O,O,O,X,X,O,X
ILOTSZJ,O,O,O,X,X,O,X,X
ILOTZJS,O,O,X,O,X,X,O,X
ILOTZSJ,O,O,X,X,X,O,X,X
ILOJTSZ,X,X,X,O,X,X,O,X
ILOJTZS,X,X,X,O,X,X,O,X
ILOJSTZ,X,X,O,O,O,X,X,X
ILOJSZT,X,X,X,O,O,O,X,X
ILOJZTS,X,X,X,O,X,X,X,X
ILOJZST,X,X,X,O,X,O,X,X
ILOSTJZ,O,O,O,O,X,X,X,X
ILOSTZJ,O,O,O,X,X,O,X,X
ILOSJTZ,X,X,O,O,O,X,X,X
ILOSJZT,X,X,X,O,O,O,X,X
ILOSZTJ,O,O,O,X,O,O,X,X
ILOSZJT,X,X,O,X,O,O,X,X
ILOZTJS,O,O,X,O,X,X,X,X
ILOZTSJ,O,O,O,X,X,O,X,X
ILOZJTS,X,O,X,O,X,X,X,X
ILOZJST,X,X,O,O,X,O,X,X
ILOZSTJ,O,O,O,X,X,O,X,X
ILOZSJT,X,X,O,X,X,O,X,X
IJTLSZO,O,X,X,O,X,X,O,X
IJTLSOZ,X,O,X,O,X,X,O,X
IJTLZSO,O,X,X,O,X,X,O,X
IJTLZOS,X,X,X,O,X,X,O,X
IJTLOSZ,X,O,X,O,X,X,O,X
IJTLOZS,X,X,X,O,X,X,O,X
IJTSLZO,O,X,X,O,X,X,O,X
IJTSLOZ,X,O,O,O,X,X,O,X
IJTSZLO,O,O,X,X,X,X,X,X
IJTSZOL,O,O,X,X,X,X,X,X
IJTSOLZ,X,O,X,X,X,X,X,X
IJTSOZL,O,O,X,X,X,X,X,X
IJTZLSO,O,O,X,O,X,X,O,X
IJTZLOS,X,O,X,O,X,X,O,X
IJTZSLO,O,O,X,X,X,X,X,X
IJTZSOL,O,O,X,X,X,X,X,X
IJTZOLS,X,O,X,X,X,X,X,X
IJTZOSL,O,O,X,X,X,X,X,X
IJTOLSZ,X,O,X,O,X,X,O,X
IJTOLZS,X,X,X,O,X,X,O,X
IJTOSLZ,X,O,X,X,X,X,X,X
IJTOSZL,O,O,X,X,X,X,X,X
IJTOZLS,X,O,X,X,X,X,X,X
IJTOZSL,O,O,X,X,X,X,X,X
IJLTSZO,X,X,X,O,X,X,O,X
IJLTSOZ,X,X,X,O,X,X,O,X
IJLTZSO,X,X,X,O,X,X,O,X
IJLTZOS,X,X,X,O,X,X,O,X
IJLTOSZ,X,X,X,O,X,X,O,X
IJLTOZS,X,X,X,O,X,X,O,X
IJLSTZO,X,X,X,O,O,X,X,X
IJLSTOZ,X,X,O,O,O,X,X,X
IJLSZTO,X,X,X,O,O,X,X,X
IJLSZOT,X,X,X,O,O,O,X,X
IJLSOTZ,X,X,O,O,O,X,X,X
IJLSOZT,X,X,X,O,O,O,X,X
IJLZTSO,X,X,X,O,X,X,X,X
IJLZTOS,X,X,X,O,X,X,X,X
IJLZSTO,X,X,X,O,X,X,X,X
IJLZSOT,X,X,X,O,X,O,X,X
IJLZOTS,X,X,X,O,X,X,X,X
IJLZOST,X,X,X,O,X,O,X,X
IJLOTSZ,X,X,X,O,X,X,O,X
IJLOTZS,X,X,X,O,X,X,O,X
IJLOSTZ,X,X,O,O,O,X,X,X
IJLOSZT,X,X,X,O,O,O,X,X
IJLOZTS,X,X,X,O,X,X,X,X
IJLOZST,X,X,X,O,X,O,X,X
IJSTLZO,O,X,X,O,X,X,X,X
IJSTLOZ,X,O,O,O,X,X,X,X
IJSTZLO,O,O,X,X,X,X,X,X
IJSTZOL,O,O,X,X,X,X,X,X
IJSTOLZ,X,O,X,X,X,X,X,X
IJSTOZL,O,O,X,X,X,X,X,X
IJSLTZO,X,X,X,O,O,X,X,X
IJSLTOZ,X,X,O,O,O,X,X,O
IJSLZTO,X,X,X,O,O,X,X,X
IJSLZOT,X,X,X,O,O,O,X,O
IJSLOTZ,X,X,O,O,O,X,X,O
IJSLOZT,X,X,X,O,O,O,X,O
IJSZTLO,O,O,X,X,O,X,X,X
IJSZTOL,O,O,X,X,X,X,X,X
IJSZLTO,X,X,X,X,O,X,X,X
IJSZLOT,X,X,X,X,O,O,X,X
IJSZOTL,O,O,X,X,X,X,X,X
IJSZOLT,X,X,X,X,O,O,X,X
IJSOTLZ,O,O,X,X,X,X,X,X
IJSOTZL,O,O,X,X,X,X,X,X
IJSOLTZ,X,X,X,X,X,X,X,O
IJSOLZT,X,X,X,X,X,O,X,O
IJSOZTL,O,O,X,X,X,X,X,X
IJSOZLT,X,X,X,X,X,O,X,O
IJZTLSO,O,O,X,O,X,X,X,X
IJZTLOS,X,O,X,O,X,X,X,X
IJZTSLO,O,O,X,X,O,X,X,X
IJZTSOL,O,O,X,X,X,X,X,X
IJZTOLS,X,O,X,X,X,X,X,X
IJZTOSL,O,O,X,X,X,X,X,X
IJZLTSO,X,O,X,O,X,X,X,X
IJZLTOS,X,O,X,O,X,X,X,X
IJZLSTO,X,X,X,O,O,X,X,X
IJZLSOT,X,X,X,O,O,O,X,X
IJZLOTS,X,O,X,O,X,X,X,X
IJZLOST,X,X,X,O,X,O,X,X
IJZSTLO,O,O,X,X,O,X,X,X
IJZSTOL,O,O,X,X,X,X,X,X
IJZSLTO,X,X,X,X,O,X,X,X
IJZSLOT,X,X,X,X,O,O,X,X
IJZSOTL,O,O,X,X,X,X,X,X
IJZSOLT,X,X,X,X,O,O,X,X
IJZOTLS,O,O,X,X,X,X,X,X
IJZOTSL,O,O,X,X,X,X,X,X
IJZOLTS,X,O,X,X,X,X,X,X
IJZOLST,X,X,X,X,X,O,X,X
IJZOSTL,O,O,X,X,X,X,X,X
IJZOSLT,X,X,X,X,O,O,X,X
IJOTLSZ,O,O,X,O,X,X,X,X
IJOTLZS,O,X,X,O,X,X,X,X
IJOTSLZ,O,O,X,X,X,X,X,X
IJOTSZL,O,O,X,X,X,X,X,X
IJOTZLS,O,O,X,X,X,X,X,X
IJOTZSL,O,O,X,X,X,X,X,X
IJOLTSZ,X,X,X,O,X,X,X,X
IJOLTZS,X,X,X,O,X,X,X,X
IJOLSTZ,X,X,X,O,X,X,X,X
IJOLSZT,X,X,X,O,X,O,X,X
IJOLZTS,X,X,X,O,X,X,X,X
IJOLZST,X,X,X,O,X,O,X,X
IJOSTLZ,O,O,X,X,X,X,X,X
IJOSTZL,O,O,X,X,X,X,X,X
IJOSLTZ,X,X,X,X,X,X,X,O
IJOSLZT,X,X,X,X,X,O,X,O
IJOSZTL,O,O,X,X,X,X,X,X
IJOSZLT,X,X,X,X,X,O,X,O
IJOZTLS,O,O,X,X,X,X,X,X
IJOZTSL,O,O,X,X,X,X,X,X
IJOZLTS,X,O,X,X,X,X,X,X
IJOZLST,X,X,X,X,X,O,X,X
IJOZSTL,O,O,X,X,X,X,X,X
IJOZSLT,X,X,X,X,X,O,X,O
ISTLJZO,O,X,X,O,X,X,X,X
ISTLJOZ,X,O,O,O,X,X,X,X
ISTLZJO,O,O,O,X,X,X,X,X
ISTLZOJ,X,O,O,X,X,O,X,X
ISTLOJZ,X,O,O,O,X,X,X,X
ISTLOZJ,X,O,O,X,X,O,X,X
ISTJLZO,O,X,X,O,X,X,X,X
ISTJLOZ,X,O,O,O,X,X,X,X
ISTJZLO,O,O,X,X,X,X,X,X
ISTJZOL,O,O,X,X,X,X,X,X
ISTJOLZ,X,O,X,X,X,X,X,X
ISTJOZL,O,O,X,X,X,X,X,X
ISTZLJO,O,O,O,X,X,X,X,X
ISTZLOJ,X,O,O,X,X,O,X,X
ISTZJLO,O,O,O,X,X,X,X,X
ISTZJOL,O,O,X,X,X,X,X,X
ISTZOLJ,O,O,O,X,X,O,X,X
ISTZOJL,O,O,X,X,X,X,X,X
ISTOLJZ,O,O,O,X,X,X,X,X
ISTOLZJ,O,O,O,X,X,O,X,X
ISTOJLZ,O,O,X,X,X,X,X,X
ISTOJZL,O,O,X,X,X,X,X,X
ISTOZLJ,O,O,X,X,X,O,X,X
ISTOZJL,O,O,X,X,X,X,X,X
