sequence,v115@HhA8FeA8BeA8FeF8DeC8Je6EJvhFxgBOnBTjB/qB0r?BFrB,v115@HhA8FeA8BeA8FeF8DeC8Jel/IvhFUhBOnBTjBXlBSr?BRwB,v115@HhA8FeA8BeA8FeF8DeC8Je0/IvhFmgBTjBSqB3mBFn?BRwB,v115@HhA8FeA8BeA8FeF8DeC8Je6EJvhFOlB8lBTjB3mBFn?BRwB,v115@HhA8FeA8BeA8FeF8DeC8Jex/IvhFFiBTjBClB0qBmr?B/rB,v115@HhA8FeA8BeA8FeF8DeC8Jex/IvhFXiBTjBWqBirBlq?B0rB,v115@HhA8FeA8BeA8FeF8DeC8Jel/IvhFOnBTjBxlBSqB0r?BXrB,v115@HhA8FeA8BeA8FeF8DeC8Jex/IvhF0hBTjBWqBirBlq?BXsB
ISLTZOJ,X,O,O,O,X,X,X,X
ISLTOJZ,O,O,O,X,X,X,X,X
ISLTOZJ,X,O,O,O,X,X,X,X
ISLJTZO,X,O,O,X,X,O,X,X
ISLJTOZ,O,O,O,X,X,O,X,X
ISLJZTO,O,O,O,O,X,X,X,X
ISLJZOT,O,O,O,O,X,X,X,X
ISLJOTZ,O,O,O,X,X,O,X,X
ISLJOZT,O,O,O,O,X,X,X,X
ISLZTJO,O,O,O,O,X,X,X,X
ISLZTOJ,O,O,O,O,X,X,X,X
ISLZJTO,O,O,O,O,O,X,X,X
ISLZJOT,O,O,O,O,O,X,X,X
ISLZOTJ,O,O,O,O,X,X,X,X
ISLZOJT,O,O,O,O,O,X,X,X
ISLOTJZ,O,O,O,X,X,X,X,X
ISLOTZJ,X,O,O,O,X,X,X,X
ISLOJTZ,O,O,O,X,X,O,X,X
ISLOJZT,O,O,O,O,X,X,X,X
ISLOZTJ,O,O,O,O,X,X,X,X
ISLOZJT,O,O,O,O,O,X,X,X
ISJTLZO,X,O,O,X,X,X,X,X
ISJTLOZ,O,O,O,X,X,X,X,X
ISJTZLO,X,O,X,X,X,X,X,X
ISJTZOL,X,O,X,X,X,X,X,X
ISJTOLZ,O,O,O,X,X,X,X,X
ISJTOZL,X,O,X,X,X,X,X,X
ISJLTZO,X,O,O,X,X,O,X,X
ISJLTOZ,O,O,O,X,X,O,X,X
ISJLZTO,O,O,O,O,X,X,X,X
ISJLZOT,O,O,O,O,X,X,X,X
ISJLOTZ,O,O,O,X,X,O,X,X
ISJLOZT,O,O,O,O,X,X,X,X
ISJZTLO,O,O,X,O,X,X,X,X
ISJZTOL,O,O,X,O,X,X,X,X
ISJZLTO,O,O,O,O,X,X,X,X
ISJZLOT,O,O,O,O,X,X,X,X
ISJZOTL,O,O,X,O,X,X,X,X
ISJZOLT,O,O,O,O,X,X,X,X
ISJOTLZ,O,O,O,X,X,X,X,X
ISJOTZL,X,O,X,X,X,X,X,X
ISJOLTZ,O,O,O,X,X,O,X,X
ISJOLZT,O,O,O,O,X,X,X,X
ISJOZTL,O,O,X,O,X,X,X,X
ISJOZLT,O,O,O,O,X,X,X,X
ISZTLJO,O,O,O,O,X,X,X,X
ISZTLOJ,O,O,O,O,X,X,X,X
ISZTJLO,O,O,X,O,X,X,X,X
ISZTJOL,O,O,X,O,X,X,X,X
ISZTOLJ,O,O,O,O,X,X,X,X
ISZTOJL,O,O,X,O,X,X,X,X
ISZLTJO,O,O,O,O,X,X,X,X
ISZLTOJ,O,O,O,O,X,X,X,X
ISZLJTO,O,O,O,O,O,X,X,X
ISZLJOT,O,O,O,O,O,X,X,X
ISZLOTJ,O,O,O,O,X,X,X,X
ISZLOJT,O,O,O,O,O,X,X,X
ISZJTLO,O,O,X,O,X,X,X,X
ISZJTOL,O,O,X,O,X,X,X,X
ISZJLTO,O,O,O,O,O,X,X,X
ISZJLOT,O,O,O,O,O,X,X,X
ISZJOTL,O,O,X,O,X,X,X,X
ISZJOLT,O,O,O,O,O,X,X,X
ISZOTLJ,O,O,O,O,X,X,X,X
ISZOTJL,O,O,X,O,X,X,X,X
ISZOLTJ,O,O,O,O,X,X,X,X
ISZOLJT,O,O,O,O,O,X,X,X
ISZOJTL,O,O,X,O,X,X,X,X
ISZOJLT,O,O,O,O,O,X,X,X
ISOTLJZ,O,O,O,X,X,X,X,X
ISOTLZJ,X,O,O,O,X,X,X,X
ISOTJLZ,O,O,O,X,X,X,X,X
ISOTJZL,X,O,X,X,X,X,X,X
ISOTZLJ,X,O,O,O,X,X,X,X
ISOTZJL,X,O,X,O,X,X,X,X
ISOLTJZ,O,O,O,X,X,X,X,X
ISOLTZJ,X,O,O,O,X,X,X,X
ISOLJTZ,O,O,O,X,X,O,X,X
ISOLJZT,O,O,O,O,X,X,X,X
ISOLZTJ,O,O,O,O,X,X,X,X
ISOLZJT,O,O,O,O,O,X,X,X
ISOJTLZ,O,O,O,X,X,X,X,X
ISOJTZL,X,O,X,X,X,X,X,X
ISOJLTZ,O,O,O,X,X,O,X,X
ISOJLZT,O,O,O,O,X,X,X,X
ISOJZTL,O,O,X,O,X,X,X,X
ISOJZLT,O,O,O,O,X,X,X,X
ISOZTLJ,O,O,O,O,X,X,X,X
ISOZTJL,O,O,X,O,X,X,X,X
ISOZLTJ,O,O,O,O,X,X,X,X
ISOZLJT,O,O,O,O,O,X,X,X
ISOZJTL,O,O,X,O,X,X,X,X
ISOZJLT,O,O,O,O,O,X,X,X
IZTLJSO,X,X,O,O,O,X,X,X
IZTLJOS,X,X,O,O,O,X,O,X
IZTLSJO,X,X,O,O,X,X,X,X
IZTLSOJ,X,X,O,O,X,X,X,X
IZTLOJS,X,X,O,O,O,X,O,X
IZTLOSJ,X,X,O,O,X,X,X,X
IZTJLSO,X,X,X,O,O,X,X,X
IZTJLOS,X,X,X,O,O,X,O,X
IZTJSLO,X,O,X,O,X,X,X,X
IZTJSOL,X,O,X,O,X,X,O,X
IZTJOLS,X,X,X,O,O,X,O,X
IZTJOSL,X,O,X,O,X,X,O,X
IZTSLJO,X,O,O,O,X,X,X,X
IZTSLOJ,X,O,O,O,X,X,X,X
IZTSJLO,X,O,X,O,X,X,X,X
IZTSJOL,X,O,X,O,X,X,O,X
IZTSOLJ,X,O,O,O,X,X,X,X
IZTSOJL,X,O,X,O,X,X,O,X
IZTOLJS,X,X,O,O,O,X,O,X
IZTOLSJ,X,X,O,O,X,X,X,X
IZTOJLS,X,X,X,O,O,X,O,X
IZTOJSL,X,O,X,O,X,X,O,X
IZTOSLJ,X,O,O,O,X,X,X,X
IZTOSJL,X,O,X,O,X,X,O,X
IZLTJSO,X,X,O,O,O,X,X,X
IZLTJOS,X,X,O,O,O,X,O,X
IZLTSJO,X,X,O,O,X,X,X,X
IZLTSOJ,X,X,O,O,X,X,X,X
IZLTOJS,X,X,O,O,O,X,O,X
IZLTOSJ,X,X,O,O,X,X,X,X
IZLJTSO,X,X,O,O,O,X,X,X
IZLJTOS,X,X,O,O,O,X,O,X
IZLJSTO,O,X,O,O,O,X,X,X
IZLJSOT,O,X,O,O,O,X,X,X
IZLJOTS,X,X,O,O,O,X,O,X
IZLJOST,O,X,O,O,O,X,X,X
IZLSTJO,O,X,O,O,X,X,X,X
IZLSTOJ,O,X,O,O,X,X,X,X
IZLSJTO,O,X,O,O,O,X,X,X
IZLSJOT,O,X,O,O,O,X,X,X
IZLSOTJ,O,X,O,O,X,X,X,X
IZLSOJT,O,X,O,O,O,X,X,X
IZLOTJS,X,X,O,O,O,X,O,X
IZLOTSJ,X,X,O,O,X,X,X,X
IZLOJTS,X,X,O,O,O,X,O,X
IZLOJST,O,X,O,O,O,X,X,X
IZLOSTJ,O,X,O,O,X,X,X,X
IZLOSJT,O,X,O,O,O,X,X,X
IZJTLSO,X,X,X,O,O,X,X,X
IZJTLOS,X,X,X,O,O,X,O,X
IZJTSLO,X,O,X,O,X,X,X,X
IZJTSOL,X,O,X,O,X,X,O,X
IZJTOLS,X,X,X,O,O,X,O,X
IZJTOSL,X,O,X,O,X,X,O,X
IZJLTSO,X,X,O,O,O,X,X,X
IZJLTOS,X,X,O,O,O,X,O,X
IZJLSTO,O,X,O,O,O,X,X,X
IZJLSOT,O,X,O,O,O,X,X,X
IZJLOTS,X,X,O,O,O,X,O,X
IZJLOST,O,X,O,O,O,X,X,X
IZJSTLO,O,O,X,O,X,X,X,X
IZJSTOL,O,O,X,O,X,X,O,X
IZJSLTO,O,O,O,O,O,X,X,X
IZJSLOT,O,O,O,O,O,X,X,X
IZJSOTL,O,O,X,O,X,X,O,X
IZJSOLT,O,O,O,O,O,X,X,X
IZJOTLS,X,X,X,O,O,X,O,X
IZJOTSL,X,O,X,O,X,X,O,X
IZJOLTS,X,X,O,O,O,X,O,X
IZJOLST,O,X,O,O,O,X,X,X
IZJOSTL,O,O,X,O,X,X,O,X
IZJOSLT,O,O,O,O,O,X,X,X
IZSTLJO,O,O,O,O,X,X,X,X
IZSTLOJ,O,O,O,O,X,X,X,X
IZSTJLO,O,O,X,O,X,X,X,X
IZSTJOL,O,O,X,O,X,X,O,X
IZSTOLJ,O,O,O,O,X,X,X,X
IZSTOJL,O,O,X,O,X,X,O,X
IZSLTJO,O,O,O,O,X,X,X,X
IZSLTOJ,O,O,O,O,X,X,X,X
IZSLJTO,O,O,O,O,O,X,X,X
IZSLJOT,O,O,O,O,O,X,X,X
IZSLOTJ,O,O,O,O,X,X,X,X
IZSLOJT,O,O,O,O,O,X,X,X
IZSJTLO,O,O,X,O,X,X,X,X
IZSJTOL,O,O,X,O,X,X,O,X
IZSJLTO,O,O,O,O,O,X,X,X
IZSJLOT,O,O,O,O,O,X,X,X
IZSJOTL,O,O,X,O,X,X,O,X
IZSJOLT,O,O,O,O,O,X,X,X
IZSOTLJ,O,O,O,O,X,X,X,X
IZSOTJL,O,O,X,O,X,X,O,X
IZSOLTJ,O,O,O,O,X,X,X,X
IZSOLJT,O,O,O,O,O,X,X,X
IZSOJTL,O,O,X,O,X,X,O,X
IZSOJLT,O,O,O,O,O,X,X,X
IZOTLJS,X,X,O,O,O,X,O,X
IZOTLSJ,X,X,O,O,X,X,X,X
IZOTJLS,X,X,X,O,O,X,O,X
IZOTJSL,X,O,X,O,X,X,O,X
IZOTSLJ,X,O,O,O,X,X,X,X
IZOTSJL,X,O,X,O,X,X,O,X
IZOLTJS,X,X,O,O,O,X,O,X
IZOLTSJ,X,X,O,O,X,X,X,X
IZOLJTS,X,X,O,O,O,X,O,X
IZOLJST,O,X,O,O,O,X,X,X
IZOLSTJ,O,X,O,O,X,X,X,X
IZOLSJT,O,X,O,O,O,X,X,X
IZOJTLS,X,X,X,O,O,X,O,X
IZOJTSL,X,O,X,O,X,X,O,X
IZOJLTS,X,X,O,O,O,X,O,X
IZOJLST,O,X,O,O,O,X,X,X
IZOJSTL,O,O,X,O,X,X,O,X
IZOJSLT,O,O,O,O,O,X,X,X
IZOSTLJ,O,O,O,O,X,X,X,X
IZOSTJL,O,O,X,O,X,X,O,X
IZOSLTJ,O,O,O,O,X,X,X,X
IZOSLJT,O,O,O,O,O,X,X,X
IZOSJTL,O,O,X,O,X,X,O,X
IZOSJLT,O,O,O,O,O,X,X,X
IOTLJSZ,X,O,O,X,X,X,X,X
IOTLJZS,X,X,O,O,X,X,X,X
IOTLSJZ,X,O,O,X,X,X,X,X
IOTLSZJ,X,O,O,O,X,X,X,X
IOTLZJS,X,X,O,O,O,X,X,X
IOTLZSJ,X,X,O,O,X,X,X,X
IOTJLSZ,X,O,X,X,X,X,X,X
IOTJLZS,X,X,X,O,X,X,X,X
IOTJSLZ,X,O,X,X,X,X,X,X
IOTJSZL,X,O,X,X,X,X,X,X
IOTJZLS,X,X,X,O,X,X,O,X
IOTJZSL,X,O,X,O,X,X,O,X
IOTSLJZ,X,O,O,X,X,X,X,X
IOTSLZJ,X,O,O,O,X,X,X,X
IOTSJLZ,X,O,O,X,X,X,X,X
IOTSJZL,X,O,X,X,X,X,X,X
IOTSZLJ,X,O,O,O,X,X,X,X
IOTSZJL,X,O,X,O,X,X,X,X
IOTZLJS,X,X,O,O,O,X,O,X
IOTZLSJ,X,X,O,O,X,X,X,X
IOTZJLS,X,X,X,O,O,X,O,X
IOTZJSL,X,O,X,O,X,X,O,X
IOTZSLJ,X,O,O,O,X,X,X,X
IOTZSJL,X,O,X,O,X,X,O,X
IOLTJSZ,X,O,O,X,X,X,X,X
IOLTJZS,X,X,O,O,X,X,X,X
IOLTSJZ,X,O,O,X,X,X,X,X
IOLTSZJ,X,O,O,O,X,X,X,X
IOLTZJS,X,X,O,O,O,X,X,X
IOLTZSJ,X,X,O,O,X,X,X,X
IOLJTSZ,X,O,O,X,X,O,X,O
IOLJTZS,X,X,O,O,X,O,X,O
IOLJSTZ,O,O,O,X,X,O,X,X
IOLJSZT,O,O,O,O,X,X,X,X
IOLJZTS,X,X,O,O,O,X,X,X
IOLJZST,O,X,O,O,O,X,X,X
IOLSTJZ,O,O,O,X,X,X,X,X
IOLSTZJ,X,O,O,O,X,X,X,X
IOLSJTZ,O,O,O,X,X,O,X,X
IOLSJZT,O,O,O,O,X,X,X,X
IOLSZTJ,O,O,O,O,X,X,X,X
IOLSZJT,O,O,O,O,O,X,X,X
IOLZTJS,X,X,O,O,O,X,X,X
IOLZTSJ,X,X,O,O,X,X,X,X
IOLZJTS,X,X,O,O,O,X,X,O
IOLZJST,O,X,O,O,O,X,X,X
IOLZSTJ,O,X,O,O,X,X,X,X
IOLZSJT,O,X,O,O,O,X,X,X
IOJTLSZ,X,O,X,X,X,X,X,X
IOJTLZS,X,X,X,O,X,X,X,X
IOJTSLZ,X,O,X,X,X,X,X,X
IOJTSZL,X,O,X,X,X,X,X,X
IOJTZLS,X,X,X,O,X,X,O,X
IOJTZSL,X,O,X,O,X,X,O,X
IOJLTSZ,X,O,O,X,X,O,X,O
IOJLTZS,X,X,O,O,X,O,X,O
IOJLSTZ,O,O,O,X,X,O,X,X
IOJLSZT,O,O,O,O,X,X,X,X
IOJLZTS,X,X,O,O,O,X,X,X
IOJLZST,O,X,O,O,O,X,X,X
IOJSTLZ,O,O,O,X,X,X,X,X
IOJSTZL,X,O,X,X,X,X,X,X
IOJSLTZ,O,O,O,X,X,O,X,X
IOJSLZT,O,O,O,O,X,X,X,X
IOJSZTL,O,O,X,O,X,X,X,X
IOJSZLT,O,O,O,O,X,X,X,X
IOJZTLS,X,X,X,O,O,X,O,X
IOJZTSL,X,O,X,O,X,X,O,X
IOJZLTS,X,X,O,O,O,X,O,X
IOJZLST,O,X,O,O,O,X,X,X
IOJZSTL,O,O,X,O,X,X,O,X
IOJZSLT,O,O,O,O,O,X,X,X
IOSTLJZ,O,O,O,X,X,X,X,X
IOSTLZJ,X,O,O,O,X,X,X,X
IOSTJLZ,O,O,O,X,X,X,X,X
IOSTJZL,X,O,X,X,X,X,X,X
IOSTZLJ,X,O,O,O,X,X,X,X
IOSTZJL,X,O,X,O,X,X,X,X
IOSLTJZ,O,O,O,X,X,X,X,X
IOSLTZJ,X,O,O,O,X,X,X,X
IOSLJTZ,O,O,O,X,X,O,X,X
IOSLJZT,O,O,O,O,X,X,X,X
IOSLZTJ,O,O,O,O,X,X,X,X
IOSLZJT,O,O,O,O,O,X,X,X
IOSJTLZ,O,O,O,X,X,X,X,X
IOSJTZL,X,O,X,X,X,X,X,X
IOSJLTZ,O,O,O,X,X,O,X,X
IOSJLZT,O,O,O,O,X,X,X,X
IOSJZTL,O,O,X,O,X,X,X,X
IOSJZLT,O,O,O,O,X,X,X,X
IOSZTLJ,O,O,O,O,X,X,X,X
IOSZTJL,O,O,X,O,X,X,X,X
IOSZLTJ,O,O,O,O,X,X,X,X
IOSZLJT,O,O,O,O,O,X,X,X
IOSZJTL,O,O,X,O,X,X,X,X
IOSZJLT,O,O,O,O,O,X,X,X
IOZTLJS,X,X,O,O,O,X,O,X
IOZTLSJ,X,X,O,O,X,X,X,X
IOZTJLS,X,X,X,O,O,X,O,X
IOZTJSL,X,O,X,O,X,X,O,X
IOZTSLJ,X,O,O,O,X,X,X,X
IOZTSJL,X,O,X,O,X,X,O,X
IOZLTJS,X,X,O,O,O,X,O,X
IOZLTSJ,X,X,O,O,X,X,X,X
IOZLJTS,X,X,O,O,O,X,O,X
IOZLJST,O,X,O,O,O,X,X,X
IOZLSTJ,O,X,O,O,X,X,X,X
IOZLSJT,O,X,O,O,O,X,X,X
IOZJTLS,X,X,X,O,O,X,O,X
IOZJTSL,X,O,X,O,X,X,O,X
IOZJLTS,X,X,O,O,O,X,O,X
IOZJLST,O,X,O,O,O,X,X,X
IOZJSTL,O,O,X,O,X,X,O,X
IOZJSLT,O,O,O,O,O,X,X,X
IOZSTLJ,O,O,O,O,X,X,X,X
IOZSTJL,O,O,X,O,X,X,O,X
IOZSLTJ,O,O,O,O,X,X,X,X
IOZSLJT,O,O,O,O,O,X,X,X
IOZSJTL,O,O,X,O,X,X,O,X
IOZSJLT,O,O,O,O,O,X,X,X
LTIJSZO,X,O,O,X,X,X,X,X
LTIJSOZ,X,O,O,X,X,X,X,X
LTIJZSO,X,X,O,O,X,X,X,X
LTIJZOS,X,X,O,O,X,X,X,X
LTIJOSZ,X,O,O,X,X,X,X,X
LTIJOZS,X,X,O,O,X,X,X,X
LTISJZO,X,O,O,X,X,X,X,X
LTISJOZ,X,O,O,X,X,X,X,X
LTISZJO,X,O,O,O,X,X,X,X
LTISZOJ,X,O,O,O,X,X,X,X
LTISOJZ,X,O,O,X,X,X,X,X
LTISOZJ,X,O,O,O,X,X,X,X
LTIZJSO,X,X,O,O,O,X,X,X
LTIZJOS,X,X,O,O,O,X,X,X
LTIZSJO,X,X,O,O,X,X,X,X
LTIZSOJ,X,X,O,O,X,X,X,X
LTIZOJS,X,X,O,O,O,X,X,X
LTIZOSJ,X,X,O,O,X,X,X,X
LTIOJSZ,X,O,O,X,X,X,X,X
LTIOJZS,X,X,O,O,X,X,X,X
LTIOSJZ,X,O,O,X,X,X,X,X
LTIOSZJ,X,O,O,O,X,X,X,X
LTIOZJS,X,X,O,O,O,X,X,X
LTIOZSJ,X,X,O,O,X,X,X,X
LTJISZO,X,X,O,X,X,O,X,O
LTJISOZ,X,X,O,X,X,O,X,O
LTJIZSO,X,X,O,O,X,O,X,O
LTJIZOS,X,X,O,O,X,O,X,O
LTJIOSZ,X,X,O,X,X,O,X,O
LTJIOZS,X,X,O,O,X,O,X,O
LTJSIZO,X,X,X,X,X,O,X,O
LTJSIOZ,O,X,X,X,X,O,X,O
LTJSZIO,O,X,X,X,X,O,X,O
LTJSZOI,O,X,X,X,X,O,X,O
LTJSOIZ,O,X,X,X,X,O,X,O
LTJSOZI,O,X,X,X,X,O,X,O
LTJZISO,X,X,O,X,X,O,X,O
LTJZIOS,X,X,O,X,X,O,O,O
LTJZSIO,O,X,X,X,X,O,X,O
LTJZSOI,O,X,X,X,X,O,X,O
LTJZOIS,X,X,O,X,X,O,O,O
LTJZOSI,O,X,X,X,X,O,X,O
LTJOISZ,X,X,O,X,X,O,X,O
LTJOIZS,X,X,O,O,X,O,X,O
LTJOSIZ,O,X,X,X,X,O,X,O
LTJOSZI,O,X,X,X,X,O,X,O
LTJOZIS,X,X,O,X,X,O,O,O
LTJOZSI,O,X,X,X,X,O,X,O
LTSIJZO,X,O,X,X,X,X,X,X
LTSIJOZ,O,O,X,X,X,X,X,X
LTSIZJO,X,O,X,X,X,X,X,X
LTSIZOJ,X,O,X,X,X,X,X,X
LTSIOJZ,O,O,X,X,X,X,X,X
LTSIOZJ,X,O,X,X,X,X,X,X
LTSJIZO,X,X,X,X,X,O,X,X
LTSJIOZ,O,X,X,X,X,O,X,X
LTSJZIO,O,X,X,X,X,O,X,X
LTSJZOI,O,X,X,X,X,O,X,X
LTSJOIZ,O,X,X,X,X,O,X,X
LTSJOZI,O,X,X,X,X,O,X,X
LTSZIJO,O,O,X,X,X,X,X,X
LTSZIOJ,O,O,X,X,X,X,X,X
LTSZJIO,O,X,X,X,X,X,X,X
LTSZJOI,O,X,X,X,X,X,X,X
LTSZOIJ,O,O,X,X,X,X,X,X
LTSZOJI,O,X,X,X,X,X,X,X
LTSOIJZ,O,O,X,X,X,X,X,X
LTSOIZJ,X,O,X,X,X,X,X,X
LTSOJIZ,O,X,X,X,X,O,X,X
LTSOJZI,O,X,X,X,X,O,X,X
LTSOZIJ,O,O,X,X,X,X,X,X
LTSOZJI,O,X,X,X,X,X,X,X
LTZIJSO,X,X,O,X,O,X,X,X
LTZIJOS,X,X,O,X,O,X,O,X
LTZISJO,X,X,O,X,X,X,X,X
LTZISOJ,X,X,O,X,X,X,X,X
LTZIOJS,X,X,O,X,O,X,O,X
LTZIOSJ,X,X,O,X,X,X,X,X
LTZJISO,X,X,O,X,O,X,X,O
LTZJIOS,X,X,O,X,O,X,O,O
LTZJSIO,O,X,X,X,O,X,X,O
LTZJSOI,O,X,X,X,O,X,X,O
LTZJOIS,X,X,O,X,O,X,O,O
LTZJOSI,O,X,X,X,O,X,X,O
LTZSIJO,O,X,X,X,X,X,X,X
LTZSIOJ,O,X,X,X,X,X,X,X
LTZSJIO,O,X,X,X,X,X,X,X
LTZSJOI,O,X,X,X,X,X,X,X
LTZSOIJ,O,X,X,X,X,X,X,X
LTZSOJI,O,X,X,X,X,X,X,X
LTZOIJS,X,X,O,X,O,X,O,X
LTZOISJ,X,X,O,X,X,X,X,X
LTZOJIS,X,X,O,X,O,X,O,O
LTZOJSI,O,X,X,X,O,X,X,O
LTZOSIJ,O,X,X,X,X,X,X,X
LTZOSJI,O,X,X,X,X,X,X,X
LTOIJSZ,X,O,O,X,X,X,X,X
LTOIJZS,X,X,O,O,X,X,X,X
LTOISJZ,X,O,O,X,X,X,X,X
LTOISZJ,X,O,O,O,X,X,X,X
LTOIZJS,X,X,O,O,O,X,X,X
LTOIZSJ,X,X,O,O,X,X,X,X
LTOJISZ,X,X,O,X,X,O,X,O
LTOJIZS,X,X,O,O,X,O,X,O
LTOJSIZ,O,X,X,X,X,O,X,O
LTOJSZI,O,X,X,X,X,O,X,O
LTOJZIS,X,X,O,X,X,O,O,O
LTOJZSI,O,X,X,X,X,O,X,O
LTOSIJZ,O,O,X,X,X,X,X,X
LTOSIZJ,X,O,X,X,X,X,X,X
LTOSJIZ,O,X,X,X,X,O,X,X
LTOSJZI,O,X,X,X,X,O,X,X
LTOSZIJ,O,O,X,X,X,X,X,X
LTOSZJI,O,X,X,X,X,X,X,X
LTOZIJS,X,X,O,X,O,X,O,X
LTOZISJ,X,X,O,X,X,X,X,X
LTOZJIS,X,X,O,X,O,X,O,O
LTOZJSI,O,X,X,X,O,X,X,O
LTOZSIJ,O,X,X,X,X,X,X,X
LTOZSJI,O,X,X,X,X,X,X,X
LITJSZO,X,O,O,X,X,X,X,X
LITJSOZ,X,O,O,X,X,X,X,X
LITJZSO,X,X,O,O,X,X,X,X
LITJZOS,X,X,O,O,X,X,X,X
LITJOSZ,X,O,O,X,X,X,X,X
LITJOZS,X,X,O,O,X,X,X,X
LITSJZO,X,O,O,X,X,X,X,X
LITSJOZ,X,O,O,X,X,X,X,X
LITSZJO,X,O,O,O,X,X,X,X
LITSZOJ,X,O,O,O,X,X,X,X
LITSOJZ,X,O,O,X,X,X,X,X
LITSOZJ,X,O,O,O,X,X,X,X
LITZJSO,X,X,O,O,O,X,X,X
LITZJOS,X,X,O,O,O,X,X,X
LITZSJO,X,X,O,O,X,X,X,X
LITZSOJ,X,X,O,O,X,X,X,X
LITZOJS,X,X,O,O,O,X,X,X
LITZOSJ,X,X,O,O,X,X,X,X
LITOJSZ,X,O,O,X,X,X,X,X
LITOJZS,X,X,O,O,X,X,X,X
LITOSJZ,X,O,O,X,X,X,X,X
LITOSZJ,X,O,O,O,X,X,X,X
LITOZJS,X,X,O,O,O,X,X,X
LITOZSJ,X,X,O,O,X,X,X,X
LIJTSZO,X,O,O,X,X,O,X,O
LIJTSOZ,X,O,O,X,X,O,X,O
LIJTZSO,X,X,O,O,X,O,X,O
LIJTZOS,X,X,O,O,X,O,X,O
LIJTOSZ,X,O,O,X,X,O,X,O
LIJTOZS,X,X,O,O,X,O,X,O
LIJSTZO,X,O,O,X,X,O,X,X
LIJSTOZ,O,O,O,X,X,O,X,X
LIJSZTO,O,O,O,O,X,X,X,X
LIJSZOT,O,O,O,O,X,X,X,X
LIJSOTZ,O,O,O,X,X,O,X,X
LIJSOZT,O,O,O,O,X,X,X,X
LIJZTSO,X,X,O,O,O,X,X,X
LIJZTOS,X,X,O,O,O,X,X,X
LIJZSTO,O,X,O,O,O,X,X,X
LIJZSOT,O,X,O,O,O,X,X,X
LIJZOTS,X,X,O,O,O,X,X,X
LIJZOST,O,X,O,O,O,X,X,X
LIJOTSZ,X,O,O,X,X,O,X,O
LIJOTZS,X,X,O,O,X,O,X,O
LIJOSTZ,O,O,O,X,X,O,X,X
LIJOSZT,O,O,O,O,X,X,X,X
LIJOZTS,X,X,O,O,O,X,X,X
LIJOZST,O,X,O,O,O,X,X,X
LISTJZO,X,O,O,X,X,X,X,X
LISTJOZ,O,O,O,X,X,X,X,X
LISTZJO,X,O,O,O,X,X,X,X
LISTZOJ,X,O,O,O,X,X,X,X
LISTOJZ,O,O,O,X,X,X,X,X
LISTOZJ,X,O,O,O,X,X,X,X
LISJTZO,X,O,O,X,X,O,X,X
LISJTOZ,O,O,O,X,X,O,X,X
LISJZTO,O,O,O,O,X,X,X,X
LISJZOT,O,O,O,O,X,X,X,X
LISJOTZ,O,O,O,X,X,O,X,X
LISJOZT,O,O,O,O,X,X,X,X
LISZTJO,O,O,O,O,X,X,X,X
LISZTOJ,O,O,O,O,X,X,X,X
LISZJTO,O,O,O,O,O,X,X,X
LISZJOT,O,O,O,O,O,X,X,X
LISZOTJ,O,O,O,O,X,X,X,X
LISZOJT,O,O,O,O,O,X,X,X
LISOTJZ,O,O,O,X,X,X,X,X
LISOTZJ,X,O,O,O,X,X,X,X
LISOJTZ,O,O,O,X,X,O,X,X
LISOJZT,O,O,O,O,X,X,X,X
LISOZTJ,O,O,O,O,X,X,X,X
LISOZJT,O,O,O,O,O,X,X,X
LIZTJSO,X,X,O,O,O,X,X,X
LIZTJOS,X,X,O,O,O,X,X,X
LIZTSJO,X,X,O,O,X,X,X,X
LIZTSOJ,X,X,O,O,X,X,X,X
LIZTOJS,X,X,O,O,O,X,X,X
LIZTOSJ,X,X,O,O,X,X,X,X
LIZJTSO,X,X,O,O,O,X,X,O
LIZJTOS,X,X,O,O,O,X,X,O
LIZJSTO,O,X,O,O,O,X,X,X
LIZJSOT,O,X,O,O,O,X,X,X
LIZJOTS,X,X,O,O,O,X,X,O
LIZJOST,O,X,O,O,O,X,X,X
LIZSTJO,O,X,O,O,X,X,X,X
LIZSTOJ,O,X,O,O,X,X,X,X
LIZSJTO,O,X,O,O,O,X,X,X
LIZSJOT,O,X,O,O,O,X,X,X
LIZSOTJ,O,X,O,O,X,X,X,X
LIZSOJT,O,X,O,O,O,X,X,X
LIZOTJS,X,X,O,O,O,X,X,X
LIZOTSJ,X,X,O,O,X,X,X,X
LIZOJTS,X,X,O,O,O,X,X,O
LIZOJST,O,X,O,O,O,X,X,X
LIZOSTJ,O,X,O,O,X,X,X,X
LIZOSJT,O,X,O,O,O,X,X,X
LIOTJSZ,X,O,O,X,X,X,X,X
LIOTJZS,X,X,O,O,X,X,X,X
LIOTSJZ,X,O,O,X,X,X,X,X
LIOTSZJ,X,O,O,O,X,X,X,X
LIOTZJS,X,X,O,O,O,X,X,X
LIOTZSJ,X,X,O,O,X,X,X,X
LIOJTSZ,X,O,O,X,X,O,X,O
LIOJTZS,X,X,O,O,X,O,X,O
LIOJSTZ,O,O,O,X,X,O,X,X
LIOJSZT,O,O,O,O,X,X,X,X
LIOJZTS,X,X,O,O,O,X,X,X
LIOJZST,O,X,O,O,O,X,X,X
