sequence,v115@+gB8HeB8HeB8FeA8AeC8DeB8JeZEJvhFtlBcnBTjB+?rBimB3sB,v115@+gB8HeB8HeB8FeA8AeC8DeB8JeZEJvhFtlB3iBcoB+?rBimBTsB,v115@+gB8HeB8HeB8FeA8AeC8DeB8JeZEJvhFqlBThBGjB8?sB3rBNsB,v115@+gB8HeB8HeB8FeA8AeC8DeB8JeZEJvhF3hBTjBWrBi?sB9sBUrB
JLZOITS,X,O,X,O
JLZOIST,X,O,O,X
JLZOSTI,X,O,X,X
JLZOSIT,X,O,O,X
JLOTISZ,O,X,X,O
JLOTIZS,X,O,X,O
JLOTSIZ,O,X,X,X
JLOTSZI,O,X,X,X
JLOTZIS,X,O,X,X
JLOTZSI,X,O,X,X
JLOITSZ,O,X,X,O
JLOITZS,X,O,X,O
JLOISTZ,O,X,X,O
JLOISZT,O,X,O,X
JLOIZTS,X,O,X,O
JLOIZST,X,O,O,X
JLOSTIZ,O,X,X,X
JLOSTZI,O,X,X,X
JLOSITZ,O,X,X,O
JLOSIZT,O,X,O,X
JLOSZTI,O,X,X,X
JLOSZIT,O,X,O,X
JLOZTIS,X,O,X,X
JLOZTSI,X,O,X,X
JLOZITS,X,O,X,O
JLOZIST,X,O,O,X
JLOZSTI,X,O,X,X
JLOZSIT,X,O,O,X
JSTILZO,O,X,X,O
JSTILOZ,O,X,X,O
JSTIZLO,O,O,X,X
JSTIZOL,O,O,X,X
JSTIOLZ,O,X,X,X
JSTIOZL,O,O,X,X
JSTLIZO,O,X,X,O
JSTLIOZ,O,X,X,O
JSTLZIO,O,X,X,X
JSTLZOI,O,X,X,X
JSTLOIZ,O,X,X,X
JSTLOZI,O,X,X,X
JSTZILO,O,O,X,X
JSTZIOL,O,O,X,X
JSTZLIO,O,O,X,X
JSTZLOI,O,X,X,X
JSTZOIL,O,O,X,X
JSTZOLI,O,O,X,X
JSTOILZ,O,X,X,X
JSTOIZL,O,O,X,X
JSTOLIZ,O,X,X,X
JSTOLZI,O,X,X,X
JSTOZIL,O,O,X,X
JSTOZLI,O,O,X,X
JSITLZO,O,X,X,O
JSITLOZ,O,X,X,O
JSITZLO,O,O,X,X
JSITZOL,O,O,X,X
JSITOLZ,O,X,X,X
JSITOZL,O,O,X,X
JSILTZO,O,X,X,O
JSILTOZ,O,X,X,O
JSILZTO,O,X,O,O
JSILZOT,O,X,O,X
JSILOTZ,O,X,X,O
JSILOZT,O,X,O,X
JSIZTLO,O,O,O,X
JSIZTOL,O,O,X,X
JSIZLTO,O,O,O,O
JSIZLOT,O,X,O,X
JSIZOTL,O,O,X,X
JSIZOLT,O,O,O,X
JSIOTLZ,O,X,X,X
JSIOTZL,O,O,X,X
JSIOLTZ,O,X,X,O
JSIOLZT,O,X,X,X
JSIOZTL,O,O,X,X
JSIOZLT,O,O,X,X
JSLTIZO,O,X,X,O
JSLTIOZ,O,X,X,O
JSLTZIO,O,X,X,X
JSLTZOI,O,X,X,X
JSLTOIZ,O,X,X,X
JSLTOZI,O,X,X,X
JSLITZO,O,X,X,O
JSLITOZ,O,X,X,O
JSLIZTO,O,X,O,O
JSLIZOT,O,X,O,X
JSLIOTZ,O,X,X,O
JSLIOZT,O,X,O,X
JSLZTIO,O,X,O,X
JSLZTOI,O,X,X,X
JSLZITO,O,X,O,O
JSLZIOT,O,X,O,X
JSLZOTI,O,X,X,X
JSLZOIT,O,X,O,X
JSLOTIZ,O,X,X,X
JSLOTZI,O,X,X,X
JSLOITZ,O,X,X,O
JSLOIZT,O,X,O,X
JSLOZTI,O,X,X,X
JSLOZIT,O,X,O,X
JSZTILO,O,O,O,X
JSZTIOL,O,O,X,X
JSZTLIO,O,O,O,X
JSZTLOI,O,X,X,X
JSZTOIL,O,O,X,X
JSZTOLI,O,O,X,X
JSZITLO,O,O,O,X
JSZITOL,O,O,X,X
JSZILTO,O,O,O,O
JSZILOT,O,X,O,X
JSZIOTL,O,O,X,X
JSZIOLT,O,O,O,X
JSZLTIO,O,O,O,X
JSZLTOI,O,X,X,X
JSZLITO,O,O,O,O
JSZLIOT,O,X,O,X
JSZLOTI,O,X,X,X
JSZLOIT,O,X,O,X
JSZOTIL,O,O,X,X
JSZOTLI,O,O,X,X
JSZOITL,O,O,X,X
JSZOILT,O,O,O,X
JSZOLTI,O,O,X,X
JSZOLIT,O,O,O,X
JSOTILZ,O,X,X,X
JSOTIZL,O,O,X,X
JSOTLIZ,O,X,X,X
JSOTLZI,O,X,X,X
JSOTZIL,O,O,X,X
JSOTZLI,O,O,X,X
JSOITLZ,O,X,X,X
JSOITZL,O,O,X,X
JSOILTZ,O,X,X,O
JSOILZT,O,X,X,X
JSOIZTL,O,O,X,X
JSOIZLT,O,O,X,X
JSOLTIZ,O,X,X,X
JSOLTZI,O,X,X,X
JSOLITZ,O,X,X,O
JSOLIZT,O,X,X,X
JSOLZTI,O,X,X,X
JSOLZIT,O,X,X,X
JSOZTIL,O,O,X,X
JSOZTLI,O,O,X,X
JSOZITL,O,O,X,X
JSOZILT,O,O,X,X
JSOZLTI,O,O,X,X
JSOZLIT,O,O,X,X
JZTILSO,X,O,O,X
JZTILOS,X,O,X,X
JZTISLO,O,O,O,X
JZTISOL,O,O,X,X
JZTIOLS,X,O,X,X
JZTIOSL,O,O,X,X
JZTLISO,X,O,O,X
JZTLIOS,X,O,X,X
JZTLSIO,X,O,O,X
JZTLSOI,X,X,X,X
JZTLOIS,X,O,X,X
JZTLOSI,X,O,X,X
JZTSILO,O,O,O,X
JZTSIOL,O,O,X,X
JZTSLIO,O,O,O,X
JZTSLOI,O,X,X,X
JZTSOIL,O,O,X,X
JZTSOLI,O,O,X,X
JZTOILS,X,O,X,X
JZTOISL,O,O,X,X
JZTOLIS,X,O,X,X
JZTOLSI,X,O,X,X
JZTOSIL,O,O,X,X
JZTOSLI,O,O,X,X
JZITLSO,X,O,O,X
JZITLOS,X,O,X,X
JZITSLO,O,O,O,X
JZITSOL,O,O,X,X
JZITOLS,X,O,X,X
JZITOSL,O,O,X,X
JZILTSO,X,O,O,O
JZILTOS,X,O,X,O
JZILSTO,X,O,O,X
JZILSOT,X,X,O,X
JZILOTS,X,O,X,O
JZILOST,X,O,O,X
JZISTLO,O,O,O,X
JZISTOL,O,O,X,X
JZISLTO,O,O,O,O
JZISLOT,O,X,O,X
JZISOTL,O,O,X,X
JZISOLT,O,O,O,X
JZIOTLS,X,O,X,X
JZIOTSL,O,O,X,X
JZIOLTS,X,O,X,O
JZIOLST,X,O,O,X
JZIOSTL,O,O,X,X
JZIOSLT,O,O,O,X
JZLTISO,X,O,O,X
JZLTIOS,X,O,X,X
JZLTSIO,X,O,O,X
JZLTSOI,X,X,X,X
JZLTOIS,X,O,X,X
JZLTOSI,X,O,X,X
JZLITSO,X,O,O,O
JZLITOS,X,O,X,O
JZLISTO,X,O,O,X
JZLISOT,X,X,O,X
JZLIOTS,X,O,X,O
JZLIOST,X,O,O,X
JZLSTIO,X,O,O,X
JZLSTOI,X,X,X,X
JZLSITO,X,O,O,O
JZLSIOT,X,X,O,X
JZLSOTI,X,X,X,X
JZLSOIT,X,X,O,X
JZLOTIS,X,O,X,X
JZLOTSI,X,O,X,X
JZLOITS,X,O,X,O
JZLOIST,X,O,O,X
JZLOSTI,X,O,X,X
JZLOSIT,X,O,O,X
JZSTILO,O,O,O,X
JZSTIOL,O,O,X,X
JZSTLIO,O,O,O,X
JZSTLOI,O,X,X,X
JZSTOIL,O,O,X,X
JZSTOLI,O,O,X,X
JZSITLO,O,O,O,X
JZSITOL,O,O,X,X
JZSILTO,O,O,O,O
JZSILOT,O,X,O,X
JZSIOTL,O,O,X,X
JZSIOLT,O,O,O,X
JZSLTIO,O,O,O,X
JZSLTOI,O,X,X,X
JZSLITO,O,O,O,O
JZSLIOT,O,X,O,X
JZSLOTI,O,X,X,X
JZSLOIT,O,X,O,X
JZSOTIL,O,O,X,X
JZSOTLI,O,O,X,X
JZSOITL,O,O,X,X
JZSOILT,O,O,O,X
JZSOLTI,O,O,X,X
JZSOLIT,O,O,O,X
JZOTILS,X,O,X,X
JZOTISL,O,O,X,X
JZOTLIS,X,O,X,X
JZOTLSI,X,O,X,X
JZOTSIL,O,O,X,X
JZOTSLI,O,O,X,X
JZOITLS,X,O,X,X
JZOITSL,O,O,X,X
JZOILTS,X,O,X,O
JZOILST,X,O,O,X
JZOISTL,O,O,X,X
JZOISLT,O,O,O,X
JZOLTIS,X,O,X,X
JZOLTSI,X,O,X,X
JZOLITS,X,O,X,O
JZOLIST,X,O,O,X
JZOLSTI,X,O,X,X
JZOLSIT,X,O,O,X
JZOSTIL,O,O,X,X
JZOSTLI,O,O,X,X
JZOSITL,O,O,X,X
JZOSILT,O,O,O,X
JZOSLTI,O,O,X,X
JZOSLIT,O,O,O,X
JOTILSZ,O,X,X,O
JOTILZS,X,O,X,O
JOTISLZ,O,X,X,X
JOTISZL,O,O,X,X
JOTIZLS,X,O,X,X
JOTIZSL,O,O,X,X
JOTLISZ,O,X,X,O
JOTLIZS,X,O,X,O
JOTLSIZ,O,X,X,X
JOTLSZI,O,X,X,X
JOTLZIS,X,O,X,X
JOTLZSI,X,O,X,X
JOTSILZ,O,X,X,X
JOTSIZL,O,O,X,X
JOTSLIZ,O,X,X,X
JOTSLZI,O,X,X,X
JOTSZIL,O,O,X,X
JOTSZLI,O,O,X,X
JOTZILS,X,O,X,X
JOTZISL,O,O,X,X
JOTZLIS,X,O,X,X
JOTZLSI,X,O,X,X
JOTZSIL,O,O,X,X
JOTZSLI,O,O,X,X
JOITLSZ,O,X,X,O
JOITLZS,X,O,X,O
JOITSLZ,O,X,X,X
JOITSZL,O,O,X,X
JOITZLS,X,O,X,X
JOITZSL,O,O,X,X
JOILTSZ,O,X,X,O
JOILTZS,X,O,X,O
JOILSTZ,O,X,X,O
JOILSZT,O,X,X,X
JOILZTS,X,O,X,O
JOILZST,X,O,O,X
JOISTLZ,O,X,X,X
JOISTZL,O,O,X,X
JOISLTZ,O,X,X,O
JOISLZT,O,X,X,X
JOISZTL,O,O,X,X
JOISZLT,O,O,X,X
JOIZTLS,X,O,X,X
JOIZTSL,O,O,X,X
JOIZLTS,X,O,X,O
JOIZLST,X,O,O,X
JOIZSTL,O,O,X,X
JOIZSLT,O,O,O,X
JOLTISZ,O,X,X,O
JOLTIZS,X,O,X,O
JOLTSIZ,O,X,X,X
JOLTSZI,O,X,X,X
JOLTZIS,X,O,X,X
JOLTZSI,X,O,X,X
JOLITSZ,O,X,X,O
JOLITZS,X,O,X,O
JOLISTZ,O,X,X,O
JOLISZT,O,X,X,X
JOLIZTS,X,O,X,O
JOLIZST,X,O,O,X
JOLSTIZ,O,X,X,X
JOLSTZI,O,X,X,X
JOLSITZ,O,X,X,O
JOLSIZT,O,X,X,X
JOLSZTI,O,X,X,X
JOLSZIT,O,X,X,X
JOLZTIS,X,O,X,X
JOLZTSI,X,O,X,X
JOLZITS,X,O,X,O
JOLZIST,X,O,O,X
JOLZSTI,X,O,X,X
JOLZSIT,X,O,O,X
JOSTILZ,O,X,X,X
JOSTIZL,O,O,X,X
JOSTLIZ,O,X,X,X
JOSTLZI,O,X,X,X
JOSTZIL,O,O,X,X
JOSTZLI,O,O,X,X
JOSITLZ,O,X,X,X
JOSITZL,O,O,X,X
JOSILTZ,O,X,X,O
JOSILZT,O,X,X,X
JOSIZTL,O,O,X,X
JOSIZLT,O,O,X,X
JOSLTIZ,O,X,X,X
JOSLTZI,O,X,X,X
JOSLITZ,O,X,X,O
JOSLIZT,O,X,X,X
JOSLZTI,O,X,X,X
JOSLZIT,O,X,X,X
JOSZTIL,O,O,X,X
JOSZTLI,O,O,X,X
JOSZITL,O,O,X,X
JOSZILT,O,O,X,X
JOSZLTI,O,O,X,X
JOSZLIT,O,O,X,X
JOZTILS,X,O,X,X
JOZTISL,O,O,X,X
JOZTLIS,X,O,X,X
JOZTLSI,X,O,X,X
JOZTSIL,O,O,X,X
JOZTSLI,O,O,X,X
JOZITLS,X,O,X,X
JOZITSL,O,O,X,X
JOZILTS,X,O,X,O
JOZILST,X,O,O,X
JOZISTL,O,O,X,X
JOZISLT,O,O,O,X
JOZLTIS,X,O,X,X
JOZLTSI,X,O,X,X
JOZLITS,X,O,X,O
JOZLIST,X,O,O,X
JOZLSTI,X,O,X,X
JOZLSIT,X,O,O,X
JOZSTIL,O,O,X,X
JOZSTLI,O,O,X,X
JOZSITL,O,O,X,X
JOZSILT,O,O,O,X
JOZSLTI,O,O,X,X
JOZSLIT,O,O,O,X
STILJZO,O,X,X,X
STILJOZ,O,X,X,X
STILZJO,O,X,O,X
STILZOJ,O,X,O,X
STILOJZ,O,X,X,X
STILOZJ,O,X,O,X
STIJLZO,O,X,X,X
STIJLOZ,O,X,X,X
STIJZLO,O,O,X,X
STIJZOL,O,O,X,X
STIJOLZ,O,X,X,X
STIJOZL,O,O,X,X
STIZLJO,O,O,O,X
STIZLOJ,O,X,O,X
STIZJLO,O,O,O,X
STIZJOL,O,O,X,X
STIZOLJ,O,O,X,X
STIZOJL,O,O,X,X
STIOLJZ,O,X,X,X
STIOLZJ,O,X,X,X
STIOJLZ,O,X,X,X
STIOJZL,O,O,X,X
STIOZLJ,O,O,X,X
STIOZJL,O,O,X,X
STLIJZO,O,X,X,X
STLIJOZ,O,X,X,X
STLIZJO,O,X,O,X
STLIZOJ,O,X,O,X
STLIOJZ,O,X,X,X
STLIOZJ,O,X,O,X
STLJIZO,O,X,X,X
STLJIOZ,O,X,X,X
STLJZIO,O,X,X,X
STLJZOI,O,X,X,X
STLJOIZ,O,X,X,X
STLJOZI,O,X,X,X
STLZIJO,O,X,O,X
STLZIOJ,O,X,O,X
STLZJIO,O,X,O,X
STLZJOI,O,X,X,X
STLZOIJ,O,X,O,X
STLZOJI,O,X,X,X
STLOIJZ,O,X,X,X
STLOIZJ,O,X,O,X
STLOJIZ,O,X,X,X
STLOJZI,O,X,X,X
STLOZIJ,O,X,O,X
STLOZJI,O,X,X,X
STJILZO,O,X,X,X
STJILOZ,O,X,X,X
STJIZLO,O,O,X,X
STJIZOL,O,O,X,X
STJIOLZ,O,X,X,X
STJIOZL,O,O,X,X
STJLIZO,O,X,X,X
STJLIOZ,O,X,X,X
STJLZIO,O,X,X,X
STJLZOI,O,X,X,X
STJLOIZ,O,X,X,X
STJLOZI,O,X,X,X
STJZILO,O,O,X,X
STJZIOL,O,O,X,X
STJZLIO,O,O,X,X
STJZLOI,O,X,X,X
STJZOIL,O,O,X,X
STJZOLI,O,O,X,X
STJOILZ,O,X,X,X
STJOIZL,O,O,X,X
STJOLIZ,O,X,X,X
STJOLZI,O,X,X,X
STJOZIL,O,O,X,X
STJOZLI,O,O,X,X
STZILJO,O,O,O,X
STZILOJ,O,X,O,X
STZIJLO,O,O,O,X
STZIJOL,O,O,X,X
STZIOLJ,O,O,X,X
STZIOJL,O,O,X,X
STZLIJO,O,O,O,X
STZLIOJ,O,X,O,X
STZLJIO,O,O,O,X
STZLJOI,O,X,X,X
STZLOIJ,O,X,O,X
STZLOJI,O,X,X,X
STZJILO,O,O,O,X
STZJIOL,O,O,X,X
STZJLIO,O,O,O,X
STZJLOI,O,X,X,X
STZJOIL,O,O,X,X
STZJOLI,O,O,X,X
STZOILJ,O,O,X,X
STZOIJL,O,O,X,X
STZOLIJ,O,O,X,X
STZOLJI,O,O,X,X
STZOJIL,O,O,X,X
STZOJLI,O,O,X,X
STOILJZ,O,X,X,X
STOILZJ,O,X,X,X
STOIJLZ,O,X,X,X
STOIJZL,O,O,X,X
STOIZLJ,O,O,X,X
STOIZJL,O,O,X,X
STOLIJZ,O,X,X,X
STOLIZJ,O,X,X,X
STOLJIZ,O,X,X,X
STOLJZI,O,X,X,X
STOLZIJ,O,X,X,X
STOLZJI,O,X,X,X
STOJILZ,O,X,X,X
STOJIZL,O,O,X,X
STOJLIZ,O,X,X,X
STOJLZI,O,X,X,X
STOJZIL,O,O,X,X
STOJZLI,O,O,X,X
STOZILJ,O,O,X,X
STOZIJL,O,O,X,X
STOZLIJ,O,O,X,X
STOZLJI,O,O,X,X
STOZJIL,O,O,X,X
STOZJLI,O,O,X,X
SITLJZO,O,X,X,X
SITLJOZ,O,X,X,X
SITLZJO,O,X,O,X
SITLZOJ,O,X,O,X
SITLOJZ,O,X,X,X
SITLOZJ,O,X,O,X
SITJLZO,O,X,X,X
SITJLOZ,O,X,X,X
SITJZLO,O,O,X,X
SITJZOL,O,O,X,X
SITJOLZ,O,X,X,X
SITJOZL,O,O,X,X
SITZLJO,O,O,O,X
SITZLOJ,O,X,O,X
SITZJLO,O,O,O,X
SITZJOL,O,O,X,X
SITZOLJ,O,O,X,X
SITZOJL,O,O,X,X
SITOLJZ,O,X,X,X
SITOLZJ,O,X,X,X
SITOJLZ,O,X,X,X
SITOJZL,O,O,X,X
SITOZLJ,O,O,X,X
SITOZJL,O,O,X,X
SILTJZO,O,X,X,X
SILTJOZ,O,X,X,X
SILTZJO,O,X,O,X
SILTZOJ,O,X,O,X
SILTOJZ,O,X,X,X
SILTOZJ,O,X,O,X
SILJTZO,O,X,X,O
SILJTOZ,O,X,X,O
SILJZTO,O,X,O,X
SILJZOT,O,X,O,X
SILJOTZ,O,X,X,O
SILJOZT,O,X,O,X
SILZTJO,O,X,O,X
SILZTOJ,O,X,O,X
SILZJTO,O,X,O,X
SILZJOT,O,X,O,X
SILZOTJ,O,X,O,X
SILZOJT,O,X,O,X
SILOTJZ,O,X,X,X
SILOTZJ,O,X,O,X
SILOJTZ,O,X,X,O
SILOJZT,O,X,O,X
SILOZTJ,O,X,O,X
SILOZJT,O,X,O,X
SIJTLZO,O,X,X,O
SIJTLOZ,O,X,X,O
SIJTZLO,O,O,X,X
SIJTZOL,O,O,X,X
SIJTOLZ,O,X,X,X
SIJTOZL,O,O,X,X
SIJLTZO,O,X,X,O
SIJLTOZ,O,X,X,O
SIJLZTO,O,X,O,O
SIJLZOT,O,X,O,X
SIJLOTZ,O,X,X,O
SIJLOZT,O,X,O,X
SIJZTLO,O,O,O,X
SIJZTOL,O,O,X,X
SIJZLTO,O,O,O,O
SIJZLOT,O,X,O,X
SIJZOTL,O,O,X,X
SIJZOLT,O,O,O,X
SIJOTLZ,O,X,X,X
SIJOTZL,O,O,X,X
SIJOLTZ,O,X,X,O
SIJOLZT,O,X,X,X
SIJOZTL,O,O,X,X
SIJOZLT,O,O,X,X
SIZTLJO,O,O,O,X
SIZTLOJ,O,X,O,X
SIZTJLO,O,O,O,X
SIZTJOL,O,O,X,X
SIZTOLJ,O,O,X,X
SIZTOJL,O,O,X,X
SIZLTJO,O,O,O,X
SIZLTOJ,O,X,O,X
SIZLJTO,O,O,O,X
SIZLJOT,O,X,O,X
SIZLOTJ,O,O,O,X
SIZLOJT,O,O,O,X
SIZJTLO,O,O,O,X
SIZJTOL,O,O,X,X
SIZJLTO,O,O,O,X
SIZJLOT,O,X,O,X
SIZJOTL,O,O,X,X
SIZJOLT,O,O,O,X
SIZOTLJ,O,O,X,X
SIZOTJL,O,O,X,X
SIZOLTJ,O,O,O,X
SIZOLJT,O,O,O,X
SIZOJTL,O,O,X,X
SIZOJLT,O,O,O,X
SIOTLJZ,O,X,X,X
SIOTLZJ,O,X,X,X
SIOTJLZ,O,X,X,X
SIOTJZL,O,O,X,X
SIOTZLJ,O,O,X,X
SIOTZJL,O,O,X,X
SIOLTJZ,O,X,X,X
SIOLTZJ,O,X,O,X
SIOLJTZ,O,X,X,O
SIOLJZT,O,X,O,X
SIOLZTJ,O,X,O,X
SIOLZJT,O,X,O,X
SIOJTLZ,O,X,X,X
SIOJTZL,O,O,X,X
SIOJLTZ,O,X,X,O
SIOJLZT,O,X,X,X
SIOJZTL,O,O,X,X
SIOJZLT,O,O,X,X
SIOZTLJ,O,O,X,X
SIOZTJL,O,O,X,X
SIOZLTJ,O,O,O,X
SIOZLJT,O,O,O,X
SIOZJTL,O,O,X,X
SIOZJLT,O,O,O,X
SLTIJZO,O,X,X,X
SLTIJOZ,O,X,X,X
SLTIZJO,O,X,O,X
SLTIZOJ,O,X,O,X
SLTIOJZ,O,X,X,X
SLTIOZJ,O,X,O,X
SLTJIZO,O,X,X,X
SLTJIOZ,O,X,X,X
SLTJZIO,O,X,X,X
SLTJZOI,O,X,X,X
SLTJOIZ,O,X,X,X
SLTJOZI,O,X,X,X
SLTZIJO,O,X,O,X
SLTZIOJ,O,X,O,X
SLTZJIO,O,X,O,X
SLTZJOI,O,X,X,X
SLTZOIJ,O,X,O,X
SLTZOJI,O,X,X,X
SLTOIJZ,O,X,X,X
SLTOIZJ,O,X,O,X
SLTOJIZ,O,X,X,X
SLTOJZI,O,X,X,X
SLTOZIJ,O,X,O,X
SLTOZJI,O,X,X,X
SLITJZO,O,X,X,X
SLITJOZ,O,X,X,X
SLITZJO,O,X,O,X
SLITZOJ,O,X,O,X
SLITOJZ,O,X,X,X
SLITOZJ,O,X,O,X
SLIJTZO,O,X,X,O
SLIJTOZ,O,X,X,O
SLIJZTO,O,X,O,X
SLIJZOT,O,X,O,X
SLIJOTZ,O,X,X,O
SLIJOZT,O,X,O,X
SLIZTJO,O,X,O,X
SLIZTOJ,O,X,O,X
SLIZJTO,O,X,O,X
SLIZJOT,O,X,O,X
SLIZOTJ,O,X,O,X
SLIZOJT,O,X,O,X
SLIOTJZ,O,X,X,X
SLIOTZJ,O,X,O,X
SLIOJTZ,O,X,X,O
SLIOJZT,O,X,O,X
SLIOZTJ,O,X,O,X
SLIOZJT,O,X,O,X
SLJTIZO,O,X,X,O
SLJTIOZ,O,X,X,O
SLJTZIO,O,X,X,X
SLJTZOI,O,X,X,X
SLJTOIZ,O,X,X,X
SLJTOZI,O,X,X,X
SLJITZO,O,X,X,O
SLJITOZ,O,X,X,O
SLJIZTO,O,X,O,O
SLJIZOT,O,X,O,X
SLJIOTZ,O,X,X,O
SLJIOZT,O,X,O,X
SLJZTIO,O,X,O,X
SLJZTOI,O,X,X,X
SLJZITO,O,X,O,O
SLJZIOT,O,X,O,X
SLJZOTI,O,X,X,X
SLJZOIT,O,X,O,X
SLJOTIZ,O,X,X,X
SLJOTZI,O,X,X,X
SLJOITZ,O,X,X,O
SLJOIZT,O,X,O,X
SLJOZTI,O,X,X,X
SLJOZIT,O,X,O,X
SLZTIJO,O,X,O,X
SLZTIOJ,O,X,O,X
SLZTJIO,O,X,O,X
SLZTJOI,O,X,X,X
SLZTOIJ,O,X,O,X
SLZTOJI,O,X,X,X
SLZITJO,O,X,O,X
SLZITOJ,O,X,O,X
SLZIJTO,O,X,O,X
SLZIJOT,O,X,O,X
SLZIOTJ,O,X,O,X
SLZIOJT,O,X,O,X
SLZJTIO,O,X,O,X
SLZJTOI,O,X,X,X
SLZJITO,O,X,O,X
SLZJIOT,O,X,O,X
SLZJOTI,O,X,X,X
SLZJOIT,O,X,O,X
SLZOTIJ,O,X,O,X
SLZOTJI,O,X,X,X
SLZOITJ,O,X,O,X
SLZOIJT,O,X,O,X
SLZOJTI,O,X,X,X
SLZOJIT,O,X,O,X
SLOTIJZ,O,X,X,X
SLOTIZJ,O,X,O,X
SLOTJIZ,O,X,X,X
SLOTJZI,O,X,X,X
SLOTZIJ,O,X,O,X
SLOTZJI,O,X,X,X
SLOITJZ,O,X,X,X
SLOITZJ,O,X,O,X
SLOIJTZ,O,X,X,O
SLOIJZT,O,X,O,X
SLOIZTJ,O,X,O,X
SLOIZJT,O,X,O,X
SLOJTIZ,O,X,X,X
SLOJTZI,O,X,X,X
SLOJITZ,O,X,X,O
SLOJIZT,O,X,O,X
SLOJZTI,O,X,X,X
SLOJZIT,O,X,O,X
SLOZTIJ,O,X,O,X
SLOZTJI,O,X,X,X
SLOZITJ,O,X,O,X
SLOZIJT,O,X,O,X
SLOZJTI,O,X,X,X
SLOZJIT,O,X,O,X
SJTILZO,O,X,X,O
SJTILOZ,O,X,X,O
SJTIZLO,O,O,X,X
SJTIZOL,O,O,X,X
SJTIOLZ,O,X,X,X
SJTIOZL,O,O,X,X
SJTLIZO,O,X,X,O
SJTLIOZ,O,X,X,O
SJTLZIO,O,X,X,X
SJTLZOI,O,X,X,X
SJTLOIZ,O,X,X,X
SJTLOZI,O,X,X,X
SJTZILO,O,O,X,X
SJTZIOL,O,O,X,X
SJTZLIO,O,O,X,X
SJTZLOI,O,X,X,X
SJTZOIL,O,O,X,X
SJTZOLI,O,O,X,X
SJTOILZ,O,X,X,X
SJTOIZL,O,O,X,X
SJTOLIZ,O,X,X,X
SJTOLZI,O,X,X,X
SJTOZIL,O,O,X,X
SJTOZLI,O,O,X,X
SJITLZO,O,X,X,O
SJITLOZ,O,X,X,O
SJITZLO,O,O,X,X
SJITZOL,O,O,X,X
SJITOLZ,O,X,X,X
SJITOZL,O,O,X,X
SJILTZO,O,X,X,O
SJILTOZ,O,X,X,O
SJILZTO,O,X,O,O
SJILZOT,O,X,O,X
SJILOTZ,O,X,X,O
SJILOZT,O,X,O,X
SJIZTLO,O,O,O,X
SJIZTOL,O,O,X,X
SJIZLTO,O,O,O,O
SJIZLOT,O,X,O,X
SJIZOTL,O,O,X,X
SJIZOLT,O,O,O,X
SJIOTLZ,O,X,X,X
SJIOTZL,O,O,X,X
SJIOLTZ,O,X,X,O
SJIOLZT,O,X,X,X
SJIOZTL,O,O,X,X
SJIOZLT,O,O,X,X
SJLTIZO,O,X,X,O
SJLTIOZ,O,X,X,O
SJLTZIO,O,X,X,X
SJLTZOI,O,X,X,X
SJLTOIZ,O,X,X,X
SJLTOZI,O,X,X,X
SJLITZO,O,X,X,O
SJLITOZ,O,X,X,O
SJLIZTO,O,X,O,O
SJLIZOT,O,X,O,X
SJLIOTZ,O,X,X,O
SJLIOZT,O,X,O,X
SJLZTIO,O,X,O,X
SJLZTOI,O,X,X,X
SJLZITO,O,X,O,O
SJLZIOT,O,X,O,X
SJLZOTI,O,X,X,X
SJLZOIT,O,X,O,X
SJLOTIZ,O,X,X,X
SJLOTZI,O,X,X,X
SJLOITZ,O,X,X,O
SJLOIZT,O,X,O,X
SJLOZTI,O,X,X,X
SJLOZIT,O,X,O,X
SJZTILO,O,O,O,X
SJZTIOL,O,O,X,X
SJZTLIO,O,O,O,X
SJZTLOI,O,X,X,X
SJZTOIL,O,O,X,X
SJZTOLI,O,O,X,X
SJZITLO,O,O,O,X
SJZITOL,O,O,X,X
SJZILTO,O,O,O,O
SJZILOT,O,X,O,X
SJZIOTL,O,O,X,X
SJZIOLT,O,O,O,X
SJZLTIO,O,O,O,X
SJZLTOI,O,X,X,X
SJZLITO,O,O,O,O
SJZLIOT,O,X,O,X
SJZLOTI,O,X,X,X
SJZLOIT,O,X,O,X
SJZOTIL,O,O,X,X
SJZOTLI,O,O,X,X
SJZOITL,O,O,X,X
SJZOILT,O,O,O,X
SJZOLTI,O,O,X,X
SJZOLIT,O,O,O,X
SJOTILZ,O,X,X,X
SJOTIZL,O,O,X,X
SJOTLIZ,O,X,X,X
SJOTLZI,O,X,X,X
SJOTZIL,O,O,X,X
SJOTZLI,O,O,X,X
SJOITLZ,O,X,X,X
SJOITZL,O,O,X,X
SJOILTZ,O,X,X,O
SJOILZT,O,X,X,X
SJOIZTL,O,O,X,X
SJOIZLT,O,O,X,X
SJOLTIZ,O,X,X,X
SJOLTZI,O,X,X,X
SJOLITZ,O,X,X,O
SJOLIZT,O,X,X,X
SJOLZTI,O,X,X,X
SJOLZIT,O,X,X,X
SJOZTIL,O,O,X,X
SJOZTLI,O,O,X,X
SJOZITL,O,O,X,X
SJOZILT,O,O,X,X
SJOZLTI,O,O,X,X
SJOZLIT,O,O,X,X
SZTILJO,O,O,O,X
SZTILOJ,O,X,O,X
SZTIJLO,O,O,O,X
SZTIJOL,O,O,X,X
