sequence,v115@+gB8HeB8HeB8FeA8AeC8DeB8JeZEJvhFtlBcnBTjB+?rBimB3sB,v115@+gB8HeB8HeB8FeA8AeC8DeB8JeZEJvhFtlB3iBcoB+?rBimBTsB,v115@+gB8HeB8HeB8FeA8AeC8DeB8JeZEJvhFqlBThBGjB8?sB3rBNsB,v115@+gB8HeB8HeB8FeA8AeC8DeB8JeZEJvhF3hBTjBWrBi?sB9sBUrB
TZOSLIJ,O,O,X,X
TZOSLJI,O,O,X,X
TZOSJIL,O,O,X,X
TZOSJLI,O,O,X,X
TOILJSZ,O,X,X,O
TOILJZS,X,O,X,O
TOILSJZ,O,X,X,X
TOILSZJ,O,X,X,X
TOILZJS,X,O,X,X
TOILZSJ,X,O,X,X
TOIJLSZ,O,X,X,O
TOIJLZS,X,O,X,O
TOIJSLZ,O,X,X,X
TOIJSZL,O,O,X,X
TOIJZLS,X,O,X,X
TOIJZSL,O,O,X,X
TOISLJZ,O,X,X,X
TOISLZJ,O,X,X,X
TOISJLZ,O,X,X,X
TOISJZL,O,O,X,X
TOISZLJ,O,O,X,X
TOISZJL,O,O,X,X
TOIZLJS,X,O,X,X
TOIZLSJ,X,O,X,X
TOIZJLS,X,O,X,X
TOIZJSL,O,O,X,X
TOIZSLJ,O,O,X,X
TOIZSJL,O,O,X,X
TOLIJSZ,O,X,X,O
TOLIJZS,X,O,X,O
TOLISJZ,O,X,X,X
TOLISZJ,O,X,X,X
TOLIZJS,X,O,X,X
TOLIZSJ,X,O,X,X
TOLJISZ,O,X,X,O
TOLJIZS,X,O,X,O
TOLJSIZ,O,X,X,X
TOLJSZI,O,X,X,X
TOLJZIS,X,O,X,X
TOLJZSI,X,O,X,X
TOLSIJZ,O,X,X,X
TOLSIZJ,O,X,X,X
TOLSJIZ,O,X,X,X
TOLSJZI,O,X,X,X
TOLSZIJ,O,X,X,X
TOLSZJI,O,X,X,X
TOLZIJS,X,O,X,X
TOLZISJ,X,O,X,X
TOLZJIS,X,O,X,X
