sequence,v115@DhD8IeA8HeE8EeB8JeOEJvhF8kB3lBRnBFmBSwBTsB,v115@DhD8IeA8HeE8EeB8Jei/IvhF3kBRmBusBFmB0qBzrB,v115@DhD8IeA8HeE8EeB8Jex/IvhF0hBTkBmqBCsBlqB3sB,v115@DhD8IeA8HeE8EeB8Jex/IvhFXhBTkB2qBlnBUsBSwB,v115@DhD8IeA8HeE8EeB8JeT/IvhFxgBypBXmBlnBUsBWwB,v115@DhD8IeA8HeE8EeB8JeKEJvhFflBxgBlnBzqBUsBGrB,v115@DhD8IeA8HeE8EeB8Je1GJvhFTkB6qB3nBmkBUmBxwB,v115@DhD8IeA8HeE8EeB8JeKEJvhFzfBRnBlqBGsBfrB0rB,v115@DhD8IeA8HeE8EeB8Jex/IvhFylB+mBTkB0qBXsBlsB,v115@DhD8IeA8HeE8EeB8Jem/IvhFChBTkB0qBxrBlrB3sB,v115@DhD8IeA8HeE8EeB8Je1FJvhF0hBTkB3nBmkBCrBxwB,v115@DhD8IeA8HeE8EeB8Jem/IvhFChBTkB3nBxqBVwBUsB,v115@DhD8IeA8HeE8EeB8JeTEJvhF0lBlmB3nBmkBCrBxwB,v115@DhD8IeA8HeE8EeB8Je0EJvhFllBRnBikBXrBTsBGrB,v115@DhD8IeA8HeE8EeB8Je3AJvhFqmBTkB8qBlnBmkBxwB,v115@DhD8IeA8HeE8EeB8Je3/IvhF1lBRnB2pB0mBzqBSxB,v115@DhD8IeA8HeE8EeB8JeOEJvhF0hBzkBVrB3nB6qBxwB,v115@DhD8IeA8HeE8EeB8JeOEJvhFxgBzkBVsBUrBCrB3sB,v115@DhD8IeA8HeE8EeB8JeyEJvhFRmB3nBTkBFmB0qBWxB,v115@DhD8IeA8HeE8EeB8JeOEJvhFThBClB3nBxqBVxB0qB,v115@DhD8IeA8HeE8EeB8JeOEJvhFXgBlnBRqBUsBCrBTrB
IJZLOTS,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IJZLOST,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IJZSTLO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJZSTOL,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IJZSLTO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJZSLOT,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJZSOTL,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
IJZSOLT,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJZOTLS,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJZOTSL,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJZOLTS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJZOLST,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJZOSTL,O,O,X,O,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X
IJZOSLT,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJOTLSZ,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IJOTLZS,O,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
IJOTSLZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
IJOTSZL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
IJOTZLS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
IJOTZSL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IJOLTSZ,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IJOLTZS,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IJOLSTZ,X,O,O,X,X,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
IJOLSZT,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IJOLZTS,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
IJOLZST,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IJOSTLZ,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IJOSTZL,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X
IJOSLTZ,X,O,O,X,X,X,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X
IJOSLZT,O,O,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
IJOSZTL,O,O,X,O,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X
IJOSZLT,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJOZTLS,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
IJOZTSL,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
IJOZLTS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IJOZLST,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IJOZSTL,O,O,X,O,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X
IJOZSLT,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISTLJZO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X
ISTLJOZ,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,O,X
ISTLZJO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
ISTLZOJ,X,X,X,X,X,X,O,X,X,X,O,X,O,X,O,X,O,X,X,X,X
ISTLOJZ,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X
ISTLOZJ,X,X,X,X,X,X,O,X,X,X,O,X,O,X,O,X,O,X,X,X,X
ISTJLZO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ISTJLOZ,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X
ISTJZLO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISTJZOL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
ISTJOLZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ISTJOZL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
ISTZLJO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ISTZLOJ,X,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X,O,X,X,X,X
ISTZJLO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISTZJOL,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
ISTZOLJ,X,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X,O,X,X,X,X
ISTZOJL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
ISTOLJZ,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X
ISTOLZJ,X,X,X,X,X,X,O,X,X,X,O,O,O,X,O,X,O,X,X,X,X
ISTOJLZ,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X
ISTOJZL,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X
ISTOZLJ,X,X,X,X,X,X,O,X,X,X,X,O,O,X,O,X,O,X,X,X,X
ISTOZJL,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X
ISLTJZO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X
ISLTJOZ,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,O,X
ISLTZJO,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ISLTZOJ,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X
ISLTOJZ,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X
ISLTOZJ,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X
ISLJTZO,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X
ISLJTOZ,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,O,X
ISLJZTO,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X
ISLJZOT,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
ISLJOTZ,X,O,X,X,X,X,O,O,X,X,O,O,X,X,X,X,O,X,X,O,X
ISLJOZT,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
ISLZTJO,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ISLZTOJ,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X
ISLZJTO,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X
ISLZJOT,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
ISLZOTJ,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
ISLZOJT,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
ISLOTJZ,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,O,O,X,X,X,X
ISLOTZJ,X,X,X,X,X,X,O,X,X,X,O,O,O,X,X,O,O,X,X,X,X
ISLOJTZ,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,O,X,X,O,X
ISLOJZT,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
ISLOZTJ,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
ISLOZJT,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
ISJTLZO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
ISJTLOZ,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X
ISJTZLO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJTZOL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
ISJTOLZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ISJTOZL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
ISJLTZO,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X
ISJLTOZ,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,O,X
ISJLZTO,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X
ISJLZOT,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
ISJLOTZ,X,O,X,X,X,X,O,O,X,X,O,O,X,X,X,X,O,X,X,O,X
ISJLOZT,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
ISJZTLO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ISJZTOL,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
ISJZLTO,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X
ISJZLOT,O,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X
ISJZOTL,O,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X
ISJZOLT,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
ISJOTLZ,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X
ISJOTZL,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X
ISJOLTZ,X,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,O,X,X,O,X
ISJOLZT,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
ISJOZTL,O,O,X,X,X,X,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X
ISJOZLT,O,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
ISZTLJO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ISZTLOJ,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,O,X,O,X,X
ISZTJLO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZTJOL,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
ISZTOLJ,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,O,X,X,X,X
ISZTOJL,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X
ISZLTJO,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
ISZLTOJ,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,O,X,O,X,X
ISZLJTO,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,X
ISZLJOT,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X
ISZLOTJ,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,O,X,X
ISZLOJT,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X
ISZJTLO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZJTOL,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
ISZJLTO,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X
ISZJLOT,O,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X
ISZJOTL,O,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X
ISZJOLT,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISZOTLJ,X,X,X,X,X,X,O,X,X,X,X,O,O,O,X,X,O,X,X,X,X
ISZOTJL,O,X,X,X,X,X,X,X,O,X,X,O,O,O,X,X,O,X,X,X,X
ISZOLTJ,O,X,X,X,X,X,O,X,X,X,O,X,O,O,X,X,X,X,O,X,X
ISZOLJT,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,O,X,X
ISZOJTL,O,X,X,X,X,X,X,X,O,X,X,O,O,O,X,X,O,X,X,X,X
ISZOJLT,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
ISOTLJZ,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,O,O,X,X,X,X
ISOTLZJ,X,X,X,X,X,X,O,X,X,X,O,O,O,O,O,O,O,X,X,X,X
ISOTJLZ,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X
ISOTJZL,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,O,O,X,X,X,X
ISOTZLJ,X,X,X,X,X,X,O,X,X,X,X,O,O,O,O,O,O,X,X,X,X
ISOTZJL,O,X,X,X,X,X,X,X,O,X,X,O,O,O,X,O,O,X,X,X,X
ISOLTJZ,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X
ISOLTZJ,O,X,X,X,X,X,O,X,X,X,O,O,O,O,X,X,O,X,X,X,X
ISOLJTZ,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,O,X,X,O,X
ISOLJZT,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
ISOLZTJ,O,X,X,X,X,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X
ISOLZJT,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
ISOJTLZ,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X
ISOJTZL,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,O,X,X,X,X
ISOJLTZ,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,O,X,X,O,X
ISOJLZT,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
ISOJZTL,O,X,X,X,X,X,X,X,O,X,X,O,O,O,X,X,O,X,X,X,X
ISOJZLT,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
ISOZTLJ,X,X,X,X,X,X,O,X,X,X,X,O,O,O,X,X,O,X,X,X,X
ISOZTJL,O,X,X,X,X,X,X,X,O,X,X,O,O,O,X,X,O,X,X,X,X
ISOZLTJ,O,X,X,X,X,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X
ISOZLJT,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
ISOZJTL,O,X,X,X,X,X,X,X,O,X,X,O,O,O,X,X,O,X,X,X,X
ISOZJLT,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IZTLJSO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IZTLJOS,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
IZTLSJO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IZTLSOJ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
IZTLOJS,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
IZTLOSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
IZTJLSO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IZTJLOS,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
IZTJSLO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTJSOL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTJOLS,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
IZTJOSL,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZTSLJO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IZTSLOJ,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X
IZTSJLO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTSJOL,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZTSOLJ,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X
IZTSOJL,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IZTOLJS,O,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,O,X,X,X
IZTOLSJ,O,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
IZTOJLS,O,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,O,X,X,X
IZTOJSL,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X
IZTOSLJ,X,X,X,X,X,X,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X
IZTOSJL,O,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,O,X,X,X
IZLTJSO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLTJOS,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
IZLTSJO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLTSOJ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZLTOJS,X,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
IZLTOSJ,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZLJTSO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLJTOS,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZLJSTO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLJSOT,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IZLJOTS,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZLJOST,O,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IZLSTJO,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZLSTOJ,X,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X
IZLSJTO,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZLSJOT,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
IZLSOTJ,X,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X
IZLSOJT,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
IZLOTJS,O,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
IZLOTSJ,O,X,X,X,O,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X
IZLOJTS,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZLOJST,O,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IZLOSTJ,O,X,X,X,O,O,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X
IZLOSJT,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZJTLSO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJTLOS,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X
IZJTSLO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJTSOL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJTOLS,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZJTOSL,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZJLTSO,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZJLTOS,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
IZJLSTO,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZJLSOT,O,O,X,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X
IZJLOTS,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
IZJLOST,O,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X
IZJSTLO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJSTOL,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZJSLTO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJSLOT,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZJSOTL,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
IZJSOLT,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJOTLS,O,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X
IZJOTSL,O,O,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
IZJOLTS,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IZJOLST,O,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IZJOSTL,O,O,X,O,X,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X,X
IZJOSLT,O,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IZSTLJO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZSTLOJ,X,X,X,X,O,X,O,X,X,X,X,X,O,O,X,X,O,X,O,X,X
IZSTJLO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSTJOL,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
IZSTOLJ,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,O,X,X,X,X
IZSTOJL,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X
IZSLTJO,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
IZSLTOJ,X,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X,O,X,O,X,X
IZSLJTO,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
IZSLJOT,O,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X
IZSLOTJ,X,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X,O,X,X
IZSLOJT,O,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X
IZSJTLO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSJTOL,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
IZSJLTO,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
IZSJLOT,O,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X
IZSJOTL,O,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X
IZSJOLT,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZSOTLJ,X,X,X,X,X,X,O,X,X,O,X,X,O,O,X,X,O,X,X,X,X
IZSOTJL,O,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,O,X,X,X,X
IZSOLTJ,O,X,X,X,O,X,O,X,X,O,O,X,O,O,X,X,X,X,O,X,X
IZSOLJT,O,X,X,X,O,X,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X
IZSOJTL,O,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,O,X,X,X,X
IZSOJLT,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IZOTLJS,O,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,O,X,X,X
IZOTLSJ,O,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
IZOTJLS,O,X,X,X,X,X,X,X,O,O,X,X,X,O,O,X,X,O,X,X,X
IZOTJSL,O,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X
IZOTSLJ,X,X,X,X,X,X,X,X,X,O,X,X,O,O,O,O,X,X,X,X,X
