sequence,v115@9gB8HeB8HeB8HeC8BeA8BeB8JexAJvhFTiB6oB/qB8?sBmrBFrB,v115@9gB8HeB8HeB8HeC8BeA8BeB8JeTAJvhFOmBxiBfsBS?tB0qBlsB,v115@9gB8HeB8HeB8HeC8BeA8BeB8JexAJvhFVnBilBXoBG?oBzqBUsB,v115@9gB8HeB8HeB8HeC8BeA8BeB8JeTAJvhFihB1rBxnBG?oB0qB3sB,v115@9gB8HeB8HeB8HeC8BeA8BeB8JexAJvhF0iB6oBTlBX?rBlsBmrB,v115@9gB8HeB8HeB8HeC8BeA8BeB8JeTAJvhF8mBSoBlqBx?sBOrB3sB,v115@9gB8HeB8HeB8HeC8BeA8BeB8JelAJvhFziB+oB/qBx?rBirBUsB,v115@9gB8HeB8HeB8HeC8BeA8BeB8JeTAJvhF0iB6oBxqBl?sBmrBXrB,v115@9gB8HeB8HeB8HeC8BeA8BeB8JeGDJvhFxlBXnBVtBi?lBzqBUsB,v115@9gB8HeB8HeB8HeC8BeA8BeB8JexAJvhF8mBfoB6oBm?qBTsBlqB,v115@9gB8HeB8HeB8HeC8BeA8BeB8JeFBJvhFxiBSsBToBm?qB/qBUsB,v115@9gB8HeB8HeB8HeC8BeA8BeB8JeyGJvhFGjBUoBxqBT?sB/qBFrB,v115@9gB8HeB8HeB8HeC8BeA8BeB8JexAJvhFXiB+oBilBz?qBFsB8sB,v115@9gB8HeB8HeB8HeC8BeA8BeB8JeTAJvhFlhB2rBxnBS?tB0qB3sB,v115@9gB8HeB8HeB8HeC8BeA8BeB8JeFDJvhFxlBXnBStBT?lBerBUsB
IZLOTSJ,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X
IZLOJTS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLOJST,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLOSTJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLOSJT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJTLSO,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZJTLOS,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
IZJTSLO,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZJTSOL,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
IZJTOLS,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
IZJTOSL,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
IZJLTSO,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZJLTOS,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
IZJLSTO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJLSOT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJLOTS,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IZJLOST,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJSTLO,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZJSTOL,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X
IZJSLTO,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IZJSLOT,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IZJSOTL,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X
IZJSOLT,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IZJOTLS,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZJOTSL,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZJOLTS,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IZJOLST,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJOSTL,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X
IZJOSLT,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IZSTLJO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
IZSTLOJ,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
IZSTJLO,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X
IZSTJOL,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X
IZSTOLJ,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
IZSTOJL,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IZSLTJO,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IZSLTOJ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IZSLJTO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSLJOT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSLOTJ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZSLOJT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSJTLO,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZSJTOL,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZSJLTO,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IZSJLOT,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IZSJOTL,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IZSJOLT,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IZSOTLJ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IZSOTJL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZSOLTJ,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
IZSOLJT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSOJTL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZSOJLT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOTLJS,X,X,O,O,X,O,X,O,X,X,X,O,X,X,X
IZOTLSJ,X,X,O,O,X,O,X,O,X,X,X,O,X,X,X
IZOTJLS,X,X,X,O,X,O,X,O,X,X,X,O,X,X,X
IZOTJSL,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
IZOTSLJ,X,X,O,O,X,O,X,O,X,X,X,O,X,X,X
IZOTSJL,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X
IZOLTJS,X,O,O,X,X,O,X,O,X,X,X,O,X,X,X
IZOLTSJ,X,O,O,X,X,O,X,O,X,X,X,O,X,X,X
IZOLJTS,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
IZOLJST,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
IZOLSTJ,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X
IZOLSJT,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
IZOJTLS,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
IZOJTSL,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
IZOJLTS,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X
IZOJLST,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
IZOJSTL,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X
IZOJSLT,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
IZOSTLJ,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X
IZOSTJL,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IZOSLTJ,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X
IZOSLJT,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
IZOSJTL,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IZOSJLT,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
IOTLJSZ,X,X,X,X,X,X,X,O,O,X,O,X,O,X,X
IOTLJZS,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X
IOTLSJZ,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X
IOTLSZJ,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
IOTLZJS,X,X,X,X,X,O,X,O,X,X,X,O,O,X,X
IOTLZSJ,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X
IOTJLSZ,X,X,X,X,X,X,X,O,O,X,O,X,O,X,X
IOTJLZS,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X
IOTJSLZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOTJSZL,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOTJZLS,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
IOTJZSL,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IOTSLJZ,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
IOTSLZJ,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
IOTSJLZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOTSJZL,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOTSZLJ,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
IOTSZJL,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IOTZLJS,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X
IOTZLSJ,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X
IOTZJLS,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X
IOTZJSL,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X
IOTZSLJ,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X
IOTZSJL,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X
IOLTJSZ,X,X,X,X,X,X,X,O,O,X,O,X,O,X,X
IOLTJZS,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X
IOLTSJZ,X,X,O,X,X,X,X,O,O,X,X,X,O,X,X
IOLTSZJ,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
IOLTZJS,X,X,O,X,X,O,X,O,X,X,X,O,O,X,X
IOLTZSJ,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X
IOLJTSZ,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X
IOLJTZS,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
IOLJSTZ,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X
IOLJSZT,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOLJZTS,X,X,O,X,X,X,X,X,X,X,O,O,O,X,X
IOLJZST,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X
IOLSTJZ,X,X,O,X,X,X,X,O,O,X,X,X,O,X,X
IOLSTZJ,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IOLSJTZ,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X
IOLSJZT,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOLSZTJ,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
IOLSZJT,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IOLZTJS,X,X,O,X,X,O,X,O,X,X,X,O,O,X,X
IOLZTSJ,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X
IOLZJTS,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X
IOLZJST,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X
IOLZSTJ,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
IOLZSJT,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IOJTLSZ,X,X,X,X,X,X,X,O,O,X,O,X,O,X,X
IOJTLZS,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
IOJTSLZ,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
IOJTSZL,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
IOJTZLS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOJTZSL,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOJLTSZ,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X
IOJLTZS,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
IOJLSTZ,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X
IOJLSZT,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
IOJLZTS,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X
IOJLZST,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X
IOJSTLZ,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
IOJSTZL,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
IOJSLTZ,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
IOJSLZT,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X
IOJSZTL,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IOJSZLT,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IOJZTLS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IOJZTSL,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
IOJZLTS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IOJZLST,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X
IOJZSTL,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X
IOJZSLT,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X
IOSTLJZ,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X
IOSTLZJ,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IOSTJLZ,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
IOSTJZL,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
IOSTZLJ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOSTZJL,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOSLTJZ,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X
IOSLTZJ,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IOSLJTZ,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
IOSLJZT,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
IOSLZTJ,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X
IOSLZJT,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
IOSJTLZ,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
IOSJTZL,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
IOSJLTZ,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
IOSJLZT,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X
IOSJZTL,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IOSJZLT,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IOSZTLJ,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X
IOSZTJL,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
IOSZLTJ,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X
IOSZLJT,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
IOSZJTL,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
IOSZJLT,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
IOZTLJS,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X
IOZTLSJ,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X
IOZTJLS,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X
IOZTJSL,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X
IOZTSLJ,X,X,O,X,X,O,X,O,X,O,X,O,X,X,X
IOZTSJL,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X
IOZLTJS,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X
IOZLTSJ,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X
IOZLJTS,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
IOZLJST,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X
IOZLSTJ,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X
IOZLSJT,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
IOZJTLS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IOZJTSL,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
IOZJLTS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IOZJLST,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X
IOZJSTL,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
IOZJSLT,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
IOZSTLJ,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X
IOZSTJL,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
IOZSLTJ,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X
IOZSLJT,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
IOZSJTL,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
IOZSJLT,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
LTIJSZO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTIJSOZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTIJZSO,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
LTIJZOS,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
LTIJOSZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTIJOZS,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
LTISJZO,X,O,O,X,X,X,X,O,X,X,X,X,X,X,O
LTISJOZ,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O
LTISZJO,X,O,O,X,X,O,X,O,X,X,X,X,X,X,O
LTISZOJ,X,O,X,O,O,O,X,O,X,X,X,X,X,X,O
LTISOJZ,X,X,O,X,O,X,X,O,X,X,X,X,X,X,O
LTISOZJ,X,X,X,X,O,O,X,O,X,X,X,X,X,X,O
LTIZJSO,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
LTIZJOS,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X
LTIZSJO,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X
LTIZSOJ,X,O,O,O,O,O,X,O,X,X,X,X,X,X,X
LTIZOJS,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X
LTIZOSJ,X,O,O,O,X,O,X,O,X,X,X,X,X,X,X
LTIOJSZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTIOJZS,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
LTIOSJZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTIOSZJ,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
LTIOZJS,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
LTIOZSJ,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
LTJISZO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJISOZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJIZSO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJIZOS,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
LTJIOSZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJIOZS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJSIZO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
LTJSIOZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
LTJSZIO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJSZOI,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTJSOIZ,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
LTJSOZI,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTJZISO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJZIOS,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
LTJZSIO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJZSOI,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTJZOIS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTJZOSI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJOISZ,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X
LTJOIZS,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
LTJOSIZ,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X
LTJOSZI,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
LTJOZIS,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
LTJOZSI,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
LTSIJZO,O,O,O,O,X,X,X,O,X,X,X,X,X,X,O
LTSIJOZ,X,X,O,X,X,X,X,O,O,X,X,X,X,X,O
LTSIZJO,O,O,O,O,X,X,X,O,X,X,X,X,X,X,O
LTSIZOJ,O,O,X,O,O,X,X,O,X,X,X,X,X,X,O
LTSIOJZ,X,X,O,X,O,X,X,O,X,X,X,X,X,X,O
LTSIOZJ,X,X,O,O,O,X,X,O,X,X,X,X,X,X,O
LTSJIZO,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O
LTSJIOZ,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O
LTSJZIO,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LTSJZOI,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
LTSJOIZ,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X
LTSJOZI,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTSZIJO,O,O,O,O,X,X,X,O,X,X,X,X,X,X,O
LTSZIOJ,O,O,O,O,O,X,X,O,X,X,X,X,X,X,O
LTSZJIO,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LTSZJOI,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
LTSZOIJ,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
LTSZOJI,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
LTSOIJZ,X,X,O,X,O,X,X,X,O,X,X,X,X,X,O
LTSOIZJ,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O
LTSOJIZ,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X
LTSOJZI,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTSOZIJ,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
LTSOZJI,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
LTZIJSO,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
LTZIJOS,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X
LTZISJO,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X
LTZISOJ,X,O,O,O,O,O,X,O,X,X,X,X,X,X,X
LTZIOJS,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X
LTZIOSJ,X,O,O,O,X,O,X,O,X,X,X,X,X,X,X
LTZJISO,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
LTZJIOS,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X
LTZJSIO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTZJSOI,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTZJOIS,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LTZJOSI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZSIJO,O,O,O,O,X,X,X,O,X,X,X,X,X,X,O
LTZSIOJ,O,O,O,O,O,X,X,O,X,X,X,X,X,X,O
LTZSJIO,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LTZSJOI,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
LTZSOIJ,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
LTZSOJI,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
LTZOIJS,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X
LTZOISJ,X,O,O,O,X,O,X,O,X,X,X,X,X,X,X
LTZOJIS,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LTZOJSI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZOSIJ,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
LTZOSJI,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
LTOIJSZ,X,X,X,X,X,X,X,O,O,X,O,X,O,X,X
LTOIJZS,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X
LTOISJZ,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X
LTOISZJ,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
LTOIZJS,X,X,X,O,X,O,X,O,X,X,X,X,O,X,X
LTOIZSJ,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
LTOJISZ,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X
LTOJIZS,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
LTOJSIZ,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X
LTOJSZI,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
LTOJZIS,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
LTOJZSI,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
LTOSIJZ,X,X,X,X,O,X,X,X,O,X,X,X,O,X,O
LTOSIZJ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
LTOSJIZ,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X
LTOSJZI,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
LTOSZIJ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTOSZJI,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTOZIJS,X,X,X,O,X,O,X,O,X,X,X,X,O,X,X
LTOZISJ,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
LTOZJIS,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
LTOZJSI,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
LTOZSIJ,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
LTOZSJI,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LITJSZO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LITJSOZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LITJZSO,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
LITJZOS,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
LITJOSZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LITJOZS,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
LITSJZO,X,O,O,X,X,X,X,O,X,X,X,X,X,X,O
LITSJOZ,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O
LITSZJO,X,O,O,X,X,O,X,O,X,X,X,X,X,X,O
LITSZOJ,X,O,X,X,O,O,X,O,X,X,X,X,X,X,O
LITSOJZ,X,X,O,X,O,X,X,O,X,X,X,X,X,X,O
LITSOZJ,X,X,X,X,O,O,X,O,X,X,X,X,X,X,O
LITZJSO,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
LITZJOS,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X
LITZSJO,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X
LITZSOJ,X,O,O,X,O,O,X,O,X,X,X,X,X,X,X
LITZOJS,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X
LITZOSJ,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X
LITOJSZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LITOJZS,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
LITOSJZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LITOSZJ,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
LITOZJS,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
LITOZSJ,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
LIJTSZO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LIJTSOZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LIJTZSO,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
LIJTZOS,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
