sequence,v115@GhA8IeA8AeA8CeB8BeA8AeB8CeD8JeZEJvhFCgBmiB?/qBFmB0nBTrB,v115@GhA8IeA8AeA8CeB8BeA8AeB8CeD8JeZEJvhFzfBfmB?aoBGnB0qBlrB,v115@GhA8IeA8AeA8CeB8BeA8AeB8CeD8JeZEJvhFzfBGhB?/nBaoBlqBUrB,v115@GhA8IeA8AeA8CeB8BeA8AeB8CeD8JeZEJvhFflBlgB?cmBiiBznBWwB,v115@GhA8IeA8AeA8CeB8BeA8AeB8CeD8JeZEJvhFflB0gB?aoBGnBzqBlrB,v115@GhA8IeA8AeA8CeB8BeA8AeB8CeD8JeZEJvhFzfBmiB?0nBlqBfrB6rB,v115@GhA8IeA8AeA8CeB8BeA8AeB8CeD8JeZEJvhFflB6lB?ThBmiB0nBVwB,v115@GhA8IeA8AeA8CeB8BeA8AeB8CeD8JeZEJvhFThB/nB?aoBFlBUrBGqB,v115@GhA8IeA8AeA8CeB8BeA8AeB8CeD8Jex/IvhFynBOpB?/qBFmB0nBTrB
TZISOLJ,O,X,O,O,X,O,O,O,X
TZISOJL,O,O,O,O,X,O,O,O,X
TZIOLJS,X,O,X,X,X,O,X,X,X
TZIOLSJ,X,X,X,O,X,O,X,O,X
TZIOJLS,X,O,X,X,X,O,X,X,X
TZIOJSL,X,O,O,X,X,O,X,O,X
TZIOSLJ,X,X,O,O,X,O,X,O,X
TZIOSJL,X,O,O,O,X,O,X,O,X
TZLIJSO,O,O,X,X,X,O,X,X,X
TZLIJOS,X,O,X,X,X,O,X,X,X
TZLISJO,O,X,X,O,X,O,X,O,X
TZLISOJ,O,X,X,O,X,O,X,O,X
TZLIOJS,X,O,X,X,X,O,X,X,X
TZLIOSJ,X,X,X,X,X,O,X,O,X
TZLJISO,O,O,X,X,X,O,X,X,X
TZLJIOS,X,O,X,X,X,O,X,X,X
TZLJSIO,O,O,X,X,X,X,X,X,X
TZLJSOI,O,O,X,X,X,X,X,X,X
TZLJOIS,X,O,X,X,X,O,X,X,X
TZLJOSI,X,O,X,X,X,X,X,X,X
TZLSIJO,O,X,X,O,X,X,X,O,X
TZLSIOJ,O,X,X,O,X,X,X,O,X
TZLSJIO,O,X,X,O,X,X,X,O,X
TZLSJOI,O,X,X,X,X,X,X,O,X
TZLSOIJ,O,X,X,O,X,X,X,O,X
TZLSOJI,O,X,X,X,X,X,X,O,X
TZLOIJS,X,O,X,X,X,O,X,X,X
TZLOISJ,X,X,X,X,X,O,X,O,X
TZLOJIS,X,O,X,X,X,O,X,X,X
TZLOJSI,X,O,X,X,X,X,X,X,X
TZLOSIJ,X,X,X,X,X,X,X,O,X
TZLOSJI,X,X,X,X,X,X,X,O,X
TZJILSO,O,O,X,X,X,O,X,X,X
TZJILOS,X,O,X,X,X,O,X,X,X
TZJISLO,O,O,O,X,X,O,O,O,X
TZJISOL,O,O,O,X,X,O,O,O,X
TZJIOLS,X,O,X,X,X,O,X,X,X
TZJIOSL,X,O,O,X,X,O,X,O,X
TZJLISO,O,O,X,X,X,O,X,X,X
TZJLIOS,X,O,X,X,X,O,X,X,X
TZJLSIO,O,O,X,X,X,X,X,X,X
TZJLSOI,O,O,X,X,X,X,X,X,X
TZJLOIS,X,O,X,X,X,O,X,X,X
TZJLOSI,X,O,X,X,X,X,X,X,X
TZJSILO,O,O,O,X,X,O,O,O,X
TZJSIOL,O,O,O,X,X,O,O,O,X
TZJSLIO,O,O,O,X,X,X,O,O,X
TZJSLOI,O,O,O,X,X,X,O,O,X
TZJSOIL,O,O,O,X,X,O,O,O,X
TZJSOLI,O,O,O,X,X,X,O,O,X
TZJOILS,X,O,X,X,X,O,X,X,X
TZJOISL,X,O,O,X,X,O,X,O,X
TZJOLIS,X,O,X,X,X,O,X,X,X
TZJOLSI,X,O,X,X,X,X,X,X,X
TZJOSIL,X,O,O,X,X,O,X,O,X
TZJOSLI,X,O,O,X,X,X,X,O,X
TZSILJO,O,X,O,O,X,O,O,O,X
TZSILOJ,O,X,O,O,X,O,O,O,X
TZSIJLO,O,O,O,O,X,O,O,O,X
TZSIJOL,O,O,O,O,X,O,O,O,X
TZSIOLJ,O,X,O,O,X,O,O,O,X
TZSIOJL,O,O,O,O,X,O,O,O,X
TZSLIJO,O,X,O,O,X,X,O,O,X
TZSLIOJ,O,X,O,O,X,X,O,O,X
TZSLJIO,O,X,O,O,X,X,O,O,X
TZSLJOI,O,X,O,X,X,X,O,O,X
TZSLOIJ,O,X,O,O,X,X,O,O,X
TZSLOJI,O,X,O,O,X,X,O,O,X
TZSJILO,O,O,O,O,X,O,O,O,X
TZSJIOL,O,O,O,O,X,O,O,O,X
TZSJLIO,O,O,O,O,X,X,O,O,X
TZSJLOI,O,O,O,X,X,X,O,O,X
TZSJOIL,O,O,O,O,X,O,O,O,X
TZSJOLI,O,O,O,O,X,X,O,O,X
TZSOILJ,O,X,O,O,X,O,O,O,X
TZSOIJL,O,O,O,O,X,O,O,O,X
TZSOLIJ,O,X,O,O,X,X,O,O,X
TZSOLJI,O,X,O,O,X,X,O,O,X
TZSOJIL,O,O,O,O,X,O,O,O,X
TZSOJLI,O,O,O,O,X,X,O,O,X
TZOILJS,X,O,X,X,X,O,X,X,X
TZOILSJ,X,X,X,O,X,O,X,O,X
TZOIJLS,X,O,X,X,X,O,X,X,X
TZOIJSL,X,O,O,X,X,O,X,O,X
TZOISLJ,X,X,O,O,X,O,X,O,X
TZOISJL,X,O,O,O,X,O,X,O,X
TZOLIJS,X,O,X,X,X,O,X,X,X
TZOLISJ,X,X,X,O,X,O,X,O,X
TZOLJIS,X,O,X,X,X,O,X,X,X
TZOLJSI,X,O,X,X,X,X,X,X,X
TZOLSIJ,X,X,X,O,X,X,X,O,X
TZOLSJI,X,X,X,O,X,X,X,O,X
TZOJILS,X,O,X,X,X,O,X,X,X
TZOJISL,X,O,O,X,X,O,X,O,X
TZOJLIS,X,O,X,X,X,O,X,X,X
TZOJLSI,X,O,X,X,X,X,X,X,X
TZOJSIL,X,O,O,X,X,O,X,O,X
TZOJSLI,X,O,O,X,X,X,X,O,X
TZOSILJ,X,X,O,O,X,O,X,O,X
TZOSIJL,X,O,O,O,X,O,X,O,X
TZOSLIJ,X,X,O,O,X,X,X,O,X
TZOSLJI,X,X,O,O,X,X,X,O,X
TZOSJIL,X,O,O,O,X,O,X,O,X
TZOSJLI,X,O,O,O,X,X,X,O,X
TOILJSZ,X,X,O,X,O,X,X,X,X
TOILJZS,X,O,X,X,X,X,X,X,X
TOILSJZ,X,X,O,O,O,X,X,X,X
TOILSZJ,X,X,O,O,X,X,X,X,X
TOILZJS,X,O,X,X,X,O,X,X,X
TOILZSJ,X,X,X,O,X,O,X,X,X
TOIJLSZ,X,X,O,X,O,X,X,X,X
TOIJLZS,X,O,X,X,X,X,X,X,X
TOIJSLZ,X,X,O,X,O,X,X,X,X
TOIJSZL,X,X,O,X,O,X,X,X,X
TOIJZLS,X,O,X,X,X,O,X,X,X
TOIJZSL,X,O,O,X,X,O,X,X,X
TOISLJZ,X,X,O,O,O,X,X,X,X
TOISLZJ,X,X,O,O,X,X,X,O,X
TOISJLZ,X,X,O,O,O,X,X,X,X
TOISJZL,X,X,O,O,O,X,X,X,X
TOISZLJ,X,X,O,O,X,O,X,O,X
TOISZJL,X,X,O,O,O,O,X,O,X
TOIZLJS,X,O,X,X,X,O,X,X,X
TOIZLSJ,X,X,X,O,X,O,X,O,X
TOIZJLS,X,O,X,X,X,O,X,X,X
TOIZJSL,X,O,O,X,X,O,X,O,X
TOIZSLJ,X,X,O,O,X,O,X,O,X
TOIZSJL,X,O,O,O,X,O,X,O,X
TOLIJSZ,X,X,O,X,O,X,X,X,X
TOLIJZS,X,O,X,X,X,X,X,X,X
TOLISJZ,X,X,O,O,O,X,X,X,X
TOLISZJ,X,X,O,O,X,X,X,X,X
TOLIZJS,X,O,X,X,X,O,X,X,X
TOLIZSJ,X,X,X,O,X,O,X,X,X
TOLJISZ,X,X,O,X,O,X,X,X,X
TOLJIZS,X,O,X,X,X,X,X,X,X
TOLJSIZ,X,X,O,X,O,X,X,X,X
TOLJSZI,X,X,O,X,O,X,X,X,X
TOLJZIS,X,O,X,X,X,X,X,X,X
TOLJZSI,X,O,X,X,X,X,X,X,X
TOLSIJZ,X,X,O,O,O,X,X,X,X
TOLSIZJ,X,X,O,O,X,X,X,X,X
TOLSJIZ,X,X,O,O,O,X,X,X,X
TOLSJZI,X,X,O,O,O,X,X,X,X
TOLSZIJ,X,X,O,O,X,X,X,X,X
TOLSZJI,X,X,O,O,X,X,X,X,X
TOLZIJS,X,O,X,X,X,O,X,X,X
TOLZISJ,X,X,X,O,X,O,X,X,X
TOLZJIS,X,O,X,X,X,O,X,X,X
TOLZJSI,X,O,X,X,X,X,X,X,X
TOLZSIJ,X,X,X,O,X,X,X,X,X
TOLZSJI,X,X,X,O,X,X,X,X,X
TOJILSZ,X,X,O,X,O,X,X,X,X
TOJILZS,X,O,X,X,X,X,X,X,X
TOJISLZ,X,X,O,X,O,X,X,X,X
TOJISZL,X,X,O,X,O,X,X,X,X
TOJIZLS,X,O,X,X,X,O,X,X,X
TOJIZSL,X,O,O,X,X,O,X,X,X
TOJLISZ,X,X,O,X,O,X,X,X,X
TOJLIZS,X,O,X,X,X,X,X,X,X
TOJLSIZ,X,X,O,X,O,X,X,X,X
TOJLSZI,X,X,O,X,O,X,X,X,X
TOJLZIS,X,O,X,X,X,X,X,X,X
TOJLZSI,X,O,X,X,X,X,X,X,X
TOJSILZ,X,X,O,X,O,X,X,X,X
TOJSIZL,X,X,O,X,O,X,X,X,X
TOJSLIZ,X,X,O,X,O,X,X,X,X
TOJSLZI,X,X,O,X,O,X,X,X,X
TOJSZIL,X,X,O,X,O,X,X,X,X
TOJSZLI,X,X,O,X,O,X,X,X,X
TOJZILS,X,O,X,X,X,O,X,X,X
TOJZISL,X,O,O,X,X,O,X,X,X
TOJZLIS,X,O,X,X,X,O,X,X,X
TOJZLSI,X,O,X,X,X,X,X,X,X
TOJZSIL,X,O,O,X,X,O,X,X,X
TOJZSLI,X,O,O,X,X,X,X,X,X
TOSILJZ,X,X,O,O,O,X,X,X,X
TOSILZJ,X,X,O,O,X,X,X,O,X
TOSIJLZ,X,X,O,O,O,X,X,X,X
TOSIJZL,X,X,O,O,O,X,X,X,X
TOSIZLJ,X,X,O,O,X,O,X,O,X
TOSIZJL,X,X,O,O,O,O,X,O,X
TOSLIJZ,X,X,O,O,O,X,X,X,X
TOSLIZJ,X,X,O,O,X,X,X,O,X
TOSLJIZ,X,X,O,O,O,X,X,X,X
TOSLJZI,X,X,O,O,O,X,X,X,X
TOSLZIJ,X,X,O,O,X,X,X,O,X
TOSLZJI,X,X,O,O,X,X,X,O,X
TOSJILZ,X,X,O,O,O,X,X,X,X
TOSJIZL,X,X,O,O,O,X,X,X,X
TOSJLIZ,X,X,O,O,O,X,X,X,X
TOSJLZI,X,X,O,O,O,X,X,X,X
TOSJZIL,X,X,O,O,O,X,X,X,X
TOSJZLI,X,X,O,O,O,X,X,X,X
TOSZILJ,X,X,O,O,X,O,X,O,X
TOSZIJL,X,X,O,O,O,O,X,O,X
TOSZLIJ,X,X,O,O,X,X,X,O,X
TOSZLJI,X,X,O,O,X,X,X,O,X
TOSZJIL,X,X,O,O,O,O,X,O,X
TOSZJLI,X,X,O,O,O,X,X,O,X
TOZILJS,X,O,X,X,X,O,X,X,X
TOZILSJ,X,X,X,O,X,O,X,O,X
TOZIJLS,X,O,X,X,X,O,X,X,X
TOZIJSL,X,O,O,X,X,O,X,O,X
TOZISLJ,X,X,O,O,X,O,X,O,X
TOZISJL,X,O,O,O,X,O,X,O,X
TOZLIJS,X,O,X,X,X,O,X,X,X
TOZLISJ,X,X,X,O,X,O,X,O,X
TOZLJIS,X,O,X,X,X,O,X,X,X
TOZLJSI,X,O,X,X,X,X,X,X,X
TOZLSIJ,X,X,X,O,X,X,X,O,X
TOZLSJI,X,X,X,O,X,X,X,O,X
TOZJILS,X,O,X,X,X,O,X,X,X
TOZJISL,X,O,O,X,X,O,X,O,X
TOZJLIS,X,O,X,X,X,O,X,X,X
TOZJLSI,X,O,X,X,X,X,X,X,X
TOZJSIL,X,O,O,X,X,O,X,O,X
TOZJSLI,X,O,O,X,X,X,X,O,X
TOZSILJ,X,X,O,O,X,O,X,O,X
TOZSIJL,X,O,O,O,X,O,X,O,X
TOZSLIJ,X,X,O,O,X,X,X,O,X
TOZSLJI,X,X,O,O,X,X,X,O,X
TOZSJIL,X,O,O,O,X,O,X,O,X
TOZSJLI,X,O,O,O,X,X,X,O,X
ITLJSZO,X,X,O,X,X,X,X,X,X
ITLJSOZ,X,X,O,X,O,X,X,X,X
ITLJZSO,X,O,X,X,X,X,X,X,X
ITLJZOS,X,O,X,X,X,X,X,X,X
ITLJOSZ,X,X,O,X,O,X,X,X,X
ITLJOZS,X,O,X,X,X,X,X,X,X
ITLSJZO,O,X,O,O,X,X,X,O,X
ITLSJOZ,X,X,O,X,O,X,X,X,X
ITLSZJO,O,X,O,O,X,X,X,O,X
ITLSZOJ,O,X,O,O,X,X,X,O,X
ITLSOJZ,X,X,O,X,O,X,X,X,X
ITLSOZJ,O,X,O,X,X,X,X,O,X
ITLZJSO,O,O,X,X,X,O,X,X,X
ITLZJOS,X,O,X,X,X,O,X,X,X
ITLZSJO,O,X,X,O,X,O,X,O,X
ITLZSOJ,O,X,X,O,X,O,X,O,X
ITLZOJS,X,O,X,X,X,O,X,X,X
ITLZOSJ,X,X,X,X,X,O,X,O,X
ITLOJSZ,X,X,O,X,O,X,X,X,X
ITLOJZS,X,O,X,X,X,X,X,X,X
ITLOSJZ,X,X,O,X,O,X,X,X,X
ITLOSZJ,X,X,O,X,X,X,X,X,X
ITLOZJS,X,O,X,X,X,O,X,X,X
ITLOZSJ,X,X,X,X,X,O,X,X,X
ITJLSZO,X,X,O,X,X,X,X,X,X
ITJLSOZ,X,X,O,X,O,X,X,X,X
ITJLZSO,X,O,X,X,X,X,X,X,X
ITJLZOS,X,O,X,X,X,X,X,X,X
ITJLOSZ,X,X,O,X,O,X,X,X,X
ITJLOZS,X,O,X,X,X,X,X,X,X
ITJSLZO,X,X,O,X,X,X,X,O,X
ITJSLOZ,X,X,O,X,O,X,X,X,X
ITJSZLO,X,X,O,X,X,X,X,O,X
ITJSZOL,X,X,O,X,X,X,X,O,X
ITJSOLZ,X,X,O,X,O,X,X,X,X
ITJSOZL,X,X,O,X,O,X,X,X,X
ITJZLSO,X,O,X,X,X,O,X,X,X
ITJZLOS,X,O,X,X,X,O,X,X,X
ITJZSLO,X,O,O,X,X,O,X,O,X
ITJZSOL,X,O,O,X,X,O,X,O,X
ITJZOLS,X,O,X,X,X,O,X,X,X
ITJZOSL,X,O,O,X,X,O,X,O,X
ITJOLSZ,X,X,O,X,O,X,X,X,X
ITJOLZS,X,O,X,X,X,X,X,X,X
ITJOSLZ,X,X,O,X,O,X,X,X,X
ITJOSZL,X,X,O,X,O,X,X,X,X
ITJOZLS,X,O,X,X,X,O,X,X,X
ITJOZSL,X,O,O,X,X,O,X,X,X
ITSLJZO,O,X,O,O,X,X,O,O,X
ITSLJOZ,X,X,O,X,O,X,O,X,X
ITSLZJO,O,X,O,O,X,X,O,O,X
ITSLZOJ,O,X,O,O,X,X,O,O,X
ITSLOJZ,X,X,O,X,O,X,O,X,X
ITSLOZJ,O,X,O,X,X,X,O,O,X
ITSJLZO,O,X,O,O,X,X,O,O,X
ITSJLOZ,X,X,O,X,O,X,O,X,X
ITSJZLO,O,X,O,O,X,X,O,O,X
ITSJZOL,O,X,O,O,X,X,O,O,X
ITSJOLZ,X,X,O,O,O,X,O,X,X
ITSJOZL,X,X,O,O,O,X,O,X,X
ITSZLJO,O,X,O,O,X,O,O,O,X
ITSZLOJ,O,X,O,O,X,O,O,O,X
ITSZJLO,O,X,O,O,X,O,O,O,X
ITSZJOL,O,X,O,O,X,O,O,O,X
ITSZOLJ,O,X,O,O,X,O,O,O,X
ITSZOJL,O,X,O,O,X,O,O,O,X
ITSOLJZ,X,X,O,O,O,X,O,X,X
ITSOLZJ,O,X,O,O,X,X,O,O,X
ITSOJLZ,X,X,O,O,O,X,O,X,X
ITSOJZL,X,X,O,O,O,X,O,X,X
ITSOZLJ,O,X,O,O,X,O,O,O,X
ITSOZJL,O,X,O,O,O,O,O,O,X
ITZLJSO,O,O,X,X,X,O,X,X,X
ITZLJOS,X,O,X,X,X,O,X,X,X
ITZLSJO,O,X,X,O,X,O,X,O,X
ITZLSOJ,O,X,X,O,X,O,X,O,X
ITZLOJS,X,O,X,X,X,O,X,X,X
ITZLOSJ,X,X,X,X,X,O,X,O,X
ITZJLSO,O,O,X,X,X,O,X,X,X
ITZJLOS,X,O,X,X,X,O,X,X,X
ITZJSLO,O,O,O,X,X,O,O,O,X
ITZJSOL,O,O,O,X,X,O,O,O,X
ITZJOLS,X,O,X,X,X,O,X,X,X
ITZJOSL,X,O,O,X,X,O,X,O,X
ITZSLJO,O,X,O,O,X,O,O,O,X
ITZSLOJ,O,X,O,O,X,O,O,O,X
ITZSJLO,O,O,O,O,X,O,O,O,X
ITZSJOL,O,O,O,O,X,O,O,O,X
ITZSOLJ,O,X,O,O,X,O,O,O,X
ITZSOJL,O,O,O,O,X,O,O,O,X
ITZOLJS,X,O,X,X,X,O,X,X,X
ITZOLSJ,X,X,X,O,X,O,X,O,X
ITZOJLS,X,O,X,X,X,O,X,X,X
ITZOJSL,X,O,O,X,X,O,X,O,X
ITZOSLJ,X,X,O,O,X,O,X,O,X
ITZOSJL,X,O,O,O,X,O,X,O,X
ITOLJSZ,X,X,O,X,O,X,X,X,X
ITOLJZS,X,O,X,X,X,X,X,X,X
ITOLSJZ,X,X,O,O,O,X,X,X,X
ITOLSZJ,X,X,O,O,X,X,X,X,X
ITOLZJS,X,O,X,X,X,O,X,X,X
ITOLZSJ,X,X,X,O,X,O,X,X,X
ITOJLSZ,X,X,O,X,O,X,X,X,X
ITOJLZS,X,O,X,X,X,X,X,X,X
ITOJSLZ,X,X,O,X,O,X,X,X,X
ITOJSZL,X,X,O,X,O,X,X,X,X
ITOJZLS,X,O,X,X,X,O,X,X,X
ITOJZSL,X,O,O,X,X,O,X,X,X
ITOSLJZ,X,X,O,O,O,X,X,X,X
ITOSLZJ,X,X,O,O,X,X,X,O,X
ITOSJLZ,X,X,O,O,O,X,X,X,X
ITOSJZL,X,X,O,O,O,X,X,X,X
ITOSZLJ,X,X,O,O,X,O,X,O,X
ITOSZJL,X,X,O,O,O,O,X,O,X
ITOZLJS,X,O,X,X,X,O,X,X,X
ITOZLSJ,X,X,X,O,X,O,X,O,X
ITOZJLS,X,O,X,X,X,O,X,X,X
ITOZJSL,X,O,O,X,X,O,X,O,X
ITOZSLJ,X,X,O,O,X,O,X,O,X
ITOZSJL,X,O,O,O,X,O,X,O,X
ILTJSZO,X,X,O,X,X,X,X,X,X
ILTJSOZ,X,X,O,X,O,X,X,X,X
ILTJZSO,X,O,X,X,X,X,X,X,X
ILTJZOS,X,O,X,X,X,X,X,X,X
ILTJOSZ,X,X,O,X,O,X,X,X,X
ILTJOZS,X,O,X,X,X,X,X,X,X
ILTSJZO,O,X,O,O,X,X,X,O,X
ILTSJOZ,X,X,O,X,O,X,X,X,X
ILTSZJO,O,X,O,O,X,X,X,O,X
ILTSZOJ,O,X,O,O,X,X,X,O,X
ILTSOJZ,X,X,O,X,O,X,X,X,X
ILTSOZJ,O,X,O,X,X,X,X,O,X
ILTZJSO,O,O,X,X,X,O,X,X,X
ILTZJOS,X,O,X,X,X,O,X,X,X
ILTZSJO,O,X,X,O,X,O,X,O,X
ILTZSOJ,O,X,X,O,X,O,X,O,X
ILTZOJS,X,O,X,X,X,O,X,X,X
ILTZOSJ,X,X,X,X,X,O,X,O,X
ILTOJSZ,X,X,O,X,O,X,X,X,X
ILTOJZS,X,O,X,X,X,X,X,X,X
ILTOSJZ,X,X,O,X,O,X,X,X,X
ILTOSZJ,X,X,O,X,X,X,X,X,X
ILTOZJS,X,O,X,X,X,O,X,X,X
ILTOZSJ,X,X,X,X,X,O,X,X,X
ILJTSZO,X,X,O,X,X,X,X,X,O
ILJTSOZ,X,X,O,X,O,X,X,X,O
ILJTZSO,X,O,X,X,X,X,X,X,X
ILJTZOS,X,O,X,X,X,X,X,X,X
ILJTOSZ,X,X,O,X,O,X,X,X,X
ILJTOZS,X,O,X,X,X,X,X,X,X
ILJSTZO,O,X,O,O,X,X,X,X,O
ILJSTOZ,X,X,O,X,O,X,X,X,O
ILJSZTO,O,O,O,O,X,X,X,X,O
ILJSZOT,O,O,O,O,O,X,X,X,X
ILJSOTZ,X,X,O,X,O,X,X,X,O
ILJSOZT,X,O,O,O,O,X,X,X,X
ILJZTSO,O,O,X,X,X,X,X,X,X
ILJZTOS,X,O,X,X,X,X,X,X,X
ILJZSTO,O,O,X,O,X,X,X,X,O
ILJZSOT,O,O,X,X,O,X,X,X,X
ILJZOTS,X,O,X,X,X,X,X,X,X
ILJZOST,O,O,X,X,O,X,X,X,X
ILJOTSZ,X,X,X,X,O,X,X,X,X
ILJOTZS,X,O,X,X,X,X,X,X,X
ILJOSTZ,X,X,O,X,O,X,X,X,O
ILJOSZT,X,O,O,X,O,X,X,X,X
ILJOZTS,X,O,X,X,X,X,X,X,X
ILJOZST,X,O,X,X,O,X,X,X,X
ILSTJZO,O,X,O,O,X,X,O,O,O
ILSTJOZ,X,X,O,X,O,X,O,X,O
ILSTZJO,O,X,O,O,X,X,O,O,X
ILSTZOJ,O,X,O,O,X,X,O,O,X
ILSTOJZ,X,X,O,X,O,X,O,X,X
ILSTOZJ,O,X,O,X,X,X,O,O,X
ILSJTZO,O,X,O,O,X,X,X,O,O
ILSJTOZ,X,X,O,X,O,X,X,X,O
ILSJZTO,O,O,O,O,X,X,X,O,O
ILSJZOT,O,O,O,O,O,X,X,O,X
ILSJOTZ,X,X,O,O,O,X,X,X,O
ILSJOZT,X,O,O,O,O,X,X,O,X
ILSZTJO,O,X,O,O,X,X,O,O,X
ILSZTOJ,O,X,O,O,X,X,O,O,X
ILSZJTO,O,O,O,O,X,X,O,O,X
ILSZJOT,O,O,O,O,O,X,X,O,X
ILSZOTJ,O,X,O,O,X,X,X,O,X
ILSZOJT,O,O,O,O,O,X,X,O,X
ILSOTJZ,X,X,O,O,O,X,X,X,X
ILSOTZJ,O,X,O,O,X,X,X,O,X
ILSOJTZ,X,X,O,O,O,X,X,X,X
ILSOJZT,X,O,O,O,O,X,X,O,X
ILSOZTJ,O,X,O,O,X,X,X,O,X
ILSOZJT,O,O,O,O,O,X,X,O,X
ILZTJSO,O,O,X,X,X,O,X,X,X
ILZTJOS,X,O,X,X,X,O,X,X,X
ILZTSJO,O,X,X,O,X,O,X,O,X
ILZTSOJ,O,X,X,O,X,O,X,O,X
ILZTOJS,X,O,X,X,X,O,X,X,X
ILZTOSJ,X,X,X,X,X,O,X,O,X
ILZJTSO,O,O,X,X,X,O,X,X,X
ILZJTOS,X,O,X,X,X,O,X,X,X
ILZJSTO,O,O,X,O,X,X,O,X,X
ILZJSOT,O,O,X,X,O,X,X,X,X
ILZJOTS,X,O,X,X,X,O,X,X,X
ILZJOST,O,O,X,X,O,X,X,X,X
ILZSTJO,O,X,X,O,X,X,O,O,X
ILZSTOJ,O,X,X,O,X,X,O,O,X
ILZSJTO,O,O,X,O,X,X,O,O,X
ILZSJOT,O,O,X,O,O,X,X,O,X
ILZSOTJ,O,X,X,O,X,X,X,O,X
ILZSOJT,O,O,X,O,O,X,X,O,X
ILZOTJS,X,O,X,X,X,O,X,X,X
ILZOTSJ,X,X,X,O,X,O,X,O,X
ILZOJTS,X,O,X,X,X,O,X,X,X
ILZOJST,O,O,X,O,O,X,X,X,X
ILZOSTJ,O,X,X,O,X,X,X,O,X
ILZOSJT,O,O,X,O,O,X,X,O,X
ILOTJSZ,X,X,O,X,O,X,X,X,X
ILOTJZS,X,O,X,X,X,X,X,X,X
ILOTSJZ,X,X,O,O,O,X,X,X,X
ILOTSZJ,X,X,O,O,X,X,X,X,X
ILOTZJS,X,O,X,X,X,O,X,X,X
ILOTZSJ,X,X,X,O,X,O,X,X,X
ILOJTSZ,X,X,X,X,O,X,X,X,X
ILOJTZS,X,O,X,X,X,X,X,X,X
ILOJSTZ,X,X,O,O,O,X,X,X,X
ILOJSZT,X,O,O,O,O,X,X,X,X
ILOJZTS,X,O,X,X,X,X,X,X,X
ILOJZST,X,O,X,O,O,X,X,X,X
ILOSTJZ,X,X,O,O,O,X,X,X,X
ILOSTZJ,O,X,O,O,X,X,X,O,X
ILOSJTZ,X,X,O,O,O,X,X,X,X
ILOSJZT,X,O,O,O,O,X,X,O,X
ILOSZTJ,O,X,O,O,X,X,X,O,X
ILOSZJT,O,O,O,O,O,X,X,O,X
ILOZTJS,X,O,X,X,X,O,X,X,X
ILOZTSJ,X,X,X,O,X,O,X,O,X
ILOZJTS,X,O,X,X,X,O,X,X,X
ILOZJST,O,O,X,O,O,X,X,X,X
ILOZSTJ,O,X,X,O,X,X,X,O,X
ILOZSJT,O,O,X,O,O,X,X,O,X
IJTLSZO,X,X,O,X,X,X,X,X,O
IJTLSOZ,X,X,O,X,O,X,X,X,O
IJTLZSO,X,O,X,X,X,X,X,X,X
IJTLZOS,X,O,X,X,X,X,X,X,X
IJTLOSZ,X,X,O,X,O,X,X,X,X
IJTLOZS,X,O,X,X,X,X,X,X,X
IJTSLZO,X,X,O,X,X,X,X,O,O
IJTSLOZ,X,X,O,X,O,X,X,X,O
IJTSZLO,X,X,O,X,X,X,X,O,O
IJTSZOL,X,X,O,X,X,X,X,O,X
IJTSOLZ,X,X,O,X,O,X,X,X,O
IJTSOZL,X,X,O,X,O,X,X,X,X
IJTZLSO,X,O,X,X,X,O,X,X,X
IJTZLOS,X,O,X,X,X,O,X,X,X
IJTZSLO,X,O,O,X,X,O,X,O,X
IJTZSOL,X,O,O,X,X,O,X,O,X
IJTZOLS,X,O,X,X,X,O,X,X,X
IJTZOSL,X,O,O,X,X,O,X,O,X
IJTOLSZ,X,X,O,X,O,X,X,X,X
IJTOLZS,X,O,X,X,X,X,X,X,X
IJTOSLZ,X,X,O,X,O,X,X,X,X
IJTOSZL,X,X,O,X,O,X,X,X,X
IJTOZLS,X,O,X,X,X,O,X,X,X
IJTOZSL,X,O,O,X,X,O,X,X,X
IJLTSZO,X,X,O,X,X,X,X,X,O
IJLTSOZ,X,X,O,X,O,X,X,X,O
IJLTZSO,X,O,X,X,X,X,X,X,X
IJLTZOS,X,O,X,X,X,X,X,X,X
IJLTOSZ,X,X,O,X,O,X,X,X,X
IJLTOZS,X,O,X,X,X,X,X,X,X
IJLSTZO,O,X,O,O,X,X,X,X,O
IJLSTOZ,X,X,O,X,O,X,X,X,O
IJLSZTO,O,O,O,O,X,X,X,X,O
IJLSZOT,O,O,O,O,O,X,X,X,X
IJLSOTZ,X,X,O,X,O,X,X,X,O
IJLSOZT,X,O,O,O,O,X,X,X,X
IJLZTSO,O,O,X,X,X,X,X,X,X
IJLZTOS,X,O,X,X,X,X,X,X,X
IJLZSTO,O,O,X,O,X,X,X,X,O
IJLZSOT,O,O,X,X,O,X,X,X,X
IJLZOTS,X,O,X,X,X,X,X,X,X
IJLZOST,O,O,X,X,O,X,X,X,X
IJLOTSZ,X,X,X,X,O,X,X,X,X
IJLOTZS,X,O,X,X,X,X,X,X,X
IJLOSTZ,X,X,O,X,O,X,X,X,O
IJLOSZT,X,O,O,X,O,X,X,X,X
IJLOZTS,X,O,X,X,X,X,X,X,X
IJLOZST,X,O,X,X,O,X,X,X,X
IJSTLZO,O,X,O,O,X,X,O,O,O
