sequence,v115@9gA8IeA8IeD8CeA8BeC8DeB8Kez/IvhFWmBNnBaoB5?oBXrB0rB,v115@9gA8IeA8IeD8CeA8BeC8DeB8Kez/IvhFWmBNnBaoB5?oB0rBXrB,v115@9gA8IeA8IeD8CeA8BeC8DeB8Kez/IvhFdmBUiBaoB5?oBfsBWwB,v115@9gA8IeA8IeD8CeA8BeC8DeB8Kez/IvhFxhBUoBmrBt?qB6tB3rB
TOIJLZS,O,O,X,X
TOIJSLZ,O,O,O,X
TOIJSZL,O,X,O,X
TOIJZLS,O,O,X,X
TOIJZSL,X,O,X,X
TOISLJZ,O,O,O,X
TOISLZJ,O,O,O,X
TOISJLZ,O,O,O,X
TOISJZL,O,X,O,X
TOISZLJ,O,O,O,X
TOISZJL,O,O,O,X
TOIZLJS,O,O,X,X
TOIZLSJ,O,O,O,X
TOIZJLS,O,O,X,X
TOIZJSL,X,O,X,X
TOIZSLJ,O,O,O,X
TOIZSJL,O,O,O,X
TOLIJSZ,O,O,O,X
TOLIJZS,O,O,X,X
TOLISJZ,O,O,O,X
TOLISZJ,O,O,O,X
TOLIZJS,O,O,X,X
TOLIZSJ,O,O,O,X
TOLJISZ,O,O,O,X
TOLJIZS,O,O,X,X
TOLJSIZ,O,O,O,X
TOLJSZI,O,X,O,X
TOLJZIS,O,O,X,X
TOLJZSI,X,O,X,X
TOLSIJZ,O,O,O,X
TOLSIZJ,O,O,O,X
TOLSJIZ,O,O,O,X
TOLSJZI,O,X,O,X
TOLSZIJ,O,O,O,X
TOLSZJI,O,O,O,X
TOLZIJS,O,O,X,X
TOLZISJ,O,O,O,X
TOLZJIS,O,O,X,X
TOLZJSI,X,O,X,X
TOLZSIJ,O,O,O,X
TOLZSJI,O,O,O,X
TOJILSZ,O,O,O,X
TOJILZS,O,O,X,X
TOJISLZ,O,O,O,X
TOJISZL,O,X,O,X
TOJIZLS,O,O,X,X
TOJIZSL,X,O,X,X
TOJLISZ,O,O,O,X
TOJLIZS,O,O,X,X
TOJLSIZ,O,O,O,X
TOJLSZI,O,X,O,X
TOJLZIS,O,O,X,X
TOJLZSI,X,O,X,X
TOJSILZ,O,O,O,X
TOJSIZL,O,X,O,X
TOJSLIZ,O,O,O,X
TOJSLZI,O,X,O,X
TOJSZIL,O,X,O,X
TOJSZLI,O,X,O,X
TOJZILS,O,O,X,O
TOJZISL,X,O,X,O
TOJZLIS,O,O,X,O
TOJZLSI,X,O,X,O
TOJZSIL,X,O,X,O
TOJZSLI,X,O,X,O
TOSILJZ,O,O,O,X
TOSILZJ,O,O,O,X
TOSIJLZ,O,O,O,X
TOSIJZL,O,X,O,X
