sequence,v115@9gA8IeA8IeB8AeB8EeE8CeA8KefFJvhF0gBmhBziB5?oBqrBlsB,v115@9gA8IeA8IeB8AeB8EeE8CeA8KefFJvhF0gB6mBTiBe?oB5oBVxB,v115@9gA8IeA8IeB8AeB8EeE8CeA8KefFJvhF0gBlhBaoB5?oBTnBWxB,v115@9gA8IeA8IeB8AeB8EeE8CeA8KeRAJvhFUiBGjBFlB6?rB/tBTsB,v115@9gA8IeA8IeB8AeB8EeE8CeA8KefFJvhFlgBiiB5oB0?mBznBWxB,v115@9gA8IeA8IeB8AeB8EeE8CeA8KeRAJvhFTiBFlB0mB6?tBXoBWxB,v115@9gA8IeA8IeB8AeB8EeE8CeA8KeWFJvhF1mB5oBznBi?lB8rB3sB,v115@9gA8IeA8IeB8AeB8EeE8CeA8KefFJvhF0gBaoB5oBz?mB+sBlrB
TLOSJIZ,O,O,X,O,X,X,X,X
TLOSJZI,O,O,X,O,X,X,X,X
TLOSZIJ,O,O,X,O,X,X,X,X
TLOSZJI,O,O,X,O,X,X,X,X
TLOZIJS,O,X,X,O,X,O,X,X
TLOZISJ,O,X,X,O,X,O,X,X
TLOZJIS,O,O,X,O,X,O,X,X
TLOZJSI,O,O,X,O,X,O,X,X
TLOZSIJ,O,O,X,O,X,O,X,X
TLOZSJI,O,O,X,O,X,O,X,X
TJILSZO,O,O,O,O,X,X,X,O
TJILSOZ,O,O,O,O,X,X,X,O
TJILZSO,O,O,O,O,X,X,X,X
TJILZOS,O,O,X,X,X,O,X,X
TJILOSZ,O,O,O,O,X,X,O,O
TJILOZS,O,O,O,O,X,X,O,X
TJISLZO,O,O,O,O,X,X,X,O
TJISLOZ,O,O,O,O,X,X,X,O
TJISZLO,X,O,O,O,X,X,X,O
TJISZOL,X,O,O,O,X,X,X,O
TJISOLZ,O,O,O,O,X,X,O,O
TJISOZL,X,O,O,O,X,X,O,O
TJIZLSO,X,O,O,X,X,X,X,X
TJIZLOS,X,O,X,X,X,O,X,X
TJIZSLO,X,O,O,X,X,X,X,X
TJIZSOL,X,O,O,X,X,X,X,X
TJIZOLS,X,O,O,X,X,O,O,X
TJIZOSL,X,O,O,X,X,X,O,X
TJIOLSZ,O,O,O,X,X,X,O,O
TJIOLZS,O,O,O,X,X,X,O,X
TJIOSLZ,O,O,O,O,X,X,O,O
TJIOSZL,X,O,O,O,X,X,O,O
TJIOZLS,X,O,O,X,X,X,O,X
TJIOZSL,X,O,O,O,X,X,O,X
TJLISZO,O,O,O,O,X,X,X,O
TJLISOZ,O,O,O,O,X,X,X,O
TJLIZSO,O,O,O,O,X,X,X,X
TJLIZOS,O,O,X,X,X,O,X,X
TJLIOSZ,O,O,O,O,X,X,O,O
TJLIOZS,O,O,O,O,X,X,O,X
TJLSIZO,O,O,O,O,X,X,X,O
TJLSIOZ,O,O,O,O,X,X,X,O
TJLSZIO,O,O,O,O,X,X,X,O
TJLSZOI,O,O,O,O,X,X,X,O
TJLSOIZ,O,O,O,O,X,X,X,O
TJLSOZI,O,O,O,O,X,X,X,O
TJLZISO,O,O,O,O,X,X,X,X
TJLZIOS,O,O,X,X,X,O,X,X
TJLZSIO,O,O,O,O,X,X,X,X
TJLZSOI,O,O,O,O,X,X,X,X
TJLZOIS,O,O,X,X,X,O,X,X
TJLZOSI,O,O,X,X,X,O,X,X
TJLOISZ,O,O,O,O,X,X,O,O
TJLOIZS,O,O,O,O,X,X,O,X
TJLOSIZ,O,O,O,O,X,X,X,O
TJLOSZI,O,O,O,O,X,X,X,O
TJLOZIS,O,O,O,O,X,X,X,X
TJLOZSI,O,O,O,O,X,X,X,X
TJSILZO,O,O,O,O,X,X,X,O
TJSILOZ,O,O,O,O,X,X,X,O
TJSIZLO,X,O,O,O,X,X,X,O
TJSIZOL,X,O,O,O,X,X,X,O
TJSIOLZ,O,O,O,O,X,X,O,O
TJSIOZL,X,O,O,O,X,X,O,O
TJSLIZO,O,O,O,O,X,X,X,O
TJSLIOZ,O,O,O,O,X,X,X,O
TJSLZIO,O,O,O,O,X,X,X,O
TJSLZOI,O,O,O,O,X,X,X,O
TJSLOIZ,O,O,O,O,X,X,X,O
TJSLOZI,O,O,O,O,X,X,X,O
TJSZILO,X,O,O,O,X,X,X,O
TJSZIOL,X,O,O,O,X,X,X,O
TJSZLIO,X,O,O,O,X,X,X,O
TJSZLOI,X,O,O,O,X,X,X,O
TJSZOIL,X,O,O,O,X,X,X,O
TJSZOLI,X,O,O,O,X,X,X,O
TJSOILZ,O,O,O,O,X,X,O,O
TJSOIZL,X,O,O,O,X,X,O,O
TJSOLIZ,O,O,O,O,X,X,X,O
TJSOLZI,O,O,O,O,X,X,X,O
TJSOZIL,X,O,O,O,X,X,X,O
TJSOZLI,X,O,O,O,X,X,X,O
TJZILSO,X,O,O,X,X,X,X,X
TJZILOS,X,O,X,X,X,O,X,X
TJZISLO,X,O,O,X,X,X,X,X
TJZISOL,X,O,O,X,X,X,X,X
TJZIOLS,X,O,O,X,X,O,O,X
TJZIOSL,X,O,O,X,X,X,O,X
TJZLISO,X,O,O,X,X,X,X,X
TJZLIOS,X,O,X,X,X,O,X,X
TJZLSIO,X,O,O,X,X,X,X,X
TJZLSOI,X,O,O,X,X,X,X,X
TJZLOIS,X,O,X,X,X,O,X,X
TJZLOSI,X,O,X,X,X,O,X,X
TJZSILO,X,O,O,X,X,X,X,X
TJZSIOL,X,O,O,X,X,X,X,X
TJZSLIO,X,O,O,X,X,X,X,X
TJZSLOI,X,O,O,X,X,X,X,X
TJZSOIL,X,O,O,X,X,X,X,X
TJZSOLI,X,O,O,X,X,X,X,X
TJZOILS,X,O,O,X,X,O,O,X
TJZOISL,X,O,O,X,X,X,O,X
TJZOLIS,X,O,O,X,X,O,X,X
TJZOLSI,X,O,O,X,X,O,X,X
TJZOSIL,X,O,O,X,X,X,X,X
TJZOSLI,X,O,O,X,X,X,X,X
TJOILSZ,O,O,O,X,X,X,O,O
TJOILZS,O,O,O,X,X,X,O,X
TJOISLZ,O,O,O,O,X,X,O,O
TJOISZL,X,O,O,O,X,X,O,O
TJOIZLS,X,O,O,X,X,X,O,X
TJOIZSL,X,O,O,O,X,X,O,X
TJOLISZ,O,O,O,O,X,X,O,O
TJOLIZS,O,O,O,O,X,X,O,X
TJOLSIZ,O,O,O,O,X,X,X,O
TJOLSZI,O,O,O,O,X,X,X,O
TJOLZIS,O,O,O,O,X,X,X,X
TJOLZSI,O,O,O,O,X,X,X,X
TJOSILZ,O,O,O,O,X,X,O,O
TJOSIZL,X,O,O,O,X,X,O,O
TJOSLIZ,O,O,O,O,X,X,X,O
TJOSLZI,O,O,O,O,X,X,X,O
TJOSZIL,X,O,O,O,X,X,X,O
TJOSZLI,X,O,O,O,X,X,X,O
TJOZILS,X,O,O,X,X,X,O,X
TJOZISL,X,O,O,O,X,X,O,X
TJOZLIS,X,O,O,X,X,X,X,X
TJOZLSI,X,O,O,X,X,X,X,X
TJOZSIL,X,O,O,O,X,X,X,X
TJOZSLI,X,O,O,O,X,X,X,X
TSILJZO,O,O,O,O,X,X,X,O
TSILJOZ,O,O,O,O,X,X,X,O
TSILZJO,O,O,O,O,X,X,X,O
TSILZOJ,O,O,O,O,O,O,X,X
TSILOJZ,O,O,X,O,X,X,X,X
TSILOZJ,O,O,X,O,O,X,X,X
TSIJLZO,O,O,O,O,X,X,X,O
TSIJLOZ,O,O,O,O,X,X,X,O
TSIJZLO,X,O,O,O,X,X,X,O
TSIJZOL,X,O,O,O,O,X,X,O
TSIJOLZ,O,O,O,O,X,X,O,O
TSIJOZL,X,O,O,O,O,X,O,O
TSIZLJO,O,O,O,O,X,X,X,O
TSIZLOJ,O,O,O,O,O,O,X,X
TSIZJLO,O,O,O,O,X,X,X,O
TSIZJOL,X,O,O,O,O,X,X,O
TSIZOLJ,O,O,O,O,O,O,X,X
TSIZOJL,X,O,O,O,O,X,X,X
TSIOLJZ,O,O,X,O,X,X,X,X
TSIOLZJ,O,O,X,O,O,X,X,X
TSIOJLZ,O,O,X,O,X,X,O,X
TSIOJZL,X,O,X,O,O,X,O,X
TSIOZLJ,O,O,X,O,O,X,X,X
TSIOZJL,X,O,X,O,O,X,X,X
TSLIJZO,O,O,O,O,X,X,X,O
TSLIJOZ,O,O,O,O,X,X,X,O
TSLIZJO,O,O,O,O,X,X,X,O
TSLIZOJ,O,O,O,O,O,O,X,X
TSLIOJZ,O,O,X,O,X,X,X,X
TSLIOZJ,O,O,X,O,O,X,X,X
TSLJIZO,O,O,O,O,X,X,X,O
TSLJIOZ,O,O,O,O,X,X,X,O
TSLJZIO,O,O,O,O,X,X,X,O
TSLJZOI,O,O,O,O,X,X,X,O
TSLJOIZ,O,O,O,O,X,X,X,O
TSLJOZI,O,O,O,O,X,X,X,O
TSLZIJO,O,O,O,O,X,X,X,O
TSLZIOJ,O,O,O,O,O,O,X,X
TSLZJIO,O,O,O,O,X,X,X,O
TSLZJOI,O,O,O,O,X,X,X,O
TSLZOIJ,O,O,O,O,O,O,X,X
TSLZOJI,O,O,X,O,O,O,X,X
TSLOIJZ,O,O,X,O,X,X,X,X
TSLOIZJ,O,O,X,O,O,X,X,X
TSLOJIZ,O,O,X,O,X,X,X,X
TSLOJZI,O,O,X,O,X,X,X,X
TSLOZIJ,O,O,X,O,O,X,X,X
TSLOZJI,O,O,X,O,O,X,X,X
TSJILZO,O,O,O,O,X,X,X,O
TSJILOZ,O,O,O,O,X,X,X,O
TSJIZLO,X,O,O,O,X,X,X,O
TSJIZOL,X,O,O,O,O,X,X,O
TSJIOLZ,O,O,O,O,X,X,O,O
TSJIOZL,X,O,O,O,O,X,O,O
TSJLIZO,O,O,O,O,X,X,X,O
TSJLIOZ,O,O,O,O,X,X,X,O
TSJLZIO,O,O,O,O,X,X,X,O
TSJLZOI,O,O,O,O,X,X,X,O
TSJLOIZ,O,O,O,O,X,X,X,O
TSJLOZI,O,O,O,O,X,X,X,O
TSJZILO,X,O,O,O,X,X,X,O
TSJZIOL,X,O,O,O,O,X,X,O
TSJZLIO,X,O,O,O,X,X,X,O
TSJZLOI,X,O,O,O,X,X,X,O
TSJZOIL,X,O,O,O,O,X,X,O
TSJZOLI,X,O,O,O,O,X,X,O
TSJOILZ,O,O,O,O,X,X,O,O
TSJOIZL,X,O,O,O,O,X,O,O
TSJOLIZ,O,O,O,O,X,X,X,O
TSJOLZI,O,O,O,O,X,X,X,O
TSJOZIL,X,O,O,O,O,X,X,O
TSJOZLI,X,O,O,O,O,X,X,O
TSZILJO,O,O,O,O,X,X,X,O
TSZILOJ,O,O,O,O,O,O,X,X
TSZIJLO,O,O,O,O,X,X,X,O
TSZIJOL,X,O,O,O,O,X,X,O
TSZIOLJ,O,O,O,O,O,O,X,X
TSZIOJL,X,O,O,O,O,X,X,X
TSZLIJO,O,O,O,O,X,X,X,O
TSZLIOJ,O,O,O,O,O,O,X,X
TSZLJIO,O,O,O,O,X,X,X,O
TSZLJOI,O,O,O,O,X,X,X,O
TSZLOIJ,O,O,O,O,O,O,X,X
TSZLOJI,O,O,X,O,O,O,X,X
TSZJILO,O,O,O,O,X,X,X,O
TSZJIOL,X,O,O,O,O,X,X,O
TSZJLIO,O,O,O,O,X,X,X,O
TSZJLOI,O,O,O,O,X,X,X,O
TSZJOIL,X,O,O,O,O,X,X,O
TSZJOLI,X,O,O,O,O,X,X,O
TSZOILJ,O,O,O,O,O,O,X,X
TSZOIJL,X,O,O,O,O,X,X,X
TSZOLIJ,O,O,O,O,O,O,X,X
TSZOLJI,O,O,X,O,O,O,X,X
TSZOJIL,X,O,O,O,O,X,X,X
TSZOJLI,X,O,O,O,O,X,X,X
TSOILJZ,O,O,X,O,X,X,X,X
TSOILZJ,O,O,X,O,O,X,X,X
TSOIJLZ,O,O,X,O,X,X,O,X
TSOIJZL,X,O,X,O,O,X,O,X
TSOIZLJ,O,O,X,O,O,X,X,X
TSOIZJL,X,O,X,O,O,X,X,X
TSOLIJZ,O,O,X,O,X,X,X,X
TSOLIZJ,O,O,X,O,O,X,X,X
TSOLJIZ,O,O,X,O,X,X,X,X
TSOLJZI,O,O,X,O,X,X,X,X
TSOLZIJ,O,O,X,O,O,X,X,X
TSOLZJI,O,O,X,O,O,X,X,X
TSOJILZ,O,O,X,O,X,X,O,X
TSOJIZL,X,O,X,O,O,X,O,X
TSOJLIZ,O,O,X,O,X,X,X,X
TSOJLZI,O,O,X,O,X,X,X,X
TSOJZIL,X,O,X,O,O,X,X,X
TSOJZLI,X,O,X,O,O,X,X,X
TSOZILJ,O,O,X,O,O,X,X,X
TSOZIJL,X,O,X,O,O,X,X,X
TSOZLIJ,O,O,X,O,O,X,X,X
TSOZLJI,O,O,X,O,O,X,X,X
TSOZJIL,X,O,X,O,O,X,X,X
TSOZJLI,X,O,X,O,O,X,X,X
TZILJSO,O,O,X,O,X,X,X,X
TZILJOS,O,O,X,X,X,O,X,X
TZILSJO,O,O,X,O,X,X,X,X
TZILSOJ,O,O,X,O,X,O,X,X
TZILOJS,O,X,X,O,X,O,X,X
TZILOSJ,O,X,X,O,X,O,X,X
TZIJLSO,X,O,X,X,X,X,X,X
TZIJLOS,X,O,X,X,X,O,X,X
TZIJSLO,X,O,X,X,X,X,X,X
TZIJSOL,X,O,X,X,X,X,X,X
TZIJOLS,X,O,X,X,X,O,O,X
TZIJOSL,X,O,X,X,X,X,O,X
TZISLJO,O,O,X,O,X,X,X,X
TZISLOJ,O,O,X,O,O,O,X,X
TZISJLO,X,O,X,O,X,X,X,X
TZISJOL,X,O,X,O,O,X,X,X
TZISOLJ,O,O,X,O,O,O,X,X
TZISOJL,X,O,X,O,O,X,X,X
TZIOLJS,O,X,X,X,X,O,X,X
TZIOLSJ,O,X,X,O,O,O,X,X
TZIOJLS,X,X,X,X,X,O,O,X
TZIOJSL,X,X,X,O,X,X,O,X
TZIOSLJ,O,X,X,O,O,O,X,X
TZIOSJL,X,X,X,O,O,X,X,X
TZLIJSO,O,O,X,O,X,X,X,X
TZLIJOS,O,O,X,X,X,O,X,X
TZLISJO,O,O,X,O,X,X,X,X
TZLISOJ,O,O,X,O,X,O,X,X
