sequence,v115@9gA8IeC8GeB8HeC8BeB8AeA8KeGAJvhFihBziB5oB3?mB0qBlsB,v115@9gA8IeC8GeB8HeC8BeB8AeA8KeGAJvhF8mBziB5oBy?qBlsBXrB,v115@9gA8IeC8GeB8HeC8BeB8AeA8KezAJvhFWnBxiB6tBU?lBXrBlsB,v115@9gA8IeC8GeB8HeC8BeB8AeA8KeGAJvhFliB5oByqBz?mB8sBXrB,v115@9gA8IeC8GeB8HeC8BeB8AeA8Ke0BJvhF5oB3lBznBi?rBGqBlsB,v115@9gA8IeC8GeB8HeC8BeB8AeA8KeGAJvhFxhBTmB/sBF?oB6tB0qB,v115@9gA8IeC8GeB8HeC8BeB8AeA8KezAJvhFWnB5oBysBU?lBXrBlsB
TOILJSZ,O,O,X,X,X,X,X
TOILJZS,O,O,X,O,X,X,X
TOILSJZ,O,O,X,X,X,X,X
TOILSZJ,O,O,X,X,O,X,X
TOILZJS,O,O,X,O,X,X,X
TOILZSJ,O,O,X,O,O,X,X
TOIJLSZ,O,O,X,X,X,X,X
TOIJLZS,O,O,X,X,X,X,X
TOIJSLZ,O,X,X,X,X,O,X
TOIJSZL,O,X,X,X,X,O,X
TOIJZLS,O,O,X,X,X,X,X
TOIJZSL,O,X,X,X,X,X,X
TOISLJZ,O,O,X,X,X,O,X
TOISLZJ,O,O,X,X,O,X,X
TOISJLZ,O,X,X,X,X,O,X
TOISJZL,O,X,X,X,X,O,X
TOISZLJ,O,O,X,X,O,X,X
TOISZJL,O,X,X,X,X,O,X
TOIZLJS,O,O,X,O,X,X,X
TOIZLSJ,O,O,X,O,X,X,X
TOIZJLS,O,O,X,O,X,X,X
TOIZJSL,O,X,X,X,X,X,X
TOIZSLJ,O,O,X,O,X,X,X
TOIZSJL,O,X,X,X,X,X,X
TOLIJSZ,O,O,O,X,X,X,X
TOLIJZS,O,O,X,O,X,X,X
TOLISJZ,O,O,O,X,X,X,X
TOLISZJ,O,O,O,X,O,X,X
TOLIZJS,O,O,X,O,X,X,X
TOLIZSJ,O,O,X,O,O,X,X
TOLJISZ,O,O,O,X,X,X,X
TOLJIZS,O,O,X,O,X,X,X
TOLJSIZ,O,O,O,X,X,X,X
TOLJSZI,O,O,O,X,X,X,X
TOLJZIS,O,O,X,O,X,X,X
TOLJZSI,O,O,X,O,X,X,X
TOLSIJZ,O,O,O,X,X,X,X
TOLSIZJ,O,O,O,X,O,X,X
TOLSJIZ,O,O,O,X,X,X,X
TOLSJZI,O,O,O,X,X,X,X
TOLSZIJ,O,O,O,X,O,X,X
TOLSZJI,O,O,O,X,X,X,X
TOLZIJS,O,O,X,O,X,X,X
TOLZISJ,O,O,X,O,O,X,X
TOLZJIS,O,O,X,O,X,X,X
TOLZJSI,O,O,X,O,X,X,X
TOLZSIJ,O,O,X,O,O,X,X
TOLZSJI,O,O,X,O,X,X,X
TOJILSZ,O,O,X,X,X,X,X
TOJILZS,O,O,X,X,X,X,X
TOJISLZ,O,X,X,X,X,O,X
TOJISZL,O,X,X,X,X,O,X
TOJIZLS,O,O,X,X,X,X,X
TOJIZSL,O,X,X,X,X,X,X
TOJLISZ,O,O,O,X,X,X,X
TOJLIZS,O,O,X,X,X,X,X
TOJLSIZ,O,O,O,X,X,X,X
TOJLSZI,O,O,O,X,X,X,X
TOJLZIS,O,O,X,X,X,X,X
TOJLZSI,O,O,X,X,X,X,X
TOJSILZ,O,X,O,X,X,O,X
TOJSIZL,O,X,X,X,X,O,X
TOJSLIZ,O,X,O,X,X,O,X
TOJSLZI,O,X,O,X,X,O,X
TOJSZIL,O,X,X,X,X,O,X
TOJSZLI,O,X,O,X,X,O,X
TOJZILS,O,O,X,X,X,X,X
TOJZISL,O,X,X,X,X,X,X
TOJZLIS,O,O,X,X,X,X,X
TOJZLSI,O,O,X,X,X,X,X
TOJZSIL,O,X,X,X,X,X,X
TOJZSLI,O,X,X,X,X,X,X
TOSILJZ,O,O,O,X,X,O,X
TOSILZJ,O,O,O,X,O,X,X
TOSIJLZ,O,X,O,X,X,O,X
TOSIJZL,O,X,X,X,X,O,X
TOSIZLJ,O,O,X,X,O,X,X
TOSIZJL,O,X,X,X,X,O,X
TOSLIJZ,O,O,O,X,X,O,X
TOSLIZJ,O,O,O,X,O,X,X
TOSLJIZ,O,O,O,X,X,O,X
TOSLJZI,O,O,O,X,X,O,X
TOSLZIJ,O,O,O,X,O,X,X
TOSLZJI,O,O,O,X,X,X,X
TOSJILZ,O,X,O,X,X,O,X
TOSJIZL,O,X,X,X,X,O,X
TOSJLIZ,O,X,O,X,X,O,X
TOSJLZI,O,X,O,X,X,O,X
TOSJZIL,O,X,X,X,X,O,X
TOSJZLI,O,X,O,X,X,O,X
TOSZILJ,O,O,X,X,O,X,X
TOSZIJL,O,X,X,X,X,O,X
TOSZLIJ,O,O,O,X,X,X,X
TOSZLJI,O,O,O,X,X,X,X
TOSZJIL,O,X,X,X,X,O,X
TOSZJLI,O,X,O,X,X,O,X
TOZILJS,O,O,X,O,X,X,X
TOZILSJ,O,O,X,O,X,X,X
TOZIJLS,O,O,X,O,X,X,X
TOZIJSL,O,X,X,X,X,X,X
TOZISLJ,O,O,X,O,X,X,X
TOZISJL,O,X,X,X,X,X,X
TOZLIJS,O,O,X,O,X,X,X
TOZLISJ,O,O,X,O,X,X,X
TOZLJIS,O,O,X,O,X,X,X
TOZLJSI,O,O,X,O,X,X,X
TOZLSIJ,O,O,X,O,X,X,X
TOZLSJI,O,O,X,O,X,X,X
TOZJILS,O,O,X,O,X,X,X
TOZJISL,O,X,X,X,X,X,X
TOZJLIS,O,O,X,O,X,X,X
TOZJLSI,O,O,X,O,X,X,X
TOZJSIL,O,X,X,X,X,X,X
TOZJSLI,O,X,X,X,X,X,X
TOZSILJ,O,O,X,O,X,X,X
TOZSIJL,O,X,X,X,X,X,X
TOZSLIJ,O,O,X,O,X,X,X
TOZSLJI,O,O,X,O,X,X,X
TOZSJIL,O,X,X,X,X,X,X
TOZSJLI,O,X,X,X,X,X,X
ITLJSZO,O,O,O,X,X,X,X
ITLJSOZ,O,O,O,X,X,X,O
ITLJZSO,O,O,O,X,X,X,X
ITLJZOS,O,O,X,O,X,X,X
ITLJOSZ,O,O,O,X,X,X,X
ITLJOZS,O,O,X,O,X,X,X
ITLSJZO,O,O,O,X,X,X,X
ITLSJOZ,O,O,O,X,X,X,O
ITLSZJO,O,O,O,X,X,X,X
ITLSZOJ,O,O,O,X,O,X,X
ITLSOJZ,O,O,O,X,X,X,O
ITLSOZJ,O,O,O,X,O,X,X
ITLZJSO,O,O,O,X,X,X,X
ITLZJOS,O,O,X,O,X,X,X
ITLZSJO,O,O,O,X,X,X,X
ITLZSOJ,O,O,O,X,O,X,X
ITLZOJS,O,O,X,O,X,X,X
ITLZOSJ,O,O,X,O,O,X,X
ITLOJSZ,O,O,O,X,X,X,X
ITLOJZS,O,O,X,O,X,X,X
ITLOSJZ,O,O,O,X,X,X,X
ITLOSZJ,O,O,O,X,O,X,X
ITLOZJS,O,O,X,O,X,X,X
ITLOZSJ,O,O,X,O,O,X,X
ITJLSZO,O,O,O,X,X,X,X
ITJLSOZ,O,O,O,X,X,X,X
ITJLZSO,O,O,O,X,X,X,X
ITJLZOS,O,O,X,O,X,X,X
ITJLOSZ,O,O,O,X,X,X,X
ITJLOZS,O,O,X,O,X,X,X
ITJSLZO,O,X,O,X,X,X,X
ITJSLOZ,O,X,O,X,X,X,X
ITJSZLO,O,X,X,X,X,X,X
ITJSZOL,O,X,X,X,X,X,X
ITJSOLZ,O,X,O,X,X,X,X
ITJSOZL,O,X,X,X,X,X,X
ITJZLSO,O,O,X,X,X,X,X
ITJZLOS,O,O,X,O,X,X,X
ITJZSLO,O,X,X,X,X,X,X
ITJZSOL,O,X,X,X,X,X,X
ITJZOLS,O,O,X,X,X,X,X
ITJZOSL,O,X,X,X,X,X,X
ITJOLSZ,O,O,X,X,X,X,X
ITJOLZS,O,O,X,X,X,X,X
ITJOSLZ,O,X,X,X,X,X,X
ITJOSZL,O,X,X,X,X,X,X
ITJOZLS,O,O,X,X,X,X,X
ITJOZSL,O,X,X,X,X,X,X
ITSLJZO,O,O,O,X,X,X,X
ITSLJOZ,O,O,O,X,X,X,O
ITSLZJO,O,O,O,X,X,X,X
ITSLZOJ,O,O,O,X,O,X,X
ITSLOJZ,O,O,O,X,X,X,O
ITSLOZJ,O,O,O,X,O,X,X
ITSJLZO,O,X,O,X,X,X,X
ITSJLOZ,O,X,O,X,X,X,O
ITSJZLO,O,X,X,X,X,X,X
ITSJZOL,O,X,X,X,X,X,X
ITSJOLZ,O,X,O,X,X,X,O
ITSJOZL,O,X,X,X,X,X,X
ITSZLJO,O,O,X,X,X,X,X
ITSZLOJ,O,O,X,X,O,X,X
ITSZJLO,O,X,X,X,X,X,X
ITSZJOL,O,X,X,X,X,X,X
ITSZOLJ,O,O,X,X,O,X,X
ITSZOJL,O,X,X,X,X,X,X
ITSOLJZ,O,O,O,X,X,X,O
ITSOLZJ,O,O,O,X,O,X,X
ITSOJLZ,O,X,O,X,X,X,O
ITSOJZL,O,X,X,X,X,X,X
ITSOZLJ,O,O,X,X,O,X,X
ITSOZJL,O,X,X,X,X,X,X
ITZLJSO,O,O,X,X,X,X,X
ITZLJOS,O,O,X,O,X,X,X
ITZLSJO,O,O,X,X,X,X,X
ITZLSOJ,O,O,X,X,X,X,X
ITZLOJS,O,O,X,O,X,X,X
ITZLOSJ,O,O,X,O,X,X,X
ITZJLSO,O,O,X,X,X,X,X
ITZJLOS,O,O,X,O,X,X,X
ITZJSLO,O,X,X,X,X,X,X
ITZJSOL,O,X,X,X,X,X,X
ITZJOLS,O,O,X,O,X,X,X
ITZJOSL,O,X,X,X,X,X,X
ITZSLJO,O,O,X,X,X,X,X
ITZSLOJ,O,O,X,X,X,X,X
ITZSJLO,O,X,X,X,X,X,X
ITZSJOL,O,X,X,X,X,X,X
ITZSOLJ,O,O,X,O,X,X,X
ITZSOJL,O,X,X,X,X,X,X
ITZOLJS,O,O,X,O,X,X,X
ITZOLSJ,O,O,X,O,X,X,X
ITZOJLS,O,O,X,O,X,X,X
ITZOJSL,O,X,X,X,X,X,X
ITZOSLJ,O,O,X,O,X,X,X
ITZOSJL,O,X,X,X,X,X,X
ITOLJSZ,O,O,X,X,X,X,X
ITOLJZS,O,O,X,O,X,X,X
ITOLSJZ,O,O,X,X,X,X,X
ITOLSZJ,O,O,X,X,O,X,X
ITOLZJS,O,O,X,O,X,X,X
ITOLZSJ,O,O,X,O,O,X,X
ITOJLSZ,O,O,X,X,X,X,X
ITOJLZS,O,O,X,X,X,X,X
ITOJSLZ,O,X,X,X,X,X,X
ITOJSZL,O,X,X,X,X,X,X
ITOJZLS,O,O,X,X,X,X,X
ITOJZSL,O,X,X,X,X,X,X
ITOSLJZ,O,O,X,X,X,X,X
ITOSLZJ,O,O,X,X,O,X,X
ITOSJLZ,O,X,X,X,X,X,X
ITOSJZL,O,X,X,X,X,X,X
ITOSZLJ,O,O,X,X,O,X,X
ITOSZJL,O,X,X,X,X,X,X
ITOZLJS,O,O,X,O,X,X,X
ITOZLSJ,O,O,X,O,X,X,X
ITOZJLS,O,O,X,O,X,X,X
ITOZJSL,O,X,X,X,X,X,X
ITOZSLJ,O,O,X,O,X,X,X
ITOZSJL,O,X,X,X,X,X,X
ILTJSZO,O,O,O,X,X,X,X
ILTJSOZ,O,O,O,X,X,X,O
ILTJZSO,O,O,O,X,X,X,X
ILTJZOS,O,O,X,O,X,X,X
ILTJOSZ,O,O,O,X,X,X,X
ILTJOZS,O,O,X,O,X,X,X
ILTSJZO,O,O,O,X,X,X,X
ILTSJOZ,O,O,O,X,X,X,O
ILTSZJO,O,O,O,X,X,X,X
ILTSZOJ,O,O,O,X,O,X,X
ILTSOJZ,O,O,O,X,X,X,O
ILTSOZJ,O,O,O,X,O,X,X
ILTZJSO,O,O,O,X,X,X,X
ILTZJOS,O,O,X,O,X,X,X
ILTZSJO,O,O,O,X,X,X,X
ILTZSOJ,O,O,O,X,O,X,X
ILTZOJS,O,O,X,O,X,X,X
ILTZOSJ,O,O,X,O,O,X,X
ILTOJSZ,O,O,O,X,X,X,X
ILTOJZS,O,O,X,O,X,X,X
ILTOSJZ,O,O,O,X,X,X,X
ILTOSZJ,O,O,O,X,O,X,X
ILTOZJS,O,O,X,O,X,X,X
ILTOZSJ,O,O,X,O,O,X,X
ILJTSZO,O,O,O,X,X,X,X
ILJTSOZ,O,O,O,X,X,X,O
ILJTZSO,O,O,O,X,X,X,X
ILJTZOS,O,O,X,O,X,X,X
ILJTOSZ,O,O,O,X,X,X,X
ILJTOZS,O,O,X,O,X,X,X
ILJSTZO,O,O,X,X,X,X,X
ILJSTOZ,O,O,O,X,X,X,O
ILJSZTO,O,O,X,X,X,X,X
ILJSZOT,X,X,O,O,O,X,O
ILJSOTZ,O,X,O,X,X,X,O
ILJSOZT,X,X,O,O,O,X,O
ILJZTSO,O,O,X,X,X,X,X
ILJZTOS,O,O,X,O,X,X,X
ILJZSTO,O,O,X,X,X,X,X
ILJZSOT,O,X,X,O,O,X,O
ILJZOTS,X,O,X,O,X,X,X
ILJZOST,X,X,X,O,O,X,X
ILJOTSZ,X,O,X,X,X,X,X
ILJOTZS,X,O,X,O,X,X,X
ILJOSTZ,X,X,X,X,X,X,O
ILJOSZT,X,X,X,O,O,X,O
ILJOZTS,X,O,X,O,X,X,X
ILJOZST,X,X,X,O,O,X,X
ILSTJZO,O,O,O,X,X,X,X
ILSTJOZ,O,O,O,X,X,X,O
ILSTZJO,O,O,O,X,X,X,X
ILSTZOJ,O,O,O,X,O,X,X
ILSTOJZ,O,O,O,X,X,X,O
ILSTOZJ,O,O,O,X,O,X,X
ILSJTZO,O,O,X,X,X,X,X
ILSJTOZ,O,O,O,X,X,X,O
ILSJZTO,O,O,X,X,X,X,X
ILSJZOT,X,X,O,O,O,X,O
ILSJOTZ,O,X,O,X,X,X,O
ILSJOZT,X,X,O,O,O,X,O
ILSZTJO,O,O,X,X,X,X,X
ILSZTOJ,O,O,X,X,O,X,X
ILSZJTO,O,O,X,X,X,X,X
ILSZJOT,O,X,O,O,O,X,O
ILSZOTJ,O,X,X,O,O,X,X
ILSZOJT,O,X,O,O,O,X,O
ILSOTJZ,O,X,O,X,X,X,O
ILSOTZJ,O,X,O,X,O,X,X
ILSOJTZ,O,X,O,X,X,X,O
ILSOJZT,X,X,O,O,O,X,O
ILSOZTJ,X,X,X,O,O,X,X
ILSOZJT,X,X,O,O,O,X,O
ILZTJSO,O,O,O,X,X,X,X
ILZTJOS,O,O,X,O,X,X,X
ILZTSJO,O,O,O,X,X,X,X
ILZTSOJ,O,O,O,X,O,X,X
ILZTOJS,O,O,X,O,X,X,X
ILZTOSJ,O,O,X,O,O,X,X
ILZJTSO,O,O,X,X,X,X,X
ILZJTOS,O,O,X,O,X,X,X
ILZJSTO,O,O,X,X,X,X,X
ILZJSOT,O,X,X,O,O,X,O
ILZJOTS,X,O,X,O,X,X,X
ILZJOST,X,X,X,O,O,X,X
ILZSTJO,O,O,X,X,X,X,X
ILZSTOJ,O,O,X,X,O,X,X
ILZSJTO,O,O,X,X,X,X,X
ILZSJOT,O,X,O,O,O,X,O
ILZSOTJ,O,X,X,O,O,X,X
ILZSOJT,O,X,O,O,O,X,O
ILZOTJS,X,O,X,O,X,X,X
ILZOTSJ,X,O,X,O,O,X,X
ILZOJTS,X,O,X,O,X,X,X
ILZOJST,X,X,X,O,O,X,X
ILZOSTJ,X,X,X,O,O,X,X
ILZOSJT,X,X,X,O,O,X,X
ILOTJSZ,X,O,O,X,X,X,X
ILOTJZS,X,O,X,O,X,X,X
ILOTSJZ,X,O,O,X,X,X,X
ILOTSZJ,X,O,O,X,O,X,X
ILOTZJS,X,O,X,O,X,X,X
ILOTZSJ,X,O,X,O,O,X,X
ILOJTSZ,X,O,X,X,X,X,X
ILOJTZS,X,O,X,O,X,X,X
ILOJSTZ,X,X,X,X,X,X,O
ILOJSZT,X,X,X,O,O,X,O
ILOJZTS,X,O,X,O,X,X,X
ILOJZST,X,X,X,O,O,X,X
ILOSTJZ,X,X,O,X,X,X,O
ILOSTZJ,X,X,X,X,O,X,X
ILOSJTZ,X,X,O,X,X,X,O
ILOSJZT,X,X,O,O,O,X,O
ILOSZTJ,X,X,X,O,O,X,X
ILOSZJT,X,X,O,O,O,X,O
ILOZTJS,X,O,X,O,X,X,X
ILOZTSJ,X,O,X,O,O,X,X
ILOZJTS,X,O,X,O,X,X,X
ILOZJST,X,X,X,O,O,X,X
ILOZSTJ,X,X,X,O,O,X,X
ILOZSJT,X,X,X,O,O,X,X
IJTLSZO,O,O,X,X,X,X,X
IJTLSOZ,O,O,X,X,X,X,X
IJTLZSO,O,O,X,X,X,X,X
IJTLZOS,O,O,X,O,X,X,X
IJTLOSZ,O,O,X,X,X,X,X
IJTLOZS,O,O,X,O,X,X,X
IJTSLZO,O,X,X,X,X,X,X
IJTSLOZ,O,X,X,X,X,X,X
IJTSZLO,O,X,X,X,X,X,X
IJTSZOL,O,X,X,X,X,X,X
IJTSOLZ,O,X,X,X,X,X,X
IJTSOZL,O,X,X,X,X,X,X
IJTZLSO,O,O,X,X,X,X,X
IJTZLOS,O,O,X,O,X,X,X
IJTZSLO,O,X,X,X,X,X,X
IJTZSOL,O,X,X,X,X,X,X
IJTZOLS,O,O,X,X,X,X,X
IJTZOSL,O,X,X,X,X,X,X
IJTOLSZ,O,O,X,X,X,X,X
IJTOLZS,O,O,X,X,X,X,X
IJTOSLZ,O,X,X,X,X,X,X
IJTOSZL,O,X,X,X,X,X,X
IJTOZLS,O,O,X,X,X,X,X
IJTOZSL,O,X,X,X,X,X,X
IJLTSZO,O,O,X,X,X,X,X
IJLTSOZ,O,O,X,X,X,X,O
IJLTZSO,O,O,X,X,X,X,X
IJLTZOS,O,O,X,O,X,X,X
IJLTOSZ,O,O,X,X,X,X,X
IJLTOZS,O,O,X,O,X,X,X
IJLSTZO,O,O,X,X,X,X,X
IJLSTOZ,O,O,X,X,X,X,O
IJLSZTO,O,O,X,X,X,X,X
IJLSZOT,X,X,X,O,O,X,O
IJLSOTZ,O,X,X,X,X,X,O
IJLSOZT,X,X,X,O,O,X,O
IJLZTSO,O,O,X,X,X,X,X
IJLZTOS,O,O,X,O,X,X,X
IJLZSTO,O,O,X,X,X,X,X
IJLZSOT,O,X,X,O,O,X,O
IJLZOTS,X,O,X,O,X,X,X
IJLZOST,X,X,X,O,O,X,X
IJLOTSZ,X,O,X,X,X,X,X
IJLOTZS,X,O,X,O,X,X,X
IJLOSTZ,X,X,X,X,X,X,O
IJLOSZT,X,X,X,O,O,X,O
IJLOZTS,X,O,X,O,X,X,X
IJLOZST,X,X,X,O,O,X,X
IJSTLZO,O,X,X,X,X,X,X
IJSTLOZ,O,X,X,X,X,X,O
IJSTZLO,O,X,X,X,X,X,X
IJSTZOL,O,X,X,X,X,O,X
IJSTOLZ,O,X,X,X,X,O,O
IJSTOZL,O,X,X,X,X,O,X
IJSLTZO,O,O,X,X,X,X,X
IJSLTOZ,O,O,X,X,X,X,O
IJSLZTO,O,O,X,X,X,X,X
IJSLZOT,X,X,X,O,O,X,O
IJSLOTZ,O,X,X,X,X,X,O
IJSLOZT,X,X,X,O,O,X,O
IJSZTLO,O,X,X,X,X,X,X
IJSZTOL,O,X,X,X,X,O,X
IJSZLTO,O,X,X,X,X,X,X
IJSZLOT,O,X,X,O,O,X,O
IJSZOTL,O,X,X,X,X,O,X
IJSZOLT,O,X,X,X,O,O,O
IJSOTLZ,O,X,X,X,X,O,O
IJSOTZL,O,X,X,X,X,O,X
IJSOLTZ,O,X,X,X,X,O,O
IJSOLZT,X,X,X,X,O,X,O
IJSOZTL,X,X,X,X,X,O,X
IJSOZLT,X,X,X,X,O,X,O
IJZTLSO,O,O,X,X,X,X,X
IJZTLOS,O,O,X,O,X,X,X
IJZTSLO,O,X,X,X,X,X,X
IJZTSOL,O,X,X,X,X,X,X
IJZTOLS,O,O,X,O,X,X,X
IJZTOSL,O,X,X,X,X,X,X
IJZLTSO,O,O,X,X,X,X,X
IJZLTOS,O,O,X,O,X,X,X
IJZLSTO,O,O,X,X,X,X,X
IJZLSOT,O,X,X,O,X,X,X
IJZLOTS,X,O,X,O,X,X,X
IJZLOST,X,X,X,O,X,X,X
IJZSTLO,O,X,X,X,X,X,X
IJZSTOL,O,X,X,X,X,O,X
IJZSLTO,O,X,X,X,X,X,X
IJZSLOT,O,X,X,O,X,X,X
IJZSOTL,O,X,X,X,X,O,X
IJZSOLT,O,X,X,X,X,O,X
IJZOTLS,O,X,X,O,X,X,X
IJZOTSL,O,X,X,X,X,O,X
IJZOLTS,X,X,X,O,X,X,X
IJZOLST,X,X,X,O,X,O,X
IJZOSTL,O,X,X,X,X,O,X
IJZOSLT,O,X,X,X,X,O,X
IJOTLSZ,O,X,X,X,X,X,X
IJOTLZS,O,X,X,X,X,X,X
IJOTSLZ,O,X,X,X,X,O,X
IJOTSZL,O,X,X,X,X,O,X
IJOTZLS,O,X,X,X,X,X,X
IJOTZSL,O,X,X,X,X,X,X
IJOLTSZ,X,O,X,X,X,X,X
IJOLTZS,X,O,X,O,X,X,X
IJOLSTZ,X,X,X,X,X,O,X
IJOLSZT,X,X,X,O,O,X,X
IJOLZTS,X,O,X,O,X,X,X
IJOLZST,X,X,X,O,O,X,X
IJOSTLZ,O,X,X,X,X,O,X
IJOSTZL,O,X,X,X,X,O,X
IJOSLTZ,O,X,X,X,X,O,X
IJOSLZT,X,X,X,X,O,X,X
IJOSZTL,X,X,X,X,X,O,X
IJOSZLT,X,X,X,X,O,X,X
IJOZTLS,O,X,X,O,X,X,X
IJOZTSL,O,X,X,X,X,X,X
IJOZLTS,X,X,X,O,X,X,X
IJOZLST,X,X,X,O,X,X,X
IJOZSTL,O,X,X,X,X,O,X
IJOZSLT,O,X,X,X,X,X,X
ISTLJZO,O,O,O,X,X,X,X
ISTLJOZ,O,O,O,X,X,X,O
ISTLZJO,O,O,O,X,X,X,X
ISTLZOJ,O,O,O,X,O,X,X
ISTLOJZ,O,O,O,X,X,X,O
ISTLOZJ,O,O,O,X,O,X,X
ISTJLZO,O,X,O,X,X,X,X
ISTJLOZ,O,X,O,X,X,X,O
ISTJZLO,O,X,X,X,X,X,X
ISTJZOL,O,X,X,X,X,O,X
ISTJOLZ,O,X,O,X,X,O,O
ISTJOZL,O,X,X,X,X,O,X
ISTZLJO,O,O,X,X,X,X,X
ISTZLOJ,O,O,X,X,O,X,X
ISTZJLO,O,X,X,X,X,X,X
ISTZJOL,O,X,X,X,X,O,X
ISTZOLJ,O,O,X,X,O,O,X
ISTZOJL,O,X,X,X,X,O,X
ISTOLJZ,O,O,O,X,X,O,O
ISTOLZJ,O,O,O,X,O,X,X
ISTOJLZ,O,X,O,X,X,O,O
ISTOJZL,O,X,X,X,X,O,X
ISTOZLJ,O,O,X,X,O,X,X
ISTOZJL,O,X,X,X,X,O,X
ISLTJZO,O,O,O,X,X,X,X
ISLTJOZ,O,O,O,X,X,X,O
ISLTZJO,O,O,O,X,X,X,X
ISLTZOJ,O,O,O,X,O,X,X
ISLTOJZ,O,O,O,X,X,X,O
ISLTOZJ,O,O,O,X,O,X,X
ISLJTZO,O,O,X,X,X,X,X
ISLJTOZ,O,O,O,X,X,X,O
ISLJZTO,O,O,X,X,X,X,X
ISLJZOT,X,X,O,O,O,X,O
ISLJOTZ,O,X,O,X,X,X,O
ISLJOZT,X,X,O,O,O,X,O
ISLZTJO,O,O,X,X,X,X,X
ISLZTOJ,O,O,X,X,O,X,X
ISLZJTO,O,O,X,X,X,X,X
ISLZJOT,O,X,O,O,O,X,O
ISLZOTJ,O,X,X,O,O,X,X
ISLZOJT,O,X,O,O,O,X,O
ISLOTJZ,O,X,O,X,X,X,O
ISLOTZJ,O,X,O,X,O,X,X
ISLOJTZ,O,X,O,X,X,X,O
ISLOJZT,X,X,O,O,O,X,O
ISLOZTJ,X,X,X,O,O,X,X
ISLOZJT,X,X,O,O,O,X,O
ISJTLZO,O,X,O,X,X,X,X
ISJTLOZ,O,X,O,X,X,X,O
ISJTZLO,O,X,X,X,X,X,X
ISJTZOL,O,X,X,X,X,O,X
ISJTOLZ,O,X,O,X,X,O,O
ISJTOZL,O,X,X,X,X,O,X
ISJLTZO,O,O,X,X,X,X,X
ISJLTOZ,O,O,O,X,X,X,O
ISJLZTO,O,O,X,X,X,X,X
ISJLZOT,X,X,O,O,O,X,O
ISJLOTZ,O,X,O,X,X,X,O
ISJLOZT,X,X,O,O,O,X,O
ISJZTLO,O,X,X,X,X,X,X
ISJZTOL,O,X,X,X,X,O,X
ISJZLTO,O,X,X,X,X,X,X
ISJZLOT,O,X,X,O,O,X,O
ISJZOTL,O,X,X,X,X,O,X
ISJZOLT,O,X,X,X,O,O,O
ISJOTLZ,O,X,O,X,X,O,O
ISJOTZL,O,X,X,X,X,O,X
ISJOLTZ,O,X,O,X,X,O,O
ISJOLZT,X,X,O,X,O,X,O
ISJOZTL,X,X,X,X,X,O,X
ISJOZLT,X,X,X,X,O,X,O
ISZTLJO,O,O,X,X,X,X,X
ISZTLOJ,O,O,X,X,O,X,X
ISZTJLO,O,X,X,X,X,X,X
ISZTJOL,O,X,X,X,X,O,X
ISZTOLJ,O,O,X,O,O,O,X
ISZTOJL,O,X,X,X,X,O,X
ISZLTJO,O,O,X,X,X,X,X
ISZLTOJ,O,O,X,X,O,X,X
ISZLJTO,O,O,X,X,X,X,X
ISZLJOT,O,X,X,O,O,X,O
ISZLOTJ,O,X,X,O,O,X,X
ISZLOJT,O,X,X,O,O,X,O
ISZJTLO,O,X,X,X,X,X,X
ISZJTOL,O,X,X,X,X,O,X
ISZJLTO,O,X,X,X,X,X,X
ISZJLOT,O,X,X,O,O,X,O
ISZJOTL,O,X,X,X,X,O,X
ISZJOLT,O,X,X,X,O,O,O
ISZOTLJ,O,X,X,O,O,O,X
ISZOTJL,O,X,X,X,X,O,X
ISZOLTJ,O,X,X,O,O,O,X
ISZOLJT,O,X,X,O,O,O,O
ISZOJTL,O,X,X,X,X,O,X
ISZOJLT,O,X,X,X,O,O,O
ISOTLJZ,O,X,O,X,X,O,O
ISOTLZJ,O,X,O,X,O,X,X
ISOTJLZ,O,X,O,X,X,O,O
ISOTJZL,O,X,X,X,X,O,X
ISOTZLJ,O,X,X,X,O,X,X
ISOTZJL,O,X,X,X,X,O,X
ISOLTJZ,O,X,O,X,X,O,O
ISOLTZJ,O,X,O,X,O,X,X
ISOLJTZ,O,X,O,X,X,O,O
ISOLJZT,X,X,O,O,O,X,O
ISOLZTJ,X,X,X,O,O,X,X
ISOLZJT,X,X,O,O,O,X,O
ISOJTLZ,O,X,O,X,X,O,O
ISOJTZL,O,X,X,X,X,O,X
ISOJLTZ,O,X,O,X,X,O,O
ISOJLZT,X,X,O,X,O,X,O
ISOJZTL,X,X,X,X,X,O,X
ISOJZLT,X,X,X,X,O,X,O
ISOZTLJ,O,X,X,O,O,X,X
ISOZTJL,O,X,X,X,X,O,X
ISOZLTJ,O,X,X,O,O,X,X
ISOZLJT,O,X,X,O,O,X,O
ISOZJTL,O,X,X,X,X,O,X
ISOZJLT,O,X,X,X,O,X,O
IZTLJSO,O,O,X,X,X,X,X
IZTLJOS,O,O,X,O,X,X,X
IZTLSJO,O,O,X,X,X,X,X
IZTLSOJ,O,O,X,X,X,X,X
IZTLOJS,O,O,X,O,X,X,X
IZTLOSJ,O,O,X,O,X,X,X
IZTJLSO,O,O,X,X,X,X,X
IZTJLOS,O,O,X,O,X,X,X
IZTJSLO,O,X,X,X,X,X,X
IZTJSOL,O,X,X,X,X,X,X
IZTJOLS,O,O,X,O,X,X,X
