sequence,v115@9gB8HeB8HeA8HeE8DeB8JeTAJvhFihBGjB8sBRqB3r?BFsB,v115@9gB8HeB8HeA8HeE8DeB8JeeFJvhFXiBTjBUmB1sBCm?BxwB,v115@9gB8HeB8HeA8HeE8DeB8JeeFJvhFRhBqnBTjBfrBUs?BlrB,v115@9gB8HeB8HeA8HeE8DeB8JeiAJvhFGiBTjB8rBRqB3s?BFrB,v115@9gB8HeB8HeA8HeE8DeB8JemAJvhFTjBXlBSrB0nBFn?BxwB,v115@9gB8HeB8HeA8HeE8DeB8JeeFJvhFqlB/mBTjB0nBFn?BxwB,v115@9gB8HeB8HeA8HeE8DeB8JeqHJvhFTjBVqBRmBmlBUs?B3rB,v115@9gB8HeB8HeA8HeE8DeB8JeSIJvhFVqBRmBmlBznBUs?B3rB,v115@9gB8HeB8HeA8HeE8DeB8JeGDJvhFXlBxmB8sBllBas?BTrB
TZIOJSL,O,X,X,X,X,X,X,X,X
TZIOSLJ,O,X,X,X,O,X,O,X,X
TZIOSJL,O,X,X,X,X,X,X,X,X
TZLIJSO,X,X,X,X,X,X,X,O,X
TZLIJOS,X,X,X,X,X,X,O,O,X
TZLISJO,X,X,X,X,X,X,X,O,X
TZLISOJ,X,X,X,X,X,X,O,O,X
TZLIOJS,X,X,X,X,X,X,O,O,X
TZLIOSJ,X,X,X,X,X,X,O,O,X
TZLJISO,X,X,X,X,X,X,X,O,X
TZLJIOS,X,X,X,X,X,X,O,O,X
TZLJSIO,X,X,O,X,X,X,X,X,X
TZLJSOI,X,X,O,X,X,X,X,X,X
TZLJOIS,X,X,X,X,X,X,O,X,X
TZLJOSI,X,X,O,X,X,X,X,X,X
TZLSIJO,X,X,X,X,X,X,X,O,X
TZLSIOJ,X,X,X,X,X,X,O,O,X
TZLSJIO,X,X,O,X,X,X,X,X,X
TZLSJOI,X,X,O,X,X,X,X,X,X
TZLSOIJ,X,X,X,X,X,X,O,X,X
TZLSOJI,X,X,O,X,X,X,X,X,X
TZLOIJS,X,X,X,X,X,X,O,O,X
TZLOISJ,X,X,X,X,X,X,O,O,X
TZLOJIS,X,X,X,X,X,X,O,X,X
TZLOJSI,X,X,O,X,X,X,X,X,X
TZLOSIJ,X,X,X,X,X,X,O,X,X
TZLOSJI,X,X,O,X,X,X,X,X,X
TZJILSO,X,O,X,X,X,O,X,O,X
TZJILOS,O,O,X,X,X,O,O,O,X
TZJISLO,O,O,X,X,X,X,X,X,O
TZJISOL,O,O,X,X,X,X,X,X,O
TZJIOLS,O,O,X,X,X,O,O,X,X
TZJIOSL,O,O,X,X,X,X,X,X,X
TZJLISO,X,X,X,X,X,X,X,O,X
TZJLIOS,X,X,X,X,X,X,O,O,X
TZJLSIO,X,X,O,X,X,X,X,X,X
TZJLSOI,X,X,O,X,X,O,X,X,X
TZJLOIS,X,X,X,X,X,X,O,X,X
TZJLOSI,X,X,O,X,X,O,X,X,X
TZJSILO,X,O,O,X,X,X,X,X,O
TZJSIOL,X,O,X,X,X,X,X,X,O
TZJSLIO,X,X,O,X,X,X,X,X,X
TZJSLOI,X,X,O,X,X,X,X,X,X
TZJSOIL,X,O,X,X,X,X,X,X,O
TZJSOLI,X,X,O,X,X,X,X,X,X
TZJOILS,X,O,X,X,X,O,O,X,X
TZJOISL,X,O,X,X,X,X,X,X,O
TZJOLIS,X,X,X,X,X,X,O,X,X
TZJOLSI,X,X,O,X,X,O,X,X,X
TZJOSIL,X,O,X,X,X,X,X,X,O
TZJOSLI,X,X,O,X,X,X,X,X,X
TZSILJO,X,O,X,X,O,X,X,O,X
TZSILOJ,X,O,X,X,O,X,O,O,X
TZSIJLO,X,O,X,X,X,X,X,X,O
TZSIJOL,X,O,X,X,X,X,X,X,O
TZSIOLJ,X,O,X,X,O,X,O,X,X
TZSIOJL,X,O,X,X,X,X,X,X,X
TZSLIJO,X,X,X,X,X,X,X,O,X
TZSLIOJ,X,X,X,X,X,X,O,O,X
TZSLJIO,X,X,O,X,X,X,X,X,X
TZSLJOI,X,X,O,X,O,X,X,X,X
TZSLOIJ,X,X,X,X,X,X,O,X,X
TZSLOJI,X,X,O,X,O,X,X,X,X
TZSJILO,X,O,O,X,X,X,X,X,O
TZSJIOL,X,O,X,X,X,X,X,X,O
TZSJLIO,X,X,O,X,X,X,X,X,X
TZSJLOI,X,X,O,X,X,X,X,X,X
TZSJOIL,X,O,X,X,X,X,X,X,O
TZSJOLI,X,X,O,X,X,X,X,X,X
TZSOILJ,X,O,X,X,O,X,O,X,X
TZSOIJL,X,O,X,X,X,X,X,X,O
TZSOLIJ,X,X,X,X,X,X,O,X,X
TZSOLJI,X,X,O,X,O,X,X,X,X
TZSOJIL,X,O,X,X,X,X,X,X,O
TZSOJLI,X,X,O,X,X,X,X,X,X
TZOILJS,X,X,X,X,X,X,O,O,X
TZOILSJ,X,X,X,X,X,X,O,O,X
TZOIJLS,X,X,X,X,X,O,O,X,X
TZOIJSL,X,X,X,X,X,X,X,X,O
TZOISLJ,X,X,X,X,O,X,O,X,X
TZOISJL,X,X,X,X,X,X,X,X,O
TZOLIJS,X,X,X,X,X,X,O,O,X
TZOLISJ,X,X,X,X,X,X,O,O,X
TZOLJIS,X,X,X,X,X,X,O,X,X
TZOLJSI,X,X,O,X,X,X,X,X,X
TZOLSIJ,X,X,X,X,X,X,O,X,X
TZOLSJI,X,X,O,X,X,X,X,X,X
TZOJILS,X,O,X,X,X,O,O,X,X
TZOJISL,X,O,X,X,X,X,X,X,O
TZOJLIS,X,X,X,X,X,X,O,X,X
TZOJLSI,X,X,O,X,X,O,X,X,X
TZOJSIL,X,O,X,X,X,X,X,X,O
TZOJSLI,X,X,O,X,X,X,X,X,X
TZOSILJ,X,O,X,X,O,X,O,X,X
TZOSIJL,X,O,X,X,X,X,X,X,O
TZOSLIJ,X,X,X,X,X,X,O,X,X
TZOSLJI,X,X,O,X,O,X,X,X,X
TZOSJIL,X,O,X,X,X,X,X,X,O
TZOSJLI,X,X,O,X,X,X,X,X,X
TOILJSZ,X,O,X,X,X,X,O,O,X
TOILJZS,X,O,X,X,X,X,O,O,X
TOILSJZ,X,O,X,O,X,X,O,O,X
TOILSZJ,X,O,X,O,X,X,O,O,X
TOILZJS,X,O,X,X,X,X,O,O,X
TOILZSJ,X,O,X,X,X,X,O,O,X
TOIJLSZ,X,O,X,X,X,O,O,X,X
TOIJLZS,X,O,X,X,X,O,O,X,X
TOIJSLZ,X,O,X,X,X,X,X,X,X
TOIJSZL,X,O,X,X,X,X,X,X,X
TOIJZLS,X,O,X,X,X,O,X,X,X
TOIJZSL,X,O,X,X,X,X,X,X,X
TOISLJZ,X,O,X,O,O,X,O,X,X
TOISLZJ,X,O,X,O,O,X,O,X,X
TOISJLZ,X,O,X,O,O,X,X,X,X
TOISJZL,X,O,X,X,X,X,X,X,X
TOISZLJ,X,O,X,O,O,X,X,X,X
TOISZJL,X,O,X,O,X,X,X,X,X
TOIZLJS,X,O,X,X,X,X,O,O,X
TOIZLSJ,X,O,X,X,X,X,O,O,X
TOIZJLS,X,O,X,X,X,O,O,X,X
TOIZJSL,X,O,X,X,X,X,X,X,X
TOIZSLJ,X,O,X,X,O,X,O,X,X
TOIZSJL,X,O,X,X,X,X,X,X,X
TOLIJSZ,X,X,X,X,X,X,O,O,X
TOLIJZS,X,X,X,X,X,X,O,O,X
TOLISJZ,X,X,X,X,X,X,O,O,X
TOLISZJ,X,X,X,X,X,X,O,O,X
TOLIZJS,X,X,X,X,X,X,O,O,X
TOLIZSJ,X,X,X,X,X,X,O,O,X
TOLJISZ,X,O,X,X,X,X,O,X,X
TOLJIZS,X,O,X,X,X,X,O,X,X
TOLJSIZ,X,O,O,X,X,X,X,X,X
TOLJSZI,X,X,O,X,X,X,X,X,X
TOLJZIS,X,X,X,X,X,X,O,X,X
TOLJZSI,X,X,O,X,X,X,X,X,X
TOLSIJZ,X,O,X,X,X,X,O,X,X
TOLSIZJ,X,O,X,X,X,X,O,X,X
TOLSJIZ,X,O,O,X,X,X,X,X,X
TOLSJZI,X,X,O,X,X,X,X,X,X
TOLSZIJ,X,X,X,X,X,X,O,X,X
TOLSZJI,X,X,O,X,X,X,X,X,X
TOLZIJS,X,X,X,X,X,X,O,O,X
TOLZISJ,X,X,X,X,X,X,O,O,X
TOLZJIS,X,X,X,X,X,X,O,X,X
TOLZJSI,X,X,O,X,X,X,X,X,X
TOLZSIJ,X,X,X,X,X,X,O,X,X
TOLZSJI,X,X,O,X,X,X,X,X,X
TOJILSZ,X,O,X,X,X,O,O,X,X
TOJILZS,X,O,X,X,X,O,O,X,X
TOJISLZ,X,O,X,X,X,X,X,X,X
TOJISZL,X,O,X,X,X,X,X,X,X
TOJIZLS,X,O,X,X,X,O,X,X,X
TOJIZSL,X,O,X,X,X,X,X,X,X
TOJLISZ,X,O,X,X,X,O,O,X,X
TOJLIZS,X,O,X,X,X,O,O,X,X
TOJLSIZ,X,O,O,X,X,O,X,X,X
TOJLSZI,X,X,O,X,X,O,X,X,X
TOJLZIS,X,X,X,X,X,X,O,X,X
TOJLZSI,X,X,O,X,X,O,X,X,X
TOJSILZ,X,O,X,X,X,X,X,X,X
TOJSIZL,X,O,X,X,X,X,X,X,X
TOJSLIZ,X,O,O,X,X,X,X,X,X
TOJSLZI,X,X,O,X,X,X,X,X,X
TOJSZIL,X,O,X,X,X,X,X,X,O
TOJSZLI,X,X,O,X,X,X,X,X,X
TOJZILS,X,O,X,X,X,O,O,X,X
TOJZISL,X,O,X,X,X,X,X,X,O
TOJZLIS,X,X,X,X,X,X,O,X,X
TOJZLSI,X,X,O,X,X,O,X,X,X
TOJZSIL,X,O,X,X,X,X,X,X,O
TOJZSLI,X,X,O,X,X,X,X,X,X
TOSILJZ,X,O,X,O,O,X,O,X,X
TOSILZJ,X,O,X,O,O,X,O,X,X
TOSIJLZ,X,O,X,O,O,X,X,X,X
TOSIJZL,X,O,X,X,X,X,X,X,X
TOSIZLJ,X,O,X,O,O,X,X,X,X
TOSIZJL,X,O,X,O,X,X,X,X,X
TOSLIJZ,X,O,X,X,O,X,O,X,X
TOSLIZJ,X,O,X,X,O,X,O,X,X
TOSLJIZ,X,O,O,X,O,X,X,X,X
TOSLJZI,X,X,O,X,O,X,X,X,X
TOSLZIJ,X,X,X,X,X,X,O,X,X
TOSLZJI,X,X,O,X,O,X,X,X,X
TOSJILZ,X,O,X,O,O,X,X,X,X
TOSJIZL,X,O,X,X,X,X,X,X,X
TOSJLIZ,X,O,O,X,O,X,X,X,X
TOSJLZI,X,X,O,X,O,X,X,X,X
TOSJZIL,X,O,X,O,X,X,X,X,O
TOSJZLI,X,X,O,X,X,X,X,X,X
TOSZILJ,X,O,X,O,O,X,O,X,X
TOSZIJL,X,O,X,O,X,X,X,X,O
TOSZLIJ,X,X,X,X,X,X,O,X,X
TOSZLJI,X,X,O,X,O,X,X,X,X
TOSZJIL,X,O,X,O,X,X,X,X,O
TOSZJLI,X,X,O,X,X,X,X,X,X
TOZILJS,X,X,X,X,X,X,O,O,X
TOZILSJ,X,X,X,X,X,X,O,O,X
TOZIJLS,X,X,X,X,X,O,O,X,X
TOZIJSL,X,X,X,X,X,X,X,X,O
TOZISLJ,X,X,X,X,O,X,O,X,X
TOZISJL,X,X,X,X,X,X,X,X,O
TOZLIJS,X,X,X,X,X,X,O,O,X
TOZLISJ,X,X,X,X,X,X,O,O,X
TOZLJIS,X,X,X,X,X,X,O,X,X
TOZLJSI,X,X,O,X,X,X,X,X,X
TOZLSIJ,X,X,X,X,X,X,O,X,X
TOZLSJI,X,X,O,X,X,X,X,X,X
TOZJILS,X,O,X,X,X,O,O,X,X
TOZJISL,X,O,X,X,X,X,X,X,O
TOZJLIS,X,X,X,X,X,X,O,X,X
TOZJLSI,X,X,O,X,X,O,X,X,X
TOZJSIL,X,O,X,X,X,X,X,X,O
TOZJSLI,X,X,O,X,X,X,X,X,X
TOZSILJ,X,O,X,X,O,X,O,X,X
TOZSIJL,X,O,X,X,X,X,X,X,O
TOZSLIJ,X,X,X,X,X,X,O,X,X
TOZSLJI,X,X,O,X,O,X,X,X,X
TOZSJIL,X,O,X,X,X,X,X,X,O
TOZSJLI,X,X,O,X,X,X,X,X,X
ITLJSZO,X,O,X,X,X,X,X,O,X
ITLJSOZ,X,O,X,X,X,X,X,O,X
ITLJZSO,X,O,X,X,X,X,X,O,X
ITLJZOS,X,O,X,X,X,X,X,O,X
ITLJOSZ,O,O,X,X,X,X,O,O,X
ITLJOZS,O,O,X,X,X,X,O,O,X
ITLSJZO,X,O,X,X,X,X,X,O,X
ITLSJOZ,O,O,X,O,X,X,X,O,X
ITLSZJO,O,O,X,O,X,X,X,O,X
ITLSZOJ,O,O,X,O,X,X,X,O,X
ITLSOJZ,O,O,X,O,X,X,O,O,X
ITLSOZJ,O,O,X,O,X,X,O,O,X
ITLZJSO,X,O,X,X,X,X,X,O,X
ITLZJOS,O,O,X,X,X,X,O,O,X
ITLZSJO,X,O,X,X,X,X,X,O,X
ITLZSOJ,X,O,X,X,X,X,O,O,X
ITLZOJS,O,O,X,X,X,X,O,O,X
ITLZOSJ,X,O,X,X,X,X,O,O,X
ITLOJSZ,O,O,X,X,X,X,O,O,X
ITLOJZS,O,O,X,X,X,X,O,O,X
ITLOSJZ,O,O,X,O,X,X,O,O,X
ITLOSZJ,O,O,X,O,X,X,O,O,X
ITLOZJS,O,O,X,X,X,X,O,O,X
ITLOZSJ,X,O,X,X,X,X,O,O,X
ITJLSZO,X,O,X,X,X,O,X,O,X
ITJLSOZ,X,O,X,X,X,O,X,O,X
ITJLZSO,X,O,X,X,X,O,X,O,X
ITJLZOS,X,O,X,X,X,O,X,O,X
ITJLOSZ,O,O,X,X,X,O,O,O,X
ITJLOZS,O,O,X,X,X,O,O,O,X
ITJSLZO,X,O,X,X,X,X,X,X,X
ITJSLOZ,O,O,X,X,X,X,X,X,X
ITJSZLO,X,O,X,X,X,X,X,X,X
ITJSZOL,X,O,X,X,X,X,X,X,X
ITJSOLZ,O,O,X,X,X,X,X,X,X
ITJSOZL,X,O,X,X,X,X,X,X,X
ITJZLSO,X,O,X,X,X,O,X,O,X
ITJZLOS,O,O,X,X,X,O,O,O,X
ITJZSLO,O,O,X,X,X,X,X,X,X
ITJZSOL,O,O,X,X,X,X,X,X,X
ITJZOLS,O,O,X,X,X,O,O,X,X
ITJZOSL,O,O,X,X,X,X,X,X,X
ITJOLSZ,O,O,X,X,X,O,O,X,X
ITJOLZS,O,O,X,X,X,O,O,X,X
ITJOSLZ,O,O,X,X,X,X,X,X,X
ITJOSZL,X,O,X,X,X,X,X,X,X
ITJOZLS,O,O,X,X,X,O,X,X,X
ITJOZSL,O,O,X,X,X,X,X,X,X
ITSLJZO,X,O,X,X,O,X,X,O,X
ITSLJOZ,O,O,X,O,O,X,X,O,X
ITSLZJO,O,O,X,O,O,X,X,O,X
ITSLZOJ,O,O,X,O,O,X,X,O,X
ITSLOJZ,O,O,X,O,O,X,O,O,X
ITSLOZJ,O,O,X,O,O,X,O,O,X
ITSJLZO,X,O,X,X,O,X,X,X,X
ITSJLOZ,O,O,X,O,O,X,X,X,X
ITSJZLO,X,O,X,X,X,X,X,X,X
ITSJZOL,X,O,X,X,X,X,X,X,X
ITSJOLZ,O,O,X,O,O,X,X,X,X
ITSJOZL,X,O,X,X,X,X,X,X,X
ITSZLJO,O,O,X,O,O,X,X,O,X
ITSZLOJ,O,O,X,O,O,X,O,O,X
ITSZJLO,O,O,X,O,X,X,X,X,X
ITSZJOL,O,O,X,O,X,X,X,X,X
ITSZOLJ,O,O,X,O,O,X,O,X,X
ITSZOJL,O,O,X,O,X,X,X,X,X
ITSOLJZ,O,O,X,O,O,X,O,X,X
ITSOLZJ,O,O,X,O,O,X,O,X,X
ITSOJLZ,O,O,X,O,O,X,X,X,X
ITSOJZL,X,O,X,X,X,X,X,X,X
ITSOZLJ,O,O,X,O,O,X,X,X,X
ITSOZJL,O,O,X,O,X,X,X,X,X
ITZLJSO,X,O,X,X,X,X,X,O,X
ITZLJOS,O,O,X,X,X,X,O,O,X
ITZLSJO,X,O,X,X,X,X,X,O,X
ITZLSOJ,X,O,X,X,X,X,O,O,X
ITZLOJS,O,O,X,X,X,X,O,O,X
ITZLOSJ,X,O,X,X,X,X,O,O,X
ITZJLSO,X,O,X,X,X,O,X,O,X
ITZJLOS,O,O,X,X,X,O,O,O,X
ITZJSLO,O,O,X,X,X,X,X,X,X
ITZJSOL,O,O,X,X,X,X,X,X,X
ITZJOLS,O,O,X,X,X,O,O,X,X
ITZJOSL,O,O,X,X,X,X,X,X,X
ITZSLJO,O,O,X,X,O,X,X,O,X
ITZSLOJ,O,O,X,X,O,X,O,O,X
ITZSJLO,O,O,X,X,X,X,X,X,X
ITZSJOL,O,O,X,X,X,X,X,X,X
ITZSOLJ,O,O,X,X,O,X,O,X,X
ITZSOJL,O,O,X,X,X,X,X,X,X
ITZOLJS,O,O,X,X,X,X,O,O,X
ITZOLSJ,X,O,X,X,X,X,O,O,X
ITZOJLS,O,O,X,X,X,O,O,X,X
ITZOJSL,O,O,X,X,X,X,X,X,X
ITZOSLJ,O,O,X,X,O,X,O,X,X
ITZOSJL,O,O,X,X,X,X,X,X,X
ITOLJSZ,O,O,X,X,X,X,O,O,X
ITOLJZS,O,O,X,X,X,X,O,O,X
ITOLSJZ,O,O,X,O,X,X,O,O,X
ITOLSZJ,O,O,X,O,X,X,O,O,X
ITOLZJS,O,O,X,X,X,X,O,O,X
ITOLZSJ,X,O,X,X,X,X,O,O,X
ITOJLSZ,O,O,X,X,X,O,O,X,X
ITOJLZS,O,O,X,X,X,O,O,X,X
ITOJSLZ,O,O,X,X,X,X,X,X,X
ITOJSZL,X,O,X,X,X,X,X,X,X
ITOJZLS,O,O,X,X,X,O,X,X,X
ITOJZSL,O,O,X,X,X,X,X,X,X
ITOSLJZ,O,O,X,O,O,X,O,X,X
ITOSLZJ,O,O,X,O,O,X,O,X,X
ITOSJLZ,O,O,X,O,O,X,X,X,X
ITOSJZL,X,O,X,X,X,X,X,X,X
ITOSZLJ,O,O,X,O,O,X,X,X,X
ITOSZJL,O,O,X,O,X,X,X,X,X
ITOZLJS,O,O,X,X,X,X,O,O,X
ITOZLSJ,X,O,X,X,X,X,O,O,X
ITOZJLS,O,O,X,X,X,O,O,X,X
ITOZJSL,O,O,X,X,X,X,X,X,X
ITOZSLJ,O,O,X,X,O,X,O,X,X
ITOZSJL,O,O,X,X,X,X,X,X,X
ILTJSZO,X,O,X,X,X,X,X,O,X
ILTJSOZ,X,O,X,X,X,X,X,O,X
ILTJZSO,X,O,X,X,X,X,X,O,X
ILTJZOS,X,O,X,X,X,X,X,O,X
ILTJOSZ,O,O,X,X,X,X,O,O,X
ILTJOZS,O,O,X,X,X,X,O,O,X
ILTSJZO,X,O,X,X,X,X,X,O,X
ILTSJOZ,O,O,X,O,X,X,X,O,X
ILTSZJO,O,O,X,O,X,X,X,O,X
ILTSZOJ,O,O,X,O,X,X,X,O,X
ILTSOJZ,O,O,X,O,X,X,O,O,X
ILTSOZJ,O,O,X,O,X,X,O,O,X
ILTZJSO,X,O,X,X,X,X,X,O,X
ILTZJOS,O,O,X,X,X,X,O,O,X
ILTZSJO,X,O,X,X,X,X,X,O,X
ILTZSOJ,X,O,X,X,X,X,O,O,X
ILTZOJS,O,O,X,X,X,X,O,O,X
ILTZOSJ,X,O,X,X,X,X,O,O,X
ILTOJSZ,O,O,X,X,X,X,O,O,X
ILTOJZS,O,O,X,X,X,X,O,O,X
ILTOSJZ,O,O,X,O,X,X,O,O,X
ILTOSZJ,O,O,X,O,X,X,O,O,X
ILTOZJS,O,O,X,X,X,X,O,O,X
ILTOZSJ,X,O,X,X,X,X,O,O,X
ILJTSZO,X,O,X,X,X,O,X,X,X
ILJTSOZ,X,O,X,X,X,O,X,X,X
ILJTZSO,X,O,X,X,X,O,X,X,X
ILJTZOS,X,O,X,X,X,O,X,X,X
ILJTOSZ,O,O,X,X,X,O,X,X,X
ILJTOZS,O,O,X,X,X,O,X,X,X
ILJSTZO,X,X,X,X,X,O,X,X,X
ILJSTOZ,O,X,O,O,X,O,X,X,X
ILJSZTO,O,X,O,O,X,O,X,X,X
ILJSZOT,O,X,O,O,X,O,X,X,X
ILJSOTZ,O,X,O,O,X,O,X,X,X
ILJSOZT,O,X,O,O,X,O,X,X,X
ILJZTSO,X,O,X,X,X,O,X,X,X
ILJZTOS,O,O,X,X,X,O,X,X,X
ILJZSTO,O,X,O,X,X,O,X,X,X
ILJZSOT,O,X,O,X,X,O,X,X,X
ILJZOTS,O,X,X,X,X,O,X,X,X
ILJZOST,O,X,O,X,X,O,X,X,X
ILJOTSZ,O,O,X,X,X,O,X,X,X
ILJOTZS,O,O,X,X,X,O,X,X,X
ILJOSTZ,O,X,O,O,X,O,X,X,X
ILJOSZT,O,X,O,O,X,O,X,X,X
ILJOZTS,O,X,X,X,X,O,X,X,X
ILJOZST,O,X,O,X,X,O,X,X,X
ILSTJZO,X,X,X,X,O,X,X,X,X
ILSTJOZ,O,X,X,O,O,X,X,X,X
ILSTZJO,O,X,X,O,O,X,X,X,X
ILSTZOJ,O,X,X,O,O,X,X,X,X
ILSTOJZ,O,X,X,O,O,X,X,X,X
ILSTOZJ,O,X,X,O,O,X,X,X,X
ILSJTZO,X,X,X,X,O,X,X,X,X
ILSJTOZ,O,X,O,O,O,X,X,X,X
ILSJZTO,O,X,O,O,O,X,X,X,X
ILSJZOT,O,X,O,O,O,X,X,X,X
ILSJOTZ,O,X,O,O,O,X,X,X,X
ILSJOZT,O,X,O,O,O,X,X,X,X
ILSZTJO,O,X,X,O,O,X,X,X,X
ILSZTOJ,O,X,X,O,O,X,X,X,X
ILSZJTO,O,X,O,O,O,X,X,X,X
ILSZJOT,O,X,O,O,O,X,X,X,X
ILSZOTJ,O,X,X,O,O,X,X,X,X
ILSZOJT,O,X,O,O,O,X,X,X,X
ILSOTJZ,O,X,X,O,O,X,X,X,X
ILSOTZJ,O,X,X,O,O,X,X,X,X
ILSOJTZ,O,X,O,O,O,X,X,X,X
ILSOJZT,O,X,O,O,O,X,X,X,X
ILSOZTJ,O,X,X,O,O,X,X,X,X
ILSOZJT,O,X,O,O,O,X,X,X,X
ILZTJSO,X,O,X,X,X,X,X,O,X
ILZTJOS,O,O,X,X,X,X,O,O,X
ILZTSJO,X,O,X,X,X,X,X,O,X
ILZTSOJ,X,O,X,X,X,X,O,O,X
ILZTOJS,O,O,X,X,X,X,O,O,X
ILZTOSJ,X,O,X,X,X,X,O,O,X
ILZJTSO,X,O,X,X,X,O,X,X,X
ILZJTOS,O,O,X,X,X,O,X,X,X
ILZJSTO,O,X,O,X,X,O,X,X,X
ILZJSOT,O,X,O,X,X,O,X,X,X
ILZJOTS,O,X,X,X,X,O,X,X,X
ILZJOST,O,X,O,X,X,O,X,X,X
ILZSTJO,O,X,X,O,O,X,X,X,X
ILZSTOJ,O,X,X,O,O,X,X,X,X
ILZSJTO,O,X,O,O,O,X,X,X,X
ILZSJOT,O,X,O,O,O,X,X,X,X
ILZSOTJ,O,X,X,O,O,X,X,X,X
ILZSOJT,O,X,O,O,O,X,X,X,X
ILZOTJS,O,X,X,X,X,X,O,X,X
ILZOTSJ,X,X,X,X,X,X,O,X,X
ILZOJTS,O,X,X,X,X,O,X,X,X
ILZOJST,O,X,O,X,X,O,X,X,X
ILZOSTJ,O,X,X,O,O,X,X,X,X
ILZOSJT,O,X,O,O,O,X,X,X,X
ILOTJSZ,O,O,X,X,X,X,O,X,X
ILOTJZS,O,O,X,X,X,X,O,X,X
ILOTSJZ,O,O,X,O,X,X,O,X,X
ILOTSZJ,O,O,X,O,X,X,O,X,X
ILOTZJS,O,O,X,X,X,X,O,X,X
ILOTZSJ,X,O,X,X,X,X,O,X,X
ILOJTSZ,O,O,X,X,X,O,X,X,X
ILOJTZS,O,O,X,X,X,O,X,X,X
ILOJSTZ,O,X,O,O,X,O,X,X,X
ILOJSZT,O,X,O,O,X,O,X,X,X
ILOJZTS,O,X,X,X,X,O,X,X,X
ILOJZST,O,X,O,X,X,O,X,X,X
ILOSTJZ,O,X,X,O,O,X,X,X,X
ILOSTZJ,O,X,X,O,O,X,X,X,X
ILOSJTZ,O,X,O,O,O,X,X,X,X
ILOSJZT,O,X,O,O,O,X,X,X,X
ILOSZTJ,O,X,X,O,O,X,X,X,X
ILOSZJT,O,X,O,O,O,X,X,X,X
ILOZTJS,O,X,X,X,X,X,O,X,X
ILOZTSJ,X,X,X,X,X,X,O,X,X
ILOZJTS,O,X,X,X,X,O,X,X,X
ILOZJST,O,X,O,X,X,O,X,X,X
ILOZSTJ,O,X,X,O,O,X,X,X,X
ILOZSJT,O,X,O,O,O,X,X,X,X
IJTLSZO,X,O,X,X,X,O,X,X,X
IJTLSOZ,X,O,X,X,X,O,X,X,X
IJTLZSO,X,O,X,X,X,O,X,X,X
IJTLZOS,X,O,X,X,X,O,X,X,X
IJTLOSZ,O,O,X,X,X,O,X,X,X
IJTLOZS,O,O,X,X,X,O,X,X,X
IJTSLZO,X,O,X,X,X,X,X,X,X
IJTSLOZ,O,O,X,X,X,X,X,X,X
IJTSZLO,X,O,X,X,X,X,X,X,X
IJTSZOL,X,O,X,X,X,X,X,X,X
IJTSOLZ,O,O,X,X,X,X,X,X,X
IJTSOZL,X,O,X,X,X,X,X,X,X
IJTZLSO,X,O,X,X,X,O,X,X,X
IJTZLOS,O,O,X,X,X,O,X,X,X
IJTZSLO,O,O,X,X,X,X,X,X,X
IJTZSOL,O,O,X,X,X,X,X,X,X
IJTZOLS,O,O,X,X,X,O,X,X,X
IJTZOSL,O,O,X,X,X,X,X,X,X
IJTOLSZ,O,O,X,X,X,O,X,X,X
IJTOLZS,O,O,X,X,X,O,X,X,X
IJTOSLZ,O,O,X,X,X,X,X,X,X
IJTOSZL,X,O,X,X,X,X,X,X,X
IJTOZLS,O,O,X,X,X,O,X,X,X
IJTOZSL,O,O,X,X,X,X,X,X,X
IJLTSZO,X,O,X,X,X,O,X,X,X
IJLTSOZ,X,O,X,X,X,O,X,X,X
IJLTZSO,X,O,X,X,X,O,X,X,X
IJLTZOS,X,O,X,X,X,O,X,X,X
IJLTOSZ,O,O,X,X,X,O,X,X,X
IJLTOZS,O,O,X,X,X,O,X,X,X
IJLSTZO,X,X,X,X,X,O,X,X,X
IJLSTOZ,O,X,O,O,X,O,X,X,X
IJLSZTO,O,X,O,O,X,O,X,X,X
IJLSZOT,O,X,O,O,X,O,X,X,X
IJLSOTZ,O,X,O,O,X,O,X,X,X
IJLSOZT,O,X,O,O,X,O,X,X,X
IJLZTSO,X,O,X,X,X,O,X,X,X
IJLZTOS,O,O,X,X,X,O,X,X,X
IJLZSTO,O,X,O,X,X,O,X,X,X
IJLZSOT,O,X,O,X,X,O,X,X,X
IJLZOTS,O,X,X,X,X,O,X,X,X
IJLZOST,O,X,O,X,X,O,X,X,X
IJLOTSZ,O,O,X,X,X,O,X,X,X
IJLOTZS,O,O,X,X,X,O,X,X,X
IJLOSTZ,O,X,O,O,X,O,X,X,X
IJLOSZT,O,X,O,O,X,O,X,X,X
IJLOZTS,O,X,X,X,X,O,X,X,X
IJLOZST,O,X,O,X,X,O,X,X,X
IJSTLZO,X,O,X,X,O,X,X,X,X
IJSTLOZ,O,O,O,O,O,X,X,X,X
IJSTZLO,X,O,O,X,X,X,X,X,X
IJSTZOL,X,O,X,X,X,X,X,X,X
IJSTOLZ,O,O,X,O,O,X,X,X,X
IJSTOZL,X,O,X,X,X,X,X,X,X
IJSLTZO,X,X,X,X,O,O,X,X,X
IJSLTOZ,O,X,O,O,O,O,X,X,X
IJSLZTO,O,X,O,O,O,O,X,X,X
