sequence,v115@/gC8GeB8IeB8FeD8DeA8JeZEJvhFqkB3hBcnBTjBWx?BFtB,v115@/gC8GeB8IeB8FeD8DeA8JeZEJvhFqkB3hBFjBTnBct?BWxB,v115@/gC8GeB8IeB8FeD8DeA8JeZEJvhFqkB3hBziB+oB8r?B1xB,v115@/gC8GeB8IeB8FeD8DeA8JeT/IvhF3hBGjBVsBUoBip?BRxB,v115@/gC8GeB8IeB8FeD8DeA8JeTDJvhFOpBxmB0kBFsBXt?BCsB,v115@/gC8GeB8IeB8FeD8DeA8JeT/IvhF1mBxiB3nBctBip?BWxB,v115@/gC8GeB8IeB8FeD8DeA8Je3BJvhFCjB0kBVsBToBOp?BRxB,v115@/gC8GeB8IeB8FeD8DeA8Je3BJvhF0kBxnBOpBzrBFt?BCtB,v115@/gC8GeB8IeB8FeD8DeA8JeT/IvhF1mB8nB+oBXnBip?BRxB,v115@/gC8GeB8IeB8FeD8DeA8JeT/IvhFFiB0mBGoBXoBip?BRxB,v115@/gC8GeB8IeB8FeD8DeA8JeT/IvhFxiBlmB3nBctBip?BWxB,v115@/gC8GeB8IeB8FeD8DeA8JeZEJvhFqkBGjB0mBlnBXt?BzrB,v115@/gC8GeB8IeB8FeD8DeA8Je1GJvhFxiBOpBCoB0kBzr?BXtB
TSIZLJO,X,X,X,O,X,X,X,X,X,X,X,O,X
TSIZLOJ,X,X,X,O,X,X,O,X,X,X,X,O,X
TSIZJLO,X,X,X,O,X,X,X,X,X,X,X,O,X
TSIZJOL,X,X,X,O,O,X,O,X,X,X,X,X,X
TSIZOLJ,X,X,X,O,X,X,O,X,X,X,X,X,X
TSIZOJL,X,X,X,O,O,X,O,X,X,X,X,X,X
TSIOLJZ,X,X,X,O,O,X,O,X,X,X,X,X,X
TSIOLZJ,X,X,X,O,X,X,O,X,X,X,X,X,X
TSIOJLZ,X,X,X,X,O,X,O,X,X,X,X,X,X
TSIOJZL,X,X,X,X,O,X,O,X,X,X,X,X,X
TSIOZLJ,X,X,X,O,X,X,O,X,X,X,X,X,X
TSIOZJL,X,X,X,O,O,X,O,X,X,X,X,X,X
TSLIJZO,O,O,O,O,X,X,X,X,O,X,X,O,O
TSLIJOZ,O,O,O,O,O,X,X,X,O,X,X,O,O
TSLIZJO,O,O,O,O,X,X,X,X,X,X,X,O,O
TSLIZOJ,O,O,O,O,X,X,X,X,X,X,X,O,X
TSLIOJZ,O,X,X,O,O,O,X,X,O,X,X,O,O
TSLIOZJ,O,X,X,O,X,O,X,X,X,X,X,O,X
TSLJIZO,O,O,O,X,X,X,X,X,X,X,X,O,O
TSLJIOZ,O,O,O,X,O,O,X,X,X,X,X,O,O
TSLJZIO,O,O,O,X,X,O,X,X,X,X,X,O,O
TSLJZOI,O,O,O,X,X,O,X,X,O,X,X,O,O
TSLJOIZ,O,O,O,X,O,O,X,X,X,X,X,O,O
TSLJOZI,O,O,O,X,X,O,X,X,O,X,X,O,O
TSLZIJO,O,O,O,X,X,O,X,X,X,X,O,O,O
TSLZIOJ,O,O,O,X,X,O,X,X,X,X,O,O,X
TSLZJIO,O,O,O,X,X,O,X,X,X,X,O,O,O
TSLZJOI,O,O,O,X,X,O,X,X,X,X,O,O,O
TSLZOIJ,O,O,O,X,X,O,X,X,X,X,O,O,X
TSLZOJI,O,X,O,X,X,O,X,X,X,X,O,O,X
TSLOIJZ,O,X,X,O,O,O,X,X,O,X,X,O,O
TSLOIZJ,O,X,X,O,X,O,X,X,X,X,X,O,X
TSLOJIZ,O,X,X,X,O,O,X,X,X,X,X,O,O
TSLOJZI,O,X,X,X,X,O,X,X,O,X,X,O,O
TSLOZIJ,O,X,X,X,X,O,X,X,X,X,O,O,X
TSLOZJI,O,X,X,X,X,O,X,X,X,X,O,O,X
TSJILZO,X,X,X,X,X,X,X,X,X,X,X,O,O
TSJILOZ,X,X,X,X,O,O,X,X,X,X,X,O,O
TSJIZLO,X,X,X,X,X,X,X,X,X,X,X,O,X
TSJIZOL,X,X,X,X,O,X,X,X,X,X,X,X,X
TSJIOLZ,X,X,X,X,O,X,X,X,X,X,X,X,X
TSJIOZL,X,X,X,X,O,X,X,X,X,X,X,X,X
TSJLIZO,O,O,O,X,X,X,X,X,X,X,X,O,O
TSJLIOZ,O,O,O,X,O,O,X,X,X,X,X,O,O
TSJLZIO,O,O,O,X,X,O,X,X,X,X,X,O,O
TSJLZOI,O,O,O,X,X,O,X,X,O,X,X,O,O
TSJLOIZ,O,O,O,X,O,O,X,X,X,X,X,O,O
TSJLOZI,O,O,O,X,X,O,X,X,O,X,X,O,O
TSJZILO,O,O,O,X,X,O,X,X,X,X,X,O,X
TSJZIOL,O,X,O,X,O,O,X,X,X,X,X,X,X
TSJZLIO,O,O,O,X,X,O,X,X,X,X,X,O,O
TSJZLOI,O,O,O,X,X,O,X,X,O,X,X,O,O
TSJZOIL,O,X,O,X,O,O,X,X,X,X,X,X,X
TSJZOLI,O,O,O,X,X,O,X,X,X,X,X,O,X
TSJOILZ,X,X,X,X,O,X,X,X,X,X,X,X,O
TSJOIZL,X,X,X,X,O,X,X,X,X,X,X,X,X
TSJOLIZ,O,O,O,X,O,X,X,X,X,X,X,O,O
TSJOLZI,O,O,O,X,X,X,X,X,X,X,X,O,O
TSJOZIL,O,O,O,X,O,X,X,X,X,X,X,X,X
TSJOZLI,O,O,O,X,X,X,X,X,X,X,X,O,O
TSZILJO,O,O,O,X,X,O,X,X,X,X,O,O,X
TSZILOJ,O,O,O,X,X,O,O,X,X,X,O,O,X
TSZIJLO,X,X,O,X,X,O,X,X,X,X,O,O,X
TSZIJOL,X,X,O,X,O,X,O,X,X,X,X,X,X
TSZIOLJ,O,X,X,X,X,O,O,X,X,X,O,X,X
TSZIOJL,X,X,X,X,O,X,O,X,X,X,X,X,X
TSZLIJO,O,O,O,X,X,O,X,X,X,X,O,O,O
TSZLIOJ,O,O,O,X,X,O,X,X,X,X,O,O,X
TSZLJIO,O,O,O,X,X,O,X,X,X,X,O,O,O
TSZLJOI,O,O,O,X,X,O,X,X,X,X,O,O,O
TSZLOIJ,O,O,O,X,X,O,X,X,X,X,O,O,X
TSZLOJI,O,X,O,X,X,O,X,X,X,X,O,O,X
TSZJILO,X,O,O,X,X,O,X,X,X,X,O,O,X
TSZJIOL,X,X,O,X,O,O,X,X,X,X,X,X,X
TSZJLIO,O,O,O,X,X,O,X,X,X,X,O,O,O
TSZJLOI,O,O,O,X,X,O,X,X,X,X,O,O,O
TSZJOIL,X,X,O,X,O,O,X,X,X,X,X,X,X
TSZJOLI,O,O,O,X,X,O,X,X,X,X,X,O,X
TSZOILJ,O,X,X,X,X,O,X,O,X,X,O,X,X
TSZOIJL,X,X,X,X,O,X,X,O,X,X,X,X,X
TSZOLIJ,O,O,O,X,X,O,X,O,X,X,O,O,X
TSZOLJI,O,X,O,X,X,O,X,X,X,X,O,O,X
TSZOJIL,X,X,O,X,O,X,X,O,X,X,X,X,X
TSZOJLI,O,X,O,X,X,X,X,X,X,X,X,O,X
TSOILJZ,X,X,X,X,O,X,X,X,X,X,X,X,O
TSOILZJ,X,X,X,X,X,X,X,O,X,X,X,X,O
TSOIJLZ,X,X,X,X,O,X,X,X,X,X,X,X,O
TSOIJZL,X,X,X,X,O,X,X,O,X,X,X,X,X
TSOIZLJ,X,X,X,X,X,X,X,O,X,X,X,X,X
TSOIZJL,X,X,X,X,O,X,X,O,X,X,X,X,X
TSOLIJZ,O,X,X,X,O,X,X,X,X,X,X,O,O
TSOLIZJ,O,X,X,X,X,X,X,O,X,X,X,O,O
TSOLJIZ,O,X,X,X,O,X,X,X,X,X,X,O,O
TSOLJZI,O,X,X,X,X,X,X,X,X,X,X,O,O
TSOLZIJ,O,X,X,X,X,X,X,O,X,X,X,O,O
TSOLZJI,O,X,X,X,X,X,X,X,X,X,X,O,O
TSOJILZ,X,X,X,X,O,X,X,X,X,X,X,X,O
TSOJIZL,X,X,X,X,O,X,X,O,X,X,X,X,X
TSOJLIZ,O,X,X,X,O,X,X,X,X,X,X,O,O
TSOJLZI,O,X,X,X,X,X,X,X,X,X,X,O,O
TSOJZIL,O,X,X,X,O,X,X,O,X,X,X,X,X
TSOJZLI,O,X,X,X,X,X,X,X,X,X,X,O,O
TSOZILJ,O,X,X,X,X,X,X,O,X,X,X,X,X
TSOZIJL,X,X,X,X,O,X,X,O,X,X,X,X,X
TSOZLIJ,O,X,X,X,X,X,X,O,X,X,X,O,O
TSOZLJI,O,X,X,X,X,X,X,X,X,X,X,O,O
TSOZJIL,X,X,X,X,O,X,X,O,X,X,X,X,X
TSOZJLI,O,X,X,X,X,X,X,X,X,X,X,O,O
TZILJSO,O,O,O,X,X,O,X,X,O,O,X,X,X
TZILJOS,O,O,O,X,X,O,X,X,O,O,X,X,X
TZILSJO,O,O,O,X,X,O,X,X,X,O,O,X,X
TZILSOJ,O,O,O,X,X,O,O,X,X,O,O,X,X
TZILOJS,O,O,O,X,X,O,O,X,O,O,X,X,X
TZILOSJ,O,O,O,X,X,O,O,X,X,O,O,X,X
TZIJLSO,X,O,O,X,X,O,X,X,O,O,X,X,X
TZIJLOS,X,O,O,X,X,O,X,X,O,O,X,X,X
TZIJSLO,X,O,O,X,X,O,X,X,O,O,X,X,X
TZIJSOL,X,X,O,X,O,O,O,X,X,X,X,X,X
TZIJOLS,X,X,O,X,X,O,O,X,O,O,X,X,X
TZIJOSL,X,X,O,X,X,X,O,X,X,X,X,X,X
TZISLJO,O,O,O,X,X,O,X,X,X,O,O,X,X
TZISLOJ,O,O,O,X,X,O,O,X,X,O,O,X,X
TZISJLO,X,X,O,X,X,O,X,X,X,O,O,X,X
TZISJOL,X,X,O,X,O,X,O,X,X,X,X,X,X
TZISOLJ,O,X,X,X,X,O,O,X,X,X,O,X,X
TZISOJL,X,X,X,X,O,X,O,X,X,X,X,X,X
TZIOLJS,O,X,X,X,X,O,O,X,X,O,X,X,X
TZIOLSJ,O,X,X,X,X,O,O,O,X,O,X,X,X
TZIOJLS,X,X,X,X,X,X,O,X,X,O,X,X,X
TZIOJSL,X,X,X,X,X,X,O,O,X,X,X,X,X
TZIOSLJ,O,X,X,X,X,X,O,O,X,X,X,X,X
TZIOSJL,X,X,X,X,X,X,O,O,X,X,X,X,X
TZLIJSO,O,O,O,X,X,O,X,X,O,O,X,X,X
TZLIJOS,O,O,O,X,X,O,X,X,O,O,X,X,X
TZLISJO,O,O,O,X,X,O,X,X,X,O,O,O,X
TZLISOJ,O,O,O,X,X,O,X,X,X,O,O,O,X
TZLIOJS,O,O,O,X,X,O,X,X,O,O,X,X,X
TZLIOSJ,O,O,O,X,X,O,X,X,X,O,O,X,X
TZLJISO,O,O,O,X,X,O,X,X,X,O,X,X,X
TZLJIOS,O,O,O,X,X,O,X,X,O,O,X,X,X
TZLJSIO,O,O,O,X,X,O,X,X,X,X,O,X,X
TZLJSOI,O,O,O,X,X,O,X,X,O,O,O,X,X
TZLJOIS,O,O,O,X,X,O,X,X,O,O,X,X,X
TZLJOSI,O,O,O,X,X,O,X,X,O,O,O,X,X
TZLSIJO,O,O,O,X,X,O,X,X,X,O,O,O,X
TZLSIOJ,O,O,O,X,X,O,X,X,X,O,O,O,X
TZLSJIO,O,O,O,X,X,O,X,X,X,X,O,O,X
TZLSJOI,O,O,O,X,X,O,X,X,X,O,O,O,X
TZLSOIJ,O,O,O,X,X,O,X,X,X,O,O,O,X
TZLSOJI,O,X,O,X,X,O,X,X,X,O,O,O,X
TZLOIJS,O,O,O,X,X,O,X,X,O,O,X,X,X
TZLOISJ,O,O,O,X,X,O,X,O,X,O,O,X,X
TZLOJIS,O,O,O,X,X,O,X,X,O,O,X,X,X
TZLOJSI,O,O,O,X,X,O,X,X,O,O,O,X,X
TZLOSIJ,O,O,O,X,X,O,X,O,X,O,O,X,X
TZLOSJI,O,X,O,X,X,O,X,X,X,O,O,X,X
TZJILSO,O,O,O,X,X,O,X,X,X,O,X,X,X
TZJILOS,O,O,O,X,X,O,X,X,O,O,X,X,X
TZJISLO,O,O,O,X,X,O,X,X,X,O,X,X,X
TZJISOL,O,X,O,X,O,O,X,X,X,X,X,X,X
TZJIOLS,O,X,O,X,X,O,X,X,X,O,X,X,X
TZJIOSL,O,X,O,X,X,X,X,X,X,X,X,X,X
TZJLISO,O,O,O,X,X,O,X,X,X,O,X,X,X
TZJLIOS,O,O,O,X,X,O,X,X,O,O,X,X,X
TZJLSIO,O,O,O,X,X,O,X,X,X,X,O,X,X
TZJLSOI,O,O,O,X,X,O,X,X,O,O,O,X,X
TZJLOIS,O,O,O,X,X,O,X,X,O,O,X,X,X
TZJLOSI,O,O,O,X,X,O,X,X,O,O,O,X,X
TZJSILO,O,O,O,X,X,O,X,X,X,X,O,X,X
TZJSIOL,O,X,O,X,O,O,X,X,X,X,X,X,X
TZJSLIO,O,O,O,X,X,O,X,X,X,X,O,X,O
TZJSLOI,O,O,O,X,X,O,X,X,O,O,O,X,O
TZJSOIL,O,X,O,X,O,O,X,X,X,X,X,X,X
TZJSOLI,O,O,O,X,X,O,X,X,X,X,X,X,X
TZJOILS,O,O,O,X,X,O,X,X,X,X,X,X,X
TZJOISL,O,O,O,X,X,X,X,O,X,X,X,X,X
TZJOLIS,O,O,O,X,X,O,X,X,O,O,X,X,X
TZJOLSI,O,O,O,X,X,O,X,X,O,O,X,X,X
TZJOSIL,O,O,O,X,X,O,X,O,X,X,X,X,X
TZJOSLI,O,O,O,X,X,O,X,X,X,X,X,X,O
TZSILJO,O,O,O,X,X,O,X,X,X,O,O,O,X
TZSILOJ,O,O,O,X,X,O,O,X,X,O,O,O,X
TZSIJLO,X,X,O,X,X,O,X,X,X,O,O,O,X
TZSIJOL,X,X,O,X,O,X,O,X,X,X,X,X,X
TZSIOLJ,O,X,X,X,X,O,O,X,X,X,O,X,X
TZSIOJL,X,X,X,X,O,X,O,X,X,X,X,X,X
TZSLIJO,O,O,O,X,X,O,X,X,X,O,O,O,O
TZSLIOJ,O,O,O,X,X,O,X,X,X,O,O,O,X
TZSLJIO,O,O,O,X,X,O,X,X,X,X,O,O,O
TZSLJOI,O,O,O,X,X,O,X,X,X,O,O,O,O
TZSLOIJ,O,O,O,X,X,O,X,X,X,O,O,O,X
TZSLOJI,O,X,O,X,X,O,X,X,X,O,O,O,X
TZSJILO,X,O,O,X,X,O,X,X,X,X,O,O,X
TZSJIOL,X,X,O,X,O,O,X,X,X,X,X,X,X
TZSJLIO,O,O,O,X,X,O,X,X,X,X,O,O,O
TZSJLOI,O,O,O,X,X,O,X,X,X,O,O,O,O
TZSJOIL,X,X,O,X,O,O,X,X,X,X,X,X,X
TZSJOLI,O,O,O,X,X,O,X,X,X,X,X,O,X
TZSOILJ,O,X,X,X,X,O,X,O,X,X,O,X,X
TZSOIJL,X,X,X,X,O,X,X,O,X,X,X,X,X
TZSOLIJ,O,O,O,X,X,O,X,O,X,X,O,O,X
TZSOLJI,O,X,O,X,X,O,X,X,X,X,O,O,X
TZSOJIL,X,X,O,X,O,X,X,O,X,X,X,X,X
TZSOJLI,O,X,O,X,X,X,X,X,X,X,X,O,X
TZOILJS,O,X,X,X,X,O,O,X,X,O,X,X,X
TZOILSJ,O,X,X,X,X,O,O,O,X,O,X,X,X
TZOIJLS,X,X,X,X,X,X,O,X,X,O,X,X,X
TZOIJSL,X,X,X,X,X,X,O,O,X,X,X,X,X
TZOISLJ,O,X,X,X,X,X,O,O,X,X,X,X,X
TZOISJL,X,X,X,X,X,X,O,O,X,X,X,X,X
TZOLIJS,O,O,O,X,X,O,X,X,X,O,X,X,X
TZOLISJ,O,O,O,X,X,O,X,O,X,O,O,X,X
TZOLJIS,O,O,O,X,X,O,X,X,X,O,X,X,X
TZOLJSI,O,O,O,X,X,O,X,X,X,O,O,X,X
TZOLSIJ,O,O,O,X,X,O,X,O,X,O,O,X,X
TZOLSJI,O,X,O,X,X,O,X,X,X,O,O,X,X
TZOJILS,O,X,O,X,X,O,X,X,X,X,X,X,X
TZOJISL,O,X,O,X,X,X,X,O,X,X,X,X,X
TZOJLIS,O,O,O,X,X,O,X,X,X,O,X,X,X
TZOJLSI,O,O,O,X,X,O,X,X,X,O,X,X,X
TZOJSIL,O,X,O,X,X,O,X,O,X,X,X,X,X
TZOJSLI,O,O,O,X,X,O,X,X,X,X,X,X,O
TZOSILJ,O,X,X,X,X,O,X,O,X,X,O,X,X
TZOSIJL,X,X,X,X,X,X,X,O,X,X,X,X,X
TZOSLIJ,O,O,O,X,X,O,X,O,X,X,O,X,O
TZOSLJI,O,X,O,X,X,O,X,X,X,X,O,X,O
TZOSJIL,X,X,O,X,X,X,X,O,X,X,X,X,X
TZOSJLI,O,X,O,X,X,X,X,X,X,X,X,X,O
TOILJSZ,O,X,X,X,X,O,O,X,O,X,X,X,X
TOILJZS,O,X,X,X,X,O,O,X,O,X,X,X,X
TOILSJZ,O,X,X,X,X,O,O,X,O,X,X,X,X
TOILSZJ,O,X,X,X,X,O,O,O,X,X,X,X,X
TOILZJS,O,X,X,X,X,O,O,X,O,X,X,X,X
TOILZSJ,O,X,X,X,X,O,O,O,X,X,X,X,X
TOIJLSZ,O,X,X,X,X,X,O,X,O,X,X,X,X
TOIJLZS,O,X,X,X,X,X,O,X,O,X,X,X,X
TOIJSLZ,X,X,X,X,O,X,O,X,X,X,X,X,O
TOIJSZL,X,X,X,X,O,X,O,O,X,X,X,X,X
TOIJZLS,O,X,X,X,X,X,O,X,O,X,X,X,X
TOIJZSL,O,X,X,X,X,X,O,O,X,X,X,X,X
TOISLJZ,X,X,X,X,O,X,O,X,X,X,X,X,O
TOISLZJ,X,X,X,X,X,X,O,O,X,X,X,X,O
TOISJLZ,X,X,X,X,O,X,O,X,X,X,X,X,O
TOISJZL,X,X,X,X,O,X,O,O,X,X,X,X,X
TOISZLJ,X,X,X,X,X,X,O,O,X,X,X,X,X
TOISZJL,X,X,X,X,O,X,O,O,X,X,X,X,X
TOIZLJS,O,X,X,X,X,X,O,X,X,X,X,X,X
TOIZLSJ,O,X,X,X,X,X,O,O,X,X,X,X,X
TOIZJLS,X,X,X,X,X,X,O,X,X,X,X,X,X
TOIZJSL,X,X,X,X,X,X,O,O,X,X,X,X,X
TOIZSLJ,O,X,X,X,X,X,O,O,X,X,X,X,X
TOIZSJL,X,X,X,X,X,X,O,O,X,X,X,X,X
TOLIJSZ,O,X,O,X,X,O,X,X,O,X,X,X,X
TOLIJZS,O,X,O,X,X,O,X,X,O,X,X,X,X
TOLISJZ,O,X,X,X,X,O,X,X,O,X,X,X,X
TOLISZJ,O,X,X,X,X,O,X,O,X,X,X,X,X
TOLIZJS,O,X,O,X,X,O,X,X,O,X,X,X,X
TOLIZSJ,O,X,O,X,X,O,X,O,X,X,O,X,X
TOLJISZ,O,X,O,X,X,O,X,X,O,X,X,X,X
TOLJIZS,O,X,O,X,X,O,X,X,O,X,X,X,X
TOLJSIZ,O,X,O,X,X,O,X,X,X,X,X,X,O
TOLJSZI,O,X,O,X,X,O,X,X,O,X,X,X,O
TOLJZIS,O,X,O,X,X,O,X,X,O,X,X,X,X
TOLJZSI,O,X,O,X,X,O,X,X,O,X,O,X,X
TOLSIJZ,O,X,X,X,X,O,X,X,O,X,X,X,O
TOLSIZJ,O,X,X,X,X,O,X,O,X,X,X,X,O
TOLSJIZ,O,X,X,X,X,O,X,X,X,X,X,X,O
TOLSJZI,O,X,X,X,X,O,X,X,O,X,X,X,O
TOLSZIJ,O,X,X,X,X,O,X,O,X,X,O,X,O
TOLSZJI,O,X,X,X,X,O,X,X,X,X,O,X,O
TOLZIJS,O,X,O,X,X,O,X,X,O,X,X,X,X
TOLZISJ,O,X,O,X,X,O,X,O,X,X,O,X,X
TOLZJIS,O,X,O,X,X,O,X,X,O,X,X,X,X
TOLZJSI,O,X,O,X,X,O,X,X,O,X,O,X,X
TOLZSIJ,O,X,O,X,X,O,X,O,X,X,O,X,X
TOLZSJI,O,X,O,X,X,O,X,X,X,X,O,X,X
TOJILSZ,O,X,O,X,X,O,X,X,X,X,X,X,X
TOJILZS,O,X,O,X,X,O,X,X,X,X,X,X,X
TOJISLZ,X,X,X,X,O,X,X,X,X,X,X,X,O
TOJISZL,X,X,X,X,O,X,X,O,X,X,X,X,X
TOJIZLS,O,X,O,X,X,X,X,X,X,X,X,X,X
TOJIZSL,O,X,O,X,X,X,X,O,X,X,X,X,X
TOJLISZ,O,X,O,X,X,O,X,X,X,X,X,X,X
TOJLIZS,O,X,O,X,X,O,X,X,O,X,X,X,X
TOJLSIZ,O,X,O,X,X,O,X,X,X,X,X,X,O
TOJLSZI,O,X,O,X,X,O,X,X,O,X,X,X,O
TOJLZIS,O,X,O,X,X,O,X,X,O,X,X,X,X
TOJLZSI,O,X,O,X,X,O,X,X,O,X,X,X,X
TOJSILZ,X,X,X,X,O,X,X,X,X,X,X,X,O
TOJSIZL,X,X,X,X,O,X,X,O,X,X,X,X,X
TOJSLIZ,O,X,O,X,O,X,X,X,X,X,X,X,O
TOJSLZI,O,X,O,X,X,X,X,X,X,X,X,X,O
TOJSZIL,O,X,O,X,O,X,X,O,X,X,X,X,X
TOJSZLI,O,X,O,X,X,X,X,X,X,X,X,X,O
TOJZILS,O,X,O,X,X,O,X,X,X,X,X,X,X
TOJZISL,O,X,O,X,X,X,X,O,X,X,X,X,X
TOJZLIS,O,X,O,X,X,O,X,X,O,X,X,X,X
TOJZLSI,O,X,O,X,X,O,X,X,O,X,X,X,X
TOJZSIL,O,X,O,X,X,O,X,O,X,X,X,X,X
TOJZSLI,O,X,O,X,X,O,X,X,X,X,X,X,O
TOSILJZ,X,X,X,X,O,X,X,X,X,X,X,X,O
TOSILZJ,X,X,X,X,X,X,X,O,X,X,X,X,O
TOSIJLZ,X,X,X,X,O,X,X,X,X,X,X,X,O
TOSIJZL,X,X,X,X,O,X,X,O,X,X,X,X,X
TOSIZLJ,X,X,X,X,X,X,X,O,X,X,X,X,X
TOSIZJL,X,X,X,X,O,X,X,O,X,X,X,X,X
TOSLIJZ,O,X,X,X,O,X,X,X,X,X,X,X,O
TOSLIZJ,O,X,X,X,X,X,X,O,X,X,X,X,O
TOSLJIZ,O,X,X,X,O,X,X,X,X,X,X,X,O
TOSLJZI,O,X,X,X,X,X,X,X,X,X,X,X,O
TOSLZIJ,O,X,X,X,X,X,X,O,X,X,X,X,O
TOSLZJI,O,X,X,X,X,X,X,X,X,X,X,X,O
TOSJILZ,X,X,X,X,O,X,X,X,X,X,X,X,O
TOSJIZL,X,X,X,X,O,X,X,O,X,X,X,X,X
TOSJLIZ,O,X,X,X,O,X,X,X,X,X,X,X,O
TOSJLZI,O,X,X,X,X,X,X,X,X,X,X,X,O
TOSJZIL,O,X,X,X,O,X,X,O,X,X,X,X,X
TOSJZLI,O,X,X,X,X,X,X,X,X,X,X,X,O
TOSZILJ,O,X,X,X,X,X,X,O,X,X,X,X,X
TOSZIJL,X,X,X,X,O,X,X,O,X,X,X,X,X
TOSZLIJ,O,X,X,X,X,X,X,O,X,X,X,X,O
TOSZLJI,O,X,X,X,X,X,X,X,X,X,X,X,O
TOSZJIL,X,X,X,X,O,X,X,O,X,X,X,X,X
TOSZJLI,O,X,X,X,X,X,X,X,X,X,X,X,O
TOZILJS,O,X,X,X,X,O,O,X,X,X,X,X,X
TOZILSJ,O,X,X,X,X,O,O,O,X,X,X,X,X
TOZIJLS,X,X,X,X,X,X,O,X,X,X,X,X,X
TOZIJSL,X,X,X,X,X,X,O,O,X,X,X,X,X
TOZISLJ,O,X,X,X,X,X,O,O,X,X,X,X,X
TOZISJL,X,X,X,X,X,X,O,O,X,X,X,X,X
TOZLIJS,O,X,O,X,X,O,X,X,X,X,X,X,X
TOZLISJ,O,X,O,X,X,O,X,O,X,X,O,X,X
TOZLJIS,O,X,O,X,X,O,X,X,X,X,X,X,X
TOZLJSI,O,X,O,X,X,O,X,X,X,X,O,X,X
TOZLSIJ,O,X,O,X,X,O,X,O,X,X,O,X,X
TOZLSJI,O,X,O,X,X,O,X,X,X,X,O,X,X
TOZJILS,O,X,O,X,X,O,X,X,X,X,X,X,X
TOZJISL,O,X,O,X,X,X,X,O,X,X,X,X,X
TOZJLIS,O,X,O,X,X,O,X,X,X,X,X,X,X
TOZJLSI,O,X,O,X,X,O,X,X,X,X,X,X,X
TOZJSIL,O,X,O,X,X,O,X,O,X,X,X,X,X
TOZJSLI,O,X,O,X,X,O,X,X,X,X,X,X,O
TOZSILJ,O,X,X,X,X,O,X,O,X,X,O,X,X
TOZSIJL,X,X,X,X,X,X,X,O,X,X,X,X,X
TOZSLIJ,O,X,O,X,X,O,X,O,X,X,O,X,O
TOZSLJI,O,X,O,X,X,O,X,X,X,X,O,X,O
TOZSJIL,X,X,O,X,X,X,X,O,X,X,X,X,X
TOZSJLI,O,X,O,X,X,X,X,X,X,X,X,X,O
ITLJSZO,O,X,O,O,X,X,X,X,O,X,X,X,X
ITLJSOZ,O,X,O,O,O,O,X,X,O,X,X,X,X
ITLJZSO,O,X,O,O,X,O,X,X,O,O,X,X,X
ITLJZOS,O,X,O,O,X,O,X,X,O,O,X,X,X
ITLJOSZ,O,X,O,O,X,O,X,X,O,X,X,X,X
ITLJOZS,O,X,O,O,X,O,X,X,O,O,X,X,X
ITLSJZO,O,X,O,O,X,X,X,X,O,X,X,X,X
ITLSJOZ,O,X,O,O,O,X,X,X,O,X,X,X,X
ITLSZJO,O,X,O,O,X,X,X,X,X,X,X,X,X
ITLSZOJ,O,X,O,O,X,X,O,X,X,X,X,X,X
ITLSOJZ,O,X,X,O,O,O,O,X,O,X,X,X,X
ITLSOZJ,O,X,X,O,X,O,O,X,X,X,X,X,X
ITLZJSO,O,X,O,O,X,O,X,X,O,O,X,X,X
ITLZJOS,O,X,O,O,X,O,X,X,O,O,X,X,X
ITLZSJO,O,X,O,O,X,O,X,X,X,O,O,X,X
ITLZSOJ,O,X,O,O,X,O,O,X,X,O,O,X,X
ITLZOJS,O,X,O,O,X,O,O,X,O,O,X,X,X
ITLZOSJ,O,X,O,O,X,O,O,X,X,O,O,X,X
ITLOJSZ,O,X,O,O,X,O,O,X,O,X,X,X,X
ITLOJZS,O,X,O,O,X,O,O,X,O,O,X,X,X
ITLOSJZ,O,X,X,O,X,O,O,X,O,X,X,X,X
ITLOSZJ,O,X,X,O,X,O,O,X,X,X,X,X,X
ITLOZJS,O,X,O,O,X,O,O,X,O,O,X,X,X
ITLOZSJ,O,X,O,O,X,O,O,X,X,O,O,X,X
ITJLSZO,O,X,O,O,X,X,X,X,O,X,X,X,X
ITJLSOZ,O,X,O,O,O,O,X,X,O,X,X,X,X
ITJLZSO,O,X,O,O,X,O,X,X,O,O,X,X,X
ITJLZOS,O,X,O,O,X,O,X,X,O,O,X,X,X
ITJLOSZ,O,X,O,O,X,O,X,X,O,X,X,X,X
ITJLOZS,O,X,O,O,X,O,X,X,O,O,X,X,X
ITJSLZO,X,X,X,O,X,X,X,X,O,X,X,X,O
ITJSLOZ,X,X,X,O,O,O,X,X,O,X,X,X,O
ITJSZLO,X,X,X,O,X,X,X,X,O,X,X,X,X
ITJSZOL,X,X,X,O,O,X,O,X,X,X,X,X,X
ITJSOLZ,X,X,X,X,O,X,O,X,X,X,X,X,X
ITJSOZL,X,X,X,X,O,X,O,X,X,X,X,X,X
ITJZLSO,O,X,O,O,X,O,X,X,O,O,X,X,X
ITJZLOS,O,X,O,O,X,O,X,X,O,O,X,X,X
ITJZSLO,O,X,O,O,X,O,X,X,O,O,X,X,X
ITJZSOL,O,X,O,O,O,O,O,X,X,X,X,X,X
ITJZOLS,O,X,O,O,X,O,O,X,O,O,X,X,X
ITJZOSL,O,X,O,O,X,X,O,X,X,X,X,X,X
ITJOLSZ,O,X,O,X,X,O,O,X,O,X,X,X,X
