sequence,v115@RhB8EeB8AeB8AeA8AeE8JeT/IvhFZlBulBfnB0iB6o?BNrB,v115@RhB8EeB8AeB8AeA8AeE8JeT/IvhFigBRiB9oBcqBOr?BXsB,v115@RhB8EeB8AeB8AeA8AeE8JeT/IvhFigBfnBxiBcqBNr?BGtB
TSOLJIZ,O,O,O
TSOLJZI,O,O,O
TSOLZIJ,O,O,O
TSOLZJI,O,O,O
TSOJILZ,O,O,O
TSOJIZL,O,O,O
TSOJLIZ,O,O,O
TSOJLZI,O,O,O
TSOJZIL,O,O,O
TSOJZLI,O,O,O
TSOZILJ,O,O,O
TSOZIJL,O,O,O
TSOZLIJ,O,O,O
TSOZLJI,O,O,O
TSOZJIL,O,O,O
TSOZJLI,O,O,O
TZILJSO,O,O,O
TZILJOS,O,O,O
TZILSJO,O,O,O
TZILSOJ,O,O,O
TZILOJS,O,O,O
TZILOSJ,O,O,O
TZIJLSO,O,O,O
TZIJLOS,O,O,O
TZIJSLO,O,O,O
TZIJSOL,O,O,O
TZIJOLS,O,O,O
TZIJOSL,O,O,O
TZISLJO,O,O,O
TZISLOJ,O,O,O
TZISJLO,O,O,O
TZISJOL,O,O,O
TZISOLJ,O,O,O
TZISOJL,O,O,O
TZIOLJS,O,O,O
TZIOLSJ,O,O,O
TZIOJLS,O,O,O
TZIOJSL,O,O,O
TZIOSLJ,O,O,O
TZIOSJL,O,O,O
TZLIJSO,O,O,O
TZLIJOS,O,O,O
TZLISJO,O,O,O
TZLISOJ,O,O,O
TZLIOJS,O,O,O
TZLIOSJ,O,O,O
TZLJISO,O,O,O
TZLJIOS,O,O,O
TZLJSIO,O,O,O
TZLJSOI,O,O,O
TZLJOIS,O,O,O
TZLJOSI,O,O,O
TZLSIJO,O,O,O
TZLSIOJ,O,O,O
TZLSJIO,O,O,O
TZLSJOI,O,O,O
TZLSOIJ,O,O,O
TZLSOJI,O,O,O
TZLOIJS,O,O,O
TZLOISJ,O,O,O
TZLOJIS,O,O,O
TZLOJSI,O,O,O
TZLOSIJ,O,O,O
TZLOSJI,O,O,O
TZJILSO,O,O,O
TZJILOS,O,O,O
TZJISLO,O,O,O
TZJISOL,O,O,O
TZJIOLS,O,O,O
TZJIOSL,O,O,O
TZJLISO,O,O,O
TZJLIOS,O,O,O
TZJLSIO,O,O,O
TZJLSOI,O,O,O
TZJLOIS,O,O,O
TZJLOSI,O,O,O
TZJSILO,O,O,O
TZJSIOL,O,O,O
TZJSLIO,O,O,O
TZJSLOI,O,O,O
TZJSOIL,O,O,O
TZJSOLI,O,O,O
TZJOILS,O,O,O
TZJOISL,O,O,O
TZJOLIS,O,O,O
TZJOLSI,O,O,O
TZJOSIL,O,O,O
TZJOSLI,O,O,O
TZSILJO,O,O,O
TZSILOJ,O,O,O
TZSIJLO,O,O,O
TZSIJOL,O,O,O
TZSIOLJ,O,O,O
TZSIOJL,O,O,O
TZSLIJO,O,O,O
TZSLIOJ,O,O,O
TZSLJIO,O,O,O
TZSLJOI,O,O,O
TZSLOIJ,O,O,O
TZSLOJI,O,O,O
TZSJILO,O,O,O
TZSJIOL,O,O,O
TZSJLIO,O,O,O
TZSJLOI,O,O,O
TZSJOIL,O,O,O
TZSJOLI,O,O,O
TZSOILJ,O,O,O
TZSOIJL,O,O,O
TZSOLIJ,O,O,O
TZSOLJI,O,O,O
TZSOJIL,O,O,O
TZSOJLI,O,O,O
TZOILJS,O,O,O
TZOILSJ,O,O,O
TZOIJLS,O,O,O
TZOIJSL,O,O,O
TZOISLJ,O,O,O
TZOISJL,O,O,O
TZOLIJS,O,O,O
TZOLISJ,O,O,O
TZOLJIS,O,O,O
TZOLJSI,O,O,O
TZOLSIJ,O,O,O
TZOLSJI,O,O,O
TZOJILS,O,O,O
TZOJISL,O,O,O
TZOJLIS,O,O,O
TZOJLSI,O,O,O
TZOJSIL,O,O,O
TZOJSLI,O,O,O
TZOSILJ,O,O,O
TZOSIJL,O,O,O
TZOSLIJ,O,O,O
TZOSLJI,O,O,O
TZOSJIL,O,O,O
TZOSJLI,O,O,O
TOILJSZ,O,X,X
TOILJZS,O,O,X
TOILSJZ,O,X,X
TOILSZJ,O,O,X
TOILZJS,O,O,X
TOILZSJ,O,O,X
TOIJLSZ,O,X,X
TOIJLZS,O,O,X
TOIJSLZ,O,O,O
TOIJSZL,O,O,O
TOIJZLS,O,O,O
TOIJZSL,O,O,O
TOISLJZ,O,X,X
TOISLZJ,O,O,O
TOISJLZ,O,O,O
TOISJZL,O,O,O
TOISZLJ,O,O,O
TOISZJL,O,O,O
TOIZLJS,O,O,O
TOIZLSJ,O,O,O
TOIZJLS,O,O,O
TOIZJSL,O,O,O
TOIZSLJ,O,O,O
TOIZSJL,O,O,O
TOLIJSZ,O,X,X
TOLIJZS,O,O,X
TOLISJZ,O,X,X
TOLISZJ,O,O,X
TOLIZJS,O,O,X
