sequence,v115@HhB8GeC8FeE8EeB8Jem/IvhFzgBXjBUnBCnBlqBxwB,v115@HhB8GeC8FeE8EeB8Jem/IvhFChBxiBTmB0qBXsBlsB,v115@HhB8GeC8FeE8EeB8Jem/IvhFFiBXjBxqBTsBCrBUrB,v115@HhB8GeC8FeE8EeB8Jex/IvhFFjB2qBCnBTsB8qB3rB,v115@HhB8GeC8FeE8EeB8Jex/IvhF2nB/qBFmBCoBUsBTrB,v115@HhB8GeC8FeE8EeB8Jex/IvhFymBXjBTlB0mB+sBVwB,v115@HhB8GeC8FeE8EeB8Jem/IvhFXjBRmBFmB0qBCsBTsB,v115@HhB8GeC8FeE8EeB8Jem/IvhFzgBRnBCoBlqB3rBUsB,v115@HhB8GeC8FeE8EeB8Jex/IvhFFiBXjBilB+rB8qBTsB,v115@HhB8GeC8FeE8EeB8Jex/IvhF0hBXjBlqBCsBmqBTsB,v115@HhB8GeC8FeE8EeB8Jex/IvhF0hBXjBmqBCsBlqBTsB,v115@HhB8GeC8FeE8EeB8Je3AJvhFFjBxmBmkBzqBCsBUsB,v115@HhB8GeC8FeE8EeB8Je1FJvhF0hBXjBmkBTnBCrBxwB,v115@HhB8GeC8FeE8EeB8Jem/IvhFzgBRnB3mBCoB0qBVxB,v115@HhB8GeC8FeE8EeB8Jex/IvhFzhBFjBilB+sB8qB3rB,v115@HhB8GeC8FeE8EeB8Jem/IvhFChBXjB0qBxrBlrBTsB
ISJLTZO,O,X,X,X,X,X,O,X,O,O,O,X,O,X,X,X
ISJLTOZ,O,X,X,X,X,X,X,O,X,O,O,X,X,X,O,X
ISJLZTO,O,O,X,X,O,X,O,X,X,X,O,X,O,X,X,X
ISJLZOT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ISJLOTZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ISJLOZT,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ISJZTLO,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O
ISJZTOL,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,O
ISJZLTO,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O
ISJZLOT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ISJZOTL,O,O,X,X,O,X,O,X,X,X,X,X,X,O,X,O
ISJZOLT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ISJOTLZ,O,X,O,X,X,O,X,O,X,X,X,X,X,X,O,X
ISJOTZL,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
ISJOLTZ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X
ISJOLZT,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ISJOZTL,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ISJOZLT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZTLJO,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O
ISZTLOJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISZTJLO,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O
ISZTJOL,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,O
ISZTOLJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISZTOJL,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O
ISZLTJO,O,O,X,X,O,X,O,X,X,O,X,X,O,X,X,O
ISZLTOJ,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O
ISZLJTO,O,O,X,X,O,X,O,X,X,X,X,X,O,X,X,O
ISZLJOT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ISZLOTJ,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ISZLOJT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ISZJTLO,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O
ISZJTOL,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,O
ISZJLTO,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O
ISZJLOT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ISZJOTL,O,O,X,X,O,X,O,X,X,X,X,X,X,O,X,O
ISZJOLT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ISZOTLJ,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O
ISZOTJL,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
ISZOLTJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZOLJT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZOJTL,O,O,X,X,O,X,O,X,X,X,X,X,X,O,X,O
ISZOJLT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ISOTLJZ,O,X,O,O,X,O,X,O,X,O,X,X,X,X,X,X
ISOTLZJ,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ISOTJLZ,O,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X
ISOTJZL,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
ISOTZLJ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ISOTZJL,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
ISOLTJZ,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X
ISOLTZJ,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X
ISOLJTZ,X,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X
ISOLJZT,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ISOLZTJ,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
ISOLZJT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOJTLZ,O,X,O,X,X,O,X,O,O,X,X,X,X,X,O,X
ISOJTZL,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
ISOJLTZ,X,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X
ISOJLZT,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ISOJZTL,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ISOJZLT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOZTLJ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ISOZTJL,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ISOZLTJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOZLJT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOZJTL,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ISOZJLT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTLJSO,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,O
IZTLJOS,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X,O
IZTLSJO,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O
IZTLSOJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IZTLOJS,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
IZTLOSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IZTJLSO,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O
IZTJLOS,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O
IZTJSLO,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O
IZTJSOL,O,O,X,X,O,X,O,X,X,X,X,X,X,O,X,O
IZTJOLS,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,O
IZTJOSL,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,O
IZTSLJO,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O
IZTSLOJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IZTSJLO,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O
IZTSJOL,O,O,X,X,O,X,O,X,X,X,X,X,X,O,X,O
IZTSOLJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IZTSOJL,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,O
IZTOLJS,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,O
IZTOLSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IZTOJLS,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,O
IZTOJSL,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,O
IZTOSLJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IZTOSJL,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
IZLTJSO,O,O,X,X,X,X,O,X,X,O,X,X,O,X,X,O
IZLTJOS,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O
IZLTSJO,O,X,X,X,X,X,O,X,X,O,X,X,O,X,X,O
IZLTSOJ,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O
IZLTOJS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IZLTOSJ,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O
IZLJTSO,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,O
IZLJTOS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IZLJSTO,O,O,X,X,O,X,O,X,X,X,X,X,O,X,X,O
IZLJSOT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZLJOTS,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O
IZLJOST,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZLSTJO,O,O,X,X,O,X,O,X,X,O,X,X,O,X,X,O
IZLSTOJ,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O
IZLSJTO,O,O,X,X,O,X,O,X,X,X,X,X,O,X,X,O
IZLSJOT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZLSOTJ,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IZLSOJT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZLOTJS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IZLOTSJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O
IZLOJTS,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O
IZLOJST,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZLOSTJ,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IZLOSJT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZJTLSO,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O
IZJTLOS,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O
IZJTSLO,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O
IZJTSOL,O,O,X,X,O,X,O,X,X,X,X,X,X,O,X,O
IZJTOLS,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,O
IZJTOSL,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,O
IZJLTSO,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O
IZJLTOS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IZJLSTO,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O
IZJLSOT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZJLOTS,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O
IZJLOST,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZJSTLO,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O
IZJSTOL,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,O
IZJSLTO,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O
IZJSLOT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZJSOTL,O,O,X,X,O,X,O,X,X,X,X,X,X,O,X,O
IZJSOLT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZJOTLS,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O
IZJOTSL,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O
IZJOLTS,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,O
IZJOLST,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IZJOSTL,O,O,O,X,O,X,O,X,X,X,X,X,X,O,X,O
IZJOSLT,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IZSTLJO,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O
IZSTLOJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IZSTJLO,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O
IZSTJOL,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,O
IZSTOLJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IZSTOJL,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O
IZSLTJO,O,O,X,X,O,X,O,X,X,O,X,X,O,X,X,O
IZSLTOJ,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O
IZSLJTO,O,O,X,X,O,X,O,X,X,X,X,X,O,X,X,O
IZSLJOT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZSLOTJ,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IZSLOJT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZSJTLO,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O
IZSJTOL,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,O
IZSJLTO,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O
IZSJLOT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZSJOTL,O,O,X,X,O,X,O,X,X,X,X,X,X,O,X,O
IZSJOLT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZSOTLJ,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O
IZSOTJL,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
IZSOLTJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSOLJT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSOJTL,O,O,X,X,O,X,O,X,X,X,X,X,X,O,X,O
IZSOJLT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZOTLJS,O,O,O,O,X,X,X,X,X,X,X,X,X,O,X,O
IZOTLSJ,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O
IZOTJLS,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O
IZOTJSL,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O
IZOTSLJ,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O
IZOTSJL,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O
IZOLTJS,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O
IZOLTSJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
IZOLJTS,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,O
IZOLJST,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IZOLSTJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOLSJT,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IZOJTLS,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O
IZOJTSL,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O
IZOJLTS,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,O
IZOJLST,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IZOJSTL,O,O,O,X,O,X,O,X,X,X,X,X,X,O,X,O
IZOJSLT,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IZOSTLJ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O
IZOSTJL,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O
IZOSLTJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOSLJT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOSJTL,O,O,O,X,O,X,O,X,X,X,X,X,X,O,X,O
IZOSJLT,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IOTLJSZ,O,X,O,O,X,O,X,O,X,O,X,O,X,X,X,X
IOTLJZS,O,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X
IOTLSJZ,O,X,O,O,X,O,X,X,X,O,X,O,X,X,X,X
IOTLSZJ,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X
IOTLZJS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOTLZSJ,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X
IOTJLSZ,O,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X
IOTJLZS,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IOTJSLZ,O,X,O,X,X,O,X,O,O,X,X,O,X,X,X,X
IOTJSZL,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
IOTJZLS,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
IOTJZSL,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
IOTSLJZ,O,X,O,O,X,O,X,X,X,O,X,O,X,X,X,X
IOTSLZJ,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X
IOTSJLZ,O,X,O,X,X,O,X,O,O,X,X,O,X,X,X,X
IOTSJZL,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
IOTSZLJ,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X
IOTSZJL,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IOTZLJS,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X
IOTZLSJ,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IOTZJLS,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
IOTZJSL,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
IOTZSLJ,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X
IOTZSJL,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X
IOLTJSZ,X,X,O,O,X,O,X,X,X,O,X,O,X,X,X,X
IOLTJZS,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
IOLTSJZ,X,X,O,O,X,O,X,X,X,O,X,O,X,X,X,X
IOLTSZJ,X,X,O,X,X,O,X,X,X,X,X,O,O,X,X,X
IOLTZJS,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLTZSJ,X,X,O,X,X,O,X,X,X,X,X,O,O,X,X,X
IOLJTSZ,X,X,O,O,X,X,X,X,O,X,X,O,X,X,X,X
IOLJTZS,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLJSTZ,X,X,O,O,X,X,X,X,O,X,X,O,X,X,X,X
IOLJSZT,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLJZTS,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLJZST,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLSTJZ,X,X,O,O,X,O,X,X,X,O,X,O,X,X,X,X
IOLSTZJ,X,X,O,X,X,O,X,X,X,X,X,O,O,X,X,X
IOLSJTZ,X,X,O,O,X,X,X,X,O,X,X,O,X,X,X,X
IOLSJZT,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLSZTJ,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X
IOLSZJT,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLZTJS,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLZTSJ,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X
IOLZJTS,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLZJST,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLZSTJ,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X
IOLZSJT,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJTLSZ,O,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X
IOJTLZS,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IOJTSLZ,O,X,O,X,X,O,X,O,O,X,X,O,X,X,X,X
IOJTSZL,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
IOJTZLS,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
IOJTZSL,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
IOJLTSZ,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IOJLTZS,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJLSTZ,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IOJLSZT,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJLZTS,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJLZST,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJSTLZ,O,X,O,X,X,O,X,O,O,X,X,O,X,X,X,X
IOJSTZL,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
IOJSLTZ,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IOJSLZT,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJSZTL,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOJSZLT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJZTLS,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IOJZTSL,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IOJZLTS,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X
IOJZLST,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJZSTL,O,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X
IOJZSLT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSTLJZ,O,X,O,O,X,O,X,O,X,O,X,O,X,X,X,X
IOSTLZJ,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X
IOSTJLZ,O,X,O,X,X,O,X,O,O,X,X,O,X,X,X,X
IOSTJZL,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
IOSTZLJ,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X
IOSTZJL,O,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X
IOSLTJZ,X,X,O,O,X,O,X,X,X,O,X,O,X,X,X,X
IOSLTZJ,X,X,O,X,X,O,X,X,X,X,X,O,O,X,X,X
IOSLJTZ,X,X,O,O,X,X,X,X,O,X,X,O,X,X,X,X
IOSLJZT,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOSLZTJ,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X
IOSLZJT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSJTLZ,O,X,O,X,X,O,X,O,O,X,X,O,X,X,X,X
IOSJTZL,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
IOSJLTZ,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IOSJLZT,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOSJZTL,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOSJZLT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSZTLJ,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X
IOSZTJL,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X
IOSZLTJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSZLJT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSZJTL,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOSZJLT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZTLJS,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOZTLSJ,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IOZTJLS,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IOZTJSL,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IOZTSLJ,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X
IOZTSJL,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IOZLTJS,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOZLTSJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZLJTS,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X
IOZLJST,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOZLSTJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZLSJT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZJTLS,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IOZJTSL,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IOZJLTS,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X
IOZJLST,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOZJSTL,O,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X
IOZJSLT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZSTLJ,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X
IOZSTJL,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X
IOZSLTJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZSLJT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZSJTL,O,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X
IOZSJLT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIJSZO,O,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X
LTIJSOZ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
LTIJZSO,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
LTIJZOS,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X
LTIJOSZ,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
LTIJOZS,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
LTISJZO,O,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X
LTISJOZ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTISZJO,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
LTISZOJ,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
LTISOJZ,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
LTISOZJ,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
LTIZJSO,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
LTIZJOS,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X
LTIZSJO,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
LTIZSOJ,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
LTIZOJS,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
LTIZOSJ,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
LTIOJSZ,O,X,X,O,X,O,X,O,X,O,X,O,X,X,X,X
LTIOJZS,O,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X
LTIOSJZ,O,X,X,O,X,O,X,X,X,O,X,O,X,X,X,X
LTIOSZJ,O,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X
LTIOZJS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
