sequence,v115@RhA8AeC8EeG8AeA8Ke2EJvhFXhB8mBziB5oBClBlsB,v115@RhA8AeC8EeG8AeA8Ke/EJvhFUgBymBziB5oBGmBlsB,v115@RhA8AeC8EeG8AeA8Ke/EJvhFUgBFhBeoB5oBzmB6sB,v115@RhA8AeC8EeG8AeA8Ke2EJvhFXhBliB5oBzmB8sBCqB,v115@RhA8AeC8EeG8AeA8Ke/EJvhFUgBFhBxiBzmBCtBGtB,v115@RhA8AeC8EeG8AeA8KeUBJvhFGjBxkB6sB/tBlpBzrB
TZOSIJL,O,O,O,O,O,X
TZOSLIJ,O,O,O,O,O,X
TZOSLJI,O,O,O,O,O,X
TZOSJIL,O,O,O,O,O,X
TZOSJLI,O,O,O,O,O,X
TOILJSZ,X,O,O,X,O,X
TOILJZS,O,X,X,X,X,X
TOILSJZ,X,O,O,X,O,X
TOILSZJ,X,O,O,X,O,X
TOILZJS,O,X,X,X,X,X
TOILZSJ,O,O,X,X,O,X
TOIJLSZ,X,O,O,X,X,X
TOIJLZS,O,X,X,X,X,X
TOIJSLZ,X,O,O,X,X,X
TOIJSZL,O,O,O,O,O,X
TOIJZLS,O,X,X,O,X,X
TOIJZSL,O,X,O,O,X,X
TOISLJZ,X,O,O,X,O,X
TOISLZJ,X,O,O,X,O,X
TOISJLZ,X,O,O,X,X,X
TOISJZL,O,O,O,O,O,X
TOISZLJ,O,O,O,O,O,X
TOISZJL,O,O,O,O,O,X
TOIZLJS,O,X,X,O,X,X
TOIZLSJ,O,O,X,O,X,X
TOIZJLS,O,X,X,O,X,X
TOIZJSL,O,X,O,O,X,X
TOIZSLJ,O,O,O,O,O,X
TOIZSJL,O,O,O,O,O,X
TOLIJSZ,X,O,O,X,O,X
TOLIJZS,O,X,X,X,X,X
TOLISJZ,X,O,O,X,O,X
TOLISZJ,X,O,O,X,O,X
TOLIZJS,O,X,X,X,X,X
TOLIZSJ,O,O,X,X,O,X
TOLJISZ,X,O,O,X,O,X
TOLJIZS,O,X,X,X,X,X
TOLJSIZ,X,O,O,X,O,X
TOLJSZI,X,O,O,X,O,X
TOLJZIS,O,X,X,X,X,X
TOLJZSI,O,X,X,X,X,X
TOLSIJZ,X,O,O,X,O,X
TOLSIZJ,X,O,O,X,O,X
TOLSJIZ,X,O,O,X,O,X
