sequence,v115@RhA8AeC8EeG8AeA8Ke2EJvhFXhB8mBziB5oBClBlsB,v115@RhA8AeC8EeG8AeA8Ke/EJvhFUgBymBziB5oBGmBlsB,v115@RhA8AeC8EeG8AeA8Ke/EJvhFUgBFhBeoB5oBzmB6sB,v115@RhA8AeC8EeG8AeA8Ke2EJvhFXhBliB5oBzmB8sBCqB,v115@RhA8AeC8EeG8AeA8Ke/EJvhFUgBFhBxiBzmBCtBGtB,v115@RhA8AeC8EeG8AeA8KeUBJvhFGjBxkB6sB/tBlpBzrB
LZSITJO,O,O,X,X,X,O
LZSITOJ,O,O,X,X,X,X
LZSIJTO,O,O,X,X,X,O
LZSIJOT,X,X,X,X,X,O
LZSIOTJ,X,O,X,X,O,X
LZSIOJT,X,X,X,X,O,O
LZSJTIO,O,O,X,X,X,O
LZSJTOI,O,O,X,X,X,X
LZSJITO,O,O,X,X,X,O
LZSJIOT,X,X,X,X,X,O
LZSJOTI,X,X,X,X,O,X
LZSJOIT,X,X,X,X,O,O
LZSOTIJ,X,O,X,X,O,X
LZSOTJI,X,O,X,X,O,X
LZSOITJ,X,O,X,X,O,X
LZSOIJT,X,X,X,X,O,O
LZSOJTI,X,X,X,X,O,X
LZSOJIT,X,X,X,X,O,O
LZOTIJS,X,X,X,O,X,X
LZOTISJ,X,X,X,O,O,X
LZOTJIS,X,X,X,O,X,X
LZOTJSI,X,X,X,O,X,X
LZOTSIJ,X,X,X,O,O,X
LZOTSJI,X,X,X,O,O,X
LZOITJS,X,X,X,O,X,X
LZOITSJ,X,X,X,O,O,X
LZOIJTS,X,X,X,O,X,X
LZOIJST,X,X,X,O,X,X
LZOISTJ,X,X,X,O,O,X
LZOISJT,X,X,X,O,O,O
LZOJTIS,X,X,X,O,X,X
LZOJTSI,X,X,X,O,X,X
LZOJITS,X,X,X,O,X,X
LZOJIST,X,X,X,O,X,X
LZOJSTI,X,X,X,O,X,X
LZOJSIT,X,X,X,O,X,X
LZOSTIJ,X,X,X,O,O,X
LZOSTJI,X,X,X,O,O,X
LZOSITJ,X,X,X,O,O,X
LZOSIJT,X,X,X,O,O,O
LZOSJTI,X,X,X,O,O,X
LZOSJIT,X,X,X,O,O,O
LOTIJSZ,X,O,O,X,O,X
LOTIJZS,X,X,X,X,X,X
LOTISJZ,X,O,O,X,O,X
LOTISZJ,X,O,O,X,O,X
LOTIZJS,X,X,X,X,X,X
LOTIZSJ,X,O,X,X,O,X
LOTJISZ,X,O,O,X,O,X
LOTJIZS,X,X,X,X,X,X
LOTJSIZ,X,O,O,X,O,X
LOTJSZI,X,O,O,X,O,X
LOTJZIS,X,X,X,X,X,X
LOTJZSI,X,X,X,X,X,X
LOTSIJZ,X,O,O,X,O,X
LOTSIZJ,X,O,O,X,O,X
LOTSJIZ,X,O,O,X,O,X
LOTSJZI,X,O,O,X,O,X
LOTSZIJ,X,O,O,X,O,X
LOTSZJI,X,O,O,X,O,X
LOTZIJS,X,X,X,X,X,X
LOTZISJ,X,O,X,X,O,X
LOTZJIS,X,X,X,X,X,X
LOTZJSI,X,X,X,X,X,X
LOTZSIJ,X,O,X,X,O,X
LOTZSJI,X,O,X,X,O,X
LOITJSZ,X,O,O,X,O,X
LOITJZS,X,X,X,X,X,X
LOITSJZ,X,O,O,X,O,X
LOITSZJ,X,O,O,X,O,X
LOITZJS,X,X,X,X,X,X
LOITZSJ,X,O,X,X,O,X
LOIJTSZ,X,X,O,X,O,X
LOIJTZS,X,X,X,X,X,X
LOIJSTZ,X,X,O,X,O,X
LOIJSZT,X,X,O,O,O,X
LOIJZTS,X,X,X,O,X,X
LOIJZST,X,X,X,O,X,X
LOISTJZ,X,O,O,X,O,X
LOISTZJ,X,O,O,X,O,X
LOISJTZ,X,X,O,X,O,X
LOISJZT,X,X,O,O,O,O
LOISZTJ,X,O,O,O,O,X
LOISZJT,X,X,O,O,O,O
LOIZTJS,X,X,X,O,X,X
LOIZTSJ,X,X,X,O,O,X
LOIZJTS,X,X,X,O,X,X
LOIZJST,X,X,X,O,X,X
LOIZSTJ,X,X,X,O,O,X
LOIZSJT,X,X,X,O,O,O
LOJTISZ,X,X,O,X,O,X
LOJTIZS,X,X,X,X,X,X
LOJTSIZ,X,X,O,X,O,X
LOJTSZI,X,X,O,X,O,X
LOJTZIS,X,X,X,X,X,X
LOJTZSI,X,X,X,X,X,X
LOJITSZ,X,X,O,X,O,X
LOJITZS,X,X,X,X,X,X
LOJISTZ,X,X,O,X,O,X
LOJISZT,X,X,O,O,O,X
LOJIZTS,X,X,X,O,X,X
LOJIZST,X,X,X,O,X,X
LOJSTIZ,X,X,O,X,O,X
LOJSTZI,X,X,O,X,O,X
LOJSITZ,X,X,O,X,O,X
LOJSIZT,X,X,O,O,O,X
LOJSZTI,X,X,O,O,O,X
LOJSZIT,X,X,O,O,O,X
LOJZTIS,X,X,X,O,X,X
LOJZTSI,X,X,X,O,X,X
LOJZITS,X,X,X,O,X,X
LOJZIST,X,X,X,O,X,X
LOJZSTI,X,X,X,O,X,X
LOJZSIT,X,X,X,O,X,X
LOSTIJZ,X,O,O,X,O,X
LOSTIZJ,X,O,O,X,O,X
LOSTJIZ,X,O,O,X,O,X
LOSTJZI,X,O,O,X,O,X
LOSTZIJ,X,O,O,X,O,X
LOSTZJI,X,O,O,X,O,X
LOSITJZ,X,O,O,X,O,X
LOSITZJ,X,O,O,X,O,X
LOSIJTZ,X,X,O,X,O,X
LOSIJZT,X,X,O,O,O,O
LOSIZTJ,X,O,O,O,O,X
LOSIZJT,X,X,O,O,O,O
LOSJTIZ,X,X,O,X,O,X
LOSJTZI,X,X,O,X,O,X
LOSJITZ,X,X,O,X,O,X
LOSJIZT,X,X,O,O,O,O
LOSJZTI,X,X,O,O,O,X
LOSJZIT,X,X,O,O,O,O
LOSZTIJ,X,O,O,O,O,X
LOSZTJI,X,O,O,O,O,X
LOSZITJ,X,O,O,O,O,X
LOSZIJT,X,X,O,O,O,O
LOSZJTI,X,X,O,O,O,X
LOSZJIT,X,X,O,O,O,O
LOZTIJS,X,X,X,O,X,X
LOZTISJ,X,X,X,O,O,X
LOZTJIS,X,X,X,O,X,X
LOZTJSI,X,X,X,O,X,X
LOZTSIJ,X,X,X,O,O,X
LOZTSJI,X,X,X,O,O,X
LOZITJS,X,X,X,O,X,X
LOZITSJ,X,X,X,O,O,X
LOZIJTS,X,X,X,O,X,X
LOZIJST,X,X,X,O,X,X
LOZISTJ,X,X,X,O,O,X
LOZISJT,X,X,X,O,O,O
LOZJTIS,X,X,X,O,X,X
LOZJTSI,X,X,X,O,X,X
LOZJITS,X,X,X,O,X,X
LOZJIST,X,X,X,O,X,X
LOZJSTI,X,X,X,O,X,X
LOZJSIT,X,X,X,O,X,X
LOZSTIJ,X,X,X,O,O,X
LOZSTJI,X,X,X,O,O,X
LOZSITJ,X,X,X,O,O,X
LOZSIJT,X,X,X,O,O,O
LOZSJTI,X,X,X,O,O,X
LOZSJIT,X,X,X,O,O,O
JTILSZO,X,O,X,X,X,X
JTILSOZ,X,O,X,X,X,X
JTILZSO,O,X,X,X,X,X
JTILZOS,O,X,X,X,X,X
JTILOSZ,X,O,X,X,X,X
JTILOZS,O,X,X,X,X,X
JTISLZO,X,O,X,X,X,X
JTISLOZ,X,O,X,X,X,X
JTISZLO,O,O,X,X,X,X
JTISZOL,O,O,O,X,X,X
JTISOLZ,X,O,O,X,X,X
JTISOZL,O,O,O,O,X,X
JTIZLSO,O,X,X,X,X,X
JTIZLOS,O,X,X,X,X,X
JTIZSLO,O,X,X,X,X,X
JTIZSOL,O,X,X,X,X,X
JTIZOLS,O,X,X,O,X,X
JTIZOSL,O,X,X,O,X,X
JTIOLSZ,X,O,O,X,X,X
JTIOLZS,O,X,X,X,X,X
JTIOSLZ,X,O,O,X,X,X
JTIOSZL,O,O,O,O,X,X
JTIOZLS,O,X,X,O,X,X
JTIOZSL,O,X,O,O,X,X
JTLISZO,X,O,X,X,X,X
JTLISOZ,X,O,X,X,X,X
JTLIZSO,O,X,X,X,X,X
JTLIZOS,O,X,X,X,X,X
JTLIOSZ,X,O,X,X,X,X
JTLIOZS,O,X,X,X,X,X
JTLSIZO,X,O,X,X,X,X
JTLSIOZ,X,O,X,X,X,X
JTLSZIO,X,O,X,X,X,X
JTLSZOI,X,O,X,X,X,X
JTLSOIZ,X,O,X,X,X,X
JTLSOZI,X,O,X,X,X,X
JTLZISO,O,X,X,X,X,X
JTLZIOS,O,X,X,X,X,X
JTLZSIO,O,X,X,X,X,X
JTLZSOI,O,X,X,X,X,X
JTLZOIS,O,X,X,X,X,X
JTLZOSI,O,X,X,X,X,X
JTLOISZ,X,O,X,X,X,X
JTLOIZS,O,X,X,X,X,X
JTLOSIZ,X,O,X,X,X,X
JTLOSZI,X,O,X,X,X,X
JTLOZIS,O,X,X,X,X,X
JTLOZSI,O,X,X,X,X,X
JTSILZO,X,O,X,X,X,X
JTSILOZ,X,O,X,X,X,X
JTSIZLO,O,O,X,X,X,X
JTSIZOL,O,O,O,X,X,X
JTSIOLZ,X,O,O,X,X,X
JTSIOZL,O,O,O,O,X,X
JTSLIZO,X,O,X,X,X,X
JTSLIOZ,X,O,X,X,X,X
JTSLZIO,X,O,X,X,X,X
JTSLZOI,X,O,X,X,X,X
JTSLOIZ,X,O,X,X,X,X
JTSLOZI,X,O,X,X,X,X
JTSZILO,O,O,X,X,X,X
JTSZIOL,O,O,O,X,X,X
JTSZLIO,O,O,X,X,X,X
JTSZLOI,O,O,X,X,X,X
JTSZOIL,O,O,O,X,O,X
JTSZOLI,O,O,O,X,O,X
JTSOILZ,X,O,O,X,X,X
JTSOIZL,O,O,O,O,O,X
JTSOLIZ,X,O,O,X,O,X
JTSOLZI,X,O,O,X,O,X
JTSOZIL,O,O,O,O,O,X
JTSOZLI,O,O,O,O,O,X
JTZILSO,O,X,X,X,X,X
JTZILOS,O,X,X,X,X,X
JTZISLO,O,X,X,X,X,X
JTZISOL,O,X,X,X,X,X
JTZIOLS,O,X,X,O,X,X
JTZIOSL,O,X,X,O,X,X
JTZLISO,O,X,X,X,X,X
JTZLIOS,O,X,X,X,X,X
JTZLSIO,O,X,X,X,X,X
JTZLSOI,O,X,X,X,X,X
JTZLOIS,O,X,X,X,X,X
JTZLOSI,O,X,X,X,X,X
JTZSILO,O,X,X,X,X,X
JTZSIOL,O,X,X,X,X,X
JTZSLIO,O,X,X,X,X,X
JTZSLOI,O,X,X,X,X,X
JTZSOIL,O,X,X,X,X,X
JTZSOLI,O,X,X,X,X,X
JTZOILS,O,X,X,O,X,X
JTZOISL,O,X,X,O,X,X
JTZOLIS,O,X,X,O,X,X
JTZOLSI,O,X,X,O,X,X
JTZOSIL,O,X,X,O,X,X
JTZOSLI,O,X,X,O,X,X
JTOILSZ,X,O,O,X,X,X
JTOILZS,O,X,X,X,X,X
JTOISLZ,X,O,O,X,X,X
JTOISZL,O,O,O,O,O,X
JTOIZLS,O,X,X,O,X,X
JTOIZSL,O,X,O,O,X,X
JTOLISZ,X,O,O,X,O,X
JTOLIZS,O,X,X,X,X,X
JTOLSIZ,X,O,O,X,O,X
JTOLSZI,X,O,O,X,O,X
JTOLZIS,O,X,X,X,X,X
JTOLZSI,O,X,X,X,X,X
JTOSILZ,X,O,O,X,X,X
JTOSIZL,O,O,O,O,O,X
JTOSLIZ,X,O,O,X,O,X
JTOSLZI,X,O,O,X,O,X
JTOSZIL,O,O,O,O,O,X
JTOSZLI,O,O,O,O,O,X
JTOZILS,O,X,X,O,X,X
JTOZISL,O,X,O,O,X,X
JTOZLIS,O,X,X,O,X,X
JTOZLSI,O,X,X,O,X,X
JTOZSIL,O,X,O,O,X,X
JTOZSLI,O,X,O,O,X,X
JITLSZO,X,O,X,X,X,X
JITLSOZ,X,O,X,X,X,X
JITLZSO,O,X,X,X,X,X
JITLZOS,O,X,X,X,X,X
JITLOSZ,X,O,X,X,X,X
JITLOZS,O,X,X,X,X,X
JITSLZO,X,O,X,X,X,X
JITSLOZ,X,O,X,X,X,X
JITSZLO,O,O,X,X,X,X
JITSZOL,O,O,O,X,X,X
JITSOLZ,X,O,O,X,X,X
JITSOZL,O,O,O,O,X,X
JITZLSO,O,X,X,X,X,X
JITZLOS,O,X,X,X,X,X
JITZSLO,O,X,X,X,X,X
JITZSOL,O,X,X,X,X,X
JITZOLS,O,X,X,O,X,X
JITZOSL,O,X,X,O,X,X
JITOLSZ,X,O,O,X,X,X
JITOLZS,O,X,X,X,X,X
JITOSLZ,X,O,O,X,X,X
JITOSZL,O,O,O,O,X,X
JITOZLS,O,X,X,O,X,X
JITOZSL,O,X,O,O,X,X
JILTSZO,X,O,X,X,X,X
JILTSOZ,X,O,X,X,X,X
JILTZSO,O,X,X,X,X,X
JILTZOS,O,X,X,X,X,X
JILTOSZ,X,O,X,X,X,X
JILTOZS,O,X,X,X,X,X
JILSTZO,X,O,X,X,X,O
JILSTOZ,X,O,X,X,X,X
JILSZTO,O,O,X,X,X,O
JILSZOT,X,X,O,X,X,O
JILSOTZ,X,X,O,X,X,X
JILSOZT,X,X,O,O,X,O
JILZTSO,O,X,X,X,X,X
JILZTOS,O,X,X,X,X,X
JILZSTO,O,X,X,X,X,O
JILZSOT,X,X,X,X,X,O
JILZOTS,X,X,X,O,X,X
JILZOST,X,X,X,O,X,X
JILOTSZ,X,X,O,X,X,X
JILOTZS,X,X,X,X,X,X
JILOSTZ,X,X,O,X,X,X
JILOSZT,X,X,O,O,X,X
JILOZTS,X,X,X,O,X,X
JILOZST,X,X,X,O,X,X
JISTLZO,X,O,X,X,X,O
JISTLOZ,X,O,X,X,X,X
JISTZLO,O,O,X,X,X,X
JISTZOL,O,O,O,X,X,X
JISTOLZ,X,O,O,X,X,X
JISTOZL,O,O,O,O,X,X
JISLTZO,X,O,X,X,X,O
JISLTOZ,X,O,X,X,X,X
JISLZTO,O,O,X,X,X,O
JISLZOT,X,X,O,X,X,O
JISLOTZ,X,X,O,X,X,X
JISLOZT,X,X,O,O,X,O
JISZTLO,O,O,X,X,X,X
JISZTOL,O,O,O,X,X,X
JISZLTO,O,O,X,X,X,O
JISZLOT,X,X,O,X,X,O
JISZOTL,O,X,O,O,X,X
JISZOLT,X,X,O,O,X,X
JISOTLZ,X,X,O,X,X,X
JISOTZL,X,X,O,O,X,X
JISOLTZ,X,X,O,X,X,X
JISOLZT,X,X,O,O,X,O
JISOZTL,O,X,O,O,X,X
JISOZLT,X,X,O,O,X,X
JIZTLSO,O,X,X,X,X,X
JIZTLOS,O,X,X,X,X,X
JIZTSLO,O,X,X,X,X,X
JIZTSOL,O,X,X,X,X,X
JIZTOLS,O,X,X,O,X,X
JIZTOSL,O,X,X,O,X,X
JIZLTSO,O,X,X,X,X,X
JIZLTOS,O,X,X,X,X,X
JIZLSTO,O,X,X,X,X,O
JIZLSOT,X,X,X,X,X,O
JIZLOTS,X,X,X,O,X,X
JIZLOST,X,X,X,O,X,X
JIZSTLO,O,X,X,X,X,X
JIZSTOL,O,X,O,X,X,X
JIZSLTO,O,X,X,X,X,O
JIZSLOT,X,X,O,X,X,O
JIZSOTL,O,X,O,O,X,X
JIZSOLT,X,X,O,O,X,X
JIZOTLS,O,X,X,O,X,X
JIZOTSL,O,X,O,O,X,X
JIZOLTS,X,X,X,O,X,X
JIZOLST,X,X,X,O,X,X
JIZOSTL,O,X,O,O,X,X
JIZOSLT,X,X,O,O,X,X
JIOTLSZ,X,X,O,X,X,X
JIOTLZS,O,X,X,X,X,X
JIOTSLZ,X,X,O,X,X,X
JIOTSZL,O,X,O,O,X,X
JIOTZLS,O,X,X,O,X,X
JIOTZSL,O,X,O,O,X,X
JIOLTSZ,X,X,O,X,X,X
JIOLTZS,X,X,X,X,X,X
JIOLSTZ,X,X,O,X,X,X
JIOLSZT,X,X,O,O,X,X
JIOLZTS,X,X,X,O,X,X
JIOLZST,X,X,X,O,X,X
JIOSTLZ,X,X,O,X,X,X
JIOSTZL,X,X,O,O,X,X
JIOSLTZ,X,X,O,X,X,X
JIOSLZT,X,X,O,O,X,X
JIOSZTL,O,X,O,O,X,X
JIOSZLT,X,X,O,O,X,X
JIOZTLS,O,X,X,O,X,X
JIOZTSL,O,X,O,O,X,X
JIOZLTS,X,X,X,O,X,X
JIOZLST,X,X,X,O,X,X
JIOZSTL,O,X,O,O,X,X
JIOZSLT,X,X,O,O,X,X
JLTISZO,X,O,X,X,X,X
JLTISOZ,X,O,X,X,X,X
JLTIZSO,O,X,X,X,X,X
JLTIZOS,O,X,X,X,X,X
JLTIOSZ,X,O,X,X,X,X
JLTIOZS,O,X,X,X,X,X
JLTSIZO,X,O,X,X,X,X
JLTSIOZ,X,O,X,X,X,X
JLTSZIO,X,O,X,X,X,X
JLTSZOI,X,O,X,X,X,X
JLTSOIZ,X,O,X,X,X,X
JLTSOZI,X,O,X,X,X,X
JLTZISO,O,X,X,X,X,X
JLTZIOS,O,X,X,X,X,X
JLTZSIO,O,X,X,X,X,X
JLTZSOI,O,X,X,X,X,X
JLTZOIS,O,X,X,X,X,X
JLTZOSI,O,X,X,X,X,X
JLTOISZ,X,O,X,X,X,X
JLTOIZS,O,X,X,X,X,X
JLTOSIZ,X,O,X,X,X,X
JLTOSZI,X,O,X,X,X,X
JLTOZIS,O,X,X,X,X,X
JLTOZSI,O,X,X,X,X,X
JLITSZO,X,O,X,X,X,X
JLITSOZ,X,O,X,X,X,X
JLITZSO,O,X,X,X,X,X
JLITZOS,O,X,X,X,X,X
JLITOSZ,X,O,X,X,X,X
JLITOZS,O,X,X,X,X,X
JLISTZO,X,O,X,X,X,O
JLISTOZ,X,O,X,X,X,X
JLISZTO,O,O,X,X,X,O
JLISZOT,X,X,O,X,X,O
JLISOTZ,X,X,O,X,X,X
JLISOZT,X,X,O,O,X,O
JLIZTSO,O,X,X,X,X,X
JLIZTOS,O,X,X,X,X,X
JLIZSTO,O,X,X,X,X,O
JLIZSOT,X,X,X,X,X,O
JLIZOTS,X,X,X,O,X,X
JLIZOST,X,X,X,O,X,X
JLIOTSZ,X,X,O,X,X,X
JLIOTZS,X,X,X,X,X,X
JLIOSTZ,X,X,O,X,X,X
JLIOSZT,X,X,O,O,X,X
JLIOZTS,X,X,X,O,X,X
JLIOZST,X,X,X,O,X,X
JLSTIZO,X,O,X,X,X,O
JLSTIOZ,X,O,X,X,X,X
JLSTZIO,X,O,X,X,X,O
JLSTZOI,X,O,X,X,X,X
JLSTOIZ,X,O,X,X,X,X
JLSTOZI,X,O,X,X,X,X
JLSITZO,X,O,X,X,X,O
JLSITOZ,X,O,X,X,X,X
JLSIZTO,O,O,X,X,X,O
JLSIZOT,X,X,O,X,X,O
JLSIOTZ,X,X,O,X,X,X
JLSIOZT,X,X,O,O,X,O
JLSZTIO,O,O,X,X,X,O
JLSZTOI,O,O,X,X,X,X
JLSZITO,O,O,X,X,X,O
JLSZIOT,X,X,O,X,X,O
JLSZOTI,X,X,O,X,O,X
JLSZOIT,X,X,O,X,O,O
JLSOTIZ,X,X,O,X,O,X
JLSOTZI,X,X,O,X,O,X
JLSOITZ,X,X,O,X,O,X
JLSOIZT,X,X,O,O,O,O
JLSOZTI,X,X,O,O,O,X
JLSOZIT,X,X,O,O,O,O
JLZTISO,O,X,X,X,X,X
JLZTIOS,O,X,X,X,X,X
JLZTSIO,O,X,X,X,X,X
JLZTSOI,O,X,X,X,X,X
JLZTOIS,O,X,X,X,X,X
JLZTOSI,O,X,X,X,X,X
JLZITSO,O,X,X,X,X,X
JLZITOS,O,X,X,X,X,X
JLZISTO,O,X,X,X,X,O
JLZISOT,X,X,X,X,X,O
JLZIOTS,X,X,X,O,X,X
JLZIOST,X,X,X,O,X,X
JLZSTIO,O,X,X,X,X,O
JLZSTOI,O,X,X,X,X,X
JLZSITO,O,X,X,X,X,O
JLZSIOT,X,X,X,X,X,O
JLZSOTI,X,X,X,X,X,X
JLZSOIT,X,X,X,X,X,O
JLZOTIS,X,X,X,O,X,X
JLZOTSI,X,X,X,O,X,X
JLZOITS,X,X,X,O,X,X
JLZOIST,X,X,X,O,X,X
JLZOSTI,X,X,X,O,X,X
JLZOSIT,X,X,X,O,X,X
JLOTISZ,X,X,O,X,O,X
JLOTIZS,X,X,X,X,X,X
JLOTSIZ,X,X,O,X,O,X
JLOTSZI,X,X,O,X,O,X
JLOTZIS,X,X,X,X,X,X
JLOTZSI,X,X,X,X,X,X
JLOITSZ,X,X,O,X,O,X
JLOITZS,X,X,X,X,X,X
JLOISTZ,X,X,O,X,O,X
JLOISZT,X,X,O,O,O,X
JLOIZTS,X,X,X,O,X,X
JLOIZST,X,X,X,O,X,X
JLOSTIZ,X,X,O,X,O,X
JLOSTZI,X,X,O,X,O,X
JLOSITZ,X,X,O,X,O,X
JLOSIZT,X,X,O,O,O,X
JLOSZTI,X,X,O,O,O,X
JLOSZIT,X,X,O,O,O,X
JLOZTIS,X,X,X,O,X,X
JLOZTSI,X,X,X,O,X,X
JLOZITS,X,X,X,O,X,X
JLOZIST,X,X,X,O,X,X
JLOZSTI,X,X,X,O,X,X
JLOZSIT,X,X,X,O,X,X
JSTILZO,X,O,X,X,X,O
JSTILOZ,X,O,X,X,X,X
JSTIZLO,O,O,X,X,X,X
JSTIZOL,O,O,O,X,X,X
JSTIOLZ,X,O,O,X,X,X
JSTIOZL,O,O,O,O,X,X
JSTLIZO,X,O,X,X,X,O
JSTLIOZ,X,O,X,X,X,X
JSTLZIO,X,O,X,X,X,O
JSTLZOI,X,O,X,X,X,X
JSTLOIZ,X,O,X,X,X,X
JSTLOZI,X,O,X,X,X,X
JSTZILO,O,O,X,X,X,X
JSTZIOL,O,O,O,X,X,X
JSTZLIO,O,O,X,X,X,X
JSTZLOI,O,O,X,X,X,X
JSTZOIL,O,O,O,X,O,X
JSTZOLI,O,O,O,X,O,X
JSTOILZ,X,O,O,X,X,X
JSTOIZL,O,O,O,O,O,X
JSTOLIZ,X,O,O,X,O,X
JSTOLZI,X,O,O,X,O,X
JSTOZIL,O,O,O,O,O,X
JSTOZLI,O,O,O,O,O,X
JSITLZO,X,O,X,X,X,O
JSITLOZ,X,O,X,X,X,X
JSITZLO,O,O,X,X,X,X
JSITZOL,O,O,O,X,X,X
JSITOLZ,X,O,O,X,X,X
JSITOZL,O,O,O,O,X,X
JSILTZO,X,O,X,X,X,O
JSILTOZ,X,O,X,X,X,X
JSILZTO,O,O,X,X,X,O
JSILZOT,X,X,O,X,X,O
JSILOTZ,X,X,O,X,X,X
JSILOZT,X,X,O,O,X,O
JSIZTLO,O,O,X,X,X,X
JSIZTOL,O,O,O,X,X,X
JSIZLTO,O,O,X,X,X,O
JSIZLOT,X,X,O,X,X,O
JSIZOTL,O,X,O,O,X,X
JSIZOLT,X,X,O,O,X,X
JSIOTLZ,X,X,O,X,X,X
JSIOTZL,X,X,O,O,X,X
JSIOLTZ,X,X,O,X,X,X
JSIOLZT,X,X,O,O,X,O
JSIOZTL,O,X,O,O,X,X
JSIOZLT,X,X,O,O,X,X
JSLTIZO,X,O,X,X,X,O
JSLTIOZ,X,O,X,X,X,X
JSLTZIO,X,O,X,X,X,O
JSLTZOI,X,O,X,X,X,X
JSLTOIZ,X,O,X,X,X,X
JSLTOZI,X,O,X,X,X,X
JSLITZO,X,O,X,X,X,O
JSLITOZ,X,O,X,X,X,X
JSLIZTO,O,O,X,X,X,O
JSLIZOT,X,X,O,X,X,O
JSLIOTZ,X,X,O,X,X,X
JSLIOZT,X,X,O,O,X,O
JSLZTIO,O,O,X,X,X,O
JSLZTOI,O,O,X,X,X,X
JSLZITO,O,O,X,X,X,O
JSLZIOT,X,X,O,X,X,O
JSLZOTI,X,X,O,X,O,X
JSLZOIT,X,X,O,X,O,O
JSLOTIZ,X,X,O,X,O,X
JSLOTZI,X,X,O,X,O,X
JSLOITZ,X,X,O,X,O,X
JSLOIZT,X,X,O,O,O,O
JSLOZTI,X,X,O,O,O,X
JSLOZIT,X,X,O,O,O,O
JSZTILO,O,O,X,X,X,X
JSZTIOL,O,O,O,X,X,X
JSZTLIO,O,O,X,X,X,X
JSZTLOI,O,O,X,X,X,X
JSZTOIL,O,O,O,X,O,X
JSZTOLI,O,O,O,X,O,X
JSZITLO,O,O,X,X,X,X
JSZITOL,O,O,O,X,X,X
JSZILTO,O,O,X,X,X,O
JSZILOT,X,X,O,X,X,O
JSZIOTL,O,X,O,O,X,X
JSZIOLT,X,X,O,O,X,X
JSZLTIO,O,O,X,X,X,O
JSZLTOI,O,O,X,X,X,X
JSZLITO,O,O,X,X,X,O
JSZLIOT,X,X,O,X,X,O
JSZLOTI,X,X,O,X,O,X
JSZLOIT,X,X,O,X,O,O
JSZOTIL,O,X,O,O,O,X
JSZOTLI,O,X,O,O,O,X
JSZOITL,O,X,O,O,O,X
JSZOILT,X,X,O,O,X,X
JSZOLTI,X,X,O,O,O,X
JSZOLIT,X,X,O,O,O,X
JSOTILZ,X,X,O,X,X,X
JSOTIZL,X,X,O,O,O,X
JSOTLIZ,X,X,O,X,O,X
JSOTLZI,X,X,O,X,O,X
JSOTZIL,X,X,O,O,O,X
JSOTZLI,X,X,O,O,O,X
JSOITLZ,X,X,O,X,X,X
JSOITZL,X,X,O,O,O,X
JSOILTZ,X,X,O,X,X,X
JSOILZT,X,X,O,O,X,O
JSOIZTL,O,X,O,O,O,X
JSOIZLT,X,X,O,O,X,X
JSOLTIZ,X,X,O,X,O,X
JSOLTZI,X,X,O,X,O,X
JSOLITZ,X,X,O,X,O,X
JSOLIZT,X,X,O,O,O,O
JSOLZTI,X,X,O,O,O,X
JSOLZIT,X,X,O,O,O,O
JSOZTIL,O,X,O,O,O,X
JSOZTLI,O,X,O,O,O,X
JSOZITL,O,X,O,O,O,X
JSOZILT,X,X,O,O,X,X
JSOZLTI,X,X,O,O,O,X
JSOZLIT,X,X,O,O,O,X
JZTILSO,O,X,X,X,X,X
JZTILOS,O,X,X,X,X,X
JZTISLO,O,X,X,X,X,X
JZTISOL,O,X,X,X,X,X
JZTIOLS,O,X,X,O,X,X
JZTIOSL,O,X,X,O,X,X
JZTLISO,O,X,X,X,X,X
JZTLIOS,O,X,X,X,X,X
JZTLSIO,O,X,X,X,X,X
JZTLSOI,O,X,X,X,X,X
JZTLOIS,O,X,X,X,X,X
JZTLOSI,O,X,X,X,X,X
JZTSILO,O,X,X,X,X,X
JZTSIOL,O,X,X,X,X,X
JZTSLIO,O,X,X,X,X,X
JZTSLOI,O,X,X,X,X,X
JZTSOIL,O,X,X,X,X,X
JZTSOLI,O,X,X,X,X,X
JZTOILS,O,X,X,O,X,X
JZTOISL,O,X,X,O,X,X
JZTOLIS,O,X,X,O,X,X
JZTOLSI,O,X,X,O,X,X
JZTOSIL,O,X,X,O,X,X
JZTOSLI,O,X,X,O,X,X
JZITLSO,O,X,X,X,X,X
JZITLOS,O,X,X,X,X,X
JZITSLO,O,X,X,X,X,X
JZITSOL,O,X,X,X,X,X
JZITOLS,O,X,X,O,X,X
JZITOSL,O,X,X,O,X,X
JZILTSO,O,X,X,X,X,X
JZILTOS,O,X,X,X,X,X
JZILSTO,O,X,X,X,X,O
JZILSOT,X,X,X,X,X,O
JZILOTS,X,X,X,O,X,X
JZILOST,X,X,X,O,X,X
JZISTLO,O,X,X,X,X,X
JZISTOL,O,X,O,X,X,X
JZISLTO,O,X,X,X,X,O
JZISLOT,X,X,O,X,X,O
JZISOTL,O,X,O,O,X,X
JZISOLT,X,X,O,O,X,X
JZIOTLS,O,X,X,O,X,X
JZIOTSL,O,X,O,O,X,X
JZIOLTS,X,X,X,O,X,X
JZIOLST,X,X,X,O,X,X
JZIOSTL,O,X,O,O,X,X
JZIOSLT,X,X,O,O,X,X
JZLTISO,O,X,X,X,X,X
