sequence,v115@GhA8GeC8BeA8EeB8AeB8DeC8Jei/IvhF3gBRiBcpBT?mBNsBWwB,v115@GhA8GeC8BeA8EeB8AeB8DeC8Je0/IvhFxgBiiBNpBG?mBzqBXsB,v115@GhA8GeC8BeA8EeB8AeB8DeC8JeZEJvhFukB9mBiiB0?lBXsBzqB,v115@GhA8GeC8BeA8EeB8AeB8DeC8JeZEJvhFtkB0gBmhBq?rB3nBzqB,v115@GhA8GeC8BeA8EeB8AeB8DeC8Je0/IvhF6lBmhBNpBT?mB3nBRwB,v115@GhA8GeC8BeA8EeB8AeB8DeC8Je9FJvhFOmB8mBTkB3?nBipBRwB
TSIOJZL,X,O,O,X,O,O
TSIOZLJ,O,O,O,O,O,X
TSIOZJL,X,O,O,X,O,O
TSLIJZO,X,O,O,O,X,X
TSLIJOZ,X,O,O,X,X,X
TSLIZJO,O,O,O,O,X,X
TSLIZOJ,O,O,O,X,X,X
TSLIOJZ,X,O,O,O,X,X
TSLIOZJ,X,O,O,O,X,X
TSLJIZO,O,O,O,O,X,X
TSLJIOZ,X,O,O,X,X,X
TSLJZIO,O,O,O,O,X,X
TSLJZOI,O,O,O,X,X,X
TSLJOIZ,X,O,O,X,X,X
TSLJOZI,X,O,O,X,X,X
TSLZIJO,O,O,O,O,X,X
TSLZIOJ,O,O,O,X,X,X
TSLZJIO,O,O,O,O,X,X
TSLZJOI,O,O,O,X,X,X
TSLZOIJ,O,O,O,X,X,X
TSLZOJI,O,O,O,X,X,X
TSLOIJZ,X,O,O,O,X,X
TSLOIZJ,X,O,O,O,X,X
TSLOJIZ,X,O,O,O,X,X
TSLOJZI,X,O,O,O,X,X
TSLOZIJ,X,O,O,O,X,X
TSLOZJI,X,O,O,O,X,X
TSJILZO,O,O,O,X,X,X
TSJILOZ,X,O,O,X,X,X
TSJIZLO,O,O,O,X,X,X
TSJIZOL,O,O,O,X,X,X
TSJIOLZ,X,O,O,X,X,X
TSJIOZL,O,O,O,X,X,X
TSJLIZO,O,O,O,X,X,X
TSJLIOZ,X,O,O,X,X,X
TSJLZIO,O,O,O,X,X,X
TSJLZOI,O,O,O,X,X,X
TSJLOIZ,X,O,O,X,X,X
TSJLOZI,X,O,O,X,X,X
TSJZILO,O,O,O,X,X,X
TSJZIOL,O,O,O,X,X,X
TSJZLIO,O,O,O,X,X,X
TSJZLOI,O,O,O,X,X,X
TSJZOIL,O,O,O,X,X,X
TSJZOLI,O,O,O,X,X,X
TSJOILZ,O,O,O,X,X,X
TSJOIZL,O,O,O,X,X,X
TSJOLIZ,O,O,O,X,X,X
TSJOLZI,O,O,O,X,X,X
TSJOZIL,O,O,O,X,X,X
TSJOZLI,O,O,O,X,X,X
TSZILJO,O,O,O,O,X,X
TSZILOJ,O,O,O,X,O,X
TSZIJLO,O,O,O,X,X,X
TSZIJOL,O,O,O,X,X,X
TSZIOLJ,O,O,O,O,O,X
TSZIOJL,X,O,O,X,O,X
TSZLIJO,O,O,O,O,X,X
TSZLIOJ,O,O,O,X,O,X
TSZLJIO,O,O,O,O,X,X
TSZLJOI,O,O,O,X,X,X
TSZLOIJ,O,O,O,X,X,X
TSZLOJI,O,O,O,X,X,X
TSZJILO,O,O,O,X,X,X
TSZJIOL,O,O,O,X,X,X
TSZJLIO,O,O,O,X,X,X
TSZJLOI,O,O,O,X,X,X
TSZJOIL,O,O,O,X,X,X
TSZJOLI,O,O,O,X,X,X
TSZOILJ,O,O,O,O,X,X
TSZOIJL,X,O,O,X,X,X
TSZOLIJ,O,O,O,O,X,X
TSZOLJI,O,O,O,O,X,X
TSZOJIL,O,O,O,X,X,X
TSZOJLI,O,O,O,X,X,X
TSOILJZ,X,O,O,O,X,X
TSOILZJ,X,O,O,O,X,X
TSOIJLZ,X,O,O,X,X,X
TSOIJZL,X,O,O,X,X,O
TSOIZLJ,O,O,O,O,X,X
TSOIZJL,X,O,O,X,X,O
TSOLIJZ,X,O,O,O,X,X
TSOLIZJ,X,O,O,O,X,X
TSOLJIZ,X,O,O,O,X,X
TSOLJZI,X,O,O,O,X,X
TSOLZIJ,X,O,O,O,X,X
TSOLZJI,X,O,O,O,X,X
TSOJILZ,X,O,O,X,X,X
TSOJIZL,O,O,O,X,X,X
TSOJLIZ,X,O,O,X,X,X
TSOJLZI,X,O,O,X,X,X
TSOJZIL,O,O,O,X,X,X
TSOJZLI,O,O,O,X,X,X
TSOZILJ,O,O,O,O,X,X
TSOZIJL,X,O,O,X,X,X
TSOZLIJ,O,O,O,O,X,X
TSOZLJI,O,O,O,O,X,X
TSOZJIL,O,O,O,X,X,X
TSOZJLI,O,O,O,X,X,X
TZILJSO,O,O,O,O,X,X
TZILJOS,O,O,X,O,O,O
TZILSJO,O,O,O,O,X,X
TZILSOJ,O,O,O,X,O,X
TZILOJS,O,O,X,O,O,O
TZILOSJ,O,O,X,O,O,X
TZIJLSO,O,O,O,O,X,X
TZIJLOS,O,O,X,O,O,O
TZIJSLO,O,X,O,X,X,X
TZIJSOL,O,X,O,X,X,O
TZIJOLS,O,X,X,O,O,O
TZIJOSL,O,X,X,X,O,O
TZISLJO,O,O,O,O,X,X
TZISLOJ,O,O,O,X,O,X
TZISJLO,O,O,O,X,X,X
TZISJOL,O,O,O,X,X,O
TZISOLJ,O,O,O,O,O,X
TZISOJL,X,O,O,X,O,O
TZIOLJS,O,O,X,O,O,O
TZIOLSJ,O,O,X,O,O,X
TZIOJLS,O,O,X,O,O,O
TZIOJSL,O,O,X,X,O,O
TZIOSLJ,O,O,X,O,O,X
TZIOSJL,X,O,X,X,O,O
TZLIJSO,O,O,O,O,X,X
TZLIJOS,O,O,X,O,O,X
TZLISJO,O,O,O,O,X,X
TZLISOJ,O,O,O,X,O,X
TZLIOJS,O,O,X,O,O,X
TZLIOSJ,O,O,X,O,O,X
TZLJISO,O,O,O,O,X,X
TZLJIOS,O,O,X,O,O,X
TZLJSIO,O,O,O,O,X,X
TZLJSOI,O,O,O,X,X,X
TZLJOIS,O,O,X,O,X,X
TZLJOSI,O,O,X,X,X,X
TZLSIJO,O,O,O,O,X,X
TZLSIOJ,O,O,O,X,O,X
TZLSJIO,O,O,O,O,X,X
TZLSJOI,O,O,O,X,X,X
TZLSOIJ,O,O,O,X,X,X
TZLSOJI,O,O,O,X,X,X
