sequence,v115@PhC8FeE8DeD8JeT/IvhFcmBenBCjBXlBllBxvB,v115@PhC8FeE8DeD8JeT/IvhF/lBWnBxiBUqBlrBarB,v115@PhC8FeE8DeD8JeT/IvhFelBRhBCjB8rB3qBFrB,v115@PhC8FeE8DeD8Je/EJvhFzgBWnBxiB0qBlrBaqB,v115@PhC8FeE8DeD8Je/EJvhFUgBxiBKrBFnBGmBTqB,v115@PhC8FeE8DeD8JeyEJvhFXhBxiBFnB0kB+qBTrB,v115@PhC8FeE8DeD8Je2EJvhFXhBxiBFnBSqBTrBUqB
TOIJSLZ,O,X,X,X,O,O,O
TOIJSZL,O,O,X,O,O,X,O
TOIJZLS,O,O,X,O,X,X,X
TOIJZSL,O,O,X,O,X,X,O
TOISLJZ,O,X,X,X,O,O,O
TOISLZJ,X,X,X,X,O,O,X
TOISJLZ,O,X,X,X,O,O,O
TOISJZL,O,O,X,O,O,X,O
TOISZLJ,X,O,X,O,O,O,X
TOISZJL,O,O,X,O,O,X,O
TOIZLJS,X,O,X,O,X,X,X
TOIZLSJ,X,O,X,O,O,O,X
TOIZJLS,O,O,X,O,X,X,X
TOIZJSL,O,O,X,O,X,X,O
TOIZSLJ,X,O,X,O,O,O,X
TOIZSJL,O,O,X,O,O,X,O
TOLIJSZ,O,X,X,X,O,O,O
TOLIJZS,O,O,X,O,X,X,X
TOLISJZ,O,X,X,X,O,O,O
TOLISZJ,X,X,X,X,O,O,X
TOLIZJS,X,O,X,O,X,X,X
TOLIZSJ,X,O,X,O,O,O,X
TOLJISZ,O,X,X,X,O,O,O
TOLJIZS,O,O,X,O,X,X,X
TOLJSIZ,X,X,X,X,O,O,O
TOLJSZI,O,X,O,X,O,O,O
TOLJZIS,O,O,O,O,X,X,X
TOLJZSI,O,O,O,O,X,X,X
TOLSIJZ,O,X,X,X,O,O,O
TOLSIZJ,X,X,X,X,O,O,X
TOLSJIZ,X,X,X,X,O,O,O
TOLSJZI,O,X,O,X,O,O,O
TOLSZIJ,X,X,X,X,O,O,X
TOLSZJI,X,X,O,X,O,O,X
TOLZIJS,X,O,X,O,X,X,X
TOLZISJ,X,O,X,O,O,O,X
TOLZJIS,X,O,O,O,X,X,X
TOLZJSI,X,O,O,O,X,X,X
TOLZSIJ,X,O,X,O,O,O,X
TOLZSJI,X,O,O,O,O,O,X
TOJILSZ,O,X,X,X,O,O,O
TOJILZS,O,O,X,O,X,X,X
TOJISLZ,O,X,X,X,O,O,O
TOJISZL,O,O,X,O,O,X,O
TOJIZLS,O,O,X,O,X,X,X
TOJIZSL,O,O,X,O,X,X,O
TOJLISZ,O,X,X,X,O,O,O
TOJLIZS,O,O,X,O,X,X,X
TOJLSIZ,X,X,X,X,O,O,O
TOJLSZI,O,X,O,X,O,O,O
TOJLZIS,O,O,O,O,X,X,X
TOJLZSI,O,O,O,O,X,X,X
TOJSILZ,X,X,X,X,O,O,O
TOJSIZL,X,O,X,O,O,X,O
TOJSLIZ,X,X,X,X,O,O,O
TOJSLZI,O,X,O,X,O,O,O
TOJSZIL,X,O,O,O,O,X,O
TOJSZLI,O,O,O,O,O,X,O
TOJZILS,O,O,O,O,X,X,X
TOJZISL,O,O,X,O,X,X,O
TOJZLIS,O,O,O,O,X,X,X
TOJZLSI,O,O,O,O,X,X,X
TOJZSIL,X,O,O,O,X,X,O
TOJZSLI,O,O,O,O,X,X,O
TOSILJZ,O,X,X,X,O,O,O
TOSILZJ,X,X,X,X,O,O,X
TOSIJLZ,O,X,X,X,O,O,O
TOSIJZL,O,O,X,O,O,X,O
TOSIZLJ,X,O,X,O,O,O,X
TOSIZJL,O,O,X,O,O,X,O
TOSLIJZ,O,X,X,X,O,O,O
TOSLIZJ,X,X,X,X,O,O,X
TOSLJIZ,X,X,X,X,O,O,O
TOSLJZI,O,X,O,X,O,O,O
TOSLZIJ,X,X,X,X,O,O,X
TOSLZJI,X,X,O,X,O,O,X
TOSJILZ,X,X,X,X,O,O,O
TOSJIZL,X,O,X,O,O,X,O
TOSJLIZ,X,X,X,X,O,O,O
TOSJLZI,O,X,O,X,O,O,O
TOSJZIL,X,O,O,O,O,X,O
TOSJZLI,O,O,O,O,O,X,O
TOSZILJ,X,O,X,O,O,O,X
TOSZIJL,X,O,X,O,O,X,O
TOSZLIJ,X,O,X,O,O,O,X
TOSZLJI,X,O,O,O,O,O,X
TOSZJIL,X,O,O,O,O,X,O
TOSZJLI,X,O,O,O,O,X,O
TOZILJS,X,O,X,O,X,X,X
TOZILSJ,X,O,X,O,O,O,X
TOZIJLS,X,O,X,O,X,X,X
TOZIJSL,X,O,X,O,X,X,O
TOZISLJ,X,O,X,O,O,O,X
TOZISJL,X,O,X,O,O,X,O
TOZLIJS,X,O,X,O,X,X,X
TOZLISJ,X,O,X,O,O,O,X
TOZLJIS,X,O,O,O,X,X,X
TOZLJSI,X,O,O,O,X,X,X
TOZLSIJ,X,O,X,O,O,O,X
TOZLSJI,X,O,O,O,O,O,X
TOZJILS,X,O,O,O,X,X,X
TOZJISL,X,O,X,O,X,X,O
TOZJLIS,X,O,O,O,X,X,X
TOZJLSI,X,O,O,O,X,X,X
TOZJSIL,X,O,O,O,X,X,O
TOZJSLI,X,O,O,O,X,X,O
TOZSILJ,X,O,X,O,O,O,X
TOZSIJL,X,O,X,O,O,X,O
TOZSLIJ,X,O,X,O,O,O,X
TOZSLJI,X,O,O,O,O,O,X
TOZSJIL,X,O,O,O,O,X,O
TOZSJLI,X,O,O,O,O,X,O
ITLJSZO,O,X,X,O,O,O,X
ITLJSOZ,O,X,X,X,O,O,O
ITLJZSO,O,O,X,O,X,X,X
ITLJZOS,O,O,X,O,X,X,X
ITLJOSZ,O,X,X,X,O,O,O
ITLJOZS,O,O,X,O,X,X,X
ITLSJZO,O,X,X,O,O,O,X
ITLSJOZ,O,X,X,X,O,O,O
ITLSZJO,X,X,X,O,O,O,X
ITLSZOJ,X,X,X,O,O,X,X
ITLSOJZ,O,X,X,X,O,O,X
ITLSOZJ,X,X,X,X,O,O,X
ITLZJSO,X,O,X,O,X,X,X
ITLZJOS,X,O,X,O,X,X,X
ITLZSJO,X,O,X,O,O,O,X
ITLZSOJ,X,O,X,O,O,X,X
ITLZOJS,X,O,X,O,X,X,X
ITLZOSJ,X,O,X,O,O,O,X
ITLOJSZ,O,X,X,X,O,O,O
ITLOJZS,O,O,X,O,X,X,X
ITLOSJZ,O,X,X,X,O,O,O
ITLOSZJ,X,X,X,X,O,O,X
ITLOZJS,X,O,X,O,X,X,X
ITLOZSJ,X,O,X,O,O,O,X
ITJLSZO,O,X,X,O,O,O,X
ITJLSOZ,O,X,X,X,O,O,O
ITJLZSO,O,O,X,O,X,X,X
ITJLZOS,O,O,X,O,X,X,X
ITJLOSZ,O,X,X,X,O,O,O
ITJLOZS,O,O,X,O,X,X,X
ITJSLZO,O,X,X,O,O,O,X
ITJSLOZ,O,X,X,X,O,O,O
ITJSZLO,O,O,X,O,O,X,X
ITJSZOL,O,O,X,O,X,X,O
ITJSOLZ,O,X,X,X,O,X,O
ITJSOZL,O,O,X,O,O,X,O
ITJZLSO,O,O,X,O,X,X,X
ITJZLOS,O,O,X,O,X,X,X
ITJZSLO,O,O,X,O,X,X,X
ITJZSOL,O,O,X,O,X,X,O
ITJZOLS,O,O,X,O,X,X,X
ITJZOSL,O,O,X,O,X,X,O
ITJOLSZ,O,X,X,X,O,O,O
ITJOLZS,O,O,X,O,X,X,X
ITJOSLZ,O,X,X,X,O,O,O
ITJOSZL,O,O,X,O,O,X,O
ITJOZLS,O,O,X,O,X,X,X
ITJOZSL,O,O,X,O,X,X,O
ITSLJZO,O,X,X,O,O,O,X
ITSLJOZ,O,X,X,X,O,O,O
ITSLZJO,X,X,X,O,O,O,X
ITSLZOJ,X,X,X,O,O,X,X
ITSLOJZ,O,X,X,X,O,O,X
ITSLOZJ,X,X,X,X,O,O,X
ITSJLZO,O,X,X,O,O,O,X
ITSJLOZ,O,X,X,X,O,O,O
ITSJZLO,O,O,X,O,O,X,X
ITSJZOL,O,O,X,O,X,X,O
ITSJOLZ,O,X,X,X,O,X,O
ITSJOZL,O,O,X,O,O,X,O
ITSZLJO,X,O,X,O,O,O,X
ITSZLOJ,X,O,X,O,O,X,X
ITSZJLO,O,O,X,O,O,X,X
ITSZJOL,O,O,X,O,X,X,O
ITSZOLJ,X,O,X,O,O,X,X
ITSZOJL,O,O,X,O,O,X,X
ITSOLJZ,O,X,X,X,O,O,O
ITSOLZJ,X,X,X,X,O,O,X
ITSOJLZ,O,X,X,X,O,O,O
ITSOJZL,O,O,X,O,O,X,O
ITSOZLJ,X,O,X,O,O,O,X
ITSOZJL,O,O,X,O,O,X,O
ITZLJSO,X,O,X,O,X,X,X
ITZLJOS,X,O,X,O,X,X,X
ITZLSJO,X,O,X,O,O,O,X
ITZLSOJ,X,O,X,O,O,X,X
ITZLOJS,X,O,X,O,X,X,X
ITZLOSJ,X,O,X,O,O,O,X
ITZJLSO,O,O,X,O,X,X,X
ITZJLOS,O,O,X,O,X,X,X
ITZJSLO,O,O,X,O,X,X,X
ITZJSOL,O,O,X,O,X,X,O
ITZJOLS,O,O,X,O,X,X,X
ITZJOSL,O,O,X,O,X,X,O
ITZSLJO,X,O,X,O,O,O,X
ITZSLOJ,X,O,X,O,O,X,X
ITZSJLO,O,O,X,O,O,X,X
ITZSJOL,O,O,X,O,X,X,O
ITZSOLJ,X,O,X,O,O,X,X
ITZSOJL,O,O,X,O,O,X,X
ITZOLJS,X,O,X,O,X,X,X
ITZOLSJ,X,O,X,O,O,O,X
ITZOJLS,O,O,X,O,X,X,X
ITZOJSL,O,O,X,O,X,X,O
ITZOSLJ,X,O,X,O,O,O,X
ITZOSJL,O,O,X,O,O,X,O
ITOLJSZ,O,X,X,X,O,O,O
ITOLJZS,O,O,X,O,X,X,X
ITOLSJZ,O,X,X,X,O,O,O
ITOLSZJ,X,X,X,X,O,O,X
ITOLZJS,X,O,X,O,X,X,X
ITOLZSJ,X,O,X,O,O,O,X
ITOJLSZ,O,X,X,X,O,O,O
ITOJLZS,O,O,X,O,X,X,X
ITOJSLZ,O,X,X,X,O,O,O
ITOJSZL,O,O,X,O,O,X,O
ITOJZLS,O,O,X,O,X,X,X
ITOJZSL,O,O,X,O,X,X,O
ITOSLJZ,O,X,X,X,O,O,O
ITOSLZJ,X,X,X,X,O,O,X
ITOSJLZ,O,X,X,X,O,O,O
ITOSJZL,O,O,X,O,O,X,O
ITOSZLJ,X,O,X,O,O,O,X
ITOSZJL,O,O,X,O,O,X,O
ITOZLJS,X,O,X,O,X,X,X
ITOZLSJ,X,O,X,O,O,O,X
ITOZJLS,O,O,X,O,X,X,X
ITOZJSL,O,O,X,O,X,X,O
ITOZSLJ,X,O,X,O,O,O,X
ITOZSJL,O,O,X,O,O,X,O
ILTJSZO,O,X,X,O,O,O,X
ILTJSOZ,O,X,X,X,O,O,O
ILTJZSO,O,O,X,O,X,X,X
ILTJZOS,O,O,X,O,X,X,X
ILTJOSZ,O,X,X,X,O,O,O
ILTJOZS,O,O,X,O,X,X,X
ILTSJZO,O,X,X,O,O,O,X
ILTSJOZ,O,X,X,X,O,O,O
ILTSZJO,X,X,X,O,O,O,X
ILTSZOJ,X,X,X,O,O,X,X
ILTSOJZ,O,X,X,X,O,O,X
ILTSOZJ,X,X,X,X,O,O,X
ILTZJSO,X,O,X,O,X,X,X
ILTZJOS,X,O,X,O,X,X,X
ILTZSJO,X,O,X,O,O,O,X
ILTZSOJ,X,O,X,O,O,X,X
ILTZOJS,X,O,X,O,X,X,X
ILTZOSJ,X,O,X,O,O,O,X
ILTOJSZ,O,X,X,X,O,O,O
ILTOJZS,O,O,X,O,X,X,X
ILTOSJZ,O,X,X,X,O,O,O
ILTOSZJ,X,X,X,X,O,O,X
ILTOZJS,X,O,X,O,X,X,X
ILTOZSJ,X,O,X,O,O,O,X
ILJTSZO,O,X,X,O,X,O,X
ILJTSOZ,O,X,X,X,X,O,O
ILJTZSO,O,O,X,O,X,X,X
ILJTZOS,O,O,X,O,X,X,X
ILJTOSZ,O,X,X,X,X,O,O
ILJTOZS,O,O,X,O,X,X,X
ILJSTZO,O,X,X,O,X,X,X
ILJSTOZ,O,X,X,X,X,X,X
ILJSZTO,O,X,O,X,X,X,X
ILJSZOT,O,X,O,X,X,X,X
ILJSOTZ,O,X,X,X,X,X,X
ILJSOZT,O,X,O,X,X,X,X
ILJZTSO,O,O,X,X,X,X,X
ILJZTOS,O,O,O,X,X,X,X
ILJZSTO,O,X,O,X,X,X,X
ILJZSOT,O,X,O,X,X,X,X
ILJZOTS,O,O,O,X,X,X,X
ILJZOST,O,X,O,X,X,X,X
ILJOTSZ,O,X,X,X,X,X,X
ILJOTZS,O,O,X,X,X,X,X
ILJOSTZ,O,X,X,X,X,X,X
ILJOSZT,O,X,O,X,X,X,X
ILJOZTS,O,O,O,X,X,X,X
ILJOZST,O,X,O,X,X,X,X
ILSTJZO,O,X,X,O,O,O,X
ILSTJOZ,O,X,X,X,O,O,X
ILSTZJO,X,X,X,O,O,O,X
ILSTZOJ,X,X,X,O,O,X,X
ILSTOJZ,O,X,X,X,O,O,X
ILSTOZJ,X,X,X,X,O,O,X
ILSJTZO,O,X,X,O,X,X,X
ILSJTOZ,O,X,X,X,X,X,X
ILSJZTO,O,X,O,X,X,X,X
ILSJZOT,O,X,O,X,X,X,X
ILSJOTZ,O,X,X,X,X,X,X
ILSJOZT,O,X,O,X,X,X,X
ILSZTJO,X,X,O,O,O,X,X
ILSZTOJ,X,X,X,O,O,X,X
ILSZJTO,O,X,O,X,X,X,X
ILSZJOT,O,X,O,X,X,X,X
ILSZOTJ,X,X,X,X,O,X,X
ILSZOJT,O,X,O,X,X,X,X
ILSOTJZ,O,X,X,X,O,X,X
ILSOTZJ,X,X,X,X,O,X,X
ILSOJTZ,O,X,X,X,X,X,X
ILSOJZT,O,X,O,X,X,X,X
ILSOZTJ,X,X,X,X,O,X,X
ILSOZJT,O,X,O,X,X,X,X
ILZTJSO,X,O,X,O,X,X,X
ILZTJOS,X,O,O,O,X,X,X
ILZTSJO,X,O,O,O,X,O,X
ILZTSOJ,X,O,X,O,X,X,X
ILZTOJS,X,O,X,O,X,X,X
ILZTOSJ,X,O,X,O,X,O,X
ILZJTSO,O,O,X,X,X,X,X
ILZJTOS,O,O,O,X,X,X,X
ILZJSTO,O,X,O,X,X,X,X
ILZJSOT,O,X,O,X,X,X,X
ILZJOTS,O,O,O,X,X,X,X
ILZJOST,O,X,O,X,X,X,X
ILZSTJO,X,O,O,O,X,X,X
ILZSTOJ,X,O,X,O,X,X,X
ILZSJTO,O,X,O,X,X,X,X
ILZSJOT,O,X,O,X,X,X,X
ILZSOTJ,X,O,X,X,X,X,X
ILZSOJT,O,X,O,X,X,X,X
ILZOTJS,X,O,X,X,X,X,X
ILZOTSJ,X,O,X,X,X,X,X
ILZOJTS,O,O,O,X,X,X,X
ILZOJST,O,X,O,X,X,X,X
ILZOSTJ,X,O,X,X,X,X,X
ILZOSJT,O,X,O,X,X,X,X
ILOTJSZ,O,X,X,X,O,O,X
ILOTJZS,O,O,X,X,X,X,X
ILOTSJZ,O,X,X,X,O,O,X
ILOTSZJ,X,X,X,X,O,O,X
ILOTZJS,X,O,X,X,X,X,X
ILOTZSJ,X,O,X,X,O,O,X
ILOJTSZ,O,X,X,X,X,X,X
ILOJTZS,O,O,X,X,X,X,X
ILOJSTZ,O,X,X,X,X,X,X
ILOJSZT,O,X,O,X,X,X,X
ILOJZTS,O,O,O,X,X,X,X
ILOJZST,O,X,O,X,X,X,X
ILOSTJZ,O,X,X,X,O,O,X
ILOSTZJ,X,X,X,X,O,O,X
ILOSJTZ,O,X,X,X,X,X,X
ILOSJZT,O,X,O,X,X,X,X
ILOSZTJ,X,X,X,X,O,X,X
ILOSZJT,O,X,O,X,X,X,X
ILOZTJS,X,O,X,X,X,X,X
ILOZTSJ,X,O,X,X,X,X,X
ILOZJTS,O,O,O,X,X,X,X
ILOZJST,O,X,O,X,X,X,X
ILOZSTJ,X,O,X,X,X,X,X
ILOZSJT,O,X,O,X,X,X,X
IJTLSZO,O,X,X,O,O,O,X
IJTLSOZ,O,X,X,X,O,O,O
IJTLZSO,O,O,X,O,X,X,X
IJTLZOS,O,O,X,O,X,X,X
IJTLOSZ,O,X,X,X,O,O,O
IJTLOZS,O,O,X,O,X,X,X
IJTSLZO,O,X,X,O,O,O,X
IJTSLOZ,O,X,X,X,O,O,O
IJTSZLO,O,O,X,O,O,X,X
IJTSZOL,O,O,X,O,X,X,O
IJTSOLZ,O,X,X,X,O,X,O
IJTSOZL,O,O,X,O,O,X,O
IJTZLSO,O,O,X,O,X,X,X
IJTZLOS,O,O,X,O,X,X,X
IJTZSLO,O,O,X,O,X,X,X
IJTZSOL,O,O,X,O,X,X,O
IJTZOLS,O,O,X,O,X,X,X
IJTZOSL,O,O,X,O,X,X,O
IJTOLSZ,O,X,X,X,O,O,O
IJTOLZS,O,O,X,O,X,X,X
IJTOSLZ,O,X,X,X,O,O,O
IJTOSZL,O,O,X,O,O,X,O
IJTOZLS,O,O,X,O,X,X,X
IJTOZSL,O,O,X,O,X,X,O
IJLTSZO,O,X,X,O,X,O,X
IJLTSOZ,O,X,X,X,X,O,O
IJLTZSO,O,O,X,O,X,X,X
IJLTZOS,O,O,X,O,X,X,X
IJLTOSZ,O,X,X,X,X,O,O
IJLTOZS,O,O,X,O,X,X,X
IJLSTZO,O,X,X,O,X,X,X
IJLSTOZ,O,X,X,X,X,X,X
IJLSZTO,O,X,O,X,X,X,X
IJLSZOT,O,X,O,X,X,X,X
IJLSOTZ,O,X,X,X,X,X,X
IJLSOZT,O,X,O,X,X,X,X
IJLZTSO,O,O,X,X,X,X,X
IJLZTOS,O,O,O,X,X,X,X
IJLZSTO,O,X,O,X,X,X,X
IJLZSOT,O,X,O,X,X,X,X
IJLZOTS,O,O,O,X,X,X,X
IJLZOST,O,X,O,X,X,X,X
IJLOTSZ,O,X,X,X,X,X,X
IJLOTZS,O,O,X,X,X,X,X
IJLOSTZ,O,X,X,X,X,X,X
IJLOSZT,O,X,O,X,X,X,X
IJLOZTS,O,O,O,X,X,X,X
IJLOZST,O,X,O,X,X,X,X
IJSTLZO,O,X,X,O,O,X,X
IJSTLOZ,O,X,X,X,O,X,O
IJSTZLO,O,O,X,O,O,X,X
IJSTZOL,O,O,X,O,X,X,O
IJSTOLZ,O,X,X,X,O,X,O
IJSTOZL,O,O,X,O,O,X,O
IJSLTZO,O,X,X,O,X,X,X
IJSLTOZ,O,X,X,X,X,X,X
IJSLZTO,O,X,O,X,X,X,X
IJSLZOT,O,X,O,X,X,X,X
IJSLOTZ,O,X,X,X,X,X,X
IJSLOZT,O,X,O,X,X,X,X
IJSZTLO,O,O,O,O,O,X,X
IJSZTOL,O,O,O,O,X,X,X
IJSZLTO,O,X,O,X,X,X,X
IJSZLOT,O,X,O,X,X,X,X
IJSZOTL,O,O,O,X,O,X,X
IJSZOLT,O,X,O,X,X,X,X
IJSOTLZ,O,X,X,X,O,X,X
IJSOTZL,O,O,X,O,O,X,X
IJSOLTZ,O,X,X,X,X,X,X
IJSOLZT,O,X,O,X,X,X,X
IJSOZTL,O,O,O,X,O,X,X
IJSOZLT,O,X,O,X,X,X,X
IJZTLSO,O,O,X,O,X,X,X
IJZTLOS,O,O,O,O,X,X,X
IJZTSLO,O,O,X,O,X,X,X
IJZTSOL,O,O,X,O,X,X,O
IJZTOLS,O,O,O,O,X,X,X
IJZTOSL,O,O,X,O,X,X,O
IJZLTSO,O,O,X,X,X,X,X
IJZLTOS,O,O,O,X,X,X,X
IJZLSTO,O,X,O,X,X,X,X
IJZLSOT,O,X,O,X,X,X,X
IJZLOTS,O,O,O,X,X,X,X
IJZLOST,O,X,O,X,X,X,X
IJZSTLO,O,O,O,O,X,X,X
IJZSTOL,O,O,O,O,X,X,X
IJZSLTO,O,X,O,X,X,X,X
IJZSLOT,O,X,O,X,X,X,X
IJZSOTL,O,O,O,X,X,X,X
IJZSOLT,O,X,O,X,X,X,X
IJZOTLS,O,O,O,X,X,X,X
IJZOTSL,O,O,X,X,X,X,X
IJZOLTS,O,O,O,X,X,X,X
IJZOLST,O,X,O,X,X,X,X
IJZOSTL,O,O,O,X,X,X,X
IJZOSLT,O,X,O,X,X,X,X
IJOTLSZ,O,X,X,X,O,X,O
IJOTLZS,O,O,X,O,X,X,X
IJOTSLZ,O,X,X,X,O,X,O
IJOTSZL,O,O,X,O,O,X,O
IJOTZLS,O,O,X,O,X,X,X
IJOTZSL,O,O,X,O,X,X,O
IJOLTSZ,O,X,X,X,X,X,X
IJOLTZS,O,O,X,X,X,X,X
IJOLSTZ,O,X,X,X,X,X,X
IJOLSZT,O,X,O,X,X,X,X
IJOLZTS,O,O,O,X,X,X,X
IJOLZST,O,X,O,X,X,X,X
IJOSTLZ,O,X,X,X,O,X,O
IJOSTZL,O,O,X,O,O,X,O
IJOSLTZ,O,X,X,X,X,X,X
IJOSLZT,O,X,O,X,X,X,X
IJOSZTL,O,O,O,X,O,X,X
IJOSZLT,O,X,O,X,X,X,X
IJOZTLS,O,O,O,X,X,X,X
IJOZTSL,O,O,X,X,X,X,X
IJOZLTS,O,O,O,X,X,X,X
IJOZLST,O,X,O,X,X,X,X
IJOZSTL,O,O,O,X,X,X,X
IJOZSLT,O,X,O,X,X,X,X
ISTLJZO,O,X,X,O,O,O,X
ISTLJOZ,O,X,X,X,O,O,O
ISTLZJO,X,X,X,O,O,O,X
ISTLZOJ,X,X,X,O,O,X,X
ISTLOJZ,O,X,X,X,O,O,X
ISTLOZJ,X,X,X,X,O,O,X
ISTJLZO,O,X,X,O,O,O,X
ISTJLOZ,O,X,X,X,O,O,O
ISTJZLO,O,O,X,O,O,X,X
ISTJZOL,O,O,X,O,X,X,O
ISTJOLZ,O,X,X,X,O,X,O
ISTJOZL,O,O,X,O,O,X,O
ISTZLJO,X,O,X,O,O,O,X
ISTZLOJ,X,O,X,O,O,X,X
ISTZJLO,O,O,X,O,O,X,X
ISTZJOL,O,O,X,O,X,X,O
ISTZOLJ,X,O,X,O,O,X,X
ISTZOJL,O,O,X,O,O,X,X
ISTOLJZ,O,X,X,X,O,O,O
ISTOLZJ,X,X,X,X,O,O,X
ISTOJLZ,O,X,X,X,O,O,O
ISTOJZL,O,O,X,O,O,X,O
ISTOZLJ,X,O,X,O,O,O,X
ISTOZJL,O,O,X,O,O,X,O
ISLTJZO,O,X,X,O,O,O,X
ISLTJOZ,O,X,X,X,O,O,X
ISLTZJO,X,X,X,O,O,O,X
ISLTZOJ,X,X,X,O,O,X,X
ISLTOJZ,O,X,X,X,O,O,X
ISLTOZJ,X,X,X,X,O,O,X
ISLJTZO,O,X,X,O,X,X,X
ISLJTOZ,O,X,X,X,X,X,X
ISLJZTO,O,X,O,X,X,X,X
ISLJZOT,O,X,O,X,X,X,X
ISLJOTZ,O,X,X,X,X,X,X
ISLJOZT,O,X,O,X,X,X,X
ISLZTJO,X,X,O,O,O,X,X
ISLZTOJ,X,X,X,O,O,X,X
ISLZJTO,O,X,O,X,X,X,X
ISLZJOT,O,X,O,X,X,X,X
ISLZOTJ,X,X,X,X,O,X,X
ISLZOJT,O,X,O,X,X,X,X
ISLOTJZ,O,X,X,X,O,X,X
ISLOTZJ,X,X,X,X,O,X,X
ISLOJTZ,O,X,X,X,X,X,X
ISLOJZT,O,X,O,X,X,X,X
ISLOZTJ,X,X,X,X,O,X,X
ISLOZJT,O,X,O,X,X,X,X
ISJTLZO,O,X,X,O,O,X,X
ISJTLOZ,O,X,X,X,O,X,O
ISJTZLO,O,O,X,O,O,X,X
ISJTZOL,O,O,X,O,X,X,O
ISJTOLZ,O,X,X,X,O,X,O
ISJTOZL,O,O,X,O,O,X,O
ISJLTZO,O,X,X,O,X,X,X
ISJLTOZ,O,X,X,X,X,X,X
ISJLZTO,O,X,O,X,X,X,X
ISJLZOT,O,X,O,X,X,X,X
ISJLOTZ,O,X,X,X,X,X,X
ISJLOZT,O,X,O,X,X,X,X
ISJZTLO,O,O,O,O,O,X,X
ISJZTOL,O,O,O,O,X,X,X
ISJZLTO,O,X,O,X,X,X,X
ISJZLOT,O,X,O,X,X,X,X
ISJZOTL,O,O,O,X,O,X,X
ISJZOLT,O,X,O,X,X,X,X
ISJOTLZ,O,X,X,X,O,X,X
ISJOTZL,O,O,X,O,O,X,X
ISJOLTZ,O,X,X,X,X,X,X
ISJOLZT,O,X,O,X,X,X,X
ISJOZTL,O,O,O,X,O,X,X
ISJOZLT,O,X,O,X,X,X,X
ISZTLJO,X,O,O,O,O,X,X
ISZTLOJ,X,O,X,O,O,X,X
ISZTJLO,O,O,O,O,O,X,X
ISZTJOL,O,O,O,O,X,X,X
ISZTOLJ,X,O,X,O,O,X,X
ISZTOJL,O,O,X,O,O,X,X
ISZLTJO,X,O,O,O,O,X,X
ISZLTOJ,X,O,X,O,O,X,X
ISZLJTO,O,X,O,X,X,X,X
ISZLJOT,O,X,O,X,X,X,X
ISZLOTJ,X,O,X,X,O,X,X
ISZLOJT,O,X,O,X,X,X,X
ISZJTLO,O,O,O,O,O,X,X
ISZJTOL,O,O,O,O,X,X,X
ISZJLTO,O,X,O,X,X,X,X
ISZJLOT,O,X,O,X,X,X,X
ISZJOTL,O,O,O,X,O,X,X
ISZJOLT,O,X,O,X,X,X,X
ISZOTLJ,X,O,X,O,O,X,X
ISZOTJL,O,O,X,O,O,X,X
ISZOLTJ,X,O,X,X,O,X,X
ISZOLJT,O,X,O,X,X,X,X
ISZOJTL,O,O,O,X,O,X,X
ISZOJLT,O,X,O,X,X,X,X
ISOTLJZ,O,X,X,X,O,X,X
ISOTLZJ,X,X,X,X,O,X,X
ISOTJLZ,O,X,X,X,O,X,X
ISOTJZL,O,O,X,O,O,X,X
ISOTZLJ,X,O,X,O,O,X,X
ISOTZJL,O,O,X,O,O,X,X
ISOLTJZ,O,X,X,X,O,X,X
ISOLTZJ,X,X,X,X,O,X,X
ISOLJTZ,O,X,X,X,X,X,X
ISOLJZT,O,X,O,X,X,X,X
ISOLZTJ,X,X,X,X,O,X,X
ISOLZJT,O,X,O,X,X,X,X
ISOJTLZ,O,X,X,X,O,X,X
ISOJTZL,O,O,X,O,O,X,X
ISOJLTZ,O,X,X,X,X,X,X
ISOJLZT,O,X,O,X,X,X,X
ISOJZTL,O,O,O,X,O,X,X
ISOJZLT,O,X,O,X,X,X,X
ISOZTLJ,X,O,X,O,O,X,X
ISOZTJL,O,O,X,O,O,X,X
ISOZLTJ,X,O,X,X,O,X,X
ISOZLJT,O,X,O,X,X,X,X
ISOZJTL,O,O,O,X,O,X,X
ISOZJLT,O,X,O,X,X,X,X
IZTLJSO,X,O,X,O,X,X,X
IZTLJOS,X,O,O,O,X,X,X
IZTLSJO,X,O,O,O,O,O,X
IZTLSOJ,X,O,X,O,O,X,X
IZTLOJS,X,O,X,O,X,X,X
IZTLOSJ,X,O,X,O,O,O,X
IZTJLSO,O,O,X,O,X,X,X
IZTJLOS,O,O,O,O,X,X,X
IZTJSLO,O,O,X,O,X,X,X
IZTJSOL,O,O,X,O,X,X,O
IZTJOLS,O,O,O,O,X,X,X
IZTJOSL,O,O,X,O,X,X,O
IZTSLJO,X,O,O,O,O,O,X
IZTSLOJ,X,O,X,O,O,X,X
IZTSJLO,O,O,O,O,O,X,X
IZTSJOL,O,O,O,O,X,X,O
IZTSOLJ,X,O,X,O,O,X,X
IZTSOJL,O,O,X,O,O,X,X
IZTOLJS,X,O,X,O,X,X,X
IZTOLSJ,X,O,X,O,O,O,X
IZTOJLS,O,O,X,O,X,X,X
IZTOJSL,O,O,X,O,X,X,O
IZTOSLJ,X,O,X,O,O,O,X
