sequence,v115@9gA8IeA8IeA8BeB8CeC8CeA8BeC8JeRAJvhFFiBTjB?XlBSsBWvB0rB,v115@9gA8IeA8IeA8BeB8CeC8CeA8BeC8Je3AJvhFTjBxmB?UqBCsBupBFsB,v115@9gA8IeA8IeA8BeB8CeC8CeA8BeC8Je3AJvhFTjBxmB?UqBFsBupBCsB,v115@9gA8IeA8IeA8BeB8CeC8CeA8BeC8JeRAJvhF3hBGjB?lnBUqBzrBCqB,v115@9gA8IeA8IeA8BeB8CeC8CeA8BeC8Je0BJvhFTjBRlB?SsBFlBWvBXsB,v115@9gA8IeA8IeA8BeB8CeC8CeA8BeC8Je3AJvhF1mBxiB?CoBUqBzrBupB,v115@9gA8IeA8IeA8BeB8CeC8CeA8BeC8JefFJvhF0gBlhB?xnBCoBWvBzrB,v115@9gA8IeA8IeA8BeB8CeC8CeA8BeC8JeRAJvhF3hBTjB?FlBWvBCsBcsB,v115@9gA8IeA8IeA8BeB8CeC8CeA8BeC8JeXCJvhFTjBRlB?SsBFlBWvB0rB,v115@9gA8IeA8IeA8BeB8CeC8CeA8BeC8JefFJvhF0gBxhB?TjBWvBFsBCsB,v115@9gA8IeA8IeA8BeB8CeC8CeA8BeC8JexBJvhFTjBfqB?urBcsBlqBCqB,v115@9gA8IeA8IeA8BeB8CeC8CeA8BeC8JeuEJvhF3gB0mB?xnBCoBVvBzrB,v115@9gA8IeA8IeA8BeB8CeC8CeA8BeC8JeTDJvhFRlBGnB?ClBXnBVvB0rB,v115@9gA8IeA8IeA8BeB8CeC8CeA8BeC8Je5EJvhF3hBTjB?OqBCsBcsBlqB,v115@9gA8IeA8IeA8BeB8CeC8CeA8BeC8JeRAJvhFGiBTjB?lmBUqBXsBCqB,v115@9gA8IeA8IeA8BeB8CeC8CeA8BeC8JeWFJvhF1mBxiB?CoB8pBzrB3qB,v115@9gA8IeA8IeA8BeB8CeC8CeA8BeC8JeWFJvhFTjBxmB?8pBCsB3qBFsB,v115@9gA8IeA8IeA8BeB8CeC8CeA8BeC8JeFFJvhF0mBxnB?upBCoB3qBzrB
ISLZTOJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLZJTO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLZJOT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLZOTJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLZOJT,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ISLOTJZ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ISLOTZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLOJTZ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ISLOJZT,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
ISLOZTJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLOZJT,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ISJTLZO,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISJTLOZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJTZLO,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISJTZOL,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISJTOLZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJTOZL,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISJLTZO,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISJLTOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJLZTO,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ISJLZOT,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ISJLOTZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJLOZT,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ISJZTLO,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISJZTOL,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISJZLTO,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISJZLOT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJZOTL,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISJZOLT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJOTLZ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ISJOTZL,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
ISJOLTZ,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ISJOLZT,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X
ISJOZTL,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
ISJOZLT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ISZTLJO,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O
ISZTLOJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ISZTJLO,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O
ISZTJOL,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
ISZTOLJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ISZTOJL,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
ISZLTJO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZLTOJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZLJTO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZLJOT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZLOTJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZLOJT,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZJTLO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISZJTOL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISZJLTO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISZJLOT,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISZJOTL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISZJOLT,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISZOTLJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ISZOTJL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ISZOLTJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZOLJT,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZOJTL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISZOJLT,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISOTLJZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ISOTLZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOTJLZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ISOTJZL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ISOTZLJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ISOTZJL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ISOLTJZ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ISOLTZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOLJTZ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ISOLJZT,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
ISOLZTJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOLZJT,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ISOJTLZ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ISOJTZL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ISOJLTZ,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ISOJLZT,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X
ISOJZTL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ISOJZLT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ISOZTLJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ISOZTJL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ISOZLTJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOZLJT,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOZJTL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISOZJLT,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZTLJSO,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
IZTLJOS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IZTLSJO,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
IZTLSOJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTLOJS,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
IZTLOSJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTJLSO,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
IZTJLOS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IZTJSLO,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O
IZTJSOL,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IZTJOLS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IZTJOSL,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IZTSLJO,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
IZTSLOJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTSJLO,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
IZTSJOL,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IZTSOLJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTSOJL,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IZTOLJS,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
IZTOLSJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTOJLS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IZTOJSL,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IZTOSLJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTOSJL,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IZLTJSO,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
IZLTJOS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IZLTSJO,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
IZLTSOJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLTOJS,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
IZLTOSJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLJTSO,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZLJTOS,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZLJSTO,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZLJSOT,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZLJOTS,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IZLJOST,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IZLSTJO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLSTOJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLSJTO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLSJOT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLSOTJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLSOJT,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IZLOTJS,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZLOTSJ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZLOJTS,X,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
IZLOJST,X,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
IZLOSTJ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZLOSJT,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IZJTLSO,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
IZJTLOS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IZJTSLO,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,O
IZJTSOL,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
IZJTOLS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IZJTOSL,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
IZJLTSO,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZJLTOS,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZJLSTO,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
IZJLSOT,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
IZJLOTS,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IZJLOST,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X
IZJSTLO,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
IZJSTOL,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
IZJSLTO,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
IZJSLOT,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZJSOTL,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
IZJSOLT,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZJOTLS,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
IZJOTSL,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
IZJOLTS,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X
IZJOLST,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,O,X
IZJOSTL,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X
IZJOSLT,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X
IZSTLJO,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O
IZSTLOJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IZSTJLO,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O
IZSTJOL,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
IZSTOLJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IZSTOJL,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
IZSLTJO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSLTOJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSLJTO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSLJOT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSLOTJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSLOJT,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSJTLO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZSJTOL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZSJLTO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZSJLOT,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZSJOTL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZSJOLT,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZSOTLJ,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
IZSOTJL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IZSOLTJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSOLJT,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSOJTL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZSOJLT,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZOTLJS,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O
IZOTLSJ,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZOTJLS,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IZOTJSL,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IZOTSLJ,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZOTSJL,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IZOLTJS,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZOLTSJ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZOLJTS,X,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
IZOLJST,X,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
IZOLSTJ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZOLSJT,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IZOJTLS,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
IZOJTSL,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
IZOJLTS,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X
IZOJLST,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,O,X
IZOJSTL,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X
IZOJSLT,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X
IZOSTLJ,X,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
IZOSTJL,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IZOSLTJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOSLJT,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOSJTL,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZOSJLT,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOTLJSZ,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X
IOTLJZS,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,O,X,X
IOTLSJZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
IOTLSZJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOTLZJS,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X
IOTLZSJ,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOTJLSZ,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X
IOTJLZS,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O,O,X
IOTJSLZ,X,X,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X
IOTJSZL,X,X,X,O,X,X,O,X,X,O,X,O,O,X,X,X,X,X
IOTJZLS,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X
IOTJZSL,X,X,O,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X
IOTSLJZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTSLZJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTSJLZ,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IOTSJZL,X,X,X,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X
IOTSZLJ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTSZJL,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOTZLJS,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O
IOTZLSJ,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOTZJLS,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O
IOTZJSL,X,X,O,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X
IOTZSLJ,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOTZSJL,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOLTJSZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
IOLTJZS,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O,O,X
IOLTSJZ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
IOLTSZJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLTZJS,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X
IOLTZSJ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLJTSZ,X,X,X,X,X,X,O,O,O,X,X,X,O,X,X,O,X,X
IOLJTZS,X,X,X,X,O,O,X,O,X,X,X,X,O,O,X,O,O,X
IOLJSTZ,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
IOLJSZT,X,X,X,X,O,X,O,X,O,X,X,X,X,O,X,X,O,X
IOLJZTS,X,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,O,X
IOLJZST,X,O,X,X,O,O,X,X,O,X,X,X,X,O,X,X,O,X
IOLSTJZ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
IOLSTZJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLSJTZ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOLSJZT,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X
IOLSZTJ,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLSZJT,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOLZTJS,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X
IOLZTSJ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLZJTS,X,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,O,X
IOLZJST,X,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,O,X
IOLZSTJ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLZSJT,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOJTLSZ,X,X,X,X,X,X,O,O,O,X,X,X,O,X,X,O,X,X
IOJTLZS,X,X,X,X,O,X,X,O,X,X,X,X,O,O,X,O,O,X
IOJTSLZ,X,X,X,X,X,X,O,O,X,O,X,X,O,X,X,X,X,X
IOJTSZL,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X
IOJTZLS,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,O,X
IOJTZSL,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IOJLTSZ,X,X,X,X,X,X,O,O,O,X,X,X,O,X,X,O,X,X
IOJLTZS,X,X,X,X,O,X,X,O,X,X,X,X,O,O,X,O,O,X
IOJLSTZ,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
IOJLSZT,X,X,X,X,O,X,O,X,O,X,X,X,X,O,X,X,O,X
IOJLZTS,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X
IOJLZST,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,O,X
IOJSTLZ,X,X,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X
IOJSTZL,X,X,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X
IOJSLTZ,X,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X
IOJSLZT,X,X,X,O,O,X,O,X,O,X,X,X,X,O,X,X,O,X
IOJSZTL,X,X,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X
IOJSZLT,X,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,O,X
IOJZTLS,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X
IOJZTSL,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IOJZLTS,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X
IOJZLST,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,O,X
IOJZSTL,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IOJZSLT,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X
IOSTLJZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IOSTLZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSTJLZ,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IOSTJZL,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IOSTZLJ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IOSTZJL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IOSLTJZ,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOSLTZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSLJTZ,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOSLJZT,O,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X
IOSLZTJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSLZJT,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IOSJTLZ,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IOSJTZL,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IOSJLTZ,O,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IOSJLZT,O,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,O,X
IOSJZTL,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
