sequence,v115@9gA8IeB8HeB8BeA8EeE8DeA8JeRAJvhF3hBcnB6oBT?lBdtBWxB,v115@9gA8IeB8HeB8BeA8EeE8DeA8JeaFJvhFtlBxhBTjBu?rBcsBXtB,v115@9gA8IeB8HeB8BeA8EeE8DeA8JeaFJvhFtlBxhBXjBu?rBctBTsB,v115@9gA8IeB8HeB8BeA8EeE8DeA8JeaFJvhFulB9mBxiBT?oBXsB0sB,v115@9gA8IeB8HeB8BeA8EeE8DeA8JeaFJvhFulB9mBxiBT?oB0sBXsB,v115@9gA8IeB8HeB8BeA8EeE8DeA8JeRAJvhF9mB2nBTlBc?tBXsBCtB,v115@9gA8IeB8HeB8BeA8EeE8DeA8JeaFJvhFulB9mBTjBx?sBXsB0sB,v115@9gA8IeB8HeB8BeA8EeE8DeA8JeRAJvhF9mB6oBTlBm?nBXsB0sB,v115@9gA8IeB8HeB8BeA8EeE8DeA8JeRAJvhF9mB6oBTlBm?nB0sBXsB,v115@9gA8IeB8HeB8BeA8EeE8DeA8JeUAJvhF9mBOnB6oBz?nB3lBRxB,v115@9gA8IeB8HeB8BeA8EeE8DeA8JeRAJvhF9mBynB+oBT?lBXsB0sB,v115@9gA8IeB8HeB8BeA8EeE8DeA8JeRAJvhF9mBynB+oBT?lB0sBXsB,v115@9gA8IeB8HeB8BeA8EeE8DeA8JeaFJvhFtlBXiBTjBW?tB0mBRxB,v115@9gA8IeB8HeB8BeA8EeE8DeA8JeaFJvhFulB9mBxnBT?oBXsB0sB,v115@9gA8IeB8HeB8BeA8EeE8DeA8JeaFJvhFulB9mBxnBT?oB0sBXsB
IZTOLSJ,O,O,O,X,O,O,X,X,O,O,X,X,X,X,X
IZTOJLS,X,X,O,X,O,X,O,X,O,O,X,O,X,X,O
IZTOJSL,X,X,O,X,O,O,X,X,O,O,X,O,X,X,X
IZTOSLJ,O,O,O,X,O,O,X,X,O,O,X,X,X,X,X
IZTOSJL,X,O,O,X,O,O,X,X,O,O,X,O,X,X,X
IZLTJSO,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O
IZLTJOS,O,O,O,X,O,X,O,X,O,O,X,X,O,X,O
IZLTSJO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O
IZLTSOJ,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X
IZLTOJS,X,X,O,X,O,X,O,X,O,O,X,X,X,X,O
IZLTOSJ,O,O,O,X,O,X,X,X,O,O,X,X,X,X,X
IZLJTSO,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O
IZLJTOS,O,O,O,X,O,X,O,X,O,O,X,X,O,X,O
IZLJSTO,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X
IZLJSOT,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IZLJOTS,X,X,X,X,O,X,O,X,O,O,X,X,O,X,X
IZLJOST,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
IZLSTJO,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O
IZLSTOJ,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
IZLSJTO,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZLSJOT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLSOTJ,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
IZLSOJT,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
IZLOTJS,X,X,O,X,O,X,O,X,O,O,X,X,X,X,O
IZLOTSJ,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X
IZLOJTS,X,X,O,X,O,X,O,X,O,O,X,X,X,X,X
IZLOJST,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
IZLOSTJ,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X
IZLOSJT,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
IZJTLSO,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O
IZJTLOS,O,O,O,X,O,X,O,X,O,O,X,O,O,X,O
IZJTSLO,O,O,O,X,X,X,X,X,X,X,X,X,O,X,O
IZJTSOL,O,O,O,X,X,X,X,X,X,O,X,X,O,X,X
IZJTOLS,O,O,O,X,O,X,O,X,O,O,X,O,O,X,O
IZJTOSL,O,O,O,X,O,X,X,X,O,O,X,O,O,X,X
IZJLTSO,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O
IZJLTOS,O,O,O,X,O,X,O,X,O,O,X,O,O,X,O
IZJLSTO,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X
IZJLSOT,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IZJLOTS,X,X,X,X,O,X,O,X,O,O,X,O,O,X,X
IZJLOST,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
IZJSTLO,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X
IZJSTOL,O,O,O,X,X,X,X,X,X,O,X,X,O,X,X
IZJSLTO,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X
IZJSLOT,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IZJSOTL,O,O,O,X,X,X,X,X,X,O,X,X,O,X,X
IZJSOLT,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X
IZJOTLS,O,O,O,X,O,X,O,X,O,O,X,O,O,X,X
IZJOTSL,O,O,O,X,O,X,X,X,O,O,X,O,O,X,X
IZJOLTS,X,X,X,X,O,X,O,X,O,O,X,O,O,X,X
IZJOLST,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
IZJOSTL,O,O,O,X,X,X,X,X,X,O,X,O,O,X,X
IZJOSLT,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X
IZSTLJO,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O
IZSTLOJ,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
IZSTJLO,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O
IZSTJOL,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X
IZSTOLJ,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X
IZSTOJL,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X
IZSLTJO,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O
IZSLTOJ,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
IZSLJTO,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZSLJOT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSLOTJ,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
IZSLOJT,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
IZSJTLO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZSJTOL,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
IZSJLTO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZSJLOT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSJOTL,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
IZSJOLT,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
IZSOTLJ,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X
IZSOTJL,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X
IZSOLTJ,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X
IZSOLJT,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
IZSOJTL,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X
IZSOJLT,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
IZOTLJS,X,X,O,X,O,X,O,X,O,O,X,O,X,X,O
IZOTLSJ,X,O,O,X,O,O,X,X,O,O,X,X,X,X,X
IZOTJLS,X,X,O,X,O,X,O,X,O,O,X,O,X,X,O
IZOTJSL,X,X,O,X,O,O,X,X,O,O,X,O,X,X,X
IZOTSLJ,X,O,O,X,O,O,X,X,O,O,X,X,X,X,X
IZOTSJL,X,O,O,X,O,O,X,X,O,O,X,O,X,X,X
IZOLTJS,X,X,O,X,O,X,O,X,O,O,X,O,X,X,O
IZOLTSJ,X,X,O,X,O,O,X,X,O,O,X,X,X,X,X
IZOLJTS,X,X,O,X,O,X,O,X,O,O,X,O,X,X,X
IZOLJST,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
IZOLSTJ,X,X,O,X,O,O,X,X,O,O,X,X,X,X,X
IZOLSJT,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
IZOJTLS,X,X,O,X,O,X,O,X,O,O,X,O,X,X,X
IZOJTSL,X,X,O,X,O,O,X,X,O,O,X,O,X,X,X
IZOJLTS,X,X,O,X,O,X,O,X,O,O,X,O,X,X,X
IZOJLST,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
IZOJSTL,X,X,O,X,X,O,X,X,X,O,X,O,X,X,X
IZOJSLT,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
IZOSTLJ,X,O,O,X,O,O,X,X,O,O,X,X,X,X,X
IZOSTJL,X,O,O,X,O,O,X,X,O,O,X,O,X,X,X
IZOSLTJ,X,O,O,X,O,O,X,X,O,O,X,X,X,X,X
IZOSLJT,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
IZOSJTL,X,O,O,X,X,O,X,X,X,O,X,O,X,X,X
IZOSJLT,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
IOTLJSZ,O,X,O,O,O,X,O,O,X,O,O,O,O,X,X
IOTLJZS,O,X,O,O,O,X,O,X,O,O,O,O,O,X,X
IOTLSJZ,O,X,X,O,O,X,O,O,X,O,O,X,X,X,X
IOTLSZJ,O,X,O,O,X,O,X,O,O,O,X,X,X,X,X
IOTLZJS,O,X,O,O,O,X,O,X,O,O,X,O,X,X,X
IOTLZSJ,O,X,O,X,O,O,X,O,O,O,X,X,X,X,X
IOTJLSZ,O,X,O,O,O,X,O,O,X,O,O,O,O,X,X
IOTJLZS,O,X,O,O,O,X,O,X,O,O,O,O,O,X,X
IOTJSLZ,O,X,O,O,O,X,O,O,X,O,O,O,O,X,X
IOTJSZL,O,X,O,O,X,O,X,O,X,O,O,O,O,X,X
IOTJZLS,O,X,O,O,O,X,O,X,O,O,O,O,O,X,X
IOTJZSL,O,X,O,X,O,O,X,X,O,O,O,O,O,X,X
IOTSLJZ,O,X,X,O,O,X,O,O,X,O,O,X,X,X,X
IOTSLZJ,O,X,O,O,X,O,X,O,O,O,X,X,X,X,X
IOTSJLZ,O,X,X,O,O,X,O,O,X,O,O,O,X,X,X
IOTSJZL,O,X,X,O,X,O,X,O,X,O,O,O,X,X,X
IOTSZLJ,O,X,O,O,X,O,X,O,O,O,X,X,X,X,X
IOTSZJL,O,X,O,O,X,O,X,O,O,O,O,O,X,X,X
IOTZLJS,O,X,O,O,O,X,O,X,O,O,X,O,X,X,X
IOTZLSJ,O,X,O,X,O,O,X,O,O,O,X,X,X,X,X
IOTZJLS,O,X,O,O,O,X,O,X,O,O,O,O,X,X,X
IOTZJSL,O,X,O,X,O,O,X,X,O,O,O,O,X,X,X
IOTZSLJ,O,X,O,X,O,O,X,O,O,O,X,X,X,X,X
IOTZSJL,O,X,O,X,O,O,X,O,O,O,O,O,X,X,X
IOLTJSZ,O,X,O,O,O,X,O,O,X,O,O,O,O,X,X
IOLTJZS,O,X,O,O,O,X,O,X,O,O,O,O,O,X,X
IOLTSJZ,O,X,X,O,O,X,O,O,X,O,O,X,X,X,X
IOLTSZJ,O,X,O,O,X,O,X,O,O,O,X,X,X,X,X
IOLTZJS,O,X,O,O,O,X,O,X,O,O,X,O,X,X,X
IOLTZSJ,O,X,O,X,O,O,X,O,O,O,X,X,X,X,X
IOLJTSZ,O,X,O,O,O,X,O,O,X,O,O,O,O,X,X
IOLJTZS,O,X,O,O,O,X,O,X,O,O,O,O,O,X,X
IOLJSTZ,O,X,X,O,X,X,O,O,X,O,O,X,O,X,X
IOLJSZT,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X
IOLJZTS,O,X,O,X,O,X,O,X,O,O,X,O,O,X,X
IOLJZST,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X
IOLSTJZ,O,X,X,O,O,X,O,O,X,O,O,X,X,X,X
IOLSTZJ,O,X,X,O,X,O,X,O,O,O,X,X,X,X,X
IOLSJTZ,O,X,X,O,X,X,O,O,X,O,O,X,X,X,X
IOLSJZT,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOLSZTJ,X,X,X,O,O,O,X,O,O,O,X,X,X,X,X
IOLSZJT,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOLZTJS,O,X,O,O,O,X,O,X,O,O,X,O,X,X,X
IOLZTSJ,O,X,O,X,O,O,X,O,O,O,X,X,X,X,X
IOLZJTS,O,X,O,X,O,X,O,X,O,O,X,O,X,X,X
IOLZJST,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
IOLZSTJ,X,X,O,O,O,O,X,O,O,O,X,X,X,X,X
IOLZSJT,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
IOJTLSZ,O,X,O,O,O,X,O,O,X,O,O,O,O,X,X
IOJTLZS,O,X,O,O,O,X,O,X,O,O,O,O,O,X,X
IOJTSLZ,O,X,O,O,O,X,O,O,X,O,O,O,O,X,X
IOJTSZL,O,X,O,O,X,O,X,O,X,O,O,O,O,X,X
IOJTZLS,O,X,O,O,O,X,O,X,O,O,O,O,O,X,X
IOJTZSL,O,X,O,X,O,O,X,X,O,O,O,O,O,X,X
IOJLTSZ,O,X,O,O,O,X,O,O,X,O,O,O,O,X,X
IOJLTZS,O,X,O,O,O,X,O,X,O,O,O,O,O,X,X
IOJLSTZ,O,X,X,O,X,X,O,O,X,O,O,X,O,X,X
IOJLSZT,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X
IOJLZTS,O,X,O,X,O,X,O,X,O,O,X,O,O,X,X
IOJLZST,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X
IOJSTLZ,O,X,O,O,X,X,O,O,X,O,O,O,O,X,X
IOJSTZL,O,X,O,O,X,O,X,O,X,O,O,O,O,X,X
IOJSLTZ,O,X,X,O,X,X,O,O,X,O,O,X,O,X,X
IOJSLZT,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X
IOJSZTL,O,X,O,X,X,O,X,X,X,O,O,O,O,X,X
IOJSZLT,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X
IOJZTLS,O,X,O,X,O,X,O,X,O,O,O,O,O,X,X
IOJZTSL,O,X,O,X,O,O,X,X,O,O,O,O,O,X,X
IOJZLTS,O,X,O,X,O,X,O,X,O,O,X,O,O,X,X
IOJZLST,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X
IOJZSTL,O,X,O,X,X,O,X,X,X,O,O,O,O,X,X
IOJZSLT,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X
IOSTLJZ,O,X,X,O,O,X,O,O,X,O,O,X,X,X,X
IOSTLZJ,O,X,X,O,X,O,X,O,O,O,X,X,X,X,X
IOSTJLZ,O,X,X,O,O,X,O,O,X,O,O,O,X,X,X
IOSTJZL,O,X,X,O,X,O,X,O,X,O,O,O,X,X,X
IOSTZLJ,O,X,X,O,X,O,X,O,O,O,X,X,X,X,X
IOSTZJL,O,X,X,O,X,O,X,O,O,O,O,O,X,X,X
IOSLTJZ,O,X,X,O,O,X,O,O,X,O,O,X,X,X,X
IOSLTZJ,O,X,X,O,X,O,X,O,O,O,X,X,X,X,X
IOSLJTZ,O,X,X,O,X,X,O,O,X,O,O,X,X,X,X
IOSLJZT,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOSLZTJ,X,X,X,O,O,O,X,O,O,O,X,X,X,X,X
IOSLZJT,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOSJTLZ,O,X,X,O,X,X,O,O,X,O,O,O,X,X,X
IOSJTZL,O,X,X,O,X,O,X,O,X,O,O,O,X,X,X
IOSJLTZ,O,X,X,O,X,X,O,O,X,O,O,X,X,X,X
IOSJLZT,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOSJZTL,O,X,X,X,X,O,X,X,X,O,O,O,X,X,X
IOSJZLT,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOSZTLJ,X,X,X,O,O,O,X,O,O,O,X,X,X,X,X
IOSZTJL,X,X,X,O,O,O,X,O,O,O,O,O,X,X,X
IOSZLTJ,X,X,X,O,O,O,X,O,O,O,X,X,X,X,X
IOSZLJT,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOSZJTL,O,X,X,X,X,O,X,X,X,O,O,O,X,X,X
IOSZJLT,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOZTLJS,O,X,O,O,O,X,O,X,O,O,X,O,X,X,X
IOZTLSJ,O,X,O,X,O,O,X,O,O,O,X,X,X,X,X
IOZTJLS,O,X,O,O,O,X,O,X,O,O,O,O,X,X,X
IOZTJSL,O,X,O,X,O,O,X,X,O,O,O,O,X,X,X
IOZTSLJ,O,X,O,X,O,O,X,O,O,O,X,X,X,X,X
IOZTSJL,O,X,O,X,O,O,X,O,O,O,O,O,X,X,X
IOZLTJS,O,X,O,O,O,X,O,X,O,O,X,O,X,X,X
IOZLTSJ,O,X,O,X,O,O,X,O,O,O,X,X,X,X,X
IOZLJTS,O,X,O,X,O,X,O,X,O,O,X,O,X,X,X
IOZLJST,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
IOZLSTJ,X,X,O,O,O,O,X,O,O,O,X,X,X,X,X
IOZLSJT,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
IOZJTLS,O,X,O,X,O,X,O,X,O,O,O,O,X,X,X
IOZJTSL,O,X,O,X,O,O,X,X,O,O,O,O,X,X,X
IOZJLTS,O,X,O,X,O,X,O,X,O,O,X,O,X,X,X
IOZJLST,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
IOZJSTL,O,X,O,X,X,O,X,X,X,O,O,O,X,X,X
IOZJSLT,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
IOZSTLJ,X,X,O,O,O,O,X,O,O,O,X,X,X,X,X
IOZSTJL,X,X,O,O,O,O,X,O,O,O,O,O,X,X,X
IOZSLTJ,X,X,O,O,O,O,X,O,O,O,X,X,X,X,X
IOZSLJT,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
IOZSJTL,O,X,O,X,X,O,X,X,X,O,O,O,X,X,X
IOZSJLT,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
LTIJSZO,O,O,O,X,X,X,O,X,X,X,X,X,O,O,X
LTIJSOZ,X,O,O,O,X,X,O,X,X,X,X,X,O,O,X
LTIJZSO,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O
LTIJZOS,O,O,O,X,O,X,O,X,X,O,X,X,O,X,O
LTIJOSZ,O,X,O,O,O,X,O,X,X,O,X,X,O,X,X
LTIJOZS,O,O,O,O,O,X,O,X,X,O,X,X,O,X,X
LTISJZO,O,O,O,X,X,X,O,X,X,X,X,X,O,O,X
LTISJOZ,X,O,O,O,X,X,O,O,X,X,X,X,O,O,X
LTISZJO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X
LTISZOJ,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X
LTISOJZ,X,O,X,O,X,X,O,O,X,O,X,X,X,O,X
LTISOZJ,X,O,O,O,X,X,X,O,X,O,X,X,X,X,X
LTIZJSO,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O
LTIZJOS,O,O,O,X,O,X,O,X,O,O,X,X,O,X,O
LTIZSJO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O
LTIZSOJ,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X
LTIZOJS,O,X,O,X,O,X,O,X,O,O,X,X,X,X,O
LTIZOSJ,O,O,O,X,O,X,X,X,O,O,X,X,X,X,X
LTIOJSZ,O,X,O,O,O,X,O,O,X,O,X,X,O,X,X
LTIOJZS,O,O,O,O,O,X,O,X,O,O,X,X,O,X,X
LTIOSJZ,O,O,X,O,O,X,O,O,X,O,X,X,X,X,X
LTIOSZJ,O,O,O,O,X,X,X,O,O,O,X,X,X,X,X
LTIOZJS,O,X,O,O,O,X,O,X,O,O,X,X,X,X,X
LTIOZSJ,O,O,O,X,O,X,X,O,O,O,X,X,X,X,X
LTJISZO,O,O,O,X,X,X,O,X,X,X,X,X,O,O,X
LTJISOZ,X,O,O,O,X,X,O,X,X,X,X,X,O,O,X
LTJIZSO,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O
LTJIZOS,O,O,O,X,O,X,O,X,X,X,X,X,O,X,O
LTJIOSZ,O,X,O,O,O,X,O,X,X,X,O,O,O,X,X
LTJIOZS,O,O,O,O,O,X,O,X,X,X,O,O,O,X,X
LTJSIZO,O,O,O,X,X,X,O,X,X,X,X,X,O,O,X
LTJSIOZ,X,O,O,O,X,X,O,O,X,X,O,X,O,O,X
LTJSZIO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O
LTJSZOI,O,O,O,O,O,X,X,O,X,X,O,X,O,X,X
LTJSOIZ,O,O,O,O,O,X,X,O,X,X,O,O,O,O,X
LTJSOZI,O,O,O,O,O,X,X,O,X,X,O,O,O,X,X
LTJZISO,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O
LTJZIOS,O,O,O,X,O,X,O,X,O,X,X,O,O,X,O
LTJZSIO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O
LTJZSOI,O,O,O,O,O,X,X,X,O,X,X,O,O,X,X
LTJZOIS,O,O,O,O,O,X,X,X,O,X,O,O,O,X,O
LTJZOSI,O,O,O,O,O,X,X,X,O,X,O,O,O,X,X
LTJOISZ,O,X,O,O,O,X,O,O,X,X,O,O,O,X,X
LTJOIZS,O,O,O,O,O,X,O,X,O,X,O,O,O,X,X
LTJOSIZ,O,X,O,O,O,X,X,O,X,X,O,O,O,O,X
LTJOSZI,O,X,O,O,O,X,X,O,X,X,O,O,O,X,X
LTJOZIS,O,O,O,O,O,X,X,X,O,X,O,O,O,X,O
LTJOZSI,O,O,O,O,O,X,X,X,O,X,O,O,O,X,X
LTSIJZO,O,O,O,X,X,X,O,X,X,X,X,X,O,O,X
LTSIJOZ,X,O,O,O,X,X,O,O,X,X,X,X,O,O,X
LTSIZJO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X
LTSIZOJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTSIOJZ,X,O,X,O,X,X,O,O,X,X,X,X,X,O,X
LTSIOZJ,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X
LTSJIZO,O,O,O,X,X,X,O,X,X,X,X,X,O,O,X
LTSJIOZ,X,O,O,O,X,X,O,O,X,X,O,X,O,O,X
LTSJZIO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O
LTSJZOI,O,O,O,O,O,X,X,O,X,X,O,X,O,X,X
LTSJOIZ,O,O,O,O,O,X,X,O,X,X,O,X,O,O,X
LTSJOZI,O,O,O,O,O,X,X,O,X,X,O,X,O,X,X
LTSZIJO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O
LTSZIOJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTSZJIO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O
LTSZJOI,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X
LTSZOIJ,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X
LTSZOJI,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X
LTSOIJZ,O,O,X,O,O,X,X,O,X,X,O,X,X,O,X
LTSOIZJ,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X
LTSOJIZ,O,O,O,O,O,X,X,O,X,X,O,X,X,O,X
LTSOJZI,O,O,O,O,O,X,X,O,X,X,O,X,X,X,X
LTSOZIJ,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X
LTSOZJI,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X
LTZIJSO,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O
LTZIJOS,O,O,O,X,O,X,O,X,O,O,X,X,O,X,O
LTZISJO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O
LTZISOJ,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X
LTZIOJS,O,X,O,X,O,X,O,X,O,O,X,X,X,X,O
LTZIOSJ,O,O,O,X,O,X,X,X,O,O,X,X,X,X,X
LTZJISO,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O
LTZJIOS,O,O,O,X,O,X,O,X,O,X,X,O,O,X,O
LTZJSIO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O
LTZJSOI,O,O,O,O,O,X,X,X,O,X,X,O,O,X,X
LTZJOIS,O,O,O,O,O,X,X,X,O,X,X,O,O,X,O
LTZJOSI,O,O,O,O,O,X,X,X,O,X,X,O,O,X,X
LTZSIJO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O
LTZSIOJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTZSJIO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O
LTZSJOI,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X
LTZSOIJ,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X
LTZSOJI,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X
LTZOIJS,O,X,O,O,O,X,X,X,O,X,X,O,X,X,O
LTZOISJ,O,O,O,X,O,O,X,O,O,X,X,X,X,X,X
LTZOJIS,O,O,O,O,O,X,X,X,O,X,X,O,X,X,O
LTZOJSI,O,O,O,O,O,X,X,X,O,X,X,O,X,X,X
LTZOSIJ,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X
LTZOSJI,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X
LTOIJSZ,O,X,O,O,O,X,O,O,X,X,O,O,O,X,X
LTOIJZS,O,O,O,O,O,X,O,X,O,X,O,O,O,X,X
LTOISJZ,O,O,X,O,O,X,O,O,X,X,O,X,X,X,X
LTOISZJ,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X
LTOIZJS,O,X,O,O,O,X,O,X,O,X,X,O,X,X,X
LTOIZSJ,O,O,O,X,O,O,X,O,O,X,X,X,X,X,X
LTOJISZ,O,X,O,O,O,X,O,O,X,X,O,O,O,X,X
LTOJIZS,O,O,O,O,O,X,O,X,O,X,O,O,O,X,X
LTOJSIZ,O,X,O,O,O,X,X,O,X,X,O,O,O,O,X
LTOJSZI,O,X,O,O,O,X,X,O,X,X,O,O,O,X,X
LTOJZIS,O,O,O,O,O,X,X,X,O,X,O,O,O,X,O
LTOJZSI,O,O,O,O,O,X,X,X,O,X,O,O,O,X,X
LTOSIJZ,O,O,X,O,O,X,X,O,X,X,O,X,X,O,X
LTOSIZJ,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X
LTOSJIZ,O,O,O,O,O,X,X,O,X,X,O,X,X,O,X
LTOSJZI,O,O,O,O,O,X,X,O,X,X,O,X,X,X,X
LTOSZIJ,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X
LTOSZJI,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X
LTOZIJS,O,X,O,O,O,X,X,X,O,X,X,O,X,X,O
LTOZISJ,O,O,O,X,O,O,X,O,O,X,X,X,X,X,X
LTOZJIS,O,O,O,O,O,X,X,X,O,X,X,O,X,X,O
LTOZJSI,O,O,O,O,O,X,X,X,O,X,X,O,X,X,X
LTOZSIJ,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X
LTOZSJI,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X
LITJSZO,O,O,O,X,X,X,O,X,X,X,X,X,O,O,X
LITJSOZ,X,O,O,O,X,X,O,X,X,X,X,X,O,O,X
LITJZSO,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O
