sequence,v115@9gA8IeC8GeB8EeA8BeC8DeB8KeRAJvhFUiBGjB9qBT?mB/tBywB,v115@9gA8IeC8GeB8EeA8BeC8DeB8KeGAJvhFxhBXjBimB9?tB0qBzrB,v115@9gA8IeC8GeB8EeA8BeC8DeB8KeGAJvhFNmBaoB5oBX?nB0qBzrB,v115@9gA8IeC8GeB8EeA8BeC8DeB8KeCBJvhFXiBdoB5oBe?rBUlBzrB,v115@9gA8IeC8GeB8EeA8BeC8DeB8KeCBJvhFOnBXjBTmB9?tBUlBRwB,v115@9gA8IeC8GeB8EeA8BeC8DeB8KefGJvhF6mBNnBToBU?lBGtBRwB
TOJSZIL,X,O,X,O,X,X
TOJSZLI,X,O,X,O,X,X
TOJZILS,X,O,X,O,X,X
TOJZISL,X,O,X,O,X,X
TOJZLIS,X,O,X,O,X,X
TOJZLSI,X,O,X,O,X,X
TOJZSIL,X,O,X,O,X,X
TOJZSLI,X,O,X,O,X,X
TOSILJZ,O,O,X,O,O,O
TOSILZJ,O,O,X,X,O,O
TOSIJLZ,O,O,X,O,O,O
TOSIJZL,O,O,X,O,O,X
TOSIZLJ,X,O,X,X,O,O
TOSIZJL,O,O,X,O,O,X
TOSLIJZ,O,O,X,O,X,X
TOSLIZJ,O,O,X,X,X,X
TOSLJIZ,O,O,X,O,X,X
TOSLJZI,O,O,X,O,X,X
TOSLZIJ,O,O,X,X,X,X
TOSLZJI,O,O,X,X,X,X
TOSJILZ,O,O,X,O,O,X
TOSJIZL,O,O,X,O,O,X
TOSJLIZ,O,O,X,O,X,X
TOSJLZI,O,O,X,O,X,X
TOSJZIL,O,O,X,O,X,X
TOSJZLI,O,O,X,O,X,X
TOSZILJ,X,O,X,X,X,X
TOSZIJL,O,O,X,O,X,X
TOSZLIJ,O,O,X,X,X,X
TOSZLJI,O,O,X,X,X,X
TOSZJIL,O,O,X,O,X,X
TOSZJLI,O,O,X,O,X,X
TOZILJS,X,O,X,X,X,X
TOZILSJ,X,O,X,X,X,O
TOZIJLS,X,O,X,O,X,X
TOZIJSL,X,O,X,O,X,X
TOZISLJ,X,O,X,X,X,O
TOZISJL,O,O,X,O,X,X
TOZLIJS,X,O,X,X,X,X
TOZLISJ,O,O,X,X,X,X
TOZLJIS,X,O,X,X,X,X
TOZLJSI,X,O,X,X,X,X
TOZLSIJ,O,O,X,X,X,X
TOZLSJI,O,O,X,X,X,X
TOZJILS,X,O,X,O,X,X
TOZJISL,X,O,X,O,X,X
TOZJLIS,X,O,X,O,X,X
TOZJLSI,X,O,X,O,X,X
TOZJSIL,X,O,X,O,X,X
TOZJSLI,X,O,X,O,X,X
TOZSILJ,X,O,X,X,X,X
TOZSIJL,O,O,X,O,X,X
TOZSLIJ,O,O,X,X,X,X
TOZSLJI,O,O,X,X,X,X
TOZSJIL,O,O,X,O,X,X
TOZSJLI,O,O,X,O,X,X
ITLJSZO,O,X,O,O,X,X
ITLJSOZ,O,X,X,O,O,O
ITLJZSO,O,X,O,O,X,X
ITLJZOS,X,X,O,X,X,X
ITLJOSZ,X,X,X,O,O,O
ITLJOZS,X,X,X,O,O,X
ITLSJZO,O,X,O,O,X,X
ITLSJOZ,O,X,X,O,O,O
ITLSZJO,O,X,O,X,X,X
ITLSZOJ,O,X,O,X,X,O
ITLSOJZ,O,X,X,O,O,O
ITLSOZJ,O,X,X,X,O,O
ITLZJSO,O,X,O,X,X,X
ITLZJOS,X,X,O,X,X,X
ITLZSJO,O,X,O,X,X,X
ITLZSOJ,O,X,O,X,X,O
ITLZOJS,X,X,O,X,X,X
ITLZOSJ,O,X,O,X,X,O
ITLOJSZ,O,X,X,O,O,O
ITLOJZS,O,X,X,O,O,X
ITLOSJZ,O,X,X,O,O,O
ITLOSZJ,O,X,X,X,O,O
ITLOZJS,O,X,X,X,O,X
ITLOZSJ,O,X,X,X,O,O
ITJLSZO,O,X,O,O,X,X
ITJLSOZ,O,X,X,O,O,O
ITJLZSO,O,X,O,O,X,X
ITJLZOS,X,X,O,X,X,X
ITJLOSZ,X,X,X,O,O,O
ITJLOZS,X,X,X,O,O,X
ITJSLZO,O,O,O,O,X,X
ITJSLOZ,O,O,X,O,O,O
ITJSZLO,O,O,O,O,X,X
ITJSZOL,O,O,O,X,O,X
ITJSOLZ,O,O,X,O,O,O
ITJSOZL,O,O,X,O,O,X
ITJZLSO,X,O,O,O,X,X
ITJZLOS,X,O,O,X,X,X
ITJZSLO,O,O,O,O,X,X
ITJZSOL,O,O,O,X,O,X
ITJZOLS,X,O,O,O,O,X
ITJZOSL,X,O,O,O,O,X
ITJOLSZ,X,O,X,O,O,O
ITJOLZS,X,O,X,O,O,X
ITJOSLZ,X,O,X,O,O,O
ITJOSZL,X,O,X,O,O,X
ITJOZLS,X,X,X,O,O,X
ITJOZSL,X,X,X,O,O,X
ITSLJZO,O,O,O,O,X,X
ITSLJOZ,O,O,X,O,O,O
ITSLZJO,O,X,O,X,X,X
ITSLZOJ,O,X,O,X,X,O
ITSLOJZ,O,X,X,O,O,O
ITSLOZJ,O,X,X,X,O,O
ITSJLZO,O,O,O,O,X,X
ITSJLOZ,O,O,X,O,O,O
ITSJZLO,O,O,O,O,X,X
ITSJZOL,O,O,O,X,O,X
ITSJOLZ,O,O,X,O,O,O
ITSJOZL,O,O,X,O,O,X
ITSZLJO,O,O,O,X,X,X
ITSZLOJ,O,O,O,X,X,O
ITSZJLO,O,O,O,O,X,X
ITSZJOL,O,O,O,X,O,X
ITSZOLJ,X,O,O,X,O,O
ITSZOJL,O,O,O,O,O,X
ITSOLJZ,O,O,X,O,O,O
ITSOLZJ,O,O,X,X,O,O
ITSOJLZ,O,O,X,O,O,O
ITSOJZL,O,O,X,O,O,X
ITSOZLJ,X,O,X,X,O,O
ITSOZJL,O,O,X,O,O,X
ITZLJSO,O,O,O,X,X,X
ITZLJOS,X,O,O,X,X,X
ITZLSJO,O,O,O,X,X,X
ITZLSOJ,O,O,O,X,X,O
ITZLOJS,X,O,O,X,X,X
ITZLOSJ,O,O,O,X,X,O
ITZJLSO,X,O,O,O,X,X
ITZJLOS,X,O,O,X,X,X
ITZJSLO,O,O,O,O,X,X
ITZJSOL,O,O,O,X,O,X
ITZJOLS,X,O,O,O,O,X
ITZJOSL,X,O,O,O,O,X
ITZSLJO,O,O,O,X,X,X
ITZSLOJ,O,O,O,X,X,O
ITZSJLO,O,O,O,O,X,X
ITZSJOL,O,O,O,X,O,X
ITZSOLJ,X,O,O,X,O,O
ITZSOJL,O,O,O,O,O,X
ITZOLJS,X,O,O,X,O,X
ITZOLSJ,X,O,O,X,O,O
ITZOJLS,X,O,O,O,O,X
ITZOJSL,X,O,O,O,O,X
ITZOSLJ,X,O,O,X,O,O
ITZOSJL,O,O,O,O,O,X
ITOLJSZ,X,O,X,O,O,O
ITOLJZS,X,O,X,O,O,X
ITOLSJZ,O,O,X,O,O,O
ITOLSZJ,O,O,X,X,O,O
ITOLZJS,X,O,X,X,O,X
ITOLZSJ,O,O,X,X,O,O
ITOJLSZ,X,O,X,O,O,O
ITOJLZS,X,O,X,O,O,X
ITOJSLZ,X,O,X,O,O,O
ITOJSZL,X,O,X,O,O,X
ITOJZLS,X,X,X,O,O,X
ITOJZSL,X,X,X,O,O,X
ITOSLJZ,O,O,X,O,O,O
ITOSLZJ,O,O,X,X,O,O
ITOSJLZ,O,O,X,O,O,O
ITOSJZL,O,O,X,O,O,X
ITOSZLJ,X,O,X,X,O,O
ITOSZJL,O,O,X,O,O,X
ITOZLJS,X,O,X,X,O,X
ITOZLSJ,X,O,X,X,O,O
ITOZJLS,X,O,X,O,O,X
ITOZJSL,X,O,X,O,O,X
ITOZSLJ,X,O,X,X,O,O
ITOZSJL,O,O,X,O,O,X
ILTJSZO,O,X,O,O,X,X
ILTJSOZ,O,X,X,O,O,O
ILTJZSO,O,X,O,O,X,X
ILTJZOS,X,X,O,X,X,X
ILTJOSZ,X,X,X,O,O,O
ILTJOZS,X,X,X,O,O,X
ILTSJZO,O,X,O,O,X,X
ILTSJOZ,O,X,X,O,O,O
ILTSZJO,O,X,O,X,X,X
ILTSZOJ,O,X,O,X,X,O
ILTSOJZ,O,X,X,O,O,O
ILTSOZJ,O,X,X,X,O,O
ILTZJSO,O,X,O,X,X,X
ILTZJOS,X,X,O,X,X,X
ILTZSJO,O,X,O,X,X,X
ILTZSOJ,O,X,O,X,X,O
ILTZOJS,X,X,O,X,X,X
ILTZOSJ,O,X,O,X,X,O
ILTOJSZ,O,X,X,O,O,O
ILTOJZS,O,X,X,O,O,X
ILTOSJZ,O,X,X,O,O,O
ILTOSZJ,O,X,X,X,O,O
ILTOZJS,O,X,X,X,O,X
ILTOZSJ,O,X,X,X,O,O
ILJTSZO,O,X,O,O,X,X
ILJTSOZ,O,X,X,O,O,O
ILJTZSO,O,X,O,O,X,X
ILJTZOS,X,X,O,X,X,X
ILJTOSZ,X,X,X,O,O,O
ILJTOZS,X,X,X,O,O,X
ILJSTZO,O,X,O,O,X,X
ILJSTOZ,O,X,X,O,X,O
ILJSZTO,O,X,O,X,X,X
ILJSZOT,O,X,O,X,X,X
ILJSOTZ,O,X,X,X,X,O
ILJSOZT,O,X,O,X,X,X
ILJZTSO,X,X,O,O,X,X
ILJZTOS,X,X,O,X,X,X
ILJZSTO,O,X,O,X,X,X
ILJZSOT,O,X,O,X,X,X
ILJZOTS,X,X,O,X,X,X
ILJZOST,X,X,O,X,X,X
ILJOTSZ,X,X,X,O,O,O
ILJOTZS,X,X,X,O,O,X
ILJOSTZ,X,X,X,O,O,O
ILJOSZT,X,X,O,X,X,X
ILJOZTS,X,X,O,O,O,X
ILJOZST,X,X,O,X,X,X
ILSTJZO,O,X,O,X,X,X
ILSTJOZ,O,X,X,X,X,O
ILSTZJO,O,X,O,X,X,X
ILSTZOJ,O,X,O,X,X,O
ILSTOJZ,O,X,X,X,X,O
ILSTOZJ,O,X,X,X,X,O
ILSJTZO,O,X,O,X,X,X
ILSJTOZ,O,X,X,X,X,O
ILSJZTO,O,X,O,X,X,X
ILSJZOT,O,X,O,X,X,X
ILSJOTZ,O,X,X,X,X,O
ILSJOZT,O,X,O,X,X,X
ILSZTJO,O,X,O,X,X,X
ILSZTOJ,O,X,O,X,X,O
ILSZJTO,O,X,O,X,X,X
ILSZJOT,O,X,O,X,X,X
ILSZOTJ,X,X,O,X,X,O
ILSZOJT,O,X,O,X,X,X
ILSOTJZ,O,X,X,X,X,O
ILSOTZJ,O,X,X,X,X,O
ILSOJTZ,O,X,X,X,X,O
ILSOJZT,O,X,O,X,X,X
ILSOZTJ,X,X,O,X,X,O
ILSOZJT,O,X,O,X,X,X
ILZTJSO,O,X,O,X,X,X
ILZTJOS,X,X,O,X,X,X
ILZTSJO,O,X,O,X,X,X
ILZTSOJ,O,X,O,X,X,O
ILZTOJS,X,X,O,X,X,X
ILZTOSJ,O,X,O,X,X,O
ILZJTSO,X,X,O,X,X,X
ILZJTOS,X,X,O,X,X,X
ILZJSTO,O,X,O,X,X,X
ILZJSOT,O,X,O,X,X,X
ILZJOTS,X,X,O,X,X,X
ILZJOST,X,X,O,X,X,X
ILZSTJO,O,X,O,X,X,X
ILZSTOJ,O,X,O,X,X,O
ILZSJTO,O,X,O,X,X,X
ILZSJOT,O,X,O,X,X,X
ILZSOTJ,X,X,O,X,X,O
ILZSOJT,O,X,O,X,X,X
ILZOTJS,X,X,O,X,X,X
ILZOTSJ,X,X,O,X,X,O
ILZOJTS,X,X,O,X,X,X
ILZOJST,X,X,O,X,X,X
ILZOSTJ,X,X,O,X,X,O
ILZOSJT,O,X,O,X,X,X
ILOTJSZ,X,X,X,O,O,O
ILOTJZS,X,X,X,O,O,X
ILOTSJZ,O,X,X,O,O,O
ILOTSZJ,O,X,X,X,O,O
ILOTZJS,X,X,X,X,O,X
ILOTZSJ,O,X,X,X,O,O
ILOJTSZ,X,X,X,O,O,O
ILOJTZS,X,X,X,O,O,X
ILOJSTZ,X,X,X,O,O,O
ILOJSZT,X,X,O,X,X,X
ILOJZTS,X,X,O,O,O,X
ILOJZST,X,X,O,X,X,X
ILOSTJZ,O,X,X,X,O,O
ILOSTZJ,O,X,X,X,O,O
ILOSJTZ,O,X,X,X,O,O
ILOSJZT,O,X,O,X,X,X
ILOSZTJ,X,X,O,X,X,O
ILOSZJT,O,X,O,X,X,X
ILOZTJS,X,X,O,X,O,X
ILOZTSJ,X,X,O,X,O,O
ILOZJTS,X,X,O,X,O,X
ILOZJST,X,X,O,X,X,X
ILOZSTJ,X,X,O,X,X,O
ILOZSJT,O,X,O,X,X,X
IJTLSZO,O,X,O,O,X,X
IJTLSOZ,O,X,X,O,O,O
IJTLZSO,O,X,O,O,X,X
IJTLZOS,X,X,O,X,X,X
IJTLOSZ,X,X,X,O,O,O
IJTLOZS,X,X,X,O,O,X
IJTSLZO,O,O,O,O,X,X
IJTSLOZ,O,O,X,O,O,O
IJTSZLO,O,O,O,O,X,X
IJTSZOL,O,O,O,X,O,X
IJTSOLZ,O,O,X,O,O,O
IJTSOZL,O,O,X,O,O,X
IJTZLSO,X,O,O,O,X,X
IJTZLOS,X,O,O,X,X,X
IJTZSLO,O,O,O,O,X,X
IJTZSOL,O,O,O,X,O,X
IJTZOLS,X,O,O,O,O,X
IJTZOSL,X,O,O,O,O,X
IJTOLSZ,X,O,X,O,O,O
IJTOLZS,X,O,X,O,O,X
IJTOSLZ,X,O,X,O,O,O
IJTOSZL,X,O,X,O,O,X
IJTOZLS,X,X,X,O,O,X
IJTOZSL,X,X,X,O,O,X
IJLTSZO,O,X,O,O,X,X
IJLTSOZ,O,X,X,O,O,O
IJLTZSO,O,X,O,O,X,X
IJLTZOS,X,X,O,X,X,X
IJLTOSZ,X,X,X,O,O,O
IJLTOZS,X,X,X,O,O,X
IJLSTZO,O,X,O,O,X,X
IJLSTOZ,O,X,X,O,X,O
IJLSZTO,O,X,O,X,X,X
IJLSZOT,O,X,O,X,X,X
IJLSOTZ,O,X,X,X,X,O
IJLSOZT,O,X,O,X,X,X
IJLZTSO,X,X,O,O,X,X
IJLZTOS,X,X,O,X,X,X
IJLZSTO,O,X,O,X,X,X
IJLZSOT,O,X,O,X,X,X
IJLZOTS,X,X,O,X,X,X
IJLZOST,X,X,O,X,X,X
IJLOTSZ,X,X,X,O,O,O
IJLOTZS,X,X,X,O,O,X
IJLOSTZ,X,X,X,O,O,O
IJLOSZT,X,X,O,X,X,X
IJLOZTS,X,X,O,O,O,X
IJLOZST,X,X,O,X,X,X
IJSTLZO,O,X,O,O,X,X
IJSTLOZ,O,X,X,O,O,O
IJSTZLO,O,X,O,O,X,X
IJSTZOL,O,X,O,X,O,X
IJSTOLZ,O,X,X,O,O,O
IJSTOZL,O,X,X,O,O,X
IJSLTZO,O,X,O,O,X,X
IJSLTOZ,O,X,X,O,X,O
IJSLZTO,O,X,O,X,X,X
IJSLZOT,O,X,O,X,X,X
IJSLOTZ,O,X,X,X,X,O
IJSLOZT,O,X,O,X,X,X
IJSZTLO,O,X,O,X,X,X
IJSZTOL,O,X,O,X,X,X
IJSZLTO,O,X,O,X,X,X
IJSZLOT,O,X,O,X,X,X
IJSZOTL,O,X,O,X,X,X
IJSZOLT,O,X,O,X,X,X
IJSOTLZ,O,X,X,O,O,O
IJSOTZL,O,X,X,O,O,X
IJSOLTZ,O,X,X,O,O,O
IJSOLZT,O,X,O,X,X,X
IJSOZTL,O,X,O,X,X,X
IJSOZLT,O,X,O,X,X,X
IJZTLSO,X,O,O,O,X,X
IJZTLOS,X,O,O,X,X,X
IJZTSLO,X,O,O,O,X,X
IJZTSOL,X,O,O,X,O,X
IJZTOLS,X,O,O,O,O,X
IJZTOSL,X,O,O,O,O,X
IJZLTSO,X,O,O,O,X,X
IJZLTOS,X,O,O,X,X,X
IJZLSTO,X,O,O,X,X,X
IJZLSOT,X,X,O,X,X,X
IJZLOTS,X,O,O,X,X,X
IJZLOST,X,X,O,X,X,X
IJZSTLO,O,X,O,X,X,X
IJZSTOL,O,X,O,X,X,X
IJZSLTO,O,X,O,X,X,X
IJZSLOT,O,X,O,X,X,X
IJZSOTL,O,X,O,X,X,X
IJZSOLT,O,X,O,X,X,X
IJZOTLS,X,O,O,O,O,X
IJZOTSL,X,O,O,O,O,X
IJZOLTS,X,O,O,O,O,X
IJZOLST,X,O,O,X,X,X
IJZOSTL,X,X,O,X,X,X
IJZOSLT,X,X,O,X,X,X
IJOTLSZ,X,O,X,O,O,O
IJOTLZS,X,O,X,O,O,X
IJOTSLZ,X,O,X,O,O,O
IJOTSZL,X,O,X,O,O,X
IJOTZLS,X,X,X,O,O,X
IJOTZSL,X,X,X,O,O,X
IJOLTSZ,X,O,X,O,O,O
IJOLTZS,X,O,X,O,O,X
IJOLSTZ,X,O,X,O,O,O
IJOLSZT,X,X,O,X,X,X
IJOLZTS,X,O,O,O,O,X
IJOLZST,X,X,O,X,X,X
IJOSTLZ,X,X,X,O,O,O
IJOSTZL,X,X,X,O,O,X
IJOSLTZ,X,X,X,O,O,O
IJOSLZT,X,X,O,X,X,X
IJOSZTL,X,X,O,X,X,X
IJOSZLT,X,X,O,X,X,X
IJOZTLS,X,X,O,O,O,X
IJOZTSL,X,X,O,O,O,X
IJOZLTS,X,X,O,O,O,X
IJOZLST,X,X,O,X,X,X
IJOZSTL,X,X,O,X,X,X
IJOZSLT,X,X,O,X,X,X
ISTLJZO,O,X,O,O,X,X
ISTLJOZ,O,X,X,O,O,O
ISTLZJO,O,X,O,X,X,X
ISTLZOJ,O,X,O,X,X,O
ISTLOJZ,O,X,X,O,O,O
ISTLOZJ,O,X,X,X,O,O
ISTJLZO,O,X,O,O,X,X
ISTJLOZ,O,X,X,O,O,O
ISTJZLO,O,X,O,O,X,X
ISTJZOL,O,X,O,X,O,X
ISTJOLZ,O,X,X,O,O,O
ISTJOZL,O,X,X,O,O,X
ISTZLJO,O,X,O,X,X,X
ISTZLOJ,O,X,O,X,X,O
ISTZJLO,O,X,O,O,X,X
ISTZJOL,O,X,O,X,O,X
ISTZOLJ,X,X,O,X,O,O
ISTZOJL,O,X,O,O,O,X
ISTOLJZ,O,X,X,O,O,O
ISTOLZJ,O,X,X,X,O,O
ISTOJLZ,O,X,X,O,O,O
ISTOJZL,O,X,X,O,O,X
ISTOZLJ,X,X,X,X,O,O
ISTOZJL,O,X,X,O,O,X
ISLTJZO,O,X,O,X,X,X
ISLTJOZ,O,X,X,X,X,O
ISLTZJO,O,X,O,X,X,X
ISLTZOJ,O,X,O,X,X,O
ISLTOJZ,O,X,X,X,X,O
ISLTOZJ,O,X,X,X,X,O
ISLJTZO,O,X,O,X,X,X
ISLJTOZ,O,X,X,X,X,O
ISLJZTO,O,X,O,X,X,X
ISLJZOT,O,X,O,X,X,X
ISLJOTZ,O,X,X,X,X,O
ISLJOZT,O,X,O,X,X,X
ISLZTJO,O,X,O,X,X,X
ISLZTOJ,O,X,O,X,X,O
ISLZJTO,O,X,O,X,X,X
ISLZJOT,O,X,O,X,X,X
ISLZOTJ,X,X,O,X,X,O
ISLZOJT,O,X,O,X,X,X
ISLOTJZ,O,X,X,X,X,O
ISLOTZJ,O,X,X,X,X,O
ISLOJTZ,O,X,X,X,X,O
ISLOJZT,O,X,O,X,X,X
ISLOZTJ,X,X,O,X,X,O
ISLOZJT,O,X,O,X,X,X
ISJTLZO,O,X,O,O,X,X
ISJTLOZ,O,X,X,O,O,O
ISJTZLO,O,X,O,O,X,X
ISJTZOL,O,X,O,X,O,X
ISJTOLZ,O,X,X,O,O,O
ISJTOZL,O,X,X,O,O,X
ISJLTZO,O,X,O,O,X,X
ISJLTOZ,O,X,X,O,X,O
ISJLZTO,O,X,O,X,X,X
ISJLZOT,O,X,O,X,X,X
ISJLOTZ,O,X,X,X,X,O
ISJLOZT,O,X,O,X,X,X
ISJZTLO,O,X,O,X,X,X
ISJZTOL,O,X,O,X,X,X
ISJZLTO,O,X,O,X,X,X
ISJZLOT,O,X,O,X,X,X
ISJZOTL,O,X,O,X,X,X
ISJZOLT,O,X,O,X,X,X
ISJOTLZ,O,X,X,O,O,O
ISJOTZL,O,X,X,O,O,X
ISJOLTZ,O,X,X,O,O,O
ISJOLZT,O,X,O,X,X,X
ISJOZTL,O,X,O,X,X,X
ISJOZLT,O,X,O,X,X,X
ISZTLJO,O,X,O,X,X,X
ISZTLOJ,O,X,O,X,X,O
ISZTJLO,O,X,O,X,X,X
ISZTJOL,O,X,O,X,X,X
ISZTOLJ,X,X,O,X,X,O
ISZTOJL,O,X,O,X,X,X
ISZLTJO,O,X,O,X,X,X
ISZLTOJ,O,X,O,X,X,O
ISZLJTO,O,X,O,X,X,X
ISZLJOT,O,X,O,X,X,X
ISZLOTJ,X,X,O,X,X,O
ISZLOJT,O,X,O,X,X,X
ISZJTLO,O,X,O,X,X,X
ISZJTOL,O,X,O,X,X,X
ISZJLTO,O,X,O,X,X,X
ISZJLOT,O,X,O,X,X,X
ISZJOTL,O,X,O,X,X,X
ISZJOLT,O,X,O,X,X,X
ISZOTLJ,X,X,O,X,X,O
ISZOTJL,X,X,O,X,X,X
ISZOLTJ,X,X,O,X,X,O
ISZOLJT,X,X,O,X,X,X
ISZOJTL,O,X,O,X,X,X
ISZOJLT,O,X,O,X,X,X
ISOTLJZ,O,X,X,O,O,O
ISOTLZJ,O,X,X,X,O,O
ISOTJLZ,O,X,X,O,O,O
ISOTJZL,O,X,X,O,O,X
ISOTZLJ,X,X,X,X,O,O
ISOTZJL,O,X,X,O,O,X
ISOLTJZ,O,X,X,X,O,O
ISOLTZJ,O,X,X,X,O,O
ISOLJTZ,O,X,X,X,O,O
ISOLJZT,O,X,O,X,X,X
ISOLZTJ,X,X,O,X,X,O
ISOLZJT,O,X,O,X,X,X
ISOJTLZ,O,X,X,O,O,O
ISOJTZL,O,X,X,O,O,X
ISOJLTZ,O,X,X,O,O,O
ISOJLZT,O,X,O,X,X,X
ISOJZTL,O,X,O,X,X,X
ISOJZLT,O,X,O,X,X,X
ISOZTLJ,X,X,O,X,X,O
ISOZTJL,X,X,O,X,X,X
ISOZLTJ,X,X,O,X,X,O
ISOZLJT,X,X,O,X,X,X
ISOZJTL,O,X,O,X,X,X
ISOZJLT,O,X,O,X,X,X
IZTLJSO,O,O,O,X,X,X
IZTLJOS,X,O,O,X,X,X
IZTLSJO,O,O,O,X,X,X
IZTLSOJ,O,O,O,X,X,O
IZTLOJS,X,O,O,X,X,X
IZTLOSJ,O,O,O,X,X,O
IZTJLSO,X,O,O,O,X,X
IZTJLOS,X,O,O,X,X,X
IZTJSLO,O,O,O,O,X,X
IZTJSOL,O,O,O,X,O,X
IZTJOLS,X,O,O,O,O,X
IZTJOSL,X,O,O,O,O,X
IZTSLJO,O,O,O,X,X,X
IZTSLOJ,O,O,O,X,X,O
IZTSJLO,O,O,O,O,X,X
IZTSJOL,O,O,O,X,O,X
IZTSOLJ,X,O,O,X,O,O
IZTSOJL,O,O,O,O,O,X
IZTOLJS,X,O,O,X,O,X
IZTOLSJ,X,O,O,X,O,O
IZTOJLS,X,O,O,O,O,X
IZTOJSL,X,O,O,O,O,X
IZTOSLJ,X,O,O,X,O,O
IZTOSJL,O,O,O,O,O,X
IZLTJSO,O,O,O,X,X,X
IZLTJOS,X,O,O,X,X,X
IZLTSJO,O,O,O,X,X,X
IZLTSOJ,O,O,O,X,X,O
IZLTOJS,X,O,O,X,X,X
IZLTOSJ,O,O,O,X,X,O
IZLJTSO,X,O,O,X,X,X
IZLJTOS,X,O,O,X,X,X
IZLJSTO,O,O,O,X,X,X
IZLJSOT,O,X,O,X,X,X
IZLJOTS,X,O,O,X,X,X
IZLJOST,X,X,O,X,X,X
IZLSTJO,O,O,O,X,X,X
IZLSTOJ,O,O,O,X,X,O
IZLSJTO,O,O,O,X,X,X
IZLSJOT,O,X,O,X,X,X
IZLSOTJ,X,X,O,X,X,O
IZLSOJT,O,X,O,X,X,X
IZLOTJS,X,O,O,X,X,X
IZLOTSJ,X,O,O,X,X,O
IZLOJTS,X,O,O,X,X,X
IZLOJST,X,X,O,X,X,X
IZLOSTJ,X,X,O,X,X,O
IZLOSJT,O,X,O,X,X,X
IZJTLSO,X,O,O,O,X,X
IZJTLOS,X,O,O,X,X,X
IZJTSLO,X,O,O,O,X,X
IZJTSOL,X,O,O,X,O,X
IZJTOLS,X,O,O,O,O,X
IZJTOSL,X,O,O,O,O,X
IZJLTSO,X,O,O,O,X,X
IZJLTOS,X,O,O,X,X,X
IZJLSTO,X,O,O,X,X,X
IZJLSOT,X,X,O,X,X,X
IZJLOTS,X,O,O,X,X,X
IZJLOST,X,X,O,X,X,X
IZJSTLO,O,X,O,X,X,X
IZJSTOL,O,X,O,X,X,X
IZJSLTO,O,X,O,X,X,X
IZJSLOT,O,X,O,X,X,X
IZJSOTL,O,X,O,X,X,X
IZJSOLT,O,X,O,X,X,X
IZJOTLS,X,O,O,O,O,X
IZJOTSL,X,O,O,O,O,X
IZJOLTS,X,O,O,O,O,X
IZJOLST,X,O,O,X,X,X
IZJOSTL,X,X,O,X,X,X
IZJOSLT,X,X,O,X,X,X
IZSTLJO,O,X,O,X,X,X
IZSTLOJ,O,X,O,X,X,O
IZSTJLO,O,X,O,X,X,X
IZSTJOL,O,X,O,X,X,X
IZSTOLJ,X,X,O,X,X,O
IZSTOJL,O,X,O,X,X,X
IZSLTJO,O,X,O,X,X,X
IZSLTOJ,O,X,O,X,X,O
IZSLJTO,O,X,O,X,X,X
IZSLJOT,O,X,O,X,X,X
IZSLOTJ,X,X,O,X,X,O
IZSLOJT,O,X,O,X,X,X
IZSJTLO,O,X,O,X,X,X
IZSJTOL,O,X,O,X,X,X
IZSJLTO,O,X,O,X,X,X
IZSJLOT,O,X,O,X,X,X
IZSJOTL,O,X,O,X,X,X
IZSJOLT,O,X,O,X,X,X
IZSOTLJ,X,X,O,X,X,O
IZSOTJL,X,X,O,X,X,X
IZSOLTJ,X,X,O,X,X,O
IZSOLJT,X,X,O,X,X,X
IZSOJTL,O,X,O,X,X,X
IZSOJLT,O,X,O,X,X,X
IZOTLJS,X,O,O,X,O,X
IZOTLSJ,X,O,O,X,O,O
IZOTJLS,X,O,O,O,O,X
IZOTJSL,X,O,O,O,O,X
IZOTSLJ,X,O,O,X,O,O
IZOTSJL,X,O,O,O,O,X
IZOLTJS,X,O,O,X,O,X
IZOLTSJ,X,O,O,X,O,O
IZOLJTS,X,O,O,X,O,X
IZOLJST,X,O,O,X,X,X
IZOLSTJ,X,O,O,X,X,O
IZOLSJT,X,O,O,X,X,X
IZOJTLS,X,O,O,O,O,X
IZOJTSL,X,O,O,O,O,X
IZOJLTS,X,O,O,O,O,X
IZOJLST,X,O,O,X,X,X
IZOJSTL,X,X,O,X,X,X
IZOJSLT,X,X,O,X,X,X
IZOSTLJ,X,X,O,X,X,O
IZOSTJL,X,X,O,X,X,X
IZOSLTJ,X,X,O,X,X,O
IZOSLJT,X,X,O,X,X,X
IZOSJTL,O,X,O,X,X,X
IZOSJLT,O,X,O,X,X,X
IOTLJSZ,X,O,X,O,O,O
IOTLJZS,X,O,X,O,O,X
IOTLSJZ,O,O,X,O,O,O
IOTLSZJ,O,O,X,X,O,O
IOTLZJS,X,O,X,X,O,X
IOTLZSJ,O,O,X,X,O,O
IOTJLSZ,X,O,X,O,O,O
IOTJLZS,X,O,X,O,O,X
IOTJSLZ,X,O,X,O,O,O
IOTJSZL,X,O,X,O,O,X
IOTJZLS,X,X,X,O,O,X
IOTJZSL,X,X,X,O,O,X
IOTSLJZ,O,O,X,O,O,O
IOTSLZJ,O,O,X,X,O,O
IOTSJLZ,O,O,X,O,O,O
IOTSJZL,O,O,X,O,O,X
IOTSZLJ,X,O,X,X,O,O
IOTSZJL,O,O,X,O,O,X
