sequence,v115@GhA8HeC8GeD8DeD8Jei/IvhFRhBunBfqBzmBUrBlqB,v115@GhA8HeC8GeD8DeD8JeT/IvhFxgBliBXlBUnBGrByvB,v115@GhA8HeC8GeD8DeD8JeT/IvhFxgBliBSqB/rBUnB2vB,v115@GhA8HeC8GeD8DeD8Je/EJvhFzgBRiBGnB0qBlrBaqB,v115@GhA8HeC8GeD8DeD8JeT/IvhFylB3iBFqBxrBurB0qB,v115@GhA8HeC8GeD8DeD8JeT/IvhF0gBlhB3iBRqBCsB2vB,v115@GhA8HeC8GeD8DeD8JeT/IvhF3iBxlBmlBUnBFqBSwB,v115@GhA8HeC8GeD8DeD8JeT/IvhFUiBxlBmlB3nBFqBSwB,v115@GhA8HeC8GeD8DeD8Je2EJvhF/mBRiBcqBTnBClBVwB,v115@GhA8HeC8GeD8DeD8Je3AJvhFRiB0kBSsBzqBlrBmpB
TSOLJZI,O,X,X,X,X,X,X,X,X,X
TSOLZIJ,O,O,O,X,O,O,O,X,O,X
TSOLZJI,O,O,O,X,X,X,X,X,O,X
TSOJILZ,O,O,O,X,O,X,O,X,X,X
TSOJIZL,X,O,O,O,O,X,O,X,O,X
TSOJLIZ,O,O,O,X,O,O,O,X,X,X
TSOJLZI,O,X,X,X,X,X,X,X,X,X
TSOJZIL,O,O,X,O,X,X,X,X,O,X
TSOJZLI,O,O,X,O,X,X,X,X,O,X
TSOZILJ,O,O,O,X,O,X,O,X,O,X
TSOZIJL,O,O,O,O,O,X,O,X,O,X
TSOZLIJ,O,O,O,X,O,O,O,X,O,X
TSOZLJI,O,O,O,O,X,X,X,X,O,X
TSOZJIL,O,O,O,O,X,X,X,X,O,X
TSOZJLI,O,O,O,O,X,X,X,X,O,X
TZILJSO,X,O,X,O,O,X,X,X,X,X
TZILJOS,X,O,X,O,O,X,X,X,X,X
TZILSJO,X,X,O,O,O,X,X,X,X,X
TZILSOJ,X,O,O,X,O,X,X,X,X,X
TZILOJS,X,O,X,X,O,X,X,O,X,X
TZILOSJ,X,O,O,X,O,X,X,O,X,X
TZIJLSO,X,O,X,O,O,X,X,X,X,X
TZIJLOS,X,O,X,O,O,X,X,X,X,X
TZIJSLO,X,O,O,O,O,X,X,X,X,X
TZIJSOL,X,O,O,O,O,X,X,X,O,X
TZIJOLS,X,O,X,O,O,X,X,O,X,X
TZIJOSL,X,O,O,O,O,X,X,O,O,X
TZISLJO,X,X,O,O,O,X,X,X,X,X
TZISLOJ,X,O,O,X,O,X,X,X,X,X
TZISJLO,X,O,O,O,O,X,X,X,X,X
TZISJOL,X,O,O,O,O,X,X,X,O,X
TZISOLJ,X,O,O,X,O,X,O,O,O,X
TZISOJL,X,O,O,O,O,X,O,O,O,X
TZIOLJS,X,O,X,X,O,X,X,O,X,X
TZIOLSJ,X,O,O,X,O,X,X,O,X,X
TZIOJLS,X,O,X,O,O,X,X,O,X,X
TZIOJSL,X,O,O,O,O,X,X,O,O,X
TZIOSLJ,X,O,O,X,O,X,O,O,O,X
TZIOSJL,X,O,O,O,O,X,O,O,O,X
TZLIJSO,X,O,X,O,O,X,X,X,X,X
TZLIJOS,X,O,X,O,O,X,X,X,X,X
TZLISJO,X,X,O,O,O,X,X,X,X,X
TZLISOJ,X,O,O,X,O,X,X,X,X,X
TZLIOJS,X,O,X,X,O,X,X,X,X,X
TZLIOSJ,X,O,O,X,O,X,X,X,X,X
TZLJISO,X,O,X,O,X,X,X,X,X,X
TZLJIOS,X,O,X,O,X,X,X,X,X,X
TZLJSIO,X,O,O,O,X,X,X,X,X,X
TZLJSOI,X,O,O,O,X,X,X,X,O,X
TZLJOIS,O,O,X,O,X,X,X,X,X,X
TZLJOSI,X,X,O,O,X,X,X,X,O,X
TZLSIJO,X,X,O,O,O,X,X,X,X,X
TZLSIOJ,X,O,O,X,O,X,X,X,X,X
TZLSJIO,X,O,O,O,X,X,X,X,X,X
TZLSJOI,X,O,O,O,X,X,X,X,O,X
TZLSOIJ,X,O,O,X,O,X,X,X,O,X
TZLSOJI,X,O,O,O,X,X,X,X,O,X
TZLOIJS,O,O,X,X,O,X,X,X,X,O
TZLOISJ,X,O,O,X,O,X,X,X,X,O
TZLOJIS,O,O,X,O,X,X,X,X,X,O
TZLOJSI,X,X,O,O,X,X,X,X,O,O
TZLOSIJ,X,O,O,X,O,X,X,X,O,O
TZLOSJI,X,O,O,O,X,X,X,X,O,O
TZJILSO,X,O,X,O,X,X,X,X,X,X
TZJILOS,X,O,X,O,X,X,X,X,X,X
TZJISLO,X,O,O,O,X,X,X,X,X,X
TZJISOL,X,O,O,O,X,X,X,X,O,X
TZJIOLS,X,O,X,O,X,X,X,X,X,X
TZJIOSL,X,O,O,O,X,X,X,X,O,X
TZJLISO,X,O,X,O,X,X,X,X,X,X
TZJLIOS,X,O,X,O,X,X,X,X,X,X
TZJLSIO,X,O,O,O,X,X,X,X,X,X
TZJLSOI,X,O,O,O,X,X,X,X,O,X
TZJLOIS,O,O,X,O,X,X,X,X,X,X
TZJLOSI,X,X,O,O,X,X,X,X,O,X
TZJSILO,X,O,O,O,X,X,X,X,X,X
TZJSIOL,X,O,O,O,X,X,X,X,O,X
TZJSLIO,X,O,O,O,X,X,X,X,X,X
TZJSLOI,O,O,O,O,X,X,X,X,O,X
TZJSOIL,O,O,O,O,X,X,X,X,O,X
TZJSOLI,O,O,O,O,X,X,X,X,O,X
TZJOILS,O,O,X,O,X,X,X,X,X,X
TZJOISL,O,O,O,O,X,X,X,X,O,X
TZJOLIS,O,O,X,O,X,X,X,X,X,X
TZJOLSI,X,X,O,O,X,X,X,X,O,X
TZJOSIL,O,O,O,O,X,X,X,X,O,X
TZJOSLI,O,O,O,O,X,X,X,X,O,X
TZSILJO,X,X,O,O,O,X,X,X,X,X
TZSILOJ,X,O,O,X,O,X,X,X,X,X
TZSIJLO,X,O,O,O,O,X,X,X,X,X
TZSIJOL,X,O,O,O,O,X,X,X,O,X
TZSIOLJ,X,O,O,X,O,X,O,X,O,X
TZSIOJL,X,O,O,O,O,X,O,X,O,X
TZSLIJO,X,X,O,O,O,X,X,X,X,X
TZSLIOJ,X,O,O,X,O,X,O,X,X,X
TZSLJIO,X,O,O,O,X,X,X,X,X,X
TZSLJOI,O,O,O,O,X,X,X,X,O,X
TZSLOIJ,O,O,O,X,O,X,O,X,O,X
TZSLOJI,O,O,O,O,X,X,X,X,O,X
TZSJILO,X,O,O,O,X,X,X,X,X,X
TZSJIOL,X,O,O,O,X,X,X,X,O,X
TZSJLIO,X,O,O,O,X,X,X,X,X,X
TZSJLOI,O,O,O,O,X,X,X,X,O,X
TZSJOIL,O,O,O,O,X,X,X,X,O,X
TZSJOLI,O,O,O,O,X,X,X,X,O,X
TZSOILJ,O,O,O,X,O,X,O,X,O,X
TZSOIJL,O,O,O,O,O,X,O,X,O,X
TZSOLIJ,O,O,O,X,O,X,O,X,O,O
TZSOLJI,O,O,O,O,X,X,X,X,O,O
TZSOJIL,O,O,O,O,X,X,X,X,O,X
TZSOJLI,O,O,O,O,X,X,X,X,O,X
TZOILJS,O,O,X,X,O,X,X,O,X,X
TZOILSJ,X,O,O,X,O,X,X,O,X,X
TZOIJLS,O,O,X,O,O,X,X,O,X,X
TZOIJSL,O,O,O,O,O,X,X,O,O,X
TZOISLJ,O,O,O,X,O,X,O,O,O,X
TZOISJL,O,O,O,O,O,X,O,O,O,X
TZOLIJS,O,O,X,X,O,X,X,X,X,O
TZOLISJ,X,O,O,X,O,X,X,X,X,O
TZOLJIS,O,O,X,O,X,X,X,X,X,O
TZOLJSI,X,X,O,O,X,X,X,X,O,O
TZOLSIJ,X,O,O,X,O,X,X,X,O,O
TZOLSJI,X,O,O,O,X,X,X,X,O,O
TZOJILS,O,O,X,O,X,X,X,X,X,X
TZOJISL,O,O,O,O,X,X,X,X,O,X
TZOJLIS,O,O,X,O,X,X,X,X,X,X
TZOJLSI,X,X,O,O,X,X,X,X,O,X
TZOJSIL,O,O,O,O,X,X,X,X,O,X
TZOJSLI,O,O,O,O,X,X,X,X,O,X
TZOSILJ,O,O,O,X,O,X,O,X,O,X
TZOSIJL,O,O,O,O,O,X,O,X,O,X
TZOSLIJ,O,O,O,X,O,X,O,X,O,O
TZOSLJI,O,O,O,O,X,X,X,X,O,O
TZOSJIL,O,O,O,O,X,X,X,X,O,X
TZOSJLI,O,O,O,O,X,X,X,X,O,X
TOILJSZ,O,X,O,X,O,O,X,X,X,X
TOILJZS,O,X,X,X,O,O,X,X,X,X
TOILSJZ,X,X,O,X,O,O,O,X,X,X
TOILSZJ,X,X,O,X,O,O,O,X,X,X
TOILZJS,X,X,X,X,O,O,X,O,X,X
TOILZSJ,X,X,O,X,O,O,X,O,X,X
TOIJLSZ,O,X,X,X,O,X,X,X,X,X
TOIJLZS,O,X,X,O,O,X,X,X,X,X
TOIJSLZ,O,X,X,X,O,X,O,X,X,X
TOIJSZL,X,X,X,O,O,X,O,X,X,X
TOIJZLS,O,X,X,O,O,X,X,O,X,X
TOIJZSL,O,X,X,O,O,X,X,O,X,X
TOISLJZ,O,O,O,X,O,O,O,X,X,X
TOISLZJ,X,O,O,X,O,O,O,X,O,X
TOISJLZ,O,O,O,X,O,X,O,X,X,X
TOISJZL,X,O,O,O,O,X,O,X,O,X
TOISZLJ,X,O,O,X,O,O,O,O,O,X
TOISZJL,X,O,O,O,O,X,O,O,O,X
TOIZLJS,O,O,X,X,O,O,X,O,X,X
TOIZLSJ,X,O,O,X,O,O,X,O,X,X
TOIZJLS,O,O,X,O,O,X,X,O,X,X
TOIZJSL,O,O,O,O,O,X,X,O,O,X
TOIZSLJ,O,O,O,X,O,O,O,O,O,X
TOIZSJL,O,O,O,O,O,X,O,O,O,X
TOLIJSZ,O,X,O,X,O,O,O,X,X,X
TOLIJZS,O,X,X,X,O,O,X,O,X,X
TOLISJZ,X,X,O,X,O,O,O,X,X,X
TOLISZJ,X,X,O,X,O,O,O,O,X,X
TOLIZJS,X,X,X,X,O,O,X,O,X,X
TOLIZSJ,X,X,O,X,O,O,O,O,X,X
TOLJISZ,O,X,O,X,O,O,O,X,X,X
TOLJIZS,O,X,X,O,O,O,X,O,X,X
TOLJSIZ,O,X,O,X,O,O,O,X,X,X
TOLJSZI,O,X,X,X,X,X,X,X,X,X
TOLJZIS,O,X,X,O,X,X,X,X,X,X
TOLJZSI,X,X,O,O,X,X,X,X,X,X
TOLSIJZ,O,O,O,X,O,O,O,X,X,X
TOLSIZJ,X,O,O,X,O,O,O,O,O,X
TOLSJIZ,O,O,O,X,O,O,O,X,X,X
TOLSJZI,O,X,X,X,X,X,X,X,X,X
TOLSZIJ,O,O,O,X,O,O,O,X,O,O
TOLSZJI,O,O,O,X,X,X,X,X,O,O
TOLZIJS,O,O,X,X,O,O,X,O,X,O
TOLZISJ,X,O,O,X,O,O,O,O,X,O
TOLZJIS,O,O,X,O,X,X,X,X,X,O
TOLZJSI,X,X,O,O,X,X,X,X,O,O
TOLZSIJ,X,O,O,X,O,O,O,X,O,O
TOLZSJI,X,O,O,O,X,X,X,X,O,O
TOJILSZ,O,X,X,X,O,X,X,X,X,X
TOJILZS,O,X,X,O,O,X,X,X,X,X
TOJISLZ,O,X,X,X,O,X,O,X,X,X
TOJISZL,X,X,X,O,O,X,O,X,X,X
TOJIZLS,O,X,X,O,O,X,X,O,X,X
TOJIZSL,O,X,X,O,O,X,X,O,X,X
TOJLISZ,O,X,O,X,O,X,X,X,X,X
TOJLIZS,O,X,X,O,O,X,X,X,X,X
TOJLSIZ,O,X,O,X,O,X,X,X,X,X
TOJLSZI,O,X,X,X,X,X,X,X,X,X
TOJLZIS,O,X,X,O,X,X,X,X,X,X
TOJLZSI,X,X,O,O,X,X,X,X,X,X
TOJSILZ,O,O,O,X,O,X,O,X,X,X
TOJSIZL,X,O,O,O,O,X,O,X,O,X
TOJSLIZ,O,O,O,X,O,X,O,X,X,X
TOJSLZI,O,X,X,X,X,X,X,X,X,X
TOJSZIL,O,O,X,O,X,X,X,X,O,X
TOJSZLI,O,O,X,O,X,X,X,X,O,X
TOJZILS,O,O,X,O,X,X,X,X,X,X
TOJZISL,O,O,O,O,X,X,X,X,O,X
TOJZLIS,O,O,X,O,X,X,X,X,X,X
TOJZLSI,X,X,O,O,X,X,X,X,O,X
TOJZSIL,O,O,O,O,X,X,X,X,O,X
TOJZSLI,O,O,O,O,X,X,X,X,O,X
TOSILJZ,O,O,O,X,O,O,O,X,X,X
TOSILZJ,X,O,O,X,O,O,O,X,O,X
TOSIJLZ,O,O,O,X,O,X,O,X,X,X
TOSIJZL,X,O,O,O,O,X,O,X,O,X
TOSIZLJ,X,O,O,X,O,O,O,O,O,X
TOSIZJL,X,O,O,O,O,X,O,O,O,X
TOSLIJZ,O,O,O,X,O,O,O,X,X,X
TOSLIZJ,X,O,O,X,O,O,O,X,O,X
TOSLJIZ,O,O,O,X,O,O,O,X,X,X
TOSLJZI,O,X,X,X,X,X,X,X,X,X
TOSLZIJ,O,O,O,X,O,O,O,X,O,O
TOSLZJI,O,O,O,X,X,X,X,X,O,O
TOSJILZ,O,O,O,X,O,X,O,X,X,X
TOSJIZL,X,O,O,O,O,X,O,X,O,X
TOSJLIZ,O,O,O,X,O,O,O,X,X,X
TOSJLZI,O,X,X,X,X,X,X,X,X,X
TOSJZIL,O,O,X,O,X,X,X,X,O,X
TOSJZLI,O,O,X,O,X,X,X,X,O,X
TOSZILJ,O,O,O,X,O,X,O,X,O,X
TOSZIJL,O,O,O,O,O,X,O,X,O,X
TOSZLIJ,O,O,O,X,O,O,O,X,O,O
TOSZLJI,O,O,O,O,X,X,X,X,O,O
TOSZJIL,O,O,O,O,X,X,X,X,O,X
TOSZJLI,O,O,O,O,X,X,X,X,O,X
TOZILJS,O,O,X,X,O,X,X,O,X,X
TOZILSJ,X,O,O,X,O,X,X,O,X,X
TOZIJLS,O,O,X,O,O,X,X,O,X,X
TOZIJSL,O,O,O,O,O,X,X,O,O,X
TOZISLJ,O,O,O,X,O,X,O,O,O,X
TOZISJL,O,O,O,O,O,X,O,O,O,X
TOZLIJS,O,O,X,X,O,X,X,X,X,O
TOZLISJ,X,O,O,X,O,X,X,X,X,O
TOZLJIS,O,O,X,O,X,X,X,X,X,O
TOZLJSI,X,X,O,O,X,X,X,X,O,O
TOZLSIJ,X,O,O,X,O,X,X,X,O,O
TOZLSJI,X,O,O,O,X,X,X,X,O,O
TOZJILS,O,O,X,O,X,X,X,X,X,X
TOZJISL,O,O,O,O,X,X,X,X,O,X
TOZJLIS,O,O,X,O,X,X,X,X,X,X
TOZJLSI,X,X,O,O,X,X,X,X,O,X
TOZJSIL,O,O,O,O,X,X,X,X,O,X
TOZJSLI,O,O,O,O,X,X,X,X,O,X
TOZSILJ,O,O,O,X,O,X,O,X,O,X
TOZSIJL,O,O,O,O,O,X,O,X,O,X
TOZSLIJ,O,O,O,X,O,X,O,X,O,O
TOZSLJI,O,O,O,O,X,X,X,X,O,O
TOZSJIL,O,O,O,O,X,X,X,X,O,X
TOZSJLI,O,O,O,O,X,X,X,X,O,X
ITLJSZO,X,X,X,O,O,O,X,X,X,X
ITLJSOZ,X,X,X,X,O,O,X,X,X,X
ITLJZSO,X,X,X,O,O,O,X,X,X,X
ITLJZOS,X,X,X,O,O,O,X,X,X,X
ITLJOSZ,X,X,O,X,O,O,X,X,X,X
ITLJOZS,X,X,X,O,O,O,X,X,X,X
ITLSJZO,X,X,X,O,O,O,X,X,X,X
ITLSJOZ,X,X,O,X,O,O,X,X,X,X
ITLSZJO,X,X,X,O,O,O,X,X,X,X
ITLSZOJ,X,X,O,X,O,O,X,X,X,X
ITLSOJZ,X,X,O,X,O,O,O,X,X,X
ITLSOZJ,X,X,O,X,O,O,O,X,X,X
ITLZJSO,X,X,X,O,O,O,X,X,X,X
ITLZJOS,X,X,X,O,O,O,X,X,X,X
ITLZSJO,X,X,O,O,O,O,X,X,X,X
ITLZSOJ,X,X,O,X,O,O,X,X,X,X
ITLZOJS,X,X,X,X,O,O,X,O,X,X
ITLZOSJ,X,X,O,X,O,O,X,O,X,X
ITLOJSZ,X,X,O,X,O,O,X,X,X,X
ITLOJZS,X,X,X,X,O,O,X,X,X,X
ITLOSJZ,X,X,O,X,O,O,O,X,X,X
ITLOSZJ,X,X,O,X,O,O,O,X,X,X
ITLOZJS,X,X,X,X,O,O,X,O,X,X
ITLOZSJ,X,X,O,X,O,O,X,O,X,X
ITJLSZO,X,X,X,O,O,X,X,X,X,X
ITJLSOZ,X,X,X,X,O,X,X,X,X,X
ITJLZSO,X,X,X,O,O,X,X,X,X,X
ITJLZOS,X,X,X,O,O,X,X,X,X,X
ITJLOSZ,X,X,X,X,O,X,X,X,X,X
ITJLOZS,X,X,X,O,O,X,X,X,X,X
ITJSLZO,X,X,X,O,O,X,X,X,X,X
ITJSLOZ,X,O,X,X,O,X,X,X,X,X
ITJSZLO,X,X,X,O,O,X,X,X,X,X
ITJSZOL,X,O,X,O,O,X,X,X,X,X
ITJSOLZ,X,O,X,X,O,X,O,X,X,X
ITJSOZL,X,O,X,O,O,X,O,X,X,X
ITJZLSO,X,X,X,O,O,X,X,X,X,X
ITJZLOS,X,X,X,O,O,X,X,X,X,X
ITJZSLO,X,X,X,O,O,X,X,X,X,X
ITJZSOL,X,X,X,O,O,X,X,X,X,X
ITJZOLS,X,X,X,O,O,X,X,O,X,X
ITJZOSL,X,X,X,O,O,X,X,O,X,X
ITJOLSZ,X,X,X,X,O,X,X,X,X,X
ITJOLZS,X,X,X,O,O,X,X,X,X,X
ITJOSLZ,X,X,X,X,O,X,O,X,X,X
ITJOSZL,X,X,X,O,O,X,O,X,X,X
ITJOZLS,X,X,X,O,O,X,X,O,X,X
ITJOZSL,X,X,X,O,O,X,X,O,X,X
ITSLJZO,X,X,X,O,O,O,X,X,X,X
ITSLJOZ,X,X,O,X,O,O,O,X,X,X
ITSLZJO,X,X,X,O,O,O,X,X,X,X
ITSLZOJ,X,X,O,X,O,O,O,X,X,X
ITSLOJZ,X,O,O,X,O,O,O,X,X,X
ITSLOZJ,X,O,O,X,O,O,O,X,X,X
ITSJLZO,X,X,X,O,O,X,X,X,X,X
ITSJLOZ,X,O,O,X,O,X,X,X,X,X
ITSJZLO,X,X,X,O,O,X,X,X,X,X
ITSJZOL,X,O,X,O,O,X,X,X,X,X
ITSJOLZ,X,O,O,X,O,X,O,X,X,X
ITSJOZL,X,O,O,O,O,X,O,X,X,X
ITSZLJO,X,X,X,O,O,O,X,X,X,X
ITSZLOJ,X,O,O,X,O,O,X,X,X,X
ITSZJLO,X,O,X,O,O,X,X,X,X,X
ITSZJOL,X,O,X,O,O,X,X,X,O,X
ITSZOLJ,X,O,O,X,O,O,O,O,O,X
ITSZOJL,X,O,O,O,O,X,O,O,O,X
ITSOLJZ,X,O,O,X,O,O,O,X,X,X
ITSOLZJ,X,O,O,X,O,O,O,X,O,X
ITSOJLZ,X,O,O,X,O,X,O,X,X,X
ITSOJZL,X,O,O,O,O,X,O,X,O,X
ITSOZLJ,X,O,O,X,O,O,O,O,O,X
ITSOZJL,X,O,O,O,O,X,O,O,O,X
ITZLJSO,X,O,X,O,O,O,X,X,X,X
ITZLJOS,X,O,X,O,O,O,X,X,X,X
ITZLSJO,X,X,O,O,O,O,X,X,X,X
ITZLSOJ,X,O,O,X,O,O,X,X,X,X
ITZLOJS,X,O,X,X,O,O,X,O,X,X
ITZLOSJ,X,O,O,X,O,O,X,O,X,X
ITZJLSO,X,O,X,O,O,X,X,X,X,X
ITZJLOS,X,O,X,O,O,X,X,X,X,X
ITZJSLO,X,O,O,O,O,X,X,X,X,X
ITZJSOL,X,O,O,O,O,X,X,X,O,X
ITZJOLS,X,O,X,O,O,X,X,O,X,X
ITZJOSL,X,O,O,O,O,X,X,O,O,X
ITZSLJO,X,X,O,O,O,O,X,X,X,X
ITZSLOJ,X,O,O,X,O,O,X,X,X,X
ITZSJLO,X,O,O,O,O,X,X,X,X,X
ITZSJOL,X,O,O,O,O,X,X,X,O,X
ITZSOLJ,X,O,O,X,O,O,O,O,O,X
ITZSOJL,X,O,O,O,O,X,O,O,O,X
ITZOLJS,X,O,X,X,O,O,X,O,X,X
ITZOLSJ,X,O,O,X,O,O,X,O,X,X
ITZOJLS,X,O,X,O,O,X,X,O,X,X
ITZOJSL,X,O,O,O,O,X,X,O,O,X
ITZOSLJ,X,O,O,X,O,O,O,O,O,X
ITZOSJL,X,O,O,O,O,X,O,O,O,X
ITOLJSZ,X,X,O,X,O,O,X,X,X,X
ITOLJZS,X,X,X,X,O,O,X,X,X,X
ITOLSJZ,X,X,O,X,O,O,O,X,X,X
ITOLSZJ,X,X,O,X,O,O,O,X,X,X
ITOLZJS,X,X,X,X,O,O,X,O,X,X
ITOLZSJ,X,X,O,X,O,O,X,O,X,X
ITOJLSZ,X,X,X,X,O,X,X,X,X,X
ITOJLZS,X,X,X,O,O,X,X,X,X,X
ITOJSLZ,X,X,X,X,O,X,O,X,X,X
ITOJSZL,X,X,X,O,O,X,O,X,X,X
ITOJZLS,X,X,X,O,O,X,X,O,X,X
ITOJZSL,X,X,X,O,O,X,X,O,X,X
ITOSLJZ,X,O,O,X,O,O,O,X,X,X
ITOSLZJ,X,O,O,X,O,O,O,X,O,X
ITOSJLZ,X,O,O,X,O,X,O,X,X,X
ITOSJZL,X,O,O,O,O,X,O,X,O,X
ITOSZLJ,X,O,O,X,O,O,O,O,O,X
ITOSZJL,X,O,O,O,O,X,O,O,O,X
ITOZLJS,X,O,X,X,O,O,X,O,X,X
ITOZLSJ,X,O,O,X,O,O,X,O,X,X
ITOZJLS,X,O,X,O,O,X,X,O,X,X
ITOZJSL,X,O,O,O,O,X,X,O,O,X
ITOZSLJ,X,O,O,X,O,O,O,O,O,X
ITOZSJL,X,O,O,O,O,X,O,O,O,X
ILTJSZO,X,X,X,O,O,O,X,X,X,X
ILTJSOZ,X,X,X,X,O,O,O,X,X,X
ILTJZSO,X,X,X,O,O,O,X,X,X,X
ILTJZOS,X,X,X,O,O,O,X,O,X,X
ILTJOSZ,X,X,O,X,O,O,O,X,X,X
ILTJOZS,X,X,X,O,O,O,X,O,X,X
ILTSJZO,X,X,X,O,O,O,X,X,X,X
ILTSJOZ,X,X,O,X,O,O,O,X,X,X
ILTSZJO,X,X,O,O,O,O,X,X,X,X
ILTSZOJ,X,X,O,X,O,O,O,O,X,X
ILTSOJZ,X,X,O,X,O,O,O,X,X,X
ILTSOZJ,X,X,O,X,O,O,O,O,X,X
ILTZJSO,X,X,X,O,O,O,X,X,X,X
ILTZJOS,X,X,X,O,O,O,X,O,X,X
ILTZSJO,X,X,O,O,O,O,X,X,X,X
ILTZSOJ,X,X,O,X,O,O,O,O,X,X
ILTZOJS,X,X,X,X,O,O,X,O,X,X
ILTZOSJ,X,X,O,X,O,O,O,O,X,X
ILTOJSZ,X,X,O,X,O,O,O,X,X,X
ILTOJZS,X,X,X,X,O,O,X,O,X,X
ILTOSJZ,X,X,O,X,O,O,O,X,X,X
ILTOSZJ,X,X,O,X,O,O,O,O,X,X
ILTOZJS,X,X,X,X,O,O,X,O,X,X
ILTOZSJ,X,X,O,X,O,O,O,O,X,X
ILJTSZO,X,X,X,O,X,O,X,X,X,X
ILJTSOZ,X,X,X,X,X,O,X,X,X,X
ILJTZSO,X,X,X,O,X,O,X,X,X,X
ILJTZOS,X,X,X,O,X,O,X,X,X,X
ILJTOSZ,X,X,O,X,X,O,X,X,X,X
ILJTOZS,X,X,X,O,X,O,X,X,X,X
ILJSTZO,X,X,X,O,X,O,X,X,X,X
ILJSTOZ,X,X,O,X,X,O,X,X,X,X
ILJSZTO,X,X,O,X,X,O,X,X,X,X
ILJSZOT,O,X,O,X,X,O,X,X,X,X
ILJSOTZ,O,X,O,X,X,O,O,X,X,X
ILJSOZT,O,X,O,X,X,O,O,X,X,X
ILJZTSO,X,X,X,X,X,O,X,X,X,X
ILJZTOS,X,X,X,X,X,O,X,X,X,X
ILJZSTO,X,X,X,X,X,O,X,X,X,X
ILJZSOT,X,X,X,X,X,O,X,X,X,X
ILJZOTS,O,X,X,X,X,O,X,O,X,X
ILJZOST,O,X,X,X,X,O,X,O,X,X
ILJOTSZ,O,X,O,X,X,O,X,X,X,X
ILJOTZS,O,X,X,X,X,O,X,X,X,X
ILJOSTZ,O,X,O,X,X,O,O,X,X,X
ILJOSZT,O,X,O,X,X,O,O,X,X,X
ILJOZTS,O,X,X,X,X,O,X,O,X,X
ILJOZST,O,X,X,X,X,O,X,O,X,X
ILSTJZO,X,X,X,O,O,O,X,X,X,X
ILSTJOZ,X,X,O,X,O,O,O,X,X,X
ILSTZJO,X,X,O,O,O,O,X,X,X,X
ILSTZOJ,X,X,O,X,O,O,O,X,X,X
ILSTOJZ,X,X,O,X,O,O,O,X,X,X
ILSTOZJ,X,X,O,X,O,O,O,X,X,X
ILSJTZO,X,X,X,O,X,O,X,X,X,X
ILSJTOZ,X,X,O,X,X,O,X,X,X,X
ILSJZTO,X,X,O,X,X,O,X,X,X,X
ILSJZOT,O,X,O,X,X,O,X,X,X,X
ILSJOTZ,O,X,O,X,X,O,O,X,X,X
ILSJOZT,O,X,O,X,X,O,O,X,X,X
ILSZTJO,X,X,O,O,X,O,X,X,X,X
ILSZTOJ,X,X,O,X,X,O,X,X,X,X
ILSZJTO,X,X,O,X,X,O,X,X,X,X
ILSZJOT,O,X,O,X,X,O,X,X,X,X
ILSZOTJ,O,X,O,X,X,O,O,O,X,X
ILSZOJT,O,X,O,X,X,O,O,O,X,X
ILSOTJZ,O,X,O,X,O,O,O,X,X,X
ILSOTZJ,X,X,O,X,O,O,O,X,X,X
ILSOJTZ,O,X,O,X,X,O,O,X,X,X
ILSOJZT,O,X,O,X,X,O,O,X,X,X
ILSOZTJ,O,X,O,X,X,O,O,O,X,X
ILSOZJT,O,X,O,X,X,O,O,O,X,X
ILZTJSO,X,X,X,O,X,O,X,X,X,X
ILZTJOS,X,X,X,O,X,O,X,X,X,X
ILZTSJO,X,X,O,O,X,O,X,X,X,X
ILZTSOJ,X,X,O,X,X,O,X,X,X,X
ILZTOJS,X,X,X,X,X,O,X,O,X,X
ILZTOSJ,X,X,O,X,X,O,X,O,X,X
ILZJTSO,X,X,X,X,X,O,X,X,X,X
ILZJTOS,X,X,X,X,X,O,X,X,X,X
ILZJSTO,X,X,X,X,X,O,X,X,X,X
ILZJSOT,X,X,X,X,X,O,X,X,X,X
ILZJOTS,O,X,X,X,X,O,X,O,X,X
ILZJOST,O,X,X,X,X,O,X,O,X,X
ILZSTJO,X,X,O,O,X,O,X,X,X,X
ILZSTOJ,X,X,O,X,X,O,X,X,X,X
ILZSJTO,X,X,O,X,X,O,X,X,X,X
ILZSJOT,X,X,O,X,X,O,X,X,X,X
ILZSOTJ,X,X,O,X,X,O,O,O,X,X
ILZSOJT,X,X,O,X,X,O,O,O,X,X
ILZOTJS,O,X,X,X,X,O,X,O,X,O
ILZOTSJ,X,X,O,X,X,O,X,O,X,O
ILZOJTS,O,X,X,X,X,O,X,O,X,X
ILZOJST,O,X,X,X,X,O,X,O,X,X
ILZOSTJ,X,X,O,X,X,O,O,O,X,O
ILZOSJT,O,X,O,X,X,O,O,O,X,X
ILOTJSZ,O,X,O,X,O,O,O,X,X,X
ILOTJZS,O,X,X,X,O,O,X,O,X,X
ILOTSJZ,X,X,O,X,O,O,O,X,X,X
ILOTSZJ,X,X,O,X,O,O,O,O,X,X
ILOTZJS,X,X,X,X,O,O,X,O,X,X
ILOTZSJ,X,X,O,X,O,O,O,O,X,X
ILOJTSZ,O,X,O,X,X,O,X,X,X,X
ILOJTZS,O,X,X,X,X,O,X,X,X,X
ILOJSTZ,O,X,O,X,X,O,O,X,X,X
