sequence,v115@HhA8GeD8FeD8EeC8Je0/IvhFzhBCjB3lBmlBFsBxvB,v115@HhA8GeD8FeD8EeC8Jex/IvhFmhBCjBTmB0qBXsBFqB,v115@HhA8GeD8FeD8EeC8Je0/IvhFlgBCjBTqBxrBmrB3rB,v115@HhA8GeD8FeD8EeC8Jel/IvhFxiBmlBSsBTqBfsBUrB,v115@HhA8GeD8FeD8EeC8JeSFJvhFxiBlmBcsBmkB3qBTrB,v115@HhA8GeD8FeD8EeC8Je0/IvhFWmBxiBTnBKqBXmB1wB,v115@HhA8GeD8FeD8EeC8Je0/IvhFCjBRmBlmBmqBXsBTqB,v115@HhA8GeD8FeD8EeC8JezBJvhFCjBRlBmkBUrBFsB3qB,v115@HhA8GeD8FeD8EeC8Je0/IvhFlgBxiBKrBGnBfsBTqB,v115@HhA8GeD8FeD8EeC8Je0/IvhFXhBxiBmqBFsBCsBTqB,v115@HhA8GeD8FeD8EeC8Je0/IvhFXhBxiBmqBCsBFsBTqB,v115@HhA8GeD8FeD8EeC8Jel/IvhFUiBxlBCoBmqBzrB3qB,v115@HhA8GeD8FeD8EeC8Je0/IvhFXhBVnBTlBCoBmrBxvB,v115@HhA8GeD8FeD8EeC8JezBJvhFCjBRlBmkBUmB1vBXsB,v115@HhA8GeD8FeD8EeC8Jel/IvhFzgBxiBKqBGnBfsBUrB,v115@HhA8GeD8FeD8EeC8Je0/IvhFmhBCjBxqBXsBFrBTqB
TIOLJZS,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TIOLSJZ,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
TIOLSZJ,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
TIOLZJS,O,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X
TIOLZSJ,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
TIOJLSZ,O,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X
TIOJLZS,O,X,O,O,X,O,X,O,X,O,X,O,X,X,X,X
TIOJSLZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOJSZL,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X
TIOJZLS,O,X,O,O,X,O,X,X,X,O,X,O,X,X,X,X
TIOJZSL,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X
TIOSLJZ,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
TIOSLZJ,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
TIOSJLZ,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X
TIOSJZL,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TIOSZLJ,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X
TIOSZJL,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X
TIOZLJS,O,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X
