sequence,v115@FhB8HeB8HeC8BeB8AeA8AeB8JeOEJvhFXgB8lBanB5?nB9rBzpB,v115@FhB8HeB8HeC8BeB8AeA8AeB8JeOEJvhF8kBzgBanB5?nB9rBXqB,v115@FhB8HeB8HeC8BeB8AeA8AeB8JeT/IvhFKlBfmBmhB5?nBtrB0pB,v115@FhB8HeB8HeC8BeB8AeA8AeB8JeNEJvhFUhBanB5nBX?lBGrBzpB,v115@FhB8HeB8HeC8BeB8AeA8AeB8Jex/IvhF8lBGiBikB9?rB/sBzpB,v115@FhB8HeB8HeC8BeB8AeA8AeB8JeNEJvhFRgBGiB0lB6?rB/sBzpB,v115@FhB8HeB8HeC8BeB8AeA8AeB8Je0/IvhFxhB2pBzlBt?rB6sBXqB,v115@FhB8HeB8HeC8BeB8AeA8AeB8JeyEJvhFzgBGiB9rB/?sBxpB0pB,v115@FhB8HeB8HeC8BeB8AeA8AeB8Je0/IvhFxhB/pBzlBt?rB6sBOqB,v115@FhB8HeB8HeC8BeB8AeA8AeB8JeOEJvhF8kBzgBXqBx?rBtrB6sB,v115@FhB8HeB8HeC8BeB8AeA8AeB8Jex/IvhF8lB/pBaqB9?rBTnBGsB
IZSOTLJ,O,O,O,X,X,X,X,X,X,X,X
IZSOTJL,O,O,O,X,X,X,X,X,X,O,X
IZSOLTJ,O,O,O,X,X,X,X,X,X,X,X
IZSOLJT,O,O,O,X,X,X,X,X,X,O,X
IZSOJTL,O,O,X,X,X,X,X,X,X,O,X
IZSOJLT,O,O,X,X,X,X,X,X,X,O,X
IZOTLJS,O,X,O,X,O,X,X,X,X,X,X
IZOTLSJ,O,X,O,X,O,X,X,O,X,X,X
IZOTJLS,O,X,O,X,X,X,X,X,X,X,X
IZOTJSL,O,X,O,X,O,X,X,X,X,X,X
IZOTSLJ,O,X,O,X,O,X,X,O,X,X,X
IZOTSJL,O,X,O,X,O,X,X,O,X,X,X
IZOLTJS,O,X,O,X,O,X,X,X,X,X,X
IZOLTSJ,O,X,O,X,O,X,X,O,X,X,X
IZOLJTS,O,X,O,X,O,X,X,X,X,X,X
IZOLJST,O,X,O,X,X,X,X,X,X,X,X
IZOLSTJ,O,X,O,X,O,X,X,X,X,X,X
IZOLSJT,O,X,O,X,X,X,X,X,X,X,X
IZOJTLS,O,X,O,X,X,X,X,X,X,X,X
IZOJTSL,O,X,X,X,O,X,X,X,X,X,X
IZOJLTS,O,X,O,X,X,X,X,X,X,X,X
IZOJLST,O,X,O,X,X,X,X,X,X,X,X
IZOJSTL,O,X,X,X,X,X,X,X,X,X,X
IZOJSLT,O,X,X,X,X,X,X,X,X,X,X
IZOSTLJ,O,X,O,X,O,X,X,X,X,X,X
IZOSTJL,O,X,O,X,O,X,X,X,X,O,X
IZOSLTJ,O,X,O,X,X,X,X,X,X,X,X
IZOSLJT,O,X,O,X,X,X,X,X,X,O,X
IZOSJTL,O,X,X,X,X,X,X,X,X,O,X
IZOSJLT,O,X,X,X,X,X,X,X,X,O,X
IOTLJSZ,O,O,X,O,X,O,O,O,O,X,X
IOTLJZS,O,X,X,O,X,X,O,X,X,X,X
IOTLSJZ,O,O,O,X,O,O,O,O,O,X,X
IOTLSZJ,O,O,O,X,O,O,X,O,O,X,X
IOTLZJS,O,X,O,X,O,O,O,X,X,X,X
IOTLZSJ,O,O,O,X,O,O,X,O,O,X,X
IOTJLSZ,O,O,X,O,X,O,O,O,X,X,X
IOTJLZS,O,X,X,O,X,X,O,X,X,X,X
IOTJSLZ,O,O,O,O,X,O,X,O,X,X,X
IOTJSZL,O,O,O,O,X,O,X,O,X,X,X
IOTJZLS,O,X,X,O,X,X,O,X,X,X,X
IOTJZSL,O,X,O,O,X,O,X,X,X,X,X
IOTSLJZ,O,O,O,X,O,O,X,O,O,X,X
IOTSLZJ,O,O,O,X,O,O,X,O,O,X,O
IOTSJLZ,O,O,O,X,O,O,X,O,X,X,X
IOTSJZL,O,O,O,X,O,O,X,O,X,X,X
IOTSZLJ,O,O,O,X,O,O,X,O,O,X,O
IOTSZJL,O,O,O,X,O,O,X,O,X,O,X
IOTZLJS,O,X,O,X,O,O,X,X,X,X,X
IOTZLSJ,O,O,O,X,O,O,X,O,X,X,X
IOTZJLS,O,X,O,X,X,X,X,X,X,X,X
IOTZJSL,O,X,O,X,O,O,X,X,X,X,X
IOTZSLJ,O,O,O,X,O,O,X,O,X,X,O
IOTZSJL,O,O,O,X,O,O,X,O,X,X,X
IOLTJSZ,O,O,X,O,X,O,X,O,X,X,X
IOLTJZS,O,X,X,O,X,X,X,X,X,X,X
IOLTSJZ,O,O,O,X,O,O,X,O,X,X,X
IOLTSZJ,O,O,O,X,O,O,X,O,X,X,X
IOLTZJS,O,X,O,X,O,O,X,X,X,X,X
IOLTZSJ,O,O,O,X,O,O,X,O,X,X,X
IOLJTSZ,O,X,X,O,X,X,X,O,X,X,X
IOLJTZS,O,X,X,O,X,X,X,X,X,X,X
IOLJSTZ,O,X,X,O,X,X,X,X,X,X,X
IOLJSZT,O,X,X,O,X,X,X,X,X,X,X
IOLJZTS,O,X,X,O,O,X,X,X,X,X,X
IOLJZST,O,X,X,O,X,X,X,X,X,X,X
IOLSTJZ,O,X,O,X,O,O,X,O,X,X,X
IOLSTZJ,O,X,O,X,O,O,X,O,X,X,X
IOLSJTZ,O,X,X,X,O,O,X,X,X,X,X
IOLSJZT,O,X,X,X,X,O,X,X,X,X,X
IOLSZTJ,O,X,O,X,O,O,X,X,X,X,X
IOLSZJT,O,X,O,X,X,O,X,X,X,O,X
IOLZTJS,O,X,O,X,O,O,X,X,X,X,X
IOLZTSJ,O,X,O,X,O,O,X,O,X,X,X
IOLZJTS,O,X,O,X,O,X,X,X,X,X,X
IOLZJST,O,X,O,X,X,X,X,X,X,X,X
IOLZSTJ,O,X,O,X,O,O,X,X,X,X,X
IOLZSJT,O,X,O,X,X,O,X,X,X,X,X
IOJTLSZ,O,X,X,O,X,X,O,O,X,X,X
IOJTLZS,O,X,X,O,X,X,O,X,X,X,X
IOJTSLZ,O,X,X,O,X,X,X,O,X,X,X
IOJTSZL,O,X,X,O,X,X,X,O,X,X,X
IOJTZLS,O,X,X,O,X,X,O,X,X,X,X
IOJTZSL,O,X,X,O,X,X,X,X,X,X,X
IOJLTSZ,O,X,X,O,X,X,X,O,X,X,X
IOJLTZS,O,X,X,O,X,X,X,X,X,X,X
IOJLSTZ,O,X,X,O,X,X,X,X,X,X,X
IOJLSZT,O,X,X,O,X,X,X,X,X,X,X
IOJLZTS,O,X,X,O,X,X,X,X,X,X,X
IOJLZST,O,X,X,O,X,X,X,X,X,X,X
IOJSTLZ,O,X,X,O,X,X,X,X,X,X,X
IOJSTZL,O,X,X,O,X,X,X,X,X,X,X
IOJSLTZ,O,X,X,O,X,X,X,X,X,X,X
IOJSLZT,O,X,X,O,X,X,X,X,X,X,X
IOJSZTL,O,X,X,O,X,X,X,X,X,O,X
IOJSZLT,O,X,X,O,X,X,X,X,X,O,X
IOJZTLS,O,X,X,O,X,X,O,X,X,X,X
IOJZTSL,O,X,X,O,X,X,X,X,X,X,X
IOJZLTS,O,X,X,O,X,X,X,X,X,X,X
IOJZLST,O,X,X,O,X,X,X,X,X,X,X
IOJZSTL,O,X,X,O,X,X,X,X,X,X,X
IOJZSLT,O,X,X,O,X,X,X,X,X,X,X
IOSTLJZ,O,O,O,X,O,O,X,O,O,X,X
IOSTLZJ,O,O,O,X,O,O,X,O,O,X,O
IOSTJLZ,O,O,O,X,O,O,X,O,X,X,X
IOSTJZL,O,O,O,X,O,O,X,O,X,X,X
IOSTZLJ,O,O,O,X,O,O,X,O,O,X,O
IOSTZJL,O,O,O,X,O,O,X,O,X,O,X
IOSLTJZ,O,O,O,X,O,O,X,O,X,X,X
IOSLTZJ,O,O,O,X,O,O,X,O,X,X,O
IOSLJTZ,O,X,X,X,O,O,X,X,X,X,X
IOSLJZT,O,X,X,X,X,O,X,X,X,X,X
IOSLZTJ,O,O,O,X,X,O,X,X,X,X,X
IOSLZJT,O,O,O,X,X,O,X,X,X,O,X
IOSJTLZ,O,O,X,X,O,O,X,X,X,X,X
IOSJTZL,O,O,X,X,O,O,X,X,X,X,X
IOSJLTZ,O,X,X,X,O,O,X,X,X,X,X
IOSJLZT,O,X,X,X,X,O,X,X,X,X,X
IOSJZTL,O,O,X,X,X,O,X,X,X,O,X
IOSJZLT,O,O,X,X,X,X,X,X,X,O,X
IOSZTLJ,O,O,O,X,X,O,X,X,O,X,X
IOSZTJL,O,O,O,X,X,O,X,X,X,O,X
IOSZLTJ,O,O,O,X,X,O,X,X,X,X,X
IOSZLJT,O,O,O,X,X,O,X,X,X,O,X
IOSZJTL,O,O,X,X,X,O,X,X,X,O,X
IOSZJLT,O,O,X,X,X,X,X,X,X,O,X
IOZTLJS,O,X,O,X,O,O,X,X,X,X,X
IOZTLSJ,O,X,O,X,O,O,X,O,X,X,X
IOZTJLS,O,X,O,X,X,X,X,X,X,X,X
IOZTJSL,O,X,O,X,O,O,X,X,X,X,X
IOZTSLJ,O,X,O,X,O,O,X,O,X,X,X
IOZTSJL,O,X,O,X,O,O,X,O,X,X,X
IOZLTJS,O,X,O,X,O,O,X,X,X,X,X
IOZLTSJ,O,X,O,X,O,O,X,O,X,X,X
IOZLJTS,O,X,O,X,O,X,X,X,X,X,X
IOZLJST,O,X,O,X,X,X,X,X,X,X,X
IOZLSTJ,O,X,O,X,O,O,X,X,X,X,X
IOZLSJT,O,X,O,X,X,O,X,X,X,X,X
IOZJTLS,O,X,O,X,X,X,X,X,X,X,X
IOZJTSL,O,X,X,X,O,X,X,X,X,X,X
IOZJLTS,O,X,O,X,X,X,X,X,X,X,X
IOZJLST,O,X,O,X,X,X,X,X,X,X,X
IOZJSTL,O,X,X,X,X,X,X,X,X,X,X
IOZJSLT,O,X,X,X,X,X,X,X,X,X,X
IOZSTLJ,O,X,O,X,O,O,X,X,X,X,X
IOZSTJL,O,X,O,X,O,O,X,X,X,O,X
IOZSLTJ,O,X,O,X,X,O,X,X,X,X,X
IOZSLJT,O,X,O,X,X,O,X,X,X,O,X
IOZSJTL,O,X,X,X,X,O,X,X,X,O,X
IOZSJLT,O,X,X,X,X,X,X,X,X,O,X
LTIJSZO,O,O,O,O,X,O,X,O,X,X,X
LTIJSOZ,O,O,O,O,X,O,X,O,O,X,X
LTIJZSO,O,X,O,O,X,X,X,X,X,X,X
LTIJZOS,O,X,O,O,X,X,O,X,X,X,X
LTIJOSZ,O,O,X,O,X,X,O,O,O,X,X
LTIJOZS,O,X,X,O,X,X,O,X,X,X,X
LTISJZO,O,O,O,O,O,O,X,O,X,X,X
LTISJOZ,O,O,O,O,X,O,X,O,O,X,X
LTISZJO,O,O,O,X,O,O,X,O,X,X,X
LTISZOJ,O,O,O,X,O,O,X,O,O,X,X
LTISOJZ,O,O,O,X,X,O,O,O,O,X,X
LTISOZJ,O,O,O,X,X,X,X,O,O,X,X
LTIZJSO,O,X,O,O,O,O,X,X,X,X,X
LTIZJOS,O,X,O,O,X,X,X,X,X,X,X
LTIZSJO,O,O,O,X,O,O,X,O,X,X,X
LTIZSOJ,O,O,O,X,O,O,X,O,O,X,X
LTIZOJS,O,X,O,X,X,X,O,X,X,X,X
LTIZOSJ,O,O,O,X,O,O,X,O,O,X,X
LTIOJSZ,O,O,X,O,X,X,O,O,O,X,X
LTIOJZS,O,X,X,O,X,X,O,X,X,X,X
LTIOSJZ,O,O,O,X,X,O,O,O,O,X,X
LTIOSZJ,O,O,O,X,X,X,X,O,O,X,X
LTIOZJS,O,X,O,X,X,X,O,X,X,X,X
LTIOZSJ,O,O,O,X,X,X,X,O,O,X,X
LTJISZO,O,O,O,O,X,O,X,X,X,X,X
LTJISOZ,O,O,O,O,X,O,X,X,O,X,X
LTJIZSO,O,X,O,O,X,X,X,X,X,X,X
LTJIZOS,O,X,O,O,X,X,O,X,X,X,X
LTJIOSZ,O,O,X,O,X,X,O,X,O,X,X
LTJIOZS,O,X,X,O,X,X,O,X,X,X,X
LTJSIZO,O,O,O,O,O,O,X,X,X,X,X
LTJSIOZ,O,O,O,O,X,O,X,X,O,X,X
LTJSZIO,O,O,O,O,O,O,X,X,X,X,X
LTJSZOI,O,O,O,O,O,O,O,X,O,X,X
LTJSOIZ,O,O,O,O,X,O,O,X,O,X,X
LTJSOZI,O,O,O,O,O,O,O,X,O,X,X
LTJZISO,O,X,O,O,O,O,X,X,X,X,X
LTJZIOS,O,X,O,O,X,X,O,X,X,X,X
LTJZSIO,O,X,O,O,O,O,X,X,X,X,X
LTJZSOI,O,X,O,O,O,O,O,X,X,X,X
LTJZOIS,O,X,O,O,X,X,O,X,X,X,X
LTJZOSI,O,X,O,O,X,X,O,X,X,X,X
LTJOISZ,O,O,X,O,X,X,O,X,O,X,X
LTJOIZS,O,X,X,O,X,X,O,X,X,X,X
LTJOSIZ,O,O,X,O,X,X,O,X,O,X,X
LTJOSZI,O,O,X,O,X,X,O,X,O,X,X
LTJOZIS,O,X,X,O,X,X,O,X,X,X,X
LTJOZSI,O,X,X,O,X,X,O,X,X,X,X
LTSIJZO,O,O,O,O,O,O,X,O,X,X,X
LTSIJOZ,O,O,O,O,X,O,X,O,O,X,X
LTSIZJO,O,O,O,X,O,O,X,O,X,X,O
LTSIZOJ,O,O,O,X,O,O,X,O,O,X,O
LTSIOJZ,O,O,O,X,X,O,O,O,O,X,X
LTSIOZJ,O,O,O,X,X,X,X,O,O,X,O
LTSJIZO,O,O,O,O,O,O,X,O,X,X,X
LTSJIOZ,O,O,O,O,X,O,X,O,O,X,X
LTSJZIO,O,O,O,O,O,O,X,X,X,X,O
LTSJZOI,O,O,O,O,O,O,O,X,O,X,O
LTSJOIZ,O,O,O,O,O,O,O,O,O,X,X
LTSJOZI,O,O,O,O,O,O,O,X,O,X,O
LTSZIJO,O,O,O,X,O,O,X,X,X,X,O
LTSZIOJ,O,O,O,X,O,O,X,X,O,X,O
LTSZJIO,O,O,O,X,O,O,X,X,X,X,O
LTSZJOI,O,O,O,X,O,O,X,X,O,X,O
LTSZOIJ,O,O,O,X,O,O,X,X,O,X,O
LTSZOJI,O,O,O,X,O,O,X,X,O,X,O
LTSOIJZ,O,O,O,X,O,O,O,O,O,X,X
LTSOIZJ,O,O,O,X,O,O,X,O,O,X,O
LTSOJIZ,O,O,O,X,O,O,O,O,O,X,X
LTSOJZI,O,O,O,X,O,O,O,X,O,X,O
LTSOZIJ,O,O,O,X,O,O,X,X,O,X,O
LTSOZJI,O,O,O,X,O,O,X,X,O,X,O
LTZIJSO,O,X,O,O,O,O,X,X,X,X,X
LTZIJOS,O,X,O,O,X,X,X,X,X,X,X
LTZISJO,O,O,O,X,O,O,X,X,X,X,X
LTZISOJ,O,O,O,X,O,O,X,X,O,X,X
LTZIOJS,O,X,O,X,X,X,O,X,X,X,X
LTZIOSJ,O,O,O,X,O,O,X,X,O,X,X
LTZJISO,O,X,O,O,O,O,X,X,X,X,X
LTZJIOS,O,X,O,O,X,X,O,X,X,X,X
LTZJSIO,O,X,O,O,O,O,X,X,X,X,X
LTZJSOI,O,X,O,O,O,O,O,X,X,X,X
LTZJOIS,O,X,O,O,X,X,O,X,X,X,X
LTZJOSI,O,X,O,O,X,X,O,X,X,X,X
LTZSIJO,O,O,O,X,O,O,X,X,X,X,O
LTZSIOJ,O,O,O,X,O,O,X,X,O,X,O
LTZSJIO,O,O,O,X,O,O,X,X,X,X,O
LTZSJOI,O,O,O,X,O,O,X,X,O,X,O
LTZSOIJ,O,O,O,X,O,O,X,X,O,X,O
LTZSOJI,O,O,O,X,O,O,X,X,O,X,O
LTZOIJS,O,X,O,X,O,X,O,X,X,X,X
LTZOISJ,O,O,O,X,O,O,X,X,O,X,X
LTZOJIS,O,X,O,X,O,X,O,X,X,X,X
LTZOJSI,O,X,O,X,O,X,O,X,X,X,X
LTZOSIJ,O,O,O,X,O,O,X,X,O,X,O
LTZOSJI,O,O,O,X,O,O,X,X,O,X,O
LTOIJSZ,O,O,X,O,X,O,O,O,O,X,X
LTOIJZS,O,X,X,O,X,X,O,X,X,X,X
LTOISJZ,O,O,O,X,O,O,O,O,O,X,X
LTOISZJ,O,O,O,X,O,O,X,O,O,X,X
LTOIZJS,O,X,O,X,O,O,O,X,X,X,X
LTOIZSJ,O,O,O,X,O,O,X,O,O,X,X
LTOJISZ,O,O,X,O,X,O,O,X,O,X,X
LTOJIZS,O,X,X,O,X,X,O,X,X,X,X
LTOJSIZ,O,O,X,O,O,O,O,X,O,X,X
LTOJSZI,O,O,X,O,O,O,O,X,O,X,X
LTOJZIS,O,X,X,O,O,O,O,X,X,X,X
LTOJZSI,O,X,X,O,O,O,O,X,X,X,X
LTOSIJZ,O,O,O,X,O,O,O,O,O,X,X
LTOSIZJ,O,O,O,X,O,O,X,O,O,X,O
LTOSJIZ,O,O,O,X,O,O,O,O,O,X,X
LTOSJZI,O,O,O,X,O,O,O,X,O,X,O
LTOSZIJ,O,O,O,X,O,O,X,X,O,X,O
LTOSZJI,O,O,O,X,O,O,X,X,O,X,O
LTOZIJS,O,X,O,X,O,O,O,X,X,X,X
LTOZISJ,O,O,O,X,O,O,X,X,O,X,X
LTOZJIS,O,X,O,X,O,O,O,X,X,X,X
LTOZJSI,O,X,O,X,O,O,O,X,X,X,X
LTOZSIJ,O,O,O,X,O,O,X,X,O,X,O
LTOZSJI,O,O,O,X,O,O,X,X,O,X,O
LITJSZO,O,O,O,O,X,O,X,O,X,X,X
LITJSOZ,O,O,O,O,X,O,X,O,O,X,X
LITJZSO,O,X,O,O,X,X,X,X,X,X,X
LITJZOS,O,X,O,O,X,X,O,X,X,X,X
LITJOSZ,O,O,X,O,X,X,O,O,O,X,X
LITJOZS,O,X,X,O,X,X,O,X,X,X,X
LITSJZO,O,O,O,O,O,O,X,O,X,X,X
LITSJOZ,O,O,O,O,X,O,X,O,O,X,X
LITSZJO,O,O,O,X,O,O,X,O,X,X,X
LITSZOJ,O,O,O,X,O,O,X,O,O,X,X
LITSOJZ,O,O,O,X,X,O,O,O,O,X,X
LITSOZJ,O,O,O,X,X,X,X,O,O,X,X
LITZJSO,O,X,O,O,O,O,X,X,X,X,X
LITZJOS,O,X,O,O,X,X,X,X,X,X,X
LITZSJO,O,O,O,X,O,O,X,O,X,X,X
LITZSOJ,O,O,O,X,O,O,X,O,O,X,X
LITZOJS,O,X,O,X,X,X,O,X,X,X,X
LITZOSJ,O,O,O,X,O,O,X,O,O,X,X
LITOJSZ,O,O,X,O,X,X,O,O,O,X,X
LITOJZS,O,X,X,O,X,X,O,X,X,X,X
LITOSJZ,O,O,O,X,X,O,O,O,O,X,X
LITOSZJ,O,O,O,X,X,X,X,O,O,X,X
LITOZJS,O,X,O,X,X,X,O,X,X,X,X
LITOZSJ,O,O,O,X,X,X,X,O,O,X,X
LIJTSZO,O,O,O,O,X,X,X,O,X,X,X
LIJTSOZ,O,O,O,O,X,X,X,O,O,X,X
LIJTZSO,O,X,O,O,X,X,X,X,X,X,X
LIJTZOS,O,X,O,O,X,X,O,X,X,X,X
LIJTOSZ,O,O,X,O,X,X,O,O,O,X,X
LIJTOZS,O,X,X,O,X,X,O,X,X,X,X
LIJSTZO,O,X,O,O,X,X,X,O,X,X,X
LIJSTOZ,O,X,O,O,X,X,X,O,O,X,X
LIJSZTO,X,X,O,O,X,X,X,X,X,X,X
LIJSZOT,X,X,O,O,X,X,X,X,X,X,X
LIJSOTZ,O,X,X,O,X,X,X,X,X,X,X
LIJSOZT,X,X,X,O,X,X,X,X,X,X,X
LIJZTSO,O,X,O,O,O,X,X,X,X,X,X
LIJZTOS,O,X,O,O,X,X,O,X,X,X,X
LIJZSTO,O,X,O,O,X,X,X,X,X,X,X
LIJZSOT,X,X,O,O,X,X,X,X,X,X,X
LIJZOTS,O,X,O,O,X,X,X,X,X,X,X
LIJZOST,X,X,O,O,X,X,X,X,X,X,X
LIJOTSZ,O,X,X,O,X,X,X,O,X,X,X
LIJOTZS,O,X,X,O,X,X,X,X,X,X,X
LIJOSTZ,O,X,X,O,X,X,X,X,X,X,X
LIJOSZT,O,X,X,O,X,X,X,X,X,X,X
LIJOZTS,O,X,X,O,X,X,X,X,X,X,X
LIJOZST,O,X,X,O,X,X,X,X,X,X,X
LISTJZO,O,O,O,O,O,O,X,O,X,X,X
LISTJOZ,O,O,O,O,X,O,X,O,O,X,X
LISTZJO,O,O,O,X,O,O,X,O,X,X,X
LISTZOJ,O,O,O,X,O,O,X,O,O,X,X
LISTOJZ,O,O,O,X,X,O,O,O,O,X,X
LISTOZJ,O,O,O,X,X,X,X,O,O,X,X
LISJTZO,O,X,O,O,O,O,X,O,X,X,X
LISJTOZ,O,X,O,O,X,O,X,O,O,X,X
LISJZTO,X,X,O,O,X,O,X,X,X,X,X
LISJZOT,X,X,O,O,X,X,X,X,X,X,X
LISJOTZ,O,X,X,O,X,O,X,X,X,X,X
LISJOZT,X,X,X,O,X,O,X,X,X,X,X
LISZTJO,X,O,O,X,O,O,X,O,X,X,X
LISZTOJ,X,O,O,X,O,O,X,O,O,X,X
LISZJTO,X,O,O,X,X,O,X,X,X,O,X
LISZJOT,X,O,O,X,X,X,X,X,X,O,X
LISZOTJ,X,O,O,X,X,X,X,X,X,X,X
LISZOJT,X,O,O,X,X,X,X,X,X,O,X
LISOTJZ,O,O,O,X,X,O,X,O,O,X,X
LISOTZJ,O,O,O,X,X,O,X,O,O,X,X
LISOJTZ,O,X,X,X,X,O,X,X,X,X,X
LISOJZT,X,X,X,X,X,O,X,X,X,X,X
LISOZTJ,X,O,O,X,X,O,X,X,X,X,X
LISOZJT,X,O,O,X,X,O,X,X,X,O,X
LIZTJSO,O,X,O,O,O,O,X,X,X,X,X
LIZTJOS,O,X,O,O,X,X,X,X,X,X,X
LIZTSJO,O,O,O,X,O,O,X,O,X,X,X
LIZTSOJ,O,O,O,X,O,O,X,O,O,X,X
LIZTOJS,O,X,O,X,X,X,O,X,X,X,X
LIZTOSJ,O,O,O,X,O,O,X,O,O,X,X
LIZJTSO,O,X,O,O,O,X,X,X,X,X,X
LIZJTOS,O,X,O,O,X,X,X,X,X,X,X
LIZJSTO,O,X,O,O,X,X,X,X,X,X,X
LIZJSOT,X,X,O,O,X,X,X,X,X,X,X
LIZJOTS,O,X,O,O,X,X,X,X,X,X,X
LIZJOST,X,X,O,O,X,X,X,X,X,X,X
LIZSTJO,O,X,O,X,O,O,X,O,X,X,X
LIZSTOJ,O,X,O,X,O,O,X,O,O,X,X
LIZSJTO,O,X,O,X,X,O,X,X,X,X,X
LIZSJOT,X,X,O,X,X,X,X,X,X,X,X
LIZSOTJ,X,X,O,X,X,X,X,X,X,X,X
LIZSOJT,X,X,O,X,X,X,X,X,X,X,X
LIZOTJS,O,X,O,X,X,X,X,X,X,X,X
LIZOTSJ,O,X,O,X,O,X,X,O,X,X,X
LIZOJTS,O,X,O,X,X,X,X,X,X,X,X
LIZOJST,O,X,O,X,X,X,X,X,X,X,X
LIZOSTJ,O,X,O,X,X,X,X,X,X,X,X
LIZOSJT,O,X,O,X,X,X,X,X,X,X,X
LIOTJSZ,O,O,X,O,X,O,O,O,O,X,X
LIOTJZS,O,X,X,O,X,X,O,X,X,X,X
LIOTSJZ,O,O,O,X,X,O,O,O,O,X,X
LIOTSZJ,O,O,O,X,X,O,X,O,O,X,X
LIOTZJS,O,X,O,X,X,O,O,X,X,X,X
LIOTZSJ,O,O,O,X,X,O,X,O,O,X,X
LIOJTSZ,O,X,X,O,X,X,X,O,X,X,X
LIOJTZS,O,X,X,O,X,X,X,X,X,X,X
LIOJSTZ,O,X,X,O,X,X,X,X,X,X,X
LIOJSZT,O,X,X,O,X,X,X,X,X,X,X
LIOJZTS,O,X,X,O,X,X,X,X,X,X,X
LIOJZST,O,X,X,O,X,X,X,X,X,X,X
LIOSTJZ,O,X,O,X,X,O,X,O,O,X,X
LIOSTZJ,O,X,O,X,X,O,X,O,O,X,X
LIOSJTZ,O,X,X,X,X,O,X,X,X,X,X
LIOSJZT,O,X,X,X,X,O,X,X,X,X,X
LIOSZTJ,O,X,O,X,X,O,X,X,X,X,X
LIOSZJT,O,X,O,X,X,O,X,X,X,O,X
LIOZTJS,O,X,O,X,X,O,X,X,X,X,X
LIOZTSJ,O,X,O,X,O,O,X,O,X,X,X
LIOZJTS,O,X,O,X,X,X,X,X,X,X,X
LIOZJST,O,X,O,X,X,X,X,X,X,X,X
LIOZSTJ,O,X,O,X,X,O,X,X,X,X,X
LIOZSJT,O,X,O,X,X,O,X,X,X,X,X
LJTISZO,O,O,O,O,X,O,X,X,X,X,X
LJTISOZ,O,O,O,O,X,O,X,X,O,X,X
LJTIZSO,O,X,O,O,X,X,X,X,X,X,X
LJTIZOS,O,X,O,O,X,X,O,X,X,X,X
LJTIOSZ,O,O,X,O,X,X,O,X,O,X,X
LJTIOZS,O,X,X,O,X,X,O,X,X,X,X
LJTSIZO,O,O,O,O,O,O,X,X,X,X,X
LJTSIOZ,O,O,O,O,X,O,X,X,O,X,X
LJTSZIO,O,O,O,O,O,O,X,X,X,X,X
LJTSZOI,O,O,O,O,O,O,O,X,O,X,X
LJTSOIZ,O,O,O,O,X,O,O,X,O,X,X
LJTSOZI,O,O,O,O,O,O,O,X,O,X,X
LJTZISO,O,X,O,O,O,O,X,X,X,X,X
LJTZIOS,O,X,O,O,X,X,O,X,X,X,X
LJTZSIO,O,X,O,O,O,O,X,X,X,X,X
LJTZSOI,O,X,O,O,O,O,O,X,X,X,X
LJTZOIS,O,X,O,O,X,X,O,X,X,X,X
LJTZOSI,O,X,O,O,X,X,O,X,X,X,X
LJTOISZ,O,O,X,O,X,X,O,X,O,X,X
LJTOIZS,O,X,X,O,X,X,O,X,X,X,X
LJTOSIZ,O,O,X,O,X,X,O,X,O,X,X
LJTOSZI,O,O,X,O,X,X,O,X,O,X,X
LJTOZIS,O,X,X,O,X,X,O,X,X,X,X
LJTOZSI,O,X,X,O,X,X,O,X,X,X,X
LJITSZO,O,O,O,O,X,X,X,X,X,X,X
LJITSOZ,O,O,O,O,X,X,X,X,O,X,X
LJITZSO,O,X,O,O,X,X,X,X,X,X,X
LJITZOS,O,X,O,O,X,X,O,X,X,X,X
LJITOSZ,O,O,X,O,X,X,O,X,O,X,X
LJITOZS,O,X,X,O,X,X,O,X,X,X,X
LJISTZO,O,X,O,O,X,X,X,X,X,X,X
LJISTOZ,O,X,O,O,X,X,X,X,O,X,X
LJISZTO,X,X,O,O,X,X,X,X,X,X,X
LJISZOT,X,X,O,O,X,X,X,X,X,X,X
LJISOTZ,O,X,X,O,X,X,X,X,X,X,X
LJISOZT,X,X,X,O,X,X,X,X,X,X,X
LJIZTSO,O,X,O,O,O,X,X,X,X,X,X
LJIZTOS,O,X,O,O,X,X,O,X,X,X,X
LJIZSTO,O,X,O,O,X,X,X,X,X,X,X
LJIZSOT,X,X,O,O,X,X,X,X,X,X,X
LJIZOTS,O,X,O,O,X,X,X,X,X,X,X
LJIZOST,X,X,O,O,X,X,X,X,X,X,X
LJIOTSZ,O,X,X,O,X,X,X,X,X,X,X
LJIOTZS,O,X,X,O,X,X,X,X,X,X,X
LJIOSTZ,O,X,X,O,X,X,X,X,X,X,X
LJIOSZT,O,X,X,O,X,X,X,X,X,X,X
LJIOZTS,O,X,X,O,X,X,X,X,X,X,X
LJIOZST,O,X,X,O,X,X,X,X,X,X,X
LJSTIZO,O,X,O,O,O,O,X,X,X,X,X
LJSTIOZ,O,X,O,O,X,O,X,X,O,X,X
LJSTZIO,O,X,O,O,O,O,X,X,X,X,X
LJSTZOI,O,X,O,O,O,O,O,X,O,X,X
LJSTOIZ,O,X,O,O,X,O,O,X,O,X,X
LJSTOZI,O,X,O,O,O,O,O,X,O,X,X
