sequence,v115@HhA8IeD8AeA8DeD8AeA8BeA8Kel/IvhF3gBUiBaoB5?oBOrBTsB,v115@HhA8IeD8AeA8DeD8AeA8BeA8Ke0/IvhFlgBanBziB5?oBOrB3sB,v115@HhA8IeD8AeA8DeD8AeA8BeA8Ke0/IvhFanBziB5oBF?mB3sBmqB,v115@HhA8IeD8AeA8DeD8AeA8BeA8Ke0/IvhFxgBVnBGjBa?rB/tBTsB,v115@HhA8IeD8AeA8DeD8AeA8BeA8Ke0/IvhFlgBanB5oBO?rBznB3sB,v115@HhA8IeD8AeA8DeD8AeA8BeA8Ke0/IvhFanB5oBFmBz?nBmqB3sB
TSOILJZ,O,O,O,O,X,X
TSOILZJ,O,O,O,O,X,O
TSOIJLZ,O,O,O,O,X,X
TSOIJZL,O,O,O,O,X,X
TSOIZLJ,O,O,O,O,X,O
TSOIZJL,O,O,O,O,X,X
TSOLIJZ,O,O,O,O,X,X
TSOLIZJ,O,O,O,O,X,O
TSOLJIZ,O,O,O,O,X,X
TSOLJZI,O,O,O,O,X,X
TSOLZIJ,O,O,O,O,X,O
TSOLZJI,O,O,O,O,X,X
TSOJILZ,O,O,O,O,X,X
TSOJIZL,O,O,O,O,X,X
TSOJLIZ,O,O,O,O,X,X
TSOJLZI,O,O,O,O,X,X
TSOJZIL,O,O,O,O,X,X
TSOJZLI,O,O,O,O,X,X
TSOZILJ,O,O,O,O,X,O
TSOZIJL,O,O,O,O,X,X
TSOZLIJ,O,O,O,O,X,O
TSOZLJI,O,O,O,O,X,X
TSOZJIL,O,O,O,O,X,X
TSOZJLI,O,O,O,O,X,X
TZILJSO,O,X,O,O,X,X
TZILJOS,O,X,X,X,X,O
TZILSJO,X,O,O,O,X,X
TZILSOJ,X,O,O,O,X,O
TZILOJS,X,X,X,X,X,O
TZILOSJ,X,X,O,O,X,O
TZIJLSO,O,O,O,X,O,X
TZIJLOS,O,O,X,X,O,O
TZIJSLO,O,O,O,O,O,X
TZIJSOL,O,O,O,O,O,X
TZIJOLS,O,O,X,X,O,O
TZIJOSL,O,O,X,X,O,X
TZISLJO,X,O,O,O,X,X
TZISLOJ,X,O,O,O,X,O
TZISJLO,X,O,O,O,X,X
TZISJOL,X,O,O,O,X,X
TZISOLJ,O,O,O,X,X,O
TZISOJL,O,O,O,O,X,X
TZIOLJS,O,X,X,X,X,O
TZIOLSJ,O,X,O,O,X,O
TZIOJLS,O,X,X,X,O,O
TZIOJSL,O,X,X,O,O,X
TZIOSLJ,O,O,O,O,X,O
TZIOSJL,O,O,O,O,X,X
TZLIJSO,O,X,O,O,X,X
TZLIJOS,O,X,X,X,X,O
TZLISJO,X,O,O,O,X,X
TZLISOJ,X,O,O,O,X,O
TZLIOJS,X,X,X,O,X,O
TZLIOSJ,X,X,O,O,X,O
TZLJISO,O,X,O,O,X,X
TZLJIOS,O,X,X,X,X,O
TZLJSIO,O,X,X,O,X,X
TZLJSOI,O,X,X,O,X,X
TZLJOIS,O,X,X,X,X,O
TZLJOSI,O,X,X,X,X,X
TZLSIJO,X,O,O,O,X,X
TZLSIOJ,X,O,O,O,X,O
TZLSJIO,X,O,O,O,X,X
TZLSJOI,X,O,O,O,X,X
TZLSOIJ,X,O,O,O,X,O
TZLSOJI,X,O,O,O,X,X
TZLOIJS,X,X,X,O,X,O
TZLOISJ,X,X,O,O,X,O
TZLOJIS,X,X,X,O,X,O
TZLOJSI,X,X,X,O,X,X
TZLOSIJ,X,X,X,O,X,O
TZLOSJI,X,X,X,O,X,X
TZJILSO,O,O,O,X,O,X
TZJILOS,O,O,X,X,O,O
TZJISLO,O,O,O,O,O,X
TZJISOL,O,O,O,O,O,X
TZJIOLS,O,O,X,X,O,O
TZJIOSL,O,O,X,X,O,X
TZJLISO,O,O,O,O,O,X
TZJLIOS,O,O,X,X,O,O
