sequence,v115@QhB8BeA8DeG8CeB8Jei/IvhFRhBFjBzkBUmBXsBGsB,v115@QhB8BeA8DeG8CeB8Jem/IvhFChBxiB0kBTmBXsBlsB,v115@QhB8BeA8DeG8CeB8Je/EJvhFalBzgBUiBFjBxrBWxB,v115@QhB8BeA8DeG8CeB8JeT/IvhFelBfmBxiBlnBUsB6rB,v115@QhB8BeA8DeG8CeB8Jei/IvhFWmBFjBzkBxrB/sB0rB,v115@QhB8BeA8DeG8CeB8JeT/IvhFelBXjBRmBUmBFnBSxB,v115@QhB8BeA8DeG8CeB8JeyEJvhFXjBRmB0kBFmBTnBWxB,v115@QhB8BeA8DeG8CeB8JeT/IvhFxgBFjBXlBimB+sB8rB,v115@QhB8BeA8DeG8CeB8Je3BJvhFxkBlnB0kBmlBzrBCtB
TZLIJOS,O,O,X,O,X,X,X,X,X
TZLISJO,O,X,X,O,X,X,X,X,X
TZLISOJ,O,X,X,X,X,X,X,X,X
TZLIOJS,O,X,X,O,X,X,X,X,X
TZLIOSJ,O,X,X,X,X,X,X,X,X
TZLJISO,O,O,X,O,X,X,X,X,X
TZLJIOS,O,O,X,O,X,X,X,X,X
TZLJSIO,O,O,X,O,X,X,X,X,X
TZLJSOI,X,X,X,O,X,X,X,X,X
TZLJOIS,X,O,X,O,X,X,X,X,X
TZLJOSI,X,O,X,O,X,X,X,X,X
TZLSIJO,O,O,X,O,X,X,X,X,X
TZLSIOJ,O,X,X,X,X,X,X,X,X
TZLSJIO,O,O,X,O,X,X,X,X,X
TZLSJOI,X,X,X,O,X,X,X,X,X
TZLSOIJ,O,X,X,X,X,X,X,X,X
TZLSOJI,O,X,X,X,X,X,X,X,X
TZLOIJS,O,O,X,O,X,X,X,X,X
TZLOISJ,O,X,X,X,X,X,X,X,X
TZLOJIS,O,O,X,O,X,X,X,X,X
TZLOJSI,O,O,X,O,X,X,X,X,X
TZLOSIJ,O,O,X,X,X,X,X,X,X
TZLOSJI,O,O,X,X,X,X,X,X,X
TZJILSO,O,O,X,O,X,X,X,X,X
TZJILOS,O,O,X,O,X,X,X,X,X
TZJISLO,X,O,X,O,X,X,X,X,X
TZJISOL,X,O,X,O,X,X,X,X,X
TZJIOLS,O,O,X,O,O,X,X,X,X
TZJIOSL,X,X,X,O,O,X,X,X,X
TZJLISO,O,O,X,O,X,X,X,X,X
TZJLIOS,O,O,X,O,X,X,X,X,X
TZJLSIO,O,O,X,O,X,X,X,X,X
TZJLSOI,X,X,X,O,X,X,X,O,X
TZJLOIS,X,O,X,O,X,X,X,X,X
TZJLOSI,X,O,X,O,X,X,X,X,X
TZJSILO,O,O,X,O,X,X,X,X,X
TZJSIOL,O,O,X,O,X,X,X,X,X
TZJSLIO,O,O,X,O,X,X,X,X,X
TZJSLOI,X,X,X,O,X,X,X,O,X
TZJSOIL,O,O,X,O,X,X,X,X,X
TZJSOLI,O,O,X,O,X,X,X,O,X
TZJOILS,O,O,X,O,O,X,X,X,X
TZJOISL,X,X,X,O,O,X,X,X,X
TZJOLIS,O,O,X,O,O,X,X,X,X
TZJOLSI,O,O,X,O,X,X,X,X,X
TZJOSIL,O,O,X,O,X,X,X,X,X
TZJOSLI,O,O,X,O,X,X,X,X,X
TZSILJO,O,O,O,O,X,X,X,X,X
TZSILOJ,O,X,O,X,X,X,X,X,X
TZSIJLO,O,O,O,O,X,X,X,X,X
TZSIJOL,O,O,O,O,X,X,X,X,X
TZSIOLJ,O,O,O,X,X,X,X,X,X
TZSIOJL,O,O,O,O,X,X,X,X,X
TZSLIJO,O,O,O,O,X,X,X,X,X
TZSLIOJ,O,X,O,X,X,X,X,X,X
TZSLJIO,O,O,X,O,X,X,X,X,X
TZSLJOI,X,X,X,O,X,X,X,X,X
TZSLOIJ,O,X,O,X,X,X,X,X,X
TZSLOJI,O,X,X,X,X,X,X,X,X
TZSJILO,O,O,X,O,X,X,X,X,X
TZSJIOL,O,O,X,O,X,X,X,X,X
TZSJLIO,O,O,X,O,X,X,X,X,X
TZSJLOI,X,X,X,O,X,X,X,O,X
TZSJOIL,O,O,X,O,X,X,X,X,X
TZSJOLI,O,O,X,O,X,X,X,O,X
TZSOILJ,O,O,O,X,X,X,X,X,X
TZSOIJL,O,O,O,O,X,X,X,X,X
TZSOLIJ,O,O,O,X,X,X,X,X,X
TZSOLJI,O,O,X,X,X,X,X,X,X
TZSOJIL,O,O,X,O,X,X,X,X,X
TZSOJLI,O,O,X,O,X,X,X,O,X
TZOILJS,O,O,X,O,O,X,X,X,X
TZOILSJ,O,X,O,X,O,X,X,X,X
TZOIJLS,O,O,X,O,O,X,X,X,X
TZOIJSL,X,X,O,O,O,X,X,X,X
TZOISLJ,O,X,O,X,O,X,X,X,X
TZOISJL,O,X,O,O,O,X,X,X,X
TZOLIJS,O,O,X,O,O,X,X,X,X
TZOLISJ,O,X,X,X,O,X,X,X,X
TZOLJIS,O,O,X,O,O,X,X,X,X
TZOLJSI,O,O,X,O,X,X,X,X,X
TZOLSIJ,O,O,X,X,X,X,X,X,X
TZOLSJI,O,O,X,X,X,X,X,X,X
TZOJILS,O,O,X,O,O,X,X,X,X
TZOJISL,X,X,X,O,O,X,X,X,X
TZOJLIS,O,O,X,O,O,X,X,X,X
TZOJLSI,O,O,X,O,X,X,X,X,X
TZOJSIL,O,O,X,O,X,X,X,X,X
TZOJSLI,O,O,X,O,X,X,X,X,X
TZOSILJ,O,O,O,X,X,X,X,X,X
TZOSIJL,O,O,O,O,X,X,X,X,X
TZOSLIJ,O,O,O,X,X,X,X,X,X
TZOSLJI,O,O,X,X,X,X,X,X,X
TZOSJIL,O,O,X,O,X,X,X,X,X
TZOSJLI,O,O,X,O,X,X,X,X,X
TOILJSZ,X,X,X,X,O,O,X,X,X
TOILJZS,X,X,X,O,O,X,X,X,X
TOILSJZ,X,X,O,X,O,O,X,X,O
TOILSZJ,O,X,O,X,O,X,X,X,O
TOILZJS,O,O,X,O,O,X,X,X,X
TOILZSJ,O,X,O,X,O,X,X,X,X
TOIJLSZ,X,X,X,X,O,O,X,X,X
TOIJLZS,X,X,X,O,O,X,X,X,X
TOIJSLZ,X,X,O,X,O,O,X,X,O
TOIJSZL,X,X,O,O,O,O,X,X,O
TOIJZLS,X,X,X,O,O,X,X,X,X
TOIJZSL,X,X,O,O,O,X,X,X,X
TOISLJZ,X,X,O,X,O,X,X,X,O
TOISLZJ,O,X,O,X,O,X,X,X,O
TOISJLZ,X,X,O,X,O,O,X,X,O
TOISJZL,X,X,O,O,O,O,X,X,O
TOISZLJ,O,X,O,X,O,X,X,X,O
TOISZJL,O,X,O,O,O,X,X,X,O
TOIZLJS,O,O,X,O,O,X,X,X,X
TOIZLSJ,O,X,O,X,O,X,X,X,X
TOIZJLS,O,O,X,O,O,X,X,X,X
TOIZJSL,X,X,O,O,O,X,X,X,X
TOIZSLJ,O,X,O,X,O,X,X,X,O
TOIZSJL,O,X,O,O,O,X,X,X,O
TOLIJSZ,X,X,X,X,O,O,X,X,X
TOLIJZS,X,X,X,O,O,X,X,X,X
TOLISJZ,X,X,O,X,O,O,X,X,O
TOLISZJ,O,X,O,X,O,X,X,X,O
TOLIZJS,O,O,X,O,O,X,X,X,X
TOLIZSJ,O,X,O,X,O,X,X,X,X
TOLJISZ,X,X,X,X,O,O,X,X,X
TOLJIZS,X,X,X,O,O,X,X,X,X
TOLJSIZ,X,X,X,X,O,O,X,X,X
TOLJSZI,O,X,X,X,X,X,X,X,X
TOLJZIS,O,X,X,O,O,X,X,X,X
TOLJZSI,O,X,X,O,X,X,X,X,X
TOLSIJZ,X,X,O,X,O,O,X,X,O
TOLSIZJ,O,O,O,X,O,X,X,X,O
TOLSJIZ,X,X,O,X,O,O,X,X,X
TOLSJZI,O,X,X,X,X,X,X,X,X
TOLSZIJ,O,O,O,X,X,X,X,X,X
TOLSZJI,O,O,X,X,X,X,X,X,X
TOLZIJS,O,O,X,O,O,X,X,X,X
TOLZISJ,O,X,X,X,O,X,X,X,X
TOLZJIS,O,O,X,O,O,X,X,X,X
TOLZJSI,O,O,X,O,X,X,X,X,X
TOLZSIJ,O,O,X,X,X,X,X,X,X
TOLZSJI,O,O,X,X,X,X,X,X,X
TOJILSZ,X,X,X,X,O,O,X,X,X
TOJILZS,X,X,X,O,O,X,X,X,X
TOJISLZ,X,X,O,X,O,O,X,X,O
TOJISZL,X,X,O,O,O,O,X,X,O
TOJIZLS,X,X,X,O,O,X,X,X,X
TOJIZSL,X,X,O,O,O,X,X,X,X
TOJLISZ,X,X,X,X,O,O,X,X,X
TOJLIZS,X,X,X,O,O,X,X,X,X
TOJLSIZ,X,X,X,X,O,O,X,O,X
TOJLSZI,O,X,X,X,X,X,X,O,X
TOJLZIS,O,X,X,O,O,X,X,X,X
TOJLZSI,O,X,X,O,X,X,X,X,X
TOJSILZ,X,X,O,X,O,O,X,O,O
TOJSIZL,X,X,O,O,O,O,X,X,O
TOJSLIZ,X,X,O,X,O,O,X,O,X
TOJSLZI,O,X,X,X,X,X,X,O,X
TOJSZIL,O,X,X,O,X,X,X,X,X
TOJSZLI,O,X,X,O,X,X,X,O,X
TOJZILS,O,X,X,O,O,X,X,X,X
TOJZISL,X,X,X,O,O,X,X,X,X
TOJZLIS,O,X,X,O,O,X,X,X,X
TOJZLSI,O,X,X,O,X,X,X,X,X
TOJZSIL,O,X,X,O,X,X,X,X,X
TOJZSLI,O,X,X,O,X,X,X,X,X
TOSILJZ,X,X,O,X,O,X,X,X,O
TOSILZJ,O,O,O,X,O,X,X,X,O
TOSIJLZ,X,X,O,X,O,O,X,O,O
TOSIJZL,X,X,O,O,O,O,X,X,O
TOSIZLJ,O,O,O,X,O,X,X,X,O
TOSIZJL,O,O,O,O,O,X,X,X,O
TOSLIJZ,X,X,O,X,O,O,X,X,O
TOSLIZJ,O,O,O,X,O,X,X,X,O
TOSLJIZ,X,X,O,X,O,O,X,O,X
TOSLJZI,O,X,X,X,X,X,X,O,X
TOSLZIJ,O,O,O,X,X,X,X,X,X
TOSLZJI,O,O,X,X,X,X,X,X,X
TOSJILZ,X,X,O,X,O,O,X,O,O
TOSJIZL,X,X,O,O,O,O,X,X,O
TOSJLIZ,X,X,O,X,O,O,X,O,X
TOSJLZI,O,X,X,X,X,X,X,O,X
TOSJZIL,O,X,X,O,X,X,X,X,X
TOSJZLI,O,X,X,O,X,X,X,O,X
TOSZILJ,O,O,O,X,X,X,X,X,O
TOSZIJL,O,O,O,O,X,X,X,X,O
TOSZLIJ,O,O,O,X,X,X,X,X,X
TOSZLJI,O,O,X,X,X,X,X,X,X
TOSZJIL,O,O,X,O,X,X,X,X,X
TOSZJLI,O,O,X,O,X,X,X,O,X
TOZILJS,O,O,X,O,O,X,X,X,X
TOZILSJ,O,X,O,X,O,X,X,X,X
TOZIJLS,O,O,X,O,O,X,X,X,X
TOZIJSL,X,X,O,O,O,X,X,X,X
TOZISLJ,O,X,O,X,O,X,X,X,O
TOZISJL,O,X,O,O,O,X,X,X,O
TOZLIJS,O,O,X,O,O,X,X,X,X
TOZLISJ,O,X,X,X,O,X,X,X,X
TOZLJIS,O,O,X,O,O,X,X,X,X
TOZLJSI,O,O,X,O,X,X,X,X,X
TOZLSIJ,O,O,X,X,X,X,X,X,X
TOZLSJI,O,O,X,X,X,X,X,X,X
TOZJILS,O,O,X,O,O,X,X,X,X
TOZJISL,X,X,X,O,O,X,X,X,X
TOZJLIS,O,O,X,O,O,X,X,X,X
TOZJLSI,O,O,X,O,X,X,X,X,X
TOZJSIL,O,O,X,O,X,X,X,X,X
TOZJSLI,O,O,X,O,X,X,X,X,X
TOZSILJ,O,O,O,X,X,X,X,X,O
TOZSIJL,O,O,O,O,X,X,X,X,O
TOZSLIJ,O,O,O,X,X,X,X,X,X
TOZSLJI,O,O,X,X,X,X,X,X,X
TOZSJIL,O,O,X,O,X,X,X,X,X
TOZSJLI,O,O,X,O,X,X,X,X,X
ITLJSZO,X,X,X,X,X,X,O,X,X
ITLJSOZ,X,X,X,X,X,O,O,X,X
ITLJZSO,X,X,X,O,X,X,X,X,X
ITLJZOS,X,X,X,O,X,X,X,X,X
ITLJOSZ,X,X,X,X,O,O,X,X,X
ITLJOZS,X,X,X,O,O,X,X,X,X
ITLSJZO,X,X,O,X,X,X,O,X,X
ITLSJOZ,X,X,O,X,X,O,O,X,X
ITLSZJO,O,X,O,X,X,X,O,X,X
ITLSZOJ,O,X,O,X,X,X,O,X,X
ITLSOJZ,X,X,O,X,X,O,O,X,X
ITLSOZJ,X,X,O,X,X,X,O,X,X
ITLZJSO,O,O,X,O,X,X,X,X,X
ITLZJOS,O,O,X,O,X,X,X,X,X
ITLZSJO,O,X,O,O,X,X,X,X,X
ITLZSOJ,O,X,O,X,X,X,X,X,X
ITLZOJS,O,X,X,O,X,X,X,X,X
ITLZOSJ,O,X,O,X,X,X,X,X,X
ITLOJSZ,X,X,X,X,O,O,X,X,X
ITLOJZS,X,X,X,O,O,X,X,X,X
ITLOSJZ,X,X,O,X,O,O,X,X,X
ITLOSZJ,X,X,O,X,O,X,X,X,X
ITLOZJS,X,X,X,O,O,X,X,X,X
ITLOZSJ,X,X,O,X,O,X,X,X,X
ITJLSZO,X,X,X,X,X,X,O,X,X
ITJLSOZ,X,X,X,X,X,O,O,O,X
ITJLZSO,X,X,X,O,X,X,X,X,X
ITJLZOS,X,X,X,O,X,X,X,X,X
ITJLOSZ,X,X,X,X,O,O,X,X,X
ITJLOZS,X,X,X,O,O,X,X,X,X
ITJSLZO,X,X,O,X,X,X,O,X,X
ITJSLOZ,X,X,O,X,X,X,O,O,X
ITJSZLO,X,X,O,O,X,X,X,X,X
ITJSZOL,X,X,O,O,X,X,X,X,X
ITJSOLZ,X,X,O,X,O,O,X,O,X
ITJSOZL,X,X,O,O,O,O,X,X,X
ITJZLSO,X,X,X,O,X,X,X,X,X
ITJZLOS,X,X,X,O,X,X,X,X,X
ITJZSLO,X,X,O,O,X,X,X,X,X
ITJZSOL,X,X,O,O,X,X,X,X,X
ITJZOLS,X,X,X,O,O,X,X,X,X
ITJZOSL,X,X,O,O,O,X,X,X,X
ITJOLSZ,X,X,X,X,O,O,X,X,X
ITJOLZS,X,X,X,O,O,X,X,X,X
ITJOSLZ,X,X,O,X,O,O,X,X,X
ITJOSZL,X,X,O,O,O,O,X,X,X
ITJOZLS,X,X,X,O,O,X,X,X,X
ITJOZSL,X,X,O,O,O,X,X,X,X
ITSLJZO,X,X,O,X,X,X,O,X,X
ITSLJOZ,X,X,O,X,X,X,O,X,X
ITSLZJO,O,O,O,X,X,X,O,X,X
ITSLZOJ,O,X,O,X,X,X,O,X,X
ITSLOJZ,X,X,O,X,X,X,O,X,X
ITSLOZJ,X,X,O,X,X,X,O,X,X
ITSJLZO,X,X,O,X,X,X,X,X,X
ITSJLOZ,X,X,O,X,X,X,X,O,X
ITSJZLO,X,X,O,O,X,X,X,X,X
ITSJZOL,X,X,O,O,X,X,X,X,X
ITSJOLZ,X,X,O,X,O,O,X,O,X
ITSJOZL,X,X,O,O,O,O,X,X,X
ITSZLJO,O,O,O,O,X,X,X,X,X
ITSZLOJ,O,X,O,X,X,X,X,X,X
ITSZJLO,O,O,O,O,X,X,X,X,X
ITSZJOL,O,O,O,O,X,X,X,X,X
ITSZOLJ,O,O,O,X,X,X,X,X,X
ITSZOJL,O,O,O,O,X,X,X,X,X
ITSOLJZ,X,X,O,X,O,X,X,X,X
ITSOLZJ,O,O,O,X,O,X,X,X,X
ITSOJLZ,X,X,O,X,O,O,X,O,X
ITSOJZL,X,X,O,O,O,O,X,X,X
ITSOZLJ,O,O,O,X,O,X,X,X,X
ITSOZJL,O,O,O,O,O,X,X,X,X
ITZLJSO,O,O,X,O,X,X,X,X,X
ITZLJOS,O,O,X,O,X,X,X,X,X
ITZLSJO,O,X,O,O,X,X,X,X,X
ITZLSOJ,O,X,O,X,X,X,X,X,X
ITZLOJS,O,X,X,O,X,X,X,X,X
ITZLOSJ,O,X,O,X,X,X,X,X,X
ITZJLSO,O,O,X,O,X,X,X,X,X
ITZJLOS,O,O,X,O,X,X,X,X,X
ITZJSLO,X,O,O,O,X,X,X,X,X
ITZJSOL,X,O,O,O,X,X,X,X,X
ITZJOLS,O,O,X,O,O,X,X,X,X
ITZJOSL,X,X,O,O,O,X,X,X,X
ITZSLJO,O,O,O,O,X,X,X,X,X
ITZSLOJ,O,X,O,X,X,X,X,X,X
ITZSJLO,O,O,O,O,X,X,X,X,X
ITZSJOL,O,O,O,O,X,X,X,X,X
ITZSOLJ,O,O,O,X,X,X,X,X,X
ITZSOJL,O,O,O,O,X,X,X,X,X
ITZOLJS,O,O,X,O,O,X,X,X,X
ITZOLSJ,O,X,O,X,O,X,X,X,X
ITZOJLS,O,O,X,O,O,X,X,X,X
ITZOJSL,X,X,O,O,O,X,X,X,X
ITZOSLJ,O,X,O,X,O,X,X,X,X
ITZOSJL,O,X,O,O,O,X,X,X,X
ITOLJSZ,X,X,X,X,O,O,X,X,X
ITOLJZS,X,X,X,O,O,X,X,X,X
ITOLSJZ,X,X,O,X,O,O,X,X,O
ITOLSZJ,O,X,O,X,O,X,X,X,O
ITOLZJS,O,O,X,O,O,X,X,X,X
ITOLZSJ,O,X,O,X,O,X,X,X,X
ITOJLSZ,X,X,X,X,O,O,X,X,X
ITOJLZS,X,X,X,O,O,X,X,X,X
ITOJSLZ,X,X,O,X,O,O,X,X,O
ITOJSZL,X,X,O,O,O,O,X,X,O
ITOJZLS,X,X,X,O,O,X,X,X,X
ITOJZSL,X,X,O,O,O,X,X,X,X
ITOSLJZ,X,X,O,X,O,X,X,X,O
ITOSLZJ,O,X,O,X,O,X,X,X,O
ITOSJLZ,X,X,O,X,O,O,X,X,O
ITOSJZL,X,X,O,O,O,O,X,X,O
ITOSZLJ,O,X,O,X,O,X,X,X,O
ITOSZJL,O,X,O,O,O,X,X,X,O
ITOZLJS,O,O,X,O,O,X,X,X,X
ITOZLSJ,O,X,O,X,O,X,X,X,X
ITOZJLS,O,O,X,O,O,X,X,X,X
ITOZJSL,X,X,O,O,O,X,X,X,X
ITOZSLJ,O,X,O,X,O,X,X,X,O
ITOZSJL,O,X,O,O,O,X,X,X,O
ILTJSZO,X,X,X,X,X,X,O,X,X
ILTJSOZ,X,X,X,X,X,O,O,X,X
ILTJZSO,X,X,X,O,X,X,X,X,X
ILTJZOS,X,X,X,O,X,X,X,X,X
ILTJOSZ,X,X,X,X,O,O,X,X,X
ILTJOZS,X,X,X,O,O,X,X,X,X
ILTSJZO,X,X,O,X,X,X,O,X,X
ILTSJOZ,X,X,O,X,X,O,O,X,X
ILTSZJO,O,X,O,X,X,X,O,X,X
ILTSZOJ,O,X,O,X,X,X,O,X,X
ILTSOJZ,X,X,O,X,X,O,O,X,X
ILTSOZJ,X,X,O,X,X,X,O,X,X
ILTZJSO,O,O,X,O,X,X,X,X,X
ILTZJOS,O,O,X,O,X,X,X,X,X
ILTZSJO,O,X,O,O,X,X,X,X,X
ILTZSOJ,O,X,O,X,X,X,X,X,X
ILTZOJS,O,X,X,O,X,X,X,X,X
ILTZOSJ,O,X,O,X,X,X,X,X,X
ILTOJSZ,X,X,X,X,O,O,X,X,X
ILTOJZS,X,X,X,O,O,X,X,X,X
ILTOSJZ,X,X,O,X,O,O,X,X,X
ILTOSZJ,X,X,O,X,O,X,X,X,X
ILTOZJS,X,X,X,O,O,X,X,X,X
ILTOZSJ,X,X,O,X,O,X,X,X,X
ILJTSZO,X,X,X,X,X,X,O,X,X
ILJTSOZ,X,X,X,X,X,O,O,O,X
ILJTZSO,X,X,X,O,X,X,X,X,X
ILJTZOS,X,X,X,O,X,X,X,X,X
ILJTOSZ,X,X,X,X,O,O,X,X,X
ILJTOZS,X,X,X,O,O,X,X,X,X
ILJSTZO,X,X,X,X,X,X,O,X,X
ILJSTOZ,X,X,X,X,X,O,O,O,X
ILJSZTO,X,X,X,X,X,X,O,X,X
ILJSZOT,X,X,X,X,X,O,O,X,X
ILJSOTZ,X,X,X,X,X,O,O,O,X
ILJSOZT,X,X,X,X,X,O,O,X,X
ILJZTSO,X,O,X,X,X,X,X,X,X
ILJZTOS,X,O,X,X,X,X,X,X,X
ILJZSTO,X,O,X,X,X,X,O,X,X
ILJZSOT,X,O,X,X,X,O,O,X,X
ILJZOTS,X,O,X,X,X,X,X,X,X
ILJZOST,X,O,X,X,X,O,X,X,X
ILJOTSZ,X,X,X,X,O,O,X,X,X
ILJOTZS,X,X,X,O,O,X,X,X,X
ILJOSTZ,X,X,X,X,O,O,O,X,X
ILJOSZT,X,X,X,X,O,O,O,X,X
ILJOZTS,X,X,X,X,O,X,X,X,X
ILJOZST,X,X,X,X,O,O,X,X,X
ILSTJZO,X,X,O,X,X,X,O,X,X
ILSTJOZ,X,X,O,X,X,O,O,X,X
ILSTZJO,O,O,O,X,X,X,O,X,X
ILSTZOJ,O,X,O,X,X,X,O,X,X
ILSTOJZ,X,X,O,X,X,O,O,X,X
ILSTOZJ,X,X,O,X,X,X,O,X,X
ILSJTZO,X,X,O,X,X,X,O,X,X
ILSJTOZ,X,X,O,X,X,O,O,O,X
ILSJZTO,X,O,O,X,X,X,O,X,X
ILSJZOT,X,O,O,X,X,O,O,X,X
ILSJOTZ,X,X,O,X,X,O,O,O,X
ILSJOZT,X,X,O,X,X,O,O,X,X
ILSZTJO,O,O,O,X,X,X,O,X,X
ILSZTOJ,O,X,O,X,X,X,O,X,X
ILSZJTO,O,O,O,X,X,X,O,X,X
ILSZJOT,X,O,O,X,X,O,O,X,X
ILSZOTJ,O,O,O,X,X,X,O,X,X
ILSZOJT,X,O,O,X,X,O,O,X,X
ILSOTJZ,X,X,O,X,X,O,O,X,X
ILSOTZJ,X,O,O,X,X,X,O,X,X
ILSOJTZ,X,X,O,X,X,O,O,O,X
ILSOJZT,X,O,O,X,X,O,O,X,X
ILSOZTJ,X,O,O,X,X,X,O,X,X
ILSOZJT,X,O,O,X,X,O,O,X,X
ILZTJSO,O,O,X,X,X,X,X,X,X
ILZTJOS,O,O,X,X,X,X,X,X,X
ILZTSJO,O,X,O,X,X,X,X,X,X
ILZTSOJ,O,X,O,X,X,X,X,X,X
ILZTOJS,O,X,X,X,X,X,X,X,X
ILZTOSJ,O,X,O,X,X,X,X,X,X
ILZJTSO,O,O,X,X,X,X,X,X,X
ILZJTOS,O,O,X,X,X,X,X,X,X
ILZJSTO,O,O,X,X,X,X,O,X,X
ILZJSOT,X,O,X,X,X,O,O,X,X
ILZJOTS,X,O,X,X,X,X,X,X,X
ILZJOST,X,O,X,X,X,O,X,X,X
ILZSTJO,O,O,O,X,X,X,O,X,X
ILZSTOJ,O,X,O,X,X,X,O,X,X
ILZSJTO,O,O,O,X,X,X,O,X,X
ILZSJOT,X,O,O,X,X,O,O,X,X
ILZSOTJ,O,O,O,X,X,X,O,X,X
ILZSOJT,X,O,O,X,X,O,O,X,X
ILZOTJS,O,O,X,X,X,X,X,X,X
ILZOTSJ,O,X,O,X,X,X,X,X,X
ILZOJTS,X,O,X,X,X,X,X,X,X
ILZOJST,X,O,X,X,X,O,X,X,X
ILZOSTJ,O,O,O,X,X,X,X,X,X
ILZOSJT,X,O,O,X,X,O,X,X,X
ILOTJSZ,X,X,X,X,O,O,X,X,X
ILOTJZS,X,X,X,O,O,X,X,X,X
ILOTSJZ,X,X,O,X,O,O,X,X,O
ILOTSZJ,X,X,O,X,O,X,X,X,O
ILOTZJS,X,O,X,O,O,X,X,X,X
ILOTZSJ,X,X,O,X,O,X,X,X,X
ILOJTSZ,X,X,X,X,O,O,X,X,X
ILOJTZS,X,X,X,O,O,X,X,X,X
ILOJSTZ,X,X,X,X,O,O,O,X,X
ILOJSZT,X,X,X,X,O,O,O,X,X
ILOJZTS,X,O,X,X,O,X,X,X,X
ILOJZST,X,O,X,X,O,O,X,X,X
ILOSTJZ,X,X,O,X,O,O,O,X,O
ILOSTZJ,X,O,O,X,O,X,O,X,O
ILOSJTZ,X,X,O,X,O,O,O,X,X
ILOSJZT,X,O,O,X,O,O,O,X,X
ILOSZTJ,X,O,O,X,O,X,O,X,X
ILOSZJT,X,O,O,X,O,O,O,X,X
ILOZTJS,X,O,X,X,O,X,X,X,X
ILOZTSJ,X,X,O,X,O,X,X,X,X
ILOZJTS,X,O,X,X,O,X,X,X,X
ILOZJST,X,O,X,X,O,O,X,X,X
ILOZSTJ,X,O,O,X,O,X,X,X,X
ILOZSJT,X,O,O,X,O,O,X,X,X
IJTLSZO,X,X,X,X,X,X,O,X,X
IJTLSOZ,X,X,X,X,X,O,O,O,X
IJTLZSO,X,X,X,O,X,X,X,X,X
IJTLZOS,X,X,X,O,X,X,X,X,X
IJTLOSZ,X,X,X,X,O,O,X,X,X
IJTLOZS,X,X,X,O,O,X,X,X,X
IJTSLZO,X,X,O,X,X,X,O,X,X
IJTSLOZ,X,X,O,X,X,X,O,O,X
IJTSZLO,X,X,O,O,X,X,X,X,X
IJTSZOL,X,X,O,O,X,X,X,X,X
IJTSOLZ,X,X,O,X,O,O,X,O,X
IJTSOZL,X,X,O,O,O,O,X,X,X
IJTZLSO,X,X,X,O,X,X,X,X,X
IJTZLOS,X,X,X,O,X,X,X,X,X
IJTZSLO,X,X,O,O,X,X,X,X,X
IJTZSOL,X,X,O,O,X,X,X,X,X
IJTZOLS,X,X,X,O,O,X,X,X,X
IJTZOSL,X,X,O,O,O,X,X,X,X
IJTOLSZ,X,X,X,X,O,O,X,X,X
IJTOLZS,X,X,X,O,O,X,X,X,X
IJTOSLZ,X,X,O,X,O,O,X,X,X
IJTOSZL,X,X,O,O,O,O,X,X,X
IJTOZLS,X,X,X,O,O,X,X,X,X
IJTOZSL,X,X,O,O,O,X,X,X,X
IJLTSZO,X,X,X,X,X,X,O,X,X
IJLTSOZ,X,X,X,X,X,O,O,O,X
IJLTZSO,X,X,X,O,X,X,X,X,X
IJLTZOS,X,X,X,O,X,X,X,X,X
IJLTOSZ,X,X,X,X,O,O,X,X,X
IJLTOZS,X,X,X,O,O,X,X,X,X
IJLSTZO,X,X,X,X,X,X,O,X,X
IJLSTOZ,X,X,X,X,X,O,O,O,X
IJLSZTO,X,X,X,X,X,X,O,X,X
IJLSZOT,X,X,X,X,X,O,O,X,X
IJLSOTZ,X,X,X,X,X,O,O,O,X
IJLSOZT,X,X,X,X,X,O,O,X,X
IJLZTSO,X,O,X,X,X,X,X,X,X
IJLZTOS,X,O,X,X,X,X,X,X,X
IJLZSTO,X,O,X,X,X,X,O,X,X
IJLZSOT,X,O,X,X,X,O,O,X,X
IJLZOTS,X,O,X,X,X,X,X,X,X
IJLZOST,X,O,X,X,X,O,X,X,X
IJLOTSZ,X,X,X,X,O,O,X,X,X
IJLOTZS,X,X,X,O,O,X,X,X,X
IJLOSTZ,X,X,X,X,O,O,O,X,X
IJLOSZT,X,X,X,X,O,O,O,X,X
IJLOZTS,X,X,X,X,O,X,X,X,X
IJLOZST,X,X,X,X,O,O,X,X,X
IJSTLZO,X,X,O,X,X,X,O,X,X
IJSTLOZ,X,X,O,X,X,X,O,O,X
IJSTZLO,X,X,O,O,X,X,X,X,X
IJSTZOL,X,X,O,O,X,X,X,X,X
IJSTOLZ,X,X,O,X,O,O,X,O,X
IJSTOZL,X,X,O,O,O,O,X,X,X
IJSLTZO,X,X,O,X,X,X,O,X,X
IJSLTOZ,X,X,O,X,X,O,O,O,X
IJSLZTO,X,O,O,X,X,X,O,X,X
IJSLZOT,X,O,O,X,X,O,O,X,X
IJSLOTZ,X,X,O,X,X,O,O,O,X
IJSLOZT,X,X,O,X,X,O,O,X,X
IJSZTLO,X,O,O,O,X,X,X,X,X
IJSZTOL,X,O,O,O,X,X,X,X,X
IJSZLTO,X,O,O,X,X,X,O,X,X
