sequence,v115@FhB8GeC8HeE8EeB8Jem/IvhFUhBTkB1qB/sBCnBRwB,v115@FhB8GeC8HeE8EeB8JeOEJvhFCiBzkBUmB/sBllBRwB,v115@FhB8GeC8HeE8EeB8Jei/IvhFzgBFiB3kB0qBxrBWxB,v115@FhB8GeC8HeE8EeB8Je0/IvhF6lBxhB2pBXrBTsBlrB,v115@FhB8GeC8HeE8EeB8JeKEJvhFXiBRlBUlBGmBVwBTsB,v115@FhB8GeC8HeE8EeB8JeT/IvhFlgBXiBypB8qBWsBxwB,v115@FhB8GeC8HeE8EeB8JeKEJvhFRgBFiBUlBXrBTsBGrB,v115@FhB8GeC8HeE8EeB8Je1FJvhFxhB0kB3mBikBWwBTsB,v115@FhB8GeC8HeE8EeB8JeOEJvhF8kBRmB3lBCnBVwBTsB,v115@FhB8GeC8HeE8EeB8JeKEJvhFzfBxhBUnBlqBWxBfrB,v115@FhB8GeC8HeE8EeB8JexBJvhF0kBllB3mBikBTsBWwB,v115@FhB8GeC8HeE8EeB8JeCCJvhFmkBUmB/sBTkBllBRwB,v115@FhB8GeC8HeE8EeB8JeKEJvhFzfBRmB3lBGnBVwBUsB,v115@FhB8GeC8HeE8EeB8JeyEJvhFRmBTkBFmB0qBGsBXsB,v115@FhB8GeC8HeE8EeB8JemEJvhFRmBTkBllBUnBXrBSxB,v115@FhB8GeC8HeE8EeB8JeT/IvhFimBxpBGsB/qBUrBFsB,v115@FhB8GeC8HeE8EeB8Je3AJvhF1mB0kBikBWwBxrBTsB
ISZJLOT,X,O,O,X,X,O,X,X,X,X,X,O,X,X,O,X,X
ISZJOTL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ISZJOLT,X,O,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X
ISZOTLJ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISZOTJL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZOLTJ,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISZOLJT,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
ISZOJTL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZOJLT,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ISOTLJZ,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ISOTLZJ,O,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
ISOTJLZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOTJZL,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
ISOTZLJ,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
ISOTZJL,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
ISOLTJZ,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ISOLTZJ,O,O,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X
ISOLJTZ,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ISOLJZT,X,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X
ISOLZTJ,X,O,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X
ISOLZJT,X,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X
ISOJTLZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
ISOJTZL,O,O,X,O,X,X,X,O,X,X,O,X,X,X,O,X,X
ISOJLTZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X
ISOJLZT,X,O,X,O,X,X,X,X,X,X,X,O,X,X,O,O,X
ISOJZTL,O,O,X,O,X,X,X,O,X,X,O,X,X,X,O,X,X
ISOJZLT,X,O,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X
ISOZTLJ,O,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X
ISOZTJL,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
ISOZLTJ,X,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X
ISOZLJT,X,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
ISOZJTL,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
ISOZJLT,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
IZTLJSO,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X
IZTLJOS,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X
IZTLSJO,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IZTLSOJ,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IZTLOJS,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IZTLOSJ,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IZTJLSO,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IZTJLOS,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IZTJSLO,X,X,O,X,X,O,X,O,O,X,X,O,X,X,X,X,X
IZTJSOL,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IZTJOLS,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZTJOSL,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZTSLJO,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IZTSLOJ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZTSJLO,X,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X
IZTSJOL,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZTSOLJ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZTSOJL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTOLJS,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZTOLSJ,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZTOJLS,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZTOJSL,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IZTOSLJ,O,O,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X
IZTOSJL,O,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IZLTJSO,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IZLTJOS,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IZLTSJO,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IZLTSOJ,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IZLTOJS,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IZLTOSJ,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IZLJTSO,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IZLJTOS,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IZLJSTO,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X
IZLJSOT,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X
IZLJOTS,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IZLJOST,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IZLSTJO,X,X,O,X,X,O,X,X,X,X,X,O,X,O,X,X,X
IZLSTOJ,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IZLSJTO,X,X,O,X,X,O,X,X,X,X,X,O,X,O,X,X,X
IZLSJOT,X,O,O,X,X,O,X,X,X,X,X,O,X,O,X,X,X
IZLSOTJ,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IZLSOJT,X,O,O,X,X,O,X,X,X,X,X,O,X,O,X,X,X
IZLOTJS,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IZLOTSJ,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IZLOJTS,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IZLOJST,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IZLOSTJ,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IZLOSJT,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IZJTLSO,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,O
IZJTLOS,X,X,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X
IZJTSLO,X,X,O,X,X,O,X,O,O,X,X,O,X,X,X,X,O
IZJTSOL,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,O
IZJTOLS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZJTOSL,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O
IZJLTSO,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O
IZJLTOS,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X
IZJLSTO,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X
IZJLSOT,X,X,X,O,X,O,X,X,X,X,X,O,X,O,X,O,X
IZJLOTS,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X
IZJLOST,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,O,X
IZJSTLO,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X,O
IZJSTOL,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O
IZJSLTO,X,X,O,X,X,O,X,X,X,X,X,O,X,O,X,X,X
IZJSLOT,X,O,O,O,X,O,X,X,X,X,X,O,X,O,X,X,X
IZJSOTL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJSOLT,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZJOTLS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZJOTSL,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O
IZJOLTS,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X
IZJOLST,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X
IZJOSTL,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZJOSLT,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZSTLJO,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IZSTLOJ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZSTJLO,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IZSTJOL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSTOLJ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZSTOJL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSLTJO,X,X,O,X,X,O,X,X,X,X,X,O,X,O,X,X,X
IZSLTOJ,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IZSLJTO,X,X,O,X,X,O,X,X,X,X,X,O,X,O,X,X,X
IZSLJOT,X,O,O,X,X,O,X,X,X,X,X,O,X,O,X,X,X
IZSLOTJ,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IZSLOJT,X,O,O,X,X,O,X,X,X,X,X,O,X,O,X,X,X
IZSJTLO,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IZSJTOL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSJLTO,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IZSJLOT,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IZSJOTL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSJOLT,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZSOTLJ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZSOTJL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSOLTJ,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZSOLJT,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IZSOJTL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSOJLT,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZOTLJS,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IZOTLSJ,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOTJLS,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZOTJSL,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IZOTSLJ,O,O,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X
IZOTSJL,O,O,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
IZOLTJS,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IZOLTSJ,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IZOLJTS,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X
IZOLJST,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IZOLSTJ,X,O,O,X,X,O,X,O,X,X,O,X,X,O,X,X,X
IZOLSJT,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IZOJTLS,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IZOJTSL,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IZOJLTS,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IZOJLST,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IZOJSTL,O,O,O,O,X,X,X,O,O,X,O,X,X,X,X,X,X
IZOJSLT,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X
IZOSTLJ,O,O,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X
IZOSTJL,O,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IZOSLTJ,X,O,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X
IZOSLJT,X,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X
IZOSJTL,O,O,O,O,X,X,X,O,O,X,O,X,X,X,X,X,X
IZOSJLT,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X
IOTLJSZ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOTLJZS,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOTLSJZ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOTLSZJ,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOTLZJS,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
IOTLZSJ,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOTJLSZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOTJLZS,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOTJSLZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTJSZL,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IOTJZLS,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IOTJZSL,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOTSLJZ,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOTSLZJ,O,O,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X
IOTSJLZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTSJZL,O,O,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X
IOTSZLJ,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IOTSZJL,O,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
IOTZLJS,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOTZLSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTZJLS,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOTZJSL,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOTZSLJ,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IOTZSJL,O,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
IOLTJSZ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLTJZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLTSJZ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLTSZJ,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
IOLTZJS,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IOLTZSJ,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
IOLJTSZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOLJTZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLJSTZ,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X
IOLJSZT,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X
IOLJZTS,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X
IOLJZST,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X
IOLSTJZ,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLSTZJ,O,O,X,X,O,O,O,O,X,X,O,X,X,X,X,X,X
IOLSJTZ,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLSJZT,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
IOLSZTJ,X,O,X,X,O,O,O,O,X,X,O,X,X,X,X,X,X
IOLSZJT,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X
IOLZTJS,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IOLZTSJ,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IOLZJTS,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
IOLZJST,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IOLZSTJ,X,O,X,X,O,O,O,O,X,X,O,X,X,X,X,X,X
IOLZSJT,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
IOJTLSZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOJTLZS,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOJTSLZ,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IOJTSZL,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
IOJTZLS,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IOJTZSL,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IOJLTSZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOJLTZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJLSTZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IOJLSZT,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IOJLZTS,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IOJLZST,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IOJSTLZ,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IOJSTZL,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
IOJSLTZ,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
IOJSLZT,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X
IOJSZTL,O,O,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X
IOJSZLT,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
IOJZTLS,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IOJZTSL,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IOJZLTS,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IOJZLST,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IOJZSTL,O,O,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X
IOJZSLT,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
IOSTLJZ,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOSTLZJ,O,O,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X
IOSTJLZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSTJZL,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
IOSTZLJ,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IOSTZJL,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IOSLTJZ,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOSLTZJ,O,O,X,X,O,O,O,O,X,X,O,X,X,X,X,X,X
IOSLJTZ,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOSLJZT,X,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X
IOSLZTJ,X,O,X,X,O,O,O,O,X,X,O,X,X,X,X,X,X
IOSLZJT,X,O,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X
IOSJTLZ,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IOSJTZL,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
IOSJLTZ,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
IOSJLZT,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X
IOSJZTL,O,O,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X
IOSJZLT,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
IOSZTLJ,O,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X
IOSZTJL,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IOSZLTJ,X,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X
IOSZLJT,X,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
IOSZJTL,O,O,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X
IOSZJLT,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
IOZTLJS,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IOZTLSJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOZTJLS,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOZTJSL,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IOZTSLJ,O,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X
IOZTSJL,O,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
IOZLTJS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOZLTSJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOZLJTS,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IOZLJST,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOZLSTJ,X,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X
IOZLSJT,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOZJTLS,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IOZJTSL,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IOZJLTS,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IOZJLST,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IOZJSTL,O,O,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X
IOZJSLT,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
IOZSTLJ,O,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X
IOZSTJL,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IOZSLTJ,X,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X
IOZSLJT,X,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
IOZSJTL,O,O,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X
IOZSJLT,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
LTIJSZO,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTIJSOZ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTIJZSO,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
LTIJZOS,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
LTIJOSZ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LTIJOZS,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
LTISJZO,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTISJOZ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTISZJO,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
LTISZOJ,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
LTISOJZ,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
LTISOZJ,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
LTIZJSO,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
LTIZJOS,X,X,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X
LTIZSJO,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
LTIZSOJ,O,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X
LTIZOJS,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
LTIZOSJ,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
LTIOJSZ,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LTIOJZS,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
LTIOSJZ,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
LTIOSZJ,O,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X
LTIOZJS,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
LTIOZSJ,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
LTJISZO,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTJISOZ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTJIZSO,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
LTJIZOS,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
LTJIOSZ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LTJIOZS,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
LTJSIZO,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
LTJSIOZ,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTJSZIO,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJSZOI,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJSOIZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJSOZI,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJZISO,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
LTJZIOS,X,X,X,X,X,X,O,X,O,O,X,X,O,X,X,X,X
LTJZSIO,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
