sequence,v115@NhA8CeA8DeB8BeC8CeE8Jei/IvhFRhBunBcoBzkB3q?BFrB,v115@NhA8CeA8DeB8BeC8CeE8Jex/IvhFlhBqnBTjB0kB3q?BmqB,v115@NhA8CeA8DeB8BeC8CeE8JeT/IvhF0gBlhBCjBXoBRq?B2vB,v115@NhA8CeA8DeB8BeC8CeE8Je2EJvhFlhBqnBTjBRqBfr?BUqB,v115@NhA8CeA8DeB8BeC8CeE8Je/EJvhFUgBRhBOrBFoBCo?BTqB,v115@NhA8CeA8DeB8BeC8CeE8Je/EJvhFRhBGjBFmBznB0q?BaqB
TJOLSIZ,X,X,X,O,O,X
TJOLSZI,X,X,X,X,O,X
TJOLZIS,X,X,X,O,X,O
TJOLZSI,X,X,X,X,X,O
TJOSILZ,X,X,O,X,O,X
TJOSIZL,X,X,O,X,O,O
TJOSLIZ,X,X,O,X,O,X
TJOSLZI,X,X,X,X,O,X
TJOSZIL,X,X,X,X,O,O
TJOSZLI,X,X,X,X,O,O
TJOZILS,X,X,X,X,X,O
TJOZISL,X,X,X,X,O,O
TJOZLIS,X,X,X,X,X,O
TJOZLSI,X,X,X,X,X,O
TJOZSIL,X,X,X,X,O,O
TJOZSLI,X,X,X,X,O,O
TSILJZO,X,X,O,O,O,X
TSILJOZ,X,X,O,O,X,X
TSILZJO,O,O,O,O,X,X
TSILZOJ,X,O,O,O,X,X
TSILOJZ,X,X,O,O,X,X
TSILOZJ,X,O,O,O,X,X
TSIJLZO,X,X,O,O,O,X
TSIJLOZ,X,X,O,O,X,X
TSIJZLO,X,X,O,X,O,X
TSIJZOL,X,X,O,X,O,X
TSIJOLZ,X,X,O,X,O,X
TSIJOZL,X,X,O,X,O,X
TSIZLJO,O,O,O,X,X,X
TSIZLOJ,X,O,O,X,X,O
TSIZJLO,O,O,O,X,O,X
TSIZJOL,O,X,O,X,O,O
TSIZOLJ,O,O,O,X,X,O
TSIZOJL,O,X,O,X,X,O
TSIOLJZ,X,X,O,X,X,X
TSIOLZJ,O,X,O,X,X,X
TSIOJLZ,X,X,O,X,O,X
TSIOJZL,X,X,O,X,O,O
TSIOZLJ,O,X,O,X,X,O
TSIOZJL,O,X,O,X,O,O
TSLIJZO,X,X,O,O,O,X
TSLIJOZ,X,X,O,O,X,X
TSLIZJO,O,O,O,O,X,X
TSLIZOJ,X,O,O,O,X,X
TSLIOJZ,X,X,O,O,X,X
TSLIOZJ,X,O,O,O,X,X
TSLJIZO,X,X,O,O,O,X
TSLJIOZ,X,X,O,O,X,X
TSLJZIO,X,O,X,X,O,X
TSLJZOI,X,O,X,X,O,X
TSLJOIZ,X,X,O,O,O,X
TSLJOZI,X,O,X,X,O,X
TSLZIJO,O,O,O,X,X,X
TSLZIOJ,X,O,O,X,X,X
TSLZJIO,O,O,X,X,O,X
TSLZJOI,X,O,X,X,O,X
TSLZOIJ,X,O,O,X,X,X
TSLZOJI,X,O,X,X,X,X
TSLOIJZ,X,X,O,O,X,X
TSLOIZJ,X,O,O,O,X,X
TSLOJIZ,X,X,O,O,O,X
TSLOJZI,X,O,X,X,O,X
TSLOZIJ,X,O,O,X,X,X
TSLOZJI,X,O,X,X,O,X
TSJILZO,X,X,O,O,O,X
TSJILOZ,X,X,O,O,X,X
TSJIZLO,X,X,O,X,O,X
TSJIZOL,X,X,O,X,O,X
TSJIOLZ,X,X,O,X,O,X
TSJIOZL,X,X,O,X,O,X
TSJLIZO,X,X,O,O,O,X
TSJLIOZ,X,X,O,O,X,X
TSJLZIO,X,O,X,X,O,X
TSJLZOI,X,O,X,X,O,X
TSJLOIZ,X,X,O,O,O,X
TSJLOZI,X,O,X,X,O,X
TSJZILO,X,O,X,X,O,X
TSJZIOL,X,X,X,X,O,X
TSJZLIO,X,O,X,X,O,X
TSJZLOI,X,O,X,X,O,X
TSJZOIL,X,X,X,X,O,X
TSJZOLI,X,X,X,X,O,X
TSJOILZ,X,X,O,X,O,X
TSJOIZL,X,X,O,X,O,X
TSJOLIZ,X,X,O,X,O,X
TSJOLZI,X,X,X,X,O,X
TSJOZIL,X,X,X,X,O,X
TSJOZLI,X,X,X,X,O,X
TSZILJO,O,O,O,X,X,X
TSZILOJ,X,O,O,X,X,O
TSZIJLO,O,O,O,X,O,X
TSZIJOL,O,X,O,X,O,O
TSZIOLJ,O,O,O,X,X,O
TSZIOJL,O,X,O,X,X,O
TSZLIJO,O,O,O,X,X,X
TSZLIOJ,X,O,O,X,X,O
TSZLJIO,O,O,X,X,O,X
TSZLJOI,X,O,X,X,O,X
TSZLOIJ,X,O,O,X,X,O
TSZLOJI,X,O,X,X,X,O
TSZJILO,O,O,X,X,O,X
TSZJIOL,O,X,X,X,O,O
TSZJLIO,O,O,X,X,O,X
TSZJLOI,X,O,X,X,O,X
TSZJOIL,O,X,X,X,O,O
TSZJOLI,O,X,X,X,O,O
TSZOILJ,O,O,O,X,X,O
TSZOIJL,O,X,O,X,O,O
TSZOLIJ,O,O,O,X,X,O
TSZOLJI,O,O,X,X,O,O
TSZOJIL,O,X,X,X,O,O
TSZOJLI,O,X,X,X,O,O
TSOILJZ,X,X,O,X,X,X
TSOILZJ,O,X,O,X,X,X
TSOIJLZ,X,X,O,X,O,X
TSOIJZL,X,X,O,X,O,O
TSOIZLJ,O,X,O,X,X,O
TSOIZJL,O,X,O,X,O,O
TSOLIJZ,X,X,O,X,X,X
TSOLIZJ,O,O,O,X,X,X
TSOLJIZ,X,X,O,X,O,X
TSOLJZI,X,O,X,X,O,X
TSOLZIJ,O,O,O,X,X,X
TSOLZJI,O,O,X,X,O,X
TSOJILZ,X,X,O,X,O,X
TSOJIZL,X,X,O,X,O,O
TSOJLIZ,X,X,O,X,O,X
TSOJLZI,X,X,X,X,O,X
