sequence,v115@BhB8GeB8HeC8DeA8BeC8BeA8KeT/IvhFOlBxiBFnB6?tB0pB3sB,v115@BhB8GeB8HeC8DeA8BeC8BeA8KeOEJvhFXgB5oBFnB8?sBzpBisB,v115@BhB8GeB8HeC8DeA8BeC8BeA8KeOFJvhFxiBTkBFnB6?tB3sB0pB,v115@BhB8GeB8HeC8DeA8BeC8BeA8KeOEJvhFXgBliB5oBa?sB8sBzpB,v115@BhB8GeB8HeC8DeA8BeC8BeA8Kex/IvhFmkBFnBXoB6?tB0pBTsB,v115@BhB8GeB8HeC8DeA8BeC8BeA8KeeIJvhF5oBikBFnB0?kBXqBTsB,v115@BhB8GeB8HeC8DeA8BeC8BeA8KeeIJvhF5oBikBFnBX?lB0pBTsB,v115@BhB8GeB8HeC8DeA8BeC8BeA8KeOFJvhFVnB5oBTkBy?sB0pB3sB,v115@BhB8GeB8HeC8DeA8BeC8BeA8Ke0/IvhFVnBaoB5oB/?pBOqBTsB,v115@BhB8GeB8HeC8DeA8BeC8BeA8KeXAJvhFVnBaoB5oB2?pBTsB0pB,v115@BhB8GeB8HeC8DeA8BeC8BeA8Kex/IvhFXiBUoBmpBT?sB6tBlpB
TSJZOLI,O,X,O,X,O,X,X,X,X,X,X
TSJOILZ,X,X,O,X,X,X,X,O,X,O,X
TSJOIZL,O,X,X,X,X,X,X,X,X,O,X
TSJOLIZ,O,X,O,X,X,X,X,O,X,O,X
TSJOLZI,O,X,O,X,X,X,X,X,X,O,X
TSJOZIL,O,X,X,X,X,X,X,X,X,O,X
TSJOZLI,O,X,O,X,X,X,X,X,X,O,X
TSZILJO,O,X,X,O,X,X,X,X,O,X,X
TSZILOJ,O,X,X,X,X,X,X,X,O,X,X
TSZIJLO,O,X,X,O,O,X,X,X,O,X,X
TSZIJOL,O,X,X,O,O,X,X,X,X,X,X
TSZIOLJ,O,X,X,X,X,X,X,X,O,X,X
TSZIOJL,O,X,X,O,X,X,X,X,O,X,X
TSZLIJO,O,X,O,O,X,X,X,X,O,X,X
TSZLIOJ,O,X,O,X,X,X,X,X,O,X,X
TSZLJIO,O,X,O,O,O,X,X,X,O,X,X
TSZLJOI,O,X,O,X,O,X,X,X,X,X,X
TSZLOIJ,O,X,O,X,X,X,X,X,O,X,X
TSZLOJI,O,X,O,X,X,X,X,X,X,X,X
TSZJILO,O,X,X,O,O,X,X,X,O,X,X
TSZJIOL,O,X,X,O,O,X,X,X,X,X,X
TSZJLIO,O,X,O,O,O,X,X,X,O,X,X
TSZJLOI,O,X,O,X,O,X,X,X,X,X,X
TSZJOIL,O,X,X,O,O,X,X,X,X,X,X
TSZJOLI,O,X,O,X,O,X,X,X,X,X,X
TSZOILJ,O,X,X,X,X,X,X,X,O,X,X
TSZOIJL,O,X,X,O,X,X,X,X,O,X,X
TSZOLIJ,O,X,O,X,X,X,X,X,O,X,X
TSZOLJI,O,X,O,X,X,X,X,X,O,X,X
TSZOJIL,O,X,X,O,O,X,X,X,O,X,X
TSZOJLI,O,X,O,X,O,X,X,X,O,X,X
TSOILJZ,X,X,O,X,X,X,X,O,O,O,X
TSOILZJ,X,X,O,X,X,X,X,X,O,O,X
TSOIJLZ,X,X,O,X,X,X,X,O,O,O,X
TSOIJZL,O,X,X,X,X,X,X,X,O,O,X
TSOIZLJ,O,X,X,X,X,X,X,X,O,O,X
TSOIZJL,O,X,X,X,X,X,X,X,O,O,X
TSOLIJZ,O,X,O,X,X,X,X,O,O,O,X
TSOLIZJ,O,X,O,X,X,X,X,X,O,O,X
TSOLJIZ,O,X,O,X,X,X,X,O,O,O,X
TSOLJZI,O,X,O,X,X,X,X,X,O,O,X
TSOLZIJ,O,X,O,X,X,X,X,X,O,O,X
TSOLZJI,O,X,O,X,X,X,X,X,O,O,X
TSOJILZ,X,X,O,X,X,X,X,O,O,O,X
TSOJIZL,O,X,X,X,X,X,X,X,O,O,X
TSOJLIZ,O,X,O,X,X,X,X,O,O,O,X
TSOJLZI,O,X,O,X,X,X,X,X,O,O,X
TSOJZIL,O,X,X,X,X,X,X,X,O,O,X
TSOJZLI,O,X,O,X,X,X,X,X,O,O,X
TSOZILJ,O,X,X,X,X,X,X,X,O,O,X
TSOZIJL,O,X,X,X,X,X,X,X,O,O,X
TSOZLIJ,O,X,O,X,X,X,X,X,O,O,X
TSOZLJI,O,X,O,X,X,X,X,X,O,O,X
TSOZJIL,O,X,X,X,O,X,X,X,O,O,X
TSOZJLI,O,X,O,X,O,X,X,X,O,O,X
TZILJSO,O,X,X,O,X,X,X,X,X,X,X
TZILJOS,O,X,X,X,X,X,X,O,X,X,X
TZILSJO,O,X,X,O,X,X,X,X,O,X,X
TZILSOJ,O,X,X,X,X,X,X,X,O,X,X
TZILOJS,O,O,X,O,X,X,X,O,X,X,X
TZILOSJ,O,O,X,O,X,X,X,X,X,X,X
TZIJLSO,O,X,X,O,O,X,X,X,X,X,X
TZIJLOS,O,X,X,X,X,X,X,O,X,X,X
TZIJSLO,X,X,X,O,O,X,X,X,X,X,X
TZIJSOL,O,X,X,O,O,X,X,X,X,X,X
TZIJOLS,O,O,X,O,X,X,X,O,X,X,X
TZIJOSL,O,O,X,O,O,X,X,X,X,X,X
TZISLJO,X,X,X,O,X,X,X,X,O,X,X
TZISLOJ,X,X,X,X,X,X,X,X,O,X,X
TZISJLO,X,X,X,O,O,X,X,X,O,X,X
TZISJOL,O,X,X,O,O,X,X,X,X,X,X
TZISOLJ,X,O,X,O,X,X,X,X,O,X,X
TZISOJL,O,O,X,O,X,X,X,X,X,X,X
TZIOLJS,O,O,X,O,X,X,X,O,X,X,X
TZIOLSJ,O,O,X,O,X,X,X,X,X,X,X
TZIOJLS,O,O,X,O,X,X,X,O,X,X,X
TZIOJSL,O,O,X,O,X,X,X,X,X,X,X
TZIOSLJ,X,O,X,O,X,X,X,X,X,X,X
TZIOSJL,O,O,X,O,X,X,X,X,X,X,X
TZLIJSO,O,X,X,O,X,X,X,X,X,X,X
TZLIJOS,O,X,X,X,X,X,X,O,X,X,X
TZLISJO,O,X,X,O,X,X,X,X,O,X,X
TZLISOJ,O,X,X,X,X,X,X,X,O,X,X
TZLIOJS,O,O,X,O,X,X,X,O,X,X,X
TZLIOSJ,O,O,X,O,X,X,X,X,X,X,X
TZLJISO,O,X,X,O,O,O,O,X,X,X,X
TZLJIOS,O,X,X,X,X,O,X,O,X,X,X
TZLJSIO,O,X,X,O,O,X,X,X,X,X,X
TZLJSOI,O,X,X,X,O,X,X,X,X,X,X
TZLJOIS,O,X,X,X,X,X,X,O,X,X,X
TZLJOSI,O,X,O,X,X,X,X,X,X,X,X
TZLSIJO,O,X,X,O,X,X,X,X,O,X,X
TZLSIOJ,O,X,X,X,X,X,X,X,O,X,X
TZLSJIO,O,X,X,O,O,X,X,X,O,X,X
TZLSJOI,O,X,X,X,O,X,X,X,X,X,X
TZLSOIJ,O,X,X,X,X,X,X,X,O,X,X
TZLSOJI,O,X,X,X,X,X,X,X,X,X,X
TZLOIJS,O,O,X,O,X,X,X,O,X,X,X
TZLOISJ,O,O,X,O,X,X,X,X,X,X,X
TZLOJIS,O,O,X,O,X,X,X,O,X,X,X
TZLOJSI,O,O,O,O,X,X,X,X,X,X,X
TZLOSIJ,O,O,X,O,X,X,X,X,X,X,X
TZLOSJI,O,O,X,O,X,X,X,X,X,X,X
TZJILSO,O,X,X,O,O,O,O,X,X,X,X
TZJILOS,O,X,X,X,X,O,X,O,X,X,X
TZJISLO,X,X,X,O,O,X,X,X,X,X,X
TZJISOL,O,X,X,O,O,X,X,X,X,X,X
TZJIOLS,O,O,X,O,X,X,X,O,X,X,X
TZJIOSL,O,O,X,O,O,X,X,X,X,X,X
TZJLISO,O,X,X,O,O,O,O,X,X,X,X
TZJLIOS,O,X,X,X,X,O,X,O,X,X,X
TZJLSIO,O,X,X,O,O,X,X,X,X,X,X
TZJLSOI,O,X,X,X,O,X,X,X,X,X,X
TZJLOIS,O,X,X,X,X,X,X,O,X,X,X
TZJLOSI,O,X,O,X,X,X,X,X,X,X,X
TZJSILO,O,X,X,O,O,X,X,X,X,X,X
TZJSIOL,O,X,X,O,O,X,X,X,X,X,X
TZJSLIO,O,X,X,O,O,X,X,X,X,X,X
TZJSLOI,O,X,X,X,O,X,X,X,X,X,X
TZJSOIL,O,X,X,O,O,X,X,X,X,X,X
TZJSOLI,O,X,X,X,O,X,X,X,X,X,X
TZJOILS,O,O,X,O,X,X,X,O,X,X,X
TZJOISL,O,O,X,O,O,X,X,X,X,X,X
TZJOLIS,O,O,X,O,X,X,X,O,X,X,X
TZJOLSI,O,O,O,O,X,X,X,X,X,X,X
TZJOSIL,O,O,X,O,O,X,X,X,X,X,X
TZJOSLI,O,O,X,O,O,X,X,X,X,X,X
TZSILJO,O,X,X,O,X,X,X,X,O,X,X
TZSILOJ,O,X,X,X,X,X,X,X,O,X,X
TZSIJLO,O,X,X,O,O,X,X,X,O,X,X
TZSIJOL,O,X,X,O,O,X,X,X,X,X,X
TZSIOLJ,O,O,X,O,X,X,X,X,O,X,X
TZSIOJL,O,O,X,O,X,X,X,X,X,X,X
TZSLIJO,O,X,X,O,X,X,X,X,O,X,X
TZSLIOJ,O,X,X,X,X,X,X,X,O,X,X
TZSLJIO,O,X,X,O,O,X,X,X,O,X,X
TZSLJOI,O,X,X,X,O,X,X,X,X,X,X
TZSLOIJ,O,X,X,X,X,X,X,X,O,X,X
TZSLOJI,O,X,X,X,X,X,X,X,X,X,X
TZSJILO,O,X,X,O,O,X,X,X,O,X,X
TZSJIOL,O,X,X,O,O,X,X,X,X,X,X
TZSJLIO,O,X,X,O,O,X,X,X,O,X,X
TZSJLOI,O,X,X,X,O,X,X,X,X,X,X
TZSJOIL,O,X,X,O,O,X,X,X,X,X,X
TZSJOLI,O,X,X,X,O,X,X,X,X,X,X
TZSOILJ,O,O,X,O,X,X,X,X,O,X,X
TZSOIJL,O,O,X,O,X,X,X,X,X,X,X
TZSOLIJ,O,O,X,O,X,X,X,X,O,X,X
TZSOLJI,O,O,X,O,X,X,X,X,X,X,X
TZSOJIL,O,O,X,O,O,X,X,X,X,X,X
TZSOJLI,O,O,X,O,O,X,X,X,X,X,X
TZOILJS,O,O,X,O,X,X,X,O,X,X,X
TZOILSJ,O,O,X,O,X,X,X,X,X,X,X
TZOIJLS,O,O,X,O,X,X,X,O,X,X,X
TZOIJSL,O,O,X,O,X,X,X,X,X,X,X
TZOISLJ,X,O,X,O,X,X,X,X,X,X,X
TZOISJL,O,O,X,O,X,X,X,X,X,X,X
TZOLIJS,O,O,X,O,X,X,X,O,X,X,X
TZOLISJ,O,O,X,O,X,X,X,X,X,X,X
TZOLJIS,O,O,X,O,X,X,X,O,X,X,X
TZOLJSI,O,O,O,O,X,X,X,X,X,X,X
TZOLSIJ,O,O,X,O,X,X,X,X,X,X,X
TZOLSJI,O,O,X,O,X,X,X,X,X,X,X
TZOJILS,O,O,X,O,X,X,X,O,X,X,X
TZOJISL,O,O,X,O,O,X,X,X,X,X,X
TZOJLIS,O,O,X,O,X,X,X,O,X,X,X
TZOJLSI,O,O,O,O,X,X,X,X,X,X,X
TZOJSIL,O,O,X,O,O,X,X,X,X,X,X
TZOJSLI,O,O,X,O,O,X,X,X,X,X,X
TZOSILJ,O,O,X,O,X,X,X,X,X,X,X
TZOSIJL,O,O,X,O,X,X,X,X,X,X,X
TZOSLIJ,O,O,X,O,X,X,X,X,X,X,X
TZOSLJI,O,O,X,O,X,X,X,X,X,X,X
TZOSJIL,O,O,X,O,O,X,X,X,X,X,X
TZOSJLI,O,O,X,O,O,X,X,X,X,X,X
TOILJSZ,X,X,O,O,X,X,X,O,O,O,X
TOILJZS,X,X,X,O,X,X,X,O,X,O,X
TOILSJZ,X,X,X,O,X,X,X,O,O,O,X
TOILSZJ,X,X,X,O,X,X,X,X,O,O,X
TOILZJS,X,X,X,O,X,X,X,O,X,O,X
TOILZSJ,X,X,X,O,X,X,X,X,O,O,X
TOIJLSZ,X,X,O,O,X,X,X,O,O,O,X
TOIJLZS,X,X,X,O,X,X,X,O,X,O,X
TOIJSLZ,X,X,X,O,X,X,X,O,O,O,X
TOIJSZL,X,O,X,O,X,X,X,X,O,O,X
TOIJZLS,O,O,X,O,X,X,X,O,X,O,X
TOIJZSL,O,O,X,O,X,X,X,X,X,O,X
TOISLJZ,X,X,X,O,X,X,X,O,O,O,X
TOISLZJ,X,X,X,O,X,X,X,X,O,O,X
TOISJLZ,X,X,X,O,X,X,X,O,O,O,X
TOISJZL,X,O,X,O,X,X,X,X,O,O,X
TOISZLJ,X,O,X,O,X,X,X,X,O,O,X
TOISZJL,X,O,X,O,X,X,X,X,O,O,X
TOIZLJS,O,O,X,O,X,X,X,O,X,O,X
TOIZLSJ,X,O,X,O,X,X,X,X,O,O,X
TOIZJLS,O,O,X,O,X,X,X,O,X,O,X
TOIZJSL,O,O,X,O,X,X,X,X,X,O,X
TOIZSLJ,X,O,X,O,X,X,X,X,O,O,X
TOIZSJL,O,O,X,O,X,X,X,X,O,O,X
TOLIJSZ,X,X,O,O,X,X,X,O,O,O,X
TOLIJZS,O,X,X,O,X,X,X,O,X,O,X
TOLISJZ,X,X,X,O,X,X,X,O,O,O,X
TOLISZJ,X,X,X,O,X,X,X,X,O,O,X
TOLIZJS,O,X,X,O,X,X,X,O,X,O,X
TOLIZSJ,O,X,X,O,X,X,X,X,O,O,X
TOLJISZ,X,X,O,O,X,X,O,O,O,O,X
TOLJIZS,O,X,X,O,X,O,X,O,X,O,X
TOLJSIZ,X,X,O,O,X,X,X,O,O,O,X
TOLJSZI,X,X,O,O,X,X,X,X,O,O,X
TOLJZIS,O,X,X,O,X,X,X,O,X,O,X
TOLJZSI,O,X,O,O,X,X,X,X,X,O,X
TOLSIJZ,X,X,O,O,X,X,X,O,O,O,X
TOLSIZJ,X,X,O,O,X,X,X,X,O,O,X
TOLSJIZ,X,X,O,O,X,X,X,O,O,O,X
TOLSJZI,X,X,O,O,X,X,X,X,O,O,X
TOLSZIJ,X,X,O,O,X,X,X,X,O,O,X
TOLSZJI,X,X,O,O,X,X,X,X,O,O,X
TOLZIJS,O,X,X,O,X,X,X,O,X,O,X
TOLZISJ,O,X,X,O,X,X,X,X,O,O,X
TOLZJIS,O,X,X,O,X,X,X,O,X,O,X
TOLZJSI,O,X,O,O,X,X,X,X,X,O,X
TOLZSIJ,O,X,X,O,X,X,X,X,O,O,X
TOLZSJI,O,X,X,O,X,X,X,X,O,O,X
TOJILSZ,X,X,O,O,X,X,O,O,O,O,X
TOJILZS,X,X,X,O,X,O,X,O,X,O,X
TOJISLZ,X,X,X,O,X,X,X,O,O,O,X
TOJISZL,X,O,X,O,X,X,X,X,O,O,O
TOJIZLS,O,O,X,O,X,X,X,O,X,O,O
TOJIZSL,O,O,X,O,X,X,X,X,X,O,O
TOJLISZ,X,X,O,O,X,X,O,O,O,O,X
TOJLIZS,O,X,X,O,X,O,X,O,X,O,X
TOJLSIZ,X,X,O,O,X,X,X,O,O,O,X
TOJLSZI,X,X,O,O,X,X,X,X,O,O,X
TOJLZIS,O,X,X,O,X,X,X,O,X,O,X
TOJLZSI,O,X,O,O,X,X,X,X,X,O,X
TOJSILZ,X,X,O,O,X,X,X,O,O,O,X
TOJSIZL,X,O,X,O,X,X,X,X,O,O,O
TOJSLIZ,X,X,O,O,X,X,X,O,O,O,X
TOJSLZI,X,X,O,O,X,X,X,X,O,O,X
TOJSZIL,X,O,X,O,X,X,X,X,O,O,O
TOJSZLI,X,O,O,O,X,X,X,X,O,O,O
TOJZILS,O,O,X,O,X,X,X,O,X,O,O
TOJZISL,O,O,X,O,X,X,X,X,X,O,O
TOJZLIS,O,O,X,O,X,X,X,O,X,O,O
TOJZLSI,O,O,O,O,X,X,X,X,X,O,O
TOJZSIL,O,O,X,O,X,X,X,X,X,O,O
TOJZSLI,O,O,X,O,X,X,X,X,X,O,O
TOSILJZ,X,X,O,O,X,X,X,O,O,O,X
TOSILZJ,X,X,O,O,X,X,X,X,O,O,X
TOSIJLZ,X,X,O,O,X,X,X,O,O,O,X
TOSIJZL,X,O,X,O,X,X,X,X,O,O,X
TOSIZLJ,X,O,X,O,X,X,X,X,O,O,X
TOSIZJL,X,O,X,O,X,X,X,X,O,O,X
TOSLIJZ,X,X,O,O,X,X,X,O,O,O,X
TOSLIZJ,X,X,O,O,X,X,X,X,O,O,X
TOSLJIZ,X,X,O,O,X,X,X,O,O,O,X
TOSLJZI,X,X,O,O,X,X,X,X,O,O,X
TOSLZIJ,X,X,O,O,X,X,X,X,O,O,X
TOSLZJI,X,X,O,O,X,X,X,X,O,O,X
TOSJILZ,X,X,O,O,X,X,X,O,O,O,X
TOSJIZL,X,O,X,O,X,X,X,X,O,O,O
TOSJLIZ,X,X,O,O,X,X,X,O,O,O,X
TOSJLZI,X,X,O,O,X,X,X,X,O,O,X
TOSJZIL,X,O,X,O,X,X,X,X,O,O,O
TOSJZLI,X,O,O,O,X,X,X,X,O,O,O
TOSZILJ,X,O,X,O,X,X,X,X,O,O,X
TOSZIJL,X,O,X,O,X,X,X,X,O,O,X
TOSZLIJ,X,O,O,O,X,X,X,X,O,O,X
TOSZLJI,X,O,O,O,X,X,X,X,O,O,X
TOSZJIL,X,O,X,O,O,X,X,X,O,O,O
TOSZJLI,X,O,O,O,O,X,X,X,O,O,O
TOZILJS,O,O,X,O,X,X,X,O,X,O,X
TOZILSJ,O,O,X,O,X,X,X,X,O,O,X
TOZIJLS,O,O,X,O,X,X,X,O,X,O,X
TOZIJSL,O,O,X,O,X,X,X,X,X,O,X
TOZISLJ,X,O,X,O,X,X,X,X,O,O,X
TOZISJL,O,O,X,O,X,X,X,X,O,O,X
TOZLIJS,O,O,X,O,X,X,X,O,X,O,X
TOZLISJ,O,O,X,O,X,X,X,X,O,O,X
TOZLJIS,O,O,X,O,X,X,X,O,X,O,X
TOZLJSI,O,O,O,O,X,X,X,X,X,O,X
TOZLSIJ,O,O,X,O,X,X,X,X,O,O,X
TOZLSJI,O,O,X,O,X,X,X,X,O,O,X
TOZJILS,O,O,X,O,X,X,X,O,X,O,O
TOZJISL,O,O,X,O,O,X,X,X,X,O,O
TOZJLIS,O,O,X,O,X,X,X,O,X,O,O
TOZJLSI,O,O,O,O,X,X,X,X,X,O,O
TOZJSIL,O,O,X,O,O,X,X,X,X,O,O
TOZJSLI,O,O,X,O,O,X,X,X,X,O,O
TOZSILJ,X,O,X,O,X,X,X,X,O,O,X
TOZSIJL,O,O,X,O,X,X,X,X,O,O,X
TOZSLIJ,O,O,X,O,X,X,X,X,O,O,X
TOZSLJI,O,O,X,O,X,X,X,X,O,O,X
TOZSJIL,O,O,X,O,O,X,X,X,O,O,O
TOZSJLI,O,O,X,O,O,X,X,X,O,O,O
ITLJSZO,O,X,X,O,X,O,O,X,O,X,X
ITLJSOZ,X,X,X,X,X,X,O,O,X,X,X
ITLJZSO,O,X,X,O,X,O,O,X,X,X,X
ITLJZOS,O,X,X,O,X,O,X,O,X,X,X
ITLJOSZ,X,X,O,X,X,X,O,O,X,X,X
ITLJOZS,O,X,X,X,X,O,X,O,X,X,X
ITLSJZO,O,X,X,O,X,X,X,X,O,X,X
ITLSJOZ,X,X,X,X,X,X,X,O,X,X,X
ITLSZJO,O,X,X,O,X,X,X,X,O,X,X
ITLSZOJ,O,X,X,O,X,X,X,X,O,X,X
ITLSOJZ,X,X,X,X,X,X,X,O,X,X,X
ITLSOZJ,X,X,X,X,X,X,X,X,O,X,X
ITLZJSO,O,X,X,O,X,X,X,X,X,X,X
ITLZJOS,O,X,X,O,X,X,X,O,X,X,X
ITLZSJO,O,X,X,O,X,X,X,X,O,X,X
ITLZSOJ,O,X,X,O,X,X,X,X,O,X,X
ITLZOJS,O,X,X,O,X,X,X,O,X,X,X
ITLZOSJ,O,X,X,O,X,X,X,X,X,X,X
ITLOJSZ,X,X,O,O,X,X,X,O,X,X,X
ITLOJZS,O,X,X,O,X,X,X,O,X,X,X
ITLOSJZ,X,X,X,O,X,X,X,O,X,X,X
ITLOSZJ,X,X,X,O,X,X,X,X,O,X,X
ITLOZJS,O,X,X,O,X,X,X,O,X,X,X
ITLOZSJ,O,X,X,O,X,X,X,X,X,X,X
ITJLSZO,O,X,X,O,X,O,O,X,O,X,X
ITJLSOZ,X,X,X,X,X,X,O,O,X,X,X
ITJLZSO,O,X,X,O,X,O,O,X,X,X,X
ITJLZOS,O,X,X,O,X,O,X,O,X,X,X
ITJLOSZ,X,X,O,X,X,X,O,O,X,X,X
ITJLOZS,O,X,X,X,X,O,X,O,X,X,X
ITJSLZO,X,X,X,O,X,O,O,X,O,X,X
ITJSLOZ,X,X,X,X,X,X,O,O,X,X,X
ITJSZLO,X,X,X,O,X,X,X,X,O,X,X
ITJSZOL,O,X,X,O,X,X,X,X,X,X,X
ITJSOLZ,X,X,X,X,X,X,X,O,X,O,X
ITJSOZL,X,X,X,X,X,X,X,X,X,O,X
ITJZLSO,O,X,X,O,X,O,O,X,X,X,X
ITJZLOS,O,X,X,X,X,O,X,O,X,X,X
ITJZSLO,X,X,X,O,X,X,X,X,X,X,X
ITJZSOL,O,X,X,O,X,X,X,X,X,X,X
ITJZOLS,O,X,X,X,X,X,X,O,X,X,X
ITJZOSL,O,X,X,O,X,X,X,X,X,X,X
ITJOLSZ,X,X,O,X,X,X,O,O,X,O,X
ITJOLZS,X,X,X,X,X,O,X,O,X,O,X
ITJOSLZ,X,X,X,X,X,X,X,O,X,O,X
ITJOSZL,X,X,X,X,X,X,X,X,X,O,X
ITJOZLS,O,X,X,X,X,X,X,O,X,O,X
ITJOZSL,O,X,X,X,X,X,X,X,X,O,X
ITSLJZO,X,X,X,O,X,X,X,X,O,X,X
ITSLJOZ,X,X,X,X,X,X,X,O,X,X,X
ITSLZJO,X,X,X,O,X,X,X,X,O,X,X
ITSLZOJ,X,X,X,O,X,X,X,X,O,X,X
ITSLOJZ,X,X,X,X,X,X,X,O,X,X,X
ITSLOZJ,X,X,X,X,X,X,X,X,O,X,X
ITSJLZO,X,X,X,O,X,X,X,X,O,X,X
ITSJLOZ,X,X,X,X,X,X,X,O,X,X,X
ITSJZLO,X,X,X,O,X,X,X,X,O,X,X
ITSJZOL,O,X,X,O,X,X,X,X,X,X,X
ITSJOLZ,X,X,X,X,X,X,X,O,X,O,X
ITSJOZL,X,X,X,X,X,X,X,X,X,O,X
ITSZLJO,X,X,X,O,X,X,X,X,O,X,X
ITSZLOJ,X,X,X,X,X,X,X,X,O,X,X
ITSZJLO,X,X,X,O,O,X,X,X,O,X,X
ITSZJOL,O,X,X,O,O,X,X,X,X,X,X
ITSZOLJ,X,X,X,X,X,X,X,X,O,X,X
ITSZOJL,O,X,X,O,X,X,X,X,O,X,X
ITSOLJZ,X,X,X,X,X,X,X,O,O,O,X
ITSOLZJ,X,X,X,X,X,X,X,X,O,O,X
ITSOJLZ,X,X,X,X,X,X,X,O,O,O,X
ITSOJZL,X,X,X,X,X,X,X,X,O,O,X
ITSOZLJ,X,X,X,X,X,X,X,X,O,O,X
ITSOZJL,X,X,X,X,X,X,X,X,O,O,X
ITZLJSO,O,X,X,O,X,X,X,X,X,X,X
ITZLJOS,O,X,X,X,X,X,X,O,X,X,X
ITZLSJO,O,X,X,O,X,X,X,X,O,X,X
ITZLSOJ,O,X,X,X,X,X,X,X,O,X,X
ITZLOJS,O,O,X,O,X,X,X,O,X,X,X
ITZLOSJ,O,O,X,O,X,X,X,X,X,X,X
ITZJLSO,O,X,X,O,O,X,X,X,X,X,X
ITZJLOS,O,X,X,X,X,X,X,O,X,X,X
ITZJSLO,X,X,X,O,O,X,X,X,X,X,X
ITZJSOL,O,X,X,O,O,X,X,X,X,X,X
ITZJOLS,O,O,X,O,X,X,X,O,X,X,X
ITZJOSL,O,O,X,O,O,X,X,X,X,X,X
ITZSLJO,X,X,X,O,X,X,X,X,O,X,X
ITZSLOJ,X,X,X,X,X,X,X,X,O,X,X
ITZSJLO,X,X,X,O,O,X,X,X,O,X,X
ITZSJOL,O,X,X,O,O,X,X,X,X,X,X
ITZSOLJ,X,O,X,O,X,X,X,X,O,X,X
ITZSOJL,O,O,X,O,X,X,X,X,X,X,X
ITZOLJS,O,O,X,O,X,X,X,O,X,X,X
ITZOLSJ,O,O,X,O,X,X,X,X,X,X,X
ITZOJLS,O,O,X,O,X,X,X,O,X,X,X
ITZOJSL,O,O,X,O,X,X,X,X,X,X,X
ITZOSLJ,X,O,X,O,X,X,X,X,X,X,X
ITZOSJL,O,O,X,O,X,X,X,X,X,X,X
ITOLJSZ,X,X,O,O,X,X,X,O,O,O,X
ITOLJZS,X,X,X,O,X,X,X,O,X,O,X
ITOLSJZ,X,X,X,O,X,X,X,O,O,O,X
ITOLSZJ,X,X,X,O,X,X,X,X,O,O,X
ITOLZJS,X,X,X,O,X,X,X,O,X,O,X
ITOLZSJ,X,X,X,O,X,X,X,X,O,O,X
ITOJLSZ,X,X,O,O,X,X,X,O,O,O,X
ITOJLZS,X,X,X,O,X,X,X,O,X,O,X
ITOJSLZ,X,X,X,O,X,X,X,O,O,O,X
ITOJSZL,X,O,X,O,X,X,X,X,O,O,X
ITOJZLS,O,O,X,O,X,X,X,O,X,O,X
ITOJZSL,O,O,X,O,X,X,X,X,X,O,X
ITOSLJZ,X,X,X,O,X,X,X,O,O,O,X
ITOSLZJ,X,X,X,O,X,X,X,X,O,O,X
ITOSJLZ,X,X,X,O,X,X,X,O,O,O,X
ITOSJZL,X,O,X,O,X,X,X,X,O,O,X
ITOSZLJ,X,O,X,O,X,X,X,X,O,O,X
ITOSZJL,X,O,X,O,X,X,X,X,O,O,X
ITOZLJS,O,O,X,O,X,X,X,O,X,O,X
ITOZLSJ,X,O,X,O,X,X,X,X,O,O,X
ITOZJLS,O,O,X,O,X,X,X,O,X,O,X
ITOZJSL,O,O,X,O,X,X,X,X,X,O,X
ITOZSLJ,X,O,X,O,X,X,X,X,O,O,X
ITOZSJL,O,O,X,O,X,X,X,X,O,O,X
ILTJSZO,O,X,X,O,X,O,O,X,O,X,X
ILTJSOZ,X,X,X,X,X,X,O,O,X,X,X
ILTJZSO,O,X,X,O,X,O,O,X,X,X,X
ILTJZOS,O,X,X,O,X,O,X,O,X,X,X
ILTJOSZ,X,X,O,X,X,X,O,O,X,X,X
ILTJOZS,O,X,X,X,X,O,X,O,X,X,X
ILTSJZO,O,X,X,O,X,X,X,X,O,X,X
ILTSJOZ,X,X,X,X,X,X,X,O,X,X,X
ILTSZJO,O,X,X,O,X,X,X,X,O,X,X
ILTSZOJ,O,X,X,O,X,X,X,X,O,X,X
ILTSOJZ,X,X,X,X,X,X,X,O,X,X,X
ILTSOZJ,X,X,X,X,X,X,X,X,O,X,X
ILTZJSO,O,X,X,O,X,X,X,X,X,X,X
ILTZJOS,O,X,X,O,X,X,X,O,X,X,X
ILTZSJO,O,X,X,O,X,X,X,X,O,X,X
ILTZSOJ,O,X,X,O,X,X,X,X,O,X,X
ILTZOJS,O,X,X,O,X,X,X,O,X,X,X
ILTZOSJ,O,X,X,O,X,X,X,X,X,X,X
ILTOJSZ,X,X,O,O,X,X,X,O,X,X,X
ILTOJZS,O,X,X,O,X,X,X,O,X,X,X
ILTOSJZ,X,X,X,O,X,X,X,O,X,X,X
ILTOSZJ,X,X,X,O,X,X,X,X,O,X,X
ILTOZJS,O,X,X,O,X,X,X,O,X,X,X
ILTOZSJ,O,X,X,O,X,X,X,X,X,X,X
ILJTSZO,O,X,X,O,X,O,O,X,X,X,X
ILJTSOZ,X,X,X,X,X,X,O,O,X,X,X
ILJTZSO,O,X,X,O,X,O,O,X,X,X,X
ILJTZOS,O,X,X,O,X,O,X,O,X,X,X
ILJTOSZ,X,X,O,X,X,X,O,O,X,X,X
