sequence,v115@HhA8IeB8DeB8BeB8CeE8Jex/IvhFmhBfoB6oBTmB0q?BFqB,v115@HhA8IeB8DeB8BeB8CeE8Jel/IvhF3gBzhBGjBUoBxq?ByvB,v115@HhA8IeB8DeB8BeB8CeE8Jel/IvhFRhBziB+oB3mB0q?BiqB,v115@HhA8IeB8DeB8BeB8CeE8Jex/IvhFXhB8mBaqBFoBGo?BzqB,v115@HhA8IeB8DeB8BeB8CeE8Jel/IvhFymBziB+oBxqBcq?BXrB,v115@HhA8IeB8DeB8BeB8CeE8Jex/IvhF8mBCjBFlBToB3q?BOrB
TSOZLJI,X,X,X,X,X,O
TSOZJIL,X,X,X,X,X,O
TSOZJLI,X,X,X,X,X,O
TZILJSO,X,O,X,X,X,X
TZILJOS,X,O,X,X,X,X
TZILSJO,X,O,X,O,X,X
TZILSOJ,X,O,X,X,X,X
TZILOJS,X,O,X,X,X,X
TZILOSJ,X,O,X,X,X,X
TZIJLSO,X,O,X,X,X,X
TZIJLOS,X,O,X,X,X,X
TZIJSLO,X,X,X,X,X,X
TZIJSOL,X,X,X,X,X,X
TZIJOLS,X,O,X,X,X,X
TZIJOSL,X,X,X,X,X,X
TZISLJO,X,X,X,X,X,X
TZISLOJ,X,X,X,X,X,X
TZISJLO,X,X,X,X,X,X
TZISJOL,X,X,X,X,X,X
TZISOLJ,X,X,X,X,X,X
TZISOJL,X,X,X,X,X,X
TZIOLJS,X,O,X,X,X,X
TZIOLSJ,X,O,X,X,X,X
TZIOJLS,X,O,X,X,X,X
TZIOJSL,X,X,X,X,X,X
TZIOSLJ,X,X,X,X,X,X
TZIOSJL,X,X,X,X,X,X
TZLIJSO,X,X,X,X,X,X
TZLIJOS,X,X,X,X,X,X
TZLISJO,X,X,X,O,X,X
TZLISOJ,X,X,X,X,X,X
TZLIOJS,X,X,X,X,X,X
TZLIOSJ,X,X,X,X,X,X
TZLJISO,X,X,X,X,X,X
TZLJIOS,X,X,X,X,X,X
TZLJSIO,X,X,X,X,X,X
TZLJSOI,X,X,X,X,X,X
TZLJOIS,X,X,X,X,X,X
TZLJOSI,X,X,X,X,X,X
TZLSIJO,X,X,X,O,X,X
TZLSIOJ,X,X,X,X,X,X
TZLSJIO,X,X,X,O,X,X
TZLSJOI,X,X,X,X,X,X
TZLSOIJ,X,X,X,X,X,X
TZLSOJI,X,X,X,X,X,X
TZLOIJS,X,X,X,X,X,X
TZLOISJ,X,X,X,O,X,X
TZLOJIS,X,X,X,X,X,X
TZLOJSI,X,X,X,X,X,X
TZLOSIJ,X,X,X,O,X,X
TZLOSJI,X,X,X,O,X,X
TZJILSO,X,O,X,X,X,X
TZJILOS,X,O,X,X,X,X
TZJISLO,X,X,X,X,X,X
TZJISOL,X,X,X,X,X,X
TZJIOLS,X,O,X,X,X,X
TZJIOSL,X,X,X,X,X,X
TZJLISO,X,X,X,X,X,X
TZJLIOS,X,X,X,X,X,X
TZJLSIO,X,X,X,X,X,X
TZJLSOI,X,X,X,X,X,X
TZJLOIS,X,X,X,X,X,X
TZJLOSI,X,X,X,X,X,X
TZJSILO,X,X,X,X,X,X
TZJSIOL,X,X,O,X,X,X
TZJSLIO,X,X,X,X,X,X
TZJSLOI,X,X,X,X,X,X
TZJSOIL,X,X,O,X,X,X
TZJSOLI,X,X,X,X,X,X
TZJOILS,X,O,X,X,X,X
TZJOISL,X,X,X,X,X,X
TZJOLIS,X,X,X,X,X,X
TZJOLSI,X,X,X,X,X,X
TZJOSIL,X,X,O,X,X,X
TZJOSLI,X,X,X,X,X,X
TZSILJO,X,X,X,X,X,X
TZSILOJ,X,X,X,X,X,X
TZSIJLO,X,X,X,X,X,X
TZSIJOL,X,X,O,X,X,X
TZSIOLJ,X,X,X,X,X,X
TZSIOJL,X,X,X,X,X,X
TZSLIJO,X,X,X,O,X,X
TZSLIOJ,X,X,X,X,X,X
TZSLJIO,X,X,X,O,X,X
TZSLJOI,X,X,X,X,X,X
TZSLOIJ,X,X,X,X,X,X
TZSLOJI,X,X,X,X,X,X
TZSJILO,X,X,X,X,X,X
TZSJIOL,X,X,O,X,X,X
TZSJLIO,X,X,X,X,X,X
TZSJLOI,X,X,X,X,X,X
TZSJOIL,X,X,O,X,X,X
TZSJOLI,X,X,X,X,X,X
TZSOILJ,X,X,X,X,X,X
TZSOIJL,X,X,X,X,X,X
TZSOLIJ,X,X,X,X,X,X
TZSOLJI,X,X,X,X,X,X
TZSOJIL,X,X,X,X,X,X
TZSOJLI,X,X,X,X,X,X
TZOILJS,X,O,X,X,X,X
TZOILSJ,X,O,X,X,X,X
TZOIJLS,X,O,X,X,X,X
TZOIJSL,X,X,X,X,X,X
TZOISLJ,X,X,X,X,X,X
TZOISJL,X,X,X,X,X,X
TZOLIJS,X,X,X,X,X,X
TZOLISJ,X,X,X,O,X,X
TZOLJIS,X,X,X,X,X,X
TZOLJSI,X,X,X,X,X,X
TZOLSIJ,X,X,X,O,X,X
TZOLSJI,X,X,X,O,X,X
TZOJILS,X,O,X,X,X,X
TZOJISL,X,X,X,X,X,X
TZOJLIS,X,X,X,X,X,X
TZOJLSI,X,X,X,X,X,X
TZOJSIL,X,X,X,X,X,X
TZOJSLI,X,X,X,X,X,X
TZOSILJ,X,X,X,X,X,X
TZOSIJL,X,X,X,X,X,X
TZOSLIJ,X,X,X,O,X,X
TZOSLJI,X,X,X,O,X,X
TZOSJIL,X,X,X,X,X,X
TZOSJLI,X,X,X,X,X,X
TOILJSZ,X,X,X,X,X,X
TOILJZS,X,X,X,X,X,X
TOILSJZ,X,X,X,X,X,X
TOILSZJ,X,X,X,X,X,O
TOILZJS,X,X,X,X,X,X
TOILZSJ,X,X,X,X,X,X
TOIJLSZ,X,X,X,X,X,X
TOIJLZS,X,X,X,X,X,X
TOIJSLZ,X,X,X,X,X,X
TOIJSZL,X,X,X,X,X,X
TOIJZLS,X,X,X,X,X,X
TOIJZSL,X,X,X,X,X,X
TOISLJZ,X,X,X,X,X,X
TOISLZJ,X,X,X,X,X,O
TOISJLZ,X,X,X,X,X,X
TOISJZL,X,X,X,X,X,X
TOISZLJ,X,X,X,X,X,O
TOISZJL,X,O,X,X,X,O
TOIZLJS,X,O,X,X,X,X
TOIZLSJ,X,O,X,X,X,X
TOIZJLS,X,O,X,X,X,X
TOIZJSL,X,X,X,X,X,X
TOIZSLJ,X,X,X,X,X,X
TOIZSJL,X,X,X,X,X,X
TOLIJSZ,X,X,X,X,X,X
TOLIJZS,X,X,X,X,X,X
TOLISJZ,X,X,X,X,X,X
TOLISZJ,X,X,X,X,X,O
TOLIZJS,X,X,X,X,X,X
TOLIZSJ,X,X,X,O,X,X
TOLJISZ,X,X,X,X,X,X
TOLJIZS,X,X,X,X,X,X
TOLJSIZ,X,X,X,X,X,X
TOLJSZI,X,X,X,X,X,X
TOLJZIS,X,X,X,X,X,X
TOLJZSI,X,X,X,X,X,X
