sequence,v115@9gA8IeA8IeA8BeB8EeA8CeF8JeRAJvhFFiB6oBXlB0?mBznBWvB,v115@9gA8IeA8IeA8BeB8EeA8CeF8Je3AJvhF1mBxiBSsBT?oBUqBupB,v115@9gA8IeA8IeA8BeB8EeA8CeF8Je1FJvhFxhBXjBzmBS?tBUqBupB,v115@9gA8IeA8IeA8BeB8EeA8CeF8JeRAJvhF3hBziB+oBV?sBUqBCqB,v115@9gA8IeA8IeA8BeB8EeA8CeF8JefIJvhF6oBRlBUnBl?mBzpBGqB,v115@9gA8IeA8IeA8BeB8EeA8CeF8JeWFJvhF1mBxiBSsBT?oB8pB3qB,v115@9gA8IeA8IeA8BeB8EeA8CeF8JeXCJvhF6oBRlBznBF?lB0mBWvB,v115@9gA8IeA8IeA8BeB8EeA8CeF8JelBJvhFUjBRlBXnBS?tBzpBGqB,v115@9gA8IeA8IeA8BeB8EeA8CeF8JefFJvhF0gBSnBTjBl?mBWvBxxB,v115@9gA8IeA8IeA8BeB8EeA8CeF8JeXCJvhFRlBCoBFlB0?mBToBWvB,v115@9gA8IeA8IeA8BeB8EeA8CeF8Je0BJvhFRlBCoBFlBX?nBToBWvB,v115@9gA8IeA8IeA8BeB8EeA8CeF8JexBJvhF8nB+oBfqBz?mBlqBCqB,v115@9gA8IeA8IeA8BeB8EeA8CeF8JeXCJvhFTjBRlBWtBC?lB0mBVvB,v115@9gA8IeA8IeA8BeB8EeA8CeF8Je5EJvhFVnBilBXoB0?mBGoBTqB,v115@9gA8IeA8IeA8BeB8EeA8CeF8JeWFJvhFFjBxmBStB8?pBzmB3qB,v115@9gA8IeA8IeA8BeB8EeA8CeF8JeuEJvhF3gBUjBxmBz?mBStBVvB,v115@9gA8IeA8IeA8BeB8EeA8CeF8Je0BJvhFTjBRlBWtBC?lBXnBVvB
IZSJLTO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZSJLOT,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZSJOTL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IZSJOLT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IZSOTLJ,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IZSOTJL,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IZSOLTJ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZSOLJT,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZSOJTL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSOJLT,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZOTLJS,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOTLSJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOTJLS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOTJSL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZOTSLJ,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZOTSJL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZOLTJS,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IZOLTSJ,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IZOLJTS,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IZOLJST,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
IZOLSTJ,O,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
IZOLSJT,O,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
IZOJTLS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IZOJTSL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IZOJLTS,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IZOJLST,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O
IZOJSTL,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
IZOJSLT,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O
IZOSTLJ,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZOSTJL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOSLTJ,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IZOSLJT,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IZOSJTL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOSJLT,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOTLJSZ,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IOTLJZS,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOTLSJZ,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IOTLSZJ,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X
IOTLZJS,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOTLZSJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTJLSZ,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IOTJLZS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOTJSLZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOTJSZL,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X
IOTJZLS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTJZSL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOTSLJZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOTSLZJ,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
IOTSJLZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTSJZL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
IOTSZLJ,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IOTSZJL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
IOTZLJS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTZLSJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTZJLS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTZJSL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOTZSLJ,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IOTZSJL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
IOLTJSZ,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X
IOLTJZS,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
IOLTSJZ,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IOLTSZJ,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X
IOLTZJS,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOLTZSJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLJTSZ,X,X,X,X,X,O,O,X,O,X,X,X,X,X,O,X,X
IOLJTZS,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
IOLJSTZ,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
IOLJSZT,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X
IOLJZTS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLJZST,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
IOLSTJZ,O,X,X,X,X,O,O,X,X,O,X,X,X,O,X,X,X
IOLSTZJ,O,O,O,X,O,X,O,O,X,O,X,X,X,O,X,X,X
IOLSJTZ,O,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
IOLSJZT,O,X,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X
IOLSZTJ,O,O,O,X,O,X,O,O,X,O,X,X,X,X,X,X,X
IOLSZJT,O,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X
IOLZTJS,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IOLZTSJ,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOLZJTS,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOLZJST,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
IOLZSTJ,O,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
IOLZSJT,O,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
IOJTLSZ,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
IOJTLZS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOJTSLZ,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X
IOJTSZL,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X
IOJTZLS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IOJTZSL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IOJLTSZ,X,X,X,X,X,O,O,X,O,X,X,X,X,X,O,X,X
IOJLTZS,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
IOJLSTZ,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X
IOJLSZT,X,X,O,X,O,X,O,X,O,X,X,X,O,X,X,X,X
IOJLZTS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IOJLZST,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,O
IOJSTLZ,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X
IOJSTZL,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X
IOJSLTZ,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X
IOJSLZT,X,X,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X
IOJSZTL,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,O
IOJSZLT,X,X,X,X,O,X,O,X,O,X,X,O,O,X,X,X,O
IOJZTLS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IOJZTSL,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O
IOJZLTS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IOJZLST,X,O,O,X,X,X,O,X,O,X,X,O,X,X,X,X,O
IOJZSTL,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,O
IOJZSLT,X,X,X,X,O,X,O,X,O,X,X,O,O,X,X,X,O
IOSTLJZ,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
IOSTLZJ,O,X,X,X,O,X,O,O,X,X,X,X,X,O,X,X,X
IOSTJLZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSTJZL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOSTZLJ,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IOSTZJL,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOSLTJZ,O,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X
IOSLTZJ,O,O,O,X,O,X,O,O,X,X,X,X,X,O,X,X,X
IOSLJTZ,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
IOSLJZT,O,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X
IOSLZTJ,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X
IOSLZJT,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOSJTLZ,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
IOSJTZL,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IOSJLTZ,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
IOSJLZT,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
IOSJZTL,O,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X
IOSJZLT,O,X,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X
IOSZTLJ,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IOSZTJL,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOSZLTJ,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X
IOSZLJT,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOSZJTL,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOSZJLT,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOZTLJS,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZTLSJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZTJLS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZTJSL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOZTSLJ,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IOZTSJL,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
IOZLTJS,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IOZLTSJ,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOZLJTS,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOZLJST,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
IOZLSTJ,O,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
IOZLSJT,O,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
IOZJTLS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IOZJTSL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IOZJLTS,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IOZJLST,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O
IOZJSTL,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
IOZJSLT,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O
IOZSTLJ,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IOZSTJL,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOZSLTJ,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X
IOZSLJT,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOZSJTL,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOZSJLT,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTIJSZO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
LTIJSOZ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
LTIJZSO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
LTIJZOS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
LTIJOSZ,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X
LTIJOZS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O
LTISJZO,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,O,X
LTISJOZ,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X
LTISZJO,X,X,X,X,O,X,X,X,X,O,X,X,X,O,X,O,X
LTISZOJ,X,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X
LTISOJZ,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
LTISOZJ,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
LTIZJSO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X
LTIZJOS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O
LTIZSJO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
LTIZSOJ,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTIZOJS,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTIZOSJ,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTIOJSZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
LTIOJZS,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
LTIOSJZ,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
LTIOSZJ,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTIOZJS,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTIOZSJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJISZO,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X
LTJISOZ,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X
LTJIZSO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X
LTJIZOS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O
LTJIOSZ,X,X,X,X,X,O,O,X,X,X,X,X,O,X,O,X,X
LTJIOZS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O
LTJSIZO,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X
LTJSIOZ,X,X,X,O,X,X,X,X,X,O,X,X,O,X,O,X,X
LTJSZIO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJSZOI,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJSOIZ,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X
LTJSOZI,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LTJZISO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
LTJZIOS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
LTJZSIO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJZSOI,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJZOIS,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LTJZOSI,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LTJOISZ,X,X,X,X,X,O,O,X,X,X,X,X,O,X,O,X,X
LTJOIZS,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O
LTJOSIZ,X,X,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X
LTJOSZI,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LTJOZIS,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LTJOZSI,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LTSIJZO,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,O,X
LTSIJOZ,X,X,X,O,X,X,X,X,X,O,X,X,X,O,O,X,X
LTSIZJO,O,X,X,X,O,X,X,X,X,O,X,X,X,O,X,O,X
LTSIZOJ,O,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X
LTSIOJZ,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
LTSIOZJ,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
LTSJIZO,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,O,X
LTSJIOZ,X,X,X,O,X,X,X,X,X,O,X,X,X,O,O,X,X
LTSJZIO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSJZOI,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSJOIZ,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LTSJOZI,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LTSZIJO,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
LTSZIOJ,O,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
LTSZJIO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSZJOI,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSZOIJ,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTSZOJI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSOIJZ,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
LTSOIZJ,O,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
LTSOJIZ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTSOJZI,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTSOZIJ,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTSOZJI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZIJSO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
LTZIJOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
LTZISJO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZISOJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZIOJS,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZIOSJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZJISO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
LTZJIOS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
LTZJSIO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZJSOI,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZJOIS,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LTZJOSI,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LTZSIJO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZSIOJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZSJIO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZSJOI,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZSOIJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZSOJI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZOIJS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTZOISJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZOJIS,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTZOJSI,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTZOSIJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZOSJI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOIJSZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
LTOIJZS,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
LTOISJZ,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
LTOISZJ,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTOIZJS,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTOIZSJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOJISZ,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X
LTOJIZS,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
LTOJSIZ,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
LTOJSZI,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTOJZIS,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTOJZSI,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTOSIJZ,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
LTOSIZJ,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTOSJIZ,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
LTOSJZI,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTOSZIJ,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTOSZJI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOZIJS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTOZISJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOZJIS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTOZJSI,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTOZSIJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOZSJI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LITJSZO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X
LITJSOZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
LITJZSO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
LITJZOS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
LITJOSZ,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X
LITJOZS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
LITSJZO,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,O,X
LITSJOZ,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X
LITSZJO,X,X,X,X,O,X,X,O,X,O,X,X,X,O,X,O,X
LITSZOJ,X,X,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X
LITSOJZ,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
LITSOZJ,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
LITZJSO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X
LITZJOS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X
LITZSJO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
LITZSOJ,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LITZOJS,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LITZOSJ,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LITOJSZ,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X
LITOJZS,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
LITOSJZ,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
LITOSZJ,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LITOZJS,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LITOZSJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LIJTSZO,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X
LIJTSOZ,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X
LIJTZSO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X
LIJTZOS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X
LIJTOSZ,X,X,X,X,X,O,O,X,O,X,X,X,X,X,O,X,X
LIJTOZS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
LIJSTZO,X,X,X,X,X,X,X,X,O,O,X,X,X,O,O,X,X
LIJSTOZ,X,X,X,X,X,X,X,X,O,O,X,X,X,O,O,X,X
LIJSZTO,X,X,X,X,O,X,X,X,O,O,O,X,X,X,X,X,X
LIJSZOT,X,X,X,X,O,X,X,X,O,O,O,X,X,X,X,X,X
LIJSOTZ,X,X,X,X,X,X,O,X,O,O,X,X,O,X,X,X,X
