sequence,v115@RhB8CeB8CeA8BeG8Je2EJvhFRgBUiBFmBToBCoBXqB,v115@RhB8CeB8CeA8BeG8Jex/IvhFOmBXiB6oBcqBznBlpB,v115@RhB8CeB8CeA8BeG8JeT/IvhFUiBFjBxlBStBmlBXqB,v115@RhB8CeB8CeA8BeG8JeyEJvhFxiB3lBGnBToBFmB0pB,v115@RhB8CeB8CeA8BeG8JeFAJvhFxhBTjBcqBimBWtB/pB,v115@RhB8CeB8CeA8BeG8JeFCJvhFTjBxkBXmBWtBilB0pB,v115@RhB8CeB8CeA8BeG8JeOGJvhFXiBxkBCoBcqBToBlpB,v115@RhB8CeB8CeA8BeG8JeyEJvhFFmBxnB3lBGnBToB0pB
TLZOIJS,O,X,O,X,X,X,X,X
TLZOISJ,X,X,O,X,X,X,X,X
TLZOJIS,O,X,O,X,X,X,X,X
TLZOJSI,O,X,X,X,X,X,X,X
TLZOSIJ,O,X,O,X,X,X,X,X
TLZOSJI,O,X,O,X,X,X,X,X
TLOIJSZ,X,X,X,O,X,X,X,O
TLOIJZS,O,X,O,X,X,X,X,O
TLOISJZ,X,X,X,O,X,X,X,O
TLOISZJ,X,X,O,X,X,X,X,O
TLOIZJS,O,X,O,X,X,X,X,O
TLOIZSJ,X,X,O,X,X,X,X,O
TLOJISZ,X,X,X,O,X,X,X,X
TLOJIZS,O,X,O,X,X,X,X,X
TLOJSIZ,X,X,X,O,X,X,X,X
TLOJSZI,X,X,X,O,X,X,X,X
TLOJZIS,O,X,O,X,X,X,X,X
TLOJZSI,O,X,X,X,X,X,X,X
TLOSIJZ,O,X,O,O,X,X,X,X
TLOSIZJ,O,X,O,X,X,X,X,X
TLOSJIZ,O,X,O,O,X,X,X,X
TLOSJZI,O,X,O,O,X,X,X,X
TLOSZIJ,O,X,O,X,X,X,X,X
TLOSZJI,O,X,O,X,X,X,X,X
TLOZIJS,O,X,O,X,X,X,X,X
TLOZISJ,X,X,O,X,X,X,X,X
TLOZJIS,O,X,O,X,X,X,X,X
TLOZJSI,O,X,X,X,X,X,X,X
TLOZSIJ,O,X,O,X,X,X,X,X
TLOZSJI,O,X,O,X,X,X,X,X
TJILSZO,X,X,X,X,X,X,O,O
TJILSOZ,X,X,X,X,X,O,O,O
TJILZSO,X,X,X,X,O,X,X,O
TJILZOS,O,X,X,X,O,X,X,O
TJILOSZ,X,X,X,X,X,O,X,O
TJILOZS,O,X,X,X,O,X,X,O
TJISLZO,X,X,X,X,X,X,O,X
TJISLOZ,X,X,X,X,X,O,O,X
TJISZLO,X,X,X,X,X,X,X,X
TJISZOL,O,X,X,X,X,O,X,X
TJISOLZ,X,X,X,X,X,O,X,X
TJISOZL,O,X,X,X,X,O,X,X
TJIZLSO,X,X,X,X,X,X,X,X
TJIZLOS,O,X,X,X,X,X,X,X
TJIZSLO,X,X,X,X,X,X,X,X
TJIZSOL,O,X,X,X,X,O,X,X
TJIZOLS,O,X,X,X,X,X,X,X
TJIZOSL,O,X,X,X,X,O,X,X
TJIOLSZ,X,X,X,X,X,O,X,X
TJIOLZS,O,X,X,X,O,X,X,X
TJIOSLZ,X,X,X,X,X,O,X,X
TJIOSZL,O,X,X,X,X,O,X,X
TJIOZLS,O,X,X,X,X,X,X,X
TJIOZSL,O,X,X,X,X,O,X,X
TJLISZO,X,X,X,X,X,X,O,O
TJLISOZ,X,X,X,X,X,O,O,O
TJLIZSO,X,X,X,X,O,X,X,O
TJLIZOS,O,X,X,X,O,X,X,O
TJLIOSZ,X,X,X,X,X,O,X,O
TJLIOZS,O,X,X,X,O,X,X,O
TJLSIZO,X,X,X,X,X,X,O,X
TJLSIOZ,X,X,X,X,X,O,O,X
TJLSZIO,X,O,X,X,X,X,X,X
TJLSZOI,X,X,X,X,X,X,X,X
TJLSOIZ,X,X,X,O,X,O,X,X
TJLSOZI,X,X,X,O,X,X,X,X
TJLZISO,X,O,X,X,O,X,X,X
TJLZIOS,O,X,X,X,O,X,X,X
TJLZSIO,X,O,X,X,O,X,X,X
TJLZSOI,X,X,X,X,O,X,X,X
TJLZOIS,O,X,X,X,O,X,X,X
TJLZOSI,O,X,X,X,O,X,X,X
TJLOISZ,X,X,X,O,X,O,X,X
TJLOIZS,O,X,X,X,O,X,X,X
TJLOSIZ,X,X,X,O,X,O,X,X
TJLOSZI,X,X,X,O,X,X,X,X
TJLOZIS,O,X,X,X,O,X,X,X
TJLOZSI,O,X,X,X,O,X,X,X
TJSILZO,O,X,X,X,X,X,O,X
TJSILOZ,O,X,X,X,X,O,O,X
TJSIZLO,O,X,X,X,X,X,X,X
TJSIZOL,O,X,X,X,X,O,X,X
TJSIOLZ,O,X,X,X,X,O,X,X
TJSIOZL,O,X,X,X,X,O,X,X
TJSLIZO,O,X,X,X,X,X,O,X
TJSLIOZ,O,X,X,X,X,O,O,X
TJSLZIO,O,O,X,X,X,X,X,X
TJSLZOI,O,X,X,X,X,X,X,X
TJSLOIZ,O,X,X,O,X,O,X,X
TJSLOZI,O,X,X,O,X,X,X,X
TJSZILO,O,O,X,X,X,X,X,X
TJSZIOL,O,O,X,X,X,O,X,X
TJSZLIO,O,O,X,X,X,X,X,X
TJSZLOI,O,X,X,X,X,X,X,X
TJSZOIL,O,O,X,X,X,O,X,X
TJSZOLI,O,O,X,X,X,X,X,X
TJSOILZ,O,X,X,O,X,O,X,X
TJSOIZL,O,X,X,X,X,O,X,X
TJSOLIZ,O,X,X,O,X,O,X,X
TJSOLZI,O,O,X,O,X,X,X,X
TJSOZIL,O,O,X,X,X,O,X,X
TJSOZLI,O,O,X,X,X,X,X,X
TJZILSO,X,O,X,X,X,X,X,X
TJZILOS,O,X,X,X,X,X,X,X
TJZISLO,X,O,X,X,X,X,X,X
TJZISOL,O,O,X,X,X,O,X,X
TJZIOLS,O,O,X,X,X,X,X,X
TJZIOSL,O,O,X,X,X,O,X,X
TJZLISO,X,O,X,X,O,X,X,X
TJZLIOS,O,X,X,X,O,X,X,X
TJZLSIO,X,O,X,X,O,X,X,X
TJZLSOI,X,X,X,X,O,X,X,X
TJZLOIS,O,X,X,X,O,X,X,X
TJZLOSI,O,X,X,X,O,X,X,X
TJZSILO,O,O,X,X,X,X,X,X
TJZSIOL,O,O,X,X,X,O,X,X
TJZSLIO,O,O,X,X,X,X,X,X
TJZSLOI,O,X,X,X,X,X,X,X
TJZSOIL,O,O,X,X,X,O,X,X
TJZSOLI,O,O,X,X,X,X,X,X
TJZOILS,O,O,X,X,X,X,X,X
TJZOISL,O,O,X,X,X,O,X,X
TJZOLIS,O,O,X,X,O,X,X,X
TJZOLSI,O,O,X,X,O,X,X,X
TJZOSIL,O,O,X,X,X,O,X,X
TJZOSLI,O,O,X,X,X,X,X,X
TJOILSZ,X,X,X,O,X,O,X,X
TJOILZS,O,X,X,X,O,X,X,X
TJOISLZ,X,X,X,O,X,O,X,X
TJOISZL,O,X,X,X,X,O,X,X
TJOIZLS,O,X,X,X,X,X,X,X
TJOIZSL,O,X,X,X,X,O,X,X
TJOLISZ,X,X,X,O,X,O,X,X
TJOLIZS,O,X,X,X,O,X,X,X
TJOLSIZ,X,X,X,O,X,O,X,X
