sequence,v115@KhA8FeE8EeE8DeA8Je2EJvhFRgBXjBlmBctBTsBCsB,v115@KhA8FeE8EeE8DeA8Je2EJvhFRgB3hBlnBctBzrBCtB,v115@KhA8FeE8EeE8DeA8Je2EJvhFRgBTjBlmBcsBXtBCsB,v115@KhA8FeE8EeE8DeA8Je2EJvhFRgBFiBTjB6rBcsBXtB,v115@KhA8FeE8EeE8DeA8Je2EJvhFRgB3hBCjB8rBToB1xB,v115@KhA8FeE8EeE8DeA8Je2EJvhFRgBlmBcsBToBCsBXtB,v115@KhA8FeE8EeE8DeA8JeT/IvhFigBxiBlmB3nBctBWxB,v115@KhA8FeE8EeE8DeA8Je2EJvhFRgBfoB6oBlmB0sBzrB
TJLSIZO,X,X,X,O,O,X,X,X
TJLSIOZ,X,X,X,O,X,X,X,X
TJLSZIO,X,X,X,O,O,X,X,X
TJLSZOI,X,X,X,O,O,X,X,X
TJLSOIZ,X,X,X,O,X,X,X,X
TJLSOZI,X,X,X,O,X,X,X,X
TJLZISO,O,X,O,O,O,X,X,O
TJLZIOS,X,X,X,O,O,O,X,X
TJLZSIO,O,X,O,O,O,X,O,O
TJLZSOI,O,X,O,O,O,X,O,O
TJLZOIS,X,X,X,O,O,O,X,X
TJLZOSI,X,X,X,O,O,O,O,X
TJLOISZ,X,X,X,X,O,X,X,X
TJLOIZS,O,X,X,O,O,X,X,X
TJLOSIZ,X,X,X,X,O,X,X,X
TJLOSZI,X,X,X,X,O,X,X,X
TJLOZIS,O,X,X,O,O,X,X,X
TJLOZSI,O,X,X,O,O,X,O,X
TJSILZO,X,X,X,O,O,X,X,X
TJSILOZ,X,X,X,O,X,X,X,X
TJSIZLO,O,X,O,O,O,X,X,O
TJSIZOL,O,X,O,O,O,O,X,O
TJSIOLZ,X,X,X,O,O,X,X,X
TJSIOZL,O,O,O,O,O,X,X,X
TJSLIZO,X,X,X,O,O,X,X,X
TJSLIOZ,X,X,X,O,X,X,X,X
TJSLZIO,X,X,X,O,O,X,X,X
TJSLZOI,X,X,X,O,O,X,X,X
TJSLOIZ,X,X,X,O,X,X,X,X
TJSLOZI,X,X,X,O,X,X,X,X
TJSZILO,O,X,O,O,O,X,X,O
TJSZIOL,O,X,O,O,O,O,X,O
TJSZLIO,O,X,O,O,O,X,X,O
TJSZLOI,O,X,O,O,O,X,X,O
TJSZOIL,O,X,O,O,O,O,X,O
TJSZOLI,O,X,O,O,O,O,X,O
TJSOILZ,X,X,X,O,O,X,X,X
TJSOIZL,O,O,O,O,O,X,X,X
TJSOLIZ,X,X,X,O,O,X,X,X
TJSOLZI,X,X,X,O,O,X,X,X
TJSOZIL,O,O,O,O,O,X,X,X
TJSOZLI,O,O,O,O,O,X,X,X
TJZILSO,O,X,O,O,O,X,X,O
TJZILOS,X,X,X,X,O,O,X,X
TJZISLO,O,X,O,O,O,X,X,O
TJZISOL,O,X,O,O,O,O,X,O
TJZIOLS,O,O,X,X,O,O,X,X
TJZIOSL,O,O,O,O,O,O,X,O
TJZLISO,O,X,O,O,O,X,X,O
TJZLIOS,X,X,X,O,O,O,X,X
TJZLSIO,O,X,O,O,O,X,O,O
TJZLSOI,O,X,O,O,O,X,O,O
TJZLOIS,X,X,X,O,O,O,X,X
TJZLOSI,X,X,X,O,O,O,O,X
TJZSILO,O,X,O,O,O,X,O,O
TJZSIOL,O,X,O,O,O,O,O,O
TJZSLIO,O,X,O,O,O,X,O,O
TJZSLOI,O,X,O,O,O,X,O,O
TJZSOIL,O,X,O,O,O,O,O,O
TJZSOLI,O,X,O,O,O,O,O,O
TJZOILS,O,O,X,X,O,O,X,X
TJZOISL,O,O,O,O,O,O,X,O
TJZOLIS,O,O,X,X,O,O,X,X
