sequence,v115@PhD8FeE8DeC8JeT/IvhF2lBxiBCnBFmB0qBXsB,v115@PhD8FeE8DeC8JeT/IvhF2lBxiBSsBlqBfsBUrB,v115@PhD8FeE8DeC8JeT/IvhF3gB1mBxiBcsB2qBSwB,v115@PhD8FeE8DeC8JeT/IvhF0gBxiB2qBFsBCsBXrB,v115@PhD8FeE8DeC8JeT/IvhFxiB2qBSsBfsBUrBlqB,v115@PhD8FeE8DeC8JeT/IvhFXhBxiB2qBCsBFsB0qB,v115@PhD8FeE8DeC8JeT/IvhF0gBxiB2qBCsBFsBXrB
TSLJZIO,X,O,X,X,X,X,X
TSLJZOI,X,O,X,X,X,X,X
TSLJOIZ,X,O,X,X,X,X,X
TSLJOZI,X,O,X,X,X,X,X
TSLZIJO,O,O,X,X,X,X,X
TSLZIOJ,O,O,X,X,X,X,X
TSLZJIO,O,O,X,X,X,X,X
TSLZJOI,O,O,X,X,X,X,X
TSLZOIJ,O,O,X,X,X,X,X
TSLZOJI,O,O,X,X,X,X,X
TSLOIJZ,X,O,X,X,X,X,X
TSLOIZJ,O,O,X,X,X,X,X
TSLOJIZ,X,O,X,X,X,X,X
TSLOJZI,X,O,X,X,X,X,X
TSLOZIJ,O,O,X,X,X,X,X
TSLOZJI,O,O,X,X,X,X,X
TSJILZO,X,O,X,O,X,X,X
TSJILOZ,X,O,X,O,X,X,X
TSJIZLO,X,X,X,O,X,X,X
TSJIZOL,X,X,X,O,X,X,X
TSJIOLZ,X,O,X,O,X,X,X
TSJIOZL,X,X,X,O,X,X,X
TSJLIZO,X,O,X,O,X,X,X
TSJLIOZ,X,O,X,O,X,X,X
TSJLZIO,X,O,X,O,X,X,X
TSJLZOI,X,O,X,O,X,X,X
TSJLOIZ,X,O,X,O,X,X,X
TSJLOZI,X,O,X,O,X,X,X
TSJZILO,X,X,X,O,X,X,X
TSJZIOL,X,X,X,O,X,X,X
TSJZLIO,X,X,X,O,X,X,X
TSJZLOI,X,X,X,O,X,X,X
TSJZOIL,X,X,X,O,X,X,X
TSJZOLI,X,X,X,O,X,X,X
TSJOILZ,X,O,X,O,X,X,X
TSJOIZL,X,X,X,O,X,X,X
TSJOLIZ,X,O,X,O,X,X,X
TSJOLZI,X,O,X,O,X,X,X
TSJOZIL,X,X,X,O,X,X,X
TSJOZLI,X,X,X,O,X,X,X
TSZILJO,O,X,X,X,X,X,X
TSZILOJ,O,X,X,X,X,X,X
TSZIJLO,O,X,X,X,X,X,X
TSZIJOL,O,X,X,X,X,X,X
TSZIOLJ,O,X,X,X,X,X,X
TSZIOJL,O,X,X,X,X,X,X
TSZLIJO,O,X,X,X,X,X,X
TSZLIOJ,O,X,X,X,X,X,X
TSZLJIO,O,X,X,X,X,X,X
TSZLJOI,O,X,X,X,X,X,X
TSZLOIJ,O,X,X,X,X,X,X
TSZLOJI,O,X,X,X,X,X,X
TSZJILO,O,X,X,X,X,X,X
TSZJIOL,O,X,X,X,X,X,X
TSZJLIO,O,X,X,X,X,X,X
TSZJLOI,O,X,X,X,X,X,X
TSZJOIL,O,X,X,X,X,X,X
TSZJOLI,O,X,X,X,X,X,X
TSZOILJ,O,X,X,X,X,X,X
TSZOIJL,O,X,X,X,X,X,X
TSZOLIJ,O,X,X,X,X,X,X
TSZOLJI,O,X,X,X,X,X,X
TSZOJIL,O,X,X,X,X,X,X
TSZOJLI,O,X,X,X,X,X,X
TSOILJZ,X,O,X,X,X,X,X
TSOILZJ,O,O,X,X,X,X,X
TSOIJLZ,X,O,X,O,X,X,X
TSOIJZL,X,X,X,O,X,X,X
TSOIZLJ,O,X,X,X,X,X,X
TSOIZJL,O,X,X,X,X,X,X
TSOLIJZ,X,O,X,X,X,X,X
TSOLIZJ,O,O,X,X,X,X,X
TSOLJIZ,X,O,X,X,X,X,X
TSOLJZI,X,O,X,X,X,X,X
TSOLZIJ,O,O,X,X,X,X,X
TSOLZJI,O,O,X,X,X,X,X
TSOJILZ,X,O,X,O,X,X,X
TSOJIZL,X,X,X,O,X,X,X
TSOJLIZ,X,O,X,O,X,X,X
TSOJLZI,X,O,X,O,X,X,X
TSOJZIL,X,X,X,O,X,X,X
TSOJZLI,X,X,X,O,X,X,X
TSOZILJ,O,X,X,X,X,X,X
TSOZIJL,O,X,X,X,X,X,X
TSOZLIJ,O,X,X,X,X,X,X
TSOZLJI,O,X,X,X,X,X,X
TSOZJIL,O,X,X,X,X,X,X
TSOZJLI,O,X,X,X,X,X,X
TZILJSO,X,O,O,X,X,X,X
TZILJOS,X,O,O,X,X,X,X
TZILSJO,X,O,O,X,X,X,X
TZILSOJ,X,O,O,X,X,X,X
TZILOJS,X,O,O,X,X,X,X
TZILOSJ,X,O,O,X,X,X,X
TZIJLSO,X,O,O,O,X,X,X
TZIJLOS,X,O,O,O,X,X,X
TZIJSLO,O,X,X,O,X,X,X
TZIJSOL,O,X,O,O,X,X,X
TZIJOLS,X,O,O,O,X,X,X
TZIJOSL,O,X,O,O,X,X,X
TZISLJO,O,X,O,X,X,X,X
TZISLOJ,O,X,O,X,X,X,X
TZISJLO,O,X,X,X,X,X,X
