sequence,v115@HhA8IeA8GeD8AeA8AeE8Jem/IvhFzgBRiBSoBfqBUn?BFrB,v115@HhA8IeA8GeD8AeA8AeE8Je0/IvhFxgBTjBarBGnBXn?BFqB,v115@HhA8IeA8GeD8AeA8AeE8Je6EJvhFZlBUhBGiBTjBfr?BVxB,v115@HhA8IeA8GeD8AeA8AeE8Jex/IvhFylBGiBTjBfqBUn?BFrB,v115@HhA8IeA8GeD8AeA8AeE8Je6EJvhFZlBFhB8mB+nBTj?BfrB,v115@HhA8IeA8GeD8AeA8AeE8JezBJvhFGjBRlB3nB0kBFr?BiqB
TJZISOL,O,X,O,O,O,O
TJZIOLS,O,O,O,X,O,X
TJZIOSL,O,X,O,O,O,X
TJZLISO,O,O,O,X,O,X
TJZLIOS,O,O,O,X,O,X
TJZLSIO,O,O,O,O,O,X
TJZLSOI,O,O,O,O,O,X
TJZLOIS,O,O,O,X,O,X
TJZLOSI,O,O,O,O,O,X
TJZSILO,O,X,O,O,O,X
TJZSIOL,O,X,O,O,O,O
TJZSLIO,O,O,O,O,O,X
TJZSLOI,O,O,O,O,O,X
TJZSOIL,O,X,O,O,O,O
TJZSOLI,O,O,O,O,O,X
TJZOILS,O,O,O,X,O,X
TJZOISL,O,X,O,O,O,X
TJZOLIS,O,O,O,X,O,X
TJZOLSI,O,O,O,O,O,X
TJZOSIL,O,X,O,O,O,X
TJZOSLI,O,O,O,O,O,X
TJOILSZ,X,O,O,X,O,X
TJOILZS,X,O,O,X,O,X
TJOISLZ,X,X,O,X,O,O
TJOISZL,X,X,O,X,O,O
TJOIZLS,X,O,O,X,O,X
TJOIZSL,X,X,O,X,O,X
TJOLISZ,O,O,O,X,O,X
TJOLIZS,X,O,O,X,O,X
TJOLSIZ,O,O,O,X,O,X
TJOLSZI,O,O,O,X,O,X
TJOLZIS,O,O,O,X,O,X
TJOLZSI,O,O,O,X,O,X
TJOSILZ,O,X,O,O,O,O
TJOSIZL,O,X,O,O,O,O
TJOSLIZ,O,O,O,O,O,O
TJOSLZI,O,O,O,O,O,X
TJOSZIL,O,X,O,O,O,O
TJOSZLI,O,O,O,O,O,X
TJOZILS,O,O,O,X,O,X
TJOZISL,O,X,O,O,O,X
TJOZLIS,O,O,O,X,O,X
TJOZLSI,O,O,O,O,O,X
TJOZSIL,O,X,O,O,O,X
TJOZSLI,O,O,O,O,O,X
TSILJZO,O,X,O,O,O,X
TSILJOZ,O,X,O,O,O,O
TSILZJO,O,X,O,O,O,X
TSILZOJ,O,X,O,O,O,X
TSILOJZ,O,X,O,O,O,O
TSILOZJ,O,X,O,O,O,X
TSIJLZO,O,X,O,O,O,X
TSIJLOZ,O,X,O,O,O,O
TSIJZLO,O,X,O,O,O,X
TSIJZOL,O,X,O,O,O,O
TSIJOLZ,O,X,O,O,O,O
TSIJOZL,O,X,O,O,O,O
TSIZLJO,O,X,O,O,O,X
TSIZLOJ,O,X,O,O,O,X
TSIZJLO,O,X,O,O,O,X
TSIZJOL,O,X,O,O,O,O
TSIZOLJ,O,X,O,O,O,X
TSIZOJL,O,X,O,O,O,O
TSIOLJZ,O,X,O,O,O,O
TSIOLZJ,O,X,O,O,O,X
TSIOJLZ,O,X,O,O,O,O
TSIOJZL,O,X,O,O,O,O
TSIOZLJ,O,X,O,O,O,X
TSIOZJL,O,X,O,O,O,O
TSLIJZO,O,O,O,O,O,X
TSLIJOZ,O,O,O,O,O,O
TSLIZJO,O,O,O,O,O,X
TSLIZOJ,O,O,O,O,O,X
TSLIOJZ,O,O,O,O,O,O
TSLIOZJ,O,O,O,O,O,X
TSLJIZO,O,O,O,O,O,X
TSLJIOZ,O,O,O,O,O,O
TSLJZIO,O,O,O,O,O,X
TSLJZOI,O,O,O,O,O,X
TSLJOIZ,O,O,O,O,O,O
TSLJOZI,O,O,O,O,O,X
TSLZIJO,O,O,O,O,O,X
TSLZIOJ,O,O,O,O,O,X
TSLZJIO,O,O,O,O,O,X
TSLZJOI,O,O,O,O,O,X
TSLZOIJ,O,O,O,O,O,X
TSLZOJI,O,O,O,O,O,X
TSLOIJZ,O,O,O,O,O,O
TSLOIZJ,O,O,O,O,O,X
TSLOJIZ,O,O,O,O,O,O
TSLOJZI,O,O,O,O,O,X
TSLOZIJ,O,O,O,O,O,X
TSLOZJI,O,O,O,O,O,X
TSJILZO,O,X,O,O,O,X
TSJILOZ,O,X,O,O,O,O
TSJIZLO,O,X,O,O,O,X
TSJIZOL,O,X,O,O,O,O
TSJIOLZ,O,X,O,O,O,O
TSJIOZL,O,X,O,O,O,O
TSJLIZO,O,O,O,O,O,X
TSJLIOZ,O,O,O,O,O,O
TSJLZIO,O,O,O,O,O,X
TSJLZOI,O,O,O,O,O,X
TSJLOIZ,O,O,O,O,O,O
TSJLOZI,O,O,O,O,O,X
TSJZILO,O,X,O,O,O,X
TSJZIOL,O,X,O,O,O,O
TSJZLIO,O,O,O,O,O,X
TSJZLOI,O,O,O,O,O,X
TSJZOIL,O,X,O,O,O,O
TSJZOLI,O,O,O,O,O,X
TSJOILZ,O,X,O,O,O,O
TSJOIZL,O,X,O,O,O,O
TSJOLIZ,O,O,O,O,O,O
TSJOLZI,O,O,O,O,O,X
TSJOZIL,O,X,O,O,O,O
TSJOZLI,O,O,O,O,O,X
TSZILJO,O,X,O,O,O,X
TSZILOJ,O,X,O,O,O,X
TSZIJLO,O,X,O,O,O,X
TSZIJOL,O,X,O,O,O,O
TSZIOLJ,O,X,O,O,O,X
TSZIOJL,O,X,O,O,O,O
TSZLIJO,O,O,O,O,O,X
TSZLIOJ,O,O,O,O,O,X
TSZLJIO,O,O,O,O,O,X
TSZLJOI,O,O,O,O,O,X
TSZLOIJ,O,O,O,O,O,X
TSZLOJI,O,O,O,O,O,X
TSZJILO,O,X,O,O,O,X
TSZJIOL,O,X,O,O,O,O
TSZJLIO,O,O,O,O,O,X
TSZJLOI,O,O,O,O,O,X
TSZJOIL,O,X,O,O,O,O
TSZJOLI,O,O,O,O,O,X
TSZOILJ,O,X,O,O,O,X
TSZOIJL,O,X,O,O,O,O
TSZOLIJ,O,O,O,O,O,X
TSZOLJI,O,O,O,O,O,X
TSZOJIL,O,X,O,O,O,O
TSZOJLI,O,O,O,O,O,X
TSOILJZ,O,X,O,O,O,O
TSOILZJ,O,X,O,O,O,X
TSOIJLZ,O,X,O,O,O,O
TSOIJZL,O,X,O,O,O,O
TSOIZLJ,O,X,O,O,O,X
TSOIZJL,O,X,O,O,O,O
TSOLIJZ,O,O,O,O,O,O
TSOLIZJ,O,O,O,O,O,X
TSOLJIZ,O,O,O,O,O,O
TSOLJZI,O,O,O,O,O,X
TSOLZIJ,O,O,O,O,O,X
TSOLZJI,O,O,O,O,O,X
TSOJILZ,O,X,O,O,O,O
TSOJIZL,O,X,O,O,O,O
TSOJLIZ,O,O,O,O,O,O
TSOJLZI,O,O,O,O,O,X
TSOJZIL,O,X,O,O,O,O
TSOJZLI,O,O,O,O,O,X
TSOZILJ,O,X,O,O,O,X
TSOZIJL,O,X,O,O,O,O
TSOZLIJ,O,O,O,O,O,X
TSOZLJI,O,O,O,O,O,X
TSOZJIL,O,X,O,O,O,O
TSOZJLI,O,O,O,O,O,X
TZILJSO,O,O,O,X,O,X
TZILJOS,O,O,O,X,O,X
TZILSJO,O,O,O,X,O,X
TZILSOJ,O,O,O,X,O,X
